monsterid,name,level,class_rank,hero_star,camp,type,monster_type,heroattackcycle,soldier,cablerange,ragevalue,mainskill,ragerate,max_rage,heromodel,heromodel1,heroid,soldiermodel,herobuff,herohalo1,herohalo2,herohalo3,herohalo4,awakenlevel,killanger,heromodelsize,soldiermodelsize,soldiersnumber,skillpassive,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,base_type12,base_value12,base_type13,base_value13,base_type14,base_value14,base_type15,base_value15,base_type16,base_value16,base_type17,base_value17,base_type18,base_value18,base_type19,base_value19,base_type20,base_value20,skillpassive0,skillpassive1,skillpassive2,skillpassive3,skillpassive4,skillpassive5,skillpassive6,skillpassive7,skillpassive8,skillpassive9,career,monstericon,attacktype
50020702,敌军偏将,17,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,62342,2,3544,3,1605,38,155,35,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50020801,敌军偏将,17,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,67150,2,4063,3,1607,38,160,35,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50020802,敌军偏将,17,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,71958,2,4582,3,1608,38,165,35,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50020901,敌军偏将,17,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,76764,2,5101,3,1610,38,170,35,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50020902,敌军偏将,17,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,81572,2,5620,3,1612,38,175,35,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50021001,敌军偏将,17,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,86380,2,6139,3,1613,38,180,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50021002,敌军偏将,17,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,91186,2,6658,3,1615,38,185,35,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50021003,敌军偏将,17,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,55874,2,2340,3,1546,38,55,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50021004,敌军偏将,17,3,0,1,1,1,2010,52010104,25000,400,0,1000,1000,210,0,2010,52010104,0,0,0,0,0,0,200,120,100,8,0,21,10000,22,100,1,100802,2,7696,3,1618,38,195,35,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero2010,2
50021101,敌军偏将,18,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,105610,2,8215,3,1620,38,200,35,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50021102,敌军偏将,18,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,105936,2,8248,3,1657,38,205,35,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50021201,敌军偏将,18,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,106264,2,8282,3,1694,38,210,35,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50021202,敌军偏将,18,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,106592,2,8316,3,1731,38,215,35,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50021301,敌军偏将,18,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,106918,2,8350,3,1769,38,220,35,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50021302,敌军偏将,18,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,107246,2,8384,3,1806,38,225,35,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50021401,敌军偏将,18,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,107574,2,8418,3,1843,38,230,35,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50021501,敌军偏将,18,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,107900,2,8452,3,1881,38,235,35,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50021502,敌军偏将,18,3,0,1,1,1,3012,52010104,25000,400,0,1000,1000,312,0,3012,52010104,0,0,0,0,0,0,200,120,100,8,0,21,10000,22,100,1,108228,2,8486,3,1918,38,240,35,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3012,2
50030101,敌军偏将,18,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,108556,2,8520,3,1955,38,245,35,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50030102,敌军偏将,19,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,108884,2,8554,3,1993,38,250,35,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50030201,敌军偏将,19,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,109722,2,8599,3,1994,38,255,35,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50030202,敌军偏将,19,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,110562,2,8645,3,1996,38,260,35,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50030301,敌军偏将,19,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,111402,2,8691,3,1997,38,265,35,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50030302,敌军偏将,19,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,112240,2,8737,3,1999,38,270,35,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50030401,敌军偏将,19,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,113080,2,8783,3,2001,38,275,35,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50030501,敌军偏将,19,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,113920,2,8829,3,2002,38,280,35,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50030502,敌军偏将,19,3,0,4,1,1,3006,52010102,25000,400,0,1000,1000,306,0,3006,52010102,0,0,0,0,0,0,200,120,100,8,0,21,10000,22,100,1,114758,2,8875,3,2004,38,285,35,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero3006,2
50030601,敌军偏将,19,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,115598,2,8921,3,2005,38,290,35,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50030701,敌军偏将,19,0,0,2,1,1,1017,52010101,15000,0,0,1000,1000,1101,0,1017,52010101,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,116438,2,8967,3,2007,38,295,35,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hpicon_hero1017,2
50030702,敌军偏将,20,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,117278,2,9013,3,2009,38,300,35,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50030801,敌军偏将,20,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,118420,2,9118,3,2085,38,305,35,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50030802,敌军偏将,20,0,0,4,1,1,4013,52010102,15000,0,0,1000,1000,2102,0,4013,52010102,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,119564,2,9224,3,2162,38,310,35,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,hpicon_hero4013,2
50030901,敌军偏将,20,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,120708,2,9330,3,2238,38,315,35,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50030902,敌军偏将,20,0,0,3,1,1,4014,52010107,15000,0,0,1000,1000,2103,0,4014,52010107,0,0,0,0,0,0,200,100,100,8,0,21,10000,22,100,1,121850,2,9436,3,2315,38,320,35,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,hpicon_hero4014,2
50031001,敌军偏将,20,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,122994,2,9542,3,2392,38,325,35,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
50031002,敌军偏将,20,0,0,1,1,1,3013,52010104,15000,0,0,1000,1000,1103,0,3013,52010104,0,0,0,0,0,0,200,90,90,8,0,21,10000,22,100,1,55874,2,2340,3,1546,38,55,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,hpicon_hero3013,2
