id,group,lv,growth_type1,growth_value1,growth_type2,growth_value2,growth_type3,growth_value3
111,1,111,1,391056,2,9860,3,964
112,1,112,1,396024,2,9984,3,976
113,1,113,1,400980,2,10112,3,988
114,1,114,1,405948,2,10236,3,1000
115,1,115,1,410904,2,10360,3,1012
116,1,116,1,415860,2,10484,3,1024
117,1,117,1,420828,2,10612,3,1038
118,1,118,1,425784,2,10736,3,1050
119,1,119,1,430752,2,10860,3,1062
120,1,120,1,435708,2,10988,3,1074
121,1,121,1,496992,2,12532,3,1226
122,1,122,1,504288,2,12716,3,1244
123,1,123,1,511584,2,12900,3,1262
124,1,124,1,518880,2,13084,3,1280
125,1,125,1,526176,2,13268,3,1298
126,1,126,1,533472,2,13452,3,1316
127,1,127,1,540768,2,13636,3,1334
128,1,128,1,548064,2,13820,3,1352
129,1,129,1,555360,2,14004,3,1370
130,1,130,1,562656,2,14188,3,1388
131,1,131,1,569952,2,14372,3,1406
132,1,132,1,577248,2,14556,3,1424
133,1,133,1,584544,2,14740,3,1442
134,1,134,1,591840,2,14924,3,1460
135,1,135,1,599136,2,15108,3,1478
136,1,136,1,606432,2,15292,3,1496
137,1,137,1,613728,2,15476,3,1514
138,1,138,1,621024,2,15660,3,1532
139,1,139,1,628320,2,15844,3,1550
140,1,140,1,635616,2,16028,3,1568
141,1,141,1,720252,2,18164,3,1776
142,1,142,1,730464,2,18420,3,1802
143,1,143,1,740688,2,18676,3,1826
144,1,144,1,750900,2,18936,3,1852
145,1,145,1,761112,2,19192,3,1876
146,1,146,1,771324,2,19452,3,1902
147,1,147,1,781536,2,19708,3,1928
148,1,148,1,791760,2,19964,3,1952
149,1,149,1,801972,2,20224,3,1978
150,1,150,1,812184,2,20480,3,2002
151,1,151,1,822396,2,20740,3,2028
152,1,152,1,832608,2,20996,3,2054
153,1,153,1,842832,2,21252,3,2078
154,1,154,1,853044,2,21512,3,2104
155,1,155,1,863256,2,21768,3,2128
156,1,156,1,873468,2,22028,3,2154
157,1,157,1,883680,2,22284,3,2180
158,1,158,1,893904,2,22540,3,2204
159,1,159,1,904116,2,22800,3,2230
160,1,160,1,914328,2,23056,3,2254
161,1,161,1,1028148,2,25928,3,2536
162,1,162,1,1044192,2,26332,3,2576
163,1,163,1,1060248,2,26736,3,2614
164,1,164,1,1076304,2,27140,3,2654
165,1,165,1,1092348,2,27548,3,2694
166,1,166,1,1108404,2,27952,3,2734
167,1,167,1,1124448,2,28356,3,2774
168,1,168,1,1140504,2,28760,3,2812
169,1,169,1,1156560,2,29164,3,2852
170,1,170,1,1172604,2,29572,3,2892
171,1,171,1,1188660,2,29976,3,2932
172,1,172,1,1204704,2,30380,3,2972
173,1,173,1,1220760,2,30784,3,3010
174,1,174,1,1236816,2,31188,3,3050
175,1,175,1,1252860,2,31596,3,3090
176,1,176,1,1268916,2,32000,3,3130
177,1,177,1,1284960,2,32404,3,3170
178,1,178,1,1301016,2,32808,3,3208
179,1,179,1,1317072,2,33212,3,3248
180,1,180,1,1333116,2,33620,3,3288
181,1,181,1,1481952,2,37372,3,3656
182,1,182,1,1500924,2,37852,3,3702
183,1,183,1,1519896,2,38328,3,3748
184,1,184,1,1538868,2,38808,3,3796
185,1,185,1,1557840,2,39284,3,3842
186,1,186,1,1576800,2,39764,3,3890
187,1,187,1,1595772,2,40244,3,3936
188,1,188,1,1614744,2,40720,3,3982
189,1,189,1,1633716,2,41200,3,4030
190,1,190,1,1652688,2,41676,3,4076
191,1,191,1,1671648,2,42156,3,4124
192,1,192,1,1690620,2,42636,3,4170
193,1,193,1,1709592,2,43112,3,4216
194,1,194,1,1728564,2,43592,3,4264
195,1,195,1,1747536,2,44068,3,4310
196,1,196,1,1766496,2,44548,3,4358
197,1,197,1,1785468,2,45028,3,4404
198,1,198,1,1804440,2,45504,3,4450
199,1,199,1,1823412,2,45984,3,4498
200,1,200,1,1842384,2,46460,3,4544
201,1,201,1,2029152,2,51172,3,5006
202,1,202,1,2052504,2,51760,3,5062
203,1,203,1,2075856,2,52348,3,5120
204,1,204,1,2099196,2,52940,3,5178
205,1,205,1,2122548,2,53528,3,5236
206,1,206,1,2145888,2,54116,3,5294
207,1,207,1,2169240,2,54704,3,5350
208,1,208,1,2192592,2,55292,3,5408
209,1,209,1,2215932,2,55884,3,5466
210,1,210,1,2239284,2,56472,3,5524
211,1,211,1,2262624,2,57060,3,5582
212,1,212,1,2285976,2,57648,3,5638
213,1,213,1,2309328,2,58236,3,5696
214,1,214,1,2332668,2,58828,3,5754
215,1,215,1,2356020,2,59416,3,5812
216,1,216,1,2379360,2,60004,3,5870
217,1,217,1,2402712,2,60592,3,5926
218,1,218,1,2426064,2,61180,3,5984
219,1,219,1,2449404,2,61772,3,6042
220,1,220,1,2472756,2,62360,3,6100
221,1,221,1,2706228,2,68248,3,6676
222,1,222,1,2735412,2,68984,3,6748
223,1,223,1,2764596,2,69720,3,6820
224,1,224,1,2793780,2,70456,3,6892
225,1,225,1,2822964,2,71192,3,6964
226,1,226,1,2852148,2,71928,3,7036
227,1,227,1,2881332,2,72664,3,7108
228,1,228,1,2910516,2,73400,3,7180
229,1,229,1,2939700,2,74136,3,7252
230,1,230,1,2968884,2,74872,3,7324
231,1,231,1,2998068,2,75608,3,7396
232,1,232,1,3027252,2,76344,3,7468
233,1,233,1,3056436,2,77080,3,7540
234,1,234,1,3085620,2,77816,3,7612
235,1,235,1,3114804,2,78552,3,7684
236,1,236,1,3143988,2,79288,3,7756
237,1,237,1,3173172,2,80024,3,7828
238,1,238,1,3202356,2,80760,3,7900
239,1,239,1,3231540,2,81496,3,7972
240,1,240,1,3260724,2,82232,3,8044
241,1,241,1,3260724,2,82232,3,8044
242,1,242,1,3260724,2,82232,3,8044
243,1,243,1,3260724,2,82232,3,8044
244,1,244,1,3260724,2,82232,3,8044
245,1,245,1,3260724,2,82232,3,8044
246,1,246,1,3260724,2,82232,3,8044
247,1,247,1,3260724,2,82232,3,8044
248,1,248,1,3260724,2,82232,3,8044
249,1,249,1,3260724,2,82232,3,8044
250,1,250,1,3260724,2,82232,3,8044
251,1,251,1,3260724,2,82232,3,8044
252,1,252,1,3260724,2,82232,3,8044
253,1,253,1,3260724,2,82232,3,8044
254,1,254,1,3260724,2,82232,3,8044
255,1,255,1,3260724,2,82232,3,8044
256,1,256,1,3260724,2,82232,3,8044
257,1,257,1,3260724,2,82232,3,8044
258,1,258,1,3260724,2,82232,3,8044
259,1,259,1,3260724,2,82232,3,8044
260,1,260,1,3260724,2,82232,3,8044
261,1,261,1,3260724,2,82232,3,8044
262,1,262,1,3260724,2,82232,3,8044
263,1,263,1,3260724,2,82232,3,8044
264,1,264,1,3260724,2,82232,3,8044
265,1,265,1,3260724,2,82232,3,8044
266,1,266,1,3260724,2,82232,3,8044
267,1,267,1,3260724,2,82232,3,8044
268,1,268,1,3260724,2,82232,3,8044
269,1,269,1,3260724,2,82232,3,8044
270,1,270,1,3260724,2,82232,3,8044
271,1,271,1,3260724,2,82232,3,8044
272,1,272,1,3260724,2,82232,3,8044
273,1,273,1,3260724,2,82232,3,8044
274,1,274,1,3260724,2,82232,3,8044
275,1,275,1,3260724,2,82232,3,8044
276,1,276,1,3260724,2,82232,3,8044
277,1,277,1,3260724,2,82232,3,8044
278,1,278,1,3260724,2,82232,3,8044
279,1,279,1,3260724,2,82232,3,8044
280,1,280,1,3260724,2,82232,3,8044
281,1,281,1,3260724,2,82232,3,8044
282,1,282,1,3260724,2,82232,3,8044
283,1,283,1,3260724,2,82232,3,8044
284,1,284,1,3260724,2,82232,3,8044
285,1,285,1,3260724,2,82232,3,8044
286,1,286,1,3260724,2,82232,3,8044
287,1,287,1,3260724,2,82232,3,8044
288,1,288,1,3260724,2,82232,3,8044
289,1,289,1,3260724,2,82232,3,8044
290,1,290,1,3260724,2,82232,3,8044
291,1,291,1,3260724,2,82232,3,8044
292,1,292,1,3260724,2,82232,3,8044
293,1,293,1,3260724,2,82232,3,8044
294,1,294,1,3260724,2,82232,3,8044
295,1,295,1,3260724,2,82232,3,8044
296,1,296,1,3260724,2,82232,3,8044
297,1,297,1,3260724,2,82232,3,8044
298,1,298,1,3260724,2,82232,3,8044
299,1,299,1,3260724,2,82232,3,8044
300,1,300,1,3260724,2,82232,3,8044
301,1,301,1,3260724,2,82232,3,8044
302,1,302,1,3260724,2,82232,3,8044
303,1,303,1,3260724,2,82232,3,8044
304,1,304,1,3260724,2,82232,3,8044
305,1,305,1,3260724,2,82232,3,8044
306,1,306,1,3260724,2,82232,3,8044
307,1,307,1,3260724,2,82232,3,8044
308,1,308,1,3260724,2,82232,3,8044
309,1,309,1,3260724,2,82232,3,8044
310,1,310,1,3260724,2,82232,3,8044
311,1,311,1,3260724,2,82232,3,8044
312,1,312,1,3260724,2,82232,3,8044
313,1,313,1,3260724,2,82232,3,8044
314,1,314,1,3260724,2,82232,3,8044
315,1,315,1,3260724,2,82232,3,8044
316,1,316,1,3260724,2,82232,3,8044
317,1,317,1,3260724,2,82232,3,8044
318,1,318,1,3260724,2,82232,3,8044
319,1,319,1,3260724,2,82232,3,8044
320,1,320,1,3260724,2,82232,3,8044
321,1,321,1,3260724,2,82232,3,8044
322,1,322,1,3260724,2,82232,3,8044
323,1,323,1,3260724,2,82232,3,8044
324,1,324,1,3260724,2,82232,3,8044
325,1,325,1,3260724,2,82232,3,8044
326,1,326,1,3260724,2,82232,3,8044
327,1,327,1,3260724,2,82232,3,8044
328,1,328,1,3260724,2,82232,3,8044
329,1,329,1,3260724,2,82232,3,8044
330,1,330,1,3260724,2,82232,3,8044
331,1,331,1,3260724,2,82232,3,8044
332,1,332,1,3260724,2,82232,3,8044
333,1,333,1,3260724,2,82232,3,8044
334,1,334,1,3260724,2,82232,3,8044
335,1,335,1,3260724,2,82232,3,8044
336,1,336,1,3260724,2,82232,3,8044
337,1,337,1,3260724,2,82232,3,8044
338,1,338,1,3260724,2,82232,3,8044
339,1,339,1,3260724,2,82232,3,8044
340,1,340,1,3260724,2,82232,3,8044
341,1,341,1,3260724,2,82232,3,8044
342,1,342,1,3260724,2,82232,3,8044
343,1,343,1,3260724,2,82232,3,8044
344,1,344,1,3260724,2,82232,3,8044
345,1,345,1,3260724,2,82232,3,8044
346,1,346,1,3260724,2,82232,3,8044
347,1,347,1,3260724,2,82232,3,8044
348,1,348,1,3260724,2,82232,3,8044
349,1,349,1,3260724,2,82232,3,8044
350,1,350,1,3260724,2,82232,3,8044
351,1,351,1,3260724,2,82232,3,8044
352,1,352,1,3260724,2,82232,3,8044
353,1,353,1,3260724,2,82232,3,8044
354,1,354,1,3260724,2,82232,3,8044
355,1,355,1,3260724,2,82232,3,8044
356,1,356,1,3260724,2,82232,3,8044
357,1,357,1,3260724,2,82232,3,8044
358,1,358,1,3260724,2,82232,3,8044
359,1,359,1,3260724,2,82232,3,8044
360,1,360,1,3260724,2,82232,3,8044
361,1,361,1,3260724,2,82232,3,8044
362,1,362,1,3260724,2,82232,3,8044
363,1,363,1,3260724,2,82232,3,8044
364,1,364,1,3260724,2,82232,3,8044
365,1,365,1,3260724,2,82232,3,8044
366,1,366,1,3260724,2,82232,3,8044
367,1,367,1,3260724,2,82232,3,8044
368,1,368,1,3260724,2,82232,3,8044
369,1,369,1,3260724,2,82232,3,8044
370,1,370,1,3260724,2,82232,3,8044
371,1,371,1,3260724,2,82232,3,8044
372,1,372,1,3260724,2,82232,3,8044
373,1,373,1,3260724,2,82232,3,8044
374,1,374,1,3260724,2,82232,3,8044
375,1,375,1,3260724,2,82232,3,8044
376,1,376,1,3260724,2,82232,3,8044
377,1,377,1,3260724,2,82232,3,8044
378,1,378,1,3260724,2,82232,3,8044
379,1,379,1,3260724,2,82232,3,8044
380,1,380,1,3260724,2,82232,3,8044
381,1,381,1,3260724,2,82232,3,8044
382,1,382,1,3260724,2,82232,3,8044
383,1,383,1,3260724,2,82232,3,8044
384,1,384,1,3260724,2,82232,3,8044
385,1,385,1,3260724,2,82232,3,8044
386,1,386,1,3260724,2,82232,3,8044
387,1,387,1,3260724,2,82232,3,8044
388,1,388,1,3260724,2,82232,3,8044
389,1,389,1,3260724,2,82232,3,8044
390,1,390,1,3260724,2,82232,3,8044
391,1,391,1,3260724,2,82232,3,8044
392,1,392,1,3260724,2,82232,3,8044
393,1,393,1,3260724,2,82232,3,8044
394,1,394,1,3260724,2,82232,3,8044
395,1,395,1,3260724,2,82232,3,8044
396,1,396,1,3260724,2,82232,3,8044
397,1,397,1,3260724,2,82232,3,8044
398,1,398,1,3260724,2,82232,3,8044
399,1,399,1,3260724,2,82232,3,8044
400,1,400,1,3260724,2,82232,3,8044
