id,game,grade,title_show,title,description,type,show,sort,rmb,diamond,extra,time,vipexp,start,continued,cd,picture,floor_pic,floor_pic_type1,chara_type,floor_pic_type2,introduce,grade_show,grade_hide,effect_show,jump,effect_show,wai_effect_show,text1,text2,givemoneyshow,text_cehua,point
10010104,1001,104,霸服永抽,充值30000钻石,需充值30人民币,2,0,4,30,30000,100904,3650,30000,0,0,0,icon_vip_07,bg_times_01,1,推荐,1,25|3|倍返利,0,0,1,Monthly_CardUI,1,0,0,0,400,0,com.qxyx.mlyz.30
10010150,1001,150,月卡首次充值,充值180钻石,需充值18人民币,2,0,0,18,300,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月卡首次充值,com.qxyx.mlyz.18
10010151,1001,151,黄金周卡,充值0钻石,需充值198人民币,2,0,0,198,0,101201,15,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,黄金周卡,com.qxyx.mlyz.198
10010201,1001,201,6元日礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.6
10010202,1001,202,30元日礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.30
10010203,1001,203,68元日礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.68
10010204,1001,204,98元日礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.98
10010205,1001,205,98元日礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.98
10010206,1001,206,1元日礼包,充值10钻石,需充值1人民币,3,0,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.1
10010207,1001,207,3元日礼包,充值30钻石,需充值3人民币,3,0,0,3,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,日礼包,com.qxyx.mlyz.3
10010211,1001,211,6元周礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,周礼包,com.qxyx.mlyz.6
10010212,1001,212,30元周礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,周礼包,com.qxyx.mlyz.30
10010213,1001,213,68元周礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,周礼包,com.qxyx.mlyz.68
10010214,1001,214,98元周礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,周礼包,com.qxyx.mlyz.98
10010215,1001,215,98元周礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,周礼包,com.qxyx.mlyz.98
10010221,1001,221,6元月礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.6
10010222,1001,222,30元月礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010223,1001,223,68元月礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.68
10010224,1001,224,98元月礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.98
10010225,1001,225,98元月礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.98
10010230,1001,230,6元日礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.6
10010231,1001,231,6元日礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.6
10010232,1001,232,30元日礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010233,1001,233,30元日礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010234,1001,234,30元日礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010235,1001,235,30元日礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010236,1001,236,68元日礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.68
10010237,1001,237,68元日礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.68
10010238,1001,238,30元日礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010239,1001,239,68元日礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.68
10010240,1001,240,98元日礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.98
10010241,1001,241,328元日礼包,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.328
10010242,1001,242,328元日礼包,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.328
10010243,1001,243,648元日礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010244,1001,244,648元日礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010245,1001,245,648元日礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010246,1001,246,648元日礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010250,1001,250,6元周礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.6
10010251,1001,251,30元周礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010252,1001,252,68元周礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.68
10010253,1001,253,98元周礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.98
10010254,1001,254,128元周礼包,充值1280钻石,需充值128人民币,3,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.128
10010255,1001,255,128元周礼包,充值1280钻石,需充值128人民币,3,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.128
10010256,1001,256,128元周礼包,充值1280钻石,需充值128人民币,3,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.128
10010257,1001,257,198元周礼包,充值1980钻石,需充值198人民币,3,0,0,198,0,0,0,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.198
10010258,1001,258,328元周礼包,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.328
10010259,1001,259,648元周礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010260,1001,260,648元周礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010270,1001,270,6元月礼包,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.6
10010271,1001,271,30元月礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010272,1001,272,30元月礼包,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.30
10010273,1001,273,68元月礼包,充值680钻石,需充值68人民币,3,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.68
10010274,1001,274,98元月礼包,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.98
10010275,1001,275,128元月礼包,充值1280钻石,需充值128人民币,3,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.128
10010276,1001,276,168元月礼包,充值1680钻石,需充值168人民币,3,0,0,168,0,0,0,168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.168
10010277,1001,277,198元月礼包,充值1980钻石,需充值198人民币,3,0,0,198,0,0,0,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.198
10010278,1001,278,328元月礼包,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.328
10010279,1001,279,648元月礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010280,1001,280,648元月礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010281,1001,281,648元月礼包,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,月礼包,com.qxyx.mlyz.648
10010301,1001,301,高级皇家犒赏令,充值1630钻石,需充值163人民币,4,0,0,163,0,0,0,163000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级皇家犒赏令,com.qxyx.mlyz.163
10010302,1001,302,高级勇者犒赏令,充值1630钻石,需充值163人民币,4,0,0,163,0,0,0,163000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.163
10010303,1001,303,关卡战令,充值980钻石,需充值98人民币,4,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.98
10010304,1001,304,魔塔战令,充值980钻石,需充值98人民币,4,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.98
10010305,1001,305,钻石累消,充值980钻石,需充值98人民币,4,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.98
10010310,1001,310,贵族1每日礼包,充值10钻石,需充值1人民币,4,0,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.1
10010311,1001,311,贵族2每日礼包,充值60钻石,需充值6人民币,4,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.6
10010312,1001,312,贵族3每日礼包,充值120钻石,需充值12人民币,4,0,0,12,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.12
10010313,1001,313,贵族4每日礼包,充值120钻石,需充值12人民币,4,0,0,12,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.12
10010314,1001,314,贵族5每日礼包,充值120钻石,需充值12人民币,4,0,0,12,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.12
10010315,1001,315,贵族6每日礼包,充值300钻石,需充值30人民币,4,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.30
10010316,1001,316,贵族7每日礼包,充值300钻石,需充值30人民币,4,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.30
10010317,1001,317,贵族8每日礼包,充值300钻石,需充值30人民币,4,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.30
10010318,1001,318,贵族9每日礼包,充值300钻石,需充值30人民币,4,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.30
10010319,1001,319,贵族10每日礼包,充值300钻石,需充值30人民币,4,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.30
10010320,1001,320,贵族11每日礼包,充值680钻石,需充值68人民币,4,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.68
10010321,1001,321,贵族12每日礼包,充值680钻石,需充值68人民币,4,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.68
10010322,1001,322,贵族13每日礼包,充值680钻石,需充值68人民币,4,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.68
10010323,1001,323,贵族14每日礼包,充值1280钻石,需充值128人民币,4,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.128
10010324,1001,324,贵族15每日礼包,充值1280钻石,需充值128人民币,4,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高级勇者犒赏令,com.qxyx.mlyz.128
10010360,1001,360,冒险关卡的徽章,充值250钻石,需充值25人民币,4,0,0,25,250,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,徽章,com.qxyx.mlyz.25
10010380,1001,380,试炼之塔的徽章,充值680钻石,需充值68人民币,4,0,0,68,680,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,徽章,com.qxyx.mlyz.68
10010401,1001,401,6元新手礼包,充值60钻石,需充值6人民币,5,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6元新手礼包,com.qxyx.mlyz.6
10010402,1001,402,30元新手礼包,充值300钻石,需充值30人民币,5,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30元新手礼包,com.qxyx.mlyz.30
10010403,1001,403,68元新手礼包,充值680钻石,需充值68人民币,5,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68元新手礼包,com.qxyx.mlyz.68
10010404,1001,404,98元新手礼包,充值980钻石,需充值98人民币,5,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128元新手礼包,com.qxyx.mlyz.98
10010405,1001,405,128元新手礼包,充值1280钻石,需充值128人民币,5,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328元新手礼包,com.qxyx.mlyz.128
10010406,1001,406,328元新手礼包,充值3280钻石,需充值328人民币,5,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.328
10010407,1001,407,648元新手礼包,充值6480钻石,需充值648人民币,5,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.648
10010408,1001,408,1000元新手礼包,充值10000钻石,需充值1000人民币,5,0,0,1000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.1000
10010409,1001,409,2000元新手礼包,充值20000钻石,需充值2000人民币,5,0,0,2000,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.2000
10010410,1001,410,5000元新手礼包,充值50000钻石,需充值5000人民币,5,0,0,5000,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.5000
10010411,1001,411,328元新手礼包,充值3280钻石,需充值328人民币,5,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.328
10010412,1001,412,648元新手礼包,充值6480钻石,需充值648人民币,5,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.648
10010413,1001,413,328元新手礼包,充值3280钻石,需充值328人民币,5,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.328
10010421,1001,421,特惠礼包,充值680钻石,需充值68人民币,5,0,4,68,0,0,0,68000,0,0,0,icon_vip_09,bg_times_02,1,首充|14倍,1,首充|2|4900|1,0,0,0,0,0,0,0,0,0,特惠礼包,com.qxyx.mlyz.68
10010422,1001,422,30元狗粮礼包,充值300钻石,需充值30人民币,5,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30元新手礼包,com.qxyx.mlyz.30
10010423,1001,423,68元狗粮礼包,充值680钻石,需充值68人民币,5,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68元新手礼包,com.qxyx.mlyz.68
10010424,1001,424,128元狗粮礼包,充值1280钻石,需充值128人民币,5,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128元新手礼包,com.qxyx.mlyz.128
10010425,1001,425,198元狗粮礼包,充值1980钻石,需充值198人民币,5,0,0,198,0,0,0,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328元新手礼包,com.qxyx.mlyz.198
10010426,1001,426,328元狗粮礼包,充值3280钻石,需充值328人民币,5,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.328
10010427,1001,427,648元狗粮礼包,充值6480钻石,需充值648人民币,5,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648元新手礼包,com.qxyx.mlyz.648
10010429,1001,429,白金理财,充值3280钻石,需充值328人民币,5,0,0,328,0,0,0,328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,超值基金,com.qxyx.mlyz.328
10010430,1001,430,铂金理财,充值6480钻石,需充值648人民币,5,0,0,648,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,超值基金,com.qxyx.mlyz.648
10010431,1001,431,超值基金,充值120钻石,需充值12人民币,5,0,0,12,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,超值基金,com.qxyx.mlyz.12
10010432,1001,432,勇者基金,充值300钻石,需充值30人民币,5,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,勇者基金,com.qxyx.mlyz.30
10010433,1001,433,新春礼包,充值60钻石,需充值6人民币,5,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.6
10010434,1001,434,新春礼包,充值300钻石,需充值30人民币,5,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.30
10010435,1001,435,新春礼包,充值300钻石,需充值30人民币,5,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.30
10010436,1001,436,新春礼包,充值680钻石,需充值68人民币,5,0,0,68,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.68
10010437,1001,437,新春礼包,充值980钻石,需充值98人民币,5,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.98
10010438,1001,438,新春礼包,充值1280钻石,需充值128人民币,5,0,0,128,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.128
10010439,1001,439,新春礼包,充值60钻石,需充值6人民币,5,0,0,6,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.6
10010440,1001,440,新春礼包,充值300钻石,需充值30人民币,5,0,0,30,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.30
10010441,1001,441,新春礼包,充值980钻石,需充值98人民币,5,0,0,98,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新春礼包,com.qxyx.mlyz.98
