skillid,name,intr,lv,unlock,lvupneed1,returnnum1,lvupnum1,lvupneed2,lvupnum2,returnnum2,lvupneed3,lvupnum3,returnnum3,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,icon
1001,技能啊,米啊奥术,23,1,91000002,276,23,91000001,23,0,0,0,0,6,32,7,32,8,32,9,32,100203
1001,技能啊,米啊奥术,24,1,91000002,300,24,91000001,24,0,0,0,0,6,33,7,33,8,33,9,33,100203
1001,技能啊,米啊奥术,25,1,91000002,325,25,91000001,25,0,0,0,0,6,34,7,34,8,34,9,34,100203
1001,技能啊,米啊奥术,26,1,91000002,351,26,91000001,26,0,0,0,0,6,35,7,35,8,35,9,35,100203
1001,技能啊,米啊奥术,27,1,91000002,378,27,91000001,27,0,0,0,0,6,36,7,36,8,36,9,36,100203
1001,技能啊,米啊奥术,28,1,91000002,406,28,91000001,28,0,0,0,0,6,37,7,37,8,37,9,37,100203
1001,技能啊,米啊奥术,29,1,91000002,435,29,91000001,29,0,0,0,0,6,38,7,38,8,38,9,38,100203
1001,技能啊,米啊奥术,30,1,91000002,465,30,91000001,30,0,0,0,0,6,39,7,39,8,39,9,39,100203
1002,技能啊,米啊奥术,1,2,91000002,496,31,91000001,31,0,0,0,0,6,40,7,40,8,40,9,40,100203
1002,技能啊,米啊奥术,2,2,91000002,528,32,91000001,32,0,0,0,0,6,41,7,41,8,41,9,41,100203
1002,技能啊,米啊奥术,3,2,91000002,561,33,91000001,33,0,0,0,0,6,42,7,42,8,42,9,42,100203
1002,技能啊,米啊奥术,4,2,91000002,595,34,91000001,34,0,0,0,0,6,43,7,43,8,43,9,43,100203
1002,技能啊,米啊奥术,5,2,91000002,630,35,91000001,35,0,0,0,0,6,44,7,44,8,44,9,44,100203
1002,技能啊,米啊奥术,6,2,91000002,666,36,91000001,36,0,0,0,0,6,45,7,45,8,45,9,45,100203
1002,技能啊,米啊奥术,7,2,91000002,703,37,91000001,37,0,0,0,0,6,46,7,46,8,46,9,46,100203
1002,技能啊,米啊奥术,8,2,91000002,741,38,91000001,38,0,0,0,0,6,47,7,47,8,47,9,47,100203
1002,技能啊,米啊奥术,9,2,91000002,780,39,91000001,39,0,0,0,0,6,48,7,48,8,48,9,48,100203
1002,技能啊,米啊奥术,10,2,91000002,820,40,91000001,40,0,0,0,0,6,49,7,49,8,49,9,49,100203
1002,技能啊,米啊奥术,11,2,91000002,861,41,91000001,41,0,0,0,0,6,50,7,50,8,50,9,50,100203
1002,技能啊,米啊奥术,12,2,91000002,903,42,91000001,42,0,0,0,0,6,51,7,51,8,51,9,51,100203
1002,技能啊,米啊奥术,13,2,91000002,946,43,91000001,43,0,0,0,0,6,52,7,52,8,52,9,52,100203
1002,技能啊,米啊奥术,14,2,91000002,990,44,91000001,44,0,0,0,0,6,53,7,53,8,53,9,53,100203
1002,技能啊,米啊奥术,15,2,91000002,1035,45,91000001,45,0,0,0,0,6,54,7,54,8,54,9,54,100203
1002,技能啊,米啊奥术,16,2,91000002,1081,46,91000001,46,0,0,0,0,6,55,7,55,8,55,9,55,100203
1002,技能啊,米啊奥术,17,2,91000002,1128,47,91000001,47,0,0,0,0,6,56,7,56,8,56,9,56,100203
1002,技能啊,米啊奥术,18,2,91000002,1176,48,91000001,48,0,0,0,0,6,57,7,57,8,57,9,57,100203
1002,技能啊,米啊奥术,19,2,91000002,1225,49,91000001,49,0,0,0,0,6,58,7,58,8,58,9,58,100203
1002,技能啊,米啊奥术,20,2,91000002,1275,50,91000001,50,0,0,0,0,6,59,7,59,8,59,9,59,100203
1002,技能啊,米啊奥术,21,2,91000002,1326,51,91000001,51,0,0,0,0,6,60,7,60,8,60,9,60,100203
1002,技能啊,米啊奥术,22,2,91000002,1378,52,91000001,52,0,0,0,0,6,61,7,61,8,61,9,61,100203
1002,技能啊,米啊奥术,23,2,91000002,1431,53,91000001,53,0,0,0,0,6,62,7,62,8,62,9,62,100203
1002,技能啊,米啊奥术,24,2,91000002,1485,54,91000001,54,0,0,0,0,6,63,7,63,8,63,9,63,100203
1002,技能啊,米啊奥术,25,2,91000002,1540,55,91000001,55,0,0,0,0,6,64,7,64,8,64,9,64,100203
1002,技能啊,米啊奥术,26,2,91000002,1596,56,91000001,56,0,0,0,0,6,65,7,65,8,65,9,65,100203
1002,技能啊,米啊奥术,27,2,91000002,1653,57,91000001,57,0,0,0,0,6,66,7,66,8,66,9,66,100203
1002,技能啊,米啊奥术,28,2,91000002,1711,58,91000001,58,0,0,0,0,6,67,7,67,8,67,9,67,100203
1002,技能啊,米啊奥术,29,2,91000002,1770,59,91000001,59,0,0,0,0,6,68,7,68,8,68,9,68,100203
1002,技能啊,米啊奥术,30,2,91000002,1830,60,91000001,60,0,0,0,0,6,69,7,69,8,69,9,69,100203
1003,技能啊,米啊奥术,1,3,91000002,1891,61,91000001,61,0,0,0,0,6,70,7,70,8,70,9,70,100203
1003,技能啊,米啊奥术,2,3,91000002,1953,62,91000001,62,0,0,0,0,6,71,7,71,8,71,9,71,100203
1003,技能啊,米啊奥术,3,3,91000002,2016,63,91000001,63,0,0,0,0,6,72,7,72,8,72,9,72,100203
1003,技能啊,米啊奥术,4,3,91000002,2080,64,91000001,64,0,0,0,0,6,73,7,73,8,73,9,73,100203
1003,技能啊,米啊奥术,5,3,91000002,2145,65,91000001,65,0,0,0,0,6,74,7,74,8,74,9,74,100203
1003,技能啊,米啊奥术,6,3,91000002,2211,66,91000001,66,0,0,0,0,6,75,7,75,8,75,9,75,100203
1003,技能啊,米啊奥术,7,3,91000002,2278,67,91000001,67,0,0,0,0,6,76,7,76,8,76,9,76,100203
1003,技能啊,米啊奥术,8,3,91000002,2346,68,91000001,68,0,0,0,0,6,77,7,77,8,77,9,77,100203
1003,技能啊,米啊奥术,9,3,91000002,2415,69,91000001,69,0,0,0,0,6,78,7,78,8,78,9,78,100203
1003,技能啊,米啊奥术,10,3,91000002,2485,70,91000001,70,0,0,0,0,6,79,7,79,8,79,9,79,100203
1003,技能啊,米啊奥术,11,3,91000002,2556,71,91000001,71,0,0,0,0,6,80,7,80,8,80,9,80,100203
1003,技能啊,米啊奥术,12,3,91000002,2628,72,91000001,72,0,0,0,0,6,81,7,81,8,81,9,81,100203
1003,技能啊,米啊奥术,13,3,91000002,2701,73,91000001,73,0,0,0,0,6,82,7,82,8,82,9,82,100203
1003,技能啊,米啊奥术,14,3,91000002,2775,74,91000001,74,0,0,0,0,6,83,7,83,8,83,9,83,100203
1003,技能啊,米啊奥术,15,3,91000002,2850,75,91000001,75,0,0,0,0,6,84,7,84,8,84,9,84,100203
1003,技能啊,米啊奥术,16,3,91000002,2926,76,91000001,76,0,0,0,0,6,85,7,85,8,85,9,85,100203
1003,技能啊,米啊奥术,17,3,91000002,3003,77,91000001,77,0,0,0,0,6,86,7,86,8,86,9,86,100203
1003,技能啊,米啊奥术,18,3,91000002,3081,78,91000001,78,0,0,0,0,6,87,7,87,8,87,9,87,100203
1003,技能啊,米啊奥术,19,3,91000002,3160,79,91000001,79,0,0,0,0,6,88,7,88,8,88,9,88,100203
1003,技能啊,米啊奥术,20,3,91000002,3240,80,91000001,80,0,0,0,0,6,89,7,89,8,89,9,89,100203
1003,技能啊,米啊奥术,21,3,91000002,3321,81,91000001,81,0,0,0,0,6,90,7,90,8,90,9,90,100203
1003,技能啊,米啊奥术,22,3,91000002,3403,82,91000001,82,0,0,0,0,6,91,7,91,8,91,9,91,100203
1003,技能啊,米啊奥术,23,3,91000002,3486,83,91000001,83,0,0,0,0,6,92,7,92,8,92,9,92,100203
1003,技能啊,米啊奥术,24,3,91000002,3570,84,91000001,84,0,0,0,0,6,93,7,93,8,93,9,93,100203
1003,技能啊,米啊奥术,25,3,91000002,3655,85,91000001,85,0,0,0,0,6,94,7,94,8,94,9,94,100203
1003,技能啊,米啊奥术,26,3,91000002,3741,86,91000001,86,0,0,0,0,6,95,7,95,8,95,9,95,100203
1003,技能啊,米啊奥术,27,3,91000002,3828,87,91000001,87,0,0,0,0,6,96,7,96,8,96,9,96,100203
1003,技能啊,米啊奥术,28,3,91000002,3916,88,91000001,88,0,0,0,0,6,97,7,97,8,97,9,97,100203
1003,技能啊,米啊奥术,29,3,91000002,4005,89,91000001,89,0,0,0,0,6,98,7,98,8,98,9,98,100203
1003,技能啊,米啊奥术,30,3,91000002,4095,90,91000001,90,0,0,0,0,6,99,7,99,8,99,9,99,100203
1004,技能啊,米啊奥术,1,4,91000002,4186,91,91000001,91,0,0,0,0,6,100,7,100,8,100,9,100,100203
1004,技能啊,米啊奥术,2,4,91000002,4278,92,91000001,92,0,0,0,0,6,101,7,101,8,101,9,101,100203
1004,技能啊,米啊奥术,3,4,91000002,4371,93,91000001,93,0,0,0,0,6,102,7,102,8,102,9,102,100203
1004,技能啊,米啊奥术,4,4,91000002,4465,94,91000001,94,0,0,0,0,6,103,7,103,8,103,9,103,100203
1004,技能啊,米啊奥术,5,4,91000002,4560,95,91000001,95,0,0,0,0,6,104,7,104,8,104,9,104,100203
1004,技能啊,米啊奥术,6,4,91000002,4656,96,91000001,96,0,0,0,0,6,105,7,105,8,105,9,105,100203
1004,技能啊,米啊奥术,7,4,91000002,4753,97,91000001,97,0,0,0,0,6,106,7,106,8,106,9,106,100203
1004,技能啊,米啊奥术,8,4,91000002,4851,98,91000001,98,0,0,0,0,6,107,7,107,8,107,9,107,100203
1004,技能啊,米啊奥术,9,4,91000002,4950,99,91000001,99,0,0,0,0,6,108,7,108,8,108,9,108,100203
1004,技能啊,米啊奥术,10,4,91000002,5050,100,91000001,100,0,0,0,0,6,109,7,109,8,109,9,109,100203
1004,技能啊,米啊奥术,11,4,91000002,5151,101,91000001,101,0,0,0,0,6,110,7,110,8,110,9,110,100203
1004,技能啊,米啊奥术,12,4,91000002,5253,102,91000001,102,0,0,0,0,6,111,7,111,8,111,9,111,100203
1004,技能啊,米啊奥术,13,4,91000002,5356,103,91000001,103,0,0,0,0,6,112,7,112,8,112,9,112,100203
1004,技能啊,米啊奥术,14,4,91000002,5460,104,91000001,104,0,0,0,0,6,113,7,113,8,113,9,113,100203
1004,技能啊,米啊奥术,15,4,91000002,5565,105,91000001,105,0,0,0,0,6,114,7,114,8,114,9,114,100203
1004,技能啊,米啊奥术,16,4,91000002,5671,106,91000001,106,0,0,0,0,6,115,7,115,8,115,9,115,100203
1004,技能啊,米啊奥术,17,4,91000002,5778,107,91000001,107,0,0,0,0,6,116,7,116,8,116,9,116,100203
1004,技能啊,米啊奥术,18,4,91000002,5886,108,91000001,108,0,0,0,0,6,117,7,117,8,117,9,117,100203
1004,技能啊,米啊奥术,19,4,91000002,5995,109,91000001,109,0,0,0,0,6,118,7,118,8,118,9,118,100203
1004,技能啊,米啊奥术,20,4,91000002,6105,110,91000001,110,0,0,0,0,6,119,7,119,8,119,9,119,100203
1004,技能啊,米啊奥术,21,4,91000002,6216,111,91000001,111,0,0,0,0,6,120,7,120,8,120,9,120,100203
1004,技能啊,米啊奥术,22,4,91000002,6328,112,91000001,112,0,0,0,0,6,121,7,121,8,121,9,121,100203
1004,技能啊,米啊奥术,23,4,91000002,6441,113,91000001,113,0,0,0,0,6,122,7,122,8,122,9,122,100203
1004,技能啊,米啊奥术,24,4,91000002,6555,114,91000001,114,0,0,0,0,6,123,7,123,8,123,9,123,100203
1004,技能啊,米啊奥术,25,4,91000002,6670,115,91000001,115,0,0,0,0,6,124,7,124,8,124,9,124,100203
1004,技能啊,米啊奥术,26,4,91000002,6786,116,91000001,116,0,0,0,0,6,125,7,125,8,125,9,125,100203
1004,技能啊,米啊奥术,27,4,91000002,6903,117,91000001,117,0,0,0,0,6,126,7,126,8,126,9,126,100203
1004,技能啊,米啊奥术,28,4,91000002,7021,118,91000001,118,0,0,0,0,6,127,7,127,8,127,9,127,100203
1004,技能啊,米啊奥术,29,4,91000002,7140,119,91000001,119,0,0,0,0,6,128,7,128,8,128,9,128,100203
1004,技能啊,米啊奥术,30,4,91000002,7260,120,91000001,120,0,0,0,0,6,129,7,129,8,129,9,129,100203
1005,技能啊,米啊奥术,1,1,91000002,7381,121,91000001,121,0,0,0,0,6,130,7,130,8,130,9,130,100203
1005,技能啊,米啊奥术,2,1,91000002,7503,122,91000001,122,0,0,0,0,6,131,7,131,8,131,9,131,100203
1005,技能啊,米啊奥术,3,1,91000002,7626,123,91000001,123,0,0,0,0,6,132,7,132,8,132,9,132,100203
1005,技能啊,米啊奥术,4,1,91000002,7750,124,91000001,124,0,0,0,0,6,133,7,133,8,133,9,133,100203
1005,技能啊,米啊奥术,5,1,91000002,7875,125,91000001,125,0,0,0,0,6,134,7,134,8,134,9,134,100203
1005,技能啊,米啊奥术,6,1,91000002,8001,126,91000001,126,0,0,0,0,6,135,7,135,8,135,9,135,100203
1005,技能啊,米啊奥术,7,1,91000002,8128,127,91000001,127,0,0,0,0,6,136,7,136,8,136,9,136,100203
1005,技能啊,米啊奥术,8,1,91000002,8256,128,91000001,128,0,0,0,0,6,137,7,137,8,137,9,137,100203
1005,技能啊,米啊奥术,9,1,91000002,8385,129,91000001,129,0,0,0,0,6,138,7,138,8,138,9,138,100203
1005,技能啊,米啊奥术,10,1,91000002,8515,130,91000001,130,0,0,0,0,6,139,7,139,8,139,9,139,100203
1005,技能啊,米啊奥术,11,1,91000002,8646,131,91000001,131,0,0,0,0,6,140,7,140,8,140,9,140,100203
1005,技能啊,米啊奥术,12,1,91000002,8778,132,91000001,132,0,0,0,0,6,141,7,141,8,141,9,141,100203
1005,技能啊,米啊奥术,13,1,91000002,8911,133,91000001,133,0,0,0,0,6,142,7,142,8,142,9,142,100203
1005,技能啊,米啊奥术,14,1,91000002,9045,134,91000001,134,0,0,0,0,6,143,7,143,8,143,9,143,100203
1005,技能啊,米啊奥术,15,1,91000002,9180,135,91000001,135,0,0,0,0,6,144,7,144,8,144,9,144,100203
1005,技能啊,米啊奥术,16,1,91000002,9316,136,91000001,136,0,0,0,0,6,145,7,145,8,145,9,145,100203
1005,技能啊,米啊奥术,17,1,91000002,9453,137,91000001,137,0,0,0,0,6,146,7,146,8,146,9,146,100203
1005,技能啊,米啊奥术,18,1,91000002,9591,138,91000001,138,0,0,0,0,6,147,7,147,8,147,9,147,100203
1005,技能啊,米啊奥术,19,1,91000002,9730,139,91000001,139,0,0,0,0,6,148,7,148,8,148,9,148,100203
1005,技能啊,米啊奥术,20,1,91000002,9870,140,91000001,140,0,0,0,0,6,149,7,149,8,149,9,149,100203
1005,技能啊,米啊奥术,21,1,91000002,10011,141,91000001,141,0,0,0,0,6,150,7,150,8,150,9,150,100203
1005,技能啊,米啊奥术,22,1,91000002,10153,142,91000001,142,0,0,0,0,6,151,7,151,8,151,9,151,100203
1005,技能啊,米啊奥术,23,1,91000002,10296,143,91000001,143,0,0,0,0,6,152,7,152,8,152,9,152,100203
1005,技能啊,米啊奥术,24,1,91000002,10440,144,91000001,144,0,0,0,0,6,153,7,153,8,153,9,153,100203
1005,技能啊,米啊奥术,25,1,91000002,10585,145,91000001,145,0,0,0,0,6,154,7,154,8,154,9,154,100203
1005,技能啊,米啊奥术,26,1,91000002,10731,146,91000001,146,0,0,0,0,6,155,7,155,8,155,9,155,100203
1005,技能啊,米啊奥术,27,1,91000002,10878,147,91000001,147,0,0,0,0,6,156,7,156,8,156,9,156,100203
1005,技能啊,米啊奥术,28,1,91000002,11026,148,91000001,148,0,0,0,0,6,157,7,157,8,157,9,157,100203
1005,技能啊,米啊奥术,29,1,91000002,11175,149,91000001,149,0,0,0,0,6,158,7,158,8,158,9,158,100203
1005,技能啊,米啊奥术,30,1,91000002,11325,150,91000001,150,0,0,0,0,6,159,7,159,8,159,9,159,100203
1006,技能啊,米啊奥术,1,2,91000002,11476,151,91000001,151,0,0,0,0,6,160,7,160,8,160,9,160,100203
1006,技能啊,米啊奥术,2,2,91000002,11628,152,91000001,152,0,0,0,0,6,161,7,161,8,161,9,161,100203
1006,技能啊,米啊奥术,3,2,91000002,11781,153,91000001,153,0,0,0,0,6,162,7,162,8,162,9,162,100203
1006,技能啊,米啊奥术,4,2,91000002,11935,154,91000001,154,0,0,0,0,6,163,7,163,8,163,9,163,100203
1006,技能啊,米啊奥术,5,2,91000002,12090,155,91000001,155,0,0,0,0,6,164,7,164,8,164,9,164,100203
1006,技能啊,米啊奥术,6,2,91000002,12246,156,91000001,156,0,0,0,0,6,165,7,165,8,165,9,165,100203
1006,技能啊,米啊奥术,7,2,91000002,12403,157,91000001,157,0,0,0,0,6,166,7,166,8,166,9,166,100203
1006,技能啊,米啊奥术,8,2,91000002,12561,158,91000001,158,0,0,0,0,6,167,7,167,8,167,9,167,100203
1006,技能啊,米啊奥术,9,2,91000002,12720,159,91000001,159,0,0,0,0,6,168,7,168,8,168,9,168,100203
1006,技能啊,米啊奥术,10,2,91000002,12880,160,91000001,160,0,0,0,0,6,169,7,169,8,169,9,169,100203
1006,技能啊,米啊奥术,11,2,91000002,13041,161,91000001,161,0,0,0,0,6,170,7,170,8,170,9,170,100203
1006,技能啊,米啊奥术,12,2,91000002,13203,162,91000001,162,0,0,0,0,6,171,7,171,8,171,9,171,100203
1006,技能啊,米啊奥术,13,2,91000002,13366,163,91000001,163,0,0,0,0,6,172,7,172,8,172,9,172,100203
1006,技能啊,米啊奥术,14,2,91000002,13530,164,91000001,164,0,0,0,0,6,173,7,173,8,173,9,173,100203
1006,技能啊,米啊奥术,15,2,91000002,13695,165,91000001,165,0,0,0,0,6,174,7,174,8,174,9,174,100203
1006,技能啊,米啊奥术,16,2,91000002,13861,166,91000001,166,0,0,0,0,6,175,7,175,8,175,9,175,100203
1006,技能啊,米啊奥术,17,2,91000002,14028,167,91000001,167,0,0,0,0,6,176,7,176,8,176,9,176,100203
1006,技能啊,米啊奥术,18,2,91000002,14196,168,91000001,168,0,0,0,0,6,177,7,177,8,177,9,177,100203
1006,技能啊,米啊奥术,19,2,91000002,14365,169,91000001,169,0,0,0,0,6,178,7,178,8,178,9,178,100203
1006,技能啊,米啊奥术,20,2,91000002,14535,170,91000001,170,0,0,0,0,6,179,7,179,8,179,9,179,100203
1006,技能啊,米啊奥术,21,2,91000002,14706,171,91000001,171,0,0,0,0,6,180,7,180,8,180,9,180,100203
1006,技能啊,米啊奥术,22,2,91000002,14878,172,91000001,172,0,0,0,0,6,181,7,181,8,181,9,181,100203
1006,技能啊,米啊奥术,23,2,91000002,15051,173,91000001,173,0,0,0,0,6,182,7,182,8,182,9,182,100203
1006,技能啊,米啊奥术,24,2,91000002,15225,174,91000001,174,0,0,0,0,6,183,7,183,8,183,9,183,100203
1006,技能啊,米啊奥术,25,2,91000002,15400,175,91000001,175,0,0,0,0,6,184,7,184,8,184,9,184,100203
1006,技能啊,米啊奥术,26,2,91000002,15576,176,91000001,176,0,0,0,0,6,185,7,185,8,185,9,185,100203
1006,技能啊,米啊奥术,27,2,91000002,15753,177,91000001,177,0,0,0,0,6,186,7,186,8,186,9,186,100203
1006,技能啊,米啊奥术,28,2,91000002,15931,178,91000001,178,0,0,0,0,6,187,7,187,8,187,9,187,100203
1006,技能啊,米啊奥术,29,2,91000002,16110,179,91000001,179,0,0,0,0,6,188,7,188,8,188,9,188,100203
1006,技能啊,米啊奥术,30,2,91000002,16290,180,91000001,180,0,0,0,0,6,189,7,189,8,189,9,189,100203
1007,技能啊,米啊奥术,1,3,91000002,16471,181,91000001,181,0,0,0,0,6,190,7,190,8,190,9,190,100203
1007,技能啊,米啊奥术,2,3,91000002,16653,182,91000001,182,0,0,0,0,6,191,7,191,8,191,9,191,100203
1007,技能啊,米啊奥术,3,3,91000002,16836,183,91000001,183,0,0,0,0,6,192,7,192,8,192,9,192,100203
1007,技能啊,米啊奥术,4,3,91000002,17020,184,91000001,184,0,0,0,0,6,193,7,193,8,193,9,193,100203
1007,技能啊,米啊奥术,5,3,91000002,17205,185,91000001,185,0,0,0,0,6,194,7,194,8,194,9,194,100203
1007,技能啊,米啊奥术,6,3,91000002,17391,186,91000001,186,0,0,0,0,6,195,7,195,8,195,9,195,100203
1007,技能啊,米啊奥术,7,3,91000002,17578,187,91000001,187,0,0,0,0,6,196,7,196,8,196,9,196,100203
1007,技能啊,米啊奥术,8,3,91000002,17766,188,91000001,188,0,0,0,0,6,197,7,197,8,197,9,197,100203
1007,技能啊,米啊奥术,9,3,91000002,17955,189,91000001,189,0,0,0,0,6,198,7,198,8,198,9,198,100203
1007,技能啊,米啊奥术,10,3,91000002,18145,190,91000001,190,0,0,0,0,6,199,7,199,8,199,9,199,100203
1007,技能啊,米啊奥术,11,3,91000002,18336,191,91000001,191,0,0,0,0,6,200,7,200,8,200,9,200,100203
1007,技能啊,米啊奥术,12,3,91000002,18528,192,91000001,192,0,0,0,0,6,201,7,201,8,201,9,201,100203
1007,技能啊,米啊奥术,13,3,91000002,18721,193,91000001,193,0,0,0,0,6,202,7,202,8,202,9,202,100203
1007,技能啊,米啊奥术,14,3,91000002,18915,194,91000001,194,0,0,0,0,6,203,7,203,8,203,9,203,100203
1007,技能啊,米啊奥术,15,3,91000002,19110,195,91000001,195,0,0,0,0,6,204,7,204,8,204,9,204,100203
1007,技能啊,米啊奥术,16,3,91000002,19306,196,91000001,196,0,0,0,0,6,205,7,205,8,205,9,205,100203
1007,技能啊,米啊奥术,17,3,91000002,19503,197,91000001,197,0,0,0,0,6,206,7,206,8,206,9,206,100203
1007,技能啊,米啊奥术,18,3,91000002,19701,198,91000001,198,0,0,0,0,6,207,7,207,8,207,9,207,100203
1007,技能啊,米啊奥术,19,3,91000002,19900,199,91000001,199,0,0,0,0,6,208,7,208,8,208,9,208,100203
1007,技能啊,米啊奥术,20,3,91000002,20100,200,91000001,200,0,0,0,0,6,209,7,209,8,209,9,209,100203
1007,技能啊,米啊奥术,21,3,91000002,20301,201,91000001,201,0,0,0,0,6,210,7,210,8,210,9,210,100203
1007,技能啊,米啊奥术,22,3,91000002,20503,202,91000001,202,0,0,0,0,6,211,7,211,8,211,9,211,100203
1007,技能啊,米啊奥术,23,3,91000002,20706,203,91000001,203,0,0,0,0,6,212,7,212,8,212,9,212,100203
1007,技能啊,米啊奥术,24,3,91000002,20910,204,91000001,204,0,0,0,0,6,213,7,213,8,213,9,213,100203
1007,技能啊,米啊奥术,25,3,91000002,21115,205,91000001,205,0,0,0,0,6,214,7,214,8,214,9,214,100203
1007,技能啊,米啊奥术,26,3,91000002,21321,206,91000001,206,0,0,0,0,6,215,7,215,8,215,9,215,100203
1007,技能啊,米啊奥术,27,3,91000002,21528,207,91000001,207,0,0,0,0,6,216,7,216,8,216,9,216,100203
1007,技能啊,米啊奥术,28,3,91000002,21736,208,91000001,208,0,0,0,0,6,217,7,217,8,217,9,217,100203
1007,技能啊,米啊奥术,29,3,91000002,21945,209,91000001,209,0,0,0,0,6,218,7,218,8,218,9,218,100203
1007,技能啊,米啊奥术,30,3,91000002,22155,210,91000001,210,0,0,0,0,6,219,7,219,8,219,9,219,100203
1008,技能啊,米啊奥术,1,4,91000002,22366,211,91000001,211,0,0,0,0,6,220,7,220,8,220,9,220,100203
1008,技能啊,米啊奥术,2,4,91000002,22578,212,91000001,212,0,0,0,0,6,221,7,221,8,221,9,221,100203
1008,技能啊,米啊奥术,3,4,91000002,22791,213,91000001,213,0,0,0,0,6,222,7,222,8,222,9,222,100203
1008,技能啊,米啊奥术,4,4,91000002,23005,214,91000001,214,0,0,0,0,6,223,7,223,8,223,9,223,100203
1008,技能啊,米啊奥术,5,4,91000002,23220,215,91000001,215,0,0,0,0,6,224,7,224,8,224,9,224,100203
1008,技能啊,米啊奥术,6,4,91000002,23436,216,91000001,216,0,0,0,0,6,225,7,225,8,225,9,225,100203
1008,技能啊,米啊奥术,7,4,91000002,23653,217,91000001,217,0,0,0,0,6,226,7,226,8,226,9,226,100203
1008,技能啊,米啊奥术,8,4,91000002,23871,218,91000001,218,0,0,0,0,6,227,7,227,8,227,9,227,100203
1008,技能啊,米啊奥术,9,4,91000002,24090,219,91000001,219,0,0,0,0,6,228,7,228,8,228,9,228,100203
1008,技能啊,米啊奥术,10,4,91000002,24310,220,91000001,220,0,0,0,0,6,229,7,229,8,229,9,229,100203
1008,技能啊,米啊奥术,11,4,91000002,24531,221,91000001,221,0,0,0,0,6,230,7,230,8,230,9,230,100203
1008,技能啊,米啊奥术,12,4,91000002,24753,222,91000001,222,0,0,0,0,6,231,7,231,8,231,9,231,100203
1008,技能啊,米啊奥术,13,4,91000002,24976,223,91000001,223,0,0,0,0,6,232,7,232,8,232,9,232,100203
1008,技能啊,米啊奥术,14,4,91000002,25200,224,91000001,224,0,0,0,0,6,233,7,233,8,233,9,233,100203
1008,技能啊,米啊奥术,15,4,91000002,25425,225,91000001,225,0,0,0,0,6,234,7,234,8,234,9,234,100203
1008,技能啊,米啊奥术,16,4,91000002,25651,226,91000001,226,0,0,0,0,6,235,7,235,8,235,9,235,100203
