id,astrologyid,description,astrology_chance,astrology_mid,scorelim,itemid,itemnum,itemdes,itemwt,scorevalue,itemscore
69,10033,红色装备水阵营,0,0,0,60430081,1,崩山板甲,1,1,50
70,10033,红色装备火阵营,0,0,0,60430082,1,崩山板甲,1,1,50
71,10033,红色装备雷阵营,0,0,0,60430083,1,崩山板甲,1,1,50
72,10033,红色装备土阵营,0,0,0,60430084,1,崩山板甲,1,1,50
73,10033,红色装备光阵营,0,0,0,60430085,1,崩山板甲,1,1,50
74,10033,红色装备暗阵营,0,0,0,60430086,1,崩山板甲,1,1,50
75,10034,红色装备无阵营,7,7,1,60530080,1,魔焰法袍,6,1,50
76,10034,红色装备水阵营,0,0,0,60530081,1,魔焰法袍,1,1,50
77,10034,红色装备火阵营,0,0,0,60530082,1,魔焰法袍,1,1,50
78,10034,红色装备雷阵营,0,0,0,60530083,1,魔焰法袍,1,1,50
79,10034,红色装备土阵营,0,0,0,60530084,1,魔焰法袍,1,1,50
80,10034,红色装备光阵营,0,0,0,60530085,1,魔焰法袍,1,1,50
81,10034,红色装备暗阵营,0,0,0,60530086,1,魔焰法袍,1,1,50
82,10035,红色装备无阵营,7,7,1,60630080,1,大骑士皮甲,6,1,50
83,10035,红色装备水阵营,0,0,0,60630081,1,大骑士皮甲,1,1,50
84,10035,红色装备火阵营,0,0,0,60630082,1,大骑士皮甲,1,1,50
85,10035,红色装备雷阵营,0,0,0,60630083,1,大骑士皮甲,1,1,50
86,10035,红色装备土阵营,0,0,0,60630084,1,大骑士皮甲,1,1,50
87,10035,红色装备光阵营,0,0,0,60630085,1,大骑士皮甲,1,1,50
88,10035,红色装备暗阵营,0,0,0,60630086,1,大骑士皮甲,1,1,50
89,10036,红色装备无阵营,7,7,1,60440080,1,崩山战靴,6,1,50
90,10036,红色装备水阵营,0,0,0,60440081,1,崩山战靴,1,1,50
91,10036,红色装备火阵营,0,0,0,60440082,1,崩山战靴,1,1,50
92,10036,红色装备雷阵营,0,0,0,60440083,1,崩山战靴,1,1,50
93,10036,红色装备土阵营,0,0,0,60440084,1,崩山战靴,1,1,50
94,10036,红色装备光阵营,0,0,0,60440085,1,崩山战靴,1,1,50
95,10036,红色装备暗阵营,0,0,0,60440086,1,崩山战靴,1,1,50
96,10037,红色装备无阵营,7,7,1,60540080,1,魔焰布靴,6,1,50
97,10037,红色装备水阵营,0,0,0,60540081,1,魔焰布靴,1,1,50
98,10037,红色装备火阵营,0,0,0,60540082,1,魔焰布靴,1,1,50
99,10037,红色装备雷阵营,0,0,0,60540083,1,魔焰布靴,1,1,50
100,10037,红色装备土阵营,0,0,0,60540084,1,魔焰布靴,1,1,50
101,10037,红色装备光阵营,0,0,0,60540085,1,魔焰布靴,1,1,50
102,10037,红色装备暗阵营,0,0,0,60540086,1,魔焰布靴,1,1,50
103,10038,红色装备无阵营,7,7,1,60640080,1,大骑士皮靴,6,1,50
104,10038,红色装备水阵营,0,0,0,60640081,1,大骑士皮靴,1,1,50
105,10038,红色装备火阵营,0,0,0,60640082,1,大骑士皮靴,1,1,50
106,10038,红色装备雷阵营,0,0,0,60640083,1,大骑士皮靴,1,1,50
107,10038,红色装备土阵营,0,0,0,60640084,1,大骑士皮靴,1,1,50
108,10038,红色装备光阵营,0,0,0,60640085,1,大骑士皮靴,1,1,50
109,10038,红色装备暗阵营,0,0,0,60640086,1,大骑士皮靴,1,1,50
110,10001,目标英雄组,200,5000,10000,11100101,1,天命骑士,1,1,12000
111,10001,目标英雄组,0,0,0,11100201,1,水占巫女,1,1,12000
112,10001,目标英雄组,0,0,0,11100301,1,秘银狩猎,1,1,12000
113,10001,目标英雄组,0,0,0,11100401,1,漫游之星,1,1,12000
114,10001,目标英雄组,0,0,0,11100501,1,不落之壁,1,1,12000
115,10001,目标英雄组,0,0,0,11100601,1,贵族之刃,1,1,12000
116,10001,目标英雄组,0,0,0,11100701,1,怒涛守护,1,1,12000
117,10001,目标英雄组,0,0,0,11100801,1,神谕信使,1,1,12000
118,10001,目标英雄组,0,0,0,11100901,1,元素魔弓,1,1,12000
119,10001,目标英雄组,0,0,0,11101001,1,奇想学徒,1,1,12000
120,10001,目标英雄组,0,0,0,11101101,1,诸海之灾,1,1,12000
121,10001,目标英雄组,0,0,0,11101801,1,武圣,1,1,12000
122,10001,目标英雄组,0,0,0,11200101,1,怒火狂刃,1,1,12000
123,10001,目标英雄组,0,0,0,11200201,1,无畏之斧,1,1,12000
124,10001,目标英雄组,0,0,0,11200301,1,燎原暗箭,1,1,12000
125,10001,目标英雄组,0,0,0,11200401,1,炎魂祭司,1,1,12000
126,10001,目标英雄组,0,0,0,11200501,1,不屈战魂,1,1,12000
127,10001,目标英雄组,0,0,0,11200601,1,赤炎之锤,1,1,12000
128,10001,目标英雄组,0,0,0,11200701,1,胜利长枪,1,1,12000
129,10001,目标英雄组,0,0,0,11200901,1,林中女巫,1,1,12000
130,10001,目标英雄组,0,0,0,11201001,1,圣焰刀锋,1,1,12000
131,10001,目标英雄组,0,0,0,11201601,1,峰峦霸主,1,1,12000
132,10001,目标英雄组,0,0,0,11300101,1,不朽剑魔,1,1,12000
133,10001,目标英雄组,0,0,0,11300201,1,风雷魔巫,1,1,12000
134,10001,目标英雄组,0,0,0,11300301,1,雷鸣圣主,1,1,12000
135,10001,目标英雄组,0,0,0,11300401,1,暗域行者,1,1,12000
136,10001,目标英雄组,0,0,0,11300501,1,圣王之手,1,1,12000
137,10001,目标英雄组,0,0,0,11300601,1,驱雷之手,1,1,12000
138,10001,目标英雄组,0,0,0,11300701,1,幻影守卫,1,1,12000
139,10001,目标英雄组,0,0,0,11300801,1,影域修罗,1,1,12000
140,10001,目标英雄组,0,0,0,11300901,1,黑暗神官,1,1,12000
141,10001,目标英雄组,0,0,0,11400101,1,神愈之光,1,1,12000
142,10001,目标英雄组,0,0,0,11400201,1,秘林刺客,1,1,12000
143,10001,目标英雄组,0,0,0,11400301,1,野性之眼,1,1,12000
144,10001,目标英雄组,0,0,0,11400401,1,幻林使者,1,1,12000
145,10001,目标英雄组,0,0,0,11400501,1,复苏巫士,1,1,12000
146,10001,目标英雄组,0,0,0,11400601,1,疾风剑客,1,1,12000
147,10001,目标英雄组,0,0,0,11400701,1,绝世剑舞,1,1,12000
148,10001,目标英雄组,0,0,0,11400801,1,神峰守护,1,1,12000
149,10001,目标英雄组,0,0,0,11400901,1,缚法旅者,1,1,12000
150,10001,目标英雄组,0,0,0,11401501,1,小绿帽子,1,1,12000
151,10001,目标英雄组,0,0,0,11500101,1,审判利刃,1,1,18000
152,10001,目标英雄组,0,0,0,11500201,1,双子,1,1,18000
153,10001,目标英雄组,0,0,0,11500301,1,时序天使,1,1,18000
154,10001,目标英雄组,0,0,0,11500401,1,黎明圣炎,1,1,18000
155,10001,目标英雄组,0,0,0,11500601,1,众神之王,1,1,18000
156,10001,目标英雄组,0,0,0,11500701,1,齐天大圣,1,1,18000
157,10001,目标英雄组,0,0,0,11600101,1,暗域之炎,1,1,18000
158,10001,目标英雄组,0,0,0,11600201,1,支配魔眼,1,1,18000
159,10001,目标英雄组,0,0,0,11600701,1,霜寒之星,1,1,18000
160,10001,目标英雄组,0,0,0,11500501,1,湿婆,1,1,18000
161,10001,目标英雄组,0,0,0,11600901,1,哈奴曼,1,1,18000
