id,lv,monsterid
364,364,9301364
365,365,9301365
366,366,9301366
367,367,9301367
368,368,9301368
369,369,9301369
370,370,9301370
371,371,9301371
372,372,9301372
373,373,9301373
374,374,9301374
375,375,9301375
376,376,9301376
377,377,9301377
378,378,9301378
379,379,9301379
380,380,9301380
381,381,9301381
382,382,9301382
383,383,9301383
384,384,9301384
385,385,9301385
386,386,9301386
387,387,9301387
388,388,9301388
389,389,9301389
390,390,9301390
391,391,9301391
392,392,9301392
393,393,9301393
394,394,9301394
395,395,9301395
396,396,9301396
397,397,9301397
398,398,9301398
399,399,9301399
400,400,9301400
