id,sort,type,n1,n2,n3,txt,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6,group
100140,7,1,11,50,40000,第11-50名,91000002,70000,30020008,60,91000056,300,0,0,12500401,15,0,0,4
100141,8,1,51,100,10000,第51-100名,91000002,60000,30020008,40,91000056,280,0,0,12500401,10,0,0,4
100142,9,1,101,200,10000,第101-200名,91000002,50000,30020008,30,91000056,260,0,0,12500401,5,0,0,4
100143,10,1,201,500,10000,第201-500名,91000002,30000,30020008,20,91000056,240,0,0,12500401,3,0,0,4
100144,11,1,501,100000,0,第500名以外,91000002,10000,30020008,10,91000056,100,0,0,0,0,0,0,4
100145,1,1,1,1,200000,第1名,91000002,300000,30020008,300,91000056,1000,30020045,200,12500501,150,40000005,300,5
100146,2,1,2,2,180000,第2名,91000002,200000,30020008,150,91000056,800,30020045,150,12500501,120,40000005,150,5
100147,3,1,3,3,150000,第3名,91000002,100000,30020008,100,91000056,600,30020045,100,12500501,100,40000005,50,5
100148,4,1,4,4,100000,第4名,91000002,100000,30020008,80,91000056,400,30020045,50,12500501,50,0,0,5
100149,5,1,5,5,80000,第5名,91000002,90000,30020008,80,91000056,350,30020045,40,12500501,30,0,0,5
100150,6,1,6,10,50000,第6-10名,91000002,80000,30020008,60,91000056,320,30020045,30,12500501,20,0,0,5
100151,7,1,11,50,40000,第11-50名,91000002,70000,30020008,60,91000056,300,0,0,12500501,15,0,0,5
100152,8,1,51,100,10000,第51-100名,91000002,60000,30020008,40,91000056,280,0,0,12500501,10,0,0,5
100153,9,1,101,200,10000,第101-200名,91000002,50000,30020008,30,91000056,260,0,0,12500501,5,0,0,5
100154,10,1,201,500,10000,第201-500名,91000002,30000,30020008,20,91000056,240,0,0,12500501,3,0,0,5
100155,11,1,501,100000,0,第500名以外,91000002,10000,30020008,10,91000056,100,0,0,0,0,0,0,5
200001,1,2,1000,0,0,累计积分达到1000,91000002,10000,91000056,20,91000001,50000,0,0,0,0,0,0,0
200002,2,2,3000,0,0,累计积分达到3000,91000002,20000,91000056,20,91000001,50000,0,0,0,0,0,0,0
200003,3,2,4000,0,0,累计积分达到4000,91000002,30000,91000056,20,91000001,50000,0,0,0,0,0,0,0
200004,4,2,5000,0,0,累计积分达到5000,91000002,50000,91000056,20,91000001,50000,0,0,0,0,0,0,0
200005,5,2,8000,0,0,累计积分达到8000,91000002,80000,91000056,20,91000001,100000,0,0,0,0,0,0,0
200006,6,2,11000,0,0,累计积分达到11000,91000002,100000,91000056,30,91000001,100000,0,0,0,0,0,0,0
200007,7,2,15000,0,0,累计积分达到15000,13000002,10,40000003,30,91000001,100000,0,0,0,0,0,0,0
200008,8,2,23000,0,0,累计积分达到23000,13000002,10,40000003,30,91000001,100000,0,0,0,0,0,0,0
200009,9,2,31000,0,0,累计积分达到31000,13000002,20,40000003,30,91000001,200000,0,0,0,0,0,0,0
200010,10,2,41000,0,0,累计积分达到41000,13000002,20,40000003,30,91000001,200000,0,0,0,0,0,0,0
200011,11,2,53000,0,0,累计积分达到53000,13000002,20,40000003,40,91000001,300000,0,0,0,0,0,0,0
200012,12,2,65000,0,0,累计积分达到65000,13000002,20,40000003,40,91000001,300000,0,0,0,0,0,0,0
200013,13,2,85000,0,0,累计积分达到85000,13000002,20,40000003,40,91000001,300000,0,0,0,0,0,0,0
200014,14,2,105000,0,0,累计积分达到105000,13000002,20,40000003,40,91000001,300000,0,0,0,0,0,0,0
200015,15,2,123000,0,0,累计积分达到123000,91000041,5000,40000003,50,91000001,500000,0,0,0,0,0,0,0
200016,16,2,147000,0,0,累计积分达到147000,91000041,5000,40000003,50,91000001,500000,0,0,0,0,0,0,0
200017,17,2,171000,0,0,累计积分达到171000,91000041,10000,40000003,50,91000001,500000,0,0,0,0,0,0,0
200018,18,2,195000,0,0,累计积分达到195000,91000041,10000,40000003,50,91000001,500000,0,0,0,0,0,0,0
200019,19,2,225000,0,0,累计积分达到225000,91000041,20000,40000003,50,91000001,500000,0,0,0,0,0,0,0
200020,20,2,265000,0,0,累计积分达到265000,91000041,20000,40000003,50,91000001,500000,0,0,0,0,0,0,0
200021,21,2,305000,0,0,累计积分达到305000,91000041,50000,30020008,50,91000001,800000,0,0,0,0,0,0,0
200022,22,2,345000,0,0,累计积分达到345000,91000041,50000,30020008,50,91000001,800000,0,0,0,0,0,0,0
200023,23,2,385000,0,0,累计积分达到385000,91000041,100000,30020008,50,91000001,800000,0,0,0,0,0,0,0
200024,24,2,455000,0,0,累计积分达到455000,91000041,100000,30020008,50,91000001,800000,0,0,0,0,0,0,0
200025,25,2,535000,0,0,累计积分达到535000,91000041,200000,30020008,50,91000001,800000,0,0,0,0,0,0,0
200026,26,2,615000,0,0,累计积分达到615000,91000041,200000,30020008,50,91000001,800000,0,0,0,0,0,0,0
200027,27,2,715000,0,0,累计积分达到715000,42010003,10,30020049,1,91000001,1000000,0,0,0,0,0,0,0
200028,28,2,825000,0,0,累计积分达到825000,42010003,10,30020050,1,91000001,1000000,0,0,0,0,0,0,0
200029,29,2,975000,0,0,累计积分达到975000,42010003,10,30020051,1,91000001,1000000,0,0,0,0,0,0,0
200030,30,2,1125000,0,0,累计积分达到1125000,30200101,1,30020052,1,91000001,1000000,0,0,0,0,0,0,0
