itembag1,type1,item1,weight1,item2,weight2,item3,weight3,item4,weight4,item5,weight5,item6,weight6,item7,weight7,item8,weight8,item9,weight9,item10,weight10,item11,weight11,item12,weight12,item13,weight13,item14,weight14,item15,weight15,item16,weight16
3006,1,3103,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,1,3104,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,1,3105,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3009,1,3106,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,1,3107,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,1,3108,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,1,4011,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,1,4012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,1,4013,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,1,4014,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,1,4015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,1,4016,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4007,1,4017,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,1,4018,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4009,1,4019,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,1,4020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,1,4021,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4012,1,4022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,1,4023,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4014,1,4024,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001,2,5001,10000,5301,10000,5401,1000,5601,10000,5101,2000,5202,2000,5805,500,5701,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002,2,5601,10000,5302,10000,5401,1000,5601,1000,5101,2000,5202,2000,5805,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5003,2,5002,10000,5303,10000,5401,1000,5601,10000,5101,2000,5202,2000,5805,500,5701,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5004,2,5601,10000,5304,10000,5401,1000,5601,1000,5102,2000,5202,2000,5805,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5005,2,5601,10000,5305,10000,5402,1000,5601,1000,5102,2000,5203,2000,5806,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,2,5003,10000,5306,10000,5402,1000,5602,10000,5102,2000,5203,2000,5806,500,5702,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5007,2,5602,10000,5307,10000,5402,1000,5602,1000,5102,2000,5203,2000,5806,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008,2,5602,10000,5308,10000,5402,1000,5602,1000,5103,2000,5203,2000,5806,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009,2,5004,10000,5309,10000,5402,1000,5602,10000,5103,2000,5204,2000,5807,500,5702,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5010,2,5602,10000,5310,10000,5402,1000,5602,1000,5103,2000,5204,2000,5807,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5011,2,5603,10000,5311,10000,5403,1000,5603,1000,5103,2000,5204,2000,5807,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5012,2,5005,10000,5312,10000,5403,1000,5603,10000,5103,2000,5204,2000,5807,500,5703,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5013,2,5603,10000,5313,10000,5403,1000,5603,1000,5104,2000,5204,2000,5808,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5014,2,5603,10000,5314,10000,5403,1000,5603,1000,5104,2000,5205,2000,5808,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5015,2,5006,10000,5315,10000,5403,1000,5603,10000,5104,2000,5205,2000,5808,500,5704,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,2,5805,500,5101,10000,5301,10000,5001,1200,5401,1000,5805,500,5002,1000,5701,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6002,2,5805,500,5101,10000,5301,10000,5601,1200,5401,1000,5805,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,2,5805,500,5101,10000,5301,10000,5002,1200,5401,1000,5805,500,5002,1000,5701,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,2,5805,500,5102,10000,5302,10000,5601,1000,5401,1000,5805,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,2,5806,500,5102,10000,5302,10000,5601,1000,5402,1000,5806,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,2,5806,500,5102,10000,5302,10000,5003,1000,5402,1000,5806,500,5002,1000,5702,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6007,2,5806,500,5102,10000,5303,10000,5602,900,5402,1000,5806,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6008,2,5806,500,5103,10000,5303,10000,5602,900,5402,1000,5806,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,2,5807,500,5103,10000,5303,10000,5004,900,5402,1000,5807,500,5002,1000,5702,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6010,2,5807,500,5103,10000,5304,10000,5602,700,5402,1000,5807,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6011,2,5807,500,5103,10000,5304,10000,5603,700,5403,1000,5807,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6012,2,5807,500,5103,10000,5304,10000,5005,700,5403,1000,5807,500,5002,1000,5703,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013,2,5808,500,5104,10000,5305,10000,5603,500,5403,1000,5808,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6014,2,5808,500,5104,10000,5305,10000,5603,500,5403,1000,5808,500,5002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6015,2,5808,500,5104,10000,5305,10000,5006,500,5403,1000,5808,500,5002,1000,5704,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6559,1,6559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6560,1,6560,7,6561,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7001,1,7011,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7002,1,7012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7003,1,7013,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7004,2,6001,10000,6002,2000,6003,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7005,2,6004,10000,6005,2000,6006,2000,6007,100,6008,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7006,2,6009,10000,6010,2000,6011,2000,6008,200,6015,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7007,2,6018,10000,6017,2000,6016,2000,6015,200,6012,100,6013,100,6014,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7008,2,6019,10000,6022,10000,6026,10000,6031,5000,6036,5000,6002,5000,6003,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7009,2,6103,10000,6023,10000,6027,10000,6032,5000,6037,5000,6005,5000,6006,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7010,2,6020,10000,6024,10000,6028,10000,6033,5000,6038,5000,6011,5000,6010,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7011,2,6104,10000,6025,10000,6029,10000,6034,5000,6039,5000,6016,5000,6017,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7012,2,6021,10000,6025,10000,6030,10000,6035,5000,6040,5000,6016,5000,6017,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7013,2,6110,10000,6134,8000,6158,8000,6182,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7014,2,6111,10000,6135,8000,6159,8000,6183,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015,2,6112,10000,6136,8000,6160,8000,6184,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7016,2,6113,10000,6137,8000,6161,8000,6185,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7017,2,6114,10000,6138,8000,6162,8000,6186,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018,2,6115,10000,6139,8000,6163,8000,6187,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7019,2,6116,10000,6140,8000,6164,8000,6188,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7020,2,6117,10000,6141,8000,6165,8000,6189,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7021,2,6118,10000,6142,8000,6166,8000,6190,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7022,2,6119,10000,6143,8000,6167,8000,6191,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7023,2,6120,10000,6144,8000,6168,8000,6192,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7024,2,6121,10000,6145,8000,6169,8000,6193,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7025,2,6122,10000,6146,8000,6170,8000,6194,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7026,2,6123,10000,6147,8000,6171,8000,6195,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7027,2,6124,10000,6148,8000,6172,8000,6196,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7028,2,6125,10000,6149,8000,6173,8000,6197,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7029,2,6126,10000,6150,8000,6174,8000,6198,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030,2,6127,10000,6151,8000,6175,8000,6199,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7031,2,6128,10000,6152,8000,6176,8000,6200,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7032,2,6129,10000,6153,8000,6177,8000,6201,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7033,2,6130,10000,6154,8000,6178,8000,6202,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7034,2,6131,10000,6155,8000,6179,8000,6203,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7035,2,6132,10000,6156,8000,6180,8000,6204,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7036,2,6133,10000,6157,8000,6181,8000,6205,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7037,2,6214,10000,6210,10000,6222,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7038,2,6215,10000,6211,10000,6223,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7039,2,6216,10000,6212,10000,6224,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7040,2,6217,10000,6213,10000,6225,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7041,2,6230,10000,6231,10000,6234,10000,6235,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7042,1,6531,37,6532,16,6533,50,6534,69,6535,40,6536,50,6537,12,6538,5,6539,4,6540,1,6541,1,6542,20,6543,5,6544,2,6545,2,6546,36
7043,2,6547,10000,6553,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7044,2,6547,10000,6554,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7045,2,6547,10000,6555,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7046,2,6547,10000,6556,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7047,2,6547,10000,6557,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7048,2,6547,10000,6558,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7049,2,6548,10000,6553,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7050,2,6548,10000,6554,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7051,2,6548,10000,6555,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7052,2,6548,10000,6556,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7053,2,6548,10000,6557,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7054,2,6548,10000,6558,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,2,6549,10000,6553,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7056,2,6549,10000,6554,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7057,2,6549,10000,6555,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7058,2,6549,10000,6556,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7059,2,6549,10000,6557,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7060,2,6549,10000,6558,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7061,2,6550,10000,6553,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7062,2,6550,10000,6554,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7063,2,6550,10000,6555,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7064,2,6550,10000,6556,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7065,2,6550,10000,6557,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7066,2,6550,10000,6558,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7067,2,6551,10000,6553,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7068,2,6551,10000,6554,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7069,2,6551,10000,6555,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7070,2,6551,10000,6556,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7071,2,6551,10000,6557,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7072,2,6551,10000,6558,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7073,2,6552,10000,6553,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7074,2,6552,10000,6554,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7075,2,6552,10000,6555,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7076,2,6552,10000,6556,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7077,2,6552,10000,6557,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7078,2,6552,10000,6558,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999,1,9999,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,2,10000,10000,10001,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,2,12010,12011,12012,12013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,2,12020,12021,12022,12023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12002,2,12030,12031,12032,12033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12003,2,12040,12041,12042,12043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,2,13010,13011,13012,13013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13001,2,13020,13021,13022,13023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13002,2,13030,13031,13032,13033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13003,2,13040,13041,13042,13043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000,2,14010,14011,14012,14013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14001,2,14020,14021,14022,14023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14002,2,14030,14031,14032,14033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14003,2,14040,14041,14042,14043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,1,40006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003,1,30003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20008,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,1,30002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,1,30004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30004,1,30004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39999,1,30004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40001,1,40001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40002,1,40001,715,40002,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40003,1,40001,6217,40002,2478,40003,435,40004,435,40005,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40004,1,40001,10,40002,7,40003,1,40004,1,40005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40007,1,40007,1,40008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40008,1,40009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40009,1,40007,32,40008,32,40009,32,40010,1,40011,1,40012,1,40013,1,40014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41001,1,40005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
