id,group,lv,hp,starthp,Level1,drop1,Level2,drop2,Level3,drop3,diamond_time,diamond1,diamond_chance1,diamond2,diamond_chance2,diamond3,diamond_chance3,personalitem1,personalnum1,personalitem2,personalnum2,personalitem3,personalnum3,guilditem1,guildnum1,guilditem2,guildnum2,guilditem3,guildnum3
16,1001,16,99999999,45000000,0,30013,111240,30014,111740,30014,0,0,0,0,0,0,0,91000001,850000,91000025,1105,0,0,91000001,425000,91000025,552,0,0
17,1001,17,300000000,99999999,0,30014,111240,30014,111740,30015,0,0,0,0,0,0,0,91000001,1000000,91000025,1170,0,0,91000001,500000,91000025,585,0,0
18,1001,18,999999999,300000000,0,30014,111240,30015,111740,30015,0,0,0,0,0,0,0,91000001,1200000,91000025,1235,0,0,91000001,600000,91000025,617,0,0
19,1001,19,1999999999,999999999,0,30015,111240,30015,111740,30006,0,0,0,0,0,0,0,91000001,1400000,91000025,1300,0,0,91000001,700000,91000025,650,0,0
20,1001,20,4999999999,1999999999,0,30015,111240,30006,111740,30006,0,0,0,0,0,0,0,91000001,1600000,91000025,1365,0,0,91000001,800000,91000025,682,0,0
21,1001,21,9999999999,4999999999,0,30015,111240,30006,111740,30006,0,0,0,0,0,0,0,91000001,1800000,91000025,1430,0,0,91000001,900000,91000025,715,0,0
22,1001,22,19999999999,9999999999,0,30015,111240,30006,111740,30006,0,0,0,0,0,0,0,91000001,2000000,91000025,1495,0,0,91000001,1000000,91000025,747,0,0
23,1001,23,49999999999,19999999999,0,30015,111240,30006,111740,30006,0,0,0,0,0,0,0,91000001,2200000,91000025,1560,0,0,91000001,1100000,91000025,780,0,0
24,1002,1,5000,0,0,30010,111240,30010,111740,30010,3,30020009,2500,30020010,1500,30020011,1000,91000001,5000,91000025,130,0,0,91000001,2000,91000025,52,0,0
25,1002,2,10000,5000,0,30010,111240,30010,111740,30010,0,0,0,0,0,0,0,91000001,10000,91000025,195,0,0,91000001,4000,91000025,78,0,0
26,1002,3,20000,10000,0,30010,111240,30010,111740,30002,0,0,0,0,0,0,0,91000001,15000,91000025,260,0,0,91000001,6000,91000025,104,0,0
27,1002,4,40000,20000,0,30010,111240,30002,111740,30002,0,0,0,0,0,0,0,91000001,20000,91000025,325,0,0,91000001,8000,91000025,130,0,0
28,1002,5,70000,40000,0,30002,111240,30002,111740,30011,0,0,0,0,0,0,0,91000001,30000,91000025,390,0,0,91000001,12000,91000025,156,0,0
29,1002,6,120000,70000,0,30002,111240,30011,111740,30011,0,0,0,0,0,0,0,91000001,40000,91000025,455,0,0,91000001,16000,91000025,182,0,0
30,1002,7,220000,120000,0,30011,111240,30011,111740,30003,0,0,0,0,0,0,0,91000001,60000,91000025,520,0,0,91000001,24000,91000025,208,0,0
31,1002,8,450000,220000,0,30011,111240,30003,111740,30003,0,0,0,0,0,0,0,91000001,80000,91000025,585,0,0,91000001,32000,91000025,234,0,0
32,1002,9,820000,450000,0,30003,111240,30003,111740,30012,0,0,0,0,0,0,0,91000001,100000,91000025,650,0,0,91000001,40000,91000025,260,0,0
33,1002,10,1550000,820000,0,30003,111240,30012,111740,30012,0,0,0,0,0,0,0,91000001,200000,91000025,715,0,0,91000001,80000,91000025,286,0,0
34,1002,11,3000000,1550000,0,30012,111240,30012,111740,30013,0,0,0,0,0,0,0,91000001,300000,91000025,780,0,0,91000001,120000,91000025,312,0,0
35,1002,12,5500000,3000000,0,30012,111240,30013,111740,30013,0,0,0,0,0,0,0,91000001,400000,91000025,845,0,0,91000001,160000,91000025,338,0,0
36,1002,13,10000000,5500000,0,30013,111240,30013,111740,30014,0,0,0,0,0,0,0,91000001,500000,91000025,910,0,0,91000001,200000,91000025,364,0,0
37,1002,14,20000000,10000000,0,30013,111240,30014,111740,30014,0,0,0,0,0,0,0,91000001,600000,91000025,975,0,0,91000001,240000,91000025,390,0,0
38,1002,15,45000000,20000000,0,30014,111240,30014,111740,30015,0,0,0,0,0,0,0,91000001,700000,91000025,1040,0,0,91000001,280000,91000025,416,0,0
39,1002,16,99999999,45000000,0,30014,111240,30015,111740,30015,0,0,0,0,0,0,0,91000001,850000,91000025,1105,0,0,91000001,340000,91000025,442,0,0
40,1002,17,300000000,99999999,0,30015,111240,30015,111740,30006,0,0,0,0,0,0,0,91000001,1000000,91000025,1170,0,0,91000001,400000,91000025,468,0,0
41,1002,18,999999999,300000000,0,30015,111240,30006,111740,30006,0,0,0,0,0,0,0,91000001,1200000,91000025,1235,0,0,91000001,480000,91000025,494,0,0
42,1002,19,1999999999,999999999,0,30006,111240,30006,111740,30016,0,0,0,0,0,0,0,91000001,1400000,91000025,1300,0,0,91000001,560000,91000025,520,0,0
43,1002,20,4999999999,1999999999,0,30006,111240,30016,111740,30016,0,0,0,0,0,0,0,91000001,1600000,91000025,1365,0,0,91000001,640000,91000025,546,0,0
44,1002,21,9999999999,4999999999,0,30006,111240,30016,111740,30016,0,0,0,0,0,0,0,91000001,1800000,91000025,1430,0,0,91000001,720000,91000025,572,0,0
45,1002,22,19999999999,9999999999,0,30006,111240,30016,111740,30016,0,0,0,0,0,0,0,91000001,2000000,91000025,1495,0,0,91000001,800000,91000025,598,0,0
46,1002,23,49999999999,19999999999,0,30006,111240,30016,111740,30016,0,0,0,0,0,0,0,91000001,2200000,91000025,1560,0,0,91000001,880000,91000025,624,0,0
