levelid,type,open1,open2,open3,speci,diffculty,level,front,personimage,name,descriptiont,talk,tips,award1,award2,award3,award4,item1,item2,item3
9101350,1,1,4,7,3,5,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101360,1,1,4,7,3,6,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101370,1,1,4,7,3,7,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101410,1,1,4,7,4,1,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101420,1,1,4,7,4,2,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101430,1,1,4,7,4,3,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101440,1,1,4,7,4,4,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101450,1,1,4,7,4,5,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101460,1,1,4,7,4,6,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101470,1,1,4,7,4,7,54,9101370,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101510,1,1,4,7,5,1,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101520,1,1,4,7,5,2,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101530,1,1,4,7,5,3,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101540,1,1,4,7,5,4,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101550,1,1,4,7,5,5,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101560,1,1,4,7,5,6,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101570,1,1,4,7,5,7,63,9101470,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101610,1,1,4,7,6,1,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101620,1,1,4,7,6,2,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101630,1,1,4,7,6,3,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101640,1,1,4,7,6,4,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101650,1,1,4,7,6,5,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101660,1,1,4,7,6,6,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101670,1,1,4,7,6,7,71,9101570,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000003,0,81900001,91000001,76000003
9101710,1,1,4,7,7,1,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101720,1,1,4,7,7,2,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101730,1,1,4,7,7,3,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101740,1,1,4,7,7,4,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101750,1,1,4,7,7,5,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101760,1,1,4,7,7,6,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101770,1,1,4,7,7,7,78,9101670,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101810,1,1,4,7,8,1,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101820,1,1,4,7,8,2,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101830,1,1,4,7,8,3,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101840,1,1,4,7,8,4,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101850,1,1,4,7,8,5,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101860,1,1,4,7,8,6,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101870,1,1,4,7,8,7,82,9101770,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101910,1,1,4,7,9,1,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101920,1,1,4,7,9,2,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101930,1,1,4,7,9,3,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101940,1,1,4,7,9,4,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101950,1,1,4,7,9,5,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101960,1,1,4,7,9,6,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
9101970,1,1,4,7,9,7,85,9101870,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000004,0,81900001,91000001,76000004
91011010,1,1,4,7,10,1,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
91011020,1,1,4,7,10,2,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
91011030,1,1,4,7,10,3,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
91011040,1,1,4,7,10,4,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
91011050,1,1,4,7,10,5,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
91011060,1,1,4,7,10,6,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
91011070,1,1,4,7,10,7,88,9101970,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000005,0,81900001,91000001,76000005
9102110,2,2,5,7,1,1,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102120,2,2,5,7,1,2,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102130,2,2,5,7,1,3,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102140,2,2,5,7,1,4,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102150,2,2,5,7,1,5,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102160,2,2,5,7,1,6,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102170,2,2,5,7,1,7,1,0,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000008,23000007
9102210,2,2,5,7,2,1,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102220,2,2,5,7,2,2,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102230,2,2,5,7,2,3,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102240,2,2,5,7,2,4,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102250,2,2,5,7,2,5,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102260,2,2,5,7,2,6,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102270,2,2,5,7,2,7,39,9102170,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000002,23000009,23000008
9102310,2,2,5,7,3,1,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102320,2,2,5,7,3,2,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102330,2,2,5,7,3,3,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102340,2,2,5,7,3,4,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102350,2,2,5,7,3,5,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102360,2,2,5,7,3,6,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102370,2,2,5,7,3,7,48,9102270,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000010,23000009
9102410,2,2,5,7,4,1,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9102420,2,2,5,7,4,2,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9102430,2,2,5,7,4,3,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9102440,2,2,5,7,4,4,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9102450,2,2,5,7,4,5,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9102460,2,2,5,7,4,6,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9102470,2,2,5,7,4,7,57,9102370,plogo1001,千里单骑,来的正好，待会关某砍人的时候，帮我照看好嫂子。,这一路绿意盎然，是时候活动筋骨了。,一路刚到底,71000003,76000003,81900001,0,76000003,23000011,23000010
9103110,3,3,6,7,1,1,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103120,3,3,6,7,1,2,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103130,3,3,6,7,1,3,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103140,3,3,6,7,1,4,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103150,3,3,6,7,1,5,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103160,3,3,6,7,1,6,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103170,3,3,6,7,1,7,1,0,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000008,23000007
9103210,3,3,6,7,2,1,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103220,3,3,6,7,2,2,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103230,3,3,6,7,2,3,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103240,3,3,6,7,2,4,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103250,3,3,6,7,2,5,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103260,3,3,6,7,2,6,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103270,3,3,6,7,2,7,42,9103170,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000009,23000008
9103310,3,3,6,7,3,1,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
9103320,3,3,6,7,3,2,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
9103330,3,3,6,7,3,3,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
9103340,3,3,6,7,3,4,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
9103350,3,3,6,7,3,5,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
9103360,3,3,6,7,3,6,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
9103370,3,3,6,7,3,7,51,9103270,plogo1004,七进七出,我是来寻觅嫂嫂和小主的，你有他们的下落吗？,这年头做嫂嫂可真不容易啊。,片甲不留,71000003,76000003,81900001,0,81900001,23000010,23000009
