dec,str
STR_CONSUME_AWARD,|%s%s|人品爆棚在诸神黄昏活动中，获得|%s%s|！
STR_CONSUME_SPECIAL_AWARD,你击杀了%s级【%s】，获得了特殊奖励！
STR_CONSUME_SUCCESS_KILL,成功击杀
STR_DIPLOMACY_ALIGN,|%s%s|与|%s%s|结盟
STR_DIPLOMACY_RECORD_CONTENT,|%s%s|太过于强大，|%s%s|与|%s%s|结盟自保！
STR_DIPLOMACY_DEALIGN,|%s%s|与|%s%s|解除结盟
STR_DIPLOMACY_DEALIGN_CONTENT,|%s%s|不足为患，|%s%s|与|%s%s|结盟解除！
STR_DIPLOMACY_CALL_WAR,163#255#44#%s|对%s进行宣战！
STR_KING_MAIL_CONTENT,上期王权争夺已结束，已离开爵位，在位【%s】的【%s】%d小时%d分%d秒奖励发放
STR_KING_MAIL_TITLE,爵位到期奖励
STR_KING_UNION_WIN,军团成功占领%s
STR_KING_MAIL_AWARD,王权占领奖励
STR_KING_SALARY,您占领【%s】的【%s】，在位%d小时%d分%d秒获得奖励发放
STR_KING_LEFT_AWARD,您占领【%s】的【%s】，在位%d小时%d分%d秒被玩家%s击败，剩余奖励发放
STR_KING_MAIL_CONTENT_NOREWARD,上期王权争夺已结束，已离开爵位，在位【%s】的【%s】%d小时%d分%d秒，未能获得任何奖励
STR_KING_SALARY_NOREWARD,您占领【%s】的【%s】，在位%d小时%d分%d秒，未能获得任何奖励
STR_KING_LEFT_AWARD_NOREWARD,您占领【%s】的【%s】，在位%d小时%d分%d秒被玩家%s击败，未能获得任何奖励
STR_KING_NOBLE_AWARD,爵位奖励
STR_SYS_MSG,系统消息
STR_MINE_BUFF,双倍据点已出现到{%s}，请各位勇士注意！
STR_MINE_TAKEN,%s的%s占领了%s！
STR_MINE_DEFENCE_TIMES,恭喜你获得1次驰援
STR_MINE_ATTACK_TIMES,恭喜你获得1次奔袭
STR_PVP_AWARD_MAIL,斗技场奖励
STR_PVP_MAIL_CONTENT,您在斗技场中排名第%d，获得如下奖励
STR_RED_PAC_CHAT,|%s%s|发送了一个|231#131#33#%s|红包
STR_SYS_TEXT,系统
STR_ACT_NO_PLAYER,虚位以待
STR_BEAUTY_ACTIVATE,恭喜|163#255#44#%s|激活了|229#28#28#%s|的宝物|229#28#28#%s|！
STR_BEAUTY_LEVEL,恭喜|163#255#44#%s|将|229#28#28#%s|的|229#28#28#%s|进阶到了|229#28#28#%s|！
STR_BEAUTY_ACTIVATE_SUCCESS,恭喜|163#255#44#%s|激活了|229#28#28#%s|！
STR_BEAUTY_LEVEL_SUCCESS,恭喜|163#255#44#%s|成功将|229#28#28#%s|进阶到|229#28#28#+%d|！
STR_BOSS_BUY_TITLE,兑换成功(巨兽)
STR_BOSS_BUY_CONTENT,已成功兑换 巨兽-%s(花费 %s %d)
STR_BOSS_AUTOBUY_TITLE,自动续费(巨兽)
STR_BOSS_AUTOBUY_CONTENT,巨兽-%s  自动续费成功(花费 %s %d)
STR_BOSS_OUTOF_DATE,已过期(巨兽)
STR_BOSS_OUTOF_TEXT,巨兽-%s  使用时间已到期(巨兽对应特权无法使用)
STR_DAILY_RECHARGE_AWARD,连续充值未领取奖励补发
STR_GENERAL_MAIL_TITLE,次元召唤积分奖励
STR_GENERAL_MAIL_CONTENT,你在次元召唤系统中获得了%d积分，有奖励未领取，系统已帮你自动领取，请注意查收。
STR_HALFMOON_MAIL_TITLE,半月活动
STR_HALFMOON_MAIL_CONTENT,半月活动中未领取的奖励
STR_HORSE_CONTENT,恭喜|%s%s|的|%s%s|在%s时，获得|%s%s星|橙色魔宠|%s%s|
STR_HORSE_HIGH_CALL,高级召唤
STR_HORSE_COMMON_CALL,普通召唤
STR_LUCK_SHOP_FRESH,刷新时，幸运商店没有领取的礼包
STR_LUCK_SHOP_MAIL,幸运商店礼包
STR_LUCK_SHOP_LEFT_AWARD,幸运商店发放未领取的礼包
STR_MAIL_AWARD_GOT,邮件领取
STR_MONEY_TASK_NOTICE,%s在悬赏任务中获得%s
STR_PVP_AWARD,斗技场奖励
STR_PVP_FIGHT,斗技场战斗
STR_MONTH_CARD,月卡至多叠加至120天
STR_MONTH_CARD_LEFT,月卡剩余2天才可以重复购买
STR_RECHARGE_NOTICE,163#255#44#%s|领取了首充礼包，称霸天下指日可待！
STR_SEVEN_TITLE,七日活动
STR_SEVEN_CONTENT,七日活动未领取的奖励
STR_UNION_ATTEND,|255#135#47#%s|军团招募新成员！|113#228#37#点击申请加入军团|
STR_PLAYER_CONFIG_ERROR,消耗配置错误
STR_LOGIN_MAIL_TITLE,登录奖励
STR_LOGIN_MAIL_CONTENT,您好！欢迎进入游戏，祝您游戏愉快！
STR_GUEST,游客%d
STR_UNION_STATE_BOX,州宝箱奖励发放
STR_FIGHT_CONFIG_NOT_FOUND,找不到配置数据，请检测配置文件
STR_FIGHT_CANNOT_ATTEN_NOT_IN_STAGE,不是报名阶段，无法报名
STR_CSVMGR_TURNTABLE_CONFIGURATION_ERROR,转盘配置错误
STR_CSVMGR_THE_TOTAL_WEIGHT_OF_TURNTABLE,转盘掉落总权重为0
STR_CSVMGR_ROTARY_DISK_FALLING_CONFIGURATION_NOT,转盘掉落配置找不到
STR_CSVMGR_NO_FLIP_ALLOCATION_EXISTS,翻牌活动配置不存在
STR_CSVMGR_THE_NUMBER_OF_PERIODS_IS,期数为0
STR_CSVMGR_GROUP_FIELD_NOT_FOUND,找不到组字段
STR_CSVMGR_UNABLE_TO_FIND_THE_CORRESPONDING,找不到group对应的翻牌配置
STR_CSVMGR_THE_TOTAL_WEIGHT_OF_ROLLOVER,翻牌掉落总权重为0
STR_CSVMGR_TURNOVER_DROP_CONFIGURATION_NOT_FOUND,翻牌掉落配置找不到
STR_CSVMGR_GOLDEN_EGG_BREAKING_ACTIVITY_CONFIGURATION,砸金蛋活动配置不存在
STR_CSVMGR_N4_IS_0,n4为0
STR_CSVMGR_THE_GROUP_FIELD_COULD_NOT,找不到group字段
STR_CSVMGR_BATTLE_HORSE_CONVERSION_TOTAL_WEIGHT,战马转换总权重为0
STR_CSVMGR_SERVER_LOGIC_EXCEPTION,服务器逻辑异常
STR_FIGHT_THE_WRONG_STRONGHOLD,错误的据点！
STR_FIGHT_THE_BATTLE_IN_THIS_STRONGHOLD,该据点战斗己结束
STR_FIGHT_YOUR_OPERATION_IS_TOO_FAST,你的操作过快，请稍后再试
STR_FIGHT_YOU_DID_NOT_TAKE_PART,你没有参加国战
STR_FIGHT_YOU_DONT_HAVE_THE_REST,你没有剩余次数，请完成相关战斗
STR_FIGHT_PERSONAL_COMBAT_DATA_NOT_AVAILABLE,找不到个人战数据，请重新开始
STR_FIGHT_THE_BATTLE_IS_OVER,战斗已经结束
STR_FIGHT_THE_BATTLE_IN_THE_CITY,该城池战斗已经结束，正在处理中
STR_FIGHT_INVALID_STRONGHOLDS,无效的据点
STR_FIGHT_CANNOT_BE_USED_DURING_COOLING,冷却时间中，无法使用
STR_FIGHT_UNABLE_TO_USE_THIS_SKILL,无法使用该技能
STR_FIGHTTEAMEX_THE_FINAL_BATTLE_HAS_NOT,决战还没有开放，无法报名
STR_MGR_DIPLOMACY_NO_PROPOSAL_TO_ATTACK_THE,无法提议攻城！
STR_MGR_DIPLOMACY_THERE_ARE_TARGETS_TO_ATTACK,已有攻城目标！
STR_MGR_DIPLOMACY_CITY_POOL_ERROR,城池错误！
STR_MGR_DIPLOMACY_YOU_CANT_PROPOSE_TO_ATTACK,不能提议攻打自己的城池！
STR_MGR_DIPLOMACY_TARGET_CITY_POOL_HAS_BEEN,已经提议了目标城池！
STR_MGR_DIPLOMACY_SUCCESS_IN_THE_PROPOSED_SIEGE,提议攻城成功！
STR_MGR_GENERAL_YOU_ARE_NOT_ON_THE,您未上榜， 无奖励可领取
STR_MGR_PASS_RECORD_NO_BARRIER_EXISTS,暂无关卡记录
STR_MGR_UNION_FAILED_TO_RETRIEVE_REPLICA_INFORMATION,获取副本信息失败，请重新获取
STR_MGR_UNION_THIS_COPY_IS_BEING_ATTACKED,该副本正在被其他玩家攻打，请稍后再试
STR_MGR_UNION_THIS_COPY_HAS_BEEN_COMPLETED,该副本已完成，请刷新
STR_MGR_UNION_THE_BATTLE_HAS_FAILED,该战斗已失效
STR_MGR_UNION_UNCOMPLETED_COPY,未完成该副本
STR_MOD_INVESTMONEY_ACTIVITY_CONFIGURATION_DOES_NOT_EXIST,活动配置不存在[期数错误/活动结束]
STR_MOD_INVESTMONEY_DIAMOND_SHORTAGE,钻石不足
STR_MOD_INVESTMONEY_RANDOM_FAILURE_OF_GOODS,物品随机失败
STR_MOD_INVESTMONEY_LACK_OF_ARISTOCRATIC_RANK,贵族等级不足
STR_MOD_INVESTMONEY_RECRUITMENT_HAS_BEEN_EXHAUSTED,招财次数已用完
STR_MOD_ACTIVITY_THE_LINE-UP_WAS_NOT_OPENED,排行活动没开启
STR_MOD_ACTIVITY_ACTIVITIES_DO_NOT_EXIST,活动不存在
STR_MOD_ACTIVITY_THE_AWARD_HAS_BEEN_RECEIVED,奖励已领取
STR_MOD_ACTIVITY_SUBACTIVITY_DOES_NOT_EXIST,子活动不存在
STR_MOD_ACTIVITY_THE_CAMPAIGN_HASNT_STARTED_YET,该活动还没开始
STR_MOD_ACTIVITY_INCORRECT_TYPES_OF_REWARD_TASKS,该活动奖励任务类型不对
STR_MOD_ACTIVITY_CONFIGURATION_ERROR,配置错误
STR_MOD_ACTIVITY_LACK_OF_ARISTOCRATIC_RANK,贵族等级不足
STR_MOD_ACTIVITY_LACK_OF_PROPS,道具不足
STR_MOD_ACTIVITY_QUANTITY_RANKING_ACTIVITIES_OF_CITY,城池数量排行活动不存在
STR_MOD_ACTIVITY_AWARD_FOR_THE_EVENT_HAS,该活动奖励已领取
STR_MOD_ACTIVITY_INCORRECT_RANKING,领取的名次不正确
STR_MOD_ACTIVITY_THE_DAY_AFTER_THE_EVENT,活动结束后的一天为领奖时间
STR_MOD_ACTIVITY_THE_TYPE_OF_ACTIVITY_IS,活动类型不对
STR_MOD_ACTIVITY_THE_TREASURE_BOX_CAN_NOT,该宝箱不能重复领取
STR_MOD_ACTIVITY_GRADE_NOT_UP_TO_CAN,等级未达，不能领取
STR_MOD_ACTIVITY_THERE_IS_NO_TIME_LIMIT,限时兑换该活动不存在
STR_MOD_ACTIVITY_THE_ACTIVITY_WAS_NOT_COMPLETED,该活动未完成
STR_MOD_ACTIVITY_INADEQUATE_EXCHANGE_CONDITIONS,兑换条件不足
STR_MOD_ACTIVITY_ACTIVITIES_DO_NOT_EXIST_RECEIVE,活动不存在(领取)
STR_MOD_ACTIVITY_THE_ACTIVITY_DOES_NOT_EXIST,该活动不存在(领取)
STR_MOD_ACTIVITY_CANT_REPEAT_PURCHASE,不能重复购买
STR_MOD_ACTIVITY_DIAMOND_SHORTAGE,钻石不足
STR_MOD_ARMY_INSUFFICIENT_MERCENARY_DEBRIS,佣兵碎片不足
STR_MOD_ARMY_CURRENT_MERCENARY_UPGRADE_CONSUMPTION_DOES,当前佣兵升级消耗不存在
STR_MOD_ARMY_CURRENT_MERCENARY_CONFIGURATION_DOES_NOT,当前佣兵配置不存在
STR_MOD_ARMY_CURRENT_MERCENARIES_DO_NOT_EXIST,当前佣兵不存在
STR_MOD_ARMY_SUBSCRIPT_ERROR,下标错误
STR_MOD_ARMY_NO_BATTLE_TYPE_EXISTS,上阵类型不存在
STR_MOD_ARMY_HEROES_WHO_ARE_NOT_IN,当前阵位没有上阵的英雄
STR_MOD_ARMY_POSITION_SUBSCRIPT_ERROR,阵位下标错误
STR_MOD_ARMY_ERROR_IN_SUBSCRIPTION_OF_ARMY,军旗下标错误
STR_MOD_ARMY_MERCENARY_RANK_CONFIGURATION_DOES_NOT,佣兵等级配置不存在
STR_MOD_ARMY_MERCENARIES_REACH_MAXIMUM_RANK,佣兵达到最大等级
STR_MOD_ARMY_MERCENARY_REINFORCEMENT_DOES_NOT_EXIST,佣兵强化配置不存在
STR_MOD_ARMY_THERE_IS_NO_MERCENARY_REINFORCEMENT,佣兵下一级强化配置不存在
STR_MOD_ARMY_MERCENARIES_DO_NOT_EXIST,佣兵不存在
STR_MOD_ARMY_INSUFFICIENT_NUMBER_OF_MERCENARIES,佣兵数量不足
STR_MOD_ARMY_UNLOAD_BEFORE_DEPLOYMENT,先卸载后再部署
STR_MOD_ARMY_REPEATED_DEPLOYMENT,重复部署
STR_MOD_ARMY_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_ARMY_HEROES_ARE_DIFFERENT_FROM_MERCENARIES,英雄类型和佣兵的类型不同(近战或远程)
STR_MOD_ARMY_EXCEEDING_THE_MAXIMUM_QUANTITY,超过最大数量值
STR_MOD_ARMY_CAPTAIN_DOES_NOT_EXIST,队长不存在
STR_MOD_ARMY_ONLY_THE_CAPTAIN_CAN_SET,只有队长才能设置
STR_MOD_ARMY_MERCENARY_CHALLENGE_CONFIGURATION_ERROR,佣兵挑战配置错误
STR_MOD_ARMY_BUY_TYPE_ERROR,购买类型错误
STR_MOD_ARMY_DIAMOND_SHORTAGE,钻石不足
STR_MOD_ARMY_TODAYS_FREE_CHALLENGES_ARE_EXHAUSTED,今日免费挑战次数已用尽
STR_MOD_ARMY_MAXIMUM_NUMBER_OF_PURCHASES,达到最大购买次数
STR_MOD_ARMY_CONSUMPTION_CONFIGURATION_DOES_NOT_EXIST,消耗配置不存在
STR_MOD_ARMY_CLIENT_PARAMETER_EXCEPTION,客户端参数异常
STR_MOD_ARMY_INSUFFICIENT_EXCHANGE_PROPS,兑换道具不足
STR_MOD_ARMY_THE_CURRENT_FLAG_DOES_NOT,当前军旗不存在
STR_MOD_ARMY_CURRENT_FLAG_UPGRADE_CONSUMPTION_DOES,当前军旗升级消耗不存在
STR_MOD_ARMY_NO_FLAG_RANK_CONFIGURATION_EXISTS,军旗等级配置不存在
STR_MOD_ARMY_THE_FLAG_REACHES_ITS_MAXIMUM,军旗达到最大等级
STR_MOD_ARMY_INSUFFICIENT_GRADE,等级不足
STR_MOD_ARMY_THERE_IS_NO_REINFORCEMENT_OF,军旗强化配置不存在
STR_MOD_ARMY_INSUFFICIENT_FLAG_DEBRIS,军旗碎片不足
STR_MOD_ARMY_THERE_IS_NO_ONE_UNDER,军旗下一级强化配置不存在
STR_MOD_ARMY_THERE_ARE_FLAGS_IN_THE,当前部位已经有军旗
STR_MOD_ARMY_NO_FLAG_EXISTS,军旗不存在
STR_MOD_ARMY_INSUFFICIENT_NUMBER_OF_FLAGS,军旗数量不足
STR_MOD_ARMY_NO_FLAG_CONFIGURATION_EXISTS,军旗配置不存在
STR_MOD_ARMY_ONE_FLAG_OF_THE_SAME,同一个类型的军旗能且只能装戴一个
STR_MOD_BAG_OVER_THE_MAXIMUM_VALUE_21,超过最大数值(21亿)，重新输入吧
STR_MOD_BAG_THE_PROP_CANNOT_BE_SYNTHESIZED,该道具无法合成
STR_MOD_BAG_LACK_OF_PROPS,道具不足
STR_MOD_BEAUTY_HOLY_ID_ERROR,圣物ID错误
STR_MOD_BEAUTY_DATA_ERROR,数据错误
STR_MOD_BEAUTY_CHAPTER_DATA_ANOMALIES,章节数据异常
STR_MOD_BEAUTY_INSUFFICIENT_GRADE,等级不足
STR_MOD_BEAUTY_DATA_ABNORMITY,数据异常
STR_MOD_BEAUTY_TREASURE_BIDDING_ERROR,宝物下标错误
STR_MOD_BEAUTY_SUBSCRIPT_ERROR,下标错误
STR_MOD_BEAUTY_THE_TREASURE_HAS_REACHED_ITS,宝物已经满级
STR_MOD_BEAUTY_COMPONENT_CONFIGURATION_DOES_NOT_EXIST,部件配置不存在
STR_MOD_BEAUTY_INSUFFICIENT_TREASURE,元宝不足
STR_MOD_BEAUTY_THE_TREASURE_DOES_NOT_EXIST,宝物不存在
STR_MOD_BEAUTY_THIS_PART_HAS_NOT_BEEN,暂未获得该部件
STR_MOD_BEAUTY_SACRED_LOGISTICS_WATER_NUMBER_ERROR,圣物流水号错误
STR_MOD_BEAUTY_HAS_RISEN,已经升满
STR_MOD_BEAUTY_INSUFFICIENT_GRADE_OF_TREASURES,宝物等级不足
STR_MOD_BEAUTY_INSUFFICIENT_UPGRADE_ITEMS,升级所需物品不足
STR_MOD_BOSS_BIG_BEASTS_DO_NOT_EXIST,巨兽不存在
STR_MOD_BOSS_HAVING_A_STRONGER_BEAST,已拥有一个更强大的巨兽
STR_MOD_BUILD_TODAYS_NUMBER_HAS_RUN_OUT,今日次数已用完
STR_MOD_BUILD_DIAMOND_SHORTAGE,钻石不足
STR_MOD_BUILD_SUBSCRIPT_ERROR,下标错误
STR_MOD_CAMPTASK_INDEX_DATA_ERROR_NEED_TO,索引数据错误，需要大于0
STR_MOD_CAMPTASK_SCHEDULE_ERROR,进度错误
STR_MOD_CAMPTASK_CANT_RECEIVE_REPEATEDLY,不能重复领取
STR_MOD_CAMPTASK_THERE_ARE_STILL_BOXES_IN,前面还有箱子未领取
STR_MOD_CAMPTASK_CONFIGURATION_DATA_ERROR,配置数据错误
STR_MOD_CAMPTASK_FAILURE_TO_MEET_THE_CONDITIONS,不满足领取条件
STR_MOD_CHAT_YOUR_SPEECH_IS_TOO_FAST,您的发言过快，请慢一点
STR_MOD_CHAT_LEVEL_50_OR_NOBLE_4,需要等级50级或者贵族4才能发送弹幕
STR_MOD_CHAT_YOU_HAVE_BEEN_BANNED_PLEASE,您已被禁言，请联系游戏管理员
STR_MOD_CITY_INSUFFICIENT_NUMBER_OF_RESETS,重置次数不足
STR_MOD_CITY_TREASURE_MAP_NOT_ACTIVATED,藏宝图未激活
STR_MOD_CITY_LACK_OF_PROPS,道具不足
STR_MOD_CITY_INCIDENTAL_INCIDENT_ERROR,偶遇事件错误
STR_MOD_CITY_LACK_OF_PHYSICAL_STRENGTH,体力不足
STR_MOD_CITY_NOT_OPENED,未开启
STR_MOD_CITY_INSUFFICIENT_FREQUENCY,次数不足
STR_MOD_CITY_UNABLE_TO_RECEIVE,无法领取
STR_MOD_CITY_PLEASE_PICK_UP_A_TREASURE,请先领取上一宝箱
STR_MOD_CITY_CITY_INFORMATION_DOES_NOT_EXIST,城池信息不存在
STR_MOD_CITY_SPECIAL_EVENTS_ARE_OVER,特殊事件已满
STR_MOD_CITY_SPECIAL_STORES_ARE_FULL,特殊商店已满
STR_MOD_CITY_LACK_OF_PRESTIGE,威望等级不足
STR_MOD_CITY_SUBSCRIPT_ERROR,下标错误
STR_MOD_CITY_CANT_RECEIVE_REPEATEDLY,不能重复领取
STR_MOD_CITY_YOURE_NOT_IN_ANY_CAMP,你没有加入任何阵营
STR_MOD_CITY_TRIAL_CHECKPOINT_ERROR,试练关卡错误
STR_MOD_CITY_TRIAL_READING_ERROR,试练读取错误
STR_MOD_CITY_INSUFFICIENT_GRADE,等级不足
STR_MOD_CITY_LOGIC_ERROR,逻辑错误
STR_MOD_CITY_CHECKPOINTS_CANNOT_BE_SWEPT_AWAY,关卡不能扫荡
STR_MOD_CITY_SHORTAGE_OF_PURCHASES,购买次数不足
STR_MOD_CITY_DIAMOND_SHORTAGE,钻石不足
STR_MOD_CITY_DIFFICULTY_INDEX_ERROR_AT_CHECKPOINT,关卡难度索引错误
STR_MOD_CITY_CHECKPOINT_SEQUENTIAL_INDEX_ERROR,关卡顺序索引错误
STR_MOD_CITY_MAXIMUM_DIFFICULTY_INDEX_ERROR_AT,关卡最大难度索引错误
STR_MOD_CITY_ERRORS_IN_THE_NUMBER_OF,过关斩将次数错误
STR_MOD_CITY_ERRORS_IN_CROSSING_THE_BARRIER,过关斩将关卡错误
STR_MOD_CITY_INSUFFICIENT_SWEEPING,扫荡次数不足
STR_MOD_CITY_PASSING_THROUGH_THE_BARRIER_WILL,过关斩将难度错误
STR_MOD_CITY_IT_IS_NOT_DIFFICULT_TO,过关斩将难度不足
STR_MOD_CITY_SEARCH_CONFIGURATION_DOES_NOT_EXIST,寻访配置不存在
STR_MOD_CITY_SEARCH_DATA_DOES_NOT_EXIST,寻访数据不存在
STR_MOD_CITY_VISIT_ALL_THE_CARTOONS_TO,寻访所有关卡通关才能扫荡
STR_MOD_CITY_NO_SWEEPS,没有扫荡次数
STR_MOD_CITY_GATE_CLEARANCE_BEFORE_SWEEPING,关卡通关才能扫荡
STR_MOD_CITY_VISIT_ALL_THE_CARTOON_GATEKEEPERS,寻访所有关卡通关星才能扫荡
STR_MOD_CITY_CANNOT_RESET_CHECKPOINT,无法重置关卡
STR_MOD_CITY_TREASURE_DISPOSITION_DOES_NOT_EXIST,宝藏配置不存在
STR_MOD_CITY_TREASURY_DATA_ANOMALY,宝藏数据异常
STR_MOD_CITY_NO_CLEARANCE_NO_SWEEPING,没有通关， 无法进行扫荡
STR_MOD_CITY_NO_ACTIVATION_NO_SWEEPING,没有激活， 无法进行扫荡
STR_MOD_CITY_TREASURY_CONSUMPTION_ALLOCATION_DOES_NOT,宝藏消耗配置不存在
STR_MOD_CITY_TREASURE_ONE-CLICK_SWEEP_CONFIGURATION_CONSUMPTION,宝藏一键扫荡配置消耗错误
STR_MOD_CITY_INSUFFICIENT_CONSUMPTION,消耗不足
STR_MOD_CITY_THE_MAXIMUM_PERIOD_CANNOT_BE,最大期数读取不到，宝藏配置错误
STR_MOD_CITY_INSUFFICIENT_CONSUMPTION_OF_PROPS,消耗道具不足
STR_MOD_CITY_LACK_OF_PROTAGONIST_RANK,您等级不足
STR_MOD_CITY_INADEQUATE_ACTIVATION_PROPS,激活道具不足
STR_MOD_CITY_THIS_AREA_HAS_BEEN_ACTIVATED,该区域已激活
STR_MOD_CITY_AT_PRESENT_THE_TREASURE_MAP,当前藏宝图已达到最大等级
STR_MOD_CITY_FRAGMENTS_ARE_NOT_FULLY_ACTIVATED,碎片未全部激活
STR_MOD_CITY_IS_PASS,已经通过该关卡
STR_MOD_CONSUME_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_COUNTRY_PLEASE_CHOOSE_THE_CAMP,请选择阵营
STR_MOD_COUNTRY_PRO_THERES_ONLY_ONE_CHANCE,亲，机会只有一次哟
STR_MOD_COUNTRY_ILLEGAL_OPTION,非法选项
STR_MOD_DAILYRECHARGE_CONTINUOUS_RECHARGE_ACTIVITY_DOES_NOT,连续充值活动不存在
STR_MOD_DAILYRECHARGE_CURRENT_ACTIVE_SUBITEM_DOES_NOT,当前活动子项不存在
STR_MOD_DAILYRECHARGE_ACTIVITY_AWARDS_HAVE_BEEN_RECEIVED,活动奖励已经领取
STR_MOD_DAILYRECHARGE_CURRENT_ACTIVITIES_NOT_COMPLETED,当前活动未完成
STR_MOD_DAILYRECHARGE_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_DIAL_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_DIAL_INCORRECT_CONFIGURATION_DATA,配置数据不对
STR_MOD_DIAL_FAILURE_TO_FULFIL_THE_CONDITIONS,未达成领取条件
STR_MOD_DIAL_DONT_RECEIVE_IT_AGAIN,请勿重复领取
STR_MOD_DIAL_MISALLOCATION_OF_TREASURE_BOX_REWARDS,宝箱奖励配置错误
STR_MOD_DIAL_WRONG_DROP_TYPE,掉落类型不对
STR_MOD_DIAL_THE_NUMBER_OF_FREE_LOTTERY,免费抽奖次数不足
STR_MOD_DIAL_DIAMOND_SHORTAGE,钻石不足
STR_MOD_DIPLOMACY_CANT_RECEIVE_REPEATEDLY,不能重复领取
STR_MOD_DIPLOMACY_THE_TASK_IS_NOT_COMPLETED,该任务未完成
STR_MOD_DIPLOMACY_YOU_HAVE_SIGNED_UP_FOR,您已报名了国战
STR_MOD_DIPLOMACY_YOU_HAVENT_SIGNED_UP_FOR,您还未报名国战
STR_MOD_DIPLOMACY_PIPELINE_NUMBER_ERROR,流水号错误
STR_MOD_DIPLOMACY_CURRENT_INSUFFICIENT_ENROLLMENT,当前报名人数不足
STR_MOD_DIPLOMACY_YOU_HAVE_ALREADY_COLLECTED_THE,您已领取过该宝箱
STR_MOD_DIPLOMACY_THE_NATIONAL_WAR_HAS_BEGUN,国战已开启，不能领取更多的军备
STR_MOD_DIPLOMACY_COOLING_TIME_IS_NOT_UP,冷却时间未到
STR_MOD_DIPLOMACY_THE_NUMBER_OF_APPLICANTS_IS,报名人数未满，无法领取军备
