sequence,id,type,num,name
241,60420033,2,5,烈风头盔
242,60420034,2,5,烈风头盔
243,60420035,2,5,烈风头盔
244,60420036,2,5,烈风头盔
245,60420040,2,5,近卫战盔
246,60420041,2,5,近卫战盔
247,60420042,2,5,近卫战盔
248,60420043,2,5,近卫战盔
249,60420044,2,5,近卫战盔
250,60420045,2,5,近卫战盔
251,60420046,2,5,近卫战盔
252,60420050,2,5,威仪战盔
253,60420051,2,5,威仪战盔
254,60420052,2,5,威仪战盔
255,60420053,2,5,威仪战盔
256,60420054,2,5,威仪战盔
257,60420055,2,5,威仪战盔
258,60420056,2,5,威仪战盔
259,60420060,2,5,地恸战盔
260,60420061,2,5,地恸战盔
261,60420062,2,5,地恸战盔
262,60420063,2,5,地恸战盔
263,60420064,2,5,地恸战盔
264,60420065,2,5,地恸战盔
265,60420066,2,5,地恸战盔
266,60420070,2,5,泰坦的战盔
267,60420071,2,5,泰坦的战盔
268,60420072,2,5,泰坦的战盔
269,60420073,2,5,泰坦的战盔
270,60420074,2,5,泰坦的战盔
271,60420075,2,5,泰坦的战盔
272,60420076,2,5,泰坦的战盔
273,60420080,2,5,断山战盔
274,60420081,2,5,断山战盔
275,60420082,2,5,断山战盔
276,60420083,2,5,断山战盔
277,60420084,2,5,断山战盔
278,60420085,2,5,断山战盔
279,60420086,2,5,断山战盔
280,60420090,2,5,胜利战盔
281,60420091,2,5,胜利战盔
282,60420092,2,5,胜利战盔
283,60420093,2,5,胜利战盔
284,60420094,2,5,胜利战盔
285,60420095,2,5,胜利战盔
286,60420096,2,5,胜利战盔
287,60520020,2,5,初学者头带
288,60520021,2,5,初学者头带
289,60520022,2,5,初学者头带
290,60520023,2,5,初学者头带
291,60520024,2,5,初学者头带
292,60520025,2,5,初学者头带
293,60520026,2,5,初学者头带
294,60520030,2,5,祈火头带
295,60520031,2,5,祈火头带
296,60520032,2,5,祈火头带
297,60520033,2,5,祈火头带
298,60520034,2,5,祈火头带
299,60520035,2,5,祈火头带
300,60520036,2,5,祈火头带
301,60520040,2,5,海神的发冠
302,60520041,2,5,海神的发冠
303,60520042,2,5,海神的发冠
304,60520043,2,5,海神的发冠
305,60520044,2,5,海神的发冠
306,60520045,2,5,海神的发冠
307,60520046,2,5,海神的发冠
308,60520050,2,5,星辰发冠
309,60520051,2,5,星辰发冠
310,60520052,2,5,星辰发冠
311,60520053,2,5,星辰发冠
312,60520054,2,5,星辰发冠
313,60520055,2,5,星辰发冠
314,60520056,2,5,星辰发冠
315,60520060,2,5,奥术发冠
316,60520061,2,5,奥术发冠
317,60520062,2,5,奥术发冠
318,60520063,2,5,奥术发冠
319,60520064,2,5,奥术发冠
320,60520065,2,5,奥术发冠
321,60520066,2,5,奥术发冠
322,60520070,2,5,传承的发冠
323,60520071,2,5,传承的发冠
324,60520072,2,5,传承的发冠
325,60520073,2,5,传承的发冠
326,60520074,2,5,传承的发冠
327,60520075,2,5,传承的发冠
328,60520076,2,5,传承的发冠
329,60520080,2,5,魔焰发冠
330,60520081,2,5,魔焰发冠
331,60520082,2,5,魔焰发冠
332,60520083,2,5,魔焰发冠
333,60520084,2,5,魔焰发冠
334,60520085,2,5,魔焰发冠
335,60520086,2,5,魔焰发冠
336,60520090,2,5,胜利王冠
337,60520091,2,5,胜利王冠
338,60520092,2,5,胜利王冠
339,60520093,2,5,胜利王冠
340,60520094,2,5,胜利王冠
341,60520095,2,5,胜利王冠
342,60520096,2,5,胜利王冠
343,60620020,2,5,贵族皮盔
344,60620021,2,5,贵族皮盔
345,60620022,2,5,贵族皮盔
346,60620023,2,5,贵族皮盔
347,60620024,2,5,贵族皮盔
348,60620025,2,5,贵族皮盔
349,60620026,2,5,贵族皮盔
350,60620030,2,5,勇士皮盔
351,60620031,2,5,勇士皮盔
352,60620032,2,5,勇士皮盔
353,60620033,2,5,勇士皮盔
354,60620034,2,5,勇士皮盔
355,60620035,2,5,勇士皮盔
356,60620036,2,5,勇士皮盔
357,60620040,2,5,骑士皮盔
358,60620041,2,5,骑士皮盔
359,60620042,2,5,骑士皮盔
360,60620043,2,5,骑士皮盔
361,60620044,2,5,骑士皮盔
362,60620045,2,5,骑士皮盔
363,60620046,2,5,骑士皮盔
364,60620050,2,5,迅风皮盔
365,60620051,2,5,迅风皮盔
366,60620052,2,5,迅风皮盔
367,60620053,2,5,迅风皮盔
368,60620054,2,5,迅风皮盔
369,60620055,2,5,迅风皮盔
370,60620056,2,5,迅风皮盔
371,60620060,2,5,破空皮盔
372,60620061,2,5,破空皮盔
373,60620062,2,5,破空皮盔
374,60620063,2,5,破空皮盔
375,60620064,2,5,破空皮盔
376,60620065,2,5,破空皮盔
377,60620066,2,5,破空皮盔
378,60620070,2,5,月影皮盔
379,60620071,2,5,月影皮盔
380,60620072,2,5,月影皮盔
381,60620073,2,5,月影皮盔
382,60620074,2,5,月影皮盔
383,60620075,2,5,月影皮盔
384,60620076,2,5,月影皮盔
385,60620080,2,5,大骑士皮盔
386,60620081,2,5,大骑士皮盔
387,60620082,2,5,大骑士皮盔
388,60620083,2,5,大骑士皮盔
389,60620084,2,5,大骑士皮盔
390,60620085,2,5,大骑士皮盔
391,60620086,2,5,大骑士皮盔
392,60620090,2,5,胜利皮盔
393,60620091,2,5,胜利皮盔
394,60620092,2,5,胜利皮盔
395,60620093,2,5,胜利皮盔
396,60620094,2,5,胜利皮盔
397,60620095,2,5,胜利皮盔
398,60620096,2,5,胜利皮盔
399,60430020,2,5,开山战甲
400,60430021,2,5,开山战甲
401,60430022,2,5,开山战甲
402,60430023,2,5,开山战甲
403,60430024,2,5,开山战甲
404,60430025,2,5,开山战甲
405,60430026,2,5,开山战甲
406,60430030,2,5,烈风铠甲
407,60430031,2,5,烈风铠甲
408,60430032,2,5,烈风铠甲
409,60430033,2,5,烈风铠甲
410,60430034,2,5,烈风铠甲
411,60430035,2,5,烈风铠甲
412,60430036,2,5,烈风铠甲
413,60430040,2,5,近卫战甲
414,60430041,2,5,近卫战甲
415,60430042,2,5,近卫战甲
416,60430043,2,5,近卫战甲
417,60430044,2,5,近卫战甲
418,60430045,2,5,近卫战甲
419,60430046,2,5,近卫战甲
420,60430050,2,5,威仪战甲
421,60430051,2,5,威仪战甲
422,60430052,2,5,威仪战甲
423,60430053,2,5,威仪战甲
424,60430054,2,5,威仪战甲
425,60430055,2,5,威仪战甲
426,60430056,2,5,威仪战甲
427,60430060,2,5,地恸板甲
428,60430061,2,5,地恸板甲
429,60430062,2,5,地恸板甲
430,60430063,2,5,地恸板甲
431,60430064,2,5,地恸板甲
432,60430065,2,5,地恸板甲
433,60430066,2,5,地恸板甲
434,60430070,2,5,泰坦的板甲
435,60430071,2,5,泰坦的板甲
436,60430072,2,5,泰坦的板甲
437,60430073,2,5,泰坦的板甲
438,60430074,2,5,泰坦的板甲
439,60430075,2,5,泰坦的板甲
440,60430076,2,5,泰坦的板甲
441,60430080,2,5,断山板甲
442,60430081,2,5,断山板甲
443,60430082,2,5,断山板甲
444,60430083,2,5,断山板甲
445,60430084,2,5,断山板甲
446,60430085,2,5,断山板甲
447,60430086,2,5,断山板甲
448,60430090,2,5,胜利板甲
449,60430091,2,5,胜利板甲
450,60430092,2,5,胜利板甲
451,60430093,2,5,胜利板甲
452,60430094,2,5,胜利板甲
453,60430095,2,5,胜利板甲
454,60430096,2,5,胜利板甲
455,60530020,2,5,初学者布袍
456,60530021,2,5,初学者布袍
457,60530022,2,5,初学者布袍
458,60530023,2,5,初学者布袍
459,60530024,2,5,初学者布袍
460,60530025,2,5,初学者布袍
461,60530026,2,5,初学者布袍
462,60530030,2,5,祈火布袍
463,60530031,2,5,祈火布袍
464,60530032,2,5,祈火布袍
465,60530033,2,5,祈火布袍
466,60530034,2,5,祈火布袍
467,60530035,2,5,祈火布袍
468,60530036,2,5,祈火布袍
469,60530040,2,5,海神法袍
470,60530041,2,5,海神法袍
471,60530042,2,5,海神法袍
472,60530043,2,5,海神法袍
473,60530044,2,5,海神法袍
474,60530045,2,5,海神法袍
475,60530046,2,5,海神法袍
476,60530050,2,5,星辰布甲
477,60530051,2,5,星辰布甲
478,60530052,2,5,星辰布甲
479,60530053,2,5,星辰布甲
480,60530054,2,5,星辰布甲
481,60530055,2,5,星辰布甲
482,60530056,2,5,星辰布甲
483,60530060,2,5,奥术法袍
484,60530061,2,5,奥术法袍
485,60530062,2,5,奥术法袍
486,60530063,2,5,奥术法袍
487,60530064,2,5,奥术法袍
488,60530065,2,5,奥术法袍
489,60530066,2,5,奥术法袍
490,60530070,2,5,传承的法袍
491,60530071,2,5,传承的法袍
492,60530072,2,5,传承的法袍
493,60530073,2,5,传承的法袍
494,60530074,2,5,传承的法袍
495,60530075,2,5,传承的法袍
496,60530076,2,5,传承的法袍
497,60530080,2,5,魔焰法袍
498,60530081,2,5,魔焰法袍
499,60530082,2,5,魔焰法袍
500,60530083,2,5,魔焰法袍
501,60530084,2,5,魔焰法袍
502,60530085,2,5,魔焰法袍
503,60530086,2,5,魔焰法袍
504,60530090,2,5,胜利法袍
505,60530091,2,5,胜利法袍
506,60530092,2,5,胜利法袍
507,60530093,2,5,胜利法袍
508,60530094,2,5,胜利法袍
509,60530095,2,5,胜利法袍
510,60530096,2,5,胜利法袍
511,60630020,2,5,贵族皮甲
512,60630021,2,5,贵族皮甲
513,60630022,2,5,贵族皮甲
514,60630023,2,5,贵族皮甲
515,60630024,2,5,贵族皮甲
516,60630025,2,5,贵族皮甲
517,60630026,2,5,贵族皮甲
518,60630030,2,5,勇士皮甲
519,60630031,2,5,勇士皮甲
520,60630032,2,5,勇士皮甲
521,60630033,2,5,勇士皮甲
522,60630034,2,5,勇士皮甲
523,60630035,2,5,勇士皮甲
524,60630036,2,5,勇士皮甲
525,60630040,2,5,骑士皮甲
526,60630041,2,5,骑士皮甲
527,60630042,2,5,骑士皮甲
528,60630043,2,5,骑士皮甲
529,60630044,2,5,骑士皮甲
530,60630045,2,5,骑士皮甲
531,60630046,2,5,骑士皮甲
532,60630050,2,5,迅风皮甲
533,60630051,2,5,迅风皮甲
534,60630052,2,5,迅风皮甲
535,60630053,2,5,迅风皮甲
536,60630054,2,5,迅风皮甲
537,60630055,2,5,迅风皮甲
538,60630056,2,5,迅风皮甲
539,60630060,2,5,破空皮甲
540,60630061,2,5,破空皮甲
541,60630062,2,5,破空皮甲
542,60630063,2,5,破空皮甲
543,60630064,2,5,破空皮甲
544,60630065,2,5,破空皮甲
545,60630066,2,5,破空皮甲
546,60630070,2,5,月影皮甲
547,60630071,2,5,月影皮甲
548,60630072,2,5,月影皮甲
549,60630073,2,5,月影皮甲
550,60630074,2,5,月影皮甲
551,60630075,2,5,月影皮甲
552,60630076,2,5,月影皮甲
553,60630080,2,5,大骑士皮甲
554,60630081,2,5,大骑士皮甲
555,60630082,2,5,大骑士皮甲
556,60630083,2,5,大骑士皮甲
557,60630084,2,5,大骑士皮甲
558,60630085,2,5,大骑士皮甲
559,60630086,2,5,大骑士皮甲
560,60630090,2,5,胜利皮甲
561,60630091,2,5,胜利皮甲
562,60630092,2,5,胜利皮甲
563,60630093,2,5,胜利皮甲
564,60630094,2,5,胜利皮甲
565,60630095,2,5,胜利皮甲
566,60630096,2,5,胜利皮甲
567,60440020,2,5,开山战靴
568,60440021,2,5,开山战靴
569,60440022,2,5,开山战靴
570,60440023,2,5,开山战靴
571,60440024,2,5,开山战靴
572,60440025,2,5,开山战靴
573,60440026,2,5,开山战靴
574,60440030,2,5,烈风战靴
575,60440031,2,5,烈风战靴
576,60440032,2,5,烈风战靴
577,60440033,2,5,烈风战靴
578,60440034,2,5,烈风战靴
579,60440035,2,5,烈风战靴
580,60440036,2,5,烈风战靴
581,60440040,2,5,近卫战靴
582,60440041,2,5,近卫战靴
583,60440042,2,5,近卫战靴
584,60440043,2,5,近卫战靴
585,60440044,2,5,近卫战靴
586,60440045,2,5,近卫战靴
587,60440046,2,5,近卫战靴
588,60440050,2,5,威仪战靴
589,60440051,2,5,威仪战靴
590,60440052,2,5,威仪战靴
591,60440053,2,5,威仪战靴
592,60440054,2,5,威仪战靴
593,60440055,2,5,威仪战靴
594,60440056,2,5,威仪战靴
595,60440060,2,5,地恸战靴
596,60440061,2,5,地恸战靴
597,60440062,2,5,地恸战靴
598,60440063,2,5,地恸战靴
599,60440064,2,5,地恸战靴
600,60440065,2,5,地恸战靴
601,60440066,2,5,地恸战靴
602,60440070,2,5,泰坦的战靴
603,60440071,2,5,泰坦的战靴
604,60440072,2,5,泰坦的战靴
605,60440073,2,5,泰坦的战靴
606,60440074,2,5,泰坦的战靴
607,60440075,2,5,泰坦的战靴
608,60440076,2,5,泰坦的战靴
609,60440080,2,5,断山战靴
610,60440081,2,5,断山战靴
611,60440082,2,5,断山战靴
612,60440083,2,5,断山战靴
613,60440084,2,5,断山战靴
614,60440085,2,5,断山战靴
615,60440086,2,5,断山战靴
616,60440090,2,5,胜利战靴
617,60440091,2,5,胜利战靴
618,60440092,2,5,胜利战靴
619,60440093,2,5,胜利战靴
620,60440094,2,5,胜利战靴
621,60440095,2,5,胜利战靴
622,60440096,2,5,胜利战靴
623,60540020,2,5,初学者布靴
624,60540021,2,5,初学者布靴
625,60540022,2,5,初学者布靴
626,60540023,2,5,初学者布靴
627,60540024,2,5,初学者布靴
628,60540025,2,5,初学者布靴
629,60540026,2,5,初学者布靴
630,60540030,2,5,祈火布靴
631,60540031,2,5,祈火布靴
632,60540032,2,5,祈火布靴
633,60540033,2,5,祈火布靴
634,60540034,2,5,祈火布靴
635,60540035,2,5,祈火布靴
636,60540036,2,5,祈火布靴
637,60540040,2,5,海神布靴
638,60540041,2,5,海神布靴
639,60540042,2,5,海神布靴
640,60540043,2,5,海神布靴
641,60540044,2,5,海神布靴
642,60540045,2,5,海神布靴
643,60540046,2,5,海神布靴
644,60540050,2,5,星辰法袍
645,60540051,2,5,星辰法袍
646,60540052,2,5,星辰法袍
647,60540053,2,5,星辰法袍
648,60540054,2,5,星辰法袍
649,60540055,2,5,星辰法袍
650,60540056,2,5,星辰法袍
651,60540060,2,5,奥术布靴
652,60540061,2,5,奥术布靴
653,60540062,2,5,奥术布靴
654,60540063,2,5,奥术布靴
655,60540064,2,5,奥术布靴
656,60540065,2,5,奥术布靴
657,60540066,2,5,奥术布靴
658,60540070,2,5,传承的布靴
659,60540071,2,5,传承的布靴
660,60540072,2,5,传承的布靴
661,60540073,2,5,传承的布靴
662,60540074,2,5,传承的布靴
663,60540075,2,5,传承的布靴
664,60540076,2,5,传承的布靴
665,60540080,2,5,魔焰布靴
666,60540081,2,5,魔焰布靴
667,60540082,2,5,魔焰布靴
668,60540083,2,5,魔焰布靴
669,60540084,2,5,魔焰布靴
670,60540085,2,5,魔焰布靴
671,60540086,2,5,魔焰布靴
672,60540090,2,5,胜利布靴
673,60540091,2,5,胜利布靴
674,60540092,2,5,胜利布靴
675,60540093,2,5,胜利布靴
676,60540094,2,5,胜利布靴
677,60540095,2,5,胜利布靴
678,60540096,2,5,胜利布靴
679,60640020,2,5,贵族皮靴
680,60640021,2,5,贵族皮靴
681,60640022,2,5,贵族皮靴
682,60640023,2,5,贵族皮靴
683,60640024,2,5,贵族皮靴
684,60640025,2,5,贵族皮靴
685,60640026,2,5,贵族皮靴
686,60640030,2,5,勇士皮靴
687,60640031,2,5,勇士皮靴
688,60640032,2,5,勇士皮靴
689,60640033,2,5,勇士皮靴
690,60640034,2,5,勇士皮靴
691,60640035,2,5,勇士皮靴
692,60640036,2,5,勇士皮靴
693,60640040,2,5,骑士皮靴
694,60640041,2,5,骑士皮靴
695,60640042,2,5,骑士皮靴
696,60640043,2,5,骑士皮靴
697,60640044,2,5,骑士皮靴
698,60640045,2,5,骑士皮靴
699,60640046,2,5,骑士皮靴
700,60640050,2,5,迅风战靴
701,60640051,2,5,迅风战靴
702,60640052,2,5,迅风战靴
703,60640053,2,5,迅风战靴
704,60640054,2,5,迅风战靴
705,60640055,2,5,迅风战靴
706,60640056,2,5,迅风战靴
707,60640060,2,5,破空战靴
708,60640061,2,5,破空战靴
709,60640062,2,5,破空战靴
710,60640063,2,5,破空战靴
711,60640064,2,5,破空战靴
712,60640065,2,5,破空战靴
713,60640066,2,5,破空战靴
714,60640070,2,5,月影皮靴
715,60640071,2,5,月影皮靴
716,60640072,2,5,月影皮靴
717,60640073,2,5,月影皮靴
718,60640074,2,5,月影皮靴
719,60640075,2,5,月影皮靴
720,60640076,2,5,月影皮靴
721,60640080,2,5,大骑士皮靴
722,60640081,2,5,大骑士皮靴
723,60640082,2,5,大骑士皮靴
724,60640083,2,5,大骑士皮靴
725,60640084,2,5,大骑士皮靴
726,60640085,2,5,大骑士皮靴
727,60640086,2,5,大骑士皮靴
728,60640090,2,5,胜利皮靴
729,60640091,2,5,胜利皮靴
730,60640092,2,5,胜利皮靴
731,60640093,2,5,胜利皮靴
732,60640094,2,5,胜利皮靴
733,60640095,2,5,胜利皮靴
734,60640096,2,5,胜利皮靴
735,11100101,2,2,英雄
736,11100201,2,2,英雄
737,11100501,2,2,英雄
738,11100701,2,2,英雄
739,11100801,2,2,英雄
740,11100901,2,2,英雄
741,11101001,2,2,英雄
742,11101101,2,2,英雄
743,11101201,2,2,英雄
744,11101301,2,2,英雄
745,11101501,2,2,英雄
746,11101701,2,2,英雄
747,11200401,2,2,英雄
748,11200601,2,2,英雄
749,11200701,2,2,英雄
750,11200801,2,2,英雄
751,11200901,2,2,英雄
752,11201401,2,2,英雄
753,11300201,2,2,英雄
754,11300801,2,2,英雄
755,11300901,2,2,英雄
756,11301101,2,2,英雄
757,11301301,2,2,英雄
758,11301401,2,2,英雄
759,11400101,2,2,英雄
760,11400301,2,2,英雄
761,11400401,2,2,英雄
762,11400701,2,2,英雄
763,11400801,2,2,英雄
764,11401001,2,2,英雄
765,11401201,2,2,英雄
766,11401301,2,2,英雄
767,11401401,2,2,英雄
768,11101202,2,2,英雄
769,11101302,2,2,英雄
770,11101502,2,2,英雄
771,11301102,2,2,英雄
772,11401002,2,2,英雄
773,11401202,2,2,英雄
