id,name,icon,level,index,txt,skill1,skill_v1,skill2,skill_v2,skill3,skill_v3,skill4,skill_v4,upgrade_type1,upgrade_value1,upgrade_type2,upgrade_value2,upgrade_type3,upgrade_value3
500220,辅助符文20,rune004,4,6,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500501,英雄符文,rune005,9,1,英雄符文，带技能,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500502,英雄符文,rune006,9,2,英雄符文，带技能,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500503,英雄符文,rune007,9,3,英雄符文，带技能,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500504,英雄符文,rune008,9,4,英雄符文，带技能,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500505,英雄符文,rune005,9,5,英雄符文，带技能,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500506,英雄符文,rune006,9,6,英雄符文，带技能,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
510101,Lv 1 战士 rc,rune001,9,4,Lv 1 战士 rc txt,510101,1,0,0,0,0,0,0,0,0,0,0,99,1000
510201,Lv 1 骑士 rc,rune002,9,4,Lv 1 骑士 rc txt,510201,1,0,0,0,0,0,0,0,0,0,0,99,1000
510301,Lv 1 法师 rc,rune003,9,4,Lv 1 法师 rc txt,510301,1,0,0,0,0,0,0,0,0,0,0,99,1000
510401,Lv 1 牧师 rc,rune004,9,4,Lv 1 牧师 rc txt,510401,1,0,0,0,0,0,0,0,0,0,0,99,1000
510501,Lv 1 射手 rc,rune005,9,4,Lv 1 射手 rc txt,510501,1,0,0,0,0,0,0,0,0,0,0,99,1000
510601,Lv 1 刺客 rc,rune006,9,4,Lv 1 刺客 rc txt,510601,1,0,0,0,0,0,0,0,0,0,0,99,1000
520101,水符文 rc,rune007,9,4,水符文 rc,520101,1,0,0,0,0,0,0,0,0,0,0,99,1000
520201,火符文 rc,rune008,9,4,火符文 rc,520201,1,0,0,0,0,0,0,0,0,0,0,99,1000
520301,气符文 rc,rune005,9,4,气符文 rc,520301,1,0,0,0,0,0,0,0,0,0,0,99,1000
520401,土符文 rc,rune006,9,4,土符文 rc,520401,1,0,0,0,0,0,0,0,0,0,0,99,1000
520501,光符文 rc,elogo10106010,9,4,光符文 rc,520501,1,0,0,0,0,0,0,0,0,0,0,99,1000
520601,暗符文 rc,elogo10105010,9,4,暗符文 rc,520601,1,0,0,0,0,0,0,0,0,0,0,99,1000
