heroid,heroname,normalattack,manualskill,awakenskill,smallskill,bigskill,attackround1,attackround2,attackround3,attackround4,attackround5,attackround6,attackround7,attackround8,attackround9,attackround10,attackround11,attackround12,attackround13,attackround14,attackround15,attackround16,attackround17,attackround18,attackround19,attackround20
2007,胜利之矛,200700,200704,200704,200700,0,200702,200701,200703,200700,200700,200701,200700,200700,200703,200700,200700,200701:2|200703:2,200700,200700,200701:2|200703:2,200700,200700,200701:2|200703:2,200700,200700
2008,圣焰王女,200800,200804,200804,200800,0,200802,200801,200800,200800,200801,200800,200800,200801,200802,200800,200801,200800,200800,200801,200800,200800:2|200802:2,200801,200800,200800,200800:2|200801:2
2009,林中女巫,200900,200904,200904,200900,0,200902,200900,200900,200900,200900,200900,200902,200900,200900,200900,200900,200900,200902,200900,200900,200900,200900,200900,200900:2|200902:2,200900:2|200900:2
2010,刀锋龙卷,201000,201004,201004,201000,0,201001,201002,201000,201000,201000,201001,201000,201000,201000,201000,201001,201000:2|201002:8,201000,201000,201000,201001:2|201001:8,201000,201000,201000,201000
2011,黑寡妇,201100,201104,201104,201100,0,201100,201102,201101,201100,201100,201100,201100,201101,201100:2|201102:8,201100,201100:2|201101:6,201100,201100,201100,201100:2|201102:8,201100:2|201101:4,201100,201100,201100,201100:2|201101:2
2012,图腾之怒,201200,201204,201204,201200,1,201200,201201,201200,201200,201201,201200,201200,201201,201200,201200,201201,201200,201200,201201,201200,201200,201201,201200,201200,201200:2|201201:2
2013,符文猎手,201300,201304,201304,201300,0,201300,201300,201300,201300,201300,201302,201300,201300,201300,201300,201300,201300,201300,201300,201300,201302,201300,201300,201300,201300
2014,兽人战士,201400,201404,201404,201400,0,201400,201401,201400,201400,201401,201400,201400,201401,201400,201400,201401,201400,201400,201401,201400,201400,201401,201400,201400,2014:2|201401:2
2015,兽人驯兽师,201500,201504,201504,201500,0,201500,201501,201500,201500,201501,201500,201500,201501,201500,201500,201501,201500,201500,201501,201500,201500,201501,201500,201500,201500:2|201501:2
2016,峰峦霸主,201600,201604,201604,201600,0,201600,201601,201600,201603,201600,201601,201600,201600,201603,201601,201600,201600,201600,201601:2|201603:2,201600,201600,201601:2|201603:2,201600,201600,201601:2|201603:2
3001,不朽剑魔,300100,300104,300104,300100,0,300100,300101,300102,300100,300100,300101,300102,300100,300100,300101,300102,300100,300100,300101,300102,300100,300100,300101,300102,300100
3002,猎魂巫妖,300200,300204,300204,300200,0,300200,300201,300202,300200,300200,300201,300200,300202,300200,300201,300200,300202,300200:2|300201:2,300200,300200:2|300202:2,300200,300200,300200:2|300201:2,300200,300200
3003,古代圣王,300300,300304,300304,300300,0,300301,300300,300300,300300,300301,300300,300300,300300,300301,300300,300300,300300,300301,300300,300300,300300,300301,300300,300300,300300
3004,月之暗面,300400,300404,300404,300400,0,300401,300401,300402,300401,300401,300401,300401,300401,300401,300402,300401,300401,300401,300401,300401,300401,300402,300401,300401,300401
3005,龙王之手,300500,300504,300504,300500,0,300500,300501,300500,300500,300500,300500,300501,300500,300500,300500,300500,300501,300500,300500,300500,300500,300501,300500,300500,300500
3006,禁军射手,300600,300604,300604,300600,0,300600,300601,300600,300602,300600,300600,300601,300600,300602,300600,300600,300601,300600,300602,300600,300600,300601,300600,300602,300600
3007,鬼面金刚,300700,300704,300704,300700,0,300700,300701,300702,300700,300700,300700,300701,300700,300700,300700,300700:2|300702:8,300701,300700,300700,300700,300700,300701,300700:2|300702:8,300700,300700
3008,叛逆修罗,300800,300804,300804,300800,0,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800,300800
3009,即身罗汉,300900,300904,300904,300900,0,300900,300901,300902,300903,300900,300900,300900,300901,300900,300902,300900:2|300903:2,300900,300900,300901,300902,300900,300900,300903,300901:2|300902:2,300900
3010,裁决判官,301000,301004,301004,301000,0,301000,301001,301000,301001,301000,301001,301000,301001,301000,301001,301000,301001,301000,301001,301000,301001,301000,301001,301000,301001
3011,瞬杀罗刹,301100,301104,301104,301100,0,301101,301100,301100,301100,301100,301100,301100,301101,301100,301100,301100,301100,301100,301100,301101,301100,301100,301100,301100,301100
3012,崇邪外道,301200,301204,301204,301200,0,301200,301201,301202,301200,301200,301200,301201,301200,301200,301200,301200,301201,301202,301200,301200,301200,301201,301200,301200,301200
3013,灵俑护卫,301300,301304,301304,301300,0,301300,301300,301300,301301,301300,301300,301300,301300,301300,301301,301300,301300,301300,301300,301300,301301,301300,301300,301300,301300
3014,灵俑英豪,301400,301404,301404,301400,0,301400,301400,301401,301400,301400,301400,301401,301400,301400,301400,301401,301400,301400,301400,301401,301400,301400,301400,301401,301400
4001,神愈之光,400100,400104,400104,400100,0,400100,400101,400103,400100,400100,400101:2|400100:5,400100,400100,400103,400101:2|400100:5,400100,400100,400100,400101:2|400100:5,400103,400100,400100,400100:2|400101:2|400103:2,400100,400100
4002,秘教刺客,400200,400204,400204,400200,0,400200,400201,400200,400200,400200,400201,400200,400200,400200,400201,400200,400200,400200,400201,400200,400200,400200,400201,400200,400200
4003,野性猎手,400300,400304,400304,400300,0,400300,400303,400300,400300,400303,400300,400300,400303,400300,400300,400303,400300,400300,400303,400300,400300,400303,400300,400300,400303
4004,魔城巫后,400400,400404,400404,400400,0,400401,400402,400400,400400,400400,400400,400400,400402:2|400400:2,400400,400400,400400:2|400401:2,400400,400400,400402,400400,400400,400400,400400:2|400401:2,400400,400400
4005,永恒之树,400500,400504,400504,400500,0,400501,400500,400502,400500,400500,400500,400500,400500,400501,400502,400500,400500,400500,400500,400501,400500,400502,400500,400500,400500
4006,疾行神将,400600,400604,400604,400600,0,400600,400602,400601,400600,400600,400600,400601,400602,400600,400600,400601,400600,400600,400602,400601,400600,400600,400600,400602,400600
4007,绝世剑舞,400700,400704,400704,400700,0,400702,400701,400700,400700,400701,400700,400700,400701,400702,400701,400700,400700,400701,400700,400700,400701:2|400702:2,400700:2|400701:2,400700,400701,400700
4008,放浪狂战,400800,400804,400804,400800,0,400801,400802,400800,400800,400802,400801,400800,400802,400800,400800,400802:2|400801:2,400800,400800,400802,400800,400800:2|400801:2,400802,400800,400800,400802
4009,缚法游人,400900,400904,400904,400900,0,400902,400901,400903,400900,400900,400900,400900,400901,400900,400903,400900,400900,400900,400901,400900,400900,400900:0|400903:4,400900,400900,400900:2|400901:4
4010,贯天之箭,401000,401004,401004,401000,0,401000,401001,401000,401000,401001,401000,401000,401001,401000,401000,401001,401000,401000,401001,401000,401000,401001,401000,401000,401001
4011,持戒护法,401100,401104,401104,401100,0,401100,401101,401102,401100,401100,401101,401100,401102,401100,401100:2|401101:6,401100,401100,401100:2|401102:2,401100:2|401101:4,401100,401100,401100,401100:2|401101:6,401100:2|401102:4,401100
4012,密林智者,401200,401204,401204,401200,0,401200,401201,401202,401200,401200:2|401201:2,401200,401200,401200,401200:2|401201:2,401200,401202,401200:2|401201:2,401200,401200,401200,401200:2|401201:2,401200,401200,401202,401200:2|401201:2
4013,自然之力,401300,401304,401304,401300,0,401300,401300,401300,401301,401300,401300,401300,401300,401301,401300,401300,401300,401300,401301,401300,401300,401300,401300,401301,401300
4014,绿盟武士,401400,401404,401404,401400,0,401400,401401,401400,401400,401401,401400,401400,401401,401400,401400,401401,401400,401400,401401,401400,401400,401401,401400,401400,401400:2|401401:2
5001,降魔之剑,500100,500104,500104,500100,0,500101,500102,500100,500100,500100,500100,500100,500100,500102,500100,500100,500100,500100,500100,500100,500102,500100,500100,500100,500100
5002,永劫双生,500200,500204,500204,500200,0,500200,500201,500200,500200,500200,500201,500200,500200,500200,500201,500200,500200,500200,500201,500200,500200,500200,500201,500200,500200
5003,至尊伟力,500300,500304,500304,500300,0,500301,500302,500300,500300,500300,500300,500300,500300,500302,500300,500300,500300,500300,500300,500302,500300,500300,500300,500300,500300
5004,焚烈圣炎,500400,500404,500404,500400,0,500400,500400,500400,500401,500400,500400,500400,500401,500400,500400,500400,500401,500400,500400,500400,500401,500400,500400,500400,500401
5005,轮回之主,500500,500504,500504,500500,0,500500,500500,500500,500502,500500,500500,500500,500500,500502,500500,500500,500500,500500,500502,500500,500500,500500,500500,500502,500500
5006,宙斯,500600,500604,500604,500600,0,500600,500601,500600,500600,500600:2|500601:2,500600,500600,500600:2|500601:2,500600,500600,500600:2|500601:2,500600,500600,500600:2|500601:2,500600,500600,500600:2|500601:2,500600,500600,500600:2|500601:2
6001,魔域斗罗,600100,600104,600104,600100,0,600100,600100,600101,600102,600100,600100,600100,600100,600100,600100,600102:2|600100:2,600101:2|600100:2,600100,600100,600100,600102:2|600100:5,600100,600100,600101:2|600100:5,600100
6002,全视之眼,600200,600204,600204,600200,0,600203,600202,600201,600200,600200,600202,600200,600200,600201,600202,600200,600200,600200,600202,600201,600200,600200,600202,600200,600201:2|200600:2
6003,乱咒法皇,600300,600304,600304,600300,0,600300,600301,600300,600300,600300,600300,600301,600300,600300,600300,600300,600301,600300,600300,600300,600300,600301,600300,600300,600300
6004,恶魔精英,600400,600404,600404,600400,0,600400,600401,600400,600400,600400,600401,600400,600400,600400,600401,600400,600400,600400,600401,600400,600400,600400,600401,600400,600400
6005,小恶魔,600500,600504,600504,600500,0,600500,600500,600501,600500,600500,600500,600501,600500,600500,600500,600501,600500,600500,600500,600501,600500,600500,600500,600501,600500
6006,恶魔法师,600600,600604,600604,600600,0,600600,600600,600601,600600,600600,600600,600601,600600,600600,600600,600601,600600,600600,600600,600601,600600,600600,600600,600601,600600
7001,星辰领主,700100,700104,700104,700100,0,700102,700101,700100,700100,700101,700100,700102,700101,700100,700100,700101,700100,700102,700101,700100,700100,700101:2|700100:6,700102:2|700100:6,700102:2|700100:6,700101:2|700100:6
7002,莉莉丝,700200,700204,700204,700200,0,700202,700201,700200,700200,700200,700200,700200,700200,700200,700200,700200,700201,700200,700200,700200,700200,700200,700200,700200,700200
8001,哥布林,800100,800104,800104,800100,0,800100,800100,800101,800100,800100,800100,800101,800100,800100,800100,800101,800100,800100,800100,800101,800100,800100,800100,800101,800100
8002,哥布林,800200,800204,800204,800200,0,800200,800201,800200,800200,800200,800201,800200,800200,800200,800201,800200,800200,800200,800201,800200,800200,800200,800201,800200,800200
8003,哥布林,800300,800304,800304,800300,0,800300,800300,800301,800300,800300,800300,800301,800300,800300,800300,800301,800300,800300,800300,800301,800300,800300,800300,800301,800300
8005,哥布林,800500,800504,800504,800500,0,800500,800500,800501,800500,800500,800500,800501,800500,800500,800500,800501,800500,800500,800500,800501,800500,800500,800500,800501,800500
8007,堕落君王,800700,800704,800704,800700,0,800700,800700,800701,800700,800700,800700,800701,800700,800700,800700,800701,800700,800700,800700,800701,800700,800700,800700,800701,800700
9901,恶魔精英,900100,900104,900104,900100,0,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100,900100
9902,恶魔法师,900200,900204,900204,900200,0,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200,900200
9903,秘境护卫,900300,900304,900304,900300,0,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300,900300
9801,暗雷勇士,301400,301404,301404,301400,0,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400,301400
9802,暗雷勇士,301400,301404,301404,301400,0,301400,301400,301401,301400,301400,301400,301401,301400,301400,301400,301401,301400,301400,301400,301401,301400,301400,301400,301401,301400
9803,幻象,300700,300704,300704,300700,0,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700,300700
9804,强化幻象,300700,300704,300704,300700,0,300700,300700,300702,300700,300700,300700,300701,300700,300700,300700,300700:2|300702:8,300701,300700,300700,300700,300700,300701,300700:2|300702:8,300700,300700
9805,恢复图腾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9806,嘲讽图腾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9807,猴子猴孙,500700,500704,500704,500700,0,500700,500701,500700,500700,500701,500700,500701,500700,500700,500701,500700,500700,500701,500700,500700,500701,500700,500701,500700,500700
8004,武圣关羽,800400,800404,800404,800400,0,800401,800400,800401,800400,800401,800400,800401,800400,800401,800400,800401,800400,800401,800400,800401,800400,800401,800400,800401,800400
5007,孙悟空,500700,500704,500704,500700,0,500702,500701,500700,500700,500701,500702,500701,500700,500700,500701,500700,500702,500701,500700,500700,500701,500702,500701,500700,500700
4015,乔巴,401500,401504,401504,401500,0,401500,401502,401503,401500,401500,401503,401500,401502,401500,401503：2|401500：2,401500,401503,401500,401502,401500,401500：2|401503:2,401500,401500,401502,401500
7003,圣诞老人,700300,700304,700304,700300,0,700303,700301,700300,700302,700300,700300,700301,700303,700300,700300,700302,700301,700300,700300,700303,700300,700301,700302,700300,700300
6007,霜寒之星,600700,600704,600704,600700,0,600701,600702,600700,600700,600701,600700,600700,600702,600700：2|600701：4,600700：4|600701：2,600700,600700,600701,600702,600700,600700,600701,600700,600702,600700
6008,暗渊巨魔,600800,600804,600804,600800,0,600802,600801,600800,600800,600800,600802,600801,600800,600800,600800,600802,600801,600800,600800,600800,600802,600801,600800,600800,600800
6009,护卫神猴,600900,600904,600904,600900,0,600901,600902,600900,600903,600900,600900,600900,600901,600903,600900,600900,600902,600900,600903,600901,600900,600900,600903,600900,600900
8008,黑暗悟空,800800,800804,800804,800800,0,800802,800800,800801,800800,800800,800801,800800,800802,800801,800800,800800,800801,800800,800801,800802,800800,800801,800800,800800,800801
9808,悟空分身,800800,800804,800804,800800,0,800802,800800,800800,800800,800800,800800,800800,800802,800800,800800,800800,800800,800800,800800,800802,800800,800800,800800,800800,800800
8011,年兽,801100,801104,801104,801100,0,801102,801101,801100,801103,801100,801102,801101,801100,801102,801100,801103,801100,801101,801102,801100,801100,801100,801103,801102,801100
9809,年兽,801100,800104,801104,801100,0,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100,801100
