id,name,name1,relevanceheroid,star,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,icon,sp,img,intr,skill,activeneed,activenum
102016,雷神之锤,峰峦霸主：索伦,2016,4,501,107,19,100,503,117,37,200,99,200000,ex_icon_2016.png,sp,exclusive_2016.png,随意的召唤闪电。,92201601,40000003,60
103001,不朽双刃,末日禁卫：格瑞泽尔勒,3001,4,501,107,19,100,503,117,37,200,99,200000,ex_icon_3001.png,sp,exclusive_3001.png,年代久远的武器，但其中蕴含着神秘的力量。,92300101,40000003,60
103002,雷鸣之面,哀恸女妖：雪米拉,3002,4,501,117,20,100,502,30,0,0,99,200000,ex_icon_3002.png,sp,exclusive_3002.png,面具下隐藏着什么。,92300201,40000003,60
103003,圣王之首,骸骨之王：托安,3003,4,501,117,19,150,502,20,0,0,99,200000,ex_icon_3003.png,sp,exclusive_3003.png,无论多久的时间也磨灭不了一颗王者的心。,92300301,40000003,60
103004,风雷明灯,灾厄巫童：伊莎贝拉,3004,4,501,88,6,200,502,49,0,0,99,200000,ex_icon_3004.png,sp,exclusive_3004.png,露达尔在修行中使用的灯具。,92300401,40000003,60
103005,制裁之锋,冥域屠宰者：奈拉,3005,4,501,68,503,68,502,59,21,-100,99,200000,ex_icon_3005.png,sp,exclusive_3005.png,惩罚对王者不敬的人。,92300501,40000003,60
103006,暗雷之引,幽冥重生者：法瑞奥,3006,4,501,59,19,100,502,68,20,100,99,200000,ex_icon_3006.png,sp,exclusive_3006.png,这里面似乎能听到雷鸣。,92300601,40000003,60
103007,幻影神枪,恶兆骑士：巴登,3007,4,501,78,503,30,502,59,21,-150,99,200000,ex_icon_3007.png,sp,exclusive_3007.png,能释放出幻影的武器。,92300701,40000003,60
103008,逝影十字,慌冢冥行者：甘瑟尔,3008,4,502,59,21,-100,6,400,0,0,99,200000,ex_icon_3008.png,sp,exclusive_3008.png,当它旋转时，一切都晚了。,92300801,40000003,60
103009,暗黑魔杖,恐虐尸傀：伊索尔德,3009,4,501,88,503,49,502,44,20,100,99,200000,ex_icon_3009.png,sp,exclusive_3009.png,能释放远古时期的禁忌魔法。,92300901,40000003,60
104001,万灵神杖,绿荫使者：尼莫拉,4001,4,501,88,21,-250,502,39,0,0,99,200000,ex_icon_4001.png,sp,exclusive_4001.png,蕴含土龙神力的法杖。,92400101,40000003,60
104002,翡翠对刃,薄暮之影：卡兹,4002,4,501,20,6,200,502,59,20,200,99,200000,ex_icon_4002.png,sp,exclusive_4002.png,闪烁的绿光，闪烁的身影。,92400201,40000003,60
104003,狩猎神弓,驭星猎手：莱卡,4003,4,501,39,19,50,502,68,25,200,99,200000,ex_icon_4003.png,sp,exclusive_4003.png,能幻化出巨大的形状，射出惊人一箭。,92400301,40000003,60
104004,坠梦法杖,梦境守护：塔西,4004,4,501,49,503,68,502,59,21,-200,99,200000,ex_icon_4004.png,sp,exclusive_4004.png,看到它的人都会坠入梦境。,92400401,40000003,60
104005,复苏印记,枯甲之魂：奥曼斯,4005,4,501,78,503,78,502,49,19,100,99,200000,ex_icon_4005.png,sp,exclusive_4005.png,能给予人生命力量的图腾。,92400501,40000003,60
104006,风语之刃,怒潮使者：希瑞斯,4006,4,501,117,19,150,502,39,0,0,99,200000,ex_icon_4006.png,sp,exclusive_4006.png,当它划过能听到风的呼啸。,92400601,40000003,60
104007,风佑肩铠,凌风之刃：埃隆,4007,4,501,68,503,68,502,59,21,-150,99,200000,ex_icon_4007.png,sp,exclusive_4007.png,将自然之力聚集的护肩。,92400701,40000003,60
104008,憾地之柱,憾潮卫士：高尔沃,4008,4,501,97,503,59,502,39,19,100,99,200000,ex_icon_4008.png,sp,exclusive_4008.png,原本是一个图腾，现在成为御敌武器。,92400801,40000003,60
104009,幻灵魔杖,风雨漫游者：洛桑,4009,4,501,68,503,39,502,39,21,-500,99,200000,ex_icon_4009.png,sp,exclusive_4009.png,能呼唤自然力量的魔杖。,92400901,40000003,60
104015,冬慕绒帽,原创,4015,4,501,71,503,39,502,39,21,-500,99,200000,ex_icon_4015.png,sp,exclusive_4015.png,这是一个圣诞礼物，有着节日的祝福。,92401501,40000003,60
107001,星辰重刃,永恒之王：亚瑟,7001,4,501,81,19,150,502,81,36,200,99,200000,ex_icon_7001.png,sp,exclusive_7001.png,被赋予星辰力量的武器，但它的过去似乎更加辉煌。,92700101,40000003,60
107002,夜之冠,莉莉丝,7002,4,501,57,503,125,502,57,19,200,99,200000,ex_icon_7002.png,sp,exclusive_7002.png,夜之魔女的权柄。,92700201,40000003,60
107003,圣诞礼树,圣诞老人,7003,4,501,81,20,150,502,69,0,0,99,200000,ex_icon_7003.png,sp,exclusive_7003.png,为了阻止暗影蔓延，圣诞树也可以变为武器。,92700301,40000003,60
107004,风火轮,哪吒,7004,4,501,69,6,4,502,91,0,0,99,200000,ex_icon_7004.png,sp,exclusive_7004.png,双轮转动间有风与火之声，左右二轮生风喷火。,92700401,40000003,60
107005,月华披帛,嫦娥,7005,4,501,81,20,150,502,69,0,0,99,200000,ex_icon_7005.png,sp,exclusive_7005.png,坐时衣带萦纤草，行即裙裾扫落梅。,92700501,40000003,60
