lazyid,id,name,lv,needitem,neednum,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8
1003001,52010103,法师,1,52010103,3,7,80,9,160,29,80,6,810,8,90,10,160,30,80,99,65200
1003002,52010103,法师,2,52010103,6,7,160,9,320,29,160,6,1540,8,160,10,310,30,150,99,125300
1003003,52010103,法师,3,52010103,12,7,330,9,660,29,330,6,3250,8,340,10,640,30,320,99,262000
1003004,52010103,法师,4,52010103,24,7,630,9,1260,29,630,6,6230,8,660,10,1230,30,620,99,503100
1003005,52010103,法师,5,52010103,40,7,1090,9,2180,29,1090,6,10780,8,1140,10,2140,30,1070,99,870600
1003006,52010103,法师,6,52010103,64,7,1730,9,3460,29,1730,6,17150,8,1820,10,3400,30,1700,99,1384000
1003007,52010103,法师,7,52010103,90,7,2580,9,5160,29,2580,6,25580,8,2710,10,5060,30,2530,99,2062600
1003008,52010103,法师,8,52010103,120,7,3670,9,7340,29,3670,6,36300,8,3850,10,7190,30,3590,99,2930500
1003009,52010103,法师,9,52010103,150,7,5000,9,10000,29,5000,6,49520,8,5250,10,9800,30,4900,99,3995400
1003010,52010103,法师,10,52010103,180,7,6610,9,13220,29,6610,6,65450,8,6940,10,12960,30,6480,99,5282000
1003011,52010103,法师,11,52010103,220,7,8520,9,17040,29,8520,6,84300,8,8940,10,16690,30,8350,99,6805500
1003012,52010103,法师,12,52010103,260,7,10730,9,21460,29,10730,6,106270,8,11270,10,21040,30,10520,99,8575400
1003013,52010103,法师,13,52010103,310,7,13290,9,26580,29,13290,6,131530,8,13950,10,26040,30,13020,99,10616600
1003014,52010103,法师,14,52010103,350,7,16190,9,32380,29,16190,6,160280,8,17000,10,31730,30,15870,99,12936100
1003015,52010103,法师,15,52010103,400,7,19460,9,38920,29,19460,6,192690,8,20440,10,38150,30,19070,99,15550300
1003016,52010103,法师,16,52010103,460,7,23130,9,46260,29,23130,6,228950,8,24280,10,45330,30,22660,99,18478500
1003017,52010103,法师,17,52010103,520,7,27190,9,54380,29,27190,6,269220,8,28550,10,53300,30,26650,99,21726400
1003018,52010103,法师,18,52010103,580,7,31680,9,63360,29,31680,6,313680,8,33270,10,62100,30,31050,99,25314600
1003019,52010103,法师,19,52010103,640,7,36610,9,73220,29,36610,6,362480,8,38450,10,71760,30,35880,99,29253600
1003020,52010103,法师,20,0,0,7,42000,9,84000,29,42000,6,415800,8,44100,10,82320,30,41160,99,33558000
2003001,52010203,大法师,1,52010203,3,7,160,9,320,29,160,6,1660,8,170,10,340,30,160,99,131200
2003002,52010203,大法师,2,52010203,6,7,300,9,600,29,300,6,3150,8,330,10,640,30,310,99,249000
2003003,52010203,大法师,3,52010203,12,7,630,9,1260,29,630,6,6630,8,690,10,1350,30,650,99,523100
2003004,52010203,大法师,4,52010203,24,7,1210,9,2420,29,1210,6,12720,8,1320,10,2590,30,1250,99,1003900
2003005,52010203,大法师,5,52010203,40,7,2090,9,4180,29,2090,6,22000,8,2290,10,4490,30,2160,99,1736500
2003006,52010203,大法师,6,52010203,64,7,3330,9,6660,29,3330,6,35000,8,3640,10,7140,30,3430,99,2763000
2003007,52010203,大法师,7,52010203,90,7,4960,9,9920,29,4960,6,52200,8,5430,10,10650,30,5120,99,4119500
2003008,52010203,大法师,8,52010203,120,7,7040,9,14080,29,7040,6,74060,8,7700,10,15110,30,7260,99,5844700
2003009,52010203,大法师,9,52010203,150,7,9600,9,19200,29,9600,6,101040,8,10500,10,20610,30,9900,99,7971300
2003010,52010203,大法师,10,52010203,180,7,12690,9,25380,29,12690,6,133550,8,13880,10,27240,30,13090,99,10537000
2003011,52010203,大法师,11,52010203,220,7,16350,9,32700,29,16350,6,172010,8,17880,10,35080,30,16860,99,13573200
2003012,52010203,大法师,12,52010203,260,7,20610,9,41220,29,20610,6,216830,8,22540,10,44220,30,21250,99,17109600
2003013,52010203,大法师,13,52010203,310,7,25510,9,51020,29,25510,6,268370,8,27900,10,54740,30,26310,99,21178400
2003014,52010203,大法师,14,52010203,350,7,31080,9,62160,29,31080,6,327030,8,34000,10,66700,30,32060,99,25805600
2003015,52010203,大法师,15,52010203,400,7,37370,9,74740,29,37370,6,393170,8,40870,10,80190,30,38540,99,31024900
2003016,52010203,大法师,16,52010203,460,7,44400,9,88800,29,44400,6,467150,8,48570,10,95280,30,45790,99,36863000
2003017,52010203,大法师,17,52010203,520,7,52210,9,104420,29,52210,6,549320,8,57110,10,112040,30,53840,99,43346400
2003018,52010203,大法师,18,52010203,580,7,60830,9,121660,29,60830,6,640030,8,66540,10,130540,30,62740,99,50504600
2003019,52010203,大法师,19,52010203,640,7,70300,9,140600,29,70300,6,739610,8,76890,10,150850,30,72500,99,58363700
2003020,52010203,大法师,20,0,0,7,80640,9,161280,29,80640,6,848400,8,88200,10,173040,30,83160,99,66948000
1004001,52010104,十字军,1,52010104,3,7,80,9,160,29,80,6,860,8,80,10,170,30,80,99,65700
1004002,52010104,十字军,2,52010104,6,7,150,9,300,29,150,6,1640,8,150,10,320,30,150,99,123800
1004003,52010104,十字军,3,52010104,12,7,320,9,640,29,320,6,3440,8,320,10,680,30,320,99,262800
1004004,52010104,十字军,4,52010104,24,7,620,9,1240,29,620,6,6610,8,610,10,1310,30,610,99,505700
1004005,52010104,十字军,5,52010104,40,7,1070,9,2140,29,1070,6,11440,8,1060,10,2270,30,1060,99,875300
1004006,52010104,十字军,6,52010104,64,7,1700,9,3400,29,1700,6,18190,8,1680,10,3600,30,1680,99,1389800
1004007,52010104,十字军,7,52010104,90,7,2530,9,5060,29,2530,6,27130,8,2510,10,5370,30,2510,99,2072100
1004008,52010104,十字军,8,52010104,120,7,3590,9,7180,29,3590,6,38500,8,3560,10,7630,30,3560,99,2940500
1004009,52010104,十字军,9,52010104,150,7,4900,9,9800,29,4900,6,52520,8,4850,10,10400,30,4850,99,4010400
1004010,52010104,十字军,10,52010104,180,7,6480,9,12960,29,6480,6,69420,8,6410,10,13750,30,6410,99,5301900
1004011,52010104,十字军,11,52010104,220,7,8350,9,16700,29,8350,6,89410,8,8260,10,17710,30,8260,99,6830700
1004012,52010104,十字军,12,52010104,260,7,10520,9,21040,29,10520,6,112710,8,10410,10,22330,30,10410,99,8608700
1004013,52010104,十字军,13,52010104,310,7,13020,9,26040,29,13020,6,139500,8,12890,10,27630,30,12890,99,10655500
1004014,52010104,十字军,14,52010104,350,7,15870,9,31740,29,15870,6,169990,8,15700,10,33670,30,15700,99,12984300
1004015,52010104,十字军,15,52010104,400,7,19070,9,38140,29,19070,6,204370,8,18880,10,40490,30,18880,99,15608900
1004016,52010104,十字军,16,52010104,460,7,22660,9,45320,29,22660,6,242830,8,22430,10,48100,30,22430,99,18545600
1004017,52010104,十字军,17,52010104,520,7,26650,9,53300,29,26650,6,285540,8,26380,10,56560,30,26380,99,21809800
1004018,52010104,十字军,18,52010104,580,7,31050,9,62100,29,31050,6,332690,8,30730,10,65900,30,30730,99,25409800
1004019,52010104,十字军,19,52010104,640,7,35880,9,71760,29,35880,6,384450,8,35520,10,76160,30,35520,99,29365000
1004020,52010104,十字军,20,0,0,7,41160,9,82320,29,41160,6,441000,8,40740,10,87360,30,40740,99,33684000
2004001,52010204,圣堂武士,1,52010204,3,7,160,9,320,29,160,6,1710,8,170,10,340,30,160,99,132200
2004002,52010204,圣堂武士,2,52010204,6,7,300,9,600,29,300,6,3240,8,320,10,640,30,300,99,248800
2004003,52010204,圣堂武士,3,52010204,12,7,640,9,1280,29,640,6,6820,8,680,10,1350,30,640,99,527900
2004004,52010204,圣堂武士,4,52010204,24,7,1220,9,2440,29,1220,6,13100,8,1310,10,2590,30,1220,99,1010500
2004005,52010204,圣堂武士,5,52010204,40,7,2110,9,4220,29,2110,6,22660,8,2270,10,4490,30,2110,99,1748700
2004006,52010204,圣堂武士,6,52010204,64,7,3360,9,6720,29,3360,6,36040,8,3600,10,7140,30,3360,99,2781800
2004007,52010204,圣堂武士,7,52010204,90,7,5010,9,10020,29,5010,6,53750,8,5370,10,10650,30,5010,99,4148500
2004008,52010204,圣堂武士,8,52010204,120,7,7110,9,14220,29,7110,6,76260,8,7630,10,15110,30,7110,99,5887700
2004009,52010204,圣堂武士,9,52010204,150,7,9700,9,19400,29,9700,6,104040,8,10400,10,20610,30,9700,99,8031300
2004010,52010204,圣堂武士,10,52010204,180,7,12830,9,25660,29,12830,6,137520,8,13750,10,27240,30,12830,99,10619400
2004011,52010204,圣堂武士,11,52010204,220,7,16520,9,33040,29,16520,6,177120,8,17710,10,35080,30,16520,99,13675400
2004012,52010204,圣堂武士,12,52010204,260,7,20820,9,41640,29,20820,6,223270,8,22330,10,44220,30,20820,99,17237400
2004013,52010204,圣堂武士,13,52010204,310,7,25770,9,51540,29,25770,6,276350,8,27630,10,54740,30,25770,99,21335000
2004014,52010204,圣堂武士,14,52010204,350,7,31410,9,62820,29,31410,6,336750,8,33670,10,66700,30,31410,99,26001000
2004015,52010204,圣堂武士,15,52010204,400,7,37760,9,75520,29,37760,6,404850,8,40490,10,80190,30,37760,99,31259500
2004016,52010204,圣堂武士,16,52010204,460,7,44870,9,89740,29,44870,6,481030,8,48100,10,95280,30,44870,99,37142600
2004017,52010204,圣堂武士,17,52010204,520,7,52760,9,105520,29,52760,6,565640,8,56560,10,112040,30,52760,99,43674800
2004018,52010204,圣堂武士,18,52010204,580,7,61470,9,122940,29,61470,6,659040,8,65900,10,130540,30,61470,99,50885800
2004019,52010204,圣堂武士,19,52010204,640,7,71030,9,142060,29,71030,6,761580,8,76160,10,150850,30,71030,99,58802100
2004020,52010204,圣堂武士,20,0,0,7,81480,9,162960,29,81480,6,873600,8,87360,10,173040,30,81480,99,67452000
1005001,52010105,祭祀,1,52010105,3,7,90,9,180,29,90,6,820,8,80,10,160,30,90,99,68400
1005002,52010105,祭祀,2,52010105,6,7,160,9,320,29,160,6,1560,8,160,10,310,30,160,99,126700
1005003,52010105,祭祀,3,52010105,12,7,340,9,680,29,340,6,3280,8,330,10,650,30,340,99,267100
1005004,52010105,祭祀,4,52010105,24,7,660,9,1320,29,660,6,6300,8,630,10,1250,30,660,99,515500
1005005,52010105,祭祀,5,52010105,40,7,1140,9,2280,29,1140,6,10890,8,1090,10,2160,30,1140,99,890800
1005006,52010105,祭祀,6,52010105,64,7,1820,9,3640,29,1820,6,17330,8,1730,10,3430,30,1820,99,1419100
1005007,52010105,祭祀,7,52010105,90,7,2710,9,5420,29,2710,6,25840,8,2580,10,5120,30,2710,99,2114800
1005008,52010105,祭祀,8,52010105,120,7,3850,9,7700,29,3850,6,36660,8,3670,10,7260,30,3850,99,3003200
1005009,52010105,祭祀,9,52010105,150,7,5250,9,10500,29,5250,6,50020,8,5000,10,9900,30,5250,99,4095400
1005010,52010105,祭祀,10,52010105,180,7,6940,9,13880,29,6940,6,66110,8,6610,10,13090,30,6940,99,5413700
1005011,52010105,祭祀,11,52010105,220,7,8940,9,17880,29,8940,6,85160,8,8520,10,16860,30,8940,99,6974200
1005012,52010105,祭祀,12,52010105,260,7,11270,9,22540,29,11270,6,107340,8,10730,10,21250,30,11270,99,8790300
1005013,52010105,祭祀,13,52010105,310,7,13950,9,27900,29,13950,6,132860,8,13290,10,26310,30,13950,99,10881700
1005014,52010105,祭祀,14,52010105,350,7,17000,9,34000,29,17000,6,161900,8,16190,10,32060,30,17000,99,13260000
1005015,52010105,祭祀,15,52010105,400,7,20440,9,40880,29,20440,6,194640,8,19460,10,38540,30,20440,99,15941800
1005016,52010105,祭祀,16,52010105,460,7,24280,9,48560,29,24280,6,231260,8,23130,10,45790,30,24280,99,18939700
1005017,52010105,祭祀,17,52010105,520,7,28550,9,57100,29,28550,6,271940,8,27190,10,53840,30,28550,99,22269800
1005018,52010105,祭祀,18,52010105,580,7,33270,9,66540,29,33270,6,316850,8,31680,10,62740,30,33270,99,25950000
1005019,52010105,祭祀,19,52010105,640,7,38450,9,76900,29,38450,6,366140,8,36610,10,72500,30,38450,99,29988800
1005020,52010105,祭祀,20,0,0,7,44100,9,88200,29,44100,6,420000,8,42000,10,83160,30,44100,99,34398000
2005001,52010205,圣裁官,1,52010205,3,7,170,9,340,29,170,6,1640,8,170,10,330,30,160,99,133300
2005002,52010205,圣裁官,2,52010205,6,7,330,9,660,29,330,6,3120,8,330,10,630,30,310,99,256900
2005003,52010205,圣裁官,3,52010205,12,7,690,9,1380,29,690,6,6560,8,690,10,1330,30,650,99,538700
2005004,52010205,圣裁官,4,52010205,24,7,1320,9,2640,29,1320,6,12600,8,1320,10,2540,30,1250,99,1032000
2005005,52010205,圣裁官,5,52010205,40,7,2290,9,4580,29,2290,6,21790,8,2290,10,4400,30,2160,99,1787800
2005006,52010205,圣裁官,6,52010205,64,7,3640,9,7280,29,3640,6,34650,8,3640,10,7000,30,3430,99,2842000
2005007,52010205,圣裁官,7,52010205,90,7,5430,9,10860,29,5430,6,51680,8,5430,10,10440,30,5120,99,4239600
2005008,52010205,圣裁官,8,52010205,120,7,7700,9,15400,29,7700,6,73330,8,7700,10,14810,30,7260,99,6013100
2005009,52010205,圣裁官,9,52010205,150,7,10500,9,21000,29,10500,6,100040,8,10500,10,20210,30,9900,99,8201300
2005010,52010205,圣裁官,10,52010205,180,7,13880,9,27760,29,13880,6,132230,8,13880,10,26710,30,13090,99,10841100
2005011,52010205,圣裁官,11,52010205,220,7,17880,9,35760,29,17880,6,170310,8,17880,10,34400,30,16860,99,13964200
2005012,52010205,圣裁官,12,52010205,260,7,22540,9,45080,29,22540,6,214680,8,22540,10,43370,30,21250,99,17603100
2005013,52010205,圣裁官,13,52010205,310,7,27900,9,55800,29,27900,6,265720,8,27900,10,53670,30,26310,99,21788900
2005014,52010205,圣裁官,14,52010205,350,7,34000,9,68000,29,34000,6,323800,8,34000,10,65410,30,32060,99,26552500
2005015,52010205,圣裁官,15,52010205,400,7,40870,9,81740,29,40870,6,389280,8,40870,10,78630,30,38540,99,31919100
2005016,52010205,圣裁官,16,52010205,460,7,48570,9,97140,29,48570,6,462530,8,48570,10,93430,30,45790,99,37929100
2005017,52010205,圣裁官,17,52010205,520,7,57110,9,114220,29,57110,6,543890,8,57110,10,109860,30,53840,99,44598800
2005018,52010205,圣裁官,18,52010205,580,7,66540,9,133080,29,66540,6,633690,8,66540,10,128010,30,62740,99,51964300
2005019,52010205,圣裁官,19,52010205,640,7,76890,9,153780,29,76890,6,732290,8,76890,10,147920,30,72500,99,60047800
2005020,52010205,圣裁官,20,0,0,7,88200,9,176400,29,88200,6,840000,8,88200,10,169680,30,83160,99,68880000
1006001,52010106,骑士,1,52010106,3,7,80,9,160,29,80,6,800,8,80,10,170,30,90,99,65500
1006002,52010106,骑士,2,52010106,6,7,150,9,300,29,150,6,1530,8,150,10,320,30,160,99,122600
1006003,52010106,骑士,3,52010106,12,7,310,9,620,29,310,6,3210,8,310,10,660,30,340,99,255200
1006004,52010106,骑士,4,52010106,24,7,600,9,1200,29,600,6,6170,8,600,10,1270,30,650,99,491900
1006005,52010106,骑士,5,52010106,40,7,1030,9,2060,29,1030,6,10680,8,1030,10,2200,30,1130,99,848600
1006006,52010106,骑士,6,52010106,64,7,1650,9,3300,29,1650,6,16980,8,1650,10,3500,30,1800,99,1354600
1006007,52010106,骑士,7,52010106,90,7,2450,9,4900,29,2450,6,25320,8,2450,10,5220,30,2690,99,2016400
1006008,52010106,骑士,8,52010106,120,7,3480,9,6960,29,3480,6,35930,8,3480,10,7410,30,3810,99,2862100
1006009,52010106,骑士,9,52010106,150,7,4750,9,9500,29,4750,6,49020,8,4750,10,10100,30,5200,99,3905400
1006010,52010106,骑士,10,52010106,180,7,6280,9,12560,29,6280,6,64790,8,6280,10,13360,30,6880,99,5163800
1006011,52010106,骑士,11,52010106,220,7,8090,9,16180,29,8090,6,83450,8,8090,10,17200,30,8860,99,6651000
1006012,52010106,骑士,12,52010106,260,7,10200,9,20400,29,10200,6,105190,8,10200,10,21680,30,11160,99,8383800
1006013,52010106,骑士,13,52010106,310,7,12620,9,25240,29,12620,6,130200,8,12620,10,26840,30,13820,99,10376000
1006014,52010106,骑士,14,52010106,350,7,15380,9,30760,29,15380,6,158660,8,15380,10,32700,30,16840,99,12644200
1006015,52010106,骑士,15,52010106,400,7,18490,9,36980,29,18490,6,190750,8,18490,10,39320,30,20240,99,15201000
1006016,52010106,骑士,16,52010106,460,7,21970,9,43940,29,21970,6,226640,8,21970,10,46720,30,24050,99,18061800
1006017,52010106,骑士,17,52010106,520,7,25830,9,51660,29,25830,6,266500,8,25830,10,54930,30,28280,99,21236500
1006018,52010106,骑士,18,52010106,580,7,30100,9,60200,29,30100,6,310510,8,30100,10,64000,30,32950,99,24745200
1006019,52010106,骑士,19,52010106,640,7,34780,9,69560,29,34780,6,358820,8,34780,10,73960,30,38080,99,28594400
1006020,52010106,骑士,20,0,0,7,39900,9,79800,29,39900,6,411600,8,39900,10,84840,30,43680,99,32802000
2006001,52010206,圣骑士,1,52010206,3,7,170,9,340,29,170,6,1620,8,160,10,320,30,160,99,131400
2006002,52010206,圣骑士,2,52010206,6,7,320,9,640,29,320,6,3090,8,310,10,620,30,300,99,249800
2006003,52010206,圣骑士,3,52010206,12,7,670,9,1340,29,670,6,6500,8,660,10,1300,30,640,99,526000
2006004,52010206,圣骑士,4,52010206,24,7,1280,9,2560,29,1280,6,12470,8,1260,10,2490,30,1220,99,1005900
2006005,52010206,圣骑士,5,52010206,40,7,2220,9,4440,29,2220,6,21570,8,2180,10,4310,30,2110,99,1741900
2006006,52010206,圣骑士,6,52010206,64,7,3530,9,7060,29,3530,6,34310,8,3470,10,6860,30,3360,99,2771200
2006007,52010206,圣骑士,7,52010206,90,7,5270,9,10540,29,5270,6,51160,8,5170,10,10230,30,5010,99,4133700
2006008,52010206,圣骑士,8,52010206,120,7,7480,9,14960,29,7480,6,72590,8,7330,10,14520,30,7110,99,5865800
