chapterindex,mapid,resource,startX,startY,dir,size,mask,fov,height,rotate,weather,music,ambience,task1,task2,endtext
20,Event_Map1020,Map1005,8,8,4,70,2001|2003|2005,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
21,Event_Map1021,Map1003,8,26,2,70,2103|2108,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
22,Event_Map1022,Map1006,11,8,2,70,2201|2205|2208,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
23,Event_Map1023,Map5005,8,15,3,70,2301|2304|2308,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
24,Event_Map1024,Map5004,10,26,2,70,2401|2405|2408,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
25,Event_Map1025,Map5003,10,35,2,70,2501|2504|2509,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
26,Event_Map1026,Map3005,12,6,4,70,2601|2605|2608,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
27,Event_Map1027,Map2004,8,26,1,70,2701|2703|2708,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
28,Event_Map1028,Map4004,8,27,4,70,2801|2803|2805,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
29,Event_Map1029,Map1008,8,30,3,70,2901|2903|2905,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
30,Event_Map1030,Map1009,10,12,3,70,3001|3005|3008,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
31,Event_Map1031,Map1011,7,12,2,70,3101|3105|3108,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
32,Event_Map1032,Map5006,7,26,2,70,3201|3205|3208,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
33,Event_Map1033,Map4002,10,28,2,70,3301|3305|3308,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
34,Event_Map1034,Map3001,15,34,1,70,3403|3405|3408,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
35,Event_Map1035,Map1010,9,27,2,70,3501|3505|3508,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
36,Event_Map1036,Map1007,13,6,4,70,3601|3605|3608,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
37,Event_Map1037,Map2002,8,36,1,70,3701|3704|3708,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
38,Event_Map1038,Map5001,10,12,3,70,3801|3803|3805,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
39,Event_Map1039,Map1004,6,23,2,70,3901|3905|3909,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
40,Event_Map1040,Map5002,7,27,2,70,4001|4005|4008,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
41,Event_Map1041,Map4001,12,8,3,70,4101|4105|4108,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
42,Event_Map1042,Map4005,8,27,2,70,4201|4203|4208,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
43,Event_Map1043,Map4003,11,35,2,70,4301|4305|4308,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
44,Event_Map1044,Map3004,8,30,1,70,4401|4405|4408,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
45,Event_Map1045,Map3002,38,34,0,70,4501|4505|4509,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
46,Event_Map1046,Map3003,8,9,3,70,4601|4603|4608,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
47,Event_Map1047,Map2001,8,36,1,70,4701|4705|4708,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
48,Event_Map1048,Map2005,39,37,1,70,4801|4804|4808,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
49,Event_Map1049,Map2003,9,11,4,70,4901|4903|4908,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
50,Event_Map1050,Map1005,8,8,4,70,5001|5003|5005,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
51,Event_Map1051,Map1003,8,26,2,70,5103|5108,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
52,Event_Map1052,Map1006,11,8,2,70,5201|5205|5208,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
53,Event_Map1053,Map5005,8,15,3,70,5301|5304|5308,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
54,Event_Map1054,Map5004,10,26,2,70,5401|5405|5408,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
55,Event_Map1055,Map5003,10,35,2,70,5501|5504|5509,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
56,Event_Map1056,Map3005,12,6,4,70,5601|5605|5608,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
57,Event_Map1057,Map2004,8,26,1,70,5701|5703|5708,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
58,Event_Map1058,Map4004,8,27,4,70,5801|5803|5805,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
59,Event_Map1059,Map1008,8,30,3,70,5901|5903|5905,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
60,Event_Map1060,Map1009,10,12,3,70,6001|6005|6008,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
