buffid,buffname,bufftype,timebase,timeadd,takeeffect,takeeffectnum,overlapnum,limitbuff,cleanbuff,benefit,effectid,effecttype1,effectbase1,effectadd1,effecttype2,effectbase2,effectadd2,effecttype3,effectbase3,effectadd3,effecttype4,effectbase4,effectadd4,buff_icon,trigger_buff,trigger_type,trigger_time,trigger_probability
100504,全体550%攻击吸收盾,1,10000,0,0,0,1,0,0,1,10050401,4311,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100505,提升50%防御力,0,10000,0,0,0,1,0,0,1,10003,503,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100506,伤害减免提高20%,1,8000,0,0,0,5,0,0,1,10003,38,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100507,伤害减免提高65%,1,5000,0,0,0,1,0,0,1,10050304,4101,5,0,38,6500,0,4125,5,0,4134,5,0,0,0,0,0,0
100508,能量转化率提高200%,1,5000,0,0,0,1,0,0,1,0,4501,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100509,伤害减免提高75%,1,5000,0,0,0,1,0,0,1,10050304,4101,5,0,38,7500,0,4125,5,0,4134,5,0,0,0,0,0,0
100601,暴击提升20%,0,5000,0,0,0,1,0,0,1,10007,6,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100602,70%攻击力护盾,0,5000,0,0,0,1,0,0,1,10060104,4311,7000,0,6,2000,0,0,0,0,0,0,0,0,0,0,0,0
100603,不被选中,0,5000,0,0,0,1,0,0,1,0,4135,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100701,昏迷1秒,0,1000,0,0,0,1,0,0,2,10015,4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100702,昏迷1.5秒,0,1500,0,0,0,1,0,0,2,10015,4114,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100703,昏迷2秒,0,2000,0,0,0,1,0,0,2,10015,4114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100704,昏迷2.5秒,0,2500,0,0,0,1,0,0,2,10015,4114,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100705,昏迷3秒,0,3000,0,0,0,1,0,0,2,10015,4114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100706,昏迷3.5秒,0,3500,0,0,0,1,0,0,2,10015,4114,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100707,昏迷4秒,0,4000,0,0,0,1,0,0,2,10015,4114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100708,昏迷4.5秒,0,4500,0,0,0,1,0,0,2,10015,4114,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100709,昏迷5秒,0,5000,0,0,0,1,0,0,2,10015,4114,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100710,免疫控制,0,10000,0,0,0,1,0,0,1,10070304,4101,10,0,4125,10,0,0,0,0,4134,10,0,0,0,0,0,0
100711,免疫控制,0,10000,0,0,0,1,0,0,1,10070304,4101,10,0,4125,10,0,38,4000,0,4134,10,0,0,0,0,0,0
100712,免疫控制,0,10000,0,0,0,1,0,0,1,10070304,4101,10,0,4125,10,0,38,6000,0,4134,10,0,0,0,0,0,0
100713,架盾,0,10000,0,0,0,1,0,0,1,10070304,4101,10,0,4125,10,0,38,3000,0,4134,10,0,0,0,0,0,0
100714,每秒6%生命,0,10000,0,1,1000,1,0,0,1,0,4012,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100715,架盾,0,13000,0,0,0,1,0,0,1,10070304,4101,13,0,4125,13,0,38,3000,0,4134,13,0,0,0,0,0,0
100716,每秒6%生命,0,13000,0,1,1000,1,0,0,1,0,4012,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100717,每秒7%生命,0,13000,0,1,1000,1,0,0,1,0,4012,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100720,伤害转移,0,10000,0,0,0,1,0,0,1,0,4133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100721,昏迷1.5秒,0,1500,0,0,0,1,0,0,2,10015,4114,1.5,0,0,0,0,0,0,0,0,0,0,0,100722,1,0,10000
100722,昏迷1.5秒造成伤害降低40%,0,5000,0,0,0,1,0,0,2,10002,35,-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100723,定身,0,10000,0,0,0,1,0,0,1,0,4116,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100801,降低12%命中,1,10000,0,0,0,1,0,0,2,10006,19,-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100802,30%攻击,1,8000,0,0,0,1,0,0,1,10001,502,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100803,昏迷4秒,1,4000,0,0,0,1,0,0,2,10015,4114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100804,治疗药水,2,18000000,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100901,降低90命中,1,8000,0,0,0,1,0,0,2,10006,19,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100902,降低120命中,1,8000,0,0,0,1,0,0,2,10006,19,-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100903,降低150命中,1,8000,0,0,0,1,0,0,2,10006,19,-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100904,烈焰之矢每秒40%攻击力DOT,1,5000,0,1,1000,1,0,0,2,10019,4001,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100905,生命恢复降低30%,1,5000,0,0,0,1,0,0,2,10010,27,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100906,烈焰之矢每秒60%攻击力DOT,1,5000,0,1,1000,1,0,0,2,10019,4001,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100907,生命恢复降低50%,1,5000,0,0,0,1,0,0,2,10010,27,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100908,昏迷2秒,1,2000,0,0,0,1,0,0,2,10015,4114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100909,提高80命中，暴击率25%,1,180000,0,0,0,1,0,0,1,10007,19,80,0,6,2500,0,0,0,0,0,0,0,0,0,0,0,0
100910,提高120命中，暴击率25%，暴击倍数50%,1,180000,0,0,0,1,0,0,1,10007,19,120,0,6,2500,0,512,5000,0,0,0,0,0,0,0,0,0
100911,提高160命中，暴击率30%，暴击倍数50%,1,180000,0,0,0,1,0,0,1,10007,19,160,0,6,3000,0,512,5000,0,0,0,0,0,0,0,0,0
101001,受到的伤害降低40%,1,1800000,0,0,0,1,0,0,1,0,38,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101002,提升队友40%攻击力,1,10000,0,0,0,1,0,0,1,10001,502,4000,0,521,-2000,0,0,0,0,0,0,0,0,0,0,0,0
101003,提高受到的伤害40%,1,4000,0,0,0,1,0,0,2,10004,38,-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101004,闪避提高100%,1,4000,0,0,0,1,0,0,1,0,20,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101005,短暂昏迷,1,1000,0,0,0,1,0,0,2,10015,4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101006,闪避提高100%,1,4000,0,0,0,1,0,0,1,0,20,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101007,闪避提高100%,1,4000,0,0,0,1,0,0,1,0,20,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101,每秒造成60%攻击力的伤害,1,12000,0,1,1000,1,0,0,2,0,4001,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101102,降低80命中,0,6000,0,0,0,1,0,0,2,10110104,19,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101103,降低150命中,0,6000,0,0,0,1,0,0,2,10110104,19,-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101104,降低150命中,0,10000,0,0,0,1,0,0,2,10110104,19,-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101105,降低受到的伤害14%,0,8000,0,0,0,3,0,0,1,0,38,1400,0,521,-1250,0,0,0,0,0,0,0,0,0,0,0,0
101106,急速提高120,0,8000,0,0,0,1,0,0,1,10011,521,-6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101107,降低受到的伤害23%,0,8000,0,0,0,3,0,0,1,0,38,2200,0,521,-1250,0,0,0,0,0,0,0,0,0,0,0,0
101108,降低受到的伤害30%,0,8000,0,0,0,3,0,0,1,0,38,3000,0,521,-1250,0,0,0,0,0,0,0,0,0,0,0,0
101109,每秒5%生命,0,10000,0,1,1000,1,0,0,1,0,4012,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101110,每秒7%生命,0,10000,0,1,1000,1,0,0,1,0,4012,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101111,每秒10%生命,0,10000,0,1,1000,1,0,0,1,0,4012,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101201,2秒晕眩,0,2000,0,0,0,1,0,0,2,10015,4114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101301,提高20%攻速,1,5000,0,0,0,1,0,0,1,10011,521,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101302,缴械,1,5000,0,0,0,1,0,0,2,10014,4102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101303,沉默,1,5000,0,0,0,1,0,0,2,10013,4103,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101401,1秒晕眩,0,2000,0,0,0,1,0,0,2,10015,4114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101402,减速,0,3000,0,0,0,1,0,0,2,0,521,1000,0,522,-2000,0,0,0,0,0,0,0,0,0,0,0,0
101501,320%攻击力魔法盾,1,8000,0,0,0,1,0,0,1,20080204,4313,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101502,燃烧护盾,1,8000,0,1,1000,1,0,0,1,0,4504,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101601,提升30%防御力,1,8000,0,0,0,1,0,0,1,10003,503,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101701,受到伤害降低50%,0,7000,0,0,0,1,0,0,1,10170104,38,5000,0,4101,5,0,0,0,0,0,0,0,0,0,0,0,0
101801,急速降低10%,0,5000,0,0,0,1,0,0,2,10012,521,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101802,物理易伤20%,0,5000,0,0,0,1,0,0,2,10004,36,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101803,昏迷1秒,0,1000,0,0,0,1,0,0,2,10015,4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101804,伤害分担,2,1800000,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101805,伤害提升,0,10000,0,0,0,20,0,0,1,10001,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101806,减伤8%,0,1800000,0,0,0,3,0,0,1,10003,36,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101807,10%暴击,0,5000,0,0,0,1,0,0,1,10007,6,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101808,15%暴击5%吸血,0,5000,0,0,0,1,0,0,1,10007,6,1500,0,25,500,0,0,0,0,0,0,0,0,0,0,0,0
101809,20%暴击10%吸血,0,5000,0,0,0,1,0,0,1,10007,6,2000,0,25,1000,0,0,0,0,0,0,0,0,0,0,0,0
101810,冻结3秒,0,3000,0,0,0,1,0,0,2,10022,4117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101811,减伤5%,0,1800000,0,0,0,3,0,0,1,10003,36,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200101,免疫控制,0,5000,0,0,0,1,0,0,1,0,4125,5,0,4127,1,0,0,0,0,0,0,0,0,0,0,0,0
200102,免疫法术攻击,0,5000,0,0,0,1,0,0,1,0,4120,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,物理易伤25%,0,8000,0,0,0,1,0,0,2,10004,36,-2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200104,物理易伤30%,0,8000,0,0,0,1,0,0,2,10004,36,-3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200105,物理易伤40%,0,8000,0,0,0,1,0,0,2,10004,36,-4000,0,20,-20000,0,0,0,0,0,0,0,0,0,0,0,0
200106,物理易伤50%,0,8000,0,0,0,1,0,0,2,10004,36,-5000,0,20,-20000,0,0,0,0,0,0,0,0,0,0,0,0
200108,免疫伤害免疫控制,0,4000,0,0,0,1,0,0,1,20010304,4125,4,0,4134,4,0,4127,1,0,0,0,0,0,0,0,0,0
200109,免疫伤害免疫控制,0,7000,0,0,0,1,0,0,1,20010304,4125,7,0,4134,7,0,4127,1,0,0,0,0,0,0,0,0,0
200110,免疫伤害免疫控制,0,8000,0,0,0,1,0,0,1,20010304,4125,8,0,4134,8,0,4127,1,0,0,0,0,0,0,0,0,0
200111,薄葬,3,180000,0,0,0,1,0,0,1,0,4302,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200201,免伤增加20%,0,12000,0,0,0,1,0,0,1,0,38,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200202,增加攻速20%,0,12000,0,0,0,1,0,0,1,10011,521,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200203,增加攻速40%,0,6000,0,0,0,1,0,0,1,10011,521,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200204,增加攻击力8%,2,180000,0,0,0,1,0,0,1,10001,502,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200205,增加20%防御,2,180000,0,0,0,1,0,0,1,10003,503,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200206,增加攻击力12%,2,180000,0,0,0,1,0,0,1,10001,502,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200207,增加25%防御,2,180000,0,0,0,1,0,0,1,10003,503,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200208,增加攻击力16%,2,180000,0,0,0,1,0,0,1,10001,502,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200209,增加30%防御,2,180000,0,0,0,1,0,0,1,10003,503,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200210,增加攻击力20%,2,180000,0,0,0,1,0,0,1,10001,502,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200211,增加40%防御,2,180000,0,0,0,1,0,0,1,10003,503,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200303,20%暴击率30攻速,1,8000,0,0,0,1,0,0,1,10007,6,2000,0,521,-3000,0,0,0,0,0,0,0,0,0,0,0,0
200304,30%暴击率40攻速,1,8000,0,0,0,1,0,0,1,10007,6,3000,0,521,-4000,0,0,0,0,0,0,0,0,0,0,0,0
200305,30%暴击率40攻速,1,10000,0,0,0,1,0,0,1,10007,6,3000,0,521,-4000,0,0,0,0,0,0,0,0,0,0,0,0
200401,每秒1%生命,1,180000,0,1,1000,1,0,0,1,40010402,4012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200402,嘲讽,1,180000,0,1,2000,1,0,0,2,0,4105,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200403,急速提高40,0,10000,0,0,0,1,0,0,1,20040304,521,-200,0,522,400,0,0,0,0,0,0,0,0,0,0,0,0
200404,急速提高50,0,10000,0,0,0,1,0,0,1,20040304,521,-250,0,522,500,0,0,0,0,0,0,0,0,0,0,0,0
200405,急速提高50,0,12000,0,0,0,1,0,0,1,20040304,521,-250,0,522,500,0,0,0,0,0,0,0,0,0,0,0,0
200501,打断,0,1000,0,0,0,1,0,0,2,10015,4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200502,免疫控制攻击提升30%,2,180000,0,0,0,1,0,0,1,0,4125,180,0,502,3000,0,4134,180,0,0,0,0,0,0,0,0,0
200503,能量持续降低80,2,180000,0,1,1000,1,0,0,2,0,4021,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200504,能量持续降低60,2,180000,0,1,1000,1,0,0,2,0,4021,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200505,免疫控制攻击提升50%,2,180000,0,0,0,1,0,0,1,0,4125,180,0,502,5000,0,4134,180,0,0,0,0,0,0,0,0,0
200506,每秒降低80能量,2,180000,0,1,1000,1,0,0,2,0,4021,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200507,每秒降低60能量,2,180000,0,1,1000,1,0,0,2,0,4021,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200601,降低80%所受伤害,1,4000,0,0,0,1,0,0,1,0,38,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,打断,1,500,0,0,0,1,0,0,2,10015,4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200603,降低40%防御,1,10000,0,0,0,1,0,0,2,10004,503,-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200604,降低80%防御,1,10000,0,0,0,1,0,0,2,10004,503,-8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200605,250%攻击力吸收盾,1,180000,0,0,0,1,0,0,1,10050401,4311,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200606,350%攻击力吸收盾,1,180000,0,0,0,1,0,0,1,10050401,4311,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200607,提升2.5%攻击力,1,180000,0,0,0,12,0,0,1,0,502,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200608,每秒恢复20能量,1,180000,0,1,1000,1,0,0,1,0,4021,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200609,提高50%吸血等级,1,180000,0,0,0,1,0,0,1,0,25,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200610,提升4%攻击力,1,180000,0,0,0,12,0,0,1,0,502,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200701,生命恢复提高100%,1,7000,0,0,0,1,0,0,1,10009,28,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200702,受到伤害30%转化为生命值,1,6000,0,0,0,1,0,0,2,20070104,4109,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,受到伤害30%转化为生命值,1,9000,0,0,0,1,0,0,2,20070104,4109,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200801,0.5秒晕眩,1,500,0,0,0,1,0,0,2,10015,4114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200802,70%攻击力燃烧护盾,1,10000,0,1,1000,1,0,0,1,20080204,4504,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,80%攻击力燃烧护盾,1,10000,0,1,1000,1,0,0,1,20080204,4504,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,90%攻击力燃烧护盾,1,10000,0,1,1000,1,0,0,1,20080204,4504,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200805,提升16%攻击力,1,25000,0,0,0,1,0,0,1,0,502,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,提升20%攻击力,1,25000,0,0,0,1,0,0,1,0,502,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200807,提升24%攻击力,1,25000,0,0,0,1,0,0,1,0,502,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200808,降低40%攻击力,1,25000,0,0,0,1,0,0,2,0,502,-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200901,受到伤害降低25%,1,2000,0,0,0,1,0,0,1,0,38,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200902,每秒2%最大生命值,1,180000,0,1,1000,1,0,0,2,20090404,4002,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200903,昏迷2.5秒,1,2500,0,0,0,1,0,0,2,10015,4114,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,治疗效果降低50%,1,3000,0,0,0,1,0,0,2,10010,27,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200905,每秒35%攻击力,1,2000,0,1,1000,1,0,0,2,10020,4001,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200906,每秒39%攻击力,1,2000,0,1,1000,1,0,0,2,10020,4001,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200907,每秒43%攻击力,1,2000,0,1,1000,1,0,0,2,10020,4001,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201001,恐惧,0,5000,0,0,0,1,0,0,2,10023,4106,5,0,522,-9000,0,0,0,0,0,0,0,0,0,0,0,0
201002,35%移速20%攻击,0,10000,0,0,0,1,0,0,1,10001,522,3000,0,502,2000,0,0,0,0,0,0,0,0,0,0,0,0
201003,35%移速30%攻击,0,10000,0,0,0,1,0,0,1,10001,522,3000,0,502,3000,0,0,0,0,0,0,0,0,0,0,0,0
201004,锁定,0,180000,0,0,0,1,0,0,2,0,4112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201005,35%攻击力,0,180000,0,0,0,1,0,0,1,10001,502,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201006,40%吸血等级,0,180000,0,0,0,1,0,0,1,0,25,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201007,50%攻击力,0,180000,0,0,0,1,0,0,1,10001,502,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201008,每秒65%攻击力伤害,0,8000,0,1,1000,1,0,0,2,10020,4001,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201009,每秒65%攻击力伤害,0,12000,0,1,1000,1,0,0,2,10020,4001,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201101,中毒每秒损失60%攻击力的生命值,1,8000,0,1,1000,1,0,0,2,10020,4001,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201102,减少50%攻速移速,1,8000,0,0,0,1,0,0,2,10012,521,2500,0,522,-5000,0,0,0,0,0,0,0,0,0,0,0,0
201103,中毒每秒损失60%攻击力的生命值,1,20000,0,1,1000,1,0,0,2,10020,4001,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201104,减少50%攻速移速,1,20000,0,0,0,1,0,0,2,10012,521,2500,0,522,-5000,0,0,0,0,0,0,0,0,0,0,0,0
