id,lv_limits,stage,level,advanced_group,cost_item1,cost_num1,cost_item2,cost_num2,slot_type1,slot_value1,slot_type2,slot_value2,slot_type3,slot_value3,slot_type4,slot_value4,slot_type5,slot_value5,slot_type6,slot_value6,slot_type7,slot_value7,fight1,fight2,fight3,fight4,fight5,fight6,fight7
27,0,0,27,0,91000031,1700,0,0,6,10200,7,1020,8,1020,9,2040,10,2040,29,1020,30,1020,204000,102000,102000,102000,102000,102000,102000
28,0,0,28,0,91000031,1800,0,0,6,10750,7,1080,8,1080,9,2160,10,2160,29,1080,30,1080,215000,108000,108000,108000,108000,108000,108000
29,0,0,29,0,91000031,1900,0,0,6,11310,7,1140,8,1140,9,2270,10,2270,29,1140,30,1140,226200,114000,114000,113500,113500,114000,114000
30,0,0,30,0,91000031,2000,0,0,6,11880,7,1190,8,1190,9,2380,10,2380,29,1190,30,1190,237600,119000,119000,119000,119000,119000,119000
31,0,0,31,0,91000031,2100,0,0,6,12450,7,1250,8,1250,9,2500,10,2500,29,1250,30,1250,249000,125000,125000,125000,125000,125000,125000
32,0,0,32,0,91000031,2200,0,0,6,13040,7,1310,8,1310,9,2610,10,2610,29,1310,30,1310,260800,131000,131000,130500,130500,131000,131000
33,0,0,33,0,91000031,2300,0,0,6,13630,7,1370,8,1370,9,2730,10,2730,29,1370,30,1370,272600,137000,137000,136500,136500,137000,137000
34,0,0,34,0,91000031,2400,0,0,6,14230,7,1430,8,1430,9,2850,10,2850,29,1430,30,1430,284600,143000,143000,142500,142500,143000,143000
35,0,0,35,0,91000031,2500,0,0,6,14830,7,1490,8,1490,9,2970,10,2970,29,1490,30,1490,296600,149000,149000,148500,148500,149000,149000
36,0,0,36,0,91000031,2600,0,0,6,15440,7,1550,8,1550,9,3090,10,3090,29,1550,30,1550,308800,155000,155000,154500,154500,155000,155000
37,0,0,37,0,91000031,2700,0,0,6,16060,7,1610,8,1610,9,3220,10,3220,29,1610,30,1610,321200,161000,161000,161000,161000,161000,161000
38,0,0,38,0,91000031,2800,0,0,6,16690,7,1670,8,1670,9,3340,10,3340,29,1670,30,1670,333800,167000,167000,167000,167000,167000,167000
39,0,0,39,0,91000031,2900,0,0,6,17320,7,1740,8,1740,9,3470,10,3470,29,1740,30,1740,346400,174000,174000,173500,173500,174000,174000
40,0,0,40,0,91000031,3000,0,0,6,17960,7,1800,8,1800,9,3600,10,3600,29,1800,30,1800,359200,180000,180000,180000,180000,180000,180000
41,0,0,41,0,91000031,3000,0,0,6,18610,7,1870,8,1870,9,3730,10,3730,29,1870,30,1870,372200,187000,187000,186500,186500,187000,187000
42,0,0,42,0,91000031,3000,0,0,6,19260,7,1930,8,1930,9,3860,10,3860,29,1930,30,1930,385200,193000,193000,193000,193000,193000,193000
43,0,0,43,0,91000031,3000,0,0,6,19920,7,2000,8,2000,9,3990,10,3990,29,2000,30,2000,398400,200000,200000,199500,199500,200000,200000
44,0,0,44,0,91000031,3000,0,0,6,20590,7,2060,8,2060,9,4120,10,4120,29,2060,30,2060,411800,206000,206000,206000,206000,206000,206000
45,0,0,45,0,91000031,3000,0,0,6,21260,7,2130,8,2130,9,4260,10,4260,29,2130,30,2130,425200,213000,213000,213000,213000,213000,213000
46,0,0,46,0,91000031,3000,0,0,6,21940,7,2200,8,2200,9,4390,10,4390,29,2200,30,2200,438800,220000,220000,219500,219500,220000,220000
47,0,0,47,0,91000031,3000,0,0,6,22620,7,2270,8,2270,9,4530,10,4530,29,2270,30,2270,452400,227000,227000,226500,226500,227000,227000
48,0,0,48,0,91000031,3000,0,0,6,23310,7,2340,8,2340,9,4670,10,4670,29,2340,30,2340,466200,234000,234000,233500,233500,234000,234000
49,0,0,49,0,91000031,3000,0,0,6,24010,7,2410,8,2410,9,4810,10,4810,29,2410,30,2410,480200,241000,241000,240500,240500,241000,241000
50,0,0,50,1,91000031,3000,0,0,6,24710,7,2480,8,2480,9,4950,10,4950,29,2480,30,2480,494200,248000,248000,247500,247500,248000,248000
51,0,1,1,0,91000031,1200,0,0,6,25420,7,2550,8,2550,9,5090,10,5090,29,2550,30,2550,508400,255000,255000,254500,254500,255000,255000
52,0,1,2,0,91000031,1300,0,0,6,26130,7,2620,8,2620,9,5230,10,5230,29,2620,30,2620,522600,262000,262000,261500,261500,262000,262000
53,0,1,3,0,91000031,1400,0,0,6,26850,7,2690,8,2690,9,5380,10,5380,29,2690,30,2690,537000,269000,269000,269000,269000,269000,269000
54,0,1,4,0,91000031,1500,0,0,6,27580,7,2760,8,2760,9,5520,10,5520,29,2760,30,2760,551600,276000,276000,276000,276000,276000,276000
55,0,1,5,0,91000031,1600,0,0,6,28310,7,2840,8,2840,9,5670,10,5670,29,2840,30,2840,566200,284000,284000,283500,283500,284000,284000
56,0,1,6,0,91000031,1700,0,0,6,29040,7,2910,8,2910,9,5810,10,5810,29,2910,30,2910,580800,291000,291000,290500,290500,291000,291000
57,0,1,7,0,91000031,1700,0,0,6,29780,7,2980,8,2980,9,5960,10,5960,29,2980,30,2980,595600,298000,298000,298000,298000,298000,298000
58,0,1,8,0,91000031,1800,0,0,6,30530,7,3060,8,3060,9,6110,10,6110,29,3060,30,3060,610600,306000,306000,305500,305500,306000,306000
59,0,1,9,0,91000031,1900,0,0,6,31280,7,3130,8,3130,9,6260,10,6260,29,3130,30,3130,625600,313000,313000,313000,313000,313000,313000
60,0,1,10,0,91000031,2000,0,0,6,32040,7,3210,8,3210,9,6410,10,6410,29,3210,30,3210,640800,321000,321000,320500,320500,321000,321000
61,0,1,11,0,91000031,2100,0,0,6,32800,7,3280,8,3280,9,6560,10,6560,29,3280,30,3280,656000,328000,328000,328000,328000,328000,328000
62,0,1,12,0,91000031,2200,0,0,6,33570,7,3360,8,3360,9,6720,10,6720,29,3360,30,3360,671400,336000,336000,336000,336000,336000,336000
63,0,1,13,0,91000031,2200,0,0,6,34340,7,3440,8,3440,9,6870,10,6870,29,3440,30,3440,686800,344000,344000,343500,343500,344000,344000
64,0,1,14,0,91000031,2300,0,0,6,35110,7,3520,8,3520,9,7030,10,7030,29,3520,30,3520,702200,352000,352000,351500,351500,352000,352000
65,0,1,15,0,91000031,2400,0,0,6,35900,7,3590,8,3590,9,7180,10,7180,29,3590,30,3590,718000,359000,359000,359000,359000,359000,359000
66,0,1,16,0,91000031,2500,0,0,6,36680,7,3670,8,3670,9,7340,10,7340,29,3670,30,3670,733600,367000,367000,367000,367000,367000,367000
67,0,1,17,0,91000031,2600,0,0,6,37470,7,3750,8,3750,9,7500,10,7500,29,3750,30,3750,749400,375000,375000,375000,375000,375000,375000
68,0,1,18,0,91000031,2700,0,0,6,38270,7,3830,8,3830,9,7660,10,7660,29,3830,30,3830,765400,383000,383000,383000,383000,383000,383000
69,0,1,19,0,91000031,2700,0,0,6,39070,7,3910,8,3910,9,7820,10,7820,29,3910,30,3910,781400,391000,391000,391000,391000,391000,391000
70,0,1,20,0,91000031,2800,0,0,6,39880,7,3990,8,3990,9,7980,10,7980,29,3990,30,3990,797600,399000,399000,399000,399000,399000,399000
71,0,1,21,0,91000031,2900,0,0,6,40690,7,4070,8,4070,9,8140,10,8140,29,4070,30,4070,813800,407000,407000,407000,407000,407000,407000
72,0,1,22,0,91000031,3000,0,0,6,41500,7,4160,8,4160,9,8310,10,8310,29,4160,30,4160,830000,416000,416000,415500,415500,416000,416000
73,0,1,23,0,91000031,3100,0,0,6,42320,7,4240,8,4240,9,8470,10,8470,29,4240,30,4240,846400,424000,424000,423500,423500,424000,424000
74,0,1,24,0,91000031,3200,0,0,6,43150,7,4320,8,4320,9,8630,10,8630,29,4320,30,4320,863000,432000,432000,431500,431500,432000,432000
75,0,1,25,0,91000031,3200,0,0,6,43980,7,4400,8,4400,9,8800,10,8800,29,4400,30,4400,879600,440000,440000,440000,440000,440000,440000
76,0,1,26,0,91000031,3300,0,0,6,44810,7,4490,8,4490,9,8970,10,8970,29,4490,30,4490,896200,449000,449000,448500,448500,449000,449000
77,0,1,27,0,91000031,3400,0,0,6,45650,7,4570,8,4570,9,9130,10,9130,29,4570,30,4570,913000,457000,457000,456500,456500,457000,457000
78,0,1,28,0,91000031,3500,0,0,6,46490,7,4650,8,4650,9,9300,10,9300,29,4650,30,4650,929800,465000,465000,465000,465000,465000,465000
79,0,1,29,0,91000031,3600,0,0,6,47340,7,4740,8,4740,9,9470,10,9470,29,4740,30,4740,946800,474000,474000,473500,473500,474000,474000
80,0,1,30,0,91000031,3700,0,0,6,48190,7,4820,8,4820,9,9640,10,9640,29,4820,30,4820,963800,482000,482000,482000,482000,482000,482000
81,0,1,31,0,91000031,3700,0,0,6,49040,7,4910,8,4910,9,9810,10,9810,29,4910,30,4910,980800,491000,491000,490500,490500,491000,491000
82,0,1,32,0,91000031,3800,0,0,6,49900,7,5000,8,5000,9,9990,10,9990,29,5000,30,5000,998000,500000,500000,499500,499500,500000,500000
83,0,1,33,0,91000031,3900,0,0,6,50770,7,5080,8,5080,9,10160,10,10160,29,5080,30,5080,1015400,508000,508000,508000,508000,508000,508000
84,0,1,34,0,91000031,4000,0,0,6,51640,7,5170,8,5170,9,10330,10,10330,29,5170,30,5170,1032800,517000,517000,516500,516500,517000,517000
85,0,1,35,0,91000031,4100,0,0,6,52510,7,5260,8,5260,9,10510,10,10510,29,5260,30,5260,1050200,526000,526000,525500,525500,526000,526000
86,0,1,36,0,91000031,4100,0,0,6,53390,7,5340,8,5340,9,10680,10,10680,29,5340,30,5340,1067800,534000,534000,534000,534000,534000,534000
87,0,1,37,0,91000031,4200,0,0,6,54270,7,5430,8,5430,9,10860,10,10860,29,5430,30,5430,1085400,543000,543000,543000,543000,543000,543000
88,0,1,38,0,91000031,4300,0,0,6,55150,7,5520,8,5520,9,11040,10,11040,29,5520,30,5520,1103000,552000,552000,552000,552000,552000,552000
89,0,1,39,0,91000031,4400,0,0,6,56040,7,5610,8,5610,9,11210,10,11210,29,5610,30,5610,1120800,561000,561000,560500,560500,561000,561000
90,0,1,40,0,91000031,4500,0,0,6,56930,7,5700,8,5700,9,11390,10,11390,29,5700,30,5700,1138600,570000,570000,569500,569500,570000,570000
91,0,1,41,0,91000031,4600,0,0,6,57830,7,5790,8,5790,9,11570,10,11570,29,5790,30,5790,1156600,579000,579000,578500,578500,579000,579000
92,0,1,42,0,91000031,4600,0,0,6,58730,7,5880,8,5880,9,11750,10,11750,29,5880,30,5880,1174600,588000,588000,587500,587500,588000,588000
93,0,1,43,0,91000031,4700,0,0,6,59640,7,5970,8,5970,9,11930,10,11930,29,5970,30,5970,1192800,597000,597000,596500,596500,597000,597000
94,0,1,44,0,91000031,4800,0,0,6,60540,7,6060,8,6060,9,12110,10,12110,29,6060,30,6060,1210800,606000,606000,605500,605500,606000,606000
95,0,1,45,0,91000031,4900,0,0,6,61460,7,6150,8,6150,9,12300,10,12300,29,6150,30,6150,1229200,615000,615000,615000,615000,615000,615000
96,0,1,46,0,91000031,5000,0,0,6,62370,7,6240,8,6240,9,12480,10,12480,29,6240,30,6240,1247400,624000,624000,624000,624000,624000,624000
97,0,1,47,0,91000031,5100,0,0,6,63290,7,6330,8,6330,9,12660,10,12660,29,6330,30,6330,1265800,633000,633000,633000,633000,633000,633000
98,0,1,48,0,91000031,5100,0,0,6,64220,7,6430,8,6430,9,12850,10,12850,29,6430,30,6430,1284400,643000,643000,642500,642500,643000,643000
99,0,1,49,0,91000031,5200,0,0,6,65150,7,6520,8,6520,9,13030,10,13030,29,6520,30,6520,1303000,652000,652000,651500,651500,652000,652000
100,0,1,50,2,91000031,5300,0,0,6,66080,7,6610,8,6610,9,13220,10,13220,29,6610,30,6610,1321600,661000,661000,661000,661000,661000,661000
101,0,2,1,0,91000031,2100,0,0,6,67010,7,6710,8,6710,9,13410,10,13410,29,6710,30,6710,1340200,671000,671000,670500,670500,671000,671000
102,0,2,2,0,91000031,2200,0,0,6,67950,7,6800,8,6800,9,13600,10,13600,29,6800,30,6800,1359000,680000,680000,680000,680000,680000,680000
103,0,2,3,0,91000031,2200,0,0,6,68900,7,6890,8,6890,9,13780,10,13780,29,6890,30,6890,1378000,689000,689000,689000,689000,689000,689000
104,0,2,4,0,91000031,2300,0,0,6,69840,7,6990,8,6990,9,13970,10,13970,29,6990,30,6990,1396800,699000,699000,698500,698500,699000,699000
105,0,2,5,0,91000031,2400,0,0,6,70790,7,7080,8,7080,9,14160,10,14160,29,7080,30,7080,1415800,708000,708000,708000,708000,708000,708000
106,0,2,6,0,91000031,2500,0,0,6,71750,7,7180,8,7180,9,14350,10,14350,29,7180,30,7180,1435000,718000,718000,717500,717500,718000,718000
107,0,2,7,0,91000031,2600,0,0,6,72710,7,7280,8,7280,9,14550,10,14550,29,7280,30,7280,1454200,728000,728000,727500,727500,728000,728000
108,0,2,8,0,91000031,2700,0,0,6,73670,7,7370,8,7370,9,14740,10,14740,29,7370,30,7370,1473400,737000,737000,737000,737000,737000,737000
109,0,2,9,0,91000031,2700,0,0,6,74630,7,7470,8,7470,9,14930,10,14930,29,7470,30,7470,1492600,747000,747000,746500,746500,747000,747000
110,0,2,10,0,91000031,2800,0,0,6,75600,7,7570,8,7570,9,15130,10,15130,29,7570,30,7570,1512000,757000,757000,756500,756500,757000,757000
111,0,2,11,0,91000031,2900,0,0,6,76570,7,7660,8,7660,9,15320,10,15320,29,7660,30,7660,1531400,766000,766000,766000,766000,766000,766000
112,0,2,12,0,91000031,3000,0,0,6,77550,7,7760,8,7760,9,15520,10,15520,29,7760,30,7760,1551000,776000,776000,776000,776000,776000,776000
113,0,2,13,0,91000031,3100,0,0,6,78530,7,7860,8,7860,9,15710,10,15710,29,7860,30,7860,1570600,786000,786000,785500,785500,786000,786000
114,0,2,14,0,91000031,3200,0,0,6,79510,7,7960,8,7960,9,15910,10,15910,29,7960,30,7960,1590200,796000,796000,795500,795500,796000,796000
115,0,2,15,0,91000031,3200,0,0,6,80500,7,8050,8,8050,9,16100,10,16100,29,8050,30,8050,1610000,805000,805000,805000,805000,805000,805000
116,0,2,16,0,91000031,3300,0,0,6,81490,7,8150,8,8150,9,16300,10,16300,29,8150,30,8150,1629800,815000,815000,815000,815000,815000,815000
117,0,2,17,0,91000031,3400,0,0,6,82480,7,8250,8,8250,9,16500,10,16500,29,8250,30,8250,1649600,825000,825000,825000,825000,825000,825000
118,0,2,18,0,91000031,3500,0,0,6,83480,7,8350,8,8350,9,16700,10,16700,29,8350,30,8350,1669600,835000,835000,835000,835000,835000,835000
119,0,2,19,0,91000031,3600,0,0,6,84480,7,8450,8,8450,9,16900,10,16900,29,8450,30,8450,1689600,845000,845000,845000,845000,845000,845000
120,0,2,20,0,91000031,3700,0,0,6,85480,7,8550,8,8550,9,17100,10,17100,29,8550,30,8550,1709600,855000,855000,855000,855000,855000,855000
121,0,2,21,0,91000031,3700,0,0,6,86490,7,8650,8,8650,9,17300,10,17300,29,8650,30,8650,1729800,865000,865000,865000,865000,865000,865000
122,0,2,22,0,91000031,3800,0,0,6,87500,7,8750,8,8750,9,17500,10,17500,29,8750,30,8750,1750000,875000,875000,875000,875000,875000,875000
123,0,2,23,0,91000031,3900,0,0,6,88510,7,8860,8,8860,9,17710,10,17710,29,8860,30,8860,1770200,886000,886000,885500,885500,886000,886000
124,0,2,24,0,91000031,4000,0,0,6,89530,7,8960,8,8960,9,17910,10,17910,29,8960,30,8960,1790600,896000,896000,895500,895500,896000,896000
125,0,2,25,0,91000031,4100,0,0,6,90550,7,9060,8,9060,9,18120,10,18120,29,9060,30,9060,1811000,906000,906000,906000,906000,906000,906000
126,0,2,26,0,91000031,4100,0,0,6,91570,7,9160,8,9160,9,18320,10,18320,29,9160,30,9160,1831400,916000,916000,916000,916000,916000,916000
127,0,2,27,0,91000031,4200,0,0,6,92600,7,9270,8,9270,9,18530,10,18530,29,9270,30,9270,1852000,927000,927000,926500,926500,927000,927000
128,0,2,28,0,91000031,4300,0,0,6,93630,7,9370,8,9370,9,18730,10,18730,29,9370,30,9370,1872600,937000,937000,936500,936500,937000,937000
129,0,2,29,0,91000031,4400,0,0,6,94660,7,9470,8,9470,9,18940,10,18940,29,9470,30,9470,1893200,947000,947000,947000,947000,947000,947000
130,0,2,30,0,91000031,4500,0,0,6,95700,7,9580,8,9580,9,19150,10,19150,29,9580,30,9580,1914000,958000,958000,957500,957500,958000,958000
131,0,2,31,0,91000031,4600,0,0,6,96740,7,9680,8,9680,9,19350,10,19350,29,9680,30,9680,1934800,968000,968000,967500,967500,968000,968000
132,0,2,32,0,91000031,4600,0,0,6,97780,7,9780,8,9780,9,19560,10,19560,29,9780,30,9780,1955600,978000,978000,978000,978000,978000,978000
133,0,2,33,0,91000031,4700,0,0,6,98830,7,9890,8,9890,9,19770,10,19770,29,9890,30,9890,1976600,989000,989000,988500,988500,989000,989000
134,0,2,34,0,91000031,4800,0,0,6,99880,7,9990,8,9990,9,19980,10,19980,29,9990,30,9990,1997600,999000,999000,999000,999000,999000,999000
135,0,2,35,0,91000031,4900,0,0,6,100930,7,10100,8,10100,9,20190,10,20190,29,10100,30,10100,2018600,1010000,1010000,1009500,1009500,1010000,1010000
136,0,2,36,0,91000031,5000,0,0,6,101990,7,10200,8,10200,9,20400,10,20400,29,10200,30,10200,2039800,1020000,1020000,1020000,1020000,1020000,1020000
137,0,2,37,0,91000031,5100,0,0,6,103050,7,10310,8,10310,9,20610,10,20610,29,10310,30,10310,2061000,1031000,1031000,1030500,1030500,1031000,1031000
138,0,2,38,0,91000031,5100,0,0,6,104110,7,10420,8,10420,9,20830,10,20830,29,10420,30,10420,2082200,1042000,1042000,1041500,1041500,1042000,1042000
139,0,2,39,0,91000031,5200,0,0,6,105170,7,10520,8,10520,9,21040,10,21040,29,10520,30,10520,2103400,1052000,1052000,1052000,1052000,1052000,1052000
140,0,2,40,0,91000031,5300,0,0,6,106240,7,10630,8,10630,9,21250,10,21250,29,10630,30,10630,2124800,1063000,1063000,1062500,1062500,1063000,1063000
141,0,2,41,0,91000031,5400,0,0,6,107310,7,10740,8,10740,9,21470,10,21470,29,10740,30,10740,2146200,1074000,1074000,1073500,1073500,1074000,1074000
142,0,2,42,0,91000031,5500,0,0,6,108390,7,10840,8,10840,9,21680,10,21680,29,10840,30,10840,2167800,1084000,1084000,1084000,1084000,1084000,1084000
143,0,2,43,0,91000031,5600,0,0,6,109460,7,10950,8,10950,9,21900,10,21900,29,10950,30,10950,2189200,1095000,1095000,1095000,1095000,1095000,1095000
144,0,2,44,0,91000031,5600,0,0,6,110540,7,11060,8,11060,9,22110,10,22110,29,11060,30,11060,2210800,1106000,1106000,1105500,1105500,1106000,1106000
145,0,2,45,0,91000031,5700,0,0,6,111630,7,11170,8,11170,9,22330,10,22330,29,11170,30,11170,2232600,1117000,1117000,1116500,1116500,1117000,1117000
146,0,2,46,0,91000031,5800,0,0,6,112710,7,11280,8,11280,9,22550,10,22550,29,11280,30,11280,2254200,1128000,1128000,1127500,1127500,1128000,1128000
147,0,2,47,0,91000031,5900,0,0,6,113800,7,11390,8,11390,9,22770,10,22770,29,11390,30,11390,2276000,1139000,1139000,1138500,1138500,1139000,1139000
148,0,2,48,0,91000031,6000,0,0,6,114900,7,11490,8,11490,9,22980,10,22980,29,11490,30,11490,2298000,1149000,1149000,1149000,1149000,1149000,1149000
149,0,2,49,0,91000031,6100,0,0,6,115990,7,11600,8,11600,9,23200,10,23200,29,11600,30,11600,2319800,1160000,1160000,1160000,1160000,1160000,1160000
150,0,2,50,3,91000031,6100,0,0,6,117090,7,11710,8,11710,9,23420,10,23420,29,11710,30,11710,2341800,1171000,1171000,1171000,1171000,1171000,1171000
151,0,3,1,0,91000031,3300,0,0,6,118190,7,11820,8,11820,9,23640,10,23640,29,11820,30,11820,2363800,1182000,1182000,1182000,1182000,1182000,1182000
152,0,3,2,0,91000031,3400,0,0,6,119290,7,11930,8,11930,9,23860,10,23860,29,11930,30,11930,2385800,1193000,1193000,1193000,1193000,1193000,1193000
153,0,3,3,0,91000031,3500,0,0,6,120400,7,12050,8,12050,9,24090,10,24090,29,12050,30,12050,2408000,1205000,1205000,1204500,1204500,1205000,1205000
154,0,3,4,0,91000031,3600,0,0,6,121510,7,12160,8,12160,9,24310,10,24310,29,12160,30,12160,2430200,1216000,1216000,1215500,1215500,1216000,1216000
155,0,3,5,0,91000031,3700,0,0,6,122620,7,12270,8,12270,9,24530,10,24530,29,12270,30,12270,2452400,1227000,1227000,1226500,1226500,1227000,1227000
156,0,3,6,0,91000031,3700,0,0,6,123740,7,12380,8,12380,9,24750,10,24750,29,12380,30,12380,2474800,1238000,1238000,1237500,1237500,1238000,1238000
157,0,3,7,0,91000031,3800,0,0,6,124860,7,12490,8,12490,9,24980,10,24980,29,12490,30,12490,2497200,1249000,1249000,1249000,1249000,1249000,1249000
158,0,3,8,0,91000031,3900,0,0,6,125980,7,12600,8,12600,9,25200,10,25200,29,12600,30,12600,2519600,1260000,1260000,1260000,1260000,1260000,1260000
159,0,3,9,0,91000031,4000,0,0,6,127110,7,12720,8,12720,9,25430,10,25430,29,12720,30,12720,2542200,1272000,1272000,1271500,1271500,1272000,1272000
160,0,3,10,0,91000031,4100,0,0,6,128230,7,12830,8,12830,9,25650,10,25650,29,12830,30,12830,2564600,1283000,1283000,1282500,1282500,1283000,1283000
161,0,3,11,0,91000031,4100,0,0,6,129360,7,12940,8,12940,9,25880,10,25880,29,12940,30,12940,2587200,1294000,1294000,1294000,1294000,1294000,1294000
162,0,3,12,0,91000031,4200,0,0,6,130500,7,13050,8,13050,9,26100,10,26100,29,13050,30,13050,2610000,1305000,1305000,1305000,1305000,1305000,1305000
163,0,3,13,0,91000031,4300,0,0,6,131630,7,13170,8,13170,9,26330,10,26330,29,13170,30,13170,2632600,1317000,1317000,1316500,1316500,1317000,1317000
164,0,3,14,0,91000031,4400,0,0,6,132770,7,13280,8,13280,9,26560,10,26560,29,13280,30,13280,2655400,1328000,1328000,1328000,1328000,1328000,1328000
165,0,3,15,0,91000031,4500,0,0,6,133910,7,13400,8,13400,9,26790,10,26790,29,13400,30,13400,2678200,1340000,1340000,1339500,1339500,1340000,1340000
166,0,3,16,0,91000031,4600,0,0,6,135060,7,13510,8,13510,9,27020,10,27020,29,13510,30,13510,2701200,1351000,1351000,1351000,1351000,1351000,1351000
167,0,3,17,0,91000031,4600,0,0,6,136200,7,13630,8,13630,9,27250,10,27250,29,13630,30,13630,2724000,1363000,1363000,1362500,1362500,1363000,1363000
168,0,3,18,0,91000031,4700,0,0,6,137350,7,13740,8,13740,9,27480,10,27480,29,13740,30,13740,2747000,1374000,1374000,1374000,1374000,1374000,1374000
169,0,3,19,0,91000031,4800,0,0,6,138510,7,13860,8,13860,9,27710,10,27710,29,13860,30,13860,2770200,1386000,1386000,1385500,1385500,1386000,1386000
170,0,3,20,0,91000031,4900,0,0,6,139660,7,13970,8,13970,9,27940,10,27940,29,13970,30,13970,2793200,1397000,1397000,1397000,1397000,1397000,1397000
171,0,3,21,0,91000031,5000,0,0,6,140820,7,14090,8,14090,9,28170,10,28170,29,14090,30,14090,2816400,1409000,1409000,1408500,1408500,1409000,1409000
172,0,3,22,0,91000031,5100,0,0,6,141980,7,14200,8,14200,9,28400,10,28400,29,14200,30,14200,2839600,1420000,1420000,1420000,1420000,1420000,1420000
173,0,3,23,0,91000031,5100,0,0,6,143140,7,14320,8,14320,9,28630,10,28630,29,14320,30,14320,2862800,1432000,1432000,1431500,1431500,1432000,1432000
174,0,3,24,0,91000031,5200,0,0,6,144310,7,14440,8,14440,9,28870,10,28870,29,14440,30,14440,2886200,1444000,1444000,1443500,1443500,1444000,1444000
175,0,3,25,0,91000031,5300,0,0,6,145480,7,14550,8,14550,9,29100,10,29100,29,14550,30,14550,2909600,1455000,1455000,1455000,1455000,1455000,1455000
