id,ect1,ect2,ect3,ect4,ect5,ect6,ect7,ect8,ect9,ect10,ect11,ect12,ect13,ect14,ect15,ect16,ect17,ect18,ect19,ect20,ect21
3007,3333,120,30070101,30070301,30070202,30070401,30070201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,3333,120,30080101,30080401,30080402,30080403,30080201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3009,3333,120,101,300904001,30090104,30090101,30090201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,3333,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,3333,120,30110101,30110401,30110204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3012,3333,120,30120101,30120201,30120401,30120402,30120403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3013,3333,120,30130104,30130401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3014,3333,120,30140101,30140401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,3333,120,40010401,40010402,40010403,40010101,40010102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,3333,120,40020101,40020401,40020203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,3333,120,40030401,40030402,40030301,40030303,40030204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,3333,120,40040401,40040402,40040403,40040101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,3333,120,40050401,40050403,40050204,40050402,40050404,40050405,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,3333,120,40060101,40060201,40060202,40060401,40060204,40060102,40060402,0,0,0,0,0,0,0,0,0,0,0,0
4007,3333,120,40070101,40070103,40070201,40070401,40070404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,3333,120,40080401,40080404,40080405,40080201,40080304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4009,3333,120,40090101,40090201,40090301,40090302,40090401,40090205,40090304,40090102,40090202,40090402,40090103,40090203,40090204,40090104,0,0,0,0,0
4010,3333,120,40100401,40100102,401000,40100103,40100403,40100101,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,3333,120,40110101,40110201,40110401,40110404,40110202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4012,3333,120,40120401,40120402,40120101,40120102,40120304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,3333,120,40130101,40130401,40130102,40130402,40130403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4014,3333,120,40140101,40140401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4015,3333,120,40150402,40150404,40150401,40150101,40150201,40150202,40150403,401500,4015002,0,0,0,0,0,0,0,0,0,0
5001,3333,120,50010201,50010102,50010402,50010403,50010404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002,3333,120,50020401,50020402,50020403,50020404,50020204,50020202,50020302,50020303,500200,500201,0,0,0,0,0,0,0,0,0
5003,3333,120,50030101,50030201,50030401,50030402,50030104,50030102,50030103,0,0,0,0,0,0,0,0,0,0,0,0
5004,3333,120,500400,50040201,50040401,50040404,50040102,50040103,50040402,50040303,0,0,0,0,0,0,0,0,0,0,0
5005,3333,120,50050101,50050102,50050103,50050104,50050201,50050202,50050203,50050401,50050402,0,0,0,0,0,0,0,0,0,0
5006,3333,120,5006001,50060101,50060401,50060104,50060102,50060402,50060103,0,0,0,0,0,0,0,0,0,0,0,0
5007,3333,120,50070101,50070102,50070401,50070402,50070104,50070202,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,3333,120,60010101,60010103,60010201,60010202,60010401,60010402,60010404,60010102,0,0,0,0,0,0,0,0,0,0,0
6002,3333,120,60020101,60020201,60020301,60020401,60020404,60020405,60020406,60020102,60020202,60020303,0,0,0,0,0,0,0,0,0
6003,3333,120,6003001,6003002,6003003,60030201,60030401,6003004,60030402,0,0,0,0,0,0,0,0,0,0,0,0
6004,3333,120,60040401,60040104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,3333,120,60050101,60050402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,3333,120,60060401,60060102,60060103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6007,3333,120,60070101,60070201,60070401,60070204,60070304,60070404,60070504,60070103,0,0,0,0,0,0,0,0,0,0,0
6008,3333,120,60080101,60080201,60080204,60080402,60080403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,3333,120,60090101,60090301,60090302,60090303,60090401,60090402,60090204,60090403,60090404,0,0,0,0,0,0,0,0,0,0
7001,3333,120,7001001,70010201,70010401,70010402,70010403,70010404,70010202,70010204,70010205,70010103,70010104,0,0,0,0,0,0,0,0
7002,3333,120,70020401,70020204,70020102,70020402,70020403,70020404,0,0,0,0,0,0,0,0,0,0,0,0,0
7003,3333,120,70030101,70030201,70030401,70030402,70030204,70030205,70030203,70030303,70030304,70030305,70030306,70030307,70030308,70030309,70030310,70030311,70030312,70030313,70030314
7004,3333,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7005,3333,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,3333,120,80010101,80010401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8002,3333,120,800200,80020101,80020401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8003,3333,120,800300,80030101,80030102,80030402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,3333,120,80050101,80050102,80050401,80050404,800500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8007,3333,120,800700,80070101,80070401,80070102,80070402,80070404,0,0,0,0,0,0,0,0,0,0,0,0,0
8008,3333,120,80080101,80080102,80080401,80080402,80080204,80080302,0,0,0,0,0,0,0,0,0,0,0,0,0
8011,3333,120,801100,80110101,80110401,80110402,80110403,80110204,80110304,80110201,0,0,0,0,0,0,0,0,0,0,0
