hid,order,hmane,hchengwei,afkneme,showstar,maxstar,type,png,pzbg,showlv,tujianshowlv,showzy,showhtype,showzdw,showfdw,showskill1,showskill2,showskill3,showskill4,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,prize,prizenum,exclusive_id,exclusive_lv,hide,levelid,herostanding,friendlymonster1,friendlystanding1,friendlymonster2,friendlystanding2
6007,11,萨卡涅,霜寒之星,诡惑女王：梅希拉,10,37,1,logohero6007,heroList_06,300,240,6,13,25,43,60070403,60070104,60070203,60070303,1,623539,2,41929,3,8951,6,200,99,33970100,21,10000,22,240,91000002,10000,106007,40,1,991004,4,9900010,1,9900010,2
6008,12,巴赛斯,暗渊巨魔,永恒时针：奥瑟鲁斯,10,37,1,logohero6008,heroList_06,300,240,6,11,27,41,60080403,60080104,60080203,60080303,1,665235,2,39341,3,9424,6,200,99,34586500,21,10000,22,240,91000002,10000,106008,40,1,991001,2,9900003,1,0,0
6009,13,哈奴曼,护卫神猴,天罚之刃：阿塔利亚,10,37,4,logohero6009,heroList_06,300,240,6,11,31,42,60090403,60090104,60090203,60090303,1,594330,2,44521,3,8009,6,200,99,33588900,21,10000,22,240,91000002,10000,106009,40,1,991001,2,9900003,1,0,0
1001,14,艾尔温,天命骑士,无畏之锋：爱丝特瑞达,10,37,1,logohero1001,heroList_01,300,240,1,11,21,42,10010403,10010104,10010203,10010303,1,572895,2,43346,3,8483,6,200,99,32735500,21,10000,22,240,91000002,10000,101001,30,1,991001,2,9900003,1,0,0
1002,15,爱奎尔,水占巫女,耀光祭祀：贝琳达,10,37,1,logohero1002,heroList_01,300,240,1,13,26,43,10020403,10020104,10020203,10020303,1,466182,2,49706,3,7539,6,200,99,31158900,21,10000,22,240,91000002,10000,101002,30,1,991004,4,9900010,1,9900010,2
1003,16,佛诺赛克,秘银狩猎,送葬者：弗克斯,10,37,1,logohero1003,heroList_01,300,240,1,12,25,44,10030403,10030104,10030203,10030303,1,530256,2,46642,3,7304,6,200,99,32091400,21,10000,22,240,91000002,10000,101003,30,1,991004,4,9900010,1,9900010,2
1004,17,玛祖凯特,漫游之星,赏金猎人：雷恩,10,37,1,logohero1004,heroList_01,300,240,1,12,28,45,10040403,10040104,10040203,10040303,1,508821,2,47585,3,8011,6,200,99,31943400,21,10000,22,240,91000002,10000,101004,30,1,991004,4,9900010,1,9900010,2
1005,18,艾斯壮格,不落之壁,耀光之盾：卢修斯,10,37,1,logohero1005,heroList_01,300,240,1,11,29,41,10050403,10050104,10050203,10050303,1,661464,2,38632,3,8480,6,200,99,33977500,21,10000,22,240,91000002,10000,101005,30,1,991001,2,9900003,1,0,0
1006,19,诺伯尔,贵族之刃,剑刃舞者：瑟恩,10,37,1,logohero1006,heroList_01,300,240,1,12,23,44,10060403,10060104,10060203,10060303,1,572895,2,44521,3,8009,6,200,99,32945800,21,10000,22,240,91000002,10000,101006,30,1,991001,2,9900003,1,0,0
1007,20,艾默瑞德,怒涛守护,坚韧铁卫：亨德里克,10,37,1,logohero1007,heroList_01,300,240,1,11,27,41,10070403,10070104,10070203,10070303,1,726481,2,34157,3,9894,6,200,99,35009700,21,10000,22,240,91000002,10000,101007,30,1,991001,2,9900003,1,0,0
1008,21,贝尔,神谕信使,旅行商人：罗万,10,37,1,logohero1008,heroList_01,300,240,1,13,28,45,10080403,10080104,10080203,10080303,1,660522,2,39341,3,8481,6,200,99,34162200,21,10000,22,240,91000002,10000,101008,30,1,991004,4,9900010,1,9900010,2
1009,22,夏尔,元素魔弓,狩龙射手：格温妮丝,10,37,1,logohero1009,heroList_01,300,240,1,11,22,44,10090403,10090104,10090203,10090303,1,478669,2,50882,3,7067,6,200,99,31744700,21,10000,22,240,91000002,10000,101009,30,1,991004,4,9900010,1,9900010,2
1010,23,阿普兰提,奇想学徒,赋灵侍女：罗莎琳,10,37,1,logohero1010,heroList_01,300,240,1,13,28,45,10100403,10100104,10100203,10100303,1,647802,2,40281,3,8246,6,200,99,33992100,21,10000,22,240,91000002,10000,101010,30,1,991001,2,9900003,1,0,0
1011,24,赫萨米,诸海之灾,觅酒狂徒：里格比,10,37,1,logohero1011,heroList_01,300,240,1,11,27,42,10110403,10110104,10110203,10110303,1,668296,2,39105,3,8717,6,200,99,34395400,21,10000,22,240,91000002,10000,101011,30,1,991001,2,9900003,1,0,0
1018,25,武圣,异界战神,天罚之刃：阿塔利亚,10,37,1,logohero1018,heroList_01,300,240,1,11,21,42,10180403,10180104,10180203,10180303,1,594330,2,44521,3,8009,6,200,99,33588900,21,10000,22,240,91000002,10000,101018,30,1,991001,2,9900003,1,0,0
2001,26,雷欧玛彻,怒火狂刃,蛮血战神：布鲁特斯,10,37,1,logohero2001,heroList_02,300,240,2,11,27,41,20010403,20010104,20010203,20010303,1,540857,2,45465,3,7303,6,200,99,32056100,21,10000,22,240,91000002,10000,102001,30,1,991001,2,9900003,1,0,0
2002,27,弗里奥,无畏之斧,不屈刽子手：艾克索斯,10,37,1,logohero2002,heroList_02,300,240,2,11,22,42,20020403,20020104,20020203,20020303,1,540857,2,45465,3,7303,6,200,99,32056100,21,10000,22,240,91000002,10000,102002,30,1,991004,4,9900010,1,9900010,2
2003,28,卢克,燎原暗箭,诡诈猎手：沃尔克,10,37,1,logohero2003,heroList_02,300,240,2,12,26,44,20030403,20030104,20030203,20030303,1,530256,2,46642,3,7303,6,200,99,32091100,21,10000,22,240,91000002,10000,102003,30,1,991004,4,9900010,1,9900010,2
2004,29,法拉,炎魂祭司,巫毒行者：鲁米苏,10,37,1,logohero2004,heroList_02,300,240,2,13,29,45,20040403,20040104,20040203,20040303,1,602104,2,43346,3,8245,6,200,99,33540400,21,10000,22,240,91000002,10000,102004,30,1,991004,4,9900010,1,9900010,2
2005,30,莱德奈特,不屈战魂,蛮角骑士：斯克雷格,10,37,1,logohero2005,heroList_02,300,240,2,11,27,41,20050403,20050104,20050203,20050303,1,636258,2,40990,3,8011,6,200,99,33788000,21,10000,22,240,91000002,10000,102005,30,1,991001,2,9900003,1,0,0
2006,31,哈鲁坎,赤炎之锤,卫荣之拳：沃克,10,37,1,logohero2006,heroList_02,300,240,2,11,22,42,20060403,20060104,20060203,20060303,1,578783,2,43346,3,8009,6,200,99,32769900,21,10000,22,240,91000002,10000,102006,30,1,991001,2,9900003,1,0,0
2007,32,雅提亚,胜利长枪,流放之矛：安丹德拉,10,37,1,logohero2007,heroList_02,300,240,2,12,27,42,20070403,20070104,20070203,20070303,1,600219,2,43580,3,7774,6,200,99,33412700,21,10000,22,240,91000002,10000,102007,30,1,991001,2,9900003,1,0,0
2008,33,赫雀瑟,圣焰王女,缚咒女王：萨菲亚,10,37,1,logohero2008,heroList_02,300,240,2,13,26,43,20080403,20080104,20080203,20080303,1,572895,2,44287,3,8244,6,200,99,32946100,21,10000,22,240,91000002,10000,102008,30,0,991004,4,9900010,1,9900010,2
2009,34,佩蕾,林中女巫,祈火灵巫：萨忒娜,10,37,1,logohero2009,heroList_02,300,240,2,13,21,43,20090403,20090104,20090203,20090303,1,628485,2,42401,3,8009,6,200,99,33977500,21,10000,22,240,91000002,10000,102009,30,1,991004,4,9900010,1,9900010,2
2010,35,库尔什,圣焰刀锋,血戮之嚎：提达斯,10,37,1,logohero2010,heroList_02,300,240,2,12,22,44,20100403,20100104,20100203,20100303,1,632255,2,42401,3,7774,6,200,99,34020100,21,10000,22,240,91000002,10000,102010,30,1,991001,2,9900003,1,0,0
2016,36,索伦,峰峦霸主,末日禁卫：格瑞泽尔勒,10,37,1,logohero2016,heroList_02,300,240,2,11,25,41,20160403,20160104,20160203,20160303,1,646860,2,39105,3,8244,6,200,99,33610500,21,10000,22,240,91000002,10000,102016,30,1,991001,2,9900003,1,0,0
3001,37,萨瑟斯,不朽剑魔,末日禁卫：格瑞泽尔勒,10,37,1,logohero3001,heroList_03,300,240,3,11,27,41,30010403,30010104,30010203,30010303,1,646860,2,39105,3,8244,6,200,99,33610500,21,10000,22,240,91000002,10000,103001,30,1,991001,2,9900003,1,0,0
3002,38,卡迦萨,风雷魔巫,哀恸女妖：雪米拉,10,37,1,logohero3002,heroList_03,300,240,3,13,26,43,30020403,30020104,30020203,30020303,1,594330,2,42401,3,8009,6,200,99,32952900,21,10000,22,240,91000002,10000,103002,30,1,991004,4,9900010,1,9900010,2
3003,39,洛瑞克,雷鸣圣主,骸骨之王：托安,10,37,1,logohero3003,heroList_03,300,240,3,11,27,41,30030403,30030104,30030203,30030303,1,646860,2,39575,3,8244,6,200,99,33751500,21,10000,22,240,91000002,10000,103003,30,1,991001,2,9900003,1,0,0
3004,40,露达尔,暗域行者,灾厄巫童：伊莎贝拉,10,37,1,logohero3004,heroList_03,300,240,3,13,22,43,30040403,30040104,30040203,30040303,1,519654,2,46642,3,8009,6,200,99,31984900,21,10000,22,240,91000002,10000,103004,30,1,991004,4,9900010,1,9900010,2
3005,41,费尔费哈,圣王之手,冥域屠宰者：奈拉,10,37,1,logohero3005,heroList_03,300,240,3,11,23,42,30050403,30050104,30050203,30050303,1,647802,2,39339,3,9186,6,200,99,33991500,21,10000,22,240,91000002,10000,103005,30,1,991001,2,9900003,1,0,0
3006,42,伊丽莎白,驱雷之手,幽冥重生者：法瑞奥,10,37,1,logohero3006,heroList_03,300,240,3,12,22,44,30060403,30060104,30060203,30060303,1,487618,2,48762,3,7539,6,200,99,31518800,21,10000,22,240,91000002,10000,103006,30,1,991004,4,9900010,1,9900010,2
3007,43,马扎哈,幻影守卫,恶兆骑士：巴登,10,37,1,logohero3007,heroList_03,300,240,3,12,22,42,30070403,30070104,30070203,30070303,1,640029,2,40519,3,8480,6,200,99,33900500,21,10000,22,240,91000002,10000,103007,30,1,991001,2,9900003,1,0,0
3008,44,伊丽丝,影域修罗,慌冢冥行者：甘瑟尔,10,37,1,logohero3008,heroList_03,300,240,3,12,23,44,30080403,30080104,30080203,30080303,1,489503,2,49468,3,7774,6,200,99,31857600,21,10000,22,240,91000002,10000,103008,30,1,991001,4,9900003,1,0,0
3009,45,迪亚,黑暗神官,恐虐尸傀：伊索尔德,10,37,1,logohero3009,heroList_03,300,240,3,11,27,42,30090403,30090104,30090203,30090303,1,668296,2,40046,3,8244,6,200,99,34535800,21,10000,22,240,91000002,10000,103009,30,1,991001,2,9900003,1,0,0
4001,46,阿尔密斯,神愈之光,绿荫使者：尼莫拉,10,37,1,logohero4001,heroList_04,300,240,4,13,29,45,40010403,40010104,40010203,40010303,1,636258,2,40752,3,7303,6,200,99,33504200,21,10000,22,240,91000002,10000,104001,30,1,991004,4,9900010,1,9900010,2
4002,47,斐娜,秘林刺客,薄暮之影：卡兹,10,37,1,logohero4002,heroList_04,300,240,4,12,23,44,40020403,40020104,40020203,40020303,1,508821,2,47585,3,7539,6,200,99,31801800,21,10000,22,240,91000002,10000,104002,30,1,991001,2,9900003,1,0,0
4003,48,塔尔兰达,野性之眼,驭星猎手：莱卡,10,37,1,logohero4003,heroList_04,300,240,4,12,28,44,40030403,40030104,40030203,40030303,1,455580,2,49706,3,7303,6,200,99,30770100,21,10000,22,240,91000002,10000,104003,30,1,991004,4,9900010,1,9900010,2
4004,49,斯卡萨,幻林使者,梦境守护：塔西,10,37,1,logohero4004,heroList_04,300,240,4,13,25,45,40040403,40040104,40040203,40040303,1,546746,2,45465,3,7774,6,200,99,32374000,21,10000,22,240,91000002,10000,104004,30,1,991004,4,9900010,1,9900010,2
4005,50,尤格恩塔,复苏巫士,枯甲之魂：奥曼斯,10,37,1,logohero4005,heroList_04,300,240,4,11,27,41,40050403,40050104,40050203,40050303,1,589617,2,42401,3,8480,6,200,99,32952800,21,10000,22,240,91000002,10000,104005,30,1,991001,2,9900003,1,0,0
4006,51,止奥,疾风剑客,怒潮使者：希瑞斯,10,37,1,logohero4006,heroList_04,300,240,4,11,27,42,40060403,40060104,40060203,40060303,1,664293,2,37691,3,9188,6,200,99,33992400,21,10000,22,240,91000002,10000,104006,30,1,991001,2,9900003,1,0,0
4007,52,萨温,绝世剑舞,凌风之刃：埃隆,10,37,1,logohero4007,heroList_04,300,240,4,12,26,44,40070403,40070104,40070203,40070303,1,602104,2,43346,3,7775,6,200,99,33399400,21,10000,22,240,91000002,10000,104007,30,1,991001,2,9900003,1,0,0
4008,53,德里奥,神峰守护,憾潮卫士：高尔沃,10,37,1,logohero4008,heroList_04,300,240,4,11,27,41,40080403,40080104,40080203,40080303,1,668296,2,39105,3,8953,6,200,99,34466200,21,10000,22,240,91000002,10000,104008,30,1,991001,2,9900003,1,0,0
4009,54,弗莱娜,缚法旅者,风雨漫游者：洛桑,10,37,1,logohero4009,heroList_04,300,240,4,13,26,43,40090403,40090104,40090203,40090303,1,594330,2,44287,3,7539,6,200,99,33377700,21,10000,22,240,91000002,10000,104009,30,1,991004,4,9900010,1,9900010,2
4015,55,马斯卡瑞,秘境精灵,绿荫使者：尼莫拉,10,37,1,logohero4015,heroList_04,300,240,4,13,28,45,40150403,40150104,40150203,40150303,1,636258,2,40752,3,7303,6,200,99,33504200,21,10000,22,240,91000002,10000,104015,30,1,991004,4,9900010,1,9900010,2
7001,56,阿特兰斯,星辰领主,永恒之王：亚瑟,10,37,1,logohero7001,heroList_07,300,240,7,11,27,41,70010403,70010104,70010203,70010303,1,687000,2,41530,3,9180,6,200,99,33300000,21,10000,22,240,91000002,10000,107001,40,1,991001,2,9900003,1,0,0
7002,57,莉莉丝,暗月女王,焚列圣炎：米迦勒,10,37,1,logohero7002,heroList_07,300,240,7,13,25,45,70020403,70020104,70020203,70020303,1,637201,2,42873,3,7775,6,200,99,34310400,21,10000,22,240,91000002,10000,107002,40,1,991004,4,9900010,1,9900010,2
7003,58,诺斯,圣诞老人,无畏之锋：爱丝特瑞达,10,37,1,logohero7003,heroList_07,300,240,7,11,26,42,70030403,70030104,70030203,70030303,1,572895,2,43346,3,8483,6,200,99,32735500,21,10000,22,240,91000002,10000,107003,40,1,991001,2,9900003,1,0,0
1012,59,乌可诺,北境之锤,帝国之壁：霍根,7,7,2,logohero1012,heroList_01,160,160,1,11,27,35,10120403,10120104,10120202,0,1,187452,2,10253,3,2365,6,200,99,9408900,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
1013,60,索德颂,凯旋之歌,吟游诗人：安吉洛,7,7,2,logohero1013,heroList_01,160,160,1,13,29,38,10130403,10130104,10130202,0,1,166946,2,11632,3,2169,6,200,99,9148600,21,10000,22,240,91000002,10000,0,0,1,991005,4,9900011,1,9900011,2
1014,61,马斯克,狩魔鹰眼,皇家铳士：莫维斯,7,7,2,logohero1014,heroList_01,160,160,1,12,23,34,10140403,10140104,10140202,0,1,130336,2,13672,3,2104,6,200,99,8642800,21,10000,22,240,91000002,10000,0,0,1,991005,4,9900011,1,9900011,2
1015,62,卡丽拉特,魔导女爵,灰烬魔女：米瑞尔,7,7,2,logohero1015,heroList_01,160,160,1,13,21,36,10150403,10150104,10150202,0,1,118504,2,14263,3,2038,6,200,99,8445400,21,10000,22,240,91000002,10000,0,0,1,991005,4,9900011,1,9900011,2
2011,63,拜萨飒尔,异族女王,猩红蛛后：昂凯拉,7,7,2,logohero2011,heroList_02,160,160,2,13,25,34,20110403,20110104,20110202,0,1,160504,2,11897,3,2235,6,200,99,9054700,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
2012,64,冬佩地,图腾之心,怒蹄先锋：高鲁斯,7,7,2,logohero2012,heroList_02,160,160,2,11,27,35,20120403,20120104,20120202,0,1,190673,2,10121,3,2365,6,200,99,9465900,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
2013,65,瑞萨露,燃魂之矛,狂野追猎者：萨维斯,7,7,2,logohero2013,heroList_02,160,160,2,12,22,31,20130403,20130104,20130202,0,1,169115,2,11632,3,2104,6,200,99,9194200,21,10000,22,240,91000002,10000,0,0,1,991005,4,9900011,1,9900011,2
3010,66,杰恩达克,裁决判官,敛魂者：尼汝,7,7,2,logohero3010,heroList_03,160,160,3,13,22,37,30100403,30100104,30100202,0,1,169115,2,11305,3,2365,6,200,99,9174400,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
3011,67,法影,影之罗刹,苍白处刑者：西尔维娜,7,7,2,logohero3011,heroList_03,160,160,3,12,23,31,30110403,30110104,30110202,0,1,151894,2,12488,3,2169,6,200,99,8953900,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
3012,68,魔罗,暗之剑豪,午夜男爵：韦旦,7,7,2,logohero3012,heroList_03,160,160,3,12,27,36,30120403,30120104,30120202,0,1,148673,2,12488,3,2169,6,200,99,8857200,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
4010,69,温迪洛尔,贯天之箭,暮色游侠：伊拉,7,7,2,logohero4010,heroList_04,160,160,4,12,22,34,40100403,40100104,40100202,0,1,130336,2,13672,3,2038,6,200,99,8623000,21,10000,22,240,91000002,10000,0,0,1,991005,4,9900011,1,9900011,2
4011,70,格伦,神力之石,丛林泰坦：奥吉,7,7,2,logohero4011,heroList_04,160,160,4,11,27,35,40110403,40110104,40110202,0,1,190673,2,10121,3,2365,6,200,99,9465900,21,10000,22,240,91000002,10000,0,0,1,991002,2,9900006,1,0,0
4012,71,诺伊德,密林智者,橡木贤者：雅顿,7,7,2,logohero4012,heroList_04,160,160,4,13,25,31,40120403,40120104,40120202,0,1,148673,2,12816,3,2038,6,200,99,8916300,21,10000,22,240,91000002,10000,0,0,1,991005,4,9900011,1,9900011,2
1016,72,马歇尔,怒涛修士,皇家牧师,1,4,3,logohero1016,heroList_01,100,100,1,13,29,38,10160401,10160101,0,0,1,16845,2,1137,3,203,6,200,99,907300,21,10000,22,240,0,0,0,0,1,991006,4,9900012,1,9900012,2
1017,73,霍尔,怒涛护卫,皇家卫兵,1,4,3,logohero1017,heroList_01,100,100,1,11,25,38,10170401,10170101,0,0,1,15646,2,1219,3,203,6,200,99,895900,21,10000,22,240,0,0,0,0,1,991003,2,9900009,1,0,0
2014,74,巴兹,圣焰战士,豺狼战士,1,4,3,logohero2014,heroList_02,100,100,2,11,22,36,20140401,20140101,0,0,1,16845,2,1137,3,203,6,200,99,907300,21,10000,22,240,0,0,0,0,1,991003,2,9900009,1,0,0
2015,75,提坦,圣焰驯兽师,唤蝠者,1,4,3,logohero2015,heroList_02,100,100,2,13,22,34,20150401,20150101,0,0,1,13228,2,1320,3,203,6,200,99,853700,21,10000,22,240,0,0,0,0,1,991006,4,9900012,1,9900012,2
3013,76,凯斯,暗雷护卫,亡灵战士,1,4,3,logohero3013,heroList_03,100,100,3,11,22,34,30130401,30130101,0,0,1,16845,2,1137,3,203,6,200,99,907300,21,10000,22,240,0,0,0,0,1,991003,2,9900009,1,0,0
3014,77,林克,暗雷勇士,亡灵剑士,1,4,3,logohero3014,heroList_03,100,100,3,11,22,35,30140401,30140101,0,0,1,15646,2,1219,3,203,6,200,99,895900,21,10000,22,240,0,0,0,0,1,991003,2,9900009,1,0,0
4013,78,雷德,神峰之力,魔花种子,1,4,3,logohero4013,heroList_04,100,100,4,13,22,34,40130401,40130101,0,0,1,12029,2,1402,3,203,6,200,99,842300,21,10000,22,240,0,0,0,0,1,991006,4,9900012,1,9900012,2
4014,79,维克露尔,神峰护卫,绿裔哨兵,1,4,3,logohero4014,heroList_04,100,100,4,11,22,36,40140401,40140101,0,0,1,16845,2,1137,3,203,6,200,99,907300,21,10000,22,240,0,0,0,0,1,991003,2,9900009,1,0,0
