id,location,speed,shock,shocktime,story,showid,stoptime,next
40508,0,0,0,0,0,69,50,40509
40509,0,0,0,0,414001,0,0,40510
40510,14|13,50,0,0,0,0,30,40511
40511,0,0,0,0,416001,0,0,0
40601,15|4,50,0,0,0,0,30,40602
40602,0,0,0,0,0,76,0,40603
40603,0,0,0,0,0,83,50,40604
40604,0,0,0,0,417001,0,0,0
40701,15|12,50,0,0,0,0,30,40702
40702,0,0,0,0,0,77,0,40703
40703,0,0,0,0,0,84,50,40704
40704,0,0,0,0,417001,0,0,0
50101,11|10,50,0,0,0,0,30,50102
50102,0,0,0,0,0,87,50,50103
50103,0,0,0,0,502001,0,0,0
60101,8|2,50,0,0,0,0,30,60102
60102,0,0,0,0,601001,0,0,60103
60103,14|9,50,0,0,0,0,30,0
60201,6|6,50,0,0,0,0,30,60202
60202,0,0,0,0,0,104,0,60203
60203,0,0,0,0,605001,0,0,60204
60204,11|6,50,0,0,0,0,30,60205
60205,0,0,0,0,0,67|68|69|70|71|72|73|74|75,50,60206
60206,0,0,0,0,602001,0,0,0
60301,8|11,50,0,0,0,0,30,60302
60302,0,0,0,0,0,7|38|41,0,60303
60303,0,0,0,0,603001,0,0,0
60401,10|2,50,0,0,0,0,0,60402
60402,0,0,0,0,0,102,0,60403
60403,0,0,0,0,0,105,50,60404
60404,0,0,0,0,604001,0,0,0
70101,0,0,0,0,701001,0,0,70102
70102,1|14,50,0,0,0,0,30,70103
70103,0,0,0,0,0,70,50,70104
70104,2|4,50,0,0,0,0,30,70105
70105,0,0,0,0,0,71,50,70106
70106,14|1,50,0,0,0,0,30,70107
70107,0,0,0,0,0,72,50,70108
70108,18|8,50,0,0,0,0,30,70109
70109,0,0,0,0,0,73,50,70110
70110,16|17,50,0,0,0,0,30,70111
70111,0,0,0,0,0,74,50,70112
70112,5|20,50,0,0,0,0,30,70113
70113,0,0,0,0,0,75,50,70114
70114,9|11,50,0,0,0,0,30,70115
70115,0,0,0,0,702001,0,0,0
70201,9|10,50,0,0,0,0,30,70202
70202,0,0,0,0,0,130,50,70203
70203,0,0,0,0,703001,0,0,0
70301,9|12,50,0,0,0,0,30,70302
70302,0,0,0,0,0,131,50,70303
70303,0,0,0,0,704001,0,0,0
80101,14|7,50,0,0,0,0,30,80102
80102,0,0,0,0,0,0,0,80103
80103,0,0,0,0,802001,0,0,0
80201,14|14,50,0,0,0,0,30,80202
80202,0,0,0,0,0,0,0,80203
80203,0,0,0,0,803001,0,0,0
80301,14|8,50,0,0,0,0,30,80302
80302,0,0,0,0,0,98,50,80303
80303,0,0,0,0,804001,0,0,0
80401,13|6,50,0,0,0,0,30,80402
80402,0,0,0,0,0,99,50,80403
80403,0,0,0,0,804001,0,0,0
80501,14|6,50,0,0,0,0,30,80502
80502,0,0,0,0,0,100,50,80503
80503,0,0,0,0,804001,0,0,0
80601,13|9,50,0,0,0,0,30,80602
80602,0,0,0,0,0,101,50,80603
80603,0,0,0,0,804001,0,0,0
80701,13|13,50,0,0,0,0,30,80702
80702,0,0,0,0,0,102,50,80703
80703,0,0,0,0,804001,0,0,0
80801,14|13,50,0,0,0,0,30,80802
80802,0,0,0,0,0,103,50,80803
80803,0,0,0,0,804001,0,0,0
80901,14|15,50,0,0,0,0,30,80902
80902,0,0,0,0,0,104,50,80903
80903,0,0,0,0,804001,0,0,0
81001,13|16,50,0,0,0,0,30,81002
81002,0,0,0,0,0,105,50,81003
81003,0,0,0,0,804001,0,0,0
90101,5|13,50,0,0,0,0,30,90102
90102,0,0,0,0,902001,0,0,0
100101,9|16,50,0,0,0,0,30,100102
100102,0,0,0,0,0,131,50,100103
100103,0,0,0,0,1002001,0,0,0
130101,13|4,50,0,0,0,0,30,130102
130102,0,0,0,0,0,77,50,130103
130103,0,0,0,0,1303001,0,0,0
130201,3|21,50,0,0,0,0,30,130202
130202,0,0,0,0,0,85,50,130203
130203,0,0,0,0,1304001,0,0,0
140101,17|8,50,0,0,0,0,0,140102
140102,17|14,50,0,0,0,0,0,140103
140103,0,0,0,0,1402001,0,0,0
140201,1|8,50,0,0,0,0,0,140202
140202,1|14,50,0,0,0,0,0,140203
140203,0,0,0,0,1403001,0,0,0
140301,9|3,50,0,0,0,0,0,140302
140302,0,0,0,0,1404001,0,0,0
150101,11|9,50,0,0,0,0,0,150102
150102,0,0,0,0,0,156|157,30,150103
150103,0,0,0,0,1502001,0,10,0
150201,11|19,50,0,0,0,0,0,150202
150202,0,0,0,0,0,162|163,30,150203
150203,0,0,0,0,1503001,0,10,0
150301,11|9,50,0,0,0,0,0,150302
150302,0,0,0,0,0,158|159,30,150303
150303,0,0,0,0,1504001,0,10,0
150401,11|19,50,0,0,0,0,0,150402
150402,0,0,0,0,0,160|161,30,150403
150403,0,0,0,0,1505001,0,10,0
150501,17|14,50,0,0,0,0,0,150502
150502,0,0,0,0,0,164|165|166,30,150503
150503,0,0,0,0,1506001,0,10,0
150601,17|14,50,0,0,0,0,0,150602
150602,0,0,0,0,0,173|174|175,30,150603
150603,0,0,0,0,1507001,0,10,0
150701,19|14,50,0,0,0,0,0,150702
150702,0,0,0,0,0,170|171|172,30,150703
150703,0,0,0,0,1508001,0,10,0
150801,19|14,50,0,0,0,0,0,150802
150802,0,0,0,0,0,167|168|169,30,150803
150803,0,0,0,0,1509001,0,10,0
160101,9|18,50,0,0,0,0,0,160102
160102,0,0,0,0,0,44,30,160103
160103,0,0,0,0,1604001,0,10,0
160201,11|3,50,0,0,0,0,0,160202
160202,0,0,0,0,0,43,30,160203
160203,0,0,0,0,1608001,0,10,0
160301,3|22,70,0,0,0,0,60,160302
160302,3|1,70,0,0,0,0,0,0
160401,0,50,0,0,1609001,0,50,0
170101,3|12,50,0,0,0,0,0,170102
170102,0,0,0,0,0,104,50,170103
170103,0,0,0,0,1702001,0,0,0
170201,3|13,50,0,0,0,0,0,170202
170202,0,0,0,0,0,105,50,170203
170203,0,0,0,0,1703001,0,0,0
180101,21|14,50,0,0,0,0,0,180102
180102,0,0,0,0,0,146,50,0
180201,21|16,50,0,0,0,0,0,180202
180202,0,0,0,0,0,147,50,0
180301,22|13,50,0,0,0,0,0,180302
180302,0,0,0,0,0,148,50,0
180401,22|16,50,0,0,0,0,0,180402
180402,0,0,0,0,0,149,50,0
180501,23|13,50,0,0,0,0,0,180502
180502,0,0,0,0,0,150,50,0
180601,23|17,50,0,0,0,0,0,180602
180602,0,0,0,0,0,151,50,0
180701,2|14,50,0,0,0,0,0,180702
180702,0,0,0,0,0,0,50,0
180801,20|14,50,0,0,0,0,0,180802
180802,0,0,0,0,0,0,50,0
