awaken_group,index,lv_limits,stage,level,exp,advanced_group,attribute_type1,attribute_value1,attribute_type2,attribute_value2
602,16,0,4,2,12000,0,8,6240,99,624000
602,17,0,4,3,12000,0,8,6880,99,688000
602,18,0,4,4,12000,60202,8,7520,99,752000
602,19,0,5,0,20000,0,8,8320,99,832000
602,20,0,5,1,20000,0,8,9120,99,912000
602,21,0,5,2,20000,0,8,9920,99,992000
602,22,0,5,3,20000,0,8,10720,99,1072000
602,23,0,5,4,20000,0,8,11520,99,1152000
602,24,0,5,5,20000,60202,8,12320,99,1232000
602,25,0,6,0,40000,0,8,13280,99,1328000
602,26,0,6,1,40000,0,8,14240,99,1424000
602,27,0,6,2,40000,0,8,15200,99,1520000
602,28,0,6,3,40000,0,8,16160,99,1616000
602,29,0,6,4,40000,0,8,17120,99,1712000
602,30,0,6,5,40000,60202,8,18080,99,1808000
602,31,0,7,0,80000,0,8,19200,99,1920000
602,32,0,7,1,80000,0,8,20320,99,2032000
602,33,0,7,2,80000,0,8,21440,99,2144000
602,34,0,7,3,80000,0,8,22560,99,2256000
602,35,0,7,4,80000,0,8,23680,99,2368000
602,36,0,7,5,80000,60203,8,24800,99,2480000
602,37,0,8,0,90000,0,8,26080,99,2608000
602,38,0,8,1,90000,0,8,27360,99,2736000
602,39,0,8,2,90000,0,8,28640,99,2864000
602,40,0,8,3,90000,0,8,29920,99,2992000
602,41,0,8,4,90000,0,8,31200,99,3120000
602,42,0,8,5,90000,60203,8,32480,99,3248000
602,43,0,9,0,100000,0,8,34080,99,3408000
602,44,0,9,1,100000,0,8,35680,99,3568000
602,45,0,9,2,100000,0,8,37280,99,3728000
602,46,0,9,3,100000,0,8,38880,99,3888000
602,47,0,9,4,100000,0,8,40480,99,4048000
602,48,0,9,5,100000,60203,8,42080,99,4208000
602,49,0,10,0,150000,0,8,44000,99,4400000
602,50,0,10,1,150000,0,8,45920,99,4592000
602,51,0,10,2,150000,0,8,47840,99,4784000
602,52,0,10,3,150000,0,8,49760,99,4976000
602,53,0,10,4,150000,0,8,51680,99,5168000
602,54,0,10,5,0,0,8,53600,99,5360000
603,1,0,1,0,3750,0,9,0,99,0
603,2,0,1,1,3750,0,9,1600,99,80000
603,3,0,1,2,3750,0,9,2400,99,120000
603,4,0,1,3,3750,0,9,3200,99,160000
603,5,0,2,0,3750,0,9,4800,99,240000
603,6,0,2,1,3750,0,9,6400,99,320000
603,7,0,2,2,3750,0,9,8000,99,400000
603,8,0,2,3,3750,0,9,9600,99,480000
603,9,0,3,0,6000,0,9,12000,99,600000
603,10,0,3,1,6000,0,9,14400,99,720000
603,11,0,3,2,6000,0,9,16800,99,840000
603,12,0,3,3,6000,0,9,19200,99,960000
603,13,0,3,4,6000,0,9,21600,99,1080000
603,14,0,4,0,12000,0,9,24800,99,1240000
603,15,0,4,1,12000,0,9,28000,99,1400000
603,16,0,4,2,12000,0,9,31200,99,1560000
603,17,0,4,3,12000,0,9,34400,99,1720000
603,18,0,4,4,12000,60302,9,37600,99,1880000
603,19,0,5,0,20000,0,9,41600,99,2080000
603,20,0,5,1,20000,0,9,45600,99,2280000
603,21,0,5,2,20000,0,9,49600,99,2480000
603,22,0,5,3,20000,0,9,53600,99,2680000
603,23,0,5,4,20000,0,9,57600,99,2880000
603,24,0,5,5,20000,60302,9,61600,99,3080000
603,25,0,6,0,40000,0,9,66400,99,3320000
603,26,0,6,1,40000,0,9,71200,99,3560000
603,27,0,6,2,40000,0,9,76000,99,3800000
603,28,0,6,3,40000,0,9,80800,99,4040000
603,29,0,6,4,40000,0,9,85600,99,4280000
603,30,0,6,5,40000,60302,9,90400,99,4520000
603,31,0,7,0,80000,0,9,96000,99,4800000
603,32,0,7,1,80000,0,9,101600,99,5080000
603,33,0,7,2,80000,0,9,107200,99,5360000
603,34,0,7,3,80000,0,9,112800,99,5640000
603,35,0,7,4,80000,0,9,118400,99,5920000
603,36,0,7,5,80000,60303,9,124000,99,6200000
603,37,0,8,0,90000,0,9,130400,99,6520000
603,38,0,8,1,90000,0,9,136800,99,6840000
603,39,0,8,2,90000,0,9,143200,99,7160000
603,40,0,8,3,90000,0,9,149600,99,7480000
603,41,0,8,4,90000,0,9,156000,99,7800000
603,42,0,8,5,90000,60303,9,162400,99,8120000
603,43,0,9,0,100000,0,9,170400,99,8520000
603,44,0,9,1,100000,0,9,178400,99,8920000
603,45,0,9,2,100000,0,9,186400,99,9320000
603,46,0,9,3,100000,0,9,194400,99,9720000
603,47,0,9,4,100000,0,9,202400,99,10120000
603,48,0,9,5,100000,60303,9,210400,99,10520000
603,49,0,10,0,150000,0,9,220000,99,11000000
603,50,0,10,1,150000,0,9,229600,99,11480000
603,51,0,10,2,150000,0,9,239200,99,11960000
603,52,0,10,3,150000,0,9,248800,99,12440000
603,53,0,10,4,150000,0,9,258400,99,12920000
603,54,0,10,5,0,0,9,268000,99,13400000
604,1,0,1,0,3750,0,10,0,99,0
604,2,0,1,1,3750,0,10,480,99,24000
604,3,0,1,2,3750,0,10,720,99,36000
604,4,0,1,3,3750,0,10,960,99,48000
604,5,0,2,0,3750,0,10,1440,99,72000
604,6,0,2,1,3750,0,10,1920,99,96000
604,7,0,2,2,3750,0,10,2400,99,120000
604,8,0,2,3,3750,0,10,2880,99,144000
604,9,0,3,0,6000,0,10,3600,99,180000
604,10,0,3,1,6000,0,10,4320,99,216000
604,11,0,3,2,6000,0,10,5040,99,252000
604,12,0,3,3,6000,0,10,5760,99,288000
604,13,0,3,4,6000,0,10,6480,99,324000
604,14,0,4,0,12000,0,10,7440,99,372000
604,15,0,4,1,12000,0,10,8400,99,420000
604,16,0,4,2,12000,0,10,9360,99,468000
604,17,0,4,3,12000,0,10,10320,99,516000
604,18,0,4,4,12000,60402,10,11280,99,564000
604,19,0,5,0,20000,0,10,12480,99,624000
604,20,0,5,1,20000,0,10,13680,99,684000
604,21,0,5,2,20000,0,10,14880,99,744000
604,22,0,5,3,20000,0,10,16080,99,804000
604,23,0,5,4,20000,0,10,17280,99,864000
604,24,0,5,5,20000,60402,10,18480,99,924000
604,25,0,6,0,40000,0,10,19920,99,996000
604,26,0,6,1,40000,0,10,21360,99,1068000
604,27,0,6,2,40000,0,10,22800,99,1140000
604,28,0,6,3,40000,0,10,24240,99,1212000
604,29,0,6,4,40000,0,10,25680,99,1284000
604,30,0,6,5,40000,60402,10,27120,99,1356000
604,31,0,7,0,80000,0,10,28800,99,1440000
604,32,0,7,1,80000,0,10,30480,99,1524000
604,33,0,7,2,80000,0,10,32160,99,1608000
604,34,0,7,3,80000,0,10,33840,99,1692000
604,35,0,7,4,80000,0,10,35520,99,1776000
604,36,0,7,5,80000,60403,10,37200,99,1860000
604,37,0,8,0,90000,0,10,39120,99,1956000
604,38,0,8,1,90000,0,10,41040,99,2052000
604,39,0,8,2,90000,0,10,42960,99,2148000
604,40,0,8,3,90000,0,10,44880,99,2244000
604,41,0,8,4,90000,0,10,46800,99,2340000
604,42,0,8,5,90000,60403,10,48720,99,2436000
604,43,0,9,0,100000,0,10,51120,99,2556000
604,44,0,9,1,100000,0,10,53520,99,2676000
604,45,0,9,2,100000,0,10,55920,99,2796000
604,46,0,9,3,100000,0,10,58320,99,2916000
604,47,0,9,4,100000,0,10,60720,99,3036000
604,48,0,9,5,100000,60403,10,63120,99,3156000
604,49,0,10,0,150000,0,10,66000,99,3300000
604,50,0,10,1,150000,0,10,68880,99,3444000
604,51,0,10,2,150000,0,10,71760,99,3588000
604,52,0,10,3,150000,0,10,74640,99,3732000
604,53,0,10,4,150000,0,10,77520,99,3876000
604,54,0,10,5,0,0,10,80400,99,4020000
605,1,0,1,0,3750,0,29,0,99,0
605,2,0,1,1,3750,0,29,800,99,80000
605,3,0,1,2,3750,0,29,1200,99,120000
605,4,0,1,3,3750,0,29,1600,99,160000
605,5,0,2,0,3750,0,29,2400,99,240000
605,6,0,2,1,3750,0,29,3200,99,320000
605,7,0,2,2,3750,0,29,4000,99,400000
605,8,0,2,3,3750,0,29,4800,99,480000
605,9,0,3,0,6000,0,29,6000,99,600000
605,10,0,3,1,6000,0,29,7200,99,720000
605,11,0,3,2,6000,0,29,8400,99,840000
605,12,0,3,3,6000,0,29,9600,99,960000
605,13,0,3,4,6000,0,29,10800,99,1080000
605,14,0,4,0,12000,0,29,12400,99,1240000
605,15,0,4,1,12000,0,29,14000,99,1400000
605,16,0,4,2,12000,0,29,15600,99,1560000
605,17,0,4,3,12000,0,29,17200,99,1720000
605,18,0,4,4,12000,60502,29,18800,99,1880000
605,19,0,5,0,20000,0,29,20800,99,2080000
605,20,0,5,1,20000,0,29,22800,99,2280000
605,21,0,5,2,20000,0,29,24800,99,2480000
605,22,0,5,3,20000,0,29,26800,99,2680000
605,23,0,5,4,20000,0,29,28800,99,2880000
605,24,0,5,5,20000,60502,29,30800,99,3080000
605,25,0,6,0,40000,0,29,33200,99,3320000
605,26,0,6,1,40000,0,29,35600,99,3560000
605,27,0,6,2,40000,0,29,38000,99,3800000
605,28,0,6,3,40000,0,29,40400,99,4040000
605,29,0,6,4,40000,0,29,42800,99,4280000
605,30,0,6,5,40000,60502,29,45200,99,4520000
605,31,0,7,0,80000,0,29,48000,99,4800000
605,32,0,7,1,80000,0,29,50800,99,5080000
605,33,0,7,2,80000,0,29,53600,99,5360000
605,34,0,7,3,80000,0,29,56400,99,5640000
605,35,0,7,4,80000,0,29,59200,99,5920000
605,36,0,7,5,80000,60503,29,62000,99,6200000
605,37,0,8,0,90000,0,29,65200,99,6520000
605,38,0,8,1,90000,0,29,68400,99,6840000
605,39,0,8,2,90000,0,29,71600,99,7160000
605,40,0,8,3,90000,0,29,74800,99,7480000
605,41,0,8,4,90000,0,29,78000,99,7800000
605,42,0,8,5,90000,60503,29,81200,99,8120000
605,43,0,9,0,100000,0,29,85200,99,8520000
605,44,0,9,1,100000,0,29,89200,99,8920000
605,45,0,9,2,100000,0,29,93200,99,9320000
605,46,0,9,3,100000,0,29,97200,99,9720000
605,47,0,9,4,100000,0,29,101200,99,10120000
605,48,0,9,5,100000,60503,29,105200,99,10520000
605,49,0,10,0,150000,0,29,110000,99,11000000
605,50,0,10,1,150000,0,29,114800,99,11480000
605,51,0,10,2,150000,0,29,119600,99,11960000
605,52,0,10,3,150000,0,29,124400,99,12440000
605,53,0,10,4,150000,0,29,129200,99,12920000
605,54,0,10,5,0,0,29,134000,99,13400000
606,1,0,1,0,3750,0,6,0,99,0
606,2,0,1,1,3750,0,6,8000,99,80000
606,3,0,1,2,3750,0,6,12000,99,120000
606,4,0,1,3,3750,0,6,16000,99,160000
606,5,0,2,0,3750,0,6,24000,99,240000
606,6,0,2,1,3750,0,6,32000,99,320000
606,7,0,2,2,3750,0,6,40000,99,400000
606,8,0,2,3,3750,0,6,48000,99,480000
606,9,0,3,0,6000,0,6,60000,99,600000
606,10,0,3,1,6000,0,6,72000,99,720000
606,11,0,3,2,6000,0,6,84000,99,840000
606,12,0,3,3,6000,0,6,96000,99,960000
606,13,0,3,4,6000,0,6,108000,99,1080000
606,14,0,4,0,12000,0,6,124000,99,1240000
606,15,0,4,1,12000,0,6,140000,99,1400000
606,16,0,4,2,12000,0,6,156000,99,1560000
606,17,0,4,3,12000,0,6,172000,99,1720000
606,18,0,4,4,12000,60602,6,188000,99,1880000
606,19,0,5,0,20000,0,6,208000,99,2080000
606,20,0,5,1,20000,0,6,228000,99,2280000
606,21,0,5,2,20000,0,6,248000,99,2480000
606,22,0,5,3,20000,0,6,268000,99,2680000
606,23,0,5,4,20000,0,6,288000,99,2880000
606,24,0,5,5,20000,60602,6,308000,99,3080000
606,25,0,6,0,40000,0,6,332000,99,3320000
606,26,0,6,1,40000,0,6,356000,99,3560000
606,27,0,6,2,40000,0,6,380000,99,3800000
606,28,0,6,3,40000,0,6,404000,99,4040000
606,29,0,6,4,40000,0,6,428000,99,4280000
606,30,0,6,5,40000,60602,6,452000,99,4520000
606,31,0,7,0,80000,0,6,480000,99,4800000
606,32,0,7,1,80000,0,6,508000,99,5080000
606,33,0,7,2,80000,0,6,536000,99,5360000
606,34,0,7,3,80000,0,6,564000,99,5640000
606,35,0,7,4,80000,0,6,592000,99,5920000
606,36,0,7,5,80000,60603,6,620000,99,6200000
606,37,0,8,0,90000,0,6,652000,99,6520000
606,38,0,8,1,90000,0,6,684000,99,6840000
606,39,0,8,2,90000,0,6,716000,99,7160000
606,40,0,8,3,90000,0,6,748000,99,7480000
606,41,0,8,4,90000,0,6,780000,99,7800000
606,42,0,8,5,90000,60603,6,812000,99,8120000
606,43,0,9,0,100000,0,6,852000,99,8520000
606,44,0,9,1,100000,0,6,892000,99,8920000
606,45,0,9,2,100000,0,6,932000,99,9320000
606,46,0,9,3,100000,0,6,972000,99,9720000
606,47,0,9,4,100000,0,6,1012000,99,10120000
606,48,0,9,5,100000,60603,6,1052000,99,10520000
606,49,0,10,0,150000,0,6,1100000,99,11000000
606,50,0,10,1,150000,0,6,1148000,99,11480000
606,51,0,10,2,150000,0,6,1196000,99,11960000
606,52,0,10,3,150000,0,6,1244000,99,12440000
606,53,0,10,4,150000,0,6,1292000,99,12920000
606,54,0,10,5,0,0,6,1340000,99,13400000
