id,group,type,rank1,rank2,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,costitem5,costnum5,getitem1,getnum1,getitem2,getnum2,des
42,1,11,1,99999,91000002,120000,0,0,0,0,0,0,0,0,0,0,0,0,地牢商店刷新价格
43,1,12,1,99999,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,高阶竞技场刷新价格
44,2,13,1,60,91000002,96000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位钻石购买
45,2,14,2,4,91000049,200,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
46,2,14,5,6,91000049,300,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
47,2,14,7,8,91000049,400,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
48,2,14,9,10,91000049,500,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
49,2,14,11,12,91000049,600,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
50,2,14,13,14,91000049,700,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
51,2,14,15,17,91000049,800,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
52,2,14,18,19,91000049,900,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
53,2,14,20,21,91000049,1000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
54,2,14,22,24,91000049,2000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
55,2,14,25,27,91000049,3000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
56,2,14,28,30,91000049,4000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
57,2,14,31,36,91000049,4500,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
58,2,14,37,42,91000049,5000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
59,2,14,43,48,91000049,5500,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
60,2,14,49,54,91000049,6000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
61,2,14,55,60,91000049,7000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶英雄槽位生命精华购买
62,2,15,1,1,91000002,60000,0,0,0,0,0,0,0,0,0,0,0,0,创建公会
63,2,16,1,1,91000002,60000,0,0,0,0,0,0,0,0,0,0,0,0,公会改名
64,2,17,1,1,91000002,36000,0,0,0,0,0,0,0,0,0,0,0,0,阵营召唤解锁
65,2,18,1,1,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,共鸣水晶槽位冷却时间清除
66,2,19,1,1,42010003,1,0,0,0,0,0,0,0,0,0,0,0,0,占星道具单抽
67,2,20,1,1,42010003,10,0,0,0,0,0,0,0,0,0,0,0,0,占星道具十连抽
68,2,21,1,1,91000002,50000,0,0,0,0,0,0,0,0,0,0,0,0,占星钻石单抽
69,2,22,1,1,91000002,500000,0,0,0,0,0,0,0,0,0,0,0,0,占星钻石十连抽
70,2,23,1,1,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,虚空英雄解除灵魂共鸣消耗
71,3,24,1,99,91000002,6000,0,0,0,0,0,0,0,0,0,0,0,0,扭曲梦境重置次数消耗
72,2,25,1,99,91000002,36000,0,0,0,0,0,0,0,0,0,0,0,0,重置生命之树职业等级
73,2,26,1,1,91000002,50000,0,0,0,0,0,0,0,0,0,0,0,0,占卜系统钻石消耗
74,2,27,1,1,42010003,1,0,0,0,0,0,0,0,0,0,0,0,0,占卜系统物品消耗
75,2,28,1,1,91000002,36000,0,0,0,0,0,0,0,0,0,0,0,0,自选召唤单次消耗
76,2,29,1,1,91000002,360000,0,0,0,0,0,0,0,0,0,0,0,0,自选召唤十连消耗
77,3,30,1,1,35,150,0,0,0,0,0,0,0,0,0,0,0,0,关卡压制系数
78,3,31,1,1,38,150,0,0,0,0,0,0,0,0,0,0,0,0,关卡压制系数
79,3,32,1,1,35,200,0,0,0,0,0,0,0,0,0,0,0,0,关卡停留压制系数
80,3,33,1,1,38,200,0,0,0,0,0,0,0,0,0,0,0,0,关卡停留压制系数
81,1,34,1,2,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,暗域入侵重置消耗
82,1,34,3,4,91000002,24000,0,0,0,0,0,0,0,0,0,0,0,0,暗域入侵重置消耗
83,1,34,5,6,91000002,36000,0,0,0,0,0,0,0,0,0,0,0,0,暗域入侵重置消耗
84,1,34,7,8,91000002,48000,0,0,0,0,0,0,0,0,0,0,0,0,暗域入侵重置消耗
85,1,34,9,99999,91000002,60000,0,0,0,0,0,0,0,0,0,0,0,0,暗域入侵重置消耗
86,1,35,1,2,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技购买次数消耗
87,1,35,3,4,91000002,24000,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技购买次数消耗
88,1,35,5,6,91000002,36000,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技购买次数消耗
89,1,35,7,8,91000002,48000,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技购买次数消耗
90,1,35,9,99999,91000002,60000,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技购买次数消耗
91,2,36,1,1,84100001,10,0,0,0,0,0,0,0,0,91000060,10,0,0,春节活动鞭炮单次抽奖消耗
92,1,37,1,2,91000002,100,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技33购买次数消耗
93,1,37,3,4,91000002,200,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技33购买次数消耗
94,1,37,5,6,91000002,300,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技33购买次数消耗
95,1,37,7,8,91000002,400,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技33购买次数消耗
96,1,37,9,99999,91000002,500,0,0,0,0,0,0,0,0,0,0,0,0,至尊竞技33购买次数消耗
