id,type,grid,group,itemid,itemname,itemnumber,weightfunction,cost_item1,cost_num1,level_limit,level_shield,judge,replacegroup,replaceitem,replacename,replacenum,replaceweight,replacecost1,replacecostnum1
23,1,2,1,81000002,白银锻造币,20,1,91000002,480000,111240,111840,0,0,0,0,0,0,0,0
24,1,2,1,81000002,白银锻造币,20,1,91000002,480000,111840,0,0,0,0,0,0,0,0,0
25,1,2,1,30000003,一大箱金币,1,1,91000002,9600,111301,0,0,0,0,0,0,0,0,0
26,1,2,1,13000002,精英勇士魂石,60,5,91000002,216000,0,0,0,0,0,0,0,0,0,0
27,1,2,1,30010003,巨额勇士经验,1,1,91000002,38400,111840,0,0,0,0,0,0,0,0,0
28,1,2,2,3,装备,1,1,91000002,2,0,110640,0,0,0,0,0,0,0,0
29,1,2,2,4,装备,1,1,91000002,2,110640,110911,0,0,0,0,0,0,0,0
30,1,2,2,5,装备,1,1,91000002,2,110911,111132,0,0,0,0,0,0,0,0
31,1,2,2,6,装备,1,1,91000002,2,111132,111331,0,0,0,0,0,0,0,0
32,1,2,2,7,装备,1,1,91000002,2,111331,111719,0,0,0,0,0,0,0,0
33,1,3,1,91000044,魔粉,10,1,91000002,1200,0,110401,0,0,0,0,0,0,0,0
34,1,3,1,91000044,魔粉,50,1,91000002,6000,110401,110511,0,0,0,0,0,0,0,0
35,1,3,1,91000044,魔粉,100,1,91000002,12000,110511,110640,0,0,0,0,0,0,0,0
36,1,3,1,91000044,魔粉,200,1,91000002,24000,110640,110901,0,0,0,0,0,0,0,0
37,1,3,1,91000044,魔粉,300,1,91000002,36000,110901,111021,0,0,0,0,0,0,0,0
38,1,3,1,91000044,魔粉,400,1,91000002,48000,111021,111240,0,0,0,0,0,0,0,0
39,1,3,1,91000044,魔粉,500,1,91000002,60000,111240,112560,0,0,0,0,0,0,0,0
40,1,3,1,91000044,魔粉,1000,1,91000002,120000,112560,0,0,0,0,0,0,0,0,0
41,1,3,1,81000002,白银锻造币,5,1,91000002,120000,0,110401,0,0,0,0,0,0,0,0
42,1,3,1,81000002,白银锻造币,5,1,91000002,120000,110401,110511,0,0,0,0,0,0,0,0
43,1,3,1,81000002,白银锻造币,5,1,91000002,120000,110511,110640,0,0,0,0,0,0,0,0
44,1,3,1,81000002,白银锻造币,5,1,91000002,120000,110640,110901,0,0,0,0,0,0,0,0
45,1,3,1,81000002,白银锻造币,10,1,91000002,240000,110901,111021,0,0,0,0,0,0,0,0
46,1,3,1,81000002,白银锻造币,10,1,91000002,240000,111021,111240,0,0,0,0,0,0,0,0
47,1,3,1,81000002,白银锻造币,20,1,91000002,480000,111240,111840,0,0,0,0,0,0,0,0
48,1,3,1,81000002,白银锻造币,20,1,91000002,480000,111840,0,0,0,0,0,0,0,0,0
49,1,3,1,30000003,一大箱金币,1,1,91000002,9600,111301,0,0,0,0,0,0,0,0,0
50,1,3,1,13000002,精英勇士魂石,60,1,91000002,216000,0,0,0,0,0,0,0,0,0,0
51,1,3,1,30010003,巨额勇士经验,2,2,91000002,76800,111840,0,0,0,0,0,0,0,0,0
52,1,3,2,3,装备,1,1,91000002,2,0,110640,0,0,0,0,0,0,0,0
53,1,3,2,4,装备,1,1,91000002,2,110640,110911,0,0,0,0,0,0,0,0
54,1,3,2,5,装备,1,1,91000002,2,110911,111132,0,0,0,0,0,0,0,0
55,1,3,2,6,装备,1,1,91000002,2,111132,111331,0,0,0,0,0,0,0,0
56,1,3,2,7,装备,1,1,91000002,2,111331,111719,0,0,0,0,0,0,0,0
57,1,4,1,91000044,魔粉,100,1,91000002,12000,0,110401,0,0,0,0,0,0,0,0
58,1,4,1,91000044,魔粉,200,1,91000002,24000,110401,110511,0,0,0,0,0,0,0,0
59,1,4,1,91000044,魔粉,400,1,91000002,48000,110511,110640,0,0,0,0,0,0,0,0
60,1,4,1,91000044,魔粉,800,1,91000002,96000,110640,110901,0,0,0,0,0,0,0,0
61,1,4,1,91000044,魔粉,1000,1,91000002,120000,110901,111021,0,0,0,0,0,0,0,0
62,1,4,1,91000044,魔粉,1500,1,91000002,180000,111021,111240,0,0,0,0,0,0,0,0
63,1,4,1,91000044,魔粉,2000,1,91000002,240000,111240,112560,0,0,0,0,0,0,0,0
64,1,4,1,91000044,魔粉,2500,1,91000002,300000,112560,0,0,0,0,0,0,0,0,0
65,1,4,1,81000002,白银锻造币,5,1,91000002,120000,0,110401,0,0,0,0,0,0,0,0
66,1,4,1,81000002,白银锻造币,5,1,91000002,120000,110401,110511,0,0,0,0,0,0,0,0
67,1,4,1,81000002,白银锻造币,5,1,91000002,120000,110511,110640,0,0,0,0,0,0,0,0
68,1,4,1,81000002,白银锻造币,5,1,91000002,120000,110640,110901,0,0,0,0,0,0,0,0
69,1,4,1,81000002,白银锻造币,10,1,91000002,240000,110901,111021,0,0,0,0,0,0,0,0
70,1,4,1,81000002,白银锻造币,10,1,91000002,240000,111021,111240,0,0,0,0,0,0,0,0
71,1,4,1,81000002,白银锻造币,20,1,91000002,480000,111240,111840,0,0,0,0,0,0,0,0
72,1,4,1,81000002,白银锻造币,20,1,91000002,480000,111840,0,0,0,0,0,0,0,0,0
73,1,4,1,30000003,一大箱金币,1,1,91000002,9600,111301,0,0,0,0,0,0,0,0,0
74,1,4,1,13000002,精英勇士魂石,60,1,91000002,216000,0,0,0,0,0,0,0,0,0,0
75,1,4,1,30010003,巨额勇士经验,2,2,91000002,76800,111840,0,0,0,0,0,0,0,0,0
76,1,4,2,3,装备,1,1,91000002,2,0,110640,0,0,0,0,0,0,0,0
77,1,4,2,4,装备,1,1,91000002,2,110640,110911,0,0,0,0,0,0,0,0
78,1,4,2,5,装备,1,1,91000002,2,110911,111132,0,0,0,0,0,0,0,0
79,1,4,2,6,装备,1,1,91000002,2,111132,111331,0,0,0,0,0,0,0,0
80,1,4,2,7,装备,1,1,91000002,2,111331,111719,0,0,0,0,0,0,0,0
81,1,5,1,30100101,稀有勇士卡,2,2,91000002,86400,0,0,0,0,0,0,0,0,0,0
82,1,5,1,30100102,稀有勇士卡,5,2,91000002,216000,0,0,0,0,0,0,0,0,0,0
83,1,5,1,30100103,稀有勇士卡,5,3,91000002,216000,0,0,0,0,0,0,0,0,0,0
84,1,5,1,30100104,稀有勇士卡,10,3,91000002,432000,0,0,0,0,0,0,0,0,0,0
85,1,6,2,3,装备,1,1,91000002,2,0,110424,0,0,0,0,0,0,0,0
86,1,6,2,4,装备,1,1,91000002,2,110424,110640,0,0,0,0,0,0,0,0
87,1,6,2,5,装备,1,1,91000002,2,110640,110911,0,0,0,0,0,0,0,0
88,1,6,2,6,装备,1,1,91000002,2,110911,111132,0,0,0,0,0,0,0,0
89,1,6,2,7,装备,1,1,91000002,2,111132,111331,0,0,0,0,0,0,0,0
90,1,6,2,8,装备,1,1,91000002,2,111331,111519,0,0,0,0,0,0,0,0
91,1,6,2,9,装备,1,12,91000002,2,111519,0,0,0,0,0,0,0,0,0
92,1,6,1,40000019,力量神石,1,2,91000002,353520,111919,0,0,0,0,0,0,0,0,0
93,1,6,1,40000020,敏捷神石,1,2,91000002,353520,111919,0,0,0,0,0,0,0,0,0
94,1,6,1,40000021,智力神石,1,2,91000002,353520,111919,0,0,0,0,0,0,0,0,0
95,1,6,1,40000024,力量神晶,1,1,91000002,392400,112560,0,0,0,0,0,0,0,0,0
96,1,6,1,40000025,敏捷神晶,1,1,91000002,392400,112560,0,0,0,0,0,0,0,0,0
97,1,6,1,40000026,智力神晶,1,1,91000002,392400,112560,0,0,0,0,0,0,0,0,0
98,1,7,2,3,装备,1,1,91000002,2,0,110640,0,0,0,0,0,0,0,0
99,1,7,2,4,装备,1,1,91000002,2,110640,110911,0,0,0,0,0,0,0,0
100,1,7,2,5,装备,1,1,91000002,2,110911,111132,0,0,0,0,0,0,0,0
101,1,7,2,6,装备,1,1,91000002,2,111132,111331,0,0,0,0,0,0,0,0
102,1,7,2,7,装备,1,1,91000002,2,111331,111519,0,0,0,0,0,0,0,0
103,1,7,2,8,装备,1,1,91000002,2,111519,111719,0,0,0,0,0,0,0,0
104,1,7,2,9,装备,1,1,91000002,2,111719,0,0,0,0,0,0,0,0,0
105,1,8,2,3,装备,1,1,91000002,2,0,110640,0,0,0,0,0,0,0,0
106,1,8,2,4,装备,1,1,91000002,2,110640,110911,0,0,0,0,0,0,0,0
107,1,8,2,5,装备,1,1,91000002,2,110911,111132,0,0,0,0,0,0,0,0
108,1,8,2,6,装备,1,1,91000002,2,111132,111331,0,0,0,0,0,0,0,0
109,1,8,2,7,装备,1,1,91000002,2,111331,111519,0,0,0,0,0,0,0,0
110,1,8,2,8,装备,1,1,91000002,2,111519,111719,0,0,0,0,0,0,0,0
111,1,8,2,9,装备,1,10,91000002,2,111719,0,0,0,0,0,0,0,0,0
112,1,9,2,2,装备,1,1,91000001,1,0,110640,0,0,0,0,0,0,0,0
113,1,9,2,3,装备,1,1,91000001,1,110640,110911,0,0,0,0,0,0,0,0
114,1,9,2,4,装备,1,1,91000001,1,110911,111132,0,0,0,0,0,0,0,0
115,1,9,2,5,装备,1,1,91000001,1,111132,111331,0,0,0,0,0,0,0,0
116,1,9,2,6,装备,1,1,91000001,1,111331,111519,0,0,0,0,0,0,0,0
117,1,9,2,7,装备,1,1,91000001,1,111519,111719,0,0,0,0,0,0,0,0
118,1,9,1,40000003,低级特殊宝石,20,1,91000001,9600000,111919,0,0,0,0,0,0,0,0,0
119,1,9,1,40000003,低级特殊宝石,10,1,91000001,4800000,111919,0,0,0,0,0,0,0,0,0
120,1,9,1,40000003,低级特殊宝石,30,1,91000001,14400000,112160,0,0,0,0,0,0,0,0,0
121,1,9,1,40000004,高级特殊宝石,10,1,91000001,7800000,112160,0,0,0,0,0,0,0,0,0
122,1,10,2,2,装备,1,1,91000001,1,0,110640,0,0,0,0,0,0,0,0
123,1,10,2,3,装备,1,1,91000001,1,110640,110911,0,0,0,0,0,0,0,0
124,1,10,2,4,装备,1,1,91000001,1,110911,111132,0,0,0,0,0,0,0,0
125,1,10,2,5,装备,1,1,91000001,1,111132,111331,0,0,0,0,0,0,0,0
126,1,10,2,6,装备,1,1,91000001,1,111331,111519,0,0,0,0,0,0,0,0
127,1,10,2,7,装备,1,1,91000001,1,111519,111719,0,0,0,0,0,0,0,0
128,1,10,2,8,装备,1,1,91000001,1,111719,111819,0,0,0,0,0,0,0,0
129,1,10,2,9,装备,1,1,91000002,2,111819,112160,0,0,0,0,0,0,0,0
130,1,10,1,30020008,强化宝石宝箱,10,1,91000002,237600,112460,0,0,0,0,0,0,0,0,0
131,1,10,1,30020017,随机宝石宝箱,20,2,91000002,367200,112160,0,0,0,0,0,0,0,0,0
132,1,10,1,40000004,高级特殊宝石,10,1,91000002,93600,111819,0,0,0,0,0,0,0,0,0
133,1,10,1,40000004,高级特殊宝石,20,2,91000002,187200,111819,0,0,0,0,0,0,0,0,0
134,1,10,1,40000004,高级特殊宝石,30,3,91000002,280800,111919,0,0,0,0,0,0,0,0,0
135,1,11,2,2,装备,1,1,91000001,1,0,110640,0,0,0,0,0,0,0,0
136,1,11,2,3,装备,1,1,91000001,1,110640,110911,0,0,0,0,0,0,0,0
137,1,11,2,4,装备,1,1,91000001,1,110911,111132,0,0,0,0,0,0,0,0
138,1,11,2,5,装备,1,1,91000001,1,111132,111331,0,0,0,0,0,0,0,0
139,1,11,2,6,装备,1,1,91000001,1,111331,111519,0,0,0,0,0,0,0,0
140,1,11,2,7,装备,1,1,91000001,1,111519,111719,0,0,0,0,0,0,0,0
141,1,11,1,81000002,白银锻造币,10,1,91000001,10000000,111719,0,0,0,0,0,0,0,0,0
142,1,12,2,2,装备,1,1,91000001,1,0,110640,0,0,0,0,0,0,0,0
143,1,12,2,3,装备,1,1,91000001,1,110640,110911,0,0,0,0,0,0,0,0
144,1,12,2,4,装备,1,1,91000001,1,110911,111132,0,0,0,0,0,0,0,0
145,1,12,2,5,装备,1,1,91000001,1,111132,111331,0,0,0,0,0,0,0,0
146,1,12,2,6,装备,1,1,91000001,1,111331,111519,0,0,0,0,0,0,0,0
147,1,12,2,7,装备,1,1,91000001,1,111519,111719,0,0,0,0,0,0,0,0
148,1,12,1,81000002,白银锻造币,10,1,91000001,10000000,111719,0,0,0,0,0,0,0,0,0
149,2,1,2,3,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
150,2,1,2,4,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
151,2,1,2,5,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
152,2,1,2,6,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
153,2,1,2,7,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
154,2,1,2,8,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
155,2,1,2,9,装备,1,34,91000025,3,111719,0,0,0,0,0,0,0,0,0
156,2,1,1,40000019,力量神石,1,2,91000025,33879,112060,0,0,0,0,0,0,0,0,0
157,2,1,1,40000020,敏捷神石,1,2,91000025,33879,112060,0,0,0,0,0,0,0,0,0
158,2,1,1,40000021,智力神石,1,2,91000025,33879,112060,0,0,0,0,0,0,0,0,0
159,2,1,1,40000024,力量神晶,1,1,91000025,40875,112560,0,0,0,0,0,0,0,0,0
160,2,1,1,40000025,敏捷神晶,1,1,91000025,40875,112560,0,0,0,0,0,0,0,0,0
161,2,1,1,40000026,智力神晶,1,1,91000025,40875,112560,0,0,0,0,0,0,0,0,0
162,2,2,2,3,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
163,2,2,2,4,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
164,2,2,2,5,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
165,2,2,2,6,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
166,2,2,2,7,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
167,2,2,2,8,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
168,2,2,2,9,装备,1,34,91000025,3,111719,0,0,0,0,0,0,0,0,0
169,2,2,1,40000019,力量神石,1,2,91000025,33879,112060,0,0,0,0,0,0,0,0,0
170,2,2,1,40000020,敏捷神石,1,2,91000025,33879,112060,0,0,0,0,0,0,0,0,0
171,2,2,1,40000021,智力神石,1,2,91000025,33879,112060,0,0,0,0,0,0,0,0,0
172,2,2,1,40000024,力量神晶,1,1,91000025,40875,112560,0,0,0,0,0,0,0,0,0
173,2,2,1,40000025,敏捷神晶,1,1,91000025,40875,112560,0,0,0,0,0,0,0,0,0
174,2,2,1,40000026,智力神晶,1,1,91000025,40875,112560,0,0,0,0,0,0,0,0,0
175,2,3,2,2,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
176,2,3,2,3,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
177,2,3,2,4,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
178,2,3,2,5,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
179,2,3,2,6,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
180,2,3,2,7,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
181,2,3,2,8,装备,1,1,91000025,3,111719,112060,0,0,0,0,0,0,0,0
182,2,3,2,9,装备,1,34,91000025,3,112060,0,0,0,0,0,0,0,0,0
183,2,3,1,40000019,力量神石,1,2,91000025,33879,112360,0,0,0,0,0,0,0,0,0
184,2,3,1,40000020,敏捷神石,1,2,91000025,33879,112360,0,0,0,0,0,0,0,0,0
185,2,3,1,40000021,智力神石,1,2,91000025,33879,112360,0,0,0,0,0,0,0,0,0
186,2,3,1,40000024,力量神晶,1,1,91000025,40875,112760,0,0,0,0,0,0,0,0,0
187,2,3,1,40000025,敏捷神晶,1,1,91000025,40875,112760,0,0,0,0,0,0,0,0,0
188,2,3,1,40000026,智力神晶,1,1,91000025,40875,112760,0,0,0,0,0,0,0,0,0
189,2,4,2,2,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
190,2,4,2,3,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
191,2,4,2,4,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
192,2,4,2,5,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
193,2,4,2,6,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
194,2,4,2,7,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
195,2,4,2,8,装备,1,1,91000025,3,111719,112060,0,0,0,0,0,0,0,0
196,2,4,2,9,装备,1,34,91000025,3,112060,0,0,0,0,0,0,0,0,0
197,2,4,1,40000019,力量神石,1,2,91000025,33879,112360,0,0,0,0,0,0,0,0,0
198,2,4,1,40000020,敏捷神石,1,2,91000025,33879,112360,0,0,0,0,0,0,0,0,0
199,2,4,1,40000021,智力神石,1,2,91000025,33879,112360,0,0,0,0,0,0,0,0,0
200,2,4,1,40000024,力量神晶,1,1,91000025,40875,112760,0,0,0,0,0,0,0,0,0
201,2,4,1,40000025,敏捷神晶,1,1,91000025,40875,112760,0,0,0,0,0,0,0,0,0
202,2,4,1,40000026,智力神晶,1,1,91000025,40875,112760,0,0,0,0,0,0,0,0,0
203,2,5,2,2,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
204,2,5,2,3,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
205,2,5,2,4,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
206,2,5,2,5,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
207,2,5,2,6,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
208,2,5,2,7,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
209,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,2,9,装备,1,1,91000025,3
210,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60110087,禁军重弓,1,0,91000025,84050
211,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60210087,崩山之刃,1,1,91000025,84880
212,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60310087,魔焰巨杖,1,1,91000025,84880
213,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60420087,崩山战盔,1,1,91000025,84290
214,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60520087,魔焰发冠,1,1,91000025,84370
215,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60620087,大骑士皮盔,1,0,91000025,84370
216,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60430087,崩山板甲,1,1,91000025,84290
217,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60530087,魔焰法袍,1,1,91000025,84370
218,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60630087,大骑士皮甲,1,0,91000025,84370
219,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60440087,崩山战靴,1,1,91000025,84290
220,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60540087,魔焰布靴,1,1,91000025,84180
221,2,5,2,8,装备,1,1,91000025,3,111719,112360,1,1,60640087,大骑士皮靴,1,0,91000025,84180
222,2,5,2,9,装备,1,1,91000025,3,112360,0,1,2,9,装备,1,1,91000025,3
223,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60110087,禁军重弓,1,0,91000025,84050
224,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60210087,崩山之刃,1,1,91000025,84880
225,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60310087,魔焰巨杖,1,1,91000025,84880
226,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60420087,崩山战盔,1,1,91000025,84290
227,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60520087,魔焰发冠,1,1,91000025,84370
228,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60620087,大骑士皮盔,1,0,91000025,84370
229,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60430087,崩山板甲,1,1,91000025,84290
230,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60530087,魔焰法袍,1,1,91000025,84370
231,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60630087,大骑士皮甲,1,0,91000025,84370
232,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60440087,崩山战靴,1,1,91000025,84290
233,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60540087,魔焰布靴,1,1,91000025,84180
234,2,5,2,9,装备,1,1,91000025,3,112360,0,1,1,60640087,大骑士皮靴,1,0,91000025,84180
235,2,6,2,2,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
236,2,6,2,3,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
237,2,6,2,4,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
238,2,6,2,5,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
239,2,6,2,6,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
240,2,6,2,7,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
241,2,6,2,8,装备,1,1,91000025,3,111719,112360,0,0,0,0,0,0,0,0
242,2,6,2,9,装备,1,1,91000025,3,112360,0,0,0,0,0,0,0,0,0
243,2,7,2,2,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
244,2,7,2,3,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
245,2,7,2,4,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
246,2,7,2,5,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
247,2,7,2,6,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
248,2,7,2,7,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
249,2,7,2,8,装备,1,1,91000025,3,111719,112360,0,0,0,0,0,0,0,0
250,2,7,2,9,装备,1,1,91000025,3,112360,0,0,0,0,0,0,0,0,0
251,2,8,2,2,装备,1,1,91000025,3,0,110424,0,0,0,0,0,0,0,0
252,2,8,2,3,装备,1,1,91000025,3,110424,110640,0,0,0,0,0,0,0,0
253,2,8,2,4,装备,1,1,91000025,3,110640,110911,0,0,0,0,0,0,0,0
254,2,8,2,5,装备,1,1,91000025,3,110911,111132,0,0,0,0,0,0,0,0
255,2,8,2,6,装备,1,1,91000025,3,111132,111331,0,0,0,0,0,0,0,0
256,2,8,2,7,装备,1,1,91000025,3,111331,111719,0,0,0,0,0,0,0,0
257,2,8,2,8,装备,1,1,91000025,3,111719,112360,0,0,0,0,0,0,0,0
258,2,8,2,9,装备,1,1,91000025,3,112360,0,0,0,0,0,0,0,0,0
259,3,1,1,13000002,精英勇士魂石,60,1,91000045,18000,0,0,0,0,0,0,0,0,0,0
260,3,2,1,13000002,精英勇士魂石,60,1,91000045,18000,0,0,0,0,0,0,0,0,0,0
261,3,3,1,13000002,精英勇士魂石,60,1,91000045,18000,0,0,0,0,0,0,0,0,0,0
262,3,4,1,13000002,精英勇士魂石,60,1,91000045,18000,0,0,0,0,0,0,0,0,0,0
263,3,5,1,12101301,凯旋之歌魂石,60,1,91000045,4800,0,0,0,0,0,0,0,0,0,0
264,3,6,1,12201101,异族女王魂石,60,1,91000045,4800,0,0,0,0,0,0,0,0,0,0
265,3,7,1,12401101,神力之石魂石,60,1,91000045,4800,0,0,0,0,0,0,0,0,0,0
266,3,8,1,12301101,影之罗刹魂石,60,1,91000045,4800,0,0,0,0,0,0,0,0,0,0
267,3,9,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
268,3,10,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
269,3,11,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
270,3,12,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
271,3,13,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
272,3,14,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
273,3,15,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
274,3,16,1,13000001,稀有勇士魂石,60,1,91000045,2400,0,0,0,0,0,0,0,0,0,0
275,3,17,1,81000001,青铜锻造币,100,1,91000045,2000,0,110840,0,0,0,0,0,0,0,0
276,3,17,1,91000056,希望泉水,100,1,91000045,10000,110840,0,0,0,0,0,0,0,0,0
277,3,18,1,81000001,青铜锻造币,200,1,91000045,4000,0,110840,0,0,0,0,0,0,0,0
278,3,18,1,91000056,希望泉水,200,1,91000045,20000,110840,0,0,0,0,0,0,0,0,0
279,3,19,1,81000001,青铜锻造币,400,1,91000045,8000,0,110840,0,0,0,0,0,0,0,0
280,3,19,1,91000056,希望泉水,300,1,91000045,30000,110840,0,0,0,0,0,0,0,0,0
281,3,20,1,81000001,青铜锻造币,1000,1,91000045,20000,0,110840,0,0,0,0,0,0,0,0
282,3,20,1,91000056,希望泉水,1000,1,91000045,100000,110840,0,0,0,0,0,0,0,0,0
283,4,1,1,12100101,天命骑士魂石,60,1,91000051,45000,0,0,0,0,0,0,0,0,0,0
