lazyid,id,name,lv,needitem,neednum,needlv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3
6001031,53200001,猛虎战旗,31,53200001,31,30,7,20310,56,900,99,2031000
6001032,53200001,猛虎战旗,32,53200001,32,30,7,21450,56,900,99,2145000
6001033,53200001,猛虎战旗,33,53200001,33,30,7,22630,56,900,99,2263000
6001034,53200001,猛虎战旗,34,53200001,34,30,7,23830,56,900,99,2383000
6001035,53200001,猛虎战旗,35,53200001,35,30,7,25050,56,900,99,2505000
6001036,53200001,猛虎战旗,36,53200001,36,30,7,26310,56,900,99,2631000
6001037,53200001,猛虎战旗,37,53200001,37,30,7,27590,56,900,99,2759000
6001038,53200001,猛虎战旗,38,53200001,38,30,7,28890,56,900,99,2889000
6001039,53200001,猛虎战旗,39,53200001,39,30,7,30220,56,900,99,3022000
6001040,53200001,猛虎战旗,40,53200001,40,40,7,31580,56,1200,99,3158000
6001041,53200001,猛虎战旗,41,53200001,41,40,7,32970,56,1200,99,3297000
6001042,53200001,猛虎战旗,42,53200001,42,40,7,34380,56,1200,99,3438000
6001043,53200001,猛虎战旗,43,53200001,43,40,7,35810,56,1200,99,3581000
6001044,53200001,猛虎战旗,44,53200001,44,40,7,37270,56,1200,99,3727000
6001045,53200001,猛虎战旗,45,53200001,45,40,7,38760,56,1200,99,3876000
6001046,53200001,猛虎战旗,46,53200001,46,40,7,40270,56,1200,99,4027000
6001047,53200001,猛虎战旗,47,53200001,47,40,7,41800,56,1200,99,4180000
6001048,53200001,猛虎战旗,48,53200001,48,40,7,43360,56,1200,99,4336000
6001049,53200001,猛虎战旗,49,53200001,49,40,7,44940,56,1200,99,4494000
6001050,53200001,猛虎战旗,50,53200001,50,50,7,46550,56,1800,99,4655000
6001051,53200001,猛虎战旗,51,53200001,51,50,7,48180,56,1800,99,4818000
6001052,53200001,猛虎战旗,52,53200001,52,50,7,49840,56,1800,99,4984000
6001053,53200001,猛虎战旗,53,53200001,53,50,7,51520,56,1800,99,5152000
6001054,53200001,猛虎战旗,54,53200001,54,50,7,53230,56,1800,99,5323000
6001055,53200001,猛虎战旗,55,53200001,55,50,7,54960,56,1800,99,5496000
6001056,53200001,猛虎战旗,56,53200001,56,50,7,56710,56,1800,99,5671000
6001057,53200001,猛虎战旗,57,53200001,57,50,7,58490,56,1800,99,5849000
6001058,53200001,猛虎战旗,58,53200001,58,50,7,60290,56,1800,99,6029000
6001059,53200001,猛虎战旗,59,53200001,59,50,7,62110,56,1800,99,6211000
6001060,53200001,猛虎战旗,60,53200001,60,60,7,63960,56,2400,99,6396000
6001061,53200001,猛虎战旗,61,53200001,61,60,7,65830,56,2400,99,6583000
6001062,53200001,猛虎战旗,62,53200001,62,60,7,67720,56,2400,99,6772000
6001063,53200001,猛虎战旗,63,53200001,63,60,7,69630,56,2400,99,6963000
6001064,53200001,猛虎战旗,64,53200001,64,60,7,71570,56,2400,99,7157000
6001065,53200001,猛虎战旗,65,53200001,65,60,7,73530,56,2400,99,7353000
6001066,53200001,猛虎战旗,66,53200001,66,60,7,75520,56,2400,99,7552000
6001067,53200001,猛虎战旗,67,53200001,67,60,7,77530,56,2400,99,7753000
6001068,53200001,猛虎战旗,68,53200001,68,60,7,79560,56,2400,99,7956000
6001069,53200001,猛虎战旗,69,53200001,69,60,7,81610,56,2400,99,8161000
6001070,53200001,猛虎战旗,70,53200001,70,70,7,83680,56,3000,99,8368000
6001071,53200001,猛虎战旗,71,53200001,71,70,7,85780,56,3000,99,8578000
6001072,53200001,猛虎战旗,72,53200001,72,70,7,87900,56,3000,99,8790000
6001073,53200001,猛虎战旗,73,53200001,73,70,7,90040,56,3000,99,9004000
6001074,53200001,猛虎战旗,74,53200001,74,70,7,92210,56,3000,99,9221000
6001075,53200001,猛虎战旗,75,53200001,75,70,7,94390,56,3000,99,9439000
6001076,53200001,猛虎战旗,76,53200001,76,70,7,96600,56,3000,99,9660000
6001077,53200001,猛虎战旗,77,53200001,77,70,7,98830,56,3000,99,9883000
6001078,53200001,猛虎战旗,78,53200001,78,70,7,101080,56,3000,99,10108000
6001079,53200001,猛虎战旗,79,53200001,79,70,7,103350,56,3000,99,10335000
6001080,53200001,猛虎战旗,80,53200001,80,80,7,105650,56,3600,99,10565000
6001081,53200001,猛虎战旗,81,53200001,81,80,7,107960,56,3600,99,10796000
6001082,53200001,猛虎战旗,82,53200001,82,80,7,110300,56,3600,99,11030000
6001083,53200001,猛虎战旗,83,53200001,83,80,7,112660,56,3600,99,11266000
6001084,53200001,猛虎战旗,84,53200001,84,80,7,115040,56,3600,99,11504000
6001085,53200001,猛虎战旗,85,53200001,85,80,7,117440,56,3600,99,11744000
6001086,53200001,猛虎战旗,86,53200001,86,80,7,119870,56,3600,99,11987000
6001087,53200001,猛虎战旗,87,53200001,87,80,7,122310,56,3600,99,12231000
6001088,53200001,猛虎战旗,88,53200001,88,80,7,124780,56,3600,99,12478000
6001089,53200001,猛虎战旗,89,53200001,89,80,7,127270,56,3600,99,12727000
6001090,53200001,猛虎战旗,90,53200001,90,90,7,129770,56,4500,99,12977000
6001091,53200001,猛虎战旗,91,53200001,91,90,7,132300,56,4500,99,13230000
6001092,53200001,猛虎战旗,92,53200001,92,90,7,134850,56,4500,99,13485000
6001093,53200001,猛虎战旗,93,53200001,93,90,7,137420,56,4500,99,13742000
6001094,53200001,猛虎战旗,94,53200001,94,90,7,140020,56,4500,99,14002000
6001095,53200001,猛虎战旗,95,53200001,95,90,7,142630,56,4500,99,14263000
6001096,53200001,猛虎战旗,96,53200001,96,90,7,145260,56,4500,99,14526000
6001097,53200001,猛虎战旗,97,53200001,97,90,7,147920,56,4500,99,14792000
6001098,53200001,猛虎战旗,98,53200001,98,90,7,150590,56,4500,99,15059000
6001099,53200001,猛虎战旗,99,53200001,99,90,7,153280,56,4500,99,15328000
6001100,53200001,猛虎战旗,100,53200001,100,90,7,156000,56,6000,99,15600000
5002001,53100002,夜枭战旗,1,53100002,1,1,9,295,57,0,99,14750
5002002,53100002,夜枭战旗,2,53100002,2,1,9,410,57,0,99,20500
5002003,53100002,夜枭战旗,3,53100002,3,1,9,585,57,0,99,29250
5002004,53100002,夜枭战旗,4,53100002,4,1,9,805,57,0,99,40250
5002005,53100002,夜枭战旗,5,53100002,5,1,9,1070,57,0,99,53500
5002006,53100002,夜枭战旗,6,53100002,6,1,9,1380,57,0,99,69000
5002007,53100002,夜枭战旗,7,53100002,7,1,9,1730,57,0,99,86500
5002008,53100002,夜枭战旗,8,53100002,8,1,9,2120,57,0,99,106000
5002009,53100002,夜枭战旗,9,53100002,9,1,9,2550,57,0,99,127500
5002010,53100002,夜枭战旗,10,53100002,10,10,9,3015,57,0,99,150750
5002011,53100002,夜枭战旗,11,53100002,11,10,9,3520,57,0,99,176000
5002012,53100002,夜枭战旗,12,53100002,12,10,9,4055,57,0,99,202750
5002013,53100002,夜枭战旗,13,53100002,13,10,9,4630,57,0,99,231500
5002014,53100002,夜枭战旗,14,53100002,14,10,9,5235,57,0,99,261750
5002015,53100002,夜枭战旗,15,53100002,15,10,9,5875,57,0,99,293750
5002016,53100002,夜枭战旗,16,53100002,16,10,9,6550,57,0,99,327500
5002017,53100002,夜枭战旗,17,53100002,17,10,9,7255,57,0,99,362750
5002018,53100002,夜枭战旗,18,53100002,18,10,9,7995,57,0,99,399750
5002019,53100002,夜枭战旗,19,53100002,19,10,9,8765,57,0,99,438250
5002020,53100002,夜枭战旗,20,53100002,20,20,9,9565,57,0,99,478250
5002021,53100002,夜枭战旗,21,53100002,21,20,9,10395,57,0,99,519750
5002022,53100002,夜枭战旗,22,53100002,22,20,9,11255,57,0,99,562750
5002023,53100002,夜枭战旗,23,53100002,23,20,9,12145,57,0,99,607250
5002024,53100002,夜枭战旗,24,53100002,24,20,9,13065,57,0,99,653250
5002025,53100002,夜枭战旗,25,53100002,25,20,9,14015,57,0,99,700750
5002026,53100002,夜枭战旗,26,53100002,26,20,9,14990,57,0,99,749500
5002027,53100002,夜枭战旗,27,53100002,27,20,9,16000,57,0,99,800000
5002028,53100002,夜枭战旗,28,53100002,28,20,9,17035,57,0,99,851750
5002029,53100002,夜枭战旗,29,53100002,29,20,9,18095,57,0,99,904750
5002030,53100002,夜枭战旗,30,53100002,30,30,9,19185,57,0,99,959250
5002031,53100002,夜枭战旗,31,53100002,31,30,9,20305,57,0,99,1015250
5002032,53100002,夜枭战旗,32,53100002,32,30,9,21450,57,0,99,1072500
5002033,53100002,夜枭战旗,33,53100002,33,30,9,22625,57,0,99,1131250
5002034,53100002,夜枭战旗,34,53100002,34,30,9,23825,57,0,99,1191250
5002035,53100002,夜枭战旗,35,53100002,35,30,9,25050,57,0,99,1252500
5002036,53100002,夜枭战旗,36,53100002,36,30,9,26305,57,0,99,1315250
5002037,53100002,夜枭战旗,37,53100002,37,30,9,27585,57,0,99,1379250
5002038,53100002,夜枭战旗,38,53100002,38,30,9,28890,57,0,99,1444500
5002039,53100002,夜枭战旗,39,53100002,39,30,9,30225,57,0,99,1511250
5002040,53100002,夜枭战旗,40,53100002,40,40,9,31580,57,0,99,1579000
5002041,53100002,夜枭战旗,41,53100002,41,40,9,32965,57,0,99,1648250
5002042,53100002,夜枭战旗,42,53100002,42,40,9,34375,57,0,99,1718750
5002043,53100002,夜枭战旗,43,53100002,43,40,9,35810,57,0,99,1790500
5002044,53100002,夜枭战旗,44,53100002,44,40,9,37270,57,0,99,1863500
5002045,53100002,夜枭战旗,45,53100002,45,40,9,38755,57,0,99,1937750
5002046,53100002,夜枭战旗,46,53100002,46,40,9,40265,57,0,99,2013250
5002047,53100002,夜枭战旗,47,53100002,47,40,9,41800,57,0,99,2090000
5002048,53100002,夜枭战旗,48,53100002,48,40,9,43360,57,0,99,2168000
5002049,53100002,夜枭战旗,49,53100002,49,40,9,44945,57,0,99,2247250
5002050,53100002,夜枭战旗,50,53100002,50,50,9,46550,57,0,99,2327500
5002051,53100002,夜枭战旗,51,53100002,51,50,9,48185,57,0,99,2409250
5002052,53100002,夜枭战旗,52,53100002,52,50,9,49840,57,0,99,2492000
5002053,53100002,夜枭战旗,53,53100002,53,50,9,51525,57,0,99,2576250
5002054,53100002,夜枭战旗,54,53100002,54,50,9,53230,57,0,99,2661500
5002055,53100002,夜枭战旗,55,53100002,55,50,9,54955,57,0,99,2747750
5002056,53100002,夜枭战旗,56,53100002,56,50,9,56710,57,0,99,2835500
5002057,53100002,夜枭战旗,57,53100002,57,50,9,58485,57,0,99,2924250
5002058,53100002,夜枭战旗,58,53100002,58,50,9,60285,57,0,99,3014250
5002059,53100002,夜枭战旗,59,53100002,59,50,9,62110,57,0,99,3105500
5002060,53100002,夜枭战旗,60,53100002,60,60,9,63955,57,0,99,3197750
5002061,53100002,夜枭战旗,61,53100002,61,60,9,65825,57,0,99,3291250
5002062,53100002,夜枭战旗,62,53100002,62,60,9,67720,57,0,99,3386000
5002063,53100002,夜枭战旗,63,53100002,63,60,9,69635,57,0,99,3481750
5002064,53100002,夜枭战旗,64,53100002,64,60,9,71575,57,0,99,3578750
5002065,53100002,夜枭战旗,65,53100002,65,60,9,73535,57,0,99,3676750
5002066,53100002,夜枭战旗,66,53100002,66,60,9,75520,57,0,99,3776000
5002067,53100002,夜枭战旗,67,53100002,67,60,9,77525,57,0,99,3876250
5002068,53100002,夜枭战旗,68,53100002,68,60,9,79555,57,0,99,3977750
5002069,53100002,夜枭战旗,69,53100002,69,60,9,81610,57,0,99,4080500
5002070,53100002,夜枭战旗,70,53100002,70,70,9,83685,57,0,99,4184250
5002071,53100002,夜枭战旗,71,53100002,71,70,9,85780,57,0,99,4289000
5002072,53100002,夜枭战旗,72,53100002,72,70,9,87900,57,0,99,4395000
5002073,53100002,夜枭战旗,73,53100002,73,70,9,90040,57,0,99,4502000
5002074,53100002,夜枭战旗,74,53100002,74,70,9,92205,57,0,99,4610250
5002075,53100002,夜枭战旗,75,53100002,75,70,9,94390,57,0,99,4719500
5002076,53100002,夜枭战旗,76,53100002,76,70,9,96600,57,0,99,4830000
5002077,53100002,夜枭战旗,77,53100002,77,70,9,98830,57,0,99,4941500
5002078,53100002,夜枭战旗,78,53100002,78,70,9,101080,57,0,99,5054000
5002079,53100002,夜枭战旗,79,53100002,79,70,9,103355,57,0,99,5167750
5002080,53100002,夜枭战旗,80,53100002,80,80,9,105650,57,0,99,5282500
5002081,53100002,夜枭战旗,81,53100002,81,80,9,107965,57,0,99,5398250
5002082,53100002,夜枭战旗,82,53100002,82,80,9,110300,57,0,99,5515000
5002083,53100002,夜枭战旗,83,53100002,83,80,9,112660,57,0,99,5633000
5002084,53100002,夜枭战旗,84,53100002,84,80,9,115040,57,0,99,5752000
5002085,53100002,夜枭战旗,85,53100002,85,80,9,117445,57,0,99,5872250
5002086,53100002,夜枭战旗,86,53100002,86,80,9,119870,57,0,99,5993500
5002087,53100002,夜枭战旗,87,53100002,87,80,9,122315,57,0,99,6115750
5002088,53100002,夜枭战旗,88,53100002,88,80,9,124780,57,0,99,6239000
5002089,53100002,夜枭战旗,89,53100002,89,80,9,127265,57,0,99,6363250
5002090,53100002,夜枭战旗,90,53100002,90,90,9,129775,57,0,99,6488750
5002091,53100002,夜枭战旗,91,53100002,91,90,9,132305,57,0,99,6615250
5002092,53100002,夜枭战旗,92,53100002,92,90,9,134855,57,0,99,6742750
5002093,53100002,夜枭战旗,93,53100002,93,90,9,137425,57,0,99,6871250
5002094,53100002,夜枭战旗,94,53100002,94,90,9,140015,57,0,99,7000750
5002095,53100002,夜枭战旗,95,53100002,95,90,9,142630,57,0,99,7131500
5002096,53100002,夜枭战旗,96,53100002,96,90,9,145260,57,0,99,7263000
5002097,53100002,夜枭战旗,97,53100002,97,90,9,147915,57,0,99,7395750
5002098,53100002,夜枭战旗,98,53100002,98,90,9,150590,57,0,99,7529500
5002099,53100002,夜枭战旗,99,53100002,99,90,9,153285,57,0,99,7664250
5002100,53100002,夜枭战旗,100,53100002,100,90,9,156000,57,0,99,7800000
6002001,53200002,雷鸟战旗,1,53200002,1,1,9,590,57,0,99,29500
6002002,53200002,雷鸟战旗,2,53200002,2,1,9,820,57,0,99,41000
6002003,53200002,雷鸟战旗,3,53200002,3,1,9,1170,57,0,99,58500
6002004,53200002,雷鸟战旗,4,53200002,4,1,9,1610,57,0,99,80500
6002005,53200002,雷鸟战旗,5,53200002,5,1,9,2140,57,0,99,107000
6002006,53200002,雷鸟战旗,6,53200002,6,1,9,2760,57,0,99,138000
6002007,53200002,雷鸟战旗,7,53200002,7,1,9,3460,57,0,99,173000
6002008,53200002,雷鸟战旗,8,53200002,8,1,9,4240,57,0,99,212000
6002009,53200002,雷鸟战旗,9,53200002,9,1,9,5100,57,0,99,255000
6002010,53200002,雷鸟战旗,10,53200002,10,10,9,6030,57,300,99,301500
6002011,53200002,雷鸟战旗,11,53200002,11,10,9,7040,57,300,99,352000
6002012,53200002,雷鸟战旗,12,53200002,12,10,9,8110,57,300,99,405500
6002013,53200002,雷鸟战旗,13,53200002,13,10,9,9260,57,300,99,463000
6002014,53200002,雷鸟战旗,14,53200002,14,10,9,10470,57,300,99,523500
6002015,53200002,雷鸟战旗,15,53200002,15,10,9,11750,57,300,99,587500
6002016,53200002,雷鸟战旗,16,53200002,16,10,9,13100,57,300,99,655000
6002017,53200002,雷鸟战旗,17,53200002,17,10,9,14510,57,300,99,725500
6002018,53200002,雷鸟战旗,18,53200002,18,10,9,15990,57,300,99,799500
6002019,53200002,雷鸟战旗,19,53200002,19,10,9,17530,57,300,99,876500
6002020,53200002,雷鸟战旗,20,53200002,20,20,9,19130,57,600,99,956500
6002021,53200002,雷鸟战旗,21,53200002,21,20,9,20790,57,600,99,1039500
6002022,53200002,雷鸟战旗,22,53200002,22,20,9,22510,57,600,99,1125500
6002023,53200002,雷鸟战旗,23,53200002,23,20,9,24290,57,600,99,1214500
6002024,53200002,雷鸟战旗,24,53200002,24,20,9,26130,57,600,99,1306500
6002025,53200002,雷鸟战旗,25,53200002,25,20,9,28030,57,600,99,1401500
6002026,53200002,雷鸟战旗,26,53200002,26,20,9,29980,57,600,99,1499000
6002027,53200002,雷鸟战旗,27,53200002,27,20,9,32000,57,600,99,1600000
6002028,53200002,雷鸟战旗,28,53200002,28,20,9,34070,57,600,99,1703500
6002029,53200002,雷鸟战旗,29,53200002,29,20,9,36190,57,600,99,1809500
6002030,53200002,雷鸟战旗,30,53200002,30,30,9,38370,57,900,99,1918500
6002031,53200002,雷鸟战旗,31,53200002,31,30,9,40610,57,900,99,2030500
6002032,53200002,雷鸟战旗,32,53200002,32,30,9,42900,57,900,99,2145000
6002033,53200002,雷鸟战旗,33,53200002,33,30,9,45250,57,900,99,2262500
6002034,53200002,雷鸟战旗,34,53200002,34,30,9,47650,57,900,99,2382500
6002035,53200002,雷鸟战旗,35,53200002,35,30,9,50100,57,900,99,2505000
6002036,53200002,雷鸟战旗,36,53200002,36,30,9,52610,57,900,99,2630500
6002037,53200002,雷鸟战旗,37,53200002,37,30,9,55170,57,900,99,2758500
6002038,53200002,雷鸟战旗,38,53200002,38,30,9,57780,57,900,99,2889000
6002039,53200002,雷鸟战旗,39,53200002,39,30,9,60450,57,900,99,3022500
