id,type,jjcscore,jjcclass,jjcdan,robotlevel,teamnum,showfight,showfight1,optionhero1,herolv1,robotstar1,optionhero2,herolv2,robotstar2,optionhero3,herolv3,robotstar3,optionhero4,herolv4,robotstar4,optionhero5,herolv5,robotstar5,optionhero6,herolv6,robotstar6,optionhero7,herolv7,robotstar7,optionhero8,herolv8,robotstar8,optionhero9,herolv9,robotstar9,hydraoption,ragevalue,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,base_type12,base_value12,base_type13,base_value13
11,2,0,1,4,147,1,84059800,79856810,1001,237,10,1002,236,10,1003,235,10,1005,234,10,1006,233,10,1009,233,10,1010,234,10,1012,233,10,1013,233,10,5003,0,21,10000,22,240,1,293199,2,22267,3,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,0,1,4,147,2,84059800,79856810,2001,237,10,2011,236,10,2013,235,10,2014,234,10,3001,233,10,3002,233,10,3010,234,10,3011,233,10,3012,233,10,5003,0,21,10000,22,240,1,293199,2,22267,3,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,1,4,147,3,84059800,79856810,4001,237,10,4002,236,10,4003,235,10,4006,234,10,4010,233,10,4011,233,10,4012,234,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,293199,2,22267,3,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,1,5,146,1,82960000,78812000,1001,236,10,1002,235,10,1003,234,10,1005,233,10,1006,232,10,1009,232,10,1010,233,10,1012,232,10,1013,232,10,5003,0,21,10000,22,240,1,289367,2,21976,3,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,1,5,146,2,82960000,78812000,2001,236,10,2011,235,10,2013,234,10,2014,233,10,3001,232,10,3002,232,10,3010,233,10,3011,232,10,3012,232,10,5003,0,21,10000,22,240,1,289367,2,21976,3,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,0,1,5,146,3,82960000,78812000,4001,236,10,4002,235,10,4003,234,10,4006,233,10,4010,232,10,4011,232,10,4012,233,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,289367,2,21976,3,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,0,1,6,145,1,81861700,77768615,1001,235,10,1002,234,10,1003,233,10,1005,232,10,1006,231,10,1009,231,10,1010,232,10,1012,231,10,1013,231,10,5003,0,21,10000,22,240,1,285535,2,21685,3,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,1,6,145,2,81861700,77768615,2001,235,10,2011,234,10,2013,233,10,2014,232,10,3001,231,10,3002,231,10,3010,232,10,3011,231,10,3012,231,10,5003,0,21,10000,22,240,1,285535,2,21685,3,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,0,1,6,145,3,81861700,77768615,4001,235,10,4002,234,10,4003,233,10,4006,232,10,4010,231,10,4011,231,10,4012,232,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,285535,2,21685,3,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,0,1,7,144,1,80763400,76725230,1001,234,10,1002,233,10,1003,232,10,1005,231,10,1006,230,10,1009,230,10,1010,231,10,1012,230,10,1013,230,10,5003,0,21,10000,22,240,1,281703,2,21394,3,4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,0,1,7,144,2,80763400,76725230,2001,234,10,2011,233,10,2013,232,10,2014,231,10,3001,230,10,3002,230,10,3010,231,10,3011,230,10,3012,230,10,5003,0,21,10000,22,240,1,281703,2,21394,3,4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0,1,7,144,3,80763400,76725230,4001,234,10,4002,233,10,4003,232,10,4006,231,10,4010,230,10,4011,230,10,4012,231,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,281703,2,21394,3,4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0,1,8,143,1,79665100,75681845,1001,233,10,1002,232,10,1003,231,10,1005,230,10,1006,229,10,1009,229,10,1010,230,10,1012,229,10,1013,229,10,5003,0,21,10000,22,240,1,277871,2,21103,3,4220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,0,1,8,143,2,79665100,75681845,2001,233,10,2011,232,10,2013,231,10,2014,230,10,3001,229,10,3002,229,10,3010,230,10,3011,229,10,3012,229,10,5003,0,21,10000,22,240,1,277871,2,21103,3,4220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,1,8,143,3,79665100,75681845,4001,233,10,4002,232,10,4003,231,10,4006,230,10,4010,229,10,4011,229,10,4012,230,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,277871,2,21103,3,4220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,0,1,9,142,1,78566800,74638460,1001,232,10,1002,231,10,1003,230,10,1005,229,10,1006,228,10,1009,228,10,1010,229,10,1012,228,10,1013,228,10,5003,0,21,10000,22,240,1,274039,2,20812,3,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,1,9,142,2,78566800,74638460,2001,232,10,2011,231,10,2013,230,10,2014,229,10,3001,228,10,3002,228,10,3010,229,10,3011,228,10,3012,228,10,5003,0,21,10000,22,240,1,274039,2,20812,3,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0,1,9,142,3,78566800,74638460,4001,232,10,4002,231,10,4003,230,10,4006,229,10,4010,228,10,4011,228,10,4012,229,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,274039,2,20812,3,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,1,10,141,1,77467000,73593650,1001,231,10,1002,230,10,1003,229,10,1005,228,10,1006,227,10,1009,227,10,1010,228,10,1012,227,10,1013,227,10,5003,0,21,10000,22,240,1,270207,2,20521,3,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0,1,10,141,2,77467000,73593650,2001,231,10,2011,230,10,2013,229,10,2014,228,10,3001,227,10,3002,227,10,3010,228,10,3011,227,10,3012,227,10,5003,0,21,10000,22,240,1,270207,2,20521,3,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,1,10,141,3,77467000,73593650,4001,231,10,4002,230,10,4003,229,10,4006,228,10,4010,227,10,4011,227,10,4012,228,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,270207,2,20521,3,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0,1,11,140,1,68365000,64946750,1001,230,10,1002,229,10,1003,228,10,1005,227,10,1006,226,10,1009,226,10,1010,227,10,1012,226,10,1013,226,10,5003,0,21,10000,22,240,1,238457,2,18110,3,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,1,11,140,2,68365000,64946750,2001,230,10,2011,229,10,2013,228,10,2014,227,10,3001,226,10,3002,226,10,3010,227,10,3011,226,10,3012,226,10,5003,0,21,10000,22,240,1,238457,2,18110,3,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,0,1,11,140,3,68365000,64946750,4001,230,10,4002,229,10,4003,228,10,4006,227,10,4010,226,10,4011,226,10,4012,227,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,238457,2,18110,3,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,1,12,139,1,60071800,57068210,1001,229,10,1002,228,10,1003,227,10,1005,226,10,1006,225,10,1009,225,10,1010,226,10,1012,225,10,1013,225,10,5003,0,21,10000,22,240,1,209529,2,15913,3,3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,0,1,12,139,2,60071800,57068210,2001,229,10,2011,228,10,2013,227,10,2014,226,10,3001,225,10,3002,225,10,3010,226,10,3011,225,10,3012,225,10,5003,0,21,10000,22,240,1,209529,2,15913,3,3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,0,1,12,139,3,60071800,57068210,4001,229,10,4002,228,10,4003,227,10,4006,226,10,4010,225,10,4011,225,10,4012,226,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,209529,2,15913,3,3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,0,1,13,138,1,59373900,56405205,1001,228,10,1002,227,10,1003,226,10,1005,225,10,1006,224,10,1009,224,10,1010,225,10,1012,224,10,1013,224,10,5003,0,21,10000,22,240,1,207096,2,15728,3,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,1,13,138,2,59373900,56405205,2001,228,10,2011,227,10,2013,226,10,2014,225,10,3001,224,10,3002,224,10,3010,225,10,3011,224,10,3012,224,10,5003,0,21,10000,22,240,1,207096,2,15728,3,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,0,1,13,138,3,59373900,56405205,4001,228,10,4002,227,10,4003,226,10,4006,225,10,4010,224,10,4011,224,10,4012,225,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,207096,2,15728,3,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,0,1,14,137,1,58675900,55742105,1001,227,10,1002,226,10,1003,225,10,1005,224,10,1006,223,10,1009,223,10,1010,224,10,1012,223,10,1013,223,10,5003,0,21,10000,22,240,1,204663,2,15543,3,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,0,1,14,137,2,58675900,55742105,2001,227,10,2011,226,10,2013,225,10,2014,224,10,3001,223,10,3002,223,10,3010,224,10,3011,223,10,3012,223,10,5003,0,21,10000,22,240,1,204663,2,15543,3,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,0,1,14,137,3,58675900,55742105,4001,227,10,4002,226,10,4003,225,10,4006,224,10,4010,223,10,4011,223,10,4012,224,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,204663,2,15543,3,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,0,1,15,136,1,57978000,55079100,1001,226,10,1002,225,10,1003,224,10,1005,223,10,1006,222,10,1009,222,10,1010,223,10,1012,222,10,1013,222,10,5003,0,21,10000,22,240,1,202230,2,15358,3,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,0,1,15,136,2,57978000,55079100,2001,226,10,2011,225,10,2013,224,10,2014,223,10,3001,222,10,3002,222,10,3010,223,10,3011,222,10,3012,222,10,5003,0,21,10000,22,240,1,202230,2,15358,3,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,0,1,15,136,3,57978000,55079100,4001,226,10,4002,225,10,4003,224,10,4006,223,10,4010,222,10,4011,222,10,4012,223,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,202230,2,15358,3,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,0,1,16,135,1,57281500,54417425,1001,225,10,1002,224,10,1003,223,10,1005,222,10,1006,221,10,1009,221,10,1010,222,10,1012,221,10,1013,221,10,5003,0,21,10000,22,240,1,199797,2,15174,3,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,1,16,135,2,57281500,54417425,2001,225,10,2011,224,10,2013,223,10,2014,222,10,3001,221,10,3002,221,10,3010,222,10,3011,221,10,3012,221,10,5003,0,21,10000,22,240,1,199797,2,15174,3,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,0,1,16,135,3,57281500,54417425,4001,225,10,4002,224,10,4003,223,10,4006,222,10,4010,221,10,4011,221,10,4012,222,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,199797,2,15174,3,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,1,17,134,1,56583600,53754420,1001,224,10,1002,223,10,1003,222,10,1005,221,10,1006,220,10,1009,220,10,1010,221,10,1012,220,10,1013,220,10,5003,0,21,10000,22,240,1,197364,2,14989,3,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,0,1,17,134,2,56583600,53754420,2001,224,10,2011,223,10,2013,222,10,2014,221,10,3001,220,10,3002,220,10,3010,221,10,3011,220,10,3012,220,10,5003,0,21,10000,22,240,1,197364,2,14989,3,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,0,1,17,134,3,56583600,53754420,4001,224,10,4002,223,10,4003,222,10,4006,221,10,4010,220,10,4011,220,10,4012,221,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,197364,2,14989,3,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,0,1,18,133,1,55885600,53091320,1001,223,10,1002,222,10,1003,221,10,1005,220,10,1006,219,10,1009,219,10,1010,220,10,1012,219,10,1013,219,10,5003,0,21,10000,22,240,1,194931,2,14804,3,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,0,1,18,133,2,55885600,53091320,2001,223,10,2011,222,10,2013,221,10,2014,220,10,3001,219,10,3002,219,10,3010,220,10,3011,219,10,3012,219,10,5003,0,21,10000,22,240,1,194931,2,14804,3,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,0,1,18,133,3,55885600,53091320,4001,223,10,4002,222,10,4003,221,10,4006,220,10,4010,219,10,4011,219,10,4012,220,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,194931,2,14804,3,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,0,1,19,132,1,55187700,52428315,1001,222,10,1002,221,10,1003,220,10,1005,219,10,1006,218,10,1009,218,10,1010,219,10,1012,218,10,1013,218,10,5003,0,21,10000,22,240,1,192498,2,14619,3,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,0,1,19,132,2,55187700,52428315,2001,222,10,2011,221,10,2013,220,10,2014,219,10,3001,218,10,3002,218,10,3010,219,10,3011,218,10,3012,218,10,5003,0,21,10000,22,240,1,192498,2,14619,3,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,0,1,19,132,3,55187700,52428315,4001,222,10,4002,221,10,4003,220,10,4006,219,10,4010,218,10,4011,218,10,4012,219,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,192498,2,14619,3,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,0,1,20,131,1,54489700,51765215,1001,221,10,1002,220,10,1003,219,10,1005,218,10,1006,217,10,1009,217,10,1010,218,10,1012,217,10,1013,217,10,5003,0,21,10000,22,240,1,190065,2,14434,3,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,0,1,20,131,2,54489700,51765215,2001,221,10,2011,220,10,2013,219,10,2014,218,10,3001,217,10,3002,217,10,3010,218,10,3011,217,10,3012,217,10,5003,0,21,10000,22,240,1,190065,2,14434,3,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,0,1,20,131,3,54489700,51765215,4001,221,10,4002,220,10,4003,219,10,4006,218,10,4010,217,10,4011,217,10,4012,218,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,190065,2,14434,3,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,0,1,21,130,1,53793300,51103635,1001,220,10,1002,219,10,1003,218,10,1005,217,10,1006,216,10,1009,216,10,1010,217,10,1012,216,10,1013,216,10,5003,0,21,10000,22,240,1,187632,2,14250,3,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2,0,1,21,130,2,53793300,51103635,2001,220,10,2011,219,10,2013,218,10,2014,217,10,3001,216,10,3002,216,10,3010,217,10,3011,216,10,3012,216,10,5003,0,21,10000,22,240,1,187632,2,14250,3,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,1,21,130,3,53793300,51103635,4001,220,10,4002,219,10,4003,218,10,4006,217,10,4010,216,10,4011,216,10,4012,217,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,187632,2,14250,3,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,0,1,22,129,1,53095300,50440535,1001,219,10,1002,218,10,1003,217,10,1005,216,10,1006,215,10,1009,215,10,1010,216,10,1012,215,10,1013,215,10,5003,0,21,10000,22,240,1,185199,2,14065,3,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,0,1,22,129,2,53095300,50440535,2001,219,10,2011,218,10,2013,217,10,2014,216,10,3001,215,10,3002,215,10,3010,216,10,3011,215,10,3012,215,10,5003,0,21,10000,22,240,1,185199,2,14065,3,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,0,1,22,129,3,53095300,50440535,4001,219,10,4002,218,10,4003,217,10,4006,216,10,4010,215,10,4011,215,10,4012,216,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,185199,2,14065,3,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2,0,1,23,128,1,52397400,49777530,1001,218,10,1002,217,10,1003,216,10,1005,215,10,1006,214,10,1009,214,10,1010,215,10,1012,214,10,1013,214,10,5003,0,21,10000,22,240,1,182766,2,13880,3,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,0,1,23,128,2,52397400,49777530,2001,218,10,2011,217,10,2013,216,10,2014,215,10,3001,214,10,3002,214,10,3010,215,10,3011,214,10,3012,214,10,5003,0,21,10000,22,240,1,182766,2,13880,3,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,0,1,23,128,3,52397400,49777530,4001,218,10,4002,217,10,4003,216,10,4006,215,10,4010,214,10,4011,214,10,4012,215,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,182766,2,13880,3,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,0,1,24,127,1,51699400,49114430,1001,217,10,1002,216,10,1003,215,10,1005,214,10,1006,213,10,1009,213,10,1010,214,10,1012,213,10,1013,213,10,5003,0,21,10000,22,240,1,180333,2,13695,3,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,0,1,24,127,2,51699400,49114430,2001,217,10,2011,216,10,2013,215,10,2014,214,10,3001,213,10,3002,213,10,3010,214,10,3011,213,10,3012,213,10,5003,0,21,10000,22,240,1,180333,2,13695,3,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,0,1,24,127,3,51699400,49114430,4001,217,10,4002,216,10,4003,215,10,4006,214,10,4010,213,10,4011,213,10,4012,214,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,180333,2,13695,3,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,0,1,25,126,1,51003000,48452850,1001,216,10,1002,215,10,1003,214,10,1005,213,10,1006,212,10,1009,212,10,1010,213,10,1012,212,10,1013,212,10,5003,0,21,10000,22,240,1,177900,2,13511,3,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,0,1,25,126,2,51003000,48452850,2001,216,10,2011,215,10,2013,214,10,2014,213,10,3001,212,10,3002,212,10,3010,213,10,3011,212,10,3012,212,10,5003,0,21,10000,22,240,1,177900,2,13511,3,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,0,1,25,126,3,51003000,48452850,4001,216,10,4002,215,10,4003,214,10,4006,213,10,4010,212,10,4011,212,10,4012,213,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,177900,2,13511,3,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,0,1,26,125,1,50306500,47791175,1001,215,10,1002,214,10,1003,213,10,1005,212,10,1006,211,10,1009,211,10,1010,212,10,1012,211,10,1013,211,10,5003,0,21,10000,22,240,1,175467,2,13326,3,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,0,1,26,125,2,50306500,47791175,2001,215,10,2011,214,10,2013,213,10,2014,212,10,3001,211,10,3002,211,10,3010,212,10,3011,211,10,3012,211,10,5003,0,21,10000,22,240,1,175467,2,13326,3,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,0,1,26,125,3,50306500,47791175,4001,215,10,4002,214,10,4003,213,10,4006,212,10,4010,211,10,4011,211,10,4012,212,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,175467,2,13326,3,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,0,1,27,124,1,49608600,47128170,1001,214,10,1002,213,10,1003,212,10,1005,211,10,1006,210,10,1009,210,10,1010,211,10,1012,210,10,1013,210,10,5003,0,21,10000,22,240,1,173034,2,13141,3,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,0,1,27,124,2,49608600,47128170,2001,214,10,2011,213,10,2013,212,10,2014,211,10,3001,210,10,3002,210,10,3010,211,10,3011,210,10,3012,210,10,5003,0,21,10000,22,240,1,173034,2,13141,3,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,0,1,27,124,3,49608600,47128170,4001,214,10,4002,213,10,4003,212,10,4006,211,10,4010,210,10,4011,210,10,4012,211,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,173034,2,13141,3,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,0,1,28,123,1,48910600,46465070,1001,213,10,1002,212,10,1003,211,10,1005,210,10,1006,209,10,1009,209,10,1010,210,10,1012,209,10,1013,209,10,5003,0,21,10000,22,240,1,170601,2,12956,3,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,0,1,28,123,2,48910600,46465070,2001,213,10,2011,212,10,2013,211,10,2014,210,10,3001,209,10,3002,209,10,3010,210,10,3011,209,10,3012,209,10,5003,0,21,10000,22,240,1,170601,2,12956,3,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,0,1,28,123,3,48910600,46465070,4001,213,10,4002,212,10,4003,211,10,4006,210,10,4010,209,10,4011,209,10,4012,210,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,170601,2,12956,3,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2,0,1,29,122,1,48212700,45802065,1001,212,10,1002,211,10,1003,210,10,1005,209,10,1006,208,10,1009,208,10,1010,209,10,1012,208,10,1013,208,10,5003,0,21,10000,22,240,1,168168,2,12771,3,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,0,1,29,122,2,48212700,45802065,2001,212,10,2011,211,10,2013,210,10,2014,209,10,3001,208,10,3002,208,10,3010,209,10,3011,208,10,3012,208,10,5003,0,21,10000,22,240,1,168168,2,12771,3,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,0,1,29,122,3,48212700,45802065,4001,212,10,4002,211,10,4003,210,10,4006,209,10,4010,208,10,4011,208,10,4012,209,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,168168,2,12771,3,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,0,1,30,121,1,47516200,45140390,1001,211,10,1002,210,10,1003,209,10,1005,208,10,1006,207,10,1009,207,10,1010,208,10,1012,207,10,1013,207,10,5003,0,21,10000,22,240,1,165735,2,12587,3,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,0,1,30,121,2,47516200,45140390,2001,211,10,2011,210,10,2013,209,10,2014,208,10,3001,207,10,3002,207,10,3010,208,10,3011,207,10,3012,207,10,5003,0,21,10000,22,240,1,165735,2,12587,3,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,0,1,30,121,3,47516200,45140390,4001,211,10,4002,210,10,4003,209,10,4006,208,10,4010,207,10,4011,207,10,4012,208,10,0,0,0,0,0,0,5003,0,21,10000,22,240,1,165735,2,12587,3,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
