base_id,mode,loop,nature,path,bank,explain,name,switch,switch_value
2005,2D,0,1,UI/zizhi,UI,资质激活,zizhi,0,0
2006,2D,0,1,UI/jiesuan,UI,升星/宿命激活/天赋升级/附魔，大弹框结算,jiesuan,0,0
2007,2D,0,1,UI/yeqian,UI,页签选择，切换,yeqian,0,0
2008,2D,0,1,UI/click_building_002,UI,商会,click_building_002,0,0
2009,2D,0,1,UI/click_building_004,UI,魔巢,click_building_004,0,0
2010,2D,0,1,UI/click_building_001,UI,神殿,click_building_001,0,0
2011,2D,0,1,UI/click_team,UI,军团,click_team,0,0
2012,2D,0,1,UI/click_hero,UI,领主,click_hero,0,0
2013,2D,0,1,UI/click_world,UI,战役,click_world,0,0
2014,2D,0,1,UI/click_building_005,UI,排行榜,click_building_005,0,0
2020,2D,0,1,UI/shift,UI,切换主角性别,shift,0,0
2021,2D,0,1,UI/dice,UI,随机主角名字,dice,0,0
2022,2D,0,1,UI/entergame,UI,主角确认音效,entergame,0,0
2023,2D,0,1,UI/entercountry,UI,阵营确认音效,entercountry,0,0
2024,2D,0,1,UI/jiaoting,UI,选择教廷,jiaoting,0,0
2025,2D,0,1,UI/lianbang,UI,选择帝国,lianbang,0,0
2026,2D,0,1,UI/diguo,UI,选择联邦,diguo,0,0
2030,2D,0,1,UI/entermagic,UI,小游戏进入音效,entermagic,0,0
2031,2D,0,1,UI/magicclick,UI,小游戏点击音效,magicclick,0,0
2032,2D,0,1,UI/linelink,UI,小游戏连接音效,linelink,0,0
2033,2D,0,1,UI/magicfinish,UI,小游戏完成音效，法阵转动→背景光效→转场音效,magicfinish,0,0
6001,2D,1,1,Ambience/C1_fengsha,Ambience,风沙声,C1_fengsha,0,0
6002,2D,1,1,Ambience/C1_wakuang,Ambience,挖矿声,C1_wakuang,0,0
6003,2D,1,1,Ambience/C1_longxi,Ambience,龙呼吸声,C1_longxi,0,0
6004,2D,0,1,Ambience/C1_longhou,Ambience,单独的龙怒吼,C1_longhou,0,0
6005,2D,1,1,Ambience/zhanma,Ambience,战马奔驰,zhanma,0,0
6006,2D,0,1,Ambience/chuansong,Ambience,传送门打开,chuansong,0,0
6007,2D,0,1,Ambience/miwu,Ambience,迷雾揭开时的音效,miwu,0,0
6008,2D,1,1,Ambience/C2_xue,Ambience,雪声,C2_xue,0,0
6009,2D,1,1,Ambience/C1_yu,Ambience,雨声,C1_yu,0,0
6010,2D,0,1,Ambience/C1_lei,Ambience,雷声,C1_lei,0,0
