num,name1,name2,name3
64,龙吟,詹姆斯,仙蒂
65,鹰巢,乔治,布伦达
66,赤焰,戴维德,雪莉
67,赤界,魏尔德,罗伯塔
68,苍狮,哈里斯,贝丝
69,赤锋,格里芬,蒙莉萨
70,狂锤,基思,谢尔达
71,狂狮,安德森,乔治亚
72,赤夜,理查森,凯莉
73,赤谷,艾伯特,玛佩尔
74,狂牛,墨菲,英格丽
75,赤鸟,波普,泰丝
76,鱼颅,伍德,赫达
77,塞壬,魏尔德,希贝儿
78,羽蛇,埃拉,璐易丝
79,半龙,费迪南,珍尼丝
80,炎龙,贝克,莉斯
81,毒狼,爱德华,布兰琪
82,狱犬,基恩,杰奎琳
83,鹰狮,嘉图,贝尔
84,蝎狮,贾德,朱恩
85,赤风,布赖特,比尤莱
86,火雨,库克,诺维雅
87,恶狼,弗兰克,梵妮
88,魔夜,辛普森,凯伦
89,幽夜,托比,苏珊
90,狂电,伯纳德,莫妮卡
91,蛮云,道尔蒂,安妮
92,熔岩,奥卡姆,昆娜
93,食月,科尔,珍尼丝
94,漩涡,库克,葛瑞丝
95,赤电,阿德拉,艾比盖
96,雷暴,亚当斯,爱柏塔
97,深海,马洛,阿芙拉
98,深冬,格林,黛娜
99,啸锋,汉森,费滋
100,秘银,威尔逊,爱勒贝
101,毁灭,米切尔,希贝儿
102,猎鹰,锡西,耶芙特
103,猎龙,泰勒,梵妮
104,织法,莫里森,莎芭丝
105,暗影,劳伦斯,瑟雅
106,阳鳞,邓肯,奥薇尔
107,巨蜂,赫蒂,艾丽卡
108,尖刺,加斯克,维基
109,飓风,吉本,维尔莉
110,火喉,奥斯汀,多琳
111,寒冰,巴特利,梅薇思
112,寒夜,克拉,珀莉
113,烈焰,吉姆,奥莉亚
114,龙骨,汉森,维妮亚
115,飞虎,巴特利,温妮
116,冥骨,道尔顿,曼蒂
117,怒爪,麦克,艾琳娜
118,孤狼,查尔斯,艾米莉
119,神圣,霍恩比,赫达
120,巨鲸,斯密斯,嘉比拉
121,鬼灵,波利特,林赛
122,龙爪,格雷西,普莉斯
123,天罡,马库斯,多莉丝
124,狂龙,罗威尔,梅莉
125,巨龙,巴特利,厄休拉
126,天罗,艾比盖,伊莲恩
127,风刃,爱柏塔,莫妮卡
128,银章,阿芙拉,汉妮
129,猛虎,黛娜,莉达
130,混乱,费滋,赛拉
131,破碎,爱勒贝,杜达
132,湮灭,希贝儿,吉榭尔
133,临冬,耶芙特,德博拉
134,拂晓,梵妮,约瑟芬
135,黑铁,莎芭丝,玛丽安
136,鬼泣,瑟雅,达莲娜
137,横刀,奥薇尔,凯丝
138,雷矛,艾丽卡,梅薇思
139,灰鬓,维基,凯伦
140,追风,维尔莉,优娜
141,语月,多琳,麦格
142,锐角,梅薇思,布伦达
143,月翼,珀莉,鲁思
144,猎月,奥莉亚,葛瑞丝
145,追月,维妮亚,克里斯
146,静刃,温妮,莉达
147,射月,曼蒂,瓦勒莉
148,昼行,艾琳娜,托比
149,迅刃,艾米莉,贝芙丽
150,黑盾,赫达,维达
151,金刺,嘉比拉,艾琳
152,暗叶,安妮,米兰达
153,星铸,女伯爵,安妮
154,深影,精灵,阿芙拉
155,魂歌,女王,阿尔娃
156,心矛,歌者,瑞伊
157,破云,诗人,坎蒂丝
158,影衣,黛丝,黛安娜
159,火夜,伊莎,优娜
160,光刃,玛姬,洛伊丝
161,晨行,切莉,贝丝
162,晨峰,黛安娜,艾薇
163,赤喉,卡瑞达,艾德文
164,影歌,南茜,艾尔玛
165,烈酒,凯罗尔,芬妮
166,刃拳,格瑞塔,仙蒂
167,黑手,凯莉,梵妮
168,霜狼,西尔维,珀莉
169,火鹰,海伦,布兰琪
170,火翼,桑德拉,罗瑞亚
171,炙痕,瑞加娜,安贝尔
172,月蚀,芬妮,莎莉
173,炎刃,艾莉森,罗伯塔
174,炎鹰,菲奥纳,贝蒂
175,晨锋,娜塔莉,瓦勒莉
176,火纹,切尔西,迪得莉
177,火芒,莫琳,雷思丽
178,火语,沙琳,妮可拉
179,明翼,瑞娅,穆得
180,光痕,洛丽丝,唐娜
181,鹰眼,露露,潘妮
182,鹰盔,莱瑞拉,乔治亚
183,红箭,桑德拉,维娜
184,远步,爱沙拉,昆蒂娜
185,秘誓,丝特拉,希拉
186,魂夜,妮可,伊夫林
187,黑魂,伊夫林,芝妮雅
188,炽光,芝妮雅,爱葛妮
189,夜锋,爱葛妮,艾丝翠
190,流沙,艾丝翠,伊莎蓓
191,风暴,伊莎蓓,玛丽
192,蛮雷,玛丽,百丽儿
193,光明,百丽儿,莉斯
194,沉影,莉斯,克洛怡
195,沉夜,克洛怡,贝蒂
196,沉风,贝蒂,伊莲恩
197,沉黑,伊莲恩,朱莉娅
198,刃夜,朱莉娅,伊甸
199,刃铁,伊甸,琴
200,刃光,希拉,菲莉帕
