id,lotteryid,description,chance,type,groupid,groupwt,itemid,itemdes,itemwt,min,max
28,2004,普通关卡-2种4阶,10000,1,101,100,30102004,水元素碎片,100,1,2
29,2005,普通关卡-2种5阶,10000,1,101,100,30102005,水元素碎片+1,100,1,2
30,2006,普通关卡-2种6阶,10000,1,101,100,30102006,水元素碎片+2,100,1,2
31,2007,普通关卡-2种7阶,10000,1,101,100,30102007,水元素碎块,100,1,2
32,2008,普通关卡-2种8阶,10000,1,101,100,30102008,水元素碎块+1,100,1,2
33,2009,普通关卡-2种9阶,10000,1,101,100,30102009,水元素碎块+2,100,1,2
34,2010,普通关卡-2种10阶,10000,1,101,100,30102010,水元素晶体,100,1,2
35,2011,普通关卡-2种11阶,10000,1,101,100,30102011,水元素晶体+1,100,1,2
36,2012,普通关卡-2种12阶,10000,1,101,100,30102012,水元素晶体+2,100,1,2
37,2013,普通关卡-2种13阶,10000,1,101,100,30102013,水元素原石,100,1,2
38,2014,普通关卡-2种14阶,10000,1,101,100,30102014,水元素原石+1,100,1,2
39,2015,普通关卡-2种15阶,10000,1,101,100,30102015,水元素原石+2,100,1,2
40,2016,普通关卡-2种16阶,10000,1,101,100,30102016,水元素宝石,100,1,2
41,2017,普通关卡-2种17阶,10000,1,101,100,30102017,水元素宝石+1,100,1,2
42,2018,普通关卡-2种18阶,10000,1,101,100,30102018,水元素宝石+2,100,1,2
43,3001,普通关卡-3种1阶,10000,1,101,100,30103001,火元素粉尘,100,1,2
44,3002,普通关卡-3种2阶,10000,1,101,100,30103002,火元素粉尘+1,100,1,2
45,3003,普通关卡-3种3阶,10000,1,101,100,30103003,火元素粉尘+2,100,1,2
46,3004,普通关卡-3种4阶,10000,1,101,100,30103004,火元素碎片,100,1,2
47,3005,普通关卡-3种5阶,10000,1,101,100,30103005,火元素碎片+1,100,1,2
48,3006,普通关卡-3种6阶,10000,1,101,100,30103006,火元素碎片+2,100,1,2
49,3007,普通关卡-3种7阶,10000,1,101,100,30103007,火元素碎块,100,1,2
50,3008,普通关卡-3种8阶,10000,1,101,100,30103008,火元素碎块+1,100,1,2
51,3009,普通关卡-3种9阶,10000,1,101,100,30103009,火元素碎块+2,100,1,2
52,3010,普通关卡-3种10阶,10000,1,101,100,30103010,火元素晶体,100,1,2
53,3011,普通关卡-3种11阶,10000,1,101,100,30103011,火元素晶体+1,100,1,2
54,3012,普通关卡-3种12阶,10000,1,101,100,30103012,火元素晶体+2,100,1,2
55,3013,普通关卡-3种13阶,10000,1,101,100,30103013,火元素原石,100,1,2
56,3014,普通关卡-3种14阶,10000,1,101,100,30103014,火元素原石+1,100,1,2
57,3015,普通关卡-3种15阶,10000,1,101,100,30103015,火元素原石+2,100,1,2
58,3016,普通关卡-3种16阶,10000,1,101,100,30103016,火元素宝石,100,1,2
59,3017,普通关卡-3种17阶,10000,1,101,100,30103017,火元素宝石+1,100,1,2
60,3018,普通关卡-3种18阶,10000,1,101,100,30103018,火元素宝石+2,100,1,2
61,4001,普通关卡-4种1阶,10000,1,101,100,30104001,风元素粉尘,100,1,2
62,4002,普通关卡-4种2阶,10000,1,101,100,30104002,风元素粉尘+1,100,1,2
63,4003,普通关卡-4种3阶,10000,1,101,100,30104003,风元素粉尘+2,100,1,2
64,4004,普通关卡-4种4阶,10000,1,101,100,30104004,风元素碎片,100,1,2
65,4005,普通关卡-4种5阶,10000,1,101,100,30104005,风元素碎片+1,100,1,2
66,4006,普通关卡-4种6阶,10000,1,101,100,30104006,风元素碎片+2,100,1,2
67,4007,普通关卡-4种7阶,10000,1,101,100,30104007,风元素碎块,100,1,2
68,4008,普通关卡-4种8阶,10000,1,101,100,30104008,风元素碎块+1,100,1,2
69,4009,普通关卡-4种9阶,10000,1,101,100,30104009,风元素碎块+2,100,1,2
70,4010,普通关卡-4种10阶,10000,1,101,100,30104010,风元素晶体,100,1,2
71,4011,普通关卡-4种11阶,10000,1,101,100,30104011,风元素晶体+1,100,1,2
72,4012,普通关卡-4种12阶,10000,1,101,100,30104012,风元素晶体+2,100,1,2
73,4013,普通关卡-4种13阶,10000,1,101,100,30104013,风元素原石,100,1,2
74,4014,普通关卡-4种14阶,10000,1,101,100,30104014,风元素原石+1,100,1,2
75,4015,普通关卡-4种15阶,10000,1,101,100,30104015,风元素原石+2,100,1,2
76,4016,普通关卡-4种16阶,10000,1,101,100,30104016,风元素宝石,100,1,2
77,4017,普通关卡-4种17阶,10000,1,101,100,30104017,风元素宝石+1,100,1,2
78,4018,普通关卡-4种18阶,10000,1,101,100,30104018,风元素宝石+2,100,1,2
79,5001,普通关卡-5种1阶,10000,1,101,100,30105001,光元素粉尘,100,1,2
80,5002,普通关卡-5种2阶,10000,1,101,100,30105002,光元素粉尘+1,100,1,2
81,5003,普通关卡-5种3阶,10000,1,101,100,30105003,光元素粉尘+2,100,1,2
82,5004,普通关卡-5种4阶,10000,1,101,100,30105004,光元素碎片,100,1,2
83,5005,普通关卡-5种5阶,10000,1,101,100,30105005,光元素碎片+1,100,1,2
84,5006,普通关卡-5种6阶,10000,1,101,100,30105006,光元素碎片+2,100,1,2
85,5007,普通关卡-5种7阶,10000,1,101,100,30105007,光元素碎块,100,1,2
86,5008,普通关卡-5种8阶,10000,1,101,100,30105008,光元素碎块+1,100,1,2
87,5009,普通关卡-5种9阶,10000,1,101,100,30105009,光元素碎块+2,100,1,2
88,5010,普通关卡-5种10阶,10000,1,101,100,30105010,光元素晶体,100,1,2
89,5011,普通关卡-5种11阶,10000,1,101,100,30105011,光元素晶体+1,100,1,2
90,5012,普通关卡-5种12阶,10000,1,101,100,30105012,光元素晶体+2,100,1,2
91,5013,普通关卡-5种13阶,10000,1,101,100,30105013,光元素原石,100,1,2
92,5014,普通关卡-5种14阶,10000,1,101,100,30105014,光元素原石+1,100,1,2
93,5015,普通关卡-5种15阶,10000,1,101,100,30105015,光元素原石+2,100,1,2
94,5016,普通关卡-5种16阶,10000,1,101,100,30105016,光元素宝石,100,1,2
95,5017,普通关卡-5种17阶,10000,1,101,100,30105017,光元素宝石+1,100,1,2
96,5018,普通关卡-5种18阶,10000,1,101,100,30105018,光元素宝石+2,100,1,2
97,6001,普通关卡-6种1阶,10000,1,101,100,30106001,暗元素粉尘,100,1,2
98,6002,普通关卡-6种2阶,10000,1,101,100,30106002,暗元素粉尘+1,100,1,2
99,6003,普通关卡-6种3阶,10000,1,101,100,30106003,暗元素粉尘+2,100,1,2
100,6004,普通关卡-6种4阶,10000,1,101,100,30106004,暗元素碎片,100,1,2
101,6005,普通关卡-6种5阶,10000,1,101,100,30106005,暗元素碎片+1,100,1,2
102,6006,普通关卡-6种6阶,10000,1,101,100,30106006,暗元素碎片+2,100,1,2
103,6007,普通关卡-6种7阶,10000,1,101,100,30106007,暗元素碎块,100,1,2
104,6008,普通关卡-6种8阶,10000,1,101,100,30106008,暗元素碎块+1,100,1,2
105,6009,普通关卡-6种9阶,10000,1,101,100,30106009,暗元素碎块+2,100,1,2
106,6010,普通关卡-6种10阶,10000,1,101,100,30106010,暗元素晶体,100,1,2
107,6011,普通关卡-6种11阶,10000,1,101,100,30106011,暗元素晶体+1,100,1,2
108,6012,普通关卡-6种12阶,10000,1,101,100,30106012,暗元素晶体+2,100,1,2
109,6013,普通关卡-6种13阶,10000,1,101,100,30106013,暗元素原石,100,1,2
110,6014,普通关卡-6种14阶,10000,1,101,100,30106014,暗元素原石+1,100,1,2
111,6015,普通关卡-6种15阶,10000,1,101,100,30106015,暗元素原石+2,100,1,2
112,6016,普通关卡-6种16阶,10000,1,101,100,30106016,暗元素宝石,100,1,2
113,6017,普通关卡-6种17阶,10000,1,101,100,30106017,暗元素宝石+1,100,1,2
114,6018,普通关卡-6种18阶,10000,1,101,100,30106018,暗元素宝石+2,100,1,2
115,7001,普通关卡-7种1阶,10000,1,101,100,30101001,地元素粉尘,100,1,2
116,7001,普通关卡-7种1阶,0,1,101,0,30102001,水元素粉尘,100,1,2
117,7001,普通关卡-7种1阶,0,1,101,0,30103001,火元素粉尘,100,1,2
118,8001,普通关卡-8种1阶,10000,1,101,100,30104001,风元素粉尘,100,1,2
119,8001,普通关卡-8种1阶,0,1,101,0,30105001,光元素粉尘,100,1,2
120,8001,普通关卡-8种1阶,0,1,101,0,30106001,暗元素粉尘,100,1,2
121,7002,普通关卡-7种2阶,10000,1,101,100,30101002,地元素粉尘+1,100,1,2
122,7002,普通关卡-7种2阶,0,1,101,0,30102002,水元素粉尘+1,100,1,2
123,7002,普通关卡-7种2阶,0,1,101,0,30103002,火元素粉尘+1,100,1,2
124,8002,普通关卡-8种2阶,10000,1,101,100,30104002,风元素粉尘+1,100,1,2
125,8002,普通关卡-8种2阶,0,1,101,0,30105002,光元素粉尘+1,100,1,2
126,8002,普通关卡-8种2阶,0,1,101,0,30106002,暗元素粉尘+1,100,1,2
127,7003,普通关卡-7种3阶,10000,1,101,100,30101003,地元素粉尘+2,100,1,2
128,7003,普通关卡-7种3阶,0,1,101,0,30102003,水元素粉尘+2,100,1,2
129,7003,普通关卡-7种3阶,0,1,101,0,30103003,火元素粉尘+2,100,1,2
130,8003,普通关卡-8种3阶,10000,1,101,100,30104003,风元素粉尘+2,100,1,2
131,8003,普通关卡-8种3阶,0,1,101,0,30105003,光元素粉尘+2,100,1,2
132,8003,普通关卡-8种3阶,0,1,101,0,30106003,暗元素粉尘+2,100,1,2
133,7004,普通关卡-7种4阶,10000,1,101,100,30101004,地元素碎片,100,1,2
134,7004,普通关卡-7种4阶,0,1,101,0,30102004,水元素碎片,100,1,2
135,7004,普通关卡-7种4阶,0,1,101,0,30103004,火元素碎片,100,1,2
136,8004,普通关卡-8种4阶,10000,1,101,100,30104004,风元素碎片,100,1,2
137,8004,普通关卡-8种4阶,0,1,101,0,30105004,光元素碎片,100,1,2
138,8004,普通关卡-8种4阶,0,1,101,0,30106004,暗元素碎片,100,1,2
139,7005,普通关卡-7种5阶,10000,1,101,100,30101005,地元素碎片+1,100,1,2
140,7005,普通关卡-7种5阶,0,1,101,0,30102005,水元素碎片+1,100,1,2
141,7005,普通关卡-7种5阶,0,1,101,0,30103005,火元素碎片+1,100,1,2
142,8005,普通关卡-8种5阶,10000,1,101,100,30104005,风元素碎片+1,100,1,2
143,8005,普通关卡-8种5阶,0,1,101,0,30105005,光元素碎片+1,100,1,2
144,8005,普通关卡-8种5阶,0,1,101,0,30106005,暗元素碎片+1,100,1,2
145,7006,普通关卡-7种6阶,10000,1,101,100,30101006,地元素碎片+2,100,1,2
146,7006,普通关卡-7种6阶,0,1,101,0,30102006,水元素碎片+2,100,1,2
147,7006,普通关卡-7种6阶,0,1,101,0,30103006,火元素碎片+2,100,1,2
148,8006,普通关卡-8种6阶,10000,1,101,100,30104006,风元素碎片+2,100,1,2
149,8006,普通关卡-8种6阶,0,1,101,0,30105006,光元素碎片+2,100,1,2
150,8006,普通关卡-8种6阶,0,1,101,0,30106006,暗元素碎片+2,100,1,2
151,7007,普通关卡-7种7阶,10000,1,101,100,30101007,地元素碎块,100,1,2
152,7007,普通关卡-7种7阶,0,1,101,0,30102007,水元素碎块,100,1,2
153,7007,普通关卡-7种7阶,0,1,101,0,30103007,火元素碎块,100,1,2
154,8007,普通关卡-8种7阶,10000,1,101,100,30104007,风元素碎块,100,1,2
155,8007,普通关卡-8种7阶,0,1,101,0,30105007,光元素碎块,100,1,2
156,8007,普通关卡-8种7阶,0,1,101,0,30106007,暗元素碎块,100,1,2
157,7008,普通关卡-7种8阶,10000,1,101,100,30101008,地元素碎块+1,100,1,2
158,7008,普通关卡-7种8阶,0,1,101,0,30102008,水元素碎块+1,100,1,2
159,7008,普通关卡-7种8阶,0,1,101,0,30103008,火元素碎块+1,100,1,2
160,8008,普通关卡-8种8阶,10000,1,101,100,30104008,风元素碎块+1,100,1,2
161,8008,普通关卡-8种8阶,0,1,101,0,30105008,光元素碎块+1,100,1,2
162,8008,普通关卡-8种8阶,0,1,101,0,30106008,暗元素碎块+1,100,1,2
163,7009,普通关卡-7种9阶,10000,1,101,100,30101009,地元素碎块+2,100,1,2
164,7009,普通关卡-7种9阶,0,1,101,0,30102009,水元素碎块+2,100,1,2
165,7009,普通关卡-7种9阶,0,1,101,0,30103009,火元素碎块+2,100,1,2
166,8009,普通关卡-8种9阶,10000,1,101,100,30104009,风元素碎块+2,100,1,2
167,8009,普通关卡-8种9阶,0,1,101,0,30105009,光元素碎块+2,100,1,2
168,8009,普通关卡-8种9阶,0,1,101,0,30106009,暗元素碎块+2,100,1,2
169,7010,普通关卡-7种10阶,10000,1,101,100,30101010,地元素晶体,100,1,2
170,7010,普通关卡-7种10阶,0,1,101,0,30102010,水元素晶体,100,1,2
171,7010,普通关卡-7种10阶,0,1,101,0,30103010,火元素晶体,100,1,2
172,8010,普通关卡-8种10阶,10000,1,101,100,30104010,风元素晶体,100,1,2
173,8010,普通关卡-8种10阶,0,1,101,0,30105010,光元素晶体,100,1,2
174,8010,普通关卡-8种10阶,0,1,101,0,30106010,暗元素晶体,100,1,2
175,7011,普通关卡-7种11阶,10000,1,101,100,30101011,地元素晶体+1,100,1,2
176,7011,普通关卡-7种11阶,0,1,101,0,30102011,水元素晶体+1,100,1,2
177,7011,普通关卡-7种11阶,0,1,101,0,30103011,火元素晶体+1,100,1,2
178,8011,普通关卡-8种11阶,10000,1,101,100,30104011,风元素晶体+1,100,1,2
179,8011,普通关卡-8种11阶,0,1,101,0,30105011,光元素晶体+1,100,1,2
180,8011,普通关卡-8种11阶,0,1,101,0,30106011,暗元素晶体+1,100,1,2
181,7012,普通关卡-7种12阶,10000,1,101,100,30101012,地元素晶体+2,100,1,2
182,7012,普通关卡-7种12阶,0,1,101,0,30102012,水元素晶体+2,100,1,2
183,7012,普通关卡-7种12阶,0,1,101,0,30103012,火元素晶体+2,100,1,2
184,8012,普通关卡-8种12阶,10000,1,101,100,30104012,风元素晶体+2,100,1,2
185,8012,普通关卡-8种12阶,0,1,101,0,30105012,光元素晶体+2,100,1,2
186,8012,普通关卡-8种12阶,0,1,101,0,30106012,暗元素晶体+2,100,1,2
187,7013,普通关卡-7种13阶,10000,1,101,100,30101013,地元素原石,100,1,2
188,7013,普通关卡-7种13阶,0,1,101,0,30102013,水元素原石,100,1,2
189,7013,普通关卡-7种13阶,0,1,101,0,30103013,火元素原石,100,1,2
190,8013,普通关卡-8种13阶,10000,1,101,100,30104013,风元素原石,100,1,2
191,8013,普通关卡-8种13阶,0,1,101,0,30105013,光元素原石,100,1,2
192,8013,普通关卡-8种13阶,0,1,101,0,30106013,暗元素原石,100,1,2
193,7014,普通关卡-7种14阶,10000,1,101,100,30101014,地元素原石+1,100,1,2
194,7014,普通关卡-7种14阶,0,1,101,0,30102014,水元素原石+1,100,1,2
195,7014,普通关卡-7种14阶,0,1,101,0,30103014,火元素原石+1,100,1,2
196,8014,普通关卡-8种14阶,10000,1,101,100,30104014,风元素原石+1,100,1,2
197,8014,普通关卡-8种14阶,0,1,101,0,30105014,光元素原石+1,100,1,2
198,8014,普通关卡-8种14阶,0,1,101,0,30106014,暗元素原石+1,100,1,2
199,7015,普通关卡-7种15阶,10000,1,101,100,30101015,地元素原石+2,100,1,2
200,7015,普通关卡-7种15阶,0,1,101,0,30102015,水元素原石+2,100,1,2
201,7015,普通关卡-7种15阶,0,1,101,0,30103015,火元素原石+2,100,1,2
202,8015,普通关卡-8种15阶,10000,1,101,100,30104015,风元素原石+2,100,1,2
203,8015,普通关卡-8种15阶,0,1,101,0,30105015,光元素原石+2,100,1,2
204,8015,普通关卡-8种15阶,0,1,101,0,30106015,暗元素原石+2,100,1,2
205,7016,普通关卡-7种16阶,10000,1,101,100,30101016,地元素宝石,100,1,2
206,7016,普通关卡-7种16阶,0,1,101,0,30102016,水元素宝石,100,1,2
207,7016,普通关卡-7种16阶,0,1,101,0,30103016,火元素宝石,100,1,2
208,8016,普通关卡-8种16阶,10000,1,101,100,30104016,风元素宝石,100,1,2
209,8016,普通关卡-8种16阶,0,1,101,0,30105016,光元素宝石,100,1,2
210,8016,普通关卡-8种16阶,0,1,101,0,30106016,暗元素宝石,100,1,2
211,7017,普通关卡-7种17阶,10000,1,101,100,30101017,地元素宝石+1,100,1,2
212,7017,普通关卡-7种17阶,0,1,101,0,30102017,水元素宝石+1,100,1,2
213,7017,普通关卡-7种17阶,0,1,101,0,30103017,火元素宝石+1,100,1,2
214,8017,普通关卡-8种17阶,10000,1,101,100,30104017,风元素宝石+1,100,1,2
215,8017,普通关卡-8种17阶,0,1,101,0,30105017,光元素宝石+1,100,1,2
216,8017,普通关卡-8种17阶,0,1,101,0,30106017,暗元素宝石+1,100,1,2
217,7018,普通关卡-7种18阶,10000,1,101,100,30101018,地元素宝石+2,100,1,2
218,7018,普通关卡-7种18阶,0,1,101,0,30102018,水元素宝石+2,100,1,2
219,7018,普通关卡-7种18阶,0,1,101,0,30103018,火元素宝石+2,100,1,2
220,8018,普通关卡-8种18阶,10000,1,101,100,30104018,风元素宝石+2,100,1,2
221,8018,普通关卡-8种18阶,0,1,101,0,30105018,光元素宝石+2,100,1,2
222,8018,普通关卡-8种18阶,0,1,101,0,30106018,暗元素宝石+2,100,1,2
223,10001,精英关卡-1种2阶,10000,2,101,10000,91000001,金币,100,1000,1000
224,10001,精英关卡-1种2阶,0,2,102,10000,21000011,龙牙长剑碎片,100,2,3
225,10001,精英关卡-1种2阶,0,2,103,1000,20000011,龙牙长剑,100,1,1
226,10002,精英关卡-2种2阶,10000,2,101,10000,91000001,金币,100,1000,1000
227,10002,精英关卡-2种2阶,0,2,102,10000,21000012,龙牙之戒碎片,100,2,3
228,10002,精英关卡-2种2阶,0,2,103,1000,20000012,龙牙之戒,100,1,1
229,10003,精英关卡-3种2阶,10000,2,101,10000,91000001,金币,100,1000,1000
230,10003,精英关卡-3种2阶,0,2,102,10000,21000013,龙牙拳套碎片,100,2,3
231,10003,精英关卡-3种2阶,0,2,103,1000,20000013,龙牙拳套,100,1,1
232,10004,精英关卡-4种2阶,10000,2,101,10000,91000001,金币,100,1000,1000
233,10004,精英关卡-4种2阶,0,2,102,10000,21000014,龙牙战甲碎片,100,2,3
234,10004,精英关卡-4种2阶,0,2,103,1000,20000014,龙牙战甲,100,1,1
235,10005,精英关卡-5种2阶,10000,2,101,10000,91000001,金币,100,1000,1000
236,10005,精英关卡-5种2阶,0,2,102,10000,21000015,龙牙护腿碎片,100,2,3
237,10005,精英关卡-5种2阶,0,2,103,1000,20000015,龙牙护腿,100,1,1
238,10006,精英关卡-6种2阶,10000,2,101,10000,91000001,金币,100,1000,1000
239,10006,精英关卡-6种2阶,0,2,102,10000,21000016,龙牙战靴碎片,100,2,3
240,10006,精英关卡-6种2阶,0,2,103,1000,20000016,龙牙战靴,100,1,1
241,10007,精英关卡-1种3阶,10000,2,101,10000,91000001,金币,100,1000,1000
242,10007,精英关卡-1种3阶,0,2,102,10000,21000101,龙牙长剑碎片,100,2,3
243,10007,精英关卡-1种3阶,0,2,103,500,20000101,龙牙长剑,100,1,1
244,10008,精英关卡-2种3阶,10000,2,101,10000,91000001,金币,100,1000,1000
245,10008,精英关卡-2种3阶,0,2,102,10000,21000102,龙牙之戒碎片,100,2,3
246,10008,精英关卡-2种3阶,0,2,103,500,20000102,龙牙之戒,100,1,1
247,10009,精英关卡-3种3阶,10000,2,101,10000,91000001,金币,100,1000,1000
248,10009,精英关卡-3种3阶,0,2,102,10000,21000103,龙牙拳套碎片,100,2,3
249,10009,精英关卡-3种3阶,0,2,103,500,20000103,龙牙拳套,100,1,1
250,10010,精英关卡-4种3阶,10000,2,101,10000,91000001,金币,100,1000,1000
251,10010,精英关卡-4种3阶,0,2,102,10000,21000104,龙牙战甲碎片,100,2,3
252,10010,精英关卡-4种3阶,0,2,103,500,20000104,龙牙战甲,100,1,1
253,10011,精英关卡-5种3阶,10000,2,101,10000,91000001,金币,100,1000,1000
254,10011,精英关卡-5种3阶,0,2,102,10000,21000105,龙牙护腿碎片,100,2,3
255,10011,精英关卡-5种3阶,0,2,103,500,20000105,龙牙护腿,100,1,1
256,10012,精英关卡-6种3阶,10000,2,101,10000,91000001,金币,100,1000,1000
257,10012,精英关卡-6种3阶,0,2,102,10000,21000106,龙牙战靴碎片,100,2,3
258,10012,精英关卡-6种3阶,0,2,103,500,20000106,龙牙战靴,100,1,1
259,10013,精英关卡-1种4阶,10000,2,101,10000,91000001,金币,100,1000,1000
260,10013,精英关卡-1种4阶,0,2,102,10000,21000101,龙牙长剑碎片,100,2,2
261,10013,精英关卡-1种4阶,0,2,103,10000,21001001,深渊重剑碎片,100,2,2
262,10013,精英关卡-1种4阶,0,2,104,200,20001001,深渊重剑,100,1,1
263,10014,精英关卡-2种4阶,10000,2,101,10000,91000001,金币,100,1000,1000
264,10014,精英关卡-2种4阶,0,2,102,10000,21000102,龙牙战甲碎片,100,2,2
265,10014,精英关卡-2种4阶,0,2,103,10000,21001002,深渊魔眼碎片,100,2,2
266,10014,精英关卡-2种4阶,0,2,104,200,20001002,深渊魔眼,100,1,1
267,10015,精英关卡-3种4阶,10000,2,101,10000,91000001,金币,100,1000,1000
268,10015,精英关卡-3种4阶,0,2,102,10000,21000103,龙牙之戒碎片,100,2,2
269,10015,精英关卡-3种4阶,0,2,103,10000,21001003,深渊之拳碎片,100,2,2
270,10015,精英关卡-3种4阶,0,2,104,200,20001003,深渊之拳,100,1,1
271,10016,精英关卡-4种4阶,10000,2,101,10000,91000001,金币,100,1000,1000
272,10016,精英关卡-4种4阶,0,2,102,10000,21000104,龙牙护腿碎片,100,2,2
273,10016,精英关卡-4种4阶,0,2,103,10000,21001004,深渊铠甲碎片,100,2,2
274,10016,精英关卡-4种4阶,0,2,104,200,20001004,深渊铠甲,100,1,1
275,10017,精英关卡-5种4阶,10000,2,101,10000,91000001,金币,100,1000,1000
276,10017,精英关卡-5种4阶,0,2,102,10000,21000105,龙牙拳套碎片,100,2,2
277,10017,精英关卡-5种4阶,0,2,103,10000,21001005,深渊护腿碎片,100,2,2
278,10017,精英关卡-5种4阶,0,2,104,200,20001005,深渊护腿,100,1,1
279,10018,精英关卡-6种4阶,10000,2,101,10000,91000001,金币,100,1000,1000
280,10018,精英关卡-6种4阶,0,2,102,10000,21000106,龙牙战靴碎片,100,2,2
281,10018,精英关卡-6种4阶,0,2,102,10000,21001006,深渊战靴碎片,100,2,2
282,10018,精英关卡-6种4阶,0,2,103,200,20001006,深渊战靴,100,1,1
283,10019,精英关卡-1种5阶,10000,2,101,10000,91000001,金币,100,1000,1000
284,10019,精英关卡-1种5阶,0,2,102,10000,21001001,深渊重剑碎片,100,2,2
285,10019,精英关卡-1种5阶,0,2,103,10000,21010001,水晶战刃碎片,100,1,1
286,10019,精英关卡-1种5阶,0,2,104,50,20010001,水晶战刃,100,1,1
287,10020,精英关卡-2种5阶,10000,2,101,10000,91000001,金币,100,1000,1000
288,10020,精英关卡-2种5阶,0,2,102,10000,21001002,深渊魔眼碎片,100,2,2
289,10020,精英关卡-2种5阶,0,2,103,10000,21010002,水晶之心碎片,100,1,1
290,10020,精英关卡-2种5阶,0,2,104,50,20010002,水晶之心,100,1,1
291,10021,精英关卡-3种5阶,10000,2,101,10000,91000001,金币,100,1000,1000
292,10021,精英关卡-3种5阶,0,2,102,10000,21001003,深渊之拳碎片,100,2,2
293,10021,精英关卡-3种5阶,0,2,103,10000,21010003,水晶护臂碎片,100,1,1
294,10021,精英关卡-3种5阶,0,2,104,50,20010003,水晶护臂,100,1,1
295,10022,精英关卡-4种5阶,10000,2,101,10000,91000001,金币,100,1000,1000
296,10022,精英关卡-4种5阶,0,2,102,10000,21001004,深渊铠甲碎片,100,2,2
297,10022,精英关卡-4种5阶,0,2,103,10000,21010004,水晶板甲碎片,100,1,1
298,10022,精英关卡-4种5阶,0,2,104,50,20010004,水晶板甲,100,1,1
299,10023,精英关卡-5种5阶,10000,2,101,10000,91000001,金币,100,1000,1000
300,10023,精英关卡-5种5阶,0,2,102,10000,21001005,深渊护腿碎片,100,2,2
301,10023,精英关卡-5种5阶,0,2,103,10000,21010005,水晶护腿碎片,100,1,1
302,10023,精英关卡-5种5阶,0,2,104,50,20010005,水晶护腿,100,1,1
303,10024,精英关卡-6种5阶,10000,2,101,10000,91000001,金币,100,1000,1000
304,10024,精英关卡-6种5阶,0,2,102,10000,21001006,深渊战靴碎片,100,2,2
305,10024,精英关卡-6种5阶,0,2,103,10000,21010006,水晶战靴碎片,100,1,1
306,10024,精英关卡-6种5阶,0,2,104,50,20010006,水晶战靴,100,1,1
307,20101,魔龙洞窟-1阶宝石,10000,1,101,100,10101001,1级血精石,100,1,3
308,20101,魔龙洞窟-1阶宝石,0,1,101,0,10102001,1级锋锐石,100,1,3
309,20101,魔龙洞窟-1阶宝石,0,1,101,0,10103001,1级金刚石,100,1,3
310,20101,魔龙洞窟-1阶宝石,0,1,101,0,10104001,1级日冕石,100,1,3
311,20101,魔龙洞窟-1阶宝石,0,1,101,0,10105001,1级月光石,100,1,3
312,20101,魔龙洞窟-1阶宝石,0,1,101,0,10106001,1级荧光石,100,1,3
313,20101,魔龙洞窟-1阶宝石,0,1,101,0,10107001,1级曲光石,100,1,3
314,20101,魔龙洞窟-1阶宝石,0,1,101,0,10108001,1级黄水晶,100,1,3
315,20101,魔龙洞窟-1阶宝石,0,1,101,0,10109001,1级红水晶,100,1,3
316,20101,魔龙洞窟-1阶宝石,0,1,101,0,10110001,1级鹰眼石,100,1,3
