id,hero,name,sound,levelid,descriptiont,sound_des,minlv,maxlv,weight,time
10501,4001,吕布,0,2305010,冲锋杀敌我在行，可是你居然让我在这里讲段子……是诚心想让本将军难堪么？,0,1,39,1,1800
10502,4001,吕布,0,2305020,冲锋杀敌我在行，可是你居然让我在这里讲段子……是诚心想让本将军难堪么？,0,40,49,1,1800
10503,4001,吕布,0,2305030,冲锋杀敌我在行，可是你居然让我在这里讲段子……是诚心想让本将军难堪么？,0,50,59,1,1800
10504,4001,吕布,0,2305040,冲锋杀敌我在行，可是你居然让我在这里讲段子……是诚心想让本将军难堪么？,0,60,69,1,1800
10505,4001,吕布,0,2305050,冲锋杀敌我在行，可是你居然让我在这里讲段子……是诚心想让本将军难堪么？,0,70,79,1,1800
10506,4001,吕布,0,2305060,冲锋杀敌我在行，可是你居然让我在这里讲段子……是诚心想让本将军难堪么？,0,80,100,1,1800
10601,1004,赵云,0,2306010,我的师父就是枪神童渊，虽然他所创的“百鸟朝凤枪”已经天下无敌，不过我还是看得出些许破绽。,0,200,300,0,1800
10602,1004,赵云,0,2306020,我的师父就是枪神童渊，虽然他所创的“百鸟朝凤枪”已经天下无敌，不过我还是看得出些许破绽。,0,200,300,0,1800
10603,1004,赵云,0,2306030,我的师父就是枪神童渊，虽然他所创的“百鸟朝凤枪”已经天下无敌，不过我还是看得出些许破绽。,0,200,300,0,1800
10604,1004,赵云,0,2306040,我的师父就是枪神童渊，虽然他所创的“百鸟朝凤枪”已经天下无敌，不过我还是看得出些许破绽。,0,200,300,0,1800
10605,1004,赵云,0,2306050,我的师父就是枪神童渊，虽然他所创的“百鸟朝凤枪”已经天下无敌，不过我还是看得出些许破绽。,0,200,300,0,1800
10606,1004,赵云,0,2306060,我的师父就是枪神童渊，虽然他所创的“百鸟朝凤枪”已经天下无敌，不过我还是看得出些许破绽。,0,200,300,0,1800
10701,4003,貂蝉,0,2307010,丁香舌吐衠钢剑，要斩奸邪乱国臣。,0,200,300,0,1800
10702,4003,貂蝉,0,2307020,丁香舌吐衠钢剑，要斩奸邪乱国臣。,0,200,300,0,1800
10703,4003,貂蝉,0,2307030,丁香舌吐衠钢剑，要斩奸邪乱国臣。,0,200,300,0,1800
10704,4003,貂蝉,0,2307040,丁香舌吐衠钢剑，要斩奸邪乱国臣。,0,200,300,0,1800
10705,4003,貂蝉,0,2307050,丁香舌吐衠钢剑，要斩奸邪乱国臣。,0,200,300,0,1800
10706,4003,貂蝉,0,2307060,丁香舌吐衠钢剑，要斩奸邪乱国臣。,0,200,300,0,1800
10801,3006,孙权,0,2308010,大哥死后一直都是我帮忙照顾大嫂的，后来大哥的结义兄弟也死了，我也经常去帮忙照顾…,0,1,36,10,1800
10802,3006,孙权,0,2308020,大哥死后一直都是我帮忙照顾大嫂的，后来大哥的结义兄弟也死了，我也经常去帮忙照顾…,0,37,46,10,1800
10803,3006,孙权,0,2308030,大哥死后一直都是我帮忙照顾大嫂的，后来大哥的结义兄弟也死了，我也经常去帮忙照顾…,0,47,56,10,1800
10804,3006,孙权,0,2308040,大哥死后一直都是我帮忙照顾大嫂的，后来大哥的结义兄弟也死了，我也经常去帮忙照顾…,0,57,66,10,1800
10805,3006,孙权,0,2308050,大哥死后一直都是我帮忙照顾大嫂的，后来大哥的结义兄弟也死了，我也经常去帮忙照顾…,0,67,76,10,1800
10806,3006,孙权,0,2308060,大哥死后一直都是我帮忙照顾大嫂的，后来大哥的结义兄弟也死了，我也经常去帮忙照顾…,0,77,100,10,1800
10901,2008,郭嘉,0,2309010,有个事情我要澄清一下，我不是酒色过度，只是在修仙而已…,0,1,37,10,1800
10902,2008,郭嘉,0,2309020,有个事情我要澄清一下，我不是酒色过度，只是在修仙而已…,0,38,47,10,1800
10903,2008,郭嘉,0,2309030,有个事情我要澄清一下，我不是酒色过度，只是在修仙而已…,0,48,57,10,1800
10904,2008,郭嘉,0,2309040,有个事情我要澄清一下，我不是酒色过度，只是在修仙而已…,0,58,67,10,1800
10905,2008,郭嘉,0,2309050,有个事情我要澄清一下，我不是酒色过度，只是在修仙而已…,0,68,77,10,1800
10906,2008,郭嘉,0,2309060,有个事情我要澄清一下，我不是酒色过度，只是在修仙而已…,0,78,100,10,1800
11001,2002,许褚,0,2310010,因为我一次能吃一整只虎，所以大家都叫我“虎吃”，听说西方有个人叫“牛顿”，想必也是身手不凡…,0,1,38,10,1800
11002,2002,许褚,0,2310020,因为我一次能吃一整只虎，所以大家都叫我“虎吃”，听说西方有个人叫“牛顿”，想必也是身手不凡…,0,39,48,10,1800
11003,2002,许褚,0,2310030,因为我一次能吃一整只虎，所以大家都叫我“虎吃”，听说西方有个人叫“牛顿”，想必也是身手不凡…,0,49,58,10,1800
11004,2002,许褚,0,2310040,因为我一次能吃一整只虎，所以大家都叫我“虎吃”，听说西方有个人叫“牛顿”，想必也是身手不凡…,0,59,68,10,1800
11005,2002,许褚,0,2310050,因为我一次能吃一整只虎，所以大家都叫我“虎吃”，听说西方有个人叫“牛顿”，想必也是身手不凡…,0,69,78,10,1800
11006,2002,许褚,0,2310060,因为我一次能吃一整只虎，所以大家都叫我“虎吃”，听说西方有个人叫“牛顿”，想必也是身手不凡…,0,79,100,10,1800
11101,1003,马超,0,2311010,据说有个叫华雄的人，号称西凉第一勇士，有机会找他切磋切磋。,0,200,300,0,1800
11102,1003,马超,0,2311020,据说有个叫华雄的人，号称西凉第一勇士，有机会找他切磋切磋。,0,200,300,0,1800
11103,1003,马超,0,2311030,据说有个叫华雄的人，号称西凉第一勇士，有机会找他切磋切磋。,0,200,300,0,1800
11104,1003,马超,0,2311040,据说有个叫华雄的人，号称西凉第一勇士，有机会找他切磋切磋。,0,200,300,0,1800
11105,1003,马超,0,2311050,据说有个叫华雄的人，号称西凉第一勇士，有机会找他切磋切磋。,0,200,300,0,1800
11106,1003,马超,0,2311060,据说有个叫华雄的人，号称西凉第一勇士，有机会找他切磋切磋。,0,200,300,0,1800
11201,2009,曹操,0,2312010,汝妻吾养之，汝勿虑也！,0,200,300,0,1800
11202,2009,曹操,0,2312020,汝妻吾养之，汝勿虑也！,0,200,300,0,1800
11203,2009,曹操,0,2312030,汝妻吾养之，汝勿虑也！,0,200,300,0,1800
11204,2009,曹操,0,2312040,汝妻吾养之，汝勿虑也！,0,200,300,0,1800
11205,2009,曹操,0,2312050,汝妻吾养之，汝勿虑也！,0,200,300,0,1800
11206,2009,曹操,0,2312060,汝妻吾养之，汝勿虑也！,0,200,300,0,1800
