heroid,resindex,bindex0,eindex0,time0,bindex1,eindex1,time1,bindex2,eindex2,time2,bindex3,eindex3,time3,bindex4,eindex4,time4,bindex5,eindex5,time5,bindex6,eindex6,time6,bindex7,eindex7,time7,bindex8,eindex8,time8,bindex9,eindex9,time9,bindex10,eindex10,time10,bindex11,eindex11,time11,bindex12,eindex12,time12,showYPosOffset
3009,309,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
3010,310,0,7,150,8,13,100,23,27,150,28,29,100,14,22,100,14,22,100,28,28,100,28,29,100,8,13,100,14,22,100,14,15,500,15,22,100,14,22,100,70
3011,311,0,7,150,8,13,100,26,30,150,31,32,100,14,19,100,20,25,100,31,31,100,31,32,100,8,13,100,20,25,100,20,21,500,21,25,100,20,25,100,70
3012,312,0,7,150,8,13,100,23,27,150,28,29,100,14,22,100,14,22,100,28,28,100,28,29,100,8,13,100,14,22,100,14,15,500,15,22,100,14,22,100,70
4001,401,0,7,150,8,13,100,22,26,150,27,28,100,14,21,100,14,21,100,27,27,100,27,28,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
4002,402,0,7,150,8,13,100,20,24,150,25,26,100,14,19,100,14,19,100,25,25,100,25,26,100,8,13,100,14,19,100,14,15,500,15,19,100,14,19,100,70
4003,403,0,7,150,8,13,100,30,34,150,35,36,100,14,21,100,22,29,100,35,35,100,35,36,100,8,13,100,22,29,100,22,23,500,23,29,100,22,29,100,70
4004,404,0,7,150,8,13,100,23,27,150,28,29,100,14,22,100,14,22,100,28,28,100,28,29,100,8,13,100,14,22,100,14,15,500,15,22,100,14,22,100,70
4005,405,0,7,150,8,13,100,25,29,150,30,31,100,14,19,100,20,24,100,30,30,100,30,31,100,8,13,100,20,24,100,20,21,500,21,24,100,20,24,100,70
4006,406,0,7,150,8,13,100,29,33,150,34,35,100,14,21,100,22,28,100,34,34,100,34,35,100,8,13,100,22,28,100,22,23,500,23,28,100,22,28,100,70
4007,407,0,7,150,8,13,100,20,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
4008,408,0,7,150,8,13,100,20,24,150,25,26,100,14,19,100,14,19,100,25,25,100,25,26,100,8,13,100,14,19,100,14,15,500,15,19,100,14,19,100,70
4009,409,0,7,150,8,13,100,20,24,150,25,26,100,14,19,100,14,19,100,25,25,100,25,26,100,8,13,100,14,19,100,14,15,500,15,19,100,14,19,100,70
4010,410,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
4011,411,0,7,150,8,13,100,31,35,150,36,37,100,14,22,100,23,30,100,36,36,100,36,37,100,8,13,100,23,30,100,23,24,500,24,30,100,23,30,100,70
1101,1101,0,3,150,4,9,100,16,27,125,28,29,100,10,15,100,10,15,100,28,28,100,28,29,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
1102,1102,0,3,150,4,9,100,16,20,150,21,22,100,10,15,100,10,15,100,21,21,100,21,22,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
1103,1103,0,3,150,4,9,100,17,21,150,22,23,100,11,16,100,11,16,100,22,22,100,22,23,100,4,9,100,11,16,100,11,12,500,12,16,100,11,16,100,70
1104,1104,0,3,150,4,9,100,17,21,150,22,23,100,10,16,100,10,16,100,22,22,100,22,23,100,4,9,100,10,16,100,10,11,500,11,16,100,10,16,100,70
1105,1105,0,0,150,1,6,100,15,16,150,17,18,100,7,14,100,7,14,100,17,17,100,17,18,100,1,6,100,7,14,100,7,8,500,8,14,100,7,14,100,70
1106,1106,0,0,150,1,6,100,15,16,150,17,18,100,7,14,100,7,14,100,17,17,100,17,18,100,1,6,100,7,14,100,7,8,500,8,14,100,7,14,100,70
1107,1107,0,0,150,1,6,100,15,16,150,17,18,100,7,14,100,7,14,100,17,17,100,17,18,100,1,6,100,7,14,100,7,8,500,8,14,100,7,14,100,70
2101,2101,0,3,150,4,9,100,16,20,150,21,22,100,10,15,100,10,15,100,21,21,100,21,22,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
2102,2102,0,3,150,4,9,100,17,25,166,26,27,100,10,16,100,10,16,100,26,26,100,26,27,100,4,9,100,10,16,100,10,11,500,11,16,100,10,16,100,70
2103,2103,0,3,150,4,9,100,16,22,150,23,24,100,10,15,100,10,15,100,23,23,100,23,24,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
2104,2104,0,3,150,4,9,100,16,20,100,21,22,100,10,15,100,10,15,100,21,21,100,21,22,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
2105,2105,0,0,150,1,6,100,13,14,150,15,16,100,7,12,100,7,12,100,15,15,100,15,16,100,1,6,100,7,12,100,7,8,500,8,12,100,7,12,100,70
2106,2106,0,0,150,1,6,100,13,14,150,15,16,100,7,12,100,7,12,100,15,15,100,15,16,100,1,6,100,7,12,100,7,8,500,8,12,100,7,12,100,70
2107,2107,0,0,150,1,6,100,13,14,150,15,16,100,7,12,100,7,12,100,15,15,100,15,16,100,1,6,100,7,12,100,7,8,500,8,12,100,7,12,100,70
3101,3101,0,3,150,4,9,100,16,21,150,22,23,100,10,15,100,10,15,100,22,22,100,22,23,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
3102,3102,0,3,150,4,9,100,16,20,150,21,22,100,10,15,100,10,15,100,21,21,100,21,22,100,4,9,100,10,15,100,10,11,500,11,15,100,10,15,100,70
3103,3103,0,3,150,4,11,100,19,25,100,26,27,100,12,18,100,12,18,100,26,26,100,26,27,100,4,11,100,12,18,100,12,13,500,13,18,100,12,18,100,70
3104,3104,0,3,150,4,9,100,17,30,107,31,32,100,10,16,100,10,16,100,31,31,100,31,32,100,4,9,100,10,16,100,10,11,500,11,16,100,10,16,100,70
3105,3105,0,0,150,1,6,100,13,14,150,15,16,100,7,12,100,7,12,100,15,15,100,15,16,100,1,6,100,7,12,100,7,8,500,8,12,100,7,12,100,70
3106,3106,0,0,150,1,6,100,13,14,150,15,16,100,7,12,100,7,12,100,15,15,100,15,16,100,1,6,100,7,12,100,7,8,500,8,12,100,7,12,100,70
3107,3107,0,0,150,1,6,100,13,14,150,15,16,100,7,12,100,7,12,100,15,15,100,15,16,100,1,6,100,7,12,100,7,8,500,8,12,100,7,12,100,70
5001,501,0,7,150,8,15,100,28,43,93,26,27,100,16,25,100,16,25,100,26,26,100,26,27,100,8,15,100,16,25,100,16,17,500,17,25,100,16,25,100,70
5002,502,0,7,150,8,13,100,24,38,105,22,23,100,14,21,100,14,21,100,22,22,100,22,23,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
5003,503,0,7,150,8,13,100,24,40,88,22,23,100,14,21,100,14,21,100,22,22,100,22,23,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
5004,504,0,7,150,8,13,100,29,48,93,27,28,100,14,26,100,14,26,100,27,27,100,27,28,100,8,13,100,14,26,100,14,15,500,15,26,100,14,26,100,70
5005,505,0,7,150,8,15,100,31,54,62,29,30,100,16,24,100,20,28,100,29,29,100,29,30,100,8,15,100,20,28,100,20,21,500,21,28,100,20,28,100,70
5006,506,0,7,150,8,15,100,30,48,78,28,29,100,16,27,100,16,27,100,28,28,100,28,29,100,8,15,100,16,27,100,16,17,500,17,27,100,16,27,100,70
5007,507,0,7,150,8,15,100,26,40,100,24,25,100,16,23,100,16,23,100,24,24,100,24,25,100,8,15,100,16,23,100,16,17,500,17,23,100,16,23,100,70
90,90,0,7,150,9,13,100,0,8,150,27,28,100,9,26,100,9,26,100,27,27,100,27,28,100,9,13,100,9,26,100,9,10,500,10,26,100,9,26,100,70
91,91,0,3,150,4,9,100,0,3,150,20,21,100,10,19,100,10,19,100,20,20,100,20,21,100,4,9,100,10,19,100,10,11,500,11,19,100,10,19,100,70
92,92,0,3,150,4,9,100,0,3,150,19,20,100,10,18,100,10,18,100,19,19,100,19,20,100,4,9,100,10,18,100,10,11,500,11,18,100,10,18,100,70
1,1,0,7,150,8,15,38,8,15,150,0,8,100,8,15,100,8,15,100,0,0,100,0,8,100,8,15,100,8,15,100,8,9,500,9,15,100,8,15,100,70
2,2,0,7,150,8,15,38,8,15,150,0,8,100,8,15,100,8,15,100,0,0,100,0,8,100,8,15,100,8,15,100,8,9,500,9,15,100,8,15,100,70
11001,101,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11002,102,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11003,103,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11004,104,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11005,105,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11006,106,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11007,107,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11008,108,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11009,109,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11011,111,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11010,110,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12001,201,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12002,202,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12003,203,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12004,204,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12005,205,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12006,206,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12007,207,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12008,208,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12009,209,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12010,210,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
12011,211,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13001,301,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13002,302,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13003,303,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13004,304,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13005,305,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13006,306,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13007,307,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13008,308,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13009,309,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13010,310,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13011,311,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
13012,312,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14001,401,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14002,402,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14003,403,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14004,404,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14005,405,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14006,406,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14007,407,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14008,408,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14009,409,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14010,410,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
14011,411,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
11101,1101,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
11102,1102,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
11103,1103,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
11104,1104,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
11105,1105,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
11106,1106,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
11107,1107,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
12101,2101,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
12102,2102,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
12103,2103,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
12104,2104,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
12105,2105,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
12106,2106,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
12107,2107,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
13101,3101,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
13102,3102,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
13103,3103,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
13104,3104,0,3,150,0,3,100,0,3,150,0,3,100,0,3,100,0,3,100,0,0,100,0,3,100,0,3,100,0,3,100,0,1,500,1,3,100,0,3,100,70
13105,3105,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
13106,3106,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
13107,3107,0,0,150,0,0,100,0,0,150,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,500,1,0,100,0,0,100,70
15001,501,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
15002,502,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
15003,503,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
15004,504,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
15005,505,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
15006,506,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
15007,507,0,7,150,0,7,100,0,7,150,0,7,100,0,7,100,0,7,100,0,0,100,0,7,100,0,7,100,0,7,100,0,1,500,1,7,100,0,7,100,70
