itemid,itemname,mode,type,order,icon,txt,aindex,bindex,condition,show,levelid
12300601,部族贤者魂石,2,2,3,0,关卡掉落,0,0,0,38-10,113810
12300601,部族贤者魂石,2,1,4,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300701,灵界大帝魂石,2,2,1,0,关卡掉落,0,0,0,49-10,114910
12300701,灵界大帝魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300801,觅血屠夫魂石,2,2,1,0,关卡掉落,0,0,0,13-10 斯卡尔,111310
12300801,觅血屠夫魂石,2,2,2,0,关卡掉落,0,0,0,25-10 萨马什,112510
12300801,觅血屠夫魂石,2,2,3,0,关卡掉落,0,0,0,39-10,113910
12300801,觅血屠夫魂石,2,1,4,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300901,夺灵者魂石,2,2,1,0,关卡掉落,0,0,0,32-10,113210
12300901,夺灵者魂石,2,1,2,0,镇魂商店,0,shop_mainUI.show(enShopType.enST_ZhenHun),return mod_base.issysopen(22),镇魂商店购买,0
12300901,夺灵者魂石,2,1,3,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12301001,恶魔之拥魂石,1,1,1,0,能量召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,能量召唤获得,0
12301101,烈火精灵魂石,2,2,1,0,关卡掉落,0,0,0,37-10,113710
12301101,烈火精灵魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12301201,北岭之弓魂石,2,2,1,0,关卡掉落,0,0,0,5-10 暗夜使命,110510
12301201,北岭之弓魂石,2,2,2,0,关卡掉落,0,0,0,18-10 死亡骑士,111810
12301201,北岭之弓魂石,2,2,3,0,关卡掉落,0,0,0,30-10 黑暗末日,113010
12301201,北岭之弓魂石,2,2,4,0,关卡掉落,0,0,0,47-10,114710
12301201,北岭之弓魂石,2,1,5,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12400101,星界猎人魂石,2,2,1,0,关卡掉落,0,0,0,6-10 火焰领主,110610
12400101,星界猎人魂石,2,2,2,0,关卡掉落,0,0,0,19-10 洛加尔,111910
12400101,星界猎人魂石,2,2,3,0,关卡掉落,0,0,0,31-10,113110
12400101,星界猎人魂石,2,2,4,0,关卡掉落,0,0,0,50-10,115010
12400101,星界猎人魂石,2,1,5,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12400201,雷霆之王魂石,2,2,1,0,关卡掉落,0,0,0,41-10,114110
12400201,雷霆之王魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12400401,碎颅者魂石,1,1,1,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12400501,狂暴利刃魂石,1,1,1,0,斗技商店,0,shop_mainUI.show(enShopType.enST_ShenQi),return mod_base.issysopen(21),斗技商店购买,0
12400601,混沌法师魂石,1,1,1,0,加入商会,0,"ui_mgr.openUI(""shop_guildnewUI"")",0,加入商会神祗计划,0
12400801,仙林女神魂石,2,2,1,0,关卡掉落,0,0,0,15-10 灵界大帝,111510
12400801,仙林女神魂石,2,2,2,0,关卡掉落,0,0,0,27-10 黑暗先知,112710
12400801,仙林女神魂石,2,2,3,0,关卡掉落,0,0,0,43-10,114310
12400801,仙林女神魂石,2,1,4,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12400901,女伯爵魂石,2,2,1,0,关卡掉落,0,0,0,11-10 兽人英雄,111110
12400901,女伯爵魂石,2,2,2,0,关卡掉落,0,0,0,22-10 苏琳娜,112210
12400901,女伯爵魂石,2,2,3,0,关卡掉落,0,0,0,35-10,113510
12400901,女伯爵魂石,2,1,4,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12401001,元素之女魂石,2,2,1,0,关卡掉落,0,0,0,24-10 死灵骑士,112410
12401001,元素之女魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12401101,冰晶之心魂石,1,1,1,0,能量召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,能量召唤获得,0
30101001,地元素粉尘,2,2,1,0,关卡掉落,0,0,0,1-1 解救骑士,110101
30101001,地元素粉尘,2,2,2,0,关卡掉落,0,0,0,3-3 受惑矮人,110303
30101002,地元素粉尘+1,2,2,1,0,关卡掉落,0,0,0,3-3 受惑矮人,110303
30101002,地元素粉尘+1,2,2,2,0,关卡掉落,0,0,0,5-3 暗夜精灵,110503
30101003,地元素粉尘+2,2,2,1,0,关卡掉落,0,0,0,5-3 暗夜精灵,110503
30101003,地元素粉尘+2,2,2,2,0,关卡掉落,0,0,0,7-3 荒漠之狼,110703
30101004,地元素碎片,2,2,1,0,关卡掉落,0,0,0,7-3 荒漠之狼,110703
30101004,地元素碎片,2,2,2,0,关卡掉落,0,0,0,9-3 恶魔之眼,110903
30101005,地元素碎片+1,2,2,1,0,关卡掉落,0,0,0,9-3 恶魔之眼,110903
30101005,地元素碎片+1,2,2,2,0,关卡掉落,0,0,0,11-3 邪恶兽人,111103
30101005,地元素碎片+1,2,2,3,0,关卡掉落,0,0,0,13-3 兽人头目,111303
30101006,地元素碎片+2,2,2,1,0,关卡掉落,0,0,0,11-3 邪恶兽人,111103
30101006,地元素碎片+2,2,2,2,0,关卡掉落,0,0,0,13-3 兽人头目,111303
30101006,地元素碎片+2,2,2,3,0,关卡掉落,0,0,0,15-3 巫妖刺客,111503
30101006,地元素碎片+2,2,2,4,0,关卡掉落,0,0,0,17-3 年轻骑士,111703
30101007,地元素碎块,2,2,1,0,关卡掉落,0,0,0,15-3 巫妖刺客,111503
30101007,地元素碎块,2,2,2,0,关卡掉落,0,0,0,17-3 年轻骑士,111703
30101007,地元素碎块,2,2,3,0,关卡掉落,0,0,0,19-3 冰系法师,111903
30101007,地元素碎块,2,2,4,0,关卡掉落,0,0,0,21-3 亡灵祭司,112103
30101008,地元素碎块+1,2,2,1,0,关卡掉落,0,0,0,19-3 冰系法师,111903
30101008,地元素碎块+1,2,2,2,0,关卡掉落,0,0,0,21-3 亡灵祭司,112103
30101008,地元素碎块+1,2,2,3,0,关卡掉落,0,0,0,23-3 小恶魔,112303
30101008,地元素碎块+1,2,2,4,0,关卡掉落,0,0,0,25-3 小恶魔,112503
30101009,地元素碎块+2,2,2,1,0,关卡掉落,0,0,0,23-3 小恶魔,112303
30101009,地元素碎块+2,2,2,2,0,关卡掉落,0,0,0,25-3 小恶魔,112503
30101009,地元素碎块+2,2,2,3,0,关卡掉落,0,0,0,27-3 亡灵刺客,112703
30101009,地元素碎块+2,2,2,4,0,关卡掉落,0,0,0,29-3 年轻法师,112903
30101010,地元素晶体,2,2,1,0,关卡掉落,0,0,0,27-3 亡灵刺客,112703
30101010,地元素晶体,2,2,2,0,关卡掉落,0,0,0,29-3 年轻法师,112903
30101010,地元素晶体,2,2,3,0,关卡掉落,0,0,0,31-3,113103
30101010,地元素晶体,2,2,4,0,关卡掉落,0,0,0,33-3,113303
30101010,地元素晶体,2,2,5,0,关卡掉落,0,0,0,35-3,113503
30101011,地元素晶体+1,2,2,1,0,关卡掉落,0,0,0,31-3,113103
30101011,地元素晶体+1,2,2,2,0,关卡掉落,0,0,0,33-3,113303
30101011,地元素晶体+1,2,2,3,0,关卡掉落,0,0,0,35-3,113503
30101011,地元素晶体+1,2,2,4,0,关卡掉落,0,0,0,37-3,113703
30101011,地元素晶体+1,2,2,5,0,关卡掉落,0,0,0,39-3,113903
30101011,地元素晶体+1,2,2,6,0,关卡掉落,0,0,0,41-3,114103
30101012,地元素晶体+2,2,2,1,0,关卡掉落,0,0,0,37-3,113703
30101012,地元素晶体+2,2,2,2,0,关卡掉落,0,0,0,39-3,113903
30101012,地元素晶体+2,2,2,3,0,关卡掉落,0,0,0,41-3,114103
30101012,地元素晶体+2,2,2,4,0,关卡掉落,0,0,0,43-3,114303
30101012,地元素晶体+2,2,2,5,0,关卡掉落,0,0,0,45-3,114503
30101012,地元素晶体+2,2,2,6,0,关卡掉落,0,0,0,47-3,114703
30101013,地元素原石,2,2,1,0,关卡掉落,0,0,0,43-3,114303
30101013,地元素原石,2,2,2,0,关卡掉落,0,0,0,45-3,114503
30101013,地元素原石,2,2,3,0,关卡掉落,0,0,0,47-3,114703
30101013,地元素原石,2,2,4,0,关卡掉落,0,0,0,49-3,114903
30101014,地元素原石+1,2,2,1,0,关卡掉落,0,0,0,49-3,114903
30102001,水元素粉尘,2,2,1,0,关卡掉落,0,0,0,1-2 精灵狐妖,110103
30102001,水元素粉尘,2,2,2,0,关卡掉落,0,0,0,3-5 巨型蛛怪,110305
30102002,水元素粉尘+1,2,2,1,0,关卡掉落,0,0,0,3-5 巨型蛛怪,110305
30102002,水元素粉尘+1,2,2,2,0,关卡掉落,0,0,0,5-5 森之鹿,110505
30102003,水元素粉尘+2,2,2,1,0,关卡掉落,0,0,0,5-5 森之鹿,110505
30102003,水元素粉尘+2,2,2,2,0,关卡掉落,0,0,0,7-5 刀魂,110705
30102004,水元素碎片,2,2,1,0,关卡掉落,0,0,0,7-5 刀魂,110705
30102004,水元素碎片,2,2,2,0,关卡掉落,0,0,0,9-5 觅血恶魔,110905
30102005,水元素碎片+1,2,2,1,0,关卡掉落,0,0,0,9-5 觅血恶魔,110905
30102005,水元素碎片+1,2,2,2,0,关卡掉落,0,0,0,11-5 野蛮兽人,111105
30102005,水元素碎片+1,2,2,3,0,关卡掉落,0,0,0,13-5 恶魔祭司,111305
30102006,水元素碎片+2,2,2,1,0,关卡掉落,0,0,0,11-5 野蛮兽人,111105
30102006,水元素碎片+2,2,2,2,0,关卡掉落,0,0,0,13-5 恶魔祭司,111305
30102006,水元素碎片+2,2,2,3,0,关卡掉落,0,0,0,15-5 混沌法师,111505
30102006,水元素碎片+2,2,2,4,0,关卡掉落,0,0,0,17-5 异界猎手,111705
30102007,水元素碎块,2,2,1,0,关卡掉落,0,0,0,15-5 混沌法师,111505
30102007,水元素碎块,2,2,2,0,关卡掉落,0,0,0,17-5 异界猎手,111705
30102007,水元素碎块,2,2,3,0,关卡掉落,0,0,0,19-5 死魂曲,111905
30102007,水元素碎块,2,2,4,0,关卡掉落,0,0,0,21-5 众神之剑,112105
30102008,水元素碎块+1,2,2,1,0,关卡掉落,0,0,0,19-5 死魂曲,111905
30102008,水元素碎块+1,2,2,2,0,关卡掉落,0,0,0,21-5 众神之剑,112105
30102008,水元素碎块+1,2,2,3,0,关卡掉落,0,0,0,23-5 闪耀之火,112305
30102008,水元素碎块+1,2,2,4,0,关卡掉落,0,0,0,25-5 私人恩怨,112505
30102009,水元素碎块+2,2,2,1,0,关卡掉落,0,0,0,23-5 闪耀之火,112305
30102009,水元素碎块+2,2,2,2,0,关卡掉落,0,0,0,25-5 私人恩怨,112505
30102009,水元素碎块+2,2,2,3,0,关卡掉落,0,0,0,27-5 清算,112705
30102009,水元素碎块+2,2,2,4,0,关卡掉落,0,0,0,29-5 领主末日,112905
30102010,水元素晶体,2,2,1,0,关卡掉落,0,0,0,27-5 清算,112705
30102010,水元素晶体,2,2,2,0,关卡掉落,0,0,0,29-5 领主末日,112905
30102010,水元素晶体,2,2,3,0,关卡掉落,0,0,0,31-5,113105
30102010,水元素晶体,2,2,4,0,关卡掉落,0,0,0,33-5,113305
30102010,水元素晶体,2,2,5,0,关卡掉落,0,0,0,35-5,113505
30102011,水元素晶体+1,2,2,1,0,关卡掉落,0,0,0,31-5,113105
30102011,水元素晶体+1,2,2,2,0,关卡掉落,0,0,0,33-5,113305
30102011,水元素晶体+1,2,2,3,0,关卡掉落,0,0,0,35-5,113505
30102011,水元素晶体+1,2,2,4,0,关卡掉落,0,0,0,37-5,113705
30102011,水元素晶体+1,2,2,5,0,关卡掉落,0,0,0,39-5,113905
30102011,水元素晶体+1,2,2,6,0,关卡掉落,0,0,0,41-5,114105
30102012,水元素晶体+2,2,2,1,0,关卡掉落,0,0,0,37-5,113705
30102012,水元素晶体+2,2,2,2,0,关卡掉落,0,0,0,39-5,113905
30102012,水元素晶体+2,2,2,3,0,关卡掉落,0,0,0,41-5,114105
30102012,水元素晶体+2,2,2,4,0,关卡掉落,0,0,0,43-5,114305
30102012,水元素晶体+2,2,2,5,0,关卡掉落,0,0,0,45-5,114505
30102012,水元素晶体+2,2,2,6,0,关卡掉落,0,0,0,47-5,114705
30102013,水元素原石,2,2,1,0,关卡掉落,0,0,0,43-5,114305
30102013,水元素原石,2,2,2,0,关卡掉落,0,0,0,45-5,114505
30102013,水元素原石,2,2,3,0,关卡掉落,0,0,0,47-5,114705
30102013,水元素原石,2,2,4,0,关卡掉落,0,0,0,49-5,114905
30102014,水元素原石+1,2,2,1,0,关卡掉落,0,0,0,49-5,114905
30103001,火元素粉尘,2,2,1,0,关卡掉落,0,0,0,1-3 兽人佣兵,110104
30103001,火元素粉尘,2,2,2,0,关卡掉落,0,0,0,3-8 失去理智,110308
30103002,火元素粉尘+1,2,2,1,0,关卡掉落,0,0,0,3-8 失去理智,110308
30103002,火元素粉尘+1,2,2,2,0,关卡掉落,0,0,0,5-8 傀儡术,110508
30103003,火元素粉尘+2,2,2,1,0,关卡掉落,0,0,0,5-8 傀儡术,110508
30103003,火元素粉尘+2,2,2,2,0,关卡掉落,0,0,0,7-8 荒野利刃,110708
30103004,火元素碎片,2,2,1,0,关卡掉落,0,0,0,7-8 荒野利刃,110708
30103004,火元素碎片,2,2,2,0,关卡掉落,0,0,0,9-8 夺灵,110908
30103005,火元素碎片+1,2,2,1,0,关卡掉落,0,0,0,9-8 夺灵,110908
30103005,火元素碎片+1,2,2,2,0,关卡掉落,0,0,0,11-8 野蛮战士,111108
30103005,火元素碎片+1,2,2,3,0,关卡掉落,0,0,0,13-8 牛头人,111308
30103006,火元素碎片+2,2,2,1,0,关卡掉落,0,0,0,11-8 野蛮战士,111108
30103006,火元素碎片+2,2,2,2,0,关卡掉落,0,0,0,13-8 牛头人,111308
30103006,火元素碎片+2,2,2,3,0,关卡掉落,0,0,0,15-8 巫妖刺客,111508
30103006,火元素碎片+2,2,2,4,0,关卡掉落,0,0,0,17-8 考验,111708
30103007,火元素碎块,2,2,1,0,关卡掉落,0,0,0,15-8 巫妖刺客,111508
30103007,火元素碎块,2,2,2,0,关卡掉落,0,0,0,17-8 考验,111708
30103007,火元素碎块,2,2,3,0,关卡掉落,0,0,0,19-8 亡灵刺客,111908
30103007,火元素碎块,2,2,4,0,关卡掉落,0,0,0,21-8 亡灵祭司,112108
30103008,火元素碎块+1,2,2,1,0,关卡掉落,0,0,0,19-8 亡灵刺客,111908
30103008,火元素碎块+1,2,2,2,0,关卡掉落,0,0,0,21-8 亡灵祭司,112108
30103008,火元素碎块+1,2,2,3,0,关卡掉落,0,0,0,23-8 恶魔咆哮,112308
30103008,火元素碎块+1,2,2,4,0,关卡掉落,0,0,0,25-8 死灵骑士,112508
30103009,火元素碎块+2,2,2,1,0,关卡掉落,0,0,0,23-8 恶魔咆哮,112308
30103009,火元素碎块+2,2,2,2,0,关卡掉落,0,0,0,25-8 死灵骑士,112508
30103009,火元素碎块+2,2,2,3,0,关卡掉落,0,0,0,27-8 死灵骑士,112708
30103009,火元素碎块+2,2,2,4,0,关卡掉落,0,0,0,29-8 小恶魔,112908
30103010,火元素晶体,2,2,1,0,关卡掉落,0,0,0,27-8 死灵骑士,112708
30103010,火元素晶体,2,2,2,0,关卡掉落,0,0,0,29-8 小恶魔,112908
30103010,火元素晶体,2,2,3,0,关卡掉落,0,0,0,31-8,113108
30103010,火元素晶体,2,2,4,0,关卡掉落,0,0,0,33-8,113308
30103010,火元素晶体,2,2,5,0,关卡掉落,0,0,0,35-8,113508
30103011,火元素晶体+1,2,2,1,0,关卡掉落,0,0,0,31-8,113108
30103011,火元素晶体+1,2,2,2,0,关卡掉落,0,0,0,33-8,113308
30103011,火元素晶体+1,2,2,3,0,关卡掉落,0,0,0,35-8,113508
30103011,火元素晶体+1,2,2,4,0,关卡掉落,0,0,0,37-8,113708
30103011,火元素晶体+1,2,2,5,0,关卡掉落,0,0,0,39-8,113908
30103011,火元素晶体+1,2,2,6,0,关卡掉落,0,0,0,41-8,114108
30103012,火元素晶体+2,2,2,1,0,关卡掉落,0,0,0,37-8,113708
30103012,火元素晶体+2,2,2,2,0,关卡掉落,0,0,0,39-8,113908
30103012,火元素晶体+2,2,2,3,0,关卡掉落,0,0,0,41-8,114108
30103012,火元素晶体+2,2,2,4,0,关卡掉落,0,0,0,43-8,114308
30103012,火元素晶体+2,2,2,5,0,关卡掉落,0,0,0,45-8,114508
30103012,火元素晶体+2,2,2,6,0,关卡掉落,0,0,0,47-8,114708
30103013,火元素原石,2,2,1,0,关卡掉落,0,0,0,43-8,114308
30103013,火元素原石,2,2,2,0,关卡掉落,0,0,0,45-8,114508
30103013,火元素原石,2,2,3,0,关卡掉落,0,0,0,47-8,114708
30103013,火元素原石,2,2,4,0,关卡掉落,0,0,0,49-8,114908
30103014,火元素原石+1,2,2,1,0,关卡掉落,0,0,0,49-8,114908
30104001,风元素粉尘,2,2,1,0,关卡掉落,0,0,0,2-2 亡灵战士,110203
30104001,风元素粉尘,2,2,2,0,关卡掉落,0,0,0,4-3 流浪法师,110403
30104002,风元素粉尘+1,2,2,1,0,关卡掉落,0,0,0,4-3 流浪法师,110403
30104002,风元素粉尘+1,2,2,2,0,关卡掉落,0,0,0,6-3 诅咒,110603
30104003,风元素粉尘+2,2,2,1,0,关卡掉落,0,0,0,6-3 诅咒,110603
30104003,风元素粉尘+2,2,2,2,0,关卡掉落,0,0,0,8-3 死灵祭司,110803
30104004,风元素碎片,2,2,1,0,关卡掉落,0,0,0,8-3 死灵祭司,110803
30104004,风元素碎片,2,2,2,0,关卡掉落,0,0,0,10-3 暮光之刃,111003
30104005,风元素碎片+1,2,2,1,0,关卡掉落,0,0,0,10-3 暮光之刃,111003
30104005,风元素碎片+1,2,2,2,0,关卡掉落,0,0,0,12-3 恶魔法师,111203
30104005,风元素碎片+1,2,2,3,0,关卡掉落,0,0,0,14-3 矮人头目,111403
30104006,风元素碎片+2,2,2,1,0,关卡掉落,0,0,0,12-3 恶魔法师,111203
30104006,风元素碎片+2,2,2,2,0,关卡掉落,0,0,0,14-3 矮人头目,111403
30104006,风元素碎片+2,2,2,3,0,关卡掉落,0,0,0,16-3 矮人战士,111603
30104006,风元素碎片+2,2,2,4,0,关卡掉落,0,0,0,18-3 死灵祭司,111803
30104007,风元素碎块,2,2,1,0,关卡掉落,0,0,0,16-3 矮人战士,111603
30104007,风元素碎块,2,2,2,0,关卡掉落,0,0,0,18-3 死灵祭司,111803
30104007,风元素碎块,2,2,3,0,关卡掉落,0,0,0,20-3 鹿之精灵,112003
30104007,风元素碎块,2,2,4,0,关卡掉落,0,0,0,22-3 亡灵祭司,112203
30104008,风元素碎块+1,2,2,1,0,关卡掉落,0,0,0,20-3 鹿之精灵,112003
30104008,风元素碎块+1,2,2,2,0,关卡掉落,0,0,0,22-3 亡灵祭司,112203
30104008,风元素碎块+1,2,2,3,0,关卡掉落,0,0,0,24-3 死灵刺客,112403
30104008,风元素碎块+1,2,2,4,0,关卡掉落,0,0,0,26-3 年轻法师,112603
30104009,风元素碎块+2,2,2,1,0,关卡掉落,0,0,0,24-3 死灵刺客,112403
30104009,风元素碎块+2,2,2,2,0,关卡掉落,0,0,0,26-3 年轻法师,112603
30104009,风元素碎块+2,2,2,3,0,关卡掉落,0,0,0,28-3 邪恶精灵,112803
30104009,风元素碎块+2,2,2,4,0,关卡掉落,0,0,0,30-3 魅魔女王,113003
30104010,风元素晶体,2,2,1,0,关卡掉落,0,0,0,28-3 邪恶精灵,112803
30104010,风元素晶体,2,2,2,0,关卡掉落,0,0,0,30-3 魅魔女王,113003
30104010,风元素晶体,2,2,3,0,关卡掉落,0,0,0,32-3,113203
30104010,风元素晶体,2,2,4,0,关卡掉落,0,0,0,34-3,113403
30104010,风元素晶体,2,2,5,0,关卡掉落,0,0,0,36-3,113603
30104011,风元素晶体+1,2,2,1,0,关卡掉落,0,0,0,32-3,113203
30104011,风元素晶体+1,2,2,2,0,关卡掉落,0,0,0,34-3,113403
30104011,风元素晶体+1,2,2,3,0,关卡掉落,0,0,0,36-3,113603
30104011,风元素晶体+1,2,2,4,0,关卡掉落,0,0,0,38-3,113803
30104011,风元素晶体+1,2,2,5,0,关卡掉落,0,0,0,40-3,114003
30104011,风元素晶体+1,2,2,6,0,关卡掉落,0,0,0,42-3,114203
30104012,风元素晶体+2,2,2,1,0,关卡掉落,0,0,0,38-3,113803
30104012,风元素晶体+2,2,2,2,0,关卡掉落,0,0,0,40-3,114003
30104012,风元素晶体+2,2,2,3,0,关卡掉落,0,0,0,42-3,114203
30104012,风元素晶体+2,2,2,4,0,关卡掉落,0,0,0,44-3,114403
30104012,风元素晶体+2,2,2,5,0,关卡掉落,0,0,0,46-3,114603
30104012,风元素晶体+2,2,2,6,0,关卡掉落,0,0,0,48-3,114803
30104013,风元素原石,2,2,1,0,关卡掉落,0,0,0,44-3,114403
30104013,风元素原石,2,2,2,0,关卡掉落,0,0,0,46-3,114603
30104013,风元素原石,2,2,3,0,关卡掉落,0,0,0,48-3,114803
30104013,风元素原石,2,2,4,0,关卡掉落,0,0,0,50-3,115003
30104014,风元素原石+1,2,2,1,0,关卡掉落,0,0,0,50-3,115003
30105001,光元素粉尘,2,2,1,0,关卡掉落,0,0,0,2-4 黑暗阴影,110205
30105001,光元素粉尘,2,2,2,0,关卡掉落,0,0,0,4-5 痴情兽人,110405
30105002,光元素粉尘+1,2,2,1,0,关卡掉落,0,0,0,4-5 痴情兽人,110405
30105002,光元素粉尘+1,2,2,2,0,关卡掉落,0,0,0,6-5 熔岩恶魔,110605
30105003,光元素粉尘+2,2,2,1,0,关卡掉落,0,0,0,6-5 熔岩恶魔,110605
30105003,光元素粉尘+2,2,2,2,0,关卡掉落,0,0,0,8-5 灵界大帝,110805
