id,name,icon,mode,level,camp,type,index,txt,attacktype,featuresicon1,features1,featuresicon2,features2,featuresicon3,features3,featuresicon4,features4,skill,sort,show,attackround,soldiersnumber,attackspeed
52010107,天使,icon_army_10101,1101,7,1,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,0,101,0,110700,70,2000
52010207,大天使,icon_army_10101,1101,7,1,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,110101,1,0,110701,70,2000
52020101,亡者战士,icon_army_20101,2101,1,2,1,1,攻速较慢/单体攻击,210100,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,0,138,1,210100,70,2500
52020201,亡者勇士,icon_army_20101,2101,1,2,1,2,攻速较慢/单体攻击,210100,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,210101,38,1,210101,70,2500
52020102,刺骨弓手,icon_army_20102,2102,2,2,2,1,攻速极慢/单体攻击,210200,icon_yongbing_yxwd_26,攻速极慢,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,0,132,1,210200,70,4000
52020202,刺骨猎手,icon_army_20102,2102,2,2,2,2,攻速极慢/单体攻击,210200,icon_yongbing_yxwd_26,攻速极慢,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,210201,32,1,210201,70,4000
52020103,暗灵,icon_army_20103,2103,3,2,2,1,攻速极快/弹射攻击,210300,icon_yongbing_yxwd_30,攻速极快,icon_yongbing_yxwd_24,弹射攻击,#N/A,0,#N/A,0,0,126,1,210300,70,800
52020203,魔灵,icon_army_20103,2103,3,2,2,2,攻速极快/弹射攻击,210300,icon_yongbing_yxwd_30,攻速极快,icon_yongbing_yxwd_24,弹射攻击,#N/A,0,#N/A,0,210301,26,1,210301,70,800
52020104,血族,icon_army_20104,2104,4,2,1,1,攻速较慢/散射攻击,210400,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_20,散射攻击,#N/A,0,#N/A,0,0,120,1,210400,70,2200
52020204,血族男爵,icon_army_20104,2104,4,2,1,2,攻速较慢/散射攻击,210400,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_20,散射攻击,#N/A,0,#N/A,0,210401,20,1,210401,70,2200
52020105,巫妖,icon_army_20101,1101,5,2,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,0,114,0,210500,70,2000
52020205,大巫妖,icon_army_20101,1101,5,2,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,110101,14,0,210501,70,2000
52020106,黑暗骑士,icon_army_20101,1101,6,2,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,0,108,0,210600,70,2000
52020206,恐怖骑士,icon_army_20101,1101,6,2,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,110101,8,0,210601,70,2000
52020107,骨龙,icon_army_20101,1101,7,2,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,0,102,0,210700,70,2000
52020207,阴影龙,icon_army_20101,1101,7,2,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,110101,2,0,210701,70,2000
52030101,火枪手,icon_army_30101,3102,1,3,2,1,攻速极快/范围攻击,310200,icon_yongbing_yxwd_30,攻速极快,icon_yongbing_yxwd_18,范围攻击,#N/A,0,#N/A,0,0,139,1,310100,70,1000
52030201,狙击手,icon_army_30101,3102,1,3,2,2,攻速极快/范围攻击,310200,icon_yongbing_yxwd_30,攻速极快,icon_yongbing_yxwd_18,范围攻击,#N/A,0,#N/A,0,310201,39,1,310201,70,1000
52030102,堡垒战士,icon_army_30102,3101,2,3,1,1,攻速普通/单体攻击,310100,icon_yongbing_yxwd_28,攻速普通,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,0,133,1,310200,70,2000
52030202,堡垒卫士,icon_army_30102,3101,2,3,1,2,攻速普通/单体攻击,310100,icon_yongbing_yxwd_28,攻速普通,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,310101,33,1,310101,70,2000
52030103,战熊,icon_army_30103,3103,3,3,1,1,攻速较快/单体攻击,310300,icon_yongbing_yxwd_29,攻速较快,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,0,127,1,310300,70,1800
52030203,精锐战熊,icon_army_30103,3103,3,3,1,2,攻速较快/单体攻击,310300,icon_yongbing_yxwd_29,攻速较快,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,310301,27,1,310301,70,1800
52030104,地神像,icon_army_30104,3104,4,3,2,1,攻速较慢/溅射攻击,310400,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_13,溅射攻击,#N/A,0,#N/A,0,0,121,1,310400,70,3000
52030204,地神兵,icon_army_30104,3104,4,3,2,2,攻速较慢/溅射攻击,310400,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_13,溅射攻击,#N/A,0,#N/A,0,310401,21,1,310401,70,3000
52030105,符文术士,icon_army_30101,1102,5,3,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,115,0,310500,70,2000
52030205,符文祭祀,icon_army_30101,1102,5,3,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,15,0,310501,70,2000
52030106,火巨灵,icon_army_30101,1101,6,3,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,109,0,310600,70,2000
52030206,炽炎巨灵,icon_army_30101,1101,6,3,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,9,0,310601,70,2000
52030107,熔岩蜥蜴,icon_army_30101,1101,7,3,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,103,0,310700,70,2000
52030207,熔岩巨龙,icon_army_30101,1101,7,3,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,3,0,310701,70,2000
52040101,林妖,icon_army_40101,1101,1,4,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,140,0,110100,70,2000
52040201,林仙,icon_army_40101,1101,1,4,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,40,0,110101,70,2000
52040102,花妖,icon_army_40102,1102,2,4,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,134,0,110200,70,2000
52040202,花仙,icon_army_40102,1102,2,4,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,34,0,110201,70,2000
52040103,精灵猎人,icon_army_40103,1103,3,4,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,128,0,110300,70,2000
52040203,精灵游侠,icon_army_40103,1103,3,4,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,28,0,110301,70,2000
52040104,德鲁伊,icon_army_40104,1104,4,4,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,122,0,110400,70,2000
52040204,大德鲁伊,icon_army_40104,1104,4,4,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,22,0,110401,70,2000
52040105,树精,icon_army_30101,1101,5,4,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,116,0,110500,70,2000
52040205,远古树精,icon_army_30101,1101,5,4,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,16,0,110501,70,2000
52040106,独角兽,icon_army_30101,1101,6,4,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,110,0,110600,70,2000
52040206,圣独角兽,icon_army_30101,1101,6,4,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,10,0,110601,70,2000
52040107,绿龙,icon_army_30101,1101,7,4,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,104,0,110700,70,2000
52040207,翡翠龙,icon_army_30101,1101,7,4,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,4,0,110701,70,2000
52050101,低语者,icon_army_50101,2101,1,5,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,141,0,210100,70,2000
52050201,绞杀者,icon_army_50101,2101,1,5,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,41,0,210101,70,2000
52050102,刃魔,icon_army_50102,2102,2,5,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,135,0,210200,70,2000
52050202,狂魔,icon_army_50102,2102,2,5,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,35,0,210201,70,2000
52050103,渎神者,icon_army_50103,2103,3,5,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,129,0,210300,70,2000
52050203,邪术师,icon_army_50103,2103,3,5,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,29,0,210301,70,2000
52050104,冥河恶魔,icon_army_50104,2104,4,5,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,123,0,210400,70,2000
52050204,冥河领主,icon_army_50104,2104,4,5,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,23,0,210401,70,2000
52050105,悍魔,icon_army_50101,1101,5,5,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,117,0,210500,70,2000
52050205,狂暴恶魔,icon_army_50101,1101,5,5,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,17,0,210501,70,2000
52050106,深渊领主,icon_army_50101,1102,6,5,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,111,0,210600,70,2000
52050206,地狱领主,icon_army_50101,1102,6,5,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,11,0,210601,70,2000
52050107,大恶魔,icon_army_50101,1101,7,5,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,105,0,210700,70,2000
52050207,炎魔,icon_army_50101,1101,7,5,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,5,0,210701,70,2000
52060101,地精投手,icon_army_60101,3101,1,6,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,142,0,310100,70,2000
52060201,熊地精,icon_army_60101,3101,1,6,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,42,0,310201,70,2000
52060102,巫医,icon_army_60102,3102,2,6,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,136,0,310200,70,2000
52060202,先知,icon_army_60102,3102,2,6,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,36,0,310101,70,2000
52060103,暴徒,icon_army_60103,3103,3,6,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,130,0,310300,70,2000
52060203,狂战士,icon_army_60103,3103,3,6,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,30,0,310301,70,2000
52060104,人马酋长,icon_army_60104,3104,4,6,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,124,0,310400,70,2000
52060204,人马督军,icon_army_60104,3104,4,6,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,24,0,310401,70,2000
52060105,萨满,icon_army_60101,1102,5,6,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,118,0,310500,70,2000
52060205,大萨满,icon_army_60101,1102,5,6,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,18,0,310501,70,2000
52060106,独眼巨人,icon_army_60101,1102,6,6,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,112,0,310600,70,2000
52060206,独眼巨魔,icon_army_60101,1102,6,6,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,12,0,310601,70,2000
52060107,比蒙,icon_army_60101,1101,7,6,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,0,106,0,310700,70,2000
52060207,利刃比蒙,icon_army_60101,1101,7,6,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,#N/A,0,#N/A,0,110101,6,0,310701,70,2000
