id,description,maintype,subtype,opacity,scene_tag,open_touch,reset_id,back_id,next_id,open_name,open_event,open_subui,ui_name,node_name,btn_event1,btn_event2,delaytime,showfinger,fingertype,savenow,hide_node,story,pos,add_x,add_y,city_x,city_y,dec
11,点击左上角快捷移动,1,1,0,4,1,10,10,12,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
12,点击谈判（1-2）,1,1,0,4,1,10,10,13,newChapterFightUI,0,newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""pan_tanpan"",""btn_quanxiang""}","ui_mgr.openUI(""newChapterMainUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
13,恭喜获得,1,2,0,4,0,15,15,14,acquire_itemUI,mod_user.savezy(13),0,acquire_itemUI,this,0,0,0,2,1,2,0,0,0,0,0,0,0,0
14,弹出获得英雄界面,1,2,0,4,0,15,15,16,wujiangzhaomu,0,0,wujiangzhaomu,this,"ui_mgr.openUI(""newChapterMainUI"")",0,0,2,1,2,0,1020101,0,0,0,0,0,0
15,点击第一章（掉线）,1,1,0,1,1,15,15,16,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
16,点击阵容,1,1,0,4,1,15,15,17,newChapterMainUI,mod_user.savezy(16),0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,1,1,1,1,0,1020201,0,0,0,0,0,0
17,点击2号位,1,1,0,4,1,15,15,18,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""item_2""}",0,0,0,1,1,1,0,1020202,0,0,0,0,0,0
18,点击上阵,1,1,0,4,1,15,15,21,hero_windowUI,0,hero_windowUI,hero_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,2,0,0,0,0,0,0,0,0
19,点击第一章（掉线）,1,1,0,1,1,19,19,20,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
20,点击阵容（掉线）,1,1,0,4,1,19,19,21,newChapterMainUI,mod_user.savezy(20),0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
21,点击3号位,1,1,0,4,1,19,19,22,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""item_3""}",0,0,0,1,1,1,0,1020301,0,0,0,0,0,0
22,点击上阵,1,1,0,4,1,19,19,23,hero_windowUI,0,hero_windowUI,hero_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,2,0,0,0,0,0,0,0,0
23,点击返回,1,1,0,4,1,24,24,25,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_top_left"",""img_bg"",""btn_back""}","ui_mgr.openUI(""newChapterMainUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
24,点击第一章（掉线）,1,1,0,1,1,24,24,25,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
25,点击左上角快捷移动,1,1,0,4,1,24,24,26,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
26,点击战斗（1-3）,1,1,0,4,1,24,24,27,newChapterFightUI,mod_user.savezy(26),newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,1,1,1,0,1030101,0,0,0,0,0,0
27,战斗胜利界面,1,2,0,4,0,24,24,29,fight_winUI,mod_user.savezy(28),0,fight_winUI,this,0,0,0,2,1,1,0,0,0,0,0,0,0,0
28,点击第一章（掉线）,1,1,0,1,1,28,28,29,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
29,点击阵容,1,1,0,4,1,28,28,30,newChapterMainUI,mod_user.savezy(29),0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
30,点击英雄,1,1,0,4,1,28,28,31,battle_arrayUI,0,0,battle_arrayUI,"{""pan_center"",""bg"",""hero_list"",""img_hero""}",0,0,0,1,1,1,0,1030201,0,0,0,0,0,0
31,点击星格,1,1,0,4,1,28,28,32,hero_systemUI,0,hero_systemUI,hero_systemUI,"{""pan_center_right"",""bg"",""skill_bg"",""icon_2""}",0,0,0.25,1,1,1,0,1030203,0,0,0,0,0,0
32,点击激活,1,1,0,4,1,28,28,33,hero_starUpUI,0,hero_starUpUI,hero_starUpUI,"{""pan_main"",""btn_star""}","guide_mgr.doGuideOpenStep(""hero_systemUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
33,点击返回,1,1,0,4,1,35,35,34,hero_systemUI,0,hero_systemUI,hero_systemUI,"{""pan_top_left"",""bg"",""btn_back""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
34,点击返回,1,1,0,4,1,35,35,36,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_top_left"",""img_bg"",""btn_back""}","ui_mgr.openUI(""newChapterMainUI"")",0,0.25,1,1,1,0,0,0,0,0,0,0,0
35,点击第一章（掉线）,1,1,0,1,1,35,35,36,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
36,点击左上角快捷移动,1,1,0,4,1,35,35,37,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
37,点击搜索(1-4),1,1,0,4,1,35,35,38,newChapterFightUI,mod_user.savezy(37),newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_sousuo"",""btn_sousuo""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
38,小游戏,1,2,0,4,0,35,35,39,Game_Small_1_UI,0,0,Game_Small_1_UI,this,0,0,0,2,1,2,0,0,0,0,0,0,0,0
39,恭喜获得（搜索）,1,2,0,4,0,40,40,41,acquire_itemUI,0,0,acquire_itemUI,this,"ui_mgr.openUI(""newChapterMainUI"")",0,0,2,1,2,0,0,0,0,0,0,0,0
40,点击世界地图第一章（掉线）,1,1,0,1,1,40,40,41,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
41,点击阵容,1,1,0,4,1,40,40,42,newChapterMainUI,mod_user.savezy(41),0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
42,点击英雄,1,1,0,4,1,40,40,43,battle_arrayUI,0,hero_systemUI,battle_arrayUI,"{""pan_center"",""bg"",""hero_list"",""img_hero""}",0,0,0,1,1,1,0,1040201,0,0,0,0,0,0
43,点击中间的坨坨,1,1,0,4,1,40,40,44,hero_systemUI,0,hero_systemUI,hero_systemUI,"{""pan_center_right"",""bg"",""skill_bg"",""pan_bar"",""Image_57""}",0,0,0.25,1,1,1,0,1040202,0,0,0,0,0,0
44,点击一键升星,1,1,0,4,1,40,40,45,hero_starUpUI,0,hero_starUpUI,hero_starUpUI,"{""pan_main"",""btn_star""}",guide_mgr.setTouchEvent(2),0,0,1,1,1,0,0,0,0,0,0,0,0
45,关闭反馈界面,1,2,0,4,0,47,47,46,hero_starUpLevelUI,0,0,hero_starUpLevelUI,this,"guide_mgr.doGuideOpenStep(""hero_systemUI"")",guide_mgr.setTouchEvent(1),0,2,1,2,0,0,0,0,0,0,0,0
46,点击返回,1,1,0,4,1,47,47,48,hero_systemUI,0,hero_systemUI,hero_systemUI,"{""pan_top_left"",""bg"",""btn_back""}","ui_mgr.closeUI(""battle_arrayUI"")","ui_mgr.openUI(""newChapterMainUI"")",0,1,1,1,0,0,0,0,0,0,0,0
47,点击世界地图第一章（掉线）,1,1,0,1,1,47,47,48,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
48,点击左上角快捷移动,1,1,0,4,1,47,47,49,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
49,点击战斗(1-5),1,1,0,4,1,47,47,50,newChapterFightUI,mod_user.savezy(49),newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,1,1,1,0,1050101,0,0,0,0,0,0
50,战斗胜利界面,1,2,0,4,0,47,47,51,fight_winUI,mod_user.savezy(50),0,fight_winUI,this,0,0,0,2,1,1,0,0,0,0,0,0,0,0
51,点击世界地图第二章,1,1,0,1,1,51,51,52,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item2"",""icon""}",0,0,0.01,1,1,1,0,2010001,0,0,0,0,0,0
52,点击左上角快捷移动,1,1,0,4,1,51,51,53,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,2010101,0,0,0,0,0,0
53,点击战斗按钮(2-1),1,1,0,4,1,51,51,54,newChapterFightUI,mod_user.savezy(53),newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,1,1,1,0,2010201,0,0,0,0,0,0
54,战斗胜利界面,1,2,0,4,0,51,51,55,fight_winUI,mod_user.savezy(54),0,fight_winUI,this,0,0,0,2,1,1,0,0,0,0,0,0,0,0
55,点击回城,1,1,0,4,1,56,56,56,newChapterMainUI,0,0,newChapterMainUI,"{""pan_right_down"",""btn_world""}",0,0,0,1,1,1,0,2010301,0,0,0,0,0,0
56,点击召唤按钮,1,1,0,1,1,56,56,57,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_top_right"",""btn_3""}",0,0,0,1,1,1,0,2010401,0,0,0,0,0,0
57,点击基础召唤 召唤一次,1,1,0,1,1,56,56,58,summon_hallUI,0,summon_hallUI,summon_hallUI,"{""pan_center"",""low"",""btn_one""}",guide_mgr.setTouchEvent(2),0,0,1,1,1,0,2010501,0,0,0,0,0,0
58,点击返回按钮,1,1,0,1,1,59,59,60,summon_awardUI,guide_mgr.setTouchEvent(1),summon_awardUI,summon_awardUI,"{""pan_top_left"",""btn_back""}","ui_mgr.openUI(""summon_hallUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
59,点击主城召唤按钮（掉线）,1,1,0,1,1,59,59,60,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_top_right"",""btn_3""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
60,点击高级召唤 召唤一次,1,1,0,1,1,59,59,61,summon_hallUI,0,summon_hallUI,summon_hallUI,"{""pan_center"",""high"",""btn_one""}",guide_mgr.setTouchEvent(2),0,0,1,1,1,0,2010601,0,0,0,0,0,0
61,点击返回按钮,1,1,0,1,1,62,62,62,summon_awardUI,guide_mgr.setTouchEvent(1),summon_awardUI,summon_awardUI,"{""pan_top_left"",""btn_back""}","ui_mgr.closeUI(""summon_hallUI"")","ui_mgr.openUI(""game_mainUI"")",0,1,1,1,0,0,0,0,0,0,0,0
62,点击主城阵容按钮(掉线),1,1,0,1,1,62,62,63,game_mainUI,"ui_mgr.closeUI(""summon_awardUI"")",game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,2010701,0,0,0,0,0,0
63,点击4号位加号,1,1,0,1,1,62,62,64,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""item_4""}",0,0,0,1,1,1,0,2010801,0,0,0,0,0,0
64,选择未上阵--英雄1,1,1,0,1,1,62,62,66,hero_windowUI,0,hero_windowUI,hero_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,2,0,0,0,0,0,0,0,0
65,点击主城阵容按钮（掉线）,1,1,0,1,1,65,65,66,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
66,点击5号位加号,1,1,0,1,1,65,65,67,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""item_5""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
67,选择未上阵--英雄1,1,1,0,1,1,65,65,69,hero_windowUI,0,hero_windowUI,hero_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,2,0,0,0,0,0,0,0,0
68,点击主城阵容按钮(掉线),1,1,0,1,1,68,68,69,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
69,点击布阵按钮,1,1,0,1,1,68,68,70,battle_arrayUI,mod_user.savezy(69),battle_arrayUI,battle_arrayUI,"{""pan_down_center"",""bg"",""btn_embattle""}",0,0,0.25,1,1,1,0,0,0,0,0,0,0,0
70,2号位移动到4号位的效果指引表现,1,1,0,1,1,68,68,71,battle_gofightUI,0,battle_gofightUI,battle_gofightUI,"{""pan_main"",""item_guide""}",0,0,0,1,2,2,0,2010901,0,0,0,0,0,0
71,点击X,1,1,0,1,1,73,73,72,battle_gofightUI,0,battle_gofightUI,battle_gofightUI,"{""pan_main"",""btn_close""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
72,点击返回,1,1,0,1,1,73,73,73,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_top_left"",""img_bg"",""btn_back""}","ui_mgr.openUI(""game_mainUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
73,点击主城世界按钮,1,1,0,1,1,73,73,74,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_world""}",0,0,0,1,1,1,0,2020101,0,0,0,0,0,0
74,点击第二章,1,1,0,4,1,73,73,75,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item2"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
75,点击左上角快捷移动,1,1,0,4,1,73,73,76,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
76,点击战斗按钮(2-2),1,1,0,4,1,73,73,77,newChapterFightUI,0,newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10001,弹出首充界面,2,2,0,4,0,10002,10002,10002,newChapterMainUI,mod_user.savezy(10002),newActivityUI,newChapterMainUI,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
10101,点击关卡阵容,2,1,0,4,1,10104,10104,10102,newChapterMainUI,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10102,点击武器位,2,1,0,4,1,10104,10104,10103,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_1""}",0,0,0,1,1,1,0,101011,0,0,0,0,0,0
10103,点击1号位开始装备,2,1,0,4,1,10104,10104,10108,equip_windowUI,0,equip_windowUI,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10104,点击主城阵容按钮(掉线),2,1,0,1,1,10104,10104,10105,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10105,点击武器位,2,1,0,1,1,10104,10104,10106,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10106,点击1号位开始装备,2,1,0,1,1,10104,10104,10108,equip_windowUI,0,equip_windowUI,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10107,点击主城阵容按钮(掉线),2,1,0,1,1,10107,10107,10108,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10108,点击武器位,2,1,0,1,1,10107,10107,10109,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10109,点击前往,2,1,0,1,1,10107,10107,10110,equipInfo_windowUI,0,equipInfo_windowUI,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10110,点击强化,2,1,0,1,1,10107,10107,10114,equip_mainUI,0,equip_mainUI,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_1""}","ui_mgr.openUI(""equip_mainUI"")",0,0,1,1,1,0,101081,0,0,0,0,0,0
10111,点击主城阵容按钮(掉线),2,1,0,1,1,10111,10111,10112,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10112,点击武器位,2,1,0,1,1,10111,10111,10113,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10113,点击前往,2,1,0,1,1,10111,10111,10114,equipInfo_windowUI,0,equipInfo_windowUI,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10114,点击一键强化,2,1,0,1,1,10111,10111,10115,equip_mainUI,0,0,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_max""}","ui_mgr.openUI(""equip_mainUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10115,点击返回,2,1,0,1,1,11699,11699,11699,equip_mainUI,0,0,equip_mainUI,"{""pan_top_left"",""img_bg"",""btn_back""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10201,点击关卡阵容,2,1,0,4,1,10204,10204,10202,newChapterMainUI,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10202,点击武器位,2,1,0,4,1,10204,10204,10203,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_2""}",0,0,0,1,1,1,0,101011,0,0,0,0,0,0
10203,点击1号位开始装备,2,1,0,4,1,10204,10204,10208,equip_windowUI,0,equip_windowUI,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10204,点击主城阵容按钮(掉线),2,1,0,1,1,10204,10204,10205,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10205,点击武器位,2,1,0,1,1,10204,10204,10206,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_2""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10206,点击1号位开始装备,2,1,0,1,1,10204,10204,10208,equip_windowUI,0,equip_windowUI,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10207,点击主城阵容按钮(掉线),2,1,0,1,1,10207,10207,10208,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10208,点击武器位,2,1,0,1,1,10207,10207,10209,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_2""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10209,点击前往,2,1,0,1,1,10207,10207,10210,equipInfo_windowUI,0,equipInfo_windowUI,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10210,点击强化,2,1,0,1,1,10207,10207,10214,equip_mainUI,0,equip_mainUI,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_1""}","ui_mgr.openUI(""equip_mainUI"")",0,0,1,1,1,0,101081,0,0,0,0,0,0
10211,点击主城阵容按钮(掉线),2,1,0,1,1,10211,10211,10212,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10212,点击武器位,2,1,0,1,1,10211,10211,10213,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_2""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10213,点击前往,2,1,0,1,1,10211,10211,10214,equipInfo_windowUI,0,equipInfo_windowUI,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10214,点击一键强化,2,1,0,1,1,10211,10211,10215,equip_mainUI,0,0,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_max""}","ui_mgr.openUI(""equip_mainUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10215,点击返回,2,1,0,1,1,11699,11699,11699,equip_mainUI,0,0,equip_mainUI,"{""pan_top_left"",""img_bg"",""btn_back""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10301,点击关卡阵容,2,1,0,4,1,10304,10304,10302,newChapterMainUI,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10302,点击武器位,2,1,0,4,1,10304,10304,10303,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,1,1,1,0,101011,0,0,0,0,0,0
10303,点击1号位开始装备,2,1,0,4,1,10304,10304,10308,equip_windowUI,0,equip_windowUI,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10304,点击主城阵容按钮(掉线),2,1,0,1,1,10304,10304,10305,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10305,点击武器位,2,1,0,1,1,10304,10304,10306,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10306,点击1号位开始装备,2,1,0,1,1,10304,10304,10308,equip_windowUI,0,equip_windowUI,equip_windowUI,"{""pan_main"",""guide_use""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
10307,点击主城阵容按钮(掉线),2,1,0,1,1,10307,10307,10308,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10308,点击武器位,2,1,0,1,1,10307,10307,10309,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10309,点击前往,2,1,0,1,1,10307,10307,10310,equipInfo_windowUI,0,equipInfo_windowUI,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10310,点击强化,2,1,0,1,1,10307,10307,10314,equip_mainUI,0,equip_mainUI,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_1""}","ui_mgr.openUI(""equip_mainUI"")",0,0,1,1,1,0,101081,0,0,0,0,0,0
10311,点击主城阵容按钮(掉线),2,1,0,1,1,10311,10311,10312,game_mainUI,0,game_mainUI,game_mainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10312,点击武器位,2,1,0,1,1,10311,10311,10313,battle_arrayUI,0,battle_arrayUI,battle_arrayUI,"{""pan_center_left"",""bg"",""item_3""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10313,点击前往,2,1,0,1,1,10311,10311,10314,equipInfo_windowUI,0,equipInfo_windowUI,equipInfo_windowUI,"{""pan_main"",""btn_hecheng""}",0,0,0,1,1,1,0,0,0,0,0,0,0,0
10314,点击一键强化,2,1,0,1,1,10311,10311,10315,equip_mainUI,0,0,equip_mainUI,"{""pan_right"",""right_bg"",""pan_intensify"",""btn_intensify_max""}","ui_mgr.openUI(""equip_mainUI"")",0,0,1,1,1,0,0,0,0,0,0,0,0
