id,group,item,num,icon,refreshweight,extractweight,only,have,notice
20050,2002,44200104,20,1,1,1,0,0,0
20051,2002,44200304,20,1,1,1,0,0,0
20052,2002,44200504,20,1,1,1,0,0,0
20053,2002,44200704,20,1,1,1,0,0,0
20054,2002,44200804,20,1,1,1,0,0,0
20055,2002,44200904,20,1,1,1,0,0,0
20056,2002,44300104,20,1,1,1,0,0,0
20057,2002,44300204,20,1,1,1,0,0,0
20058,2002,44300304,20,1,1,1,0,0,0
20059,2002,44300504,20,1,1,1,0,0,0
20060,2002,44300704,20,1,1,1,0,0,0
20061,2002,44300904,20,1,1,1,0,0,0
20062,2002,44301104,20,1,1,1,0,0,0
20063,2002,44400204,20,1,1,1,0,0,0
20064,2002,44400404,20,1,1,1,0,0,0
20065,2002,44400504,20,1,1,1,0,0,0
20066,2002,44400604,20,1,1,1,0,0,0
20067,2002,44401004,20,1,1,1,0,0,0
20068,2002,42100704,1,1,1,1,0,0,0
20069,2002,42101004,1,1,1,1,0,0,0
20070,2002,42200404,1,1,1,1,0,0,0
20071,2002,42200604,1,1,1,1,0,0,0
20072,2002,42201004,1,1,1,1,0,0,0
20073,2002,42300404,1,1,1,1,0,0,0
20074,2002,42300604,1,1,1,1,0,0,0
20075,2002,42300804,1,1,1,1,0,0,0
20076,2002,42301204,1,1,1,1,0,0,0
20077,2002,42400104,1,1,1,1,0,0,0
20078,2002,42400804,1,1,1,1,0,0,0
20079,2002,42400904,1,1,1,1,0,0,0
20080,2003,44100704,20,1,1,1,0,0,0
20081,2003,44101004,20,1,1,1,0,0,0
20082,2003,44200404,20,1,1,1,0,0,0
20083,2003,44200604,20,1,1,1,0,0,0
20084,2003,44201004,20,1,1,1,0,0,0
20085,2003,44300404,20,1,1,1,0,0,0
20086,2003,44300604,20,1,1,1,0,0,0
20087,2003,44300804,20,1,1,1,0,0,0
20088,2003,44301204,20,1,1,1,0,0,0
20089,2003,44400104,20,1,1,1,0,0,0
20090,2003,44400804,20,1,1,1,0,0,0
20091,2003,44400904,20,1,1,1,0,0,0
20092,2003,44100104,10,1,1,1,0,0,0
20093,2003,44100204,10,1,1,1,0,0,0
20094,2003,44100504,10,1,1,1,0,0,0
20095,2003,44100604,10,1,1,1,0,0,0
20096,2003,44100804,10,1,1,1,0,0,0
20097,2003,44101104,10,1,1,1,0,0,0
20098,2003,44200104,10,1,1,1,0,0,0
20099,2003,44200304,10,1,1,1,0,0,0
20100,2003,44200504,10,1,1,1,0,0,0
20101,2003,44200704,10,1,1,1,0,0,0
20102,2003,44200804,10,1,1,1,0,0,0
20103,2003,44200904,10,1,1,1,0,0,0
20104,2003,44300104,10,1,1,1,0,0,0
20105,2003,44300204,10,1,1,1,0,0,0
20106,2003,44300304,10,1,1,1,0,0,0
20107,2003,44300504,10,1,1,1,0,0,0
20108,2003,44300704,10,1,1,1,0,0,0
20109,2003,44300904,10,1,1,1,0,0,0
20110,2003,44301104,10,1,1,1,0,0,0
20111,2003,44400204,10,1,1,1,0,0,0
20112,2003,44400404,10,1,1,1,0,0,0
20113,2003,44400504,10,1,1,1,0,0,0
20114,2003,44400604,10,1,1,1,0,0,0
20115,2003,44401004,10,1,1,1,0,0,0
