star_id,star_lv,star_quality,star_num,cost_type1,cost_num1,cost_type2,cost_num2,cost_type3,cost_num3,cost_type4,cost_num4
100003,1,2,1,91000001,63000,31000101,2,0,0,0,0
100003,2,2,2,91000001,94000,31000101,3,0,0,0,0
100003,3,2,3,91000001,125000,31000102,1,0,0,0,0
100003,4,3,1,91000001,156000,31000102,2,0,0,0,0
100003,5,3,2,91000001,188000,31000102,3,0,0,0,0
100003,6,3,3,91000001,219000,31000103,1,0,0,0,0
100003,7,4,1,91000001,250000,31000103,2,0,0,0,0
100003,8,4,2,91000001,281000,31000103,3,0,0,0,0
100003,9,4,3,91000001,313000,31000104,1,0,0,0,0
100003,10,5,1,91000001,344000,31000104,2,0,0,0,0
100003,11,5,2,91000001,375000,31000105,1,0,0,0,0
100003,12,5,3,91000001,406000,31000105,2,0,0,0,0
100003,13,6,1,91000001,438000,31000106,1,0,0,0,0
100003,14,6,2,91000001,469000,31000106,2,0,0,0,0
100003,15,6,3,0,0,0,0,0,0,0,0
100004,0,0,0,91000001,63000,31000101,2,0,0,0,0
100004,1,2,1,91000001,125000,31000101,4,0,0,0,0
100004,2,2,2,91000001,188000,31000101,6,0,0,0,0
100004,3,2,3,91000001,250000,31000102,2,0,0,0,0
100004,4,3,1,91000001,313000,31000102,4,0,0,0,0
100004,5,3,2,91000001,375000,31000102,6,0,0,0,0
100004,6,3,3,91000001,438000,31000103,2,0,0,0,0
100004,7,4,1,91000001,500000,31000103,4,0,0,0,0
100004,8,4,2,91000001,563000,31000103,6,0,0,0,0
100004,9,4,3,91000001,625000,31000104,2,0,0,0,0
100004,10,5,1,91000001,688000,31000104,4,0,0,0,0
100004,11,5,2,91000001,750000,31000105,2,0,0,0,0
100004,12,5,3,91000001,813000,31000105,4,0,0,0,0
100004,13,6,1,91000001,875000,31000106,2,0,0,0,0
100004,14,6,2,91000001,938000,31000106,4,0,0,0,0
100004,15,6,3,0,0,0,0,0,0,0,0
100005,0,0,0,91000001,125000,31000101,4,0,0,0,0
100005,1,2,1,91000001,250000,31000101,8,0,0,0,0
100005,2,2,2,91000001,375000,31000101,12,0,0,0,0
100005,3,2,3,91000001,500000,31000102,4,0,0,0,0
100005,4,3,1,91000001,625000,31000102,8,0,0,0,0
100005,5,3,2,91000001,750000,31000102,12,0,0,0,0
100005,6,3,3,91000001,875000,31000103,4,0,0,0,0
100005,7,4,1,91000001,1000000,31000103,8,0,0,0,0
100005,8,4,2,91000001,1125000,31000103,12,0,0,0,0
100005,9,4,3,91000001,1250000,31000104,4,0,0,0,0
100005,10,5,1,91000001,1375000,31000104,8,0,0,0,0
100005,11,5,2,91000001,1500000,31000105,4,0,0,0,0
100005,12,5,3,91000001,1625000,31000105,8,0,0,0,0
100005,13,6,1,91000001,1750000,31000106,4,0,0,0,0
100005,14,6,2,91000001,1875000,31000106,8,0,0,0,0
100005,15,6,3,0,0,0,0,0,0,0,0
100006,0,0,0,91000001,250000,31000101,8,0,0,0,0
100006,1,2,1,91000001,500000,31000101,16,0,0,0,0
100006,2,2,2,91000001,750000,31000101,24,0,0,0,0
100006,3,2,3,91000001,1000000,31000102,8,0,0,0,0
100006,4,3,1,91000001,1250000,31000102,16,0,0,0,0
100006,5,3,2,91000001,1500000,31000102,24,0,0,0,0
100006,6,3,3,91000001,1750000,31000103,8,0,0,0,0
100006,7,4,1,91000001,2000000,31000103,16,0,0,0,0
100006,8,4,2,91000001,2250000,31000103,24,0,0,0,0
100006,9,4,3,91000001,2500000,31000104,8,0,0,0,0
100006,10,5,1,91000001,2750000,31000104,16,0,0,0,0
100006,11,5,2,91000001,3000000,31000105,8,0,0,0,0
100006,12,5,3,91000001,3250000,31000105,16,0,0,0,0
100006,13,6,1,91000001,3500000,31000106,8,0,0,0,0
100006,14,6,2,91000001,3750000,31000106,16,0,0,0,0
100006,15,6,3,0,0,0,0,0,0,0,0
