id,sort,chapter,type,dec,titlet,begin,txt,thingid,explore,item1,num1,item2,num2,item3,num3,item4,num4
26,2,4,1,"        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。",4-3 法师头领,尊敬的领主大人：,\n    法师头领挡住了前行道路，击败他们。,403,0,0,0,0,0,0,0,0,0
27,3,4,1,"        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。",4-5 森林兽人,尊敬的领主大人：,\n    森林里的兽人亲近自然，但似乎并不热爱和平。,405,0,0,0,0,0,0,0,0,0
28,4,4,1,"        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。",4-8 灵魂呼唤,尊敬的领主大人：,\n    唤灵妖姬们一点儿也不友好。,408,0,0,0,0,0,0,0,0,0
29,5,4,1,"        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。",4-10 幕后之人,尊敬的领主大人：,\n    我们应该可以从这里知道幕后主宰。,410,0,0,0,0,0,0,0,0,0
30,1,4,2,4-2 遗迹,4-2 遗迹,0,0,402,20,91000001,100,0,0,0,0,0,0
31,2,4,2,4-4 谈判,4-4 谈判,0,0,404,20,91000001,100,0,0,0,0,0,0
32,3,4,2,4-6 狮鹫,4-6 狮鹫,0,0,406,20,91000001,100,0,0,0,0,0,0
33,4,4,2,4-7 遗迹,4-7 遗迹,0,0,407,20,91000001,100,0,0,0,0,0,0
34,5,4,2,4-9 谈判,4-9 谈判,0,0,409,20,91000001,100,0,0,0,0,0,0
35,1,5,1,"        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。",5-1 惊慌精灵,尊敬的领主大人：,\n    看起来这片森林不像想象中的那么宁静。,501,0,0,0,0,0,0,0,0,0
36,2,5,1,"        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。",5-3 暗夜精灵,尊敬的领主大人：,\n    暗夜精灵常认为自己深耕于黑暗，却侍奉光明。,503,0,0,0,0,0,0,0,0,0
37,3,5,1,"        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。",5-5 森之鹿,尊敬的领主大人：,\n    在暗夜精灵来到这里前，小鹿认为他们爱好和平。,505,0,0,0,0,0,0,0,0,0
38,4,5,1,"        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。",5-8 精灵之往,尊敬的领主大人：,\n    精灵与暗精灵曾同为一族，如今却分道扬镳乃至同室操戈。,508,0,0,0,0,0,0,0,0,0
39,5,5,1,"        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。",5-10 暗夜使命,尊敬的领主大人：,\n    精灵们的凛冬将至。,510,0,0,0,0,0,0,0,0,0
40,1,5,2,5-2 遗迹,5-3 遗迹,0,0,502,20,91000001,100,0,0,0,0,0,0
41,2,5,2,5-4 愤怒精灵,5-5 愤怒精灵,0,0,504,20,91000001,100,0,0,0,0,0,0
42,3,5,2,5-6 冰封女王,5-7 冰封女王,0,0,506,20,91000001,100,0,0,0,0,0,0
43,4,5,2,5-7 遗迹,5-8 遗迹,0,0,507,20,91000001,100,0,0,0,0,0,0
44,5,5,2,5-9 真相大白,5-10 真相大白,0,0,509,20,91000001,100,0,0,0,0,0,0
45,1,6,1,"        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。",6-1 女祭司,尊敬的领主大人：,\n    精灵女祭司出现了。,601,0,0,0,0,0,0,0,0,0
46,2,6,1,"        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。",6-3 弓箭手,尊敬的领主大人：,\n    精灵弓箭手出现了，她的弓很快，我们最好小心点。,603,0,0,0,0,0,0,0,0,0
47,3,6,1,"        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。",6-5 黑羽之箭,尊敬的领主大人：,\n    多么响亮的名字啊，黑羽之箭。,605,0,0,0,0,0,0,0,0,0
48,4,6,1,"        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。",6-8 入侵恶魔,尊敬的领主大人：,\n    似乎是恶魔们入侵了暗精灵的巢穴。,608,0,0,0,0,0,0,0,0,0
49,5,6,1,"        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。",6-10 恶魔领主,尊敬的领主大人：,\n    我们在这里遭遇了恶魔领主，当心。,610,0,0,0,0,0,0,0,0,0
50,1,6,2,6-2 遗迹,6-3 遗迹,0,0,602,20,91000001,100,0,0,0,0,0,0
51,2,6,2,6-4 女刀手,6-5 女刀手,0,0,604,20,91000001,100,0,0,0,0,0,0
52,3,6,2,6-6 多头蛇,6-7 多头蛇,0,0,606,20,91000001,100,0,0,0,0,0,0
53,4,6,2,6-7 遗迹,6-8 遗迹,0,0,607,20,91000001,100,0,0,0,0,0,0
54,5,6,2,6-9 破风之箭,6-10 破风之箭,0,0,609,20,91000001,100,0,0,0,0,0,0
55,1,7,1,"        终于来到赫利海姆的荒原，却没想到遭到了人类蛮族的袭击。",7-1 蛮族小兵,尊敬的领主大人：,\n    蛮族小兵出现了。,701,0,0,0,0,0,0,0,0,0
56,2,7,1,"        终于来到赫利海姆的荒原，却没想到遭到了人类蛮族的袭击。",7-3 刀客,尊敬的领主大人：,\n    他的刀比很快，比狼还快。,703,0,0,0,0,0,0,0,0,0
57,3,7,1,"        终于来到赫利海姆的荒原，却没想到遭到了人类蛮族的袭击。",7-5 拦路骑士,尊敬的领主大人：,\n    骑士拦住了我们前行的道路。,705,0,0,0,0,0,0,0,0,0
58,4,7,1,"        终于来到赫利海姆的荒原，却没想到遭到了人类蛮族的袭击。",7-8 火法师,尊敬的领主大人：,\n    热情似火的火法师出现了。,708,0,0,0,0,0,0,0,0,0
59,5,7,1,"        终于来到赫利海姆的荒原，却没想到遭到了人类蛮族的袭击。",7-10 蛮族之王,尊敬的领主大人：,\n    蛮族之王很少接见外客，他一年四季都忙着作战。,710,0,0,0,0,0,0,0,0,0
60,1,7,2,7-2 遗迹,7-3 遗迹,0,0,702,20,91000001,100,0,0,0,0,0,0
61,2,7,2,7-4 拦路法师,7-5 拦路法师,0,0,704,20,91000001,100,0,0,0,0,0,0
62,3,7,2,7-6 持剑之人,7-7 持剑之人,0,0,706,20,91000001,100,0,0,0,0,0,0
63,4,7,2,7-7 遗迹,7-8 遗迹,0,0,707,20,91000001,100,0,0,0,0,0,0
64,5,7,2,7-9 持刀之人,7-10 持刀之人,0,0,709,20,91000001,100,0,0,0,0,0,0
65,1,8,1,"        我们发现了暗灵的前沿阵地，可以主动发起进攻。",8-1 暮光骑士,尊敬的领主大人：,\n    暮光骑士出现了。,801,0,0,0,0,0,0,0,0,0
66,2,8,1,"        我们发现了暗灵的前沿阵地，可以主动发起进攻。",8-3 暗灵祭司,尊敬的领主大人：,\n    暗灵祭司出现了。,803,0,0,0,0,0,0,0,0,0
67,3,8,1,"        我们发现了暗灵的前沿阵地，可以主动发起进攻。",8-5 暮光骑士,尊敬的领主大人：,\n    暮光骑士原来和暮光骑士看起来一模一样。,805,0,0,0,0,0,0,0,0,0
68,4,8,1,"        我们发现了暗灵的前沿阵地，可以主动发起进攻。",8-8 暗灵战士,尊敬的领主大人：,\n    暗灵战士拦住了我们的去路。,808,0,0,0,0,0,0,0,0,0
69,5,8,1,"        我们发现了暗灵的前沿阵地，可以主动发起进攻。",8-10 暗灵大帝,尊敬的领主大人：,\n    暗灵大帝愤怒了，但我们可以打败他。,810,0,0,0,0,0,0,0,0,0
70,1,8,2,8-2 遗迹,8-3 遗迹,0,0,802,20,91000001,100,0,0,0,0,0,0
71,2,8,2,8-4 暮光骑士,8-5 暮光骑士,0,0,804,20,91000001,100,0,0,0,0,0,0
72,3,8,2,8-6 三头犬,8-7 三头犬,0,0,806,20,91000001,100,0,0,0,0,0,0
73,4,8,2,8-7 遗迹,8-8 遗迹,0,0,807,20,91000001,100,0,0,0,0,0,0
74,5,8,2,8-9 暗灵恶魔,8-10 暗灵恶魔,0,0,809,20,91000001,100,0,0,0,0,0,0
75,1,9,1,"        圣赫利已经被暗灵包围，我们要解救被控制住的人类。",9-1 暮光骑士,尊敬的领主大人：,\n    暮光骑士出现了，第一次。,901,0,0,0,0,0,0,0,0,0
76,2,9,1,"        圣赫利已经被暗灵包围，我们要解救被控制住的人类。",9-3 暮光骑士,尊敬的领主大人：,\n    暮光骑士出现了，第二次。,903,0,0,0,0,0,0,0,0,0
77,3,9,1,"        圣赫利已经被暗灵包围，我们要解救被控制住的人类。",9-5 暮光骑士,尊敬的领主大人：,\n    看来暮光骑士还真是对我们执着不休呀。,905,0,0,0,0,0,0,0,0,0
78,4,9,1,"        圣赫利已经被暗灵包围，我们要解救被控制住的人类。",9-8 年轻士兵,尊敬的领主大人：,\n    这个士兵足够年轻足可以去牺牲自我了。,908,0,0,0,0,0,0,0,0,0
79,5,9,1,"        圣赫利已经被暗灵包围，我们要解救被控制住的人类。",9-10 暮光骑士,尊敬的领主大人：,\n    面对他，夺得胜利吧。,910,0,0,0,0,0,0,0,0,0
80,1,9,2,9-2 遗迹,9-3 遗迹,0,0,902,20,91000001,100,0,0,0,0,0,0
81,2,9,2,9-4 年轻骑士,9-5 年轻骑士,0,0,904,20,91000001,100,0,0,0,0,0,0
82,3,9,2,9-6 年轻士兵,9-7 年轻士兵,0,0,906,20,91000001,100,0,0,0,0,0,0
83,4,9,2,9-7 遗迹,9-8 遗迹,0,0,907,20,91000001,100,0,0,0,0,0,0
84,5,9,2,9-9 刀客,9-10 刀客,0,0,909,20,91000001,100,0,0,0,0,0,0
85,1,10,1,"        我们集结泰拉尔的援军向暗灵发起反攻，但圣物却已被腐化。",10-1 暗灵祭祀,尊敬的领主大人：,\n    新的暗灵祭司出现了。,1001,0,0,0,0,0,0,0,0,0
86,2,10,1,"        我们集结泰拉尔的援军向暗灵发起反攻，但圣物却已被腐化。",10-3 暗灵法师,尊敬的领主大人：,\n    暗灵法师出现了。,1003,0,0,0,0,0,0,0,0,0
87,3,10,1,"        我们集结泰拉尔的援军向暗灵发起反攻，但圣物却已被腐化。",10-5 女法师,尊敬的领主大人：,\n    人类女法师出现了。,1005,0,0,0,0,0,0,0,0,0
88,4,10,1,"        我们集结泰拉尔的援军向暗灵发起反攻，但圣物却已被腐化。",10-8 暗灵祭司,尊敬的领主大人：,\n    暗灵祭司挡住了我们前行的道路。,1008,0,0,0,0,0,0,0,0,0
89,5,10,1,"        我们集结泰拉尔的援军向暗灵发起反攻，但圣物却已被腐化。",10-10 女祭司,尊敬的领主大人：,\n    她是祭司们的首领，她讲课很好所以带出了一大批优秀祭司。,1010,0,0,0,0,0,0,0,0,0
90,1,10,2,10-2 遗迹,10-3 遗迹,0,0,1002,20,91000001,100,0,0,0,0,0,0
91,2,10,2,10-4 暗灵法师,10-5 暗灵法师,0,0,1004,20,91000001,100,0,0,0,0,0,0
92,3,10,2,10-6 狮蝎,10-7 狮蝎,0,0,1006,20,91000001,100,0,0,0,0,0,0
93,4,10,2,10-7 遗迹,10-8 遗迹,0,0,1007,20,91000001,100,0,0,0,0,0,0
94,5,10,2,10-9 暗灵法师,10-10 暗灵法师,0,0,1009,20,91000001,100,0,0,0,0,0,0
95,1,11,1,"        先知告诉我们五巨龙神器可以净化生物，我们来到炼狱山寻找红龙。",11-1 邪恶法师,尊敬的领主大人：,\n    邪恶的法师出现了。,1101,0,0,0,0,0,0,0,0,0
96,2,11,1,"        先知告诉我们五巨龙神器可以净化生物，我们来到炼狱山寻找红龙。",11-3 邪恶兽人,尊敬的领主大人：,\n    邪恶的兽人出现了。,1103,0,0,0,0,0,0,0,0,0
97,3,11,1,"        先知告诉我们五巨龙神器可以净化生物，我们来到炼狱山寻找红龙。",11-5 野蛮兽人,尊敬的领主大人：,\n    野蛮的兽人不给我们和平通过的选项。,1105,0,0,0,0,0,0,0,0,0
98,4,11,1,"        先知告诉我们五巨龙神器可以净化生物，我们来到炼狱山寻找红龙。",11-8 野蛮战士,尊敬的领主大人：,\n    这位战士想要和我们打一场。,1108,0,0,0,0,0,0,0,0,0
99,5,11,1,"        先知告诉我们五巨龙神器可以净化生物，我们来到炼狱山寻找红龙。",11-10 兽人英雄,尊敬的领主大人：,\n    由于打败了他的众多手下，兽人英雄决定亲自与我们战斗。,1110,0,0,0,0,0,0,0,0,0
100,1,11,2,11-2 遗迹,11-3 遗迹,0,0,1102,20,91000001,100,0,0,0,0,0,0
101,2,11,2,11-4 牛头人,11-5 牛头人,0,0,1104,20,91000001,100,0,0,0,0,0,0
102,3,11,2,11-6 邪恶祭司,11-7 邪恶祭司,0,0,1106,20,91000001,100,0,0,0,0,0,0
103,4,11,2,11-7 遗迹,11-8 遗迹,0,0,1107,20,91000001,100,0,0,0,0,0,0
104,5,11,2,11-9 野蛮兽人,11-10 野蛮兽人,0,0,1109,20,91000001,100,0,0,0,0,0,0
105,1,12,1,"        到达壁垒之山，我们却遭遇了恶魔的袭击。",12-1 小恶魔,尊敬的领主大人：,\n    恶魔们决定先下手为强，派出了一个……小恶魔。,1201,0,0,0,0,0,0,0,0,0
106,2,12,1,"        到达壁垒之山，我们却遭遇了恶魔的袭击。",12-3 恶魔法师,尊敬的领主大人：,\n    小恶魔失败了，所以他们派出了法师。,1203,0,0,0,0,0,0,0,0,0
107,3,12,1,"        到达壁垒之山，我们却遭遇了恶魔的袭击。",12-5 恶魔祭司,尊敬的领主大人：,\n    恶魔法师也失败了，所以他们派出了祭司。,1205,0,0,0,0,0,0,0,0,0
108,4,12,1,"        到达壁垒之山，我们却遭遇了恶魔的袭击。",12-8 恶魔祭司,尊敬的领主大人：,\n    虽然祭司失败过一次，但恶魔们决定再给他一次机会。,1208,0,0,0,0,0,0,0,0,0
109,5,12,1,"        到达壁垒之山，我们却遭遇了恶魔的袭击。",12-10 恶魔领主,尊敬的领主大人：,\n    所有恶魔都败倒后，恶魔领主决定亲自上场打败我们。,1210,0,0,0,0,0,0,0,0,0
110,1,12,2,12-2 遗迹,12-3 遗迹,0,0,1202,20,91000001,100,0,0,0,0,0,0
111,2,12,2,12-4 小恶魔,12-5 小恶魔,0,0,1204,20,91000001,100,0,0,0,0,0,0
112,3,12,2,12-6 女法师,12-7 女法师,0,0,1206,20,91000001,100,0,0,0,0,0,0
113,4,12,2,12-7 遗迹,12-8 遗迹,0,0,1207,20,91000001,100,0,0,0,0,0,0
114,5,12,2,12-9 女祭司,12-10 女祭司,0,0,1209,20,91000001,100,0,0,0,0,0,0
115,1,13,1,"        我们来到斯卡尔巨龙的巢穴，这会是场硬仗。",13-1 野蛮兽人,尊敬的领主大人：,\n    野蛮的兽人出现了。,1301,0,0,0,0,0,0,0,0,0
116,2,13,1,"        我们来到斯卡尔巨龙的巢穴，这会是场硬仗。",13-3 兽人头目,尊敬的领主大人：,\n    兽人头目打算亲自会会我们。,1303,0,0,0,0,0,0,0,0,0
117,3,13,1,"        我们来到斯卡尔巨龙的巢穴，这会是场硬仗。",13-5 恶魔祭司,尊敬的领主大人：,\n    恶魔祭司想要暗算我们，但他们不可能得逞。,1305,0,0,0,0,0,0,0,0,0
118,4,13,1,"        我们来到斯卡尔巨龙的巢穴，这会是场硬仗。",13-8 牛头人,尊敬的领主大人：,\n    牛头人出现了。,1308,0,0,0,0,0,0,0,0,0
119,5,13,1,"        我们来到斯卡尔巨龙的巢穴，这会是场硬仗。",13-10 斯卡尔,尊敬的领主大人：,\n    巨龙斯卡尔拥有巨大的力量，这会是场艰难、勇敢的战斗。,1310,0,0,0,0,0,0,0,0,0
120,1,13,2,13-2 遗迹,13-3 遗迹,0,0,1302,20,91000001,100,0,0,0,0,0,0
121,2,13,2,13-4 小恶魔,13-5 小恶魔,0,0,1304,20,91000001,100,0,0,0,0,0,0
122,3,13,2,13-6 恶魔祭司,13-7 恶魔祭司,0,0,1306,20,91000001,100,0,0,0,0,0,0
123,4,13,2,13-7 遗迹,13-8 遗迹,0,0,1307,20,91000001,100,0,0,0,0,0,0
124,5,13,2,13-9 恶魔法师,13-10 恶魔法师,0,0,1309,20,91000001,100,0,0,0,0,0,0
125,1,14,1,"        我们来到天穹峰，据说这里有其他巨龙的线索。",14-1 矮人战士,尊敬的领主大人：,\n    矮人战士出现了。,1401,0,0,0,0,0,0,0,0,0
126,2,14,1,"        我们来到天穹峰，据说这里有其他巨龙的线索。",14-3 矮人头目,尊敬的领主大人：,\n    矮人头目常常因为自己不够高而感觉与其他种族格格不入。,1403,0,0,0,0,0,0,0,0,0
127,3,14,1,"        我们来到天穹峰，据说这里有其他巨龙的线索。",14-5 小矮人,尊敬的领主大人：,\n    他是小矮人，但不是白雪公主里的。,1405,0,0,0,0,0,0,0,0,0
128,4,14,1,"        我们来到天穹峰，据说这里有其他巨龙的线索。",14-8 矮人战士,尊敬的领主大人：,\n    矮人战士说：你可真高。,1408,0,0,0,0,0,0,0,0,0
129,5,14,1,"        我们来到天穹峰，据说这里有其他巨龙的线索。",14-10 矮人英雄,尊敬的领主大人：,\n    矮人英雄决定用自己的力量证明矮人一族的荣耀。,1410,0,0,0,0,0,0,0,0,0
130,1,14,2,14-2 遗迹,14-3 遗迹,0,0,1402,20,91000001,100,0,0,0,0,0,0
131,2,14,2,14-4 矮人士兵,14-5 矮人士兵,0,0,1404,20,91000001,100,0,0,0,0,0,0
132,3,14,2,14-6 矮人战士,14-7 矮人战士,0,0,1406,20,91000001,100,0,0,0,0,0,0
133,4,14,2,14-7 遗迹,14-8 遗迹,0,0,1407,20,91000001,100,0,0,0,0,0,0
134,5,14,2,14-9 矮人士兵,14-10 矮人士兵,0,0,1409,20,91000001,100,0,0,0,0,0,0
135,1,15,1,"        我们千辛万苦到达龙爪半岛，暗灵们死灰复燃又来袭击我们了。",15-1 巫妖刺客,尊敬的领主大人：,\n    巫妖的刺客出现了。,1501,0,0,0,0,0,0,0,0,0
136,2,15,1,"        我们千辛万苦到达龙爪半岛，暗灵们死灰复燃又来袭击我们了。",15-3 巫妖刺客,尊敬的领主大人：,\n    巫妖的刺客又出现了。,1503,0,0,0,0,0,0,0,0,0
137,3,15,1,"        我们千辛万苦到达龙爪半岛，暗灵们死灰复燃又来袭击我们了。",15-5 巫妖刺客,尊敬的领主大人：,\n    巫妖的刺客又又又出现了。,1505,0,0,0,0,0,0,0,0,0
138,4,15,1,"        我们千辛万苦到达龙爪半岛，暗灵们死灰复燃又来袭击我们了。",15-8 巫妖刺客,尊敬的领主大人：,\n    巫妖的刺客又又又又出现了。,1508,0,0,0,0,0,0,0,0,0
139,5,15,1,"        我们千辛万苦到达龙爪半岛，暗灵们死灰复燃又来袭击我们了。",15-10 巫妖王,尊敬的领主大人：,\n    巫妖王因你消灭了太多巫妖刺客而愤怒，亲自出马了。,1510,0,0,0,0,0,0,0,0,0
140,1,15,2,15-2 遗迹,15-3 遗迹,0,0,1502,20,91000001,100,0,0,0,0,0,0
141,2,15,2,15-4 巫妖祭司,15-5 巫妖祭司,0,0,1504,20,91000001,100,0,0,0,0,0,0
142,3,15,2,15-6 遗忘海岸,15-7 遗忘海岸,0,0,1506,20,91000001,100,0,0,0,0,0,0
143,4,15,2,15-7 遗迹,15-8 遗迹,0,0,1507,20,91000001,100,0,0,0,0,0,0
144,5,15,2,15-9 巫妖刺客,15-10 巫妖刺客,0,0,1509,20,91000001,100,0,0,0,0,0,0
145,1,16,1,"        我们来到暗灵海岸，却发现巨龙已经被暗灵控制。",16-1 暗灵刺客,尊敬的领主大人：,\n    暗灵的刺客身手矫捷，他们有专门的训练团队。,1601,0,0,0,0,0,0,0,0,0
146,2,16,1,"        我们来到暗灵海岸，却发现巨龙已经被暗灵控制。",16-3 矮人战士,尊敬的领主大人：,\n    矮人与暗灵沆瀣一气，拦住了我们的去路。,1603,0,0,0,0,0,0,0,0,0
147,3,16,1,"        我们来到暗灵海岸，却发现巨龙已经被暗灵控制。",16-5 暗灵刺客,尊敬的领主大人：,\n    上一个刺客失败了，新的刺客前赴后继。,1605,0,0,0,0,0,0,0,0,0
148,4,16,1,"        我们来到暗灵海岸，却发现巨龙已经被暗灵控制。",16-8 矮人战士,尊敬的领主大人：,\n    矮人们想要成为新的掌权者，因为旧的太高了。,1608,0,0,0,0,0,0,0,0,0
149,5,16,1,"        我们来到暗灵海岸，却发现巨龙已经被暗灵控制。",16-10 阿卡拉,尊敬的领主大人：,\n    巨龙已经被暗灵控制，击杀它我能就能得到一部分神器。,1610,0,0,0,0,0,0,0,0,0
150,1,16,2,16-2 遗迹,16-3 遗迹,0,0,1602,20,91000001,100,0,0,0,0,0,0
151,2,16,2,16-4 矮人士兵,16-5 矮人士兵,0,0,1604,20,91000001,100,0,0,0,0,0,0
152,3,16,2,16-6 暗灵祭司,16-7 暗灵祭司,0,0,1606,20,91000001,100,0,0,0,0,0,0
153,4,16,2,16-7 遗迹,16-8 遗迹,0,0,1607,20,91000001,100,0,0,0,0,0,0
154,5,16,2,16-9 暗灵祭司,16-10 暗灵祭司,0,0,1609,20,91000001,100,0,0,0,0,0,0
155,1,17,1,"        我们来到弧光城，在这里可以寻找其他巨龙的下落。",17-1 刀客,尊敬的领主大人：,\n    神秘的刀客出现了。,1701,0,0,0,0,0,0,0,0,0
156,2,17,1,"        我们来到弧光城，在这里可以寻找其他巨龙的下落。",17-3 年轻骑士,尊敬的领主大人：,\n    年轻的骑士出现了，他想要证明自己（送死）。,1703,0,0,0,0,0,0,0,0,0
157,3,17,1,"        我们来到弧光城，在这里可以寻找其他巨龙的下落。",17-5 年轻法师,尊敬的领主大人：,\n    年轻的法师出现了，因为年轻的骑士被打败。,1705,0,0,0,0,0,0,0,0,0
158,4,17,1,"        我们来到弧光城，在这里可以寻找其他巨龙的下落。",17-8 冰系法师,尊敬的领主大人：,\n    冰系法师出现了，他觉得被打败的年轻法师法术修行不到家。,1708,0,0,0,0,0,0,0,0,0
159,5,17,1,"        我们来到弧光城，在这里可以寻找其他巨龙的下落。",17-10 暮光骑士,尊敬的领主大人：,\n    暮光骑士一直都对你很有兴趣，来好好打一场吧。,1710,0,0,0,0,0,0,0,0,0
160,1,17,2,17-2 遗迹,17-3 遗迹,0,0,1702,20,91000001,100,0,0,0,0,0,0
161,2,17,2,17-4 刀客,17-4 刀客,0,0,1704,20,91000001,100,0,0,0,0,0,0
162,3,17,2,17-6 刀客,17-6 刀客,0,0,1706,20,91000001,100,0,0,0,0,0,0
163,4,17,2,17-7 遗迹,17-8 遗迹,0,0,1707,20,91000001,100,0,0,0,0,0,0
164,5,17,2,17-9 冰系法师,17-10 冰系法师,0,0,1709,20,91000001,100,0,0,0,0,0,0
165,1,18,1,"        我们来到了奥克斯坦，却没想到加莱也在这里。",18-1 暗灵刺客,尊敬的领主大人：,\n    暗灵刺客出现了，是加莱派来的。,1801,0,0,0,0,0,0,0,0,0
166,2,18,1,"        我们来到了奥克斯坦，却没想到加莱也在这里。",18-3 暗灵祭司,尊敬的领主大人：,\n    暗灵祭司出现了，也是加莱派来的。,1803,0,0,0,0,0,0,0,0,0
