id,type,row,rcolor,gcolor,bcolor,instruction,fontsize
38,7,5,243,220,180,4.完成挑战可获大量骑兵属性点，用于提升骑兵军阵属性。,20
39,8,1,288,182,54,弓兵试炼说明：,24
40,8,2,243,220,180,1.每周三，五，日开放。,20
41,8,3,243,220,180,2.主公等级32级以上可参加。,20
42,8,4,243,220,180,3.每日凌晨5点重置挑战次数。,20
43,8,5,243,220,180,4.完成挑战可获大量弓兵属性点，用于提升弓兵军阵属性。,20
44,9,1,288,182,54,城池繁荣度说明：,24
45,9,2,243,220,180,每个已解放城池都有单独的繁荣度，繁荣度影响事件指定英雄属性。,20
46,9,3,243,220,180,繁荣度提升需要城池经验，城池经验达到升级值后，繁荣度即提升。,20
47,9,4,288,182,54,城池经验来源：,24
48,9,5,243,220,180,1.城池建设：,20
49,9,,243,220,180,完成城池内件建筑建造。,20
50,9,6,243,220,180,2.关卡战斗：,20
51,9,,243,220,180,本城池关卡每次战斗即可获得一定的城池经验，扫荡也算。,20
52,9,7,243,220,180,3.建筑征收：,20
53,9,,243,220,180,城池建筑派遣英雄驻守后，每次进行训武、锻造等可获得城池经验。,20
54,10,1,288,182,54,建筑玩法说明：,24
55,10,7,243,220,180,1.每个城池都有其特定的建筑种类，分别产出不同的道具类型。,20
56,10,8,213,189,131,2.派遣英雄至城池建筑中进行驻守，即可激活建筑开始生产。,20
57,10,9,214,190,132,3.根据建筑类型分为【训武】、【酿酒】、【铸造】等产出方式。,20
58,10,10,215,191,133,4.驻守英雄品质越高，则建筑每次的产出时间越长，奖励更丰富。,20
59,10,11,216,192,134,5.完成征收后会进入一段休整时间，可以使用道具减少休整时间。,20
60,11,1,288,182,54,掠夺玩法说明：,24
61,11,2,243,220,180,1.掠夺运送的马车胜利后可获得运送马车的全部运送物品。,20
62,11,3,243,220,180,2.掠夺胜利后的运送物品会返回到初始点的城池仓库内。,20
63,11,4,243,220,180,3.掠夺中己方有英雄死亡则下一次掠夺的时候死亡的英雄不能上阵。,20
64,11,5,243,220,180,4.有英雄死亡则从现有的英雄中自动选取战力最高的英雄出战。,20
65,11,6,243,220,180,5.段位高低会影响掠夺次数的最大上线。,20
66,11,7,243,220,180,6.掠夺中死亡的英雄只会影响掠夺，其他的不影响。,20
67,11,8,243,220,180,7.青铜到白银1的时候掠夺失败不会受到惩罚。,20
68,11,9,243,220,180,8.当黄金5到王者1的时候掠夺失败会扣除星星数。,20
69,11,10,243,220,180,9.当没有星星数可扣除，掉落则开掉段。,20
70,12,1,288,182,54,爵位说明：,20
71,12,2,243,220,180,1.完成对应任务可晋升至下一爵位。,20
72,12,3,243,220,180,2.对应爵位会解锁相对应的建筑以及功能。,20
73,12,4,243,220,180,3.解锁爵位之后会获得宝箱奖励。,20
74,12,5,243,220,180,4.爵位可以在主公头像下面的爵位名字点击进入，也可以从洛阳皇宫点击进入。,20
75,12,5,243,220,180,5.爵位晋升可以提升建筑上限等级。,20
76,13,1,243,220,180,主公等级10级以上可参加。,20
77,13,2,243,220,180,每一种训练都可以提升本国城防等级。,20
78,13,3,243,220,180,周日开放所有训练。,20
79,14,1,243,220,180,刺探任务可以让更快更准的知道敌国的情报。,20
80,14,2,243,220,180,巡防任务可以严防敌方刺探消息。,20
81,14,3,243,220,180,主公等级10级以上可参加。,20
82,15,1,243,220,180,每个国家都有唯一的可外交国。,20
83,15,2,243,220,180,外交任务可以提高主公与外交国之间的好感度。,20
84,15,3,243,220,180,主公等级10级以上可以参加。,20
85,16,1,243,220,180,主公要负责保护好自己的城池不被掠夺。,20
86,16,2,243,220,180,进攻大城需要进行宣战，小城可以直接进攻。,20
87,16,3,243,220,180,国战在每日9：00-24：00点进行。,20
88,16,4,243,220,180,国战的奖励通过邮件发放。,20
89,17,1,243,220,180,边境战开放时间为8点，12点，19点。,20
90,17,2,243,220,180,发起宣战1小时后宣战势力用户可随意攻击对应城池。,20
91,18,5,288,182,54,外交任务：,24
92,18,6,243,220,180,每个整点，盟友会发起一轮外交任务。,20
93,18,7,243,220,180,执行外交任务需要消耗道具玉牌。,20
94,18,8,243,220,180,完成外交任务可获得大量资源奖励和盟友好感度。,20
95,18,9,288,182,54,外交好感度：,24
96,18,10,243,220,180,己方阵营全体玩家完成外交任务，都可增加与盟友的外交好感。,20
97,18,11,243,220,180,好感度达到指定值，全阵营玩家都可以领取对应的好感度宝箱奖励。,20
98,18,12,243,220,180,好感度达到最高值，可触发【盟友助战】，下一轮国战，盟友派兵将助战己方阵营。,20
99,19,1,288,182,54,国家说明：,20
100,19,2,243,220,180,1.国家等级提升需要获得国家经验.,20
101,19,3,243,220,180,2.国家等级影响国家的解锁科技.,20
102,19,4,243,220,180,3.天下大势会提升每日国家经验.,20
103,19,5,243,220,180,4.完成国家任务可获得国家经验.,20
104,20,1,243,220,180,斩杀敌将可获得对应功勋,20
105,21,2,243,220,180,完成占领城池最后一击的获得功勋,20
106,22,3,243,220,180,诱敌成功获得功勋,20
107,23,4,243,220,180,可完成每日任务获得功勋,20
108,24,1,288,182,54,官职玩法说明：,24
109,24,2,243,220,180,1.每天21：00结算官职俸禄奖励。,20
110,24,3,243,220,180,2.战斗默认为3队车轮战，且顺序固定为步兵队，弓兵队，骑兵队。,20
111,24,4,243,220,180,3.编队时不允许改变队伍顺序。,20
112,24,5,243,220,180,4.挑战对应的官职后会匹配对应官职的对手。,20
113,24,6,243,220,180,5.挑战胜利且官职低于对手则互换官职。,20
114,24,7,243,220,180,6.挑战失败则官职不变。,20
115,24,8,243,220,180,7.正在战斗的敌人无法被选定为对手。,20
116,25,1,288,182,54,城池奖励：,24
117,25,2,243,220,180,1.每天5：00结算城池奖励。,20
118,25,3,243,220,180,2.不同类型的城池提供的城池奖励不同。,20
119,25,4,243,220,180,3.天下共有12个州，每个州都由若干个城池组成。,20
120,25,5,243,220,180,4.每个州每隔一段时间会产出一个州宝箱。,20
121,25,6,243,220,180,5.在产出州宝箱的时候，占领州中所有城池的势力可领取州宝箱。,20
122,25,7,243,220,180,6.同盟时同盟双方可互相领取对方州宝箱25%的奖励。,20
123,26,1,288,182,54,兵种克制说明：,24
124,26,2,243,220,180,1.兵种克制技能是在国战中释放的起手克制技能。,20
125,26,3,243,220,180,2.只有与兵营兵种对应，且在国战中都保持存活状态才会发动。,20
126,26,4,243,220,180,3.步兵起手技能克制骑兵，骑兵起手技能克制弓兵，弓兵起手技能克制步兵。,20
127,27,1,288,182,54,城池说明：,24
128,27,2,243,220,180,1.主城是每个势力自己的国都，国都不可被攻打。,20
129,27,3,243,220,180,2.郡城是提供郡城宝箱奖励。,20
130,27,4,243,220,180,3.关隘是可以用来封锁战局的重要军事地段。,20
131,27,5,243,220,180,4.小城是普通城池，并无实际作用。,20
132,28,1,243,220,180,1.藏宝图碎片可在章节奖励中获得。,20
133,28,2,243,220,180,2.激活所有藏宝图碎片后即可合成藏宝图，并获得奖励。,20
134,29,1,288,182,54,军团副本说明：,24
135,29,2,243,220,180,1.每个人一天只能挑战3次,20
136,29,3,243,220,180,2.每天早上5点刷新重置挑战次数,20
137,29,4,243,220,180,3.击败关卡首领后，全军团成员可领取通关宝箱,20
138,29,5,243,220,180,4.军团副本从第一次发起进攻开始倒计时，七天后重置进度与奖励,20
139,30,1,288,182,54,国战规则说明：,24
140,30,2,243,220,180,1.国战开启时，双方占领值相同,20
141,30,3,243,220,180,2.可以随意进攻据点或直接攻打城池,20
142,30,4,243,220,180,3.占领据点可获得大量的一次性城池占领值；直接攻打城池可直接获得城池占领值,20
143,30,5,243,220,180,4.任意据点或城池初始只能进行单挑，单挑胜利后有概率出现新的战斗玩法,20
144,30,6,243,220,180,5.参与任意玩法都需要消耗军令，同时也会获得一定功勋与对应占领值,20
145,30,7,243,220,180,6.在据点或城池，己方获得占领值的同时，对方会对应减少相同的占领值,20
146,30,8,243,220,180,7.参与玩法可获得国战技能，对据点或城池使用国战技能能直接获得功勋并提供辅助,20
147,30,9,243,220,180,8.任意一方的城池占领值达到80%则会开启决战，需要报名才能参与，是决定国战胜负的关键战斗,20
148,30,10,243,220,180,9.任意一方城池占领值为100%时国战立即结束，城池占领值为100%的一方获胜,20
149,30,11,243,220,180,10.每场国战限时为30分钟，若时限到期时国战仍未分出胜负，则防守方获胜,20
150,30,12,243,220,180,11.若国战限时到期时决战已经开启，则国战延长至决战结束后再结束,20
151,30,13,243,220,180,12.进攻方获胜则城池归属变更，防守方获胜则城池归属不变,20
152,30,14,243,220,180,13.各势力主城周边距离三步内的城池，城防超高易守难攻,20
153,30,15,243,220,180,14.各势力反攻己方主城周边距离三步内的城池时，无论攻守方的决战，破釜沉舟一战定胜负,20
154,31,1,288,182,54,单挑规则说明：,24
155,31,2,243,220,180,1.消耗3个军令才能参与单挑玩法,20
156,31,3,243,220,180,2.每次从三个对手中选择一个对手进行挑战,20
157,31,4,243,220,180,3.挑战胜利则获得对应功勋，记录连斩并进入疲劳状态,20
158,31,5,243,220,180,4.挑战胜利后继续单挑不会消耗军令,20
159,31,6,243,220,180,5.单挑中达成一定连斩数则会额外获得功勋奖励,20
160,31,7,243,220,180,6.挑战失败则本轮单挑结束，并给予鼓舞道具1个,20
161,31,8,243,220,180,7.挑战失败后再次进行单挑需要消耗3个军令，并重新记录连斩,20
162,31,9,243,220,180,8.战斗时长为90秒，若限时结束仍然未决出胜负则判进攻失败,20
163,31,10,243,220,180,9.战斗每次胜利都会微弱减少敌方占领值,20
164,32,1,288,182,54,规则说明：,24
165,32,2,243,220,180,1.消耗军令才能参与玩法,20
166,32,3,243,220,180,2.连续挑战若干支队伍，直到一方队伍全部战败,20
167,32,4,243,220,180,3.战斗中途会保留血量，怒气，死亡状态等,20
168,32,5,243,220,180,4.未击败所有敌方队伍则战斗失败，获得失败奖励和鼓舞道具1个,20
169,32,6,243,220,180,5.击败所有敌方队伍则获得胜利奖励,20
170,32,7,243,220,180,6.获得玩法胜利能稍微降低敌方占领值,20
171,33,1,288,182,54,规则说明：,24
172,33,2,243,220,180,1.消耗军令才能参与玩法,20
173,33,3,243,220,180,2.挑战一支强大的部队，并分出胜负,20
174,33,4,243,220,180,3.己方队伍战败则战斗失败，获得失败奖励和鼓舞道具1个,20
175,33,5,243,220,180,4.己方队伍战胜则获得胜利奖励,20
176,33,6,243,220,180,5.获得玩法胜利能有效降低敌方占领值,20
177,34,1,288,182,54,规则说明：,24
178,34,2,243,220,180,1.攻方需要消耗军令才能报名，守方则不需要消耗军令可直接报名,20
179,34,3,243,220,180,2.战斗开始时会优先录取战力高的报名队伍,20
180,34,4,243,220,180,3.战斗开始后若未入选，则立即退还报名消耗的军令,20
181,34,5,243,220,180,4.战斗开始后，将报名队伍平均分为五支军队,20
182,34,6,243,220,180,5.五支军队按照：先锋，次锋，中军，副将，大将的顺序与对方相同的军队依次进行对战,20
183,34,7,243,220,180,6.每次双方最前的一支部队出战，胜利方保留血量继续战斗，失败方退场,20
184,34,8,243,220,180,7.若战斗超时仍然没有分出胜负，则战斗双方都视为战败退场,20
185,34,9,243,220,180,8.战至一方军队全部阵亡，则有队伍存活的一方获得本场军队战胜利,20
186,34,10,243,220,180,9.若双方军队皆阵亡，则视为平局,20
187,34,11,243,220,180,10.五支军队的战斗全部结束后，军队战胜利次数多的一方获得本次决战胜利,20
188,34,12,243,220,180,11.胜利方所有参与部队获得胜利奖励，且胜利方获得海量城池占领值,20
189,34,13,243,220,180,12.失败方所有参与部队获得失败奖励,20
190,34,14,243,220,180,13.若军队战胜利次数相同，则本场决战视为平局,20
191,34,15,243,220,180,14.平局时双方参与部队均获得失败奖励，且双方城池占领值不变,20
192,34,16,243,220,180,15.平局后将再次开启新的决战，直到分出胜负,20
193,35,1,288,182,54,规则说明：,24
194,35,2,243,220,180,1.消耗军令才能参与玩法,20
195,35,3,243,220,180,2.挑战一支强大的部队，并分出胜负,20
196,35,4,243,220,180,3.己方队伍战败则战斗失败，获得失败奖励和鼓舞道具1个,20
197,35,5,243,220,180,4.己方队伍战胜则获得胜利奖励,20
198,35,6,243,220,180,5.获得玩法胜利能有效降低敌方占领值,20
199,35,7,243,220,180,6.获得玩法胜利能为己方全体提供战场BUFF加持，并持续一段时间,20
200,36,1,288,182,54,规则说明：,24
201,36,2,243,220,180,1.消耗军令才能参与玩法,20
202,36,3,243,220,180,2.连续挑战若干支队伍，直到一方队伍全部战败,20
203,36,4,243,220,180,3.战斗中途会保留血量，怒气，死亡状态等,20
204,36,5,243,220,180,4.每击溃一支队伍都会获得奖励,20
205,36,6,243,220,180,5.击溃所有敌方队伍或己方队伍战败后战斗结束,20
206,36,7,243,220,180,6.战斗结束后根据击溃部队数量结算最终奖励,20
207,37,1,288,182,54,规则说明：,24
208,37,2,243,220,180,1.消耗军令才能报名,20
209,37,3,243,220,180,2.战斗开始时会优先录取战力高的报名队伍,20
210,37,4,243,220,180,3.战斗开始后若未入选，则立即退还报名军令,20
211,37,5,243,220,180,4.战斗开始后若入选，则根据战力排名依次战斗,20
212,37,6,243,220,180,5.胜利场数多的一方获得最终胜利,20
213,37,7,243,220,180,6.失败方所有参与部队获得失败奖励,20
214,37,8,243,220,180,7.胜利方所有参与部队获得胜利奖励,20
215,37,9,243,220,180,8.若出现平局，则双方都获得失败奖励，且双方城池占领值不变,20
216,37,10,243,220,180,9.获得玩法胜利能极大的降低敌方城池占领值,20
217,38,1,288,182,54,规则说明：,24
218,38,2,243,220,180,1.消耗军令才能报名,20
219,38,3,243,220,180,2.优先取战力高的报名队伍,20
220,38,4,243,220,180,3.若未入选，开战后立即退还报名军令,20
221,38,5,243,220,180,4.若入选，则进入队列进行战斗,20
222,38,6,243,220,180,5.所有部队排队进行淘汰战,20
223,38,7,243,220,180,6.将对方部队全部击溃则获得胜利,20
224,38,8,243,220,180,7.失败方所有参与部队获得失败奖励,20
225,38,9,243,220,180,8.胜利方所有参与部队获得胜利奖励,20
226,38,10,243,220,180,9.获得玩法胜利能极大的降低敌方占领值,20
227,39,1,288,182,54,时空秘境玩法说明：,24
228,39,2,243,220,180,1.点击开始闯关后，当前上阵的英雄将会被记录下来，中途不可更换,20
229,39,3,243,220,180,2.已阵亡的英雄不可上阵出战,20
230,39,4,243,220,180,3.奖励宝箱在重置前只能领取一次,20
231,39,5,243,220,180,4.士气货币可在补给点购买增益效果,20
232,39,6,243,220,180,5.手动重置，放弃当前进度，将关卡重置为第一关,20
233,39,7,243,220,180,6.凌晨5点重置次数回复1次，重置后士气货币清空,20
234,39,8,243,220,180,7.秘境通关之后，凌晨5点自动重置，重置次数自动使用,20
235,39,9,243,220,180,8.秘境之石可以在秘境商店购买对应的道具,20
236,39,10,243,220,180,9.只有处于初始状态，即秘境第一关时才可使用扫荡功能,20
237,39,11,243,220,180,10.秘境扫荡功能，可扫荡上次秘境通关进度的一半关卡,20
238,40,1,288,182,54,商会规则说明：,24
239,40,2,243,220,180,1.玩家可免费领取每日福利，每天凌晨5点重置每日福利奖励,20
240,40,3,243,220,180,2.贵族等级不满足条件时无法加入计划,20
241,40,4,243,220,180,3.加入计划后，可以领取对应的计划奖励,20
242,40,5,243,220,180,4.加入任意计划后，可以领取商会福利,20
243,40,6,243,220,180,5.可以同时加入三种计划,20
244,41,1,288,182,54,规则说明：,24
245,41,2,243,220,180,1.国战系统开启后，军功任务开启,20
246,41,3,243,220,180,2.完成军功任务可获得军功值,20
247,41,4,243,220,180,3.军功值达到要求可领取军功宝箱,20
248,41,5,243,220,180,4.军功任务和军功宝箱每七天重置,20
249,41,6,243,220,180,5.可查看三天内，已结束的国战战报,20
250,41,7,243,220,180,6.国战战报显示个人排行的前20名和军团排行的前10名,20
251,42,1,288,182,54,规则说明：,24
252,42,2,243,220,180,1.国王可以向帝国、圣堂、联邦势力的城池宣战,20
253,42,3,243,220,180,2.宣战时间为每天8：00-17:00,20
254,42,3,243,220,180,3.一个国家同时只能对一个城池宣战(非同盟城池),20
255,42,4,243,220,180,4.如有进攻中的城池时则无法宣战,20
256,42,5,243,220,180,5.从国都出发不能到达的城池，无法宣战,20
257,42,6,243,220,180,6.宣战后，该城池将在开战时间变为可进攻状态,20
258,42,7,243,220,180,7.每天19:00-19:30、19:40-20:10、20:20-20:50为开战时间,20
259,43,1,288,182,54,国王说明：,24
260,43,2,243,220,180,1.每天22：00点占领国王爵位的玩家为新国王,20
261,43,3,243,220,180,2.如果结算时国王爵位为空，则上任国王继续担任,20
262,43,4,243,220,180,3.未结算时，国王爵位发生变化不会影响当前国王,20
263,43,5,243,220,180,4.国王可对帝国、圣堂、联邦势力的城池发起宣战,20
264,44,1,288,182,54,国家针对内政厅相关加成说明：,24
265,44,2,243,220,180,1.拥有的城池越多，国家对内政厅带来的铜钱加成数量越多。,20
266,45,1,243,220,180,攻略:合理使用酒坛恢复怒气。推荐使用群体攻击英雄。,20
267,46,1,243,220,180,攻略:怪物远程伤害免疫。推荐使用步兵单体攻击英雄。,20
268,47,1,243,220,180,攻略:怪物近战伤害免疫。推荐使用弓兵群体攻击英雄。,20
269,48,1,243,220,180,攻略:怪物拥有近战和远程免疫。推荐使用骑兵营群攻英雄。合理分配攻击目标。,20
270,49,1,243,220,180,1.合服前请及时下线以保存数据。,20
271,49,2,243,220,180,2.合服时间、区服等详细信息见游戏公告。,20
272,49,3,243,220,180,3.主公等级达到30级以上，即可免费领取合服奖励！,20
273,49,4,243,220,180,4.合服后玩家数据及军团数据保留。,20
274,49,5,243,220,180,5.城池归属、天下会武排名、官职挑战排名将初始化！,20
275,49,6,243,220,180,6.同名玩家进入游戏会免费获得一次改名机会。,20
276,49,7,243,220,180,7.同名军团将自动修改军团名，且该军团会获得一次免费改名机会。,20
277,50,1,288,182,54,玩法说明：,24
278,50,2,243,220,180,1.每天12:00-24:00点为进攻时间,20
279,50,3,243,220,180,2.神每次被击杀后等级提升1级,20
280,50,4,243,220,180,3.神等级每天5:00重置为1级,20
281,50,5,243,220,180,4.排行五分钟刷新一次,20
282,50,6,243,220,180,5.活动结束后一天为排行奖励领取时间,20
283,50,7,288,182,54,奖励说明：,24
284,50,8,243,220,180,1.每次进攻必获得进攻奖励,20
285,50,9,243,220,180,2.每次进攻概率获得随机奖励,20
286,50,10,243,220,180,3.击杀神的玩家会额外获得击杀奖励,20
287,50,10,243,220,180,4.神被击杀时参与过进攻的玩家可获得参与奖励,20
288,51,1,288,182,54,预约说明：,24
289,51,2,243,220,180,1.活动开启前2天为预约时间,20
290,51,3,243,220,180,2.花费一定的钻石即可完成预约且获得预约奖励,20
291,51,4,243,220,180,3.预约总人数越多，开放购买时的价格越低,20
292,51,5,243,220,180,4.预约倒计时结束后便无法预约,20
293,51,6,243,220,180,5.预约倒计时结束后开放购买,20
294,51,7,288,182,54,购买说明：,24
295,51,8,243,220,180,1.只有预约过的玩家可以购买礼包,20
296,51,9,243,220,180,2.礼包只能购买1次,20
297,51,10,243,220,180,4.购买倒计时结束后，活动结束无法在购买礼包,20
298,52,1,288,182,54,魔宠介绍：,22
299,52,2,243,220,180,"   1.通过普通水晶和高级水晶按钮，获得水晶。",20
300,52,3,243,220,180,"   2.召唤可以将普通（高级）水晶，转换成不同品质的魔宠。",20
301,52,4,243,220,180,"   3.魔宠品质越高，属性越好。",20
302,52,5,243,220,180,"   4.仅橙色魔宠拥有魔宠技能。",20
303,52,6,288,182,54,符文介绍：,22
304,52,7,243,220,180,"   1.不同品质的魔宠拥有不同数量的符文孔。",20
305,52,8,243,220,180,"   2.符文可以装备在符文孔中。",20
306,52,9,243,220,180,"   3.符文可以使用符文经验进行强化。",20
307,52,10,288,182,54,魔宠获取方式：,22
308,52,11,243,220,180,"    星界中普通水晶 → 获得普通水晶 → 召唤 → 绿色及蓝色魔宠。",20
309,52,12,243,220,180,"    星界中高级水晶 → 获得高级水晶 → 召唤 → 紫色及以上魔宠。",20
310,52,13,288,182,54,符文获取方式：,22
311,52,14,243,220,180,"    分解功能 → 魔宠分解",20
312,52,15,288,182,54,符文经验获取方式：,22
313,52,16,243,220,180,"    分解功能 → 符文分解",20
314,52,17,288,182,54,星界等级提高，免费储存普通水晶上限增加，免费恢复水晶时间减少。,22
315,52,18,243,220,180,"   1.免费储存上限：8           免费恢复时间：3:00:00",20
316,52,19,243,220,180,"   2.免费储存上限：9           免费恢复时间：2:54:00",20
317,52,20,243,220,180,"   3.免费储存上限：10          免费恢复时间：2:48:00",20
318,52,21,243,220,180,"   4.免费储存上限：11          免费恢复时间：2:42:00",20
319,52,22,243,220,180,"   5.免费储存上限：12          免费恢复时间：2:36:00",20
320,52,23,243,220,180,"   6.免费储存上限：13          免费恢复时间：2:30:00",20
321,52,24,243,220,180,"   7.免费储存上限：14          免费恢复时间：2:24:00",20
322,52,25,243,220,180,"   8.免费储存上限：15          免费恢复时间：2:18:00",20
323,52,26,243,220,180,"   9.免费储存上限：16          免费恢复时间：2:12:00",20
324,52,27,243,220,180,"   10.免费储存上限：17         免费恢复时间：2:06:00",20
325,52,28,243,220,180,"   11.免费储存上限：18         免费恢复时间：2:00:00",20
326,52,29,243,220,180,"   12.免费储存上限：19         免费恢复时间：1:54:00",20
327,52,30,243,220,180,"   13.免费储存上限：20         免费恢复时间：1:48:00",20
328,52,31,243,220,180,"   14.免费储存上限：20         免费恢复时间：1:42:00",20
329,52,32,243,220,180,"   15.免费储存上限：20         免费恢复时间：1:36:00",20
330,52,33,243,220,180,"   16.免费储存上限：20         免费恢复时间：1:30:00",20
331,52,34,243,220,180,"   17.免费储存上限：20         免费恢复时间：1:24:00",20
332,52,35,243,220,180,"   18.免费储存上限：20         免费恢复时间：1:18:00",20
333,52,36,243,220,180,"   19.免费储存上限：20         免费恢复时间：1:12:00",20
334,52,37,243,220,180,"   20.免费储存上限：20         免费恢复时间：1:06:00",20
335,53,1,288,182,54,规则说明：,24
336,53,2,243,220,180,1.每位玩家每日凌晨五点可以获得一次免费的抽取机会。,20
337,53,3,243,220,180,2.玩家每次抽取可以获得积分：单抽--10积分    10连抽--100积分。,20
338,53,4,243,220,180,3.达到对应的积分可以领取积分奖励。,20
339,53,5,288,182,54,4.排行榜每个若干时间更新一次排名。,20
340,53,6,243,220,180,5.排名规则：如果排名相同，则先达到该积分的玩家排在前面。,20
341,53,7,243,220,180,6.活动结束后，需要30分钟系统整理最终排行，30分钟结束后，玩家可以根据当前排名领取排名奖励。,20
342,53,8,243,220,180,7.展示时间结束后，活动入口将会关闭，如果玩家有奖励没有领取，再次登录游戏，系统将会以邮件的形式发送给玩家。,20
343,54,1,288,182,54,军师说明：,24
344,54,2,243,220,180,1.国王可以任命本军团的玩家为军师,20
345,54,3,243,220,180,2.一个国家只能存在一个军师,20
346,54,4,243,220,180,3.军师拥有国战宣战的权利,20
347,54,5,243,220,180,4.每次任命军师后需等待5分钟才能再次任命,20
348,54,6,243,220,180,5.玩家无法同时成为国王和军师,20
349,55,1,243,220,180,攻略:合理使用酒坛及粮食堆恢复怒气、兵力。推荐使用单体攻击英雄。,20
350,56,1,243,220,180,1.每天有若干次免费祈祷机会。,20
351,56,2,243,220,180,2.当疲劳值未达到上限时，则每次扣除免费次数。,20
352,56,3,243,220,180,3.当达到疲劳值上限时，则祈祷需要钻石才能进行。,20
353,56,4,243,220,180,4.祈祷次数用完时，则可使用钻石进行祈祷。,20
354,56,5,243,220,180,5.每次祈祷，有机会出现超值物品，玩家可以进行购买。,20
355,56,6,243,220,180,6.每次祈祷有几率暴击，获得更多的产物。,20
356,57,1,288,182,54,红包说明：,24
357,57,2,243,220,180,1.单笔充值大于6元时（只含充值界面的充值档位），可以获得红包。（可发放给军团成员）,20
358,57,3,243,220,180,2.单笔充值的红包储存在红包池中，上限200个。（大于上限删除最旧的红包）,20
359,57,4,243,220,180,3.国王可向全国发放红包。,20
360,57,5,243,220,180,4.军团长和副团长可向自己军团发放红包。（充值红包不限制权限）,20
361,57,6,243,220,180,5.每个红包发出后至多持续20小时后消失（未领完部分不会返还）,20
362,57,7,243,220,180,6.每天通过红包玩法至多可获得2000钻石（凌晨5点刷新）,20
363,57,8,243,220,180,7.充值可获得钻石额度（充值1钻石=1额度）,20
364,57,9,243,220,180,8.发放钻石红包会消耗钻石额度（消耗量=发放红包的总额度）,20
365,57,10,243,220,180,9.道具类型红包会消耗每日可发额度（额度每日重置）,20
366,58,1,288,182,54,幸运转盘说明：,24
367,58,2,243,220,180,1.转盘秘钥或者钻石可进行转盘,20
368,58,3,243,220,180,2.转盘秘钥和钻石不可混合使用,20
369,58,4,243,220,180,3.活动结束后转盘秘钥可保留,20
370,59,1,288,182,54,幸运翻牌说明：,24
371,59,2,243,220,180,1.每次重置奖励后，可重新进行一轮,20
372,59,3,243,220,180,2.活动结束后翻牌币可保留,20
373,60,1,288,182,54,规则说明：,24
374,60,2,243,220,180,1.每天22：00刷新当前国王信息，每天5：00刷新军团排行前四军团的军团长信息,20
375,60,3,243,220,180,2.攻打NPC时，由系统自动宣战,20
376,60,4,243,220,180,3.敌对NPC势力灭亡后，国王可点击敌对非NPC势力城池进行宣战,20
377,60,5,243,220,180,4.敌对NPC势力灭亡后，军团长可点击敌对非NPC势力城池进行提议攻城,20
378,60,6,243,220,180,5.国王权限大于军团长，若国王宣战则无视军团长提议,20
379,60,7,243,220,180,6.若国王未宣战，则宣战时间到期后，自动宣战军团长提议最多的城池，若提议数量相同则宣战提议时间早的城池,20
380,61,1,288,182,54,规则说明：,24
