heroid,heroname,normalattack,manualskill,awakenskill,smallskill,bigskill,attackround1,attackround2,attackround3,attackround4,attackround5,attackround6,attackround7,attackround8
410601,圣独角兽,410601,0,0,0,0,410601,410601,410601,410601,410601,410601,410601,410601
410700,绿龙,410700,0,0,0,0,410700,410700,410700,410700,410700,410700,410700,410700
410701,翡翠龙,410701,0,0,0,0,410701,410701,410701,410701,410701,410701,410701,410701
510100,低语者,510100,0,0,0,0,510100,510100,510100,510100,510100,510100,510100,510100
510101,绞杀者,510101,0,0,0,0,510101,510101,510101,510101,510101,510101,510101,510101
510200,刃魔,510200,0,0,0,0,510200,510200,510200,510200,510200,510200,510200,510200
510201,狂魔,510201,0,0,0,0,510201,510201,510201,510201,510201,510201,510201,510201
510300,渎神者,510300,0,0,0,0,510300,510300,510300,510300,510300,510300,510300,510300
510301,邪术师,510301,0,0,0,0,510301,510301,510301,510301,510301,510301,510301,510301
510400,冥河恶魔,510400,0,0,0,0,510400,510400,510400,510400,510400,510400,510400,510400
510401,冥河领主,510401,0,0,0,0,510401,510401,510401,510401,510401,510401,510401,510401
510500,悍魔,510500,0,0,0,0,510500,510500,510500,510500,510500,510500,510500,510500
510501,狂暴恶魔,510501,0,0,0,0,510501,510501,510501,510501,510501,510501,510501,510501
510600,深渊领主,510600,0,0,0,0,510600,510600,510600,510600,510600,510600,510600,510600
510601,地狱领主,510601,0,0,0,0,510601,510601,510601,510601,510601,510601,510601,510601
510700,大恶魔,510700,0,0,0,0,510700,510700,510700,510700,510700,510700,510700,510700
510701,炎魔,510701,0,0,0,0,510701,510701,510701,510701,510701,510701,510701,510701
610100,地精投手,610100,0,0,0,0,610100,610100,610100,610100,610100,610100,610100,610100
610101,熊地精,610101,0,0,0,0,610101,610101,610101,610101,610101,610101,610101,610101
610200,巫医,610200,0,0,0,0,610200,610200,610200,610200,610200,610200,610200,610200
610201,先知,610201,0,0,0,0,610201,610201,610201,610201,610201,610201,610201,610201
610300,暴徒,610300,0,0,0,0,610300,610300,610300,610300,610300,610300,610300,610300
610301,狂战士,610301,0,0,0,0,610301,610301,610301,610301,610301,610301,610301,610301
610400,人马酋长,610400,0,0,0,0,610400,610400,610400,610400,610400,610400,610400,610400
610401,人马督军,610401,0,0,0,0,610401,610401,610401,610401,610401,610401,610401,610401
610500,萨满,610500,0,0,0,0,610500,610500,610500,610500,610500,610500,610500,610500
610501,大萨满,610501,0,0,0,0,610501,610501,610501,610501,610501,610501,610501,610501
610600,独眼巨人,610600,0,0,0,0,610600,610600,610600,610600,610600,610600,610600,610600
610601,独眼巨魔,610601,0,0,0,0,610601,610601,610601,610601,610601,610601,610601,610601
610700,比蒙,610700,0,0,0,0,610700,610700,610700,610700,610700,610700,610700,610700
610701,利刃比蒙,610701,0,0,0,0,610701,610701,610701,610701,610701,610701,610701,610701
90,触龙神,100500,0,0,0,0,100500,100500,100500,100503,100500,100500,100500,100503
420101,地精爆破手,420101,0,0,0,0,420101,420101,420101,420101,420101,420101,420101,420101
420102,地精爆破手,420102,0,0,0,0,420102,420102,420102,420102,420102,420102,420102,420102
420103,地精爆破手,420103,0,0,0,0,420103,420103,420103,420103,420103,420103,420103,420103
420104,地精爆破手,420104,0,0,0,0,420104,420104,420104,420104,420104,420104,420104,420104
420105,地精爆破手,420105,0,0,0,0,420105,420105,420105,420105,420105,420105,420105,420105
420106,地精爆破手,420106,0,0,0,0,420106,420106,420106,420106,420106,420106,420106,420106
420107,地精爆破手,420107,0,0,0,0,420107,420107,420107,420107,420107,420107,420107,420107
420108,地精爆破手,420108,0,0,0,0,420108,420108,420108,420108,420108,420108,420108,420108
420109,地精爆破手,420109,0,0,0,0,420109,420109,420109,420109,420109,420109,420109,420109
420110,定时炸弹,420110,0,0,0,0,420110,420110,420110,420110,420110,420110,420110,420110
420201,冰霜领主,420200,420201,420201,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420202,巫妖王,420100,420202,420202,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420203,冰霜领主,420200,420203,420203,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420204,巫妖王,420100,420204,420204,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420205,冰霜领主,420200,420205,420205,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420206,巫妖王,420100,420206,420206,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420207,冰霜领主,420200,420207,420207,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420208,巫妖王,420100,420208,420208,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420209,冰霜领主,420200,420209,420209,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420210,巫妖王,420100,420210,420210,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420211,冰霜领主,420200,420211,420211,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420212,巫妖王,420100,420212,420212,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420213,冰霜领主,420200,420213,420213,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420214,巫妖王,420100,420214,420214,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420215,冰霜领主,420200,420215,420215,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420216,巫妖王,420100,420216,420216,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420217,冰霜领主,420200,420217,420217,0,0,420200,420200,420200,420200,420200,420200,420200,420200
420218,巫妖王,420100,420218,420218,0,0,420100,420100,420100,420100,420100,420100,420100,420100
420301,死神意志,420100,420301,420301,0,0,420100,420100,420100,420100,420100,420100,420100,420100
110110,步兵,110110,0,0,0,0,110110,110110,110110,110110,110110,110110,110110,110110
110111,近卫军,110111,0,0,0,0,110111,110111,110111,110111,110111,110111,110111,110111
110210,弩手,110210,0,0,0,0,110210,110210,110210,110210,110210,110210,110210,110210
110211,神射手,110211,0,0,0,0,110211,110211,110211,110211,110211,110211,110211,110211
110310,法师,110310,0,0,0,0,110310,110310,110310,110310,110310,110310,110310,110310
110311,大法师,110310,0,0,0,0,110310,110310,110310,110310,110310,110310,110310,110310
110410,十字军,110410,0,0,0,0,110410,110410,110410,110410,110410,110410,110410,110410
110411,圣堂武士,110411,0,0,0,0,110411,110411,110411,110411,110411,110411,110411,110411
210110,骷髅战士,210110,0,0,0,0,210110,210110,210110,210110,210110,210110,210110,210110
210111,骷髅勇士,210111,0,0,0,0,210111,210111,210111,210111,210111,210111,210111,210111
210210,骸骨弓手,210210,0,0,0,0,210210,210210,210210,210210,210210,210210,210210,210210
210211,骸骨猎手,210211,0,0,0,0,210211,210211,210211,210211,210211,210211,210211,210211
210310,幽魂,210310,0,0,0,0,210310,210310,210310,210310,210310,210310,210310,210310
210311,恶灵,210310,0,0,0,0,210310,210310,210310,210310,210310,210310,210310,210310
210410,吸血鬼,210410,0,0,0,0,210410,210410,210410,210410,210410,210410,210410,210410
210411,吸血男爵,210411,0,0,0,0,210411,210411,210411,210411,210411,210411,210411,210411
310110,堡垒战士,310110,0,0,0,0,310110,310110,310110,310110,310110,310110,310110,310110
310111,堡垒卫士,310111,0,0,0,0,310111,310111,310111,310111,310111,310111,310111,310111
310210,火枪手,310210,0,0,0,0,310210,310210,310210,310210,310210,310210,310210,310210
310211,狙击手,310211,0,0,0,0,310211,310211,310211,310211,310211,310211,310211,310211
310310,战熊,310310,0,0,0,0,310310,310310,310310,310310,310310,310310,310310,310310
310311,精锐战熊,310310,0,0,0,0,310310,310310,310310,310310,310310,310310,310310,310310
310410,地神像,310410,0,0,0,0,310410,310410,310410,310410,310410,310410,310410,310410
310411,地神兵,310411,0,0,0,0,310411,310411,310411,310411,310411,310411,310411,310411
490000,重弩车,490000,0,0,0,0,490000,490000,490000,490000,490000,490000,490000,490000
490001,弩车,490001,0,0,0,0,490001,490001,490001,490001,490001,490001,490001,490001
