regionid,name,show,needlevel,next,description,jneedstar1,prop11,propnumber11,prop12,propnumber12,prop13,propnumber13,jneedstar2,prop21,propnumber21,prop22,propnumber22,prop23,propnumber23,jneedstar3,prop31,propnumber31,prop32,propnumber32,prop33,propnumber33
10027,第27章  遗忘海岸,1,57,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10028,第28章  死亡阴影,1,58,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10029,第29章  诸神黄昏,1,59,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10030,第30章  遗忘海岸,1,60,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10031,第31章  遗忘海岸,1,61,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10032,第32章  遗忘海岸,1,62,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10033,第33章  遗忘海岸,1,63,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10034,第34章  遗忘海岸,1,64,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10035,第35章  遗忘海岸,1,65,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10036,第36章  遗忘海岸,1,66,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10037,第37章  遗忘海岸,1,67,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10038,第38章  遗忘海岸,1,68,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10039,第39章  遗忘海岸,1,69,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10040,第40章  遗忘海岸,1,70,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10041,第41章  遗忘海岸,1,71,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10042,第42章  遗忘海岸,1,72,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10043,第43章  遗忘海岸,1,73,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10044,第44章  遗忘海岸,1,74,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10045,第45章  遗忘海岸,1,75,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10046,第46章  遗忘海岸,1,76,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10047,第47章  遗忘海岸,1,77,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10048,第48章  遗忘海岸,1,78,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10049,第49章  遗忘海岸,1,79,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10050,第50章  遗忘海岸,1,80,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10051,第51章  遗忘海岸,1,81,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10052,第52章  遗忘海岸,1,82,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10053,第53章  遗忘海岸,1,83,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10054,第54章  遗忘海岸,1,84,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10055,第55章  遗忘海岸,1,85,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10056,第56章  遗忘海岸,1,86,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10057,第57章  遗忘海岸,1,87,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10058,第58章  遗忘海岸,1,88,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10059,第59章  遗忘海岸,1,89,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10060,第60章  遗忘海岸,1,90,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
