shoptypy,cost,currency,refresh_item,refresh_cost
1117,180,91000002,79000008,1
1118,180,91000002,79000008,1
1119,180,91000002,79000008,1
1120,180,91000002,79000008,1
1121,190,91000002,79000008,1
1122,190,91000002,79000008,1
1123,190,91000002,79000008,1
1124,190,91000002,79000008,1
1125,190,91000002,79000008,1
1126,200,91000002,79000008,1
1127,200,91000002,79000008,1
1128,200,91000002,79000008,1
1129,200,91000002,79000008,1
1130,200,91000002,79000008,1
1131,210,91000002,79000008,1
1132,210,91000002,79000008,1
1133,210,91000002,79000008,1
1134,210,91000002,79000008,1
1135,210,91000002,79000008,1
1136,220,91000002,79000008,1
1137,220,91000002,79000008,1
1138,220,91000002,79000008,1
1139,220,91000002,79000008,1
1140,220,91000002,79000008,1
1141,230,91000002,79000008,1
1142,230,91000002,79000008,1
1143,230,91000002,79000008,1
1144,230,91000002,79000008,1
1145,230,91000002,79000008,1
1146,240,91000002,79000008,1
1147,240,91000002,79000008,1
1148,240,91000002,79000008,1
1149,240,91000002,79000008,1
1150,240,91000002,79000008,1
1151,250,91000002,79000008,1
1152,250,91000002,79000008,1
1153,250,91000002,79000008,1
1154,250,91000002,79000008,1
1155,250,91000002,79000008,1
1156,260,91000002,79000008,1
1157,260,91000002,79000008,1
1158,260,91000002,79000008,1
1159,260,91000002,79000008,1
1160,260,91000002,79000008,1
1161,270,91000002,79000008,1
1162,270,91000002,79000008,1
1163,270,91000002,79000008,1
1164,270,91000002,79000008,1
1165,270,91000002,79000008,1
1166,280,91000002,79000008,1
1167,280,91000002,79000008,1
1168,280,91000002,79000008,1
1169,280,91000002,79000008,1
1170,280,91000002,79000008,1
1171,290,91000002,79000008,1
1172,290,91000002,79000008,1
1173,290,91000002,79000008,1
1174,290,91000002,79000008,1
1175,290,91000002,79000008,1
1176,300,91000002,79000008,1
1177,300,91000002,79000008,1
1178,300,91000002,79000008,1
1179,300,91000002,79000008,1
1180,300,91000002,79000008,1
1181,310,91000002,79000008,1
1182,310,91000002,79000008,1
1183,310,91000002,79000008,1
1184,310,91000002,79000008,1
1185,310,91000002,79000008,1
1186,320,91000002,79000008,1
1187,320,91000002,79000008,1
1188,320,91000002,79000008,1
1189,320,91000002,79000008,1
1190,320,91000002,79000008,1
1191,330,91000002,79000008,1
1192,330,91000002,79000008,1
1193,330,91000002,79000008,1
1194,330,91000002,79000008,1
1195,330,91000002,79000008,1
1196,340,91000002,79000008,1
1197,340,91000002,79000008,1
1198,340,91000002,79000008,1
1199,340,91000002,79000008,1
1200,340,91000002,79000008,1
2001,5,91000002,79000008,1
2002,10,91000002,79000008,1
2003,15,91000002,79000008,1
2004,20,91000002,79000008,1
2005,25,91000002,79000008,1
2006,30,91000002,79000008,1
2007,35,91000002,79000008,1
2008,40,91000002,79000008,1
2009,45,91000002,79000008,1
2010,50,91000002,79000008,1
2011,55,91000002,79000008,1
2012,60,91000002,79000008,1
2013,65,91000002,79000008,1
2014,70,91000002,79000008,1
2015,75,91000002,79000008,1
2016,80,91000002,79000008,1
2017,85,91000002,79000008,1
2018,90,91000002,79000008,1
2019,95,91000002,79000008,1
2020,100,91000002,79000008,1
2021,105,91000002,79000008,1
2022,110,91000002,79000008,1
2023,115,91000002,79000008,1
2024,120,91000002,79000008,1
2025,125,91000002,79000008,1
2026,130,91000002,79000008,1
2027,135,91000002,79000008,1
2028,140,91000002,79000008,1
2029,145,91000002,79000008,1
2030,150,91000002,79000008,1
2031,155,91000002,79000008,1
2032,160,91000002,79000008,1
2033,165,91000002,79000008,1
2034,170,91000002,79000008,1
2035,175,91000002,79000008,1
2036,180,91000002,79000008,1
2037,185,91000002,79000008,1
2038,190,91000002,79000008,1
2039,195,91000002,79000008,1
2040,200,91000002,79000008,1
2041,205,91000002,79000008,1
2042,210,91000002,79000008,1
2043,215,91000002,79000008,1
2044,220,91000002,79000008,1
2045,225,91000002,79000008,1
2046,230,91000002,79000008,1
2047,235,91000002,79000008,1
2048,240,91000002,79000008,1
2049,245,91000002,79000008,1
2050,250,91000002,79000008,1
2051,255,91000002,79000008,1
2052,260,91000002,79000008,1
2053,265,91000002,79000008,1
2054,270,91000002,79000008,1
2055,275,91000002,79000008,1
2056,280,91000002,79000008,1
2057,285,91000002,79000008,1
2058,290,91000002,79000008,1
2059,295,91000002,79000008,1
2060,300,91000002,79000008,1
2061,305,91000002,79000008,1
2062,310,91000002,79000008,1
2063,315,91000002,79000008,1
2064,320,91000002,79000008,1
2065,325,91000002,79000008,1
2066,330,91000002,79000008,1
2067,335,91000002,79000008,1
2068,340,91000002,79000008,1
2069,345,91000002,79000008,1
2070,350,91000002,79000008,1
2071,355,91000002,79000008,1
2072,360,91000002,79000008,1
2073,365,91000002,79000008,1
2074,370,91000002,79000008,1
2075,375,91000002,79000008,1
2076,380,91000002,79000008,1
2077,385,91000002,79000008,1
2078,390,91000002,79000008,1
2079,395,91000002,79000008,1
2080,400,91000002,79000008,1
2081,405,91000002,79000008,1
2082,410,91000002,79000008,1
2083,415,91000002,79000008,1
2084,420,91000002,79000008,1
2085,425,91000002,79000008,1
2086,430,91000002,79000008,1
2087,435,91000002,79000008,1
2088,440,91000002,79000008,1
2089,445,91000002,79000008,1
2090,450,91000002,79000008,1
2091,455,91000002,79000008,1
2092,460,91000002,79000008,1
2093,465,91000002,79000008,1
2094,470,91000002,79000008,1
2095,475,91000002,79000008,1
2096,480,91000002,79000008,1
2097,485,91000002,79000008,1
2098,490,91000002,79000008,1
2099,495,91000002,79000008,1
2100,500,91000002,79000008,1
2101,505,91000002,79000008,1
2102,510,91000002,79000008,1
2103,515,91000002,79000008,1
2104,520,91000002,79000008,1
2105,525,91000002,79000008,1
2106,530,91000002,79000008,1
2107,535,91000002,79000008,1
2108,540,91000002,79000008,1
2109,545,91000002,79000008,1
2110,550,91000002,79000008,1
2111,555,91000002,79000008,1
2112,560,91000002,79000008,1
2113,565,91000002,79000008,1
2114,570,91000002,79000008,1
2115,575,91000002,79000008,1
2116,580,91000002,79000008,1
2117,585,91000002,79000008,1
2118,590,91000002,79000008,1
2119,595,91000002,79000008,1
2120,600,91000002,79000008,1
2121,605,91000002,79000008,1
2122,610,91000002,79000008,1
2123,615,91000002,79000008,1
2124,620,91000002,79000008,1
2125,625,91000002,79000008,1
2126,630,91000002,79000008,1
2127,635,91000002,79000008,1
2128,640,91000002,79000008,1
2129,645,91000002,79000008,1
2130,650,91000002,79000008,1
2131,655,91000002,79000008,1
2132,660,91000002,79000008,1
2133,665,91000002,79000008,1
2134,670,91000002,79000008,1
2135,675,91000002,79000008,1
2136,680,91000002,79000008,1
2137,685,91000002,79000008,1
2138,690,91000002,79000008,1
2139,695,91000002,79000008,1
2140,700,91000002,79000008,1
2141,705,91000002,79000008,1
2142,710,91000002,79000008,1
2143,715,91000002,79000008,1
2144,720,91000002,79000008,1
2145,725,91000002,79000008,1
2146,730,91000002,79000008,1
2147,735,91000002,79000008,1
2148,740,91000002,79000008,1
2149,745,91000002,79000008,1
2150,750,91000002,79000008,1
2151,755,91000002,79000008,1
2152,760,91000002,79000008,1
2153,765,91000002,79000008,1
2154,770,91000002,79000008,1
2155,775,91000002,79000008,1
2156,780,91000002,79000008,1
2157,785,91000002,79000008,1
2158,790,91000002,79000008,1
2159,795,91000002,79000008,1
2160,800,91000002,79000008,1
2161,805,91000002,79000008,1
2162,810,91000002,79000008,1
2163,815,91000002,79000008,1
2164,820,91000002,79000008,1
2165,825,91000002,79000008,1
2166,830,91000002,79000008,1
2167,835,91000002,79000008,1
2168,840,91000002,79000008,1
2169,845,91000002,79000008,1
2170,850,91000002,79000008,1
2171,855,91000002,79000008,1
2172,860,91000002,79000008,1
2173,865,91000002,79000008,1
2174,870,91000002,79000008,1
2175,875,91000002,79000008,1
2176,880,91000002,79000008,1
2177,885,91000002,79000008,1
2178,890,91000002,79000008,1
2179,895,91000002,79000008,1
2180,900,91000002,79000008,1
2181,905,91000002,79000008,1
2182,910,91000002,79000008,1
2183,915,91000002,79000008,1
2184,920,91000002,79000008,1
2185,925,91000002,79000008,1
2186,930,91000002,79000008,1
2187,935,91000002,79000008,1
2188,940,91000002,79000008,1
2189,945,91000002,79000008,1
2190,950,91000002,79000008,1
2191,955,91000002,79000008,1
2192,960,91000002,79000008,1
2193,965,91000002,79000008,1
2194,970,91000002,79000008,1
2195,975,91000002,79000008,1
2196,980,91000002,79000008,1
2197,985,91000002,79000008,1
2198,990,91000002,79000008,1
2199,995,91000002,79000008,1
2200,1000,91000002,79000008,1
5001,5,91000002,79000008,1
5002,5,91000002,79000008,1
5003,5,91000002,79000008,1
5004,5,91000002,79000008,1
5005,5,91000002,79000008,1
5006,10,91000002,79000008,1
5007,10,91000002,79000008,1
5008,10,91000002,79000008,1
5009,10,91000002,79000008,1
5010,10,91000002,79000008,1
5011,10,91000002,79000008,1
5012,10,91000002,79000008,1
5013,10,91000002,79000008,1
5014,10,91000002,79000008,1
5015,10,91000002,79000008,1
5016,15,91000002,79000008,1
5017,15,91000002,79000008,1
5018,15,91000002,79000008,1
5019,15,91000002,79000008,1
5020,15,91000002,79000008,1
5021,15,91000002,79000008,1
5022,15,91000002,79000008,1
5023,15,91000002,79000008,1
5024,15,91000002,79000008,1
5025,15,91000002,79000008,1
5026,20,91000002,79000008,1
5027,20,91000002,79000008,1
5028,20,91000002,79000008,1
5029,20,91000002,79000008,1
5030,20,91000002,79000008,1
5031,20,91000002,79000008,1
5032,20,91000002,79000008,1
5033,20,91000002,79000008,1
5034,20,91000002,79000008,1
5035,20,91000002,79000008,1
5036,25,91000002,79000008,1
5037,25,91000002,79000008,1
5038,25,91000002,79000008,1
5039,25,91000002,79000008,1
5040,25,91000002,79000008,1
5041,25,91000002,79000008,1
5042,25,91000002,79000008,1
5043,25,91000002,79000008,1
5044,25,91000002,79000008,1
5045,25,91000002,79000008,1
5046,30,91000002,79000008,1
5047,30,91000002,79000008,1
5048,30,91000002,79000008,1
5049,30,91000002,79000008,1
5050,30,91000002,79000008,1
5051,30,91000002,79000008,1
5052,30,91000002,79000008,1
5053,30,91000002,79000008,1
5054,30,91000002,79000008,1
5055,30,91000002,79000008,1
5056,35,91000002,79000008,1
5057,35,91000002,79000008,1
5058,35,91000002,79000008,1
5059,35,91000002,79000008,1
5060,35,91000002,79000008,1
5061,35,91000002,79000008,1
5062,35,91000002,79000008,1
5063,35,91000002,79000008,1
5064,35,91000002,79000008,1
5065,35,91000002,79000008,1
5066,40,91000002,79000008,1
5067,40,91000002,79000008,1
5068,40,91000002,79000008,1
5069,40,91000002,79000008,1
5070,40,91000002,79000008,1
5071,40,91000002,79000008,1
5072,40,91000002,79000008,1
5073,40,91000002,79000008,1
5074,40,91000002,79000008,1
5075,40,91000002,79000008,1
5076,45,91000002,79000008,1
5077,45,91000002,79000008,1
5078,45,91000002,79000008,1
5079,45,91000002,79000008,1
5080,45,91000002,79000008,1
5081,45,91000002,79000008,1
5082,45,91000002,79000008,1
5083,45,91000002,79000008,1
5084,45,91000002,79000008,1
5085,45,91000002,79000008,1
5086,50,91000002,79000008,1
5087,50,91000002,79000008,1
5088,50,91000002,79000008,1
5089,50,91000002,79000008,1
5090,50,91000002,79000008,1
5091,50,91000002,79000008,1
5092,50,91000002,79000008,1
5093,50,91000002,79000008,1
5094,50,91000002,79000008,1
5095,50,91000002,79000008,1
5096,60,91000002,79000008,1
5097,60,91000002,79000008,1
5098,60,91000002,79000008,1
5099,60,91000002,79000008,1
5100,60,91000002,79000008,1
5101,60,91000002,79000008,1
5102,60,91000002,79000008,1
5103,60,91000002,79000008,1
5104,60,91000002,79000008,1
5105,60,91000002,79000008,1
5106,70,91000002,79000008,1
5107,70,91000002,79000008,1
5108,70,91000002,79000008,1
5109,70,91000002,79000008,1
5110,70,91000002,79000008,1
5111,70,91000002,79000008,1
5112,70,91000002,79000008,1
5113,70,91000002,79000008,1
5114,70,91000002,79000008,1
5115,70,91000002,79000008,1
5116,80,91000002,79000008,1
5117,80,91000002,79000008,1
5118,80,91000002,79000008,1
5119,80,91000002,79000008,1
5120,80,91000002,79000008,1
5121,80,91000002,79000008,1
5122,80,91000002,79000008,1
5123,80,91000002,79000008,1
5124,80,91000002,79000008,1
5125,80,91000002,79000008,1
5126,90,91000002,79000008,1
5127,90,91000002,79000008,1
5128,90,91000002,79000008,1
5129,90,91000002,79000008,1
5130,90,91000002,79000008,1
5131,90,91000002,79000008,1
5132,90,91000002,79000008,1
5133,90,91000002,79000008,1
5134,90,91000002,79000008,1
5135,90,91000002,79000008,1
5136,100,91000002,79000008,1
5137,100,91000002,79000008,1
5138,100,91000002,79000008,1
5139,100,91000002,79000008,1
5140,100,91000002,79000008,1
5141,100,91000002,79000008,1
5142,100,91000002,79000008,1
5143,100,91000002,79000008,1
5144,100,91000002,79000008,1
5145,100,91000002,79000008,1
5146,110,91000002,79000008,1
5147,110,91000002,79000008,1
5148,110,91000002,79000008,1
5149,110,91000002,79000008,1
5150,110,91000002,79000008,1
5151,110,91000002,79000008,1
5152,110,91000002,79000008,1
5153,110,91000002,79000008,1
5154,110,91000002,79000008,1
5155,110,91000002,79000008,1
5156,120,91000002,79000008,1
5157,120,91000002,79000008,1
5158,120,91000002,79000008,1
5159,120,91000002,79000008,1
5160,120,91000002,79000008,1
5161,120,91000002,79000008,1
5162,120,91000002,79000008,1
5163,120,91000002,79000008,1
5164,120,91000002,79000008,1
5165,120,91000002,79000008,1
5166,130,91000002,79000008,1
5167,130,91000002,79000008,1
5168,130,91000002,79000008,1
5169,130,91000002,79000008,1
5170,130,91000002,79000008,1
5171,130,91000002,79000008,1
5172,130,91000002,79000008,1
5173,130,91000002,79000008,1
5174,130,91000002,79000008,1
5175,130,91000002,79000008,1
5176,140,91000002,79000008,1
5177,140,91000002,79000008,1
5178,140,91000002,79000008,1
5179,140,91000002,79000008,1
5180,140,91000002,79000008,1
5181,140,91000002,79000008,1
5182,140,91000002,79000008,1
5183,140,91000002,79000008,1
5184,140,91000002,79000008,1
5185,140,91000002,79000008,1
5186,150,91000002,79000008,1
5187,150,91000002,79000008,1
5188,150,91000002,79000008,1
5189,150,91000002,79000008,1
5190,150,91000002,79000008,1
5191,150,91000002,79000008,1
5192,150,91000002,79000008,1
5193,150,91000002,79000008,1
5194,150,91000002,79000008,1
5195,150,91000002,79000008,1
5196,150,91000002,79000008,1
5197,150,91000002,79000008,1
5198,150,91000002,79000008,1
5199,150,91000002,79000008,1
5200,150,91000002,79000008,1
9001,5,91000002,79000008,1
9002,10,91000002,79000008,1
9003,15,91000002,79000008,1
9004,20,91000002,79000008,1
9005,25,91000002,79000008,1
9006,30,91000002,79000008,1
9007,35,91000002,79000008,1
9008,40,91000002,79000008,1
9009,45,91000002,79000008,1
9010,50,91000002,79000008,1
9011,55,91000002,79000008,1
9012,60,91000002,79000008,1
9013,65,91000002,79000008,1
9014,70,91000002,79000008,1
9015,75,91000002,79000008,1
9016,80,91000002,79000008,1
9017,85,91000002,79000008,1
9018,90,91000002,79000008,1
9019,95,91000002,79000008,1
9020,100,91000002,79000008,1
9021,105,91000002,79000008,1
9022,110,91000002,79000008,1
9023,115,91000002,79000008,1
9024,120,91000002,79000008,1
9025,125,91000002,79000008,1
9026,130,91000002,79000008,1
9027,135,91000002,79000008,1
9028,140,91000002,79000008,1
9029,145,91000002,79000008,1
9030,150,91000002,79000008,1
9031,155,91000002,79000008,1
9032,160,91000002,79000008,1
9033,165,91000002,79000008,1
9034,170,91000002,79000008,1
9035,175,91000002,79000008,1
9036,180,91000002,79000008,1
9037,185,91000002,79000008,1
9038,190,91000002,79000008,1
9039,195,91000002,79000008,1
9040,200,91000002,79000008,1
9041,205,91000002,79000008,1
9042,210,91000002,79000008,1
9043,215,91000002,79000008,1
9044,220,91000002,79000008,1
9045,225,91000002,79000008,1
9046,230,91000002,79000008,1
9047,235,91000002,79000008,1
9048,240,91000002,79000008,1
9049,245,91000002,79000008,1
9050,250,91000002,79000008,1
9051,255,91000002,79000008,1
9052,260,91000002,79000008,1
9053,265,91000002,79000008,1
9054,270,91000002,79000008,1
9055,275,91000002,79000008,1
9056,280,91000002,79000008,1
9057,285,91000002,79000008,1
9058,290,91000002,79000008,1
9059,295,91000002,79000008,1
9060,300,91000002,79000008,1
9061,305,91000002,79000008,1
9062,310,91000002,79000008,1
9063,315,91000002,79000008,1
9064,320,91000002,79000008,1
9065,325,91000002,79000008,1
9066,330,91000002,79000008,1
9067,335,91000002,79000008,1
9068,340,91000002,79000008,1
9069,345,91000002,79000008,1
9070,350,91000002,79000008,1
9071,355,91000002,79000008,1
9072,360,91000002,79000008,1
9073,365,91000002,79000008,1
9074,370,91000002,79000008,1
9075,375,91000002,79000008,1
9076,380,91000002,79000008,1
9077,385,91000002,79000008,1
9078,390,91000002,79000008,1
9079,395,91000002,79000008,1
9080,400,91000002,79000008,1
9081,405,91000002,79000008,1
9082,410,91000002,79000008,1
9083,415,91000002,79000008,1
9084,420,91000002,79000008,1
9085,425,91000002,79000008,1
9086,430,91000002,79000008,1
9087,435,91000002,79000008,1
9088,440,91000002,79000008,1
9089,445,91000002,79000008,1
9090,450,91000002,79000008,1
9091,455,91000002,79000008,1
9092,460,91000002,79000008,1
9093,465,91000002,79000008,1
9094,470,91000002,79000008,1
9095,475,91000002,79000008,1
9096,480,91000002,79000008,1
9097,485,91000002,79000008,1
9098,490,91000002,79000008,1
9099,495,91000002,79000008,1
9100,500,91000002,79000008,1
9101,505,91000002,79000008,1
9102,510,91000002,79000008,1
9103,515,91000002,79000008,1
9104,520,91000002,79000008,1
9105,525,91000002,79000008,1
9106,530,91000002,79000008,1
9107,535,91000002,79000008,1
9108,540,91000002,79000008,1
9109,545,91000002,79000008,1
9110,550,91000002,79000008,1
9111,555,91000002,79000008,1
9112,560,91000002,79000008,1
9113,565,91000002,79000008,1
9114,570,91000002,79000008,1
9115,575,91000002,79000008,1
9116,580,91000002,79000008,1
9117,585,91000002,79000008,1
9118,590,91000002,79000008,1
9119,595,91000002,79000008,1
9120,600,91000002,79000008,1
9121,605,91000002,79000008,1
9122,610,91000002,79000008,1
9123,615,91000002,79000008,1
9124,620,91000002,79000008,1
9125,625,91000002,79000008,1
9126,630,91000002,79000008,1
9127,635,91000002,79000008,1
9128,640,91000002,79000008,1
9129,645,91000002,79000008,1
9130,650,91000002,79000008,1
9131,655,91000002,79000008,1
9132,660,91000002,79000008,1
9133,665,91000002,79000008,1
9134,670,91000002,79000008,1
9135,675,91000002,79000008,1
9136,680,91000002,79000008,1
9137,685,91000002,79000008,1
9138,690,91000002,79000008,1
9139,695,91000002,79000008,1
9140,700,91000002,79000008,1
9141,705,91000002,79000008,1
9142,710,91000002,79000008,1
9143,715,91000002,79000008,1
9144,720,91000002,79000008,1
9145,725,91000002,79000008,1
9146,730,91000002,79000008,1
9147,735,91000002,79000008,1
9148,740,91000002,79000008,1
9149,745,91000002,79000008,1
9150,750,91000002,79000008,1
9151,755,91000002,79000008,1
9152,760,91000002,79000008,1
9153,765,91000002,79000008,1
9154,770,91000002,79000008,1
9155,775,91000002,79000008,1
9156,780,91000002,79000008,1
9157,785,91000002,79000008,1
9158,790,91000002,79000008,1
9159,795,91000002,79000008,1
9160,800,91000002,79000008,1
9161,805,91000002,79000008,1
9162,810,91000002,79000008,1
9163,815,91000002,79000008,1
9164,820,91000002,79000008,1
9165,825,91000002,79000008,1
9166,830,91000002,79000008,1
9167,835,91000002,79000008,1
9168,840,91000002,79000008,1
9169,845,91000002,79000008,1
9170,850,91000002,79000008,1
9171,855,91000002,79000008,1
9172,860,91000002,79000008,1
9173,865,91000002,79000008,1
9174,870,91000002,79000008,1
9175,875,91000002,79000008,1
9176,880,91000002,79000008,1
9177,885,91000002,79000008,1
9178,890,91000002,79000008,1
9179,895,91000002,79000008,1
9180,900,91000002,79000008,1
9181,905,91000002,79000008,1
9182,910,91000002,79000008,1
9183,915,91000002,79000008,1
9184,920,91000002,79000008,1
9185,925,91000002,79000008,1
9186,930,91000002,79000008,1
9187,935,91000002,79000008,1
9188,940,91000002,79000008,1
9189,945,91000002,79000008,1
9190,950,91000002,79000008,1
9191,955,91000002,79000008,1
9192,960,91000002,79000008,1
9193,965,91000002,79000008,1
9194,970,91000002,79000008,1
9195,975,91000002,79000008,1
9196,980,91000002,79000008,1
9197,985,91000002,79000008,1
9198,990,91000002,79000008,1
9199,995,91000002,79000008,1
9200,1000,91000002,79000008,1
