buffid,buffname,bufftype,timebase,timeadd,takeeffect,takeeffectnum,overlapnum,limitbuff,cleanbuff,benefit,effectid,effecttype1,effectbase1,effectadd1,effecttype2,effectbase2,effectadd2,effecttype3,effectbase3,effectadd3,effecttype4,effectbase4,effectadd4
11112,无视魔抗,1,1800000,0,0,0,0,0,0,1,0,10,-2000,0,0,0,0,0,0,0,0,0,0
23091,魔法伤害增加40%,1,1800000,0,0,0,0,0,0,1,0,33,4000,0,0,0,0,0,0,0,0,0,0
23092,法术暴击伤害50%,1,1800000,0,0,0,0,0,0,1,0,37,5000,0,0,0,0,0,0,0,0,0,0
23093,法术暴击概率25%,1,6000,0,0,0,0,0,0,1,0,17,2500,0,0,0,0,0,0,0,0,0,0
22032,无敌5秒,1,5000,0,0,0,0,0,0,1,10016,1001,5,0,0,0,0,0,0,0,0,0,0
12033,怒气+200,1,1000,0,0,0,1,0,0,1,10003,2001,200,0,0,0,0,0,0,0,0,0,0
21082,伤害减免10%,1,1800000,0,0,0,0,0,0,1,0,25,1000,0,0,0,0,0,0,0,0,0,0
11083,增加魔法伤害并提高1000怒气,1,4000,0,0,0,0,0,0,1,10080402,33,2000,0,2001,1000,0,0,0,0,0,0,0
21021,反伤盾,0,6000,0,0,0,0,0,0,1,0,2004,500,0,0,0,0,0,0,0,0,0,0
11022,全体吸收盾,1,12000,0,0,0,0,0,0,1,10020404,2007,1,0,20071,1000,0,0,0,0,0,0,0
13072,降低物理伤害,0,1800000,0,0,0,0,0,0,1,0,32,-1000,0,0,0,0,0,0,0,0,0,0
23073,双免伤,0,6000,0,0,0,0,0,0,1,20050105,23,5000,0,24,5000,0,0,0,0,0,0,0
23021,增加暴击命中,0,10000,0,0,0,0,0,0,1,30020204,26,2000,0,13,3000,0,0,0,0,0,0,0
23022,增加物理伤害,0,1800000,0,0,0,0,0,0,1,0,32,2000,0,0,0,0,0,0,0,0,0,0
14041,昏迷4S,1,4000,0,0,0,0,0,0,2,10015,1006,4,0,0,0,0,0,0,0,0,0,0
24042,增加物理伤害和减免,0,30000,0,0,0,20,0,0,1,40040404,32,200,0,23,200,0,0,0,0,0,0,0
24043,增加物理伤害和减免,0,10000,0,0,0,0,0,0,1,40040404,32,2000,0,23,2000,0,0,0,0,0,0,0
23051,增加物理伤害,0,10000,0,0,0,0,0,0,1,0,32,2000,0,0,0,0,0,0,0,0,0,0
23052,攻速提高20%,0,1800000,0,0,0,0,0,0,1,0,11,-4000,0,0,0,0,0,0,0,0,0,0
12091,昏迷2S,1,2000,0,0,0,0,0,0,2,10015,1006,2,0,0,0,0,0,0,0,0,0,0
12092,增加法术强度,0,1800000,0,0,0,0,0,0,1,0,9,546,0,0,0,0,0,0,0,0,0,0
21051,攻速提高200%,0,4000,0,0,0,0,0,0,1,0,11,-15000,0,0,0,0,0,0,0,0,0,0
21052,物理暴击提高50%,0,4000,0,0,0,0,0,0,1,0,16,5000,0,0,0,0,0,0,0,0,0,0
11062,物理伤害减免,0,1800000,0,0,0,0,0,0,1,0,23,-1000,0,0,0,0,0,0,0,0,0,0
11063,平摊伤害,0,10000,0,0,0,0,0,0,1,10060404,1012,1,0,23,2000,0,0,0,0,0,0,0
11064,物理免伤,0,10000,0,0,0,0,0,0,1,10060404,23,2000,0,0,0,0,0,0,0,0,0,0
24051,持续恢复能量,1,10000,0,1,1000,1,0,0,1,10003,2001,100,0,0,0,0,0,0,0,0,0,0
14052,物理流血增强,1,4000,0,1,1000,0,0,0,1,20100104,2008,-150,0,0,0,0,0,0,0,0,0,0
14054,物理流血,1,4000,0,1,1000,0,0,0,1,20100104,2008,-100,0,0,0,0,0,0,0,0,0,0
12081,减攻速,1,6000,0,0,0,0,0,0,1,10017,111,2500,0,0,0,0,0,0,0,0,0,0
22082,反伤盾,0,1800000,0,0,0,0,0,0,1,20080204,2004,500,0,0,0,0,0,0,0,0,0,0
12083,全队恢复能量,0,1800000,0,0,0,0,0,0,1,10003,2001,10,0,0,0,0,0,0,0,0,0,0
12084,冰冻2S,1,2000,0,0,0,0,0,0,2,40110404,1015,2,0,0,0,0,0,0,0,0,0,0
21011,骷髅旗加血,0,5000,0,1,1000,0,0,0,1,10010101,106,400,0,0,0,0,0,0,0,0,0,0
21012,偷袭加暴击,0,4000,0,0,0,0,0,0,1,0,26,10000,0,0,0,0,0,0,0,0,0,0
11014,昏迷2S,1,2000,0,0,0,0,0,0,2,10015,1006,2,0,0,0,0,0,0,0,0,0,0
13032,睡眠,1,6000,0,0,0,0,0,0,2,0,1011,6,0,0,0,0,0,0,0,0,0,0
13033,恐惧,1,4000,0,0,0,0,0,0,2,10017,111,10000,0,0,0,0,0,0,0,0,0,0
13034,眩晕,1,2000,0,0,0,0,0,0,2,10015,1006,2,0,0,0,0,0,0,0,0,0,0
13035,沉默,1,6000,0,0,0,0,0,0,2,0,1009,6,0,0,0,0,0,0,0,0,0,0
12011,物理易伤40%,1,8000,0,0,0,0,0,0,2,20100104,23,-4000,0,0,0,0,0,0,0,0,0,0
12012,降低2%基础属性5层,1,15000,0,0,0,5,0,0,1,30030103,0,-200,0,1,-200,0,0,0,0,0,0,0
22013,伤害增加60%,1,1800000,0,0,0,0,0,0,1,20050105,31,6000,0,0,0,0,0,0,0,0,0,0
12014,恐惧,1,6000,0,0,0,0,0,0,1,10017,11,20000,0,0,0,0,0,0,0,0,0,0
22071,物理法术免伤,1,1800000,0,0,0,0,0,0,1,0,23,1500,0,24,1500,0,0,0,0,0,0,0
14061,全队法术增伤,1,1800000,0,0,0,0,0,0,1,0,33,1000,0,0,0,0,0,0,0,0,0,0
22051,无敌6秒,1,6000,0,0,0,0,0,0,1,10016,1001,6,0,0,0,0,0,0,0,0,0,0
22052,攻速增加60%,1,4000,0,0,0,0,0,0,1,0,11,-10000,0,0,0,0,0,0,0,0,0,0
22053,物理攻击加深,1,180000,0,1,10000,20,0,0,1,20050105,32,500,0,0,0,0,0,0,0,0,0,0
12054,昏迷1S,1,1000,0,0,0,0,0,0,2,10015,1006,1,0,0,0,0,0,0,0,0,0,0
13011,点燃DOT,1,6000,0,1,1000,0,0,0,2,10050107,2008,-100,0,0,0,0,0,0,0,0,0,0
23012,减少生命增加物理攻击,1,8000,0,0,0,0,0,0,1,30010304,107,2000,0,0,0,0,0,0,0,0,0,0
13101,神圣灼烧,1,8000,0,1,1000,0,0,0,2,0,2008,-100,0,0,0,0,0,0,0,0,0,0
13102,神圣灼烧双倍,1,8000,0,1,1000,0,0,0,2,0,2008,-200,0,0,0,0,0,0,0,0,0,0
11041,全队物理 法术伤害提升,1,8000,0,0,0,0,0,0,1,10040404,32,4000,0,33,4000,0,0,0,0,0,0,0
21042,伤害增加50%,1,8000,0,0,0,0,0,0,1,20050105,31,5000,0,0,0,0,0,0,0,0,0,0
22021,无敌4秒50%增伤100%加速,1,4000,0,0,0,0,0,0,1,10016,1001,4,0,31,5000,0,0,0,0,0,0,0
22022,无敌4秒50%增伤100%加速,1,6000,0,0,0,0,0,0,1,10016,1001,4,0,31,5000,0,0,0,0,0,0,0
11091,恐惧,1,6000,0,0,0,0,0,0,1,10017,111,10000,0,0,0,0,0,0,0,0,0,0
14071,10%吸血,1,10000,0,0,0,0,0,0,1,0,21,1000,0,0,0,0,0,0,0,0,0,0
24072,20%攻速和攻击力,1,10000,0,0,0,0,0,0,1,0,111,-2000,0,29,2000,0,0,0,0,0,0,0
21031,变身,1,10000,0,0,0,0,0,0,1,10030404,108,10000,0,110,10000,0,0,0,0,0,0,0
11032,嘲讽,1,5000,0,0,0,0,0,0,1,0,1010,5,0,0,0,0,0,0,0,0,0,0
11033,敌方易伤,1,5000,0,0,0,0,0,0,1,0,25,-10000,0,0,0,0,0,0,0,0,0,0
21034,自身易伤,1,5000,0,0,0,0,0,0,0,0,25,-10000,0,0,0,0,0,0,0,0,0,0
11092,恐惧,1,10000,0,0,0,0,0,0,1,10017,111,10000,0,0,0,0,0,0,0,0,0,0
11093,降低双防,1,10000,0,0,0,0,0,0,1,10008,108,-2000,0,110,-2000,0,0,0,0,0,0,0
14031,生物力场,0,8000,0,0,0,0,0,0,1,40030401,2007,99999999,0,0,0,0,0,0,0,0,0,0
12111,提升双攻双防,1,10000,0,0,0,0,0,0,1,0,107,1000,0,108,1000,0,109,1000,0,110,1000,0
12112,每秒2%生命同时,1,10000,0,1,1000,0,0,0,1,0,2008,200,0,0,0,0,0,0,0,0,0,0
12113,降低伤害,1,10000,0,0,0,0,0,0,1,0,25,3500,0,0,0,0,0,0,0,0,0,0
12114,每秒5%生命同时,1,10000,0,1,1000,0,0,0,1,0,2008,500,0,0,0,0,0,0,0,0,0,0
24032,受到伤害降低50%,1,5000,0,0,0,0,0,0,1,40030104,25,5000,0,0,0,0,0,0,0,0,0,0
24033,反伤盾,0,8000,0,0,0,0,0,0,1,0,2004,10000,0,0,0,0,0,0,0,0,0,0
14111,冰冻5S,1,5000,0,0,0,0,0,0,1,40110404,1015,5,0,0,0,0,0,0,0,0,0,0
24112,每秒5%生命,1,5000,0,1,1000,0,0,0,1,0,2008,2000,0,0,0,0,0,0,0,0,0,0
24113,冰冻自身5S,1,5000,0,0,0,0,0,0,1,40110404,1015,5,0,0,0,0,0,0,0,0,0,0
15011,网住目标,1,3000,0,0,0,0,0,0,1,0,1007,3,0,0,0,0,0,0,0,0,0,0
15021,昏迷2S,1,2000,0,0,0,0,0,0,2,10015,1006,2,0,0,0,0,0,0,0,0,0,0
25022,每秒4%生命,1,8000,0,1,1000,0,0,0,1,0,2008,400,0,0,0,0,0,0,0,0,0,0
25031,每秒10%生命,1,4000,0,1,1000,0,0,0,1,0,2008,1000,0,0,0,0,0,0,0,0,0,0
15032,中毒,1,8000,0,1,1000,0,0,0,2,0,2008,-100,0,0,0,0,0,0,0,0,0,0
15034,中毒,1,8000,0,1,1000,0,0,0,2,0,2008,-100,0,0,0,0,0,0,0,0,0,0
25041,每秒10%生命,1,6000,0,1,1000,0,0,0,1,0,2008,1000,0,0,0,0,0,0,0,0,0,0
25042,受到伤害降低30%,1,6000,0,0,0,0,0,0,1,0,25,3000,0,0,0,0,0,0,0,0,0,0
25051,每秒10%生命,1,8000,0,1,1000,0,0,0,1,0,2008,1000,0,0,0,0,0,0,0,0,0,0
25052,受到伤害降低50%,1,8000,0,0,0,0,0,0,1,0,25,5000,0,0,0,0,0,0,0,0,0,0
15053,降低2%基础属性5层,1,15000,0,0,0,5,0,0,1,30030103,0,-200,0,1,-200,0,0,0,0,0,0,0
15043,中毒,1,8000,0,1,1000,0,0,0,2,10050107,2008,-100,0,0,0,0,0,0,0,0,0,0
15044,中毒,1,8000,0,1,1000,0,0,0,2,10050107,2008,-100,0,0,0,0,0,0,0,0,0,0
25071,每秒10%生命,1,1800000,0,1,3000,0,0,0,1,0,2008,1000,0,0,0,0,0,0,0,0,0,0
25072,增加50%伤害,1,10000,0,0,0,0,0,0,1,0,31,5000,0,0,0,0,0,0,0,0,0,0
23103,增加自身防御,1,8000,0,0,0,0,0,0,1,0,108,1000,0,0,0,0,0,0,0,0,0,0
14201,神圣易伤20%,1,180000,0,0,0,99,0,0,2,20100104,74,-2000,0,0,0,0,0,0,0,0,0,0
11104,制裁昏迷1.2S,1,1200,0,0,0,0,0,0,2,10015,1006,1,0,0,0,0,0,0,0,0,0,0
22109,增加50%暴击伤害,1,10000,0,0,0,0,0,0,1,0,18,5000,0,0,0,0,0,0,0,0,0,0
13109,降低攻速移速30%,1,4000,0,0,0,0,0,0,1,0,11,6000,0,12,-30,0,0,0,0,0,0,0
49002,死亡后对周围敌方造成昏迷效果持续10S,1,10000,0,0,0,0,0,0,2,10015,1006,10,0,0,0,0,0,0,0,0,0,0
49003,死亡后持续恢复我方能量，每秒500，持续5秒,1,5000,0,1,500,0,0,0,1,10003,2001,250,0,0,0,0,0,0,0,0,0,0
49005,死亡后增加我方武将所有免伤50%，持续30秒,1,30000,0,0,0,0,0,0,1,20050105,25,5000,0,0,0,0,0,0,0,0,0,0
49006,死亡后增加我方武将所有增伤500%，持续30秒,1,30000,0,0,0,0,0,0,1,20050105,31,50000,0,0,0,0,0,0,0,0,0,0
49004,死亡后对周围敌方造成高额伤害,1,5000,0,1,1000,0,0,0,1,10050107,3003,2000,0,0,0,0,0,0,0,0,0,0
51004,本方全体受到的物理伤害降低20%,1,1800000,0,0,0,0,0,0,1,0,23,2000,0,0,0,0,0,0,0,0,0,0
51006,降低敌方全体10%物理伤害减免,1,1800000,0,0,0,0,0,0,1,0,23,-2000,0,0,0,0,0,0,0,0,0,0
51008,所有伤害减免提高10%,1,1800000,0,0,0,0,0,0,1,0,25,1000,0,0,0,0,0,0,0,0,0,0
51091,降低敌方10%伤害，并提高己方10%伤害,1,1800000,0,0,0,0,0,0,1,0,31,-1000,0,0,0,0,0,0,0,0,0,0
51092,降低敌方10%伤害，并提高己方10%伤害,1,1800000,0,0,0,0,0,0,1,0,31,1000,0,0,0,0,0,0,0,0,0,0
52002,受到的神术伤害提高30%,1,1800000,0,0,0,0,0,0,1,0,74,-3000,0,0,0,0,0,0,0,0,0,0
52008,每1秒回复20点能量。,1,1800000,0,1,1000,0,0,0,1,0,2001,20,0,0,0,0,0,0,0,0,0,0
52009,增加500点魔法伤害,1,1800000,0,0,0,0,0,0,1,0,9,500,0,0,0,0,0,0,0,0,0,0
52011,受到的治疗效果提升50%,1,1800000,0,0,0,0,0,0,1,0,67,5000,0,0,0,0,0,0,0,0,0,0
53007,降低敌方所有单位10%物理攻击,1,1800000,0,0,0,0,0,0,1,0,107,-1000,0,0,0,0,0,0,0,0,0,0
54003,全队受到的伤害降低30%,1,1800000,0,0,0,0,0,0,1,0,25,3000,0,0,0,0,0,0,0,0,0,0
54006,增加全队10%魔法伤害加深,1,1800000,0,0,0,0,0,0,1,0,33,1000,0,0,0,0,0,0,0,0,0,0
54011,敌方全体部队攻速，移速降低20%,1,1800000,0,0,0,0,0,0,1,0,111,2000,112,-2000,0,0,0,0,0,0,0,0
55006,九头蛇拥有再生的功能，每3秒回复5%的生命值,1,1800000,0,1,3000,0,0,0,1,0,2008,500,0,0,0,0,0,0,0,0,0,0
55007,每3秒回复10%生命值,1,1800000,0,1,3000,0,0,0,1,0,2008,1000,0,0,0,0,0,0,0,0,0,0
54232,降低敌方全体治疗效果40%,1,1800000,0,0,0,0,0,0,1,0,66,4000,0,0,0,0,0,0,0,0,0,0
54233,降低敌方全体治疗效果45%,1,1800000,0,0,0,0,0,0,1,0,66,4500,0,0,0,0,0,0,0,0,0,0
54234,降低敌方全体治疗效果50%,1,1800000,0,0,0,0,0,0,1,0,66,5000,0,0,0,0,0,0,0,0,0,0
54235,降低敌方全体治疗效果55%,1,1800000,0,0,0,0,0,0,1,0,66,5500,0,0,0,0,0,0,0,0,0,0
54236,降低敌方全体治疗效果60%,1,1800000,0,0,0,0,0,0,1,0,66,6000,0,0,0,0,0,0,0,0,0,0
54237,降低敌方全体治疗效果65%,1,1800000,0,0,0,0,0,0,1,0,66,6500,0,0,0,0,0,0,0,0,0,0
54238,降低敌方全体治疗效果70%,1,1800000,0,0,0,0,0,0,1,0,66,7000,0,0,0,0,0,0,0,0,0,0
54239,降低敌方全体治疗效果75%,1,1800000,0,0,0,0,0,0,1,0,66,7500,0,0,0,0,0,0,0,0,0,0
54240,降低敌方全体治疗效果80%,1,1800000,0,0,0,0,0,0,1,0,66,8000,0,0,0,0,0,0,0,0,0,0
