gem_id,gem_name,lv,combo,combo_num,gem_type,quality,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,icon
10103007,7级金刚石,7,10103006,3,3,4,8,3600,0,0,99,360000,elogo10103007.png
10103008,8级金刚石,8,10103007,3,3,5,8,7500,0,0,99,750000,elogo10103008.png
10103009,9级金刚石,9,10103008,3,3,5,8,15000,0,0,99,1500000,elogo10103009.png
10103010,10级金刚石,10,10103009,3,3,6,8,30000,0,0,99,3000000,elogo10103010.png
10104001,1级日冕石,1,0,0,4,1,9,10,0,0,99,500,elogo10104001.png
10104002,2级日冕石,2,10104001,3,4,2,9,30,0,0,99,1500,elogo10104002.png
10104003,3级日冕石,3,10104002,3,4,2,9,90,0,0,99,4500,elogo10104003.png
10104004,4级日冕石,4,10104003,3,4,3,9,270,0,0,99,13500,elogo10104004.png
10104005,5级日冕石,5,10104004,3,4,3,9,800,0,0,99,40000,elogo10104005.png
10104006,6级日冕石,6,10104005,3,4,4,9,2400,0,0,99,120000,elogo10104006.png
10104007,7级日冕石,7,10104006,3,4,4,9,7200,0,0,99,360000,elogo10104007.png
10104008,8级日冕石,8,10104007,3,4,5,9,15000,0,0,99,750000,elogo10104008.png
10104009,9级日冕石,9,10104008,3,4,5,9,30000,0,0,99,1500000,elogo10104009.png
10104010,10级日冕石,10,10104009,3,4,6,9,60000,0,0,99,3000000,elogo10104010.png
10105001,1级月光石,1,0,0,5,1,10,10,0,0,99,500,elogo10105001.png
10105002,2级月光石,2,10105001,3,5,2,10,30,0,0,99,1500,elogo10105002.png
10105003,3级月光石,3,10105002,3,5,2,10,90,0,0,99,4500,elogo10105003.png
10105004,4级月光石,4,10105003,3,5,3,10,270,0,0,99,13500,elogo10105004.png
10105005,5级月光石,5,10105004,3,5,3,10,800,0,0,99,40000,elogo10105005.png
10105006,6级月光石,6,10105005,3,5,4,10,2400,0,0,99,120000,elogo10105006.png
10105007,7级月光石,7,10105006,3,5,4,10,7200,0,0,99,360000,elogo10105007.png
10105008,8级月光石,8,10105007,3,5,5,10,15000,0,0,99,750000,elogo10105008.png
10105009,9级月光石,9,10105008,3,5,5,10,30000,0,0,99,1500000,elogo10105009.png
10105010,10级月光石,10,10105009,3,5,6,10,60000,0,0,99,3000000,elogo10105010.png
10106001,1级荧光石,1,0,0,6,1,29,5,0,0,99,500,elogo10106001.png
10106002,2级荧光石,2,10106001,3,6,2,29,15,0,0,99,1500,elogo10106002.png
10106003,3级荧光石,3,10106002,3,6,2,29,45,0,0,99,4500,elogo10106003.png
10106004,4级荧光石,4,10106003,3,6,3,29,135,0,0,99,13500,elogo10106004.png
10106005,5级荧光石,5,10106004,3,6,3,29,400,0,0,99,40000,elogo10106005.png
10106006,6级荧光石,6,10106005,3,6,4,29,1200,0,0,99,120000,elogo10106006.png
10106007,7级荧光石,7,10106006,3,6,4,29,3600,0,0,99,360000,elogo10106007.png
10106008,8级荧光石,8,10106007,3,6,5,29,7500,0,0,99,750000,elogo10106008.png
10106009,9级荧光石,9,10106008,3,6,5,29,15000,0,0,99,1500000,elogo10106009.png
10106010,10级荧光石,10,10106009,3,6,6,29,30000,0,0,99,3000000,elogo10106010.png
10107001,1级曲光石,1,0,0,7,1,30,5,0,0,99,500,elogo10107001.png
10107002,2级曲光石,2,10107001,3,7,2,30,15,0,0,99,1500,elogo10107002.png
10107003,3级曲光石,3,10107002,3,7,2,30,45,0,0,99,4500,elogo10107003.png
10107004,4级曲光石,4,10107003,3,7,3,30,135,0,0,99,13500,elogo10107004.png
10107005,5级曲光石,5,10107004,3,7,3,30,400,0,0,99,40000,elogo10107005.png
10107006,6级曲光石,6,10107005,3,7,4,30,1200,0,0,99,120000,elogo10107006.png
10107007,7级曲光石,7,10107006,3,7,4,30,3600,0,0,99,360000,elogo10107007.png
10107008,8级曲光石,8,10107007,3,7,5,30,7500,0,0,99,750000,elogo10107008.png
10107009,9级曲光石,9,10107008,3,7,5,30,15000,0,0,99,1500000,elogo10107009.png
10107010,10级曲光石,10,10107009,3,7,6,30,30000,0,0,99,3000000,elogo10107010.png
10108001,1级黄水晶,1,0,0,8,1,16,30,0,0,99,5000,elogo10108001.png
10108002,2级黄水晶,2,10108001,3,8,2,16,60,0,0,99,10000,elogo10108002.png
10108003,3级黄水晶,3,10108002,3,8,2,16,100,0,0,99,15000,elogo10108003.png
10108004,4级黄水晶,4,10108003,3,8,3,16,140,0,0,99,22500,elogo10108004.png
10108005,5级黄水晶,5,10108004,3,8,3,16,180,0,0,99,32500,elogo10108005.png
10108006,6级黄水晶,6,10108005,3,8,4,16,220,0,0,99,50000,elogo10108006.png
10108007,7级黄水晶,7,10108006,3,8,4,16,260,0,0,99,75000,elogo10108007.png
10108008,8级黄水晶,8,10108007,3,8,5,16,300,0,0,99,110000,elogo10108008.png
10108009,9级黄水晶,9,10108008,3,8,5,16,360,0,0,99,165000,elogo10108009.png
10108010,10级黄水晶,10,10108009,3,8,6,16,500,0,0,99,250000,elogo10108010.png
10109001,1级红水晶,1,0,0,9,1,17,30,0,0,99,5000,elogo10109001.png
10109002,2级红水晶,2,10109001,3,9,2,17,60,0,0,99,10000,elogo10109002.png
10109003,3级红水晶,3,10109002,3,9,2,17,100,0,0,99,15000,elogo10109003.png
10109004,4级红水晶,4,10109003,3,9,3,17,140,0,0,99,22500,elogo10109004.png
10109005,5级红水晶,5,10109004,3,9,3,17,180,0,0,99,32500,elogo10109005.png
10109006,6级红水晶,6,10109005,3,9,4,17,220,0,0,99,50000,elogo10109006.png
10109007,7级红水晶,7,10109006,3,9,4,17,260,0,0,99,75000,elogo10109007.png
10109008,8级红水晶,8,10109007,3,9,5,17,300,0,0,99,110000,elogo10109008.png
10109009,9级红水晶,9,10109008,3,9,5,17,360,0,0,99,165000,elogo10109009.png
10109010,10级红水晶,10,10109009,3,9,6,17,500,0,0,99,250000,elogo10109010.png
10110001,1级鹰眼石,1,0,0,10,1,13,30,0,0,99,5000,elogo10110001.png
10110002,2级鹰眼石,2,10110001,3,10,2,13,60,0,0,99,10000,elogo10110002.png
10110003,3级鹰眼石,3,10110002,3,10,2,13,100,0,0,99,15000,elogo10110003.png
10110004,4级鹰眼石,4,10110003,3,10,3,13,140,0,0,99,22500,elogo10110004.png
10110005,5级鹰眼石,5,10110004,3,10,3,13,180,0,0,99,32500,elogo10110005.png
10110006,6级鹰眼石,6,10110005,3,10,4,13,220,0,0,99,50000,elogo10110006.png
10110007,7级鹰眼石,7,10110006,3,10,4,13,260,0,0,99,75000,elogo10110007.png
10110008,8级鹰眼石,8,10110007,3,10,5,13,300,0,0,99,110000,elogo10110008.png
10110009,9级鹰眼石,9,10110008,3,10,5,13,360,0,0,99,165000,elogo10110009.png
10110010,10级鹰眼石,10,10110009,3,10,6,13,500,0,0,99,250000,elogo10110010.png
10111001,1级猫眼石,1,0,0,11,1,14,30,0,0,99,5000,elogo10111001.png
10111002,2级猫眼石,2,10111001,3,11,2,14,60,0,0,99,10000,elogo10111002.png
10111003,3级猫眼石,3,10111002,3,11,2,14,100,0,0,99,15000,elogo10111003.png
10111004,4级猫眼石,4,10111003,3,11,3,14,140,0,0,99,22500,elogo10111004.png
10111005,5级猫眼石,5,10111004,3,11,3,14,180,0,0,99,32500,elogo10111005.png
10111006,6级猫眼石,6,10111005,3,11,4,14,220,0,0,99,50000,elogo10111006.png
10111007,7级猫眼石,7,10111006,3,11,4,14,260,0,0,99,75000,elogo10111007.png
10111008,8级猫眼石,8,10111007,3,11,5,14,300,0,0,99,110000,elogo10111008.png
10111009,9级猫眼石,9,10111008,3,11,5,14,360,0,0,99,165000,elogo10111009.png
10111010,10级猫眼石,10,10111009,3,11,6,14,500,0,0,99,250000,elogo10111010.png
10112001,1级黑曜石,1,0,0,12,1,34,30,0,0,99,5000,elogo10112001.png
10112002,2级黑曜石,2,10112001,3,12,2,34,60,0,0,99,10000,elogo10112002.png
10112003,3级黑曜石,3,10112002,3,12,2,34,100,0,0,99,15000,elogo10112003.png
10112004,4级黑曜石,4,10112003,3,12,3,34,140,0,0,99,22500,elogo10112004.png
10112005,5级黑曜石,5,10112004,3,12,3,34,180,0,0,99,32500,elogo10112005.png
10112006,6级黑曜石,6,10112005,3,12,4,34,220,0,0,99,50000,elogo10112006.png
10112007,7级黑曜石,7,10112006,3,12,4,34,260,0,0,99,75000,elogo10112007.png
10112008,8级黑曜石,8,10112007,3,12,5,34,300,0,0,99,110000,elogo10112008.png
10112009,9级黑曜石,9,10112008,3,12,5,34,360,0,0,99,165000,elogo10112009.png
10112010,10级黑曜石,10,10112009,3,12,6,34,500,0,0,99,250000,elogo10112010.png
10113001,1级虚空石,1,0,0,13,1,35,30,0,0,99,5000,elogo10113001.png
10113002,2级虚空石,2,10113001,3,13,2,35,60,0,0,99,10000,elogo10113002.png
10113003,3级虚空石,3,10113002,3,13,2,35,100,0,0,99,15000,elogo10113003.png
10113004,4级虚空石,4,10113003,3,13,3,35,140,0,0,99,22500,elogo10113004.png
10113005,5级虚空石,5,10113004,3,13,3,35,180,0,0,99,32500,elogo10113005.png
10113006,6级虚空石,6,10113005,3,13,4,35,220,0,0,99,50000,elogo10113006.png
10113007,7级虚空石,7,10113006,3,13,4,35,260,0,0,99,75000,elogo10113007.png
10113008,8级虚空石,8,10113007,3,13,5,35,300,0,0,99,110000,elogo10113008.png
10113009,9级虚空石,9,10113008,3,13,5,35,360,0,0,99,165000,elogo10113009.png
10113010,10级虚空石,10,10113009,3,13,6,35,500,0,0,99,250000,elogo10113010.png
