class,index,base_type,initial_value,max_value,weight,limit,low_up,low_down,low_flat,threshold,high_up,high_down,high_flat,change_max,unit,evaluate
1,4,9,96,1920,8,4,1500,4500,4000,4000,800,8200,1000,38,1,5
1,4,10,96,1920,5,4,1500,4500,4000,4000,800,8200,1000,38,1,5
1,4,29,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
1,4,30,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
1,4,15,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,36,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,13,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,14,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,66,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,67,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,68,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
1,4,69,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,1,6,60,1200,5,4,1500,4500,4000,4000,800,8200,1000,24,1,2
2,1,7,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
2,1,8,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
2,1,9,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,5
2,1,10,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,5
2,1,29,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
2,1,30,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
2,1,15,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,36,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,13,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,14,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,66,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,67,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,68,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,1,69,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,6,120,2400,5,4,1500,4500,4000,4000,800,8200,1000,48,1,2
2,2,7,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
2,2,8,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
2,2,9,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,5
2,2,10,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,5
2,2,29,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
2,2,30,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
2,2,15,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,36,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,13,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,14,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,66,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,67,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,68,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,2,69,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,6,240,4800,5,4,1500,4500,4000,4000,800,8200,1000,96,1,2
2,3,7,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
2,3,8,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
2,3,9,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,5
2,3,10,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,5
2,3,29,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
2,3,30,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
2,3,15,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,36,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,13,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,14,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,66,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,67,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,68,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,3,69,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
2,4,6,480,9600,5,4,1500,4500,4000,4000,800,8200,1000,192,1,2
2,4,7,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
2,4,8,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
2,4,9,96,1920,8,4,1500,4500,4000,4000,800,8200,1000,38,1,5
2,4,10,96,1920,5,4,1500,4500,4000,4000,800,8200,1000,38,1,5
2,4,29,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
2,4,30,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
2,4,15,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,36,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,13,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,14,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,66,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,67,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,68,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
2,4,69,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,1,6,60,1200,5,4,1500,4500,4000,4000,800,8200,1000,24,1,2
3,1,7,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
3,1,8,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
3,1,9,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,5
3,1,10,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,5
3,1,29,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
3,1,30,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
3,1,15,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,36,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,13,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,14,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,66,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,67,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,68,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,1,69,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,6,120,2400,5,4,1500,4500,4000,4000,800,8200,1000,48,1,2
3,2,7,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
3,2,8,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
3,2,9,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,5
3,2,10,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,5
3,2,29,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
3,2,30,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
3,2,15,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,36,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,13,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,14,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,66,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,67,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,68,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,2,69,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,6,240,4800,5,4,1500,4500,4000,4000,800,8200,1000,96,1,2
3,3,7,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
3,3,8,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
3,3,9,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,5
3,3,10,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,5
3,3,29,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
3,3,30,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
3,3,15,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,36,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,13,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,14,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,66,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,67,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,68,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,3,69,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
3,4,6,480,9600,5,4,1500,4500,4000,4000,800,8200,1000,192,1,2
3,4,7,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
3,4,8,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
3,4,9,96,1920,8,4,1500,4500,4000,4000,800,8200,1000,38,1,5
3,4,10,96,1920,5,4,1500,4500,4000,4000,800,8200,1000,38,1,5
3,4,29,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
3,4,30,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
3,4,15,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,36,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,13,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,14,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,66,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,67,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,68,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
3,4,69,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,1,6,60,1200,5,4,1500,4500,4000,4000,800,8200,1000,24,1,2
4,1,7,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
4,1,8,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
4,1,9,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,5
4,1,10,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,5
4,1,29,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
4,1,30,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
4,1,15,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,36,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,13,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,14,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,66,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,67,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,68,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,1,69,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,6,120,2400,5,4,1500,4500,4000,4000,800,8200,1000,48,1,2
4,2,7,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
4,2,8,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
4,2,9,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,5
4,2,10,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,5
4,2,29,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
4,2,30,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
4,2,15,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,36,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,13,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,14,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,66,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,67,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,68,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,2,69,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,6,240,4800,5,4,1500,4500,4000,4000,800,8200,1000,96,1,2
4,3,7,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
4,3,8,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
4,3,9,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,5
4,3,10,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,5
4,3,29,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
4,3,30,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
4,3,15,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,36,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,13,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,14,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,66,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,67,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,68,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,3,69,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
4,4,6,480,9600,5,4,1500,4500,4000,4000,800,8200,1000,192,1,2
4,4,7,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
4,4,8,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
4,4,9,96,1920,8,4,1500,4500,4000,4000,800,8200,1000,38,1,5
4,4,10,96,1920,5,4,1500,4500,4000,4000,800,8200,1000,38,1,5
4,4,29,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
4,4,30,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
4,4,15,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,36,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,13,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,14,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,66,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,67,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,68,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
4,4,69,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,1,6,60,1200,5,4,1500,4500,4000,4000,800,8200,1000,24,1,2
5,1,7,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
5,1,8,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
5,1,9,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,5
5,1,10,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,5
5,1,29,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
5,1,30,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
5,1,15,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,36,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,13,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,14,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,66,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,67,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,68,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,1,69,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,6,120,2400,5,4,1500,4500,4000,4000,800,8200,1000,48,1,2
5,2,7,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
5,2,8,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
5,2,9,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,5
5,2,10,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,5
5,2,29,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
5,2,30,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
5,2,15,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,36,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,13,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,14,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,66,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,67,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,68,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,2,69,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,6,240,4800,5,4,1500,4500,4000,4000,800,8200,1000,96,1,2
5,3,7,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
5,3,8,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
5,3,9,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,5
5,3,10,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,5
5,3,29,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
5,3,30,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
5,3,15,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,36,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,13,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,14,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,66,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,67,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,68,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,3,69,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
5,4,6,480,9600,5,4,1500,4500,4000,4000,800,8200,1000,192,1,2
5,4,7,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
5,4,8,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
5,4,9,96,1920,8,4,1500,4500,4000,4000,800,8200,1000,38,1,5
5,4,10,96,1920,5,4,1500,4500,4000,4000,800,8200,1000,38,1,5
5,4,29,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
5,4,30,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
5,4,15,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,36,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,13,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,14,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,66,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,67,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,68,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
5,4,69,5,100,1,2,1500,4500,4000,4000,800,8200,1000,2,1,240
6,1,6,60,1200,5,4,1500,4500,4000,4000,800,8200,1000,24,1,2
6,1,7,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
6,1,8,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
6,1,9,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,5
6,1,10,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,5
6,1,29,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
6,1,30,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
6,1,15,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,36,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,13,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,14,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,66,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,67,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,68,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,1,69,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,6,120,2400,5,4,1500,4500,4000,4000,800,8200,1000,48,1,2
6,2,7,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
6,2,8,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
6,2,9,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,5
6,2,10,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,5
6,2,29,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
6,2,30,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
6,2,15,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,36,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,13,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,14,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,66,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,67,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,68,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,2,69,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,6,240,4800,5,4,1500,4500,4000,4000,800,8200,1000,96,1,2
6,3,7,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
6,3,8,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
6,3,9,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,5
6,3,10,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,5
6,3,29,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
6,3,30,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
6,3,15,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,36,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,13,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,14,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,66,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,67,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,68,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
6,3,69,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
