valuetype,name,cname,text,type,show,fightingnum,queue,icon1
73,mentaldamage,神术伤害,神术伤害增加,0,1,0,74,0
74,mentalbreaks,神术减免,神术伤害减免,0,1,0,75,0
75,mentalcrit,神术暴击,神术暴击,0,1,0,76,0
76,mentalcritbreaks,神术抗暴,神术抗暴,0,1,0,77,0
77,mentaltimes,神术致命,神术暴击倍数,0,1,0,78,0
78,mentaltimesbreaks,神术暴免,神术暴击伤害减免,0,1,0,79,0
79,iceattack,冰霜攻击,冰霜攻击,1,1,0,80,0
80,iceres,冰霜抗性,冰霜防御,1,1,0,81,0
81,icedamage,冰霜伤害,冰霜伤害加层,0,1,0,82,0
82,icedamagebreaks,冰霜减免,冰霜伤害减免,0,1,0,83,0
83,fireattack,火焰攻击,火焰攻击,1,1,0,84,0
84,fireres,火焰抗性,火焰防御,1,1,0,85,0
85,firedamage,火焰伤害,火焰伤害加层,0,1,0,86,0
86,firedamagebreaks,火焰减免,火焰伤害减免,0,1,0,87,0
87,electricattack,穿刺圣抗,神圣伤害降低,0,1,0,88,0
88,electricres,穿刺圣伤,神圣伤害提升,0,1,0,89,0
89,electricdamage,重击圣抗,神圣伤害降低,0,1,0,90,0
90,electricdamagebreaks,重击圣伤,神圣伤害提升,0,1,0,91,0
91,naturalattack,碾压圣抗,神圣伤害降低,0,1,0,92,0
92,naturalres,碾压圣伤,神圣伤害提升,0,1,0,93,0
93,naturaldamage,致命圣抗,神圣伤害降低,0,1,0,94,0
94,naturaldamagebreaks,致命圣伤,神圣伤害提升,0,1,0,95,0
95,shadowattack,暗影攻击,暗影攻击,0,1,0,96,0
96,shadowres,暗影抗性,暗影防御,0,1,0,97,0
97,shadowdamage,暗影伤害,暗影伤害加层,0,1,0,98,0
98,shadowdamagebreaks,暗影减免,暗影伤害减免,0,1,0,99,0
