stunt_group,limit_upgradeid,level,attribute_type1,value1,attribute_type2,value2,cost_item,cost_num,Reset_item,Reset_num,Return_item,Return_num
3,0,6,108,360,99,144000,91000031,50000,91000002,20,91000031,115000
3,0,7,108,430,99,172000,91000031,60000,91000002,20,91000031,165000
3,0,8,108,510,99,204000,91000031,70000,91000002,20,91000031,225000
3,0,9,108,590,99,236000,91000031,80000,91000002,20,91000031,295000
3,100,10,108,660,99,264000,91000031,90000,91000002,20,91000031,375000
3,0,11,108,740,99,296000,91000031,100000,91000002,20,91000031,465000
3,0,12,108,820,99,328000,91000031,110000,91000002,20,91000031,565000
3,0,13,108,900,99,360000,91000031,120000,91000002,20,91000031,675000
3,0,14,108,990,99,396000,91000031,140000,91000002,20,91000031,795000
3,150,15,108,1070,99,428000,91000031,160000,91000002,20,91000031,935000
3,0,16,108,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
3,0,17,108,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
3,0,18,108,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
3,0,19,108,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
3,200,20,108,1500,99,600000,91000031,0,91000002,20,91000031,2195000
4,0,1,109,50,99,20000,91000031,10000,91000002,0,91000031,0
4,0,2,109,100,99,40000,91000031,15000,91000002,20,91000031,10000
4,0,3,109,160,99,64000,91000031,20000,91000002,20,91000031,25000
4,0,4,109,220,99,88000,91000031,30000,91000002,20,91000031,45000
4,50,5,109,290,99,116000,91000031,40000,91000002,20,91000031,75000
4,0,6,109,360,99,144000,91000031,50000,91000002,20,91000031,115000
4,0,7,109,430,99,172000,91000031,60000,91000002,20,91000031,165000
4,0,8,109,510,99,204000,91000031,70000,91000002,20,91000031,225000
4,0,9,109,590,99,236000,91000031,80000,91000002,20,91000031,295000
4,100,10,109,660,99,264000,91000031,90000,91000002,20,91000031,375000
4,0,11,109,740,99,296000,91000031,100000,91000002,20,91000031,465000
4,0,12,109,820,99,328000,91000031,110000,91000002,20,91000031,565000
4,0,13,109,900,99,360000,91000031,120000,91000002,20,91000031,675000
4,0,14,109,990,99,396000,91000031,140000,91000002,20,91000031,795000
4,150,15,109,1070,99,428000,91000031,160000,91000002,20,91000031,935000
4,0,16,109,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
4,0,17,109,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
4,0,18,109,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
4,0,19,109,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
4,200,20,109,1500,99,600000,91000031,0,91000002,20,91000031,2195000
5,0,1,110,50,99,20000,91000031,10000,91000002,0,91000031,0
5,0,2,110,100,99,40000,91000031,15000,91000002,20,91000031,10000
5,0,3,110,160,99,64000,91000031,20000,91000002,20,91000031,25000
5,0,4,110,220,99,88000,91000031,30000,91000002,20,91000031,45000
5,50,5,110,290,99,116000,91000031,40000,91000002,20,91000031,75000
5,0,6,110,360,99,144000,91000031,50000,91000002,20,91000031,115000
5,0,7,110,430,99,172000,91000031,60000,91000002,20,91000031,165000
5,0,8,110,510,99,204000,91000031,70000,91000002,20,91000031,225000
5,0,9,110,590,99,236000,91000031,80000,91000002,20,91000031,295000
5,100,10,110,660,99,264000,91000031,90000,91000002,20,91000031,375000
5,0,11,110,740,99,296000,91000031,100000,91000002,20,91000031,465000
5,0,12,110,820,99,328000,91000031,110000,91000002,20,91000031,565000
5,0,13,110,900,99,360000,91000031,120000,91000002,20,91000031,675000
5,0,14,110,990,99,396000,91000031,140000,91000002,20,91000031,795000
5,150,15,110,1070,99,428000,91000031,160000,91000002,20,91000031,935000
5,0,16,110,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
5,0,17,110,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
5,0,18,110,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
5,0,19,110,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
5,200,20,110,1500,99,600000,91000031,0,91000002,20,91000031,2195000
6,0,1,129,50,99,20000,91000031,10000,91000002,0,91000031,0
6,0,2,129,100,99,40000,91000031,15000,91000002,20,91000031,10000
6,0,3,129,160,99,64000,91000031,20000,91000002,20,91000031,25000
6,0,4,129,220,99,88000,91000031,30000,91000002,20,91000031,45000
6,50,5,129,290,99,116000,91000031,40000,91000002,20,91000031,75000
6,0,6,129,360,99,144000,91000031,50000,91000002,20,91000031,115000
6,0,7,129,430,99,172000,91000031,60000,91000002,20,91000031,165000
6,0,8,129,510,99,204000,91000031,70000,91000002,20,91000031,225000
6,0,9,129,590,99,236000,91000031,80000,91000002,20,91000031,295000
6,100,10,129,660,99,264000,91000031,90000,91000002,20,91000031,375000
6,0,11,129,740,99,296000,91000031,100000,91000002,20,91000031,465000
6,0,12,129,820,99,328000,91000031,110000,91000002,20,91000031,565000
6,0,13,129,900,99,360000,91000031,120000,91000002,20,91000031,675000
6,0,14,129,990,99,396000,91000031,140000,91000002,20,91000031,795000
6,150,15,129,1070,99,428000,91000031,160000,91000002,20,91000031,935000
6,0,16,129,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
6,0,17,129,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
6,0,18,129,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
6,0,19,129,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
6,200,20,129,1500,99,600000,91000031,0,91000002,20,91000031,2195000
7,0,1,130,50,99,20000,91000031,10000,91000002,0,91000031,0
7,0,2,130,100,99,40000,91000031,15000,91000002,20,91000031,10000
7,0,3,130,160,99,64000,91000031,20000,91000002,20,91000031,25000
7,0,4,130,220,99,88000,91000031,30000,91000002,20,91000031,45000
7,50,5,130,290,99,116000,91000031,40000,91000002,20,91000031,75000
7,0,6,130,360,99,144000,91000031,50000,91000002,20,91000031,115000
7,0,7,130,430,99,172000,91000031,60000,91000002,20,91000031,165000
7,0,8,130,510,99,204000,91000031,70000,91000002,20,91000031,225000
7,0,9,130,590,99,236000,91000031,80000,91000002,20,91000031,295000
7,100,10,130,660,99,264000,91000031,90000,91000002,20,91000031,375000
7,0,11,130,740,99,296000,91000031,100000,91000002,20,91000031,465000
7,0,12,130,820,99,328000,91000031,110000,91000002,20,91000031,565000
7,0,13,130,900,99,360000,91000031,120000,91000002,20,91000031,675000
7,0,14,130,990,99,396000,91000031,140000,91000002,20,91000031,795000
7,150,15,130,1070,99,428000,91000031,160000,91000002,20,91000031,935000
7,0,16,130,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
7,0,17,130,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
7,0,18,130,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
7,0,19,130,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
7,200,20,130,1500,99,600000,91000031,0,91000002,20,91000031,2195000
8,0,1,13,50,99,20000,91000031,10000,91000002,0,91000031,0
8,0,2,13,100,99,40000,91000031,15000,91000002,20,91000031,10000
8,0,3,13,160,99,64000,91000031,20000,91000002,20,91000031,25000
8,0,4,13,220,99,88000,91000031,30000,91000002,20,91000031,45000
8,50,5,13,290,99,116000,91000031,40000,91000002,20,91000031,75000
8,0,6,13,360,99,144000,91000031,50000,91000002,20,91000031,115000
8,0,7,13,430,99,172000,91000031,60000,91000002,20,91000031,165000
8,0,8,13,510,99,204000,91000031,70000,91000002,20,91000031,225000
8,0,9,13,590,99,236000,91000031,80000,91000002,20,91000031,295000
8,100,10,13,660,99,264000,91000031,90000,91000002,20,91000031,375000
8,0,11,13,740,99,296000,91000031,100000,91000002,20,91000031,465000
8,0,12,13,820,99,328000,91000031,110000,91000002,20,91000031,565000
8,0,13,13,900,99,360000,91000031,120000,91000002,20,91000031,675000
8,0,14,13,990,99,396000,91000031,140000,91000002,20,91000031,795000
8,150,15,13,1070,99,428000,91000031,160000,91000002,20,91000031,935000
8,0,16,13,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
8,0,17,13,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
8,0,18,13,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
8,0,19,13,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
8,200,20,13,1500,99,600000,91000031,0,91000002,20,91000031,2195000
9,0,1,14,50,99,20000,91000031,10000,91000002,0,91000031,0
9,0,2,14,100,99,40000,91000031,15000,91000002,20,91000031,10000
9,0,3,14,160,99,64000,91000031,20000,91000002,20,91000031,25000
9,0,4,14,220,99,88000,91000031,30000,91000002,20,91000031,45000
9,50,5,14,290,99,116000,91000031,40000,91000002,20,91000031,75000
9,0,6,14,360,99,144000,91000031,50000,91000002,20,91000031,115000
9,0,7,14,430,99,172000,91000031,60000,91000002,20,91000031,165000
9,0,8,14,510,99,204000,91000031,70000,91000002,20,91000031,225000
9,0,9,14,590,99,236000,91000031,80000,91000002,20,91000031,295000
9,100,10,14,660,99,264000,91000031,90000,91000002,20,91000031,375000
9,0,11,14,740,99,296000,91000031,100000,91000002,20,91000031,465000
9,0,12,14,820,99,328000,91000031,110000,91000002,20,91000031,565000
9,0,13,14,900,99,360000,91000031,120000,91000002,20,91000031,675000
9,0,14,14,990,99,396000,91000031,140000,91000002,20,91000031,795000
9,150,15,14,1070,99,428000,91000031,160000,91000002,20,91000031,935000
9,0,16,14,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
9,0,17,14,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
9,0,18,14,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
9,0,19,14,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
9,200,20,14,1500,99,600000,91000031,0,91000002,20,91000031,2195000
10,0,1,16,50,99,20000,91000031,10000,91000002,0,91000031,0
10,0,2,16,100,99,40000,91000031,15000,91000002,20,91000031,10000
10,0,3,16,160,99,64000,91000031,20000,91000002,20,91000031,25000
10,0,4,16,220,99,88000,91000031,30000,91000002,20,91000031,45000
10,50,5,16,290,99,116000,91000031,40000,91000002,20,91000031,75000
10,0,6,16,360,99,144000,91000031,50000,91000002,20,91000031,115000
10,0,7,16,430,99,172000,91000031,60000,91000002,20,91000031,165000
10,0,8,16,510,99,204000,91000031,70000,91000002,20,91000031,225000
10,0,9,16,590,99,236000,91000031,80000,91000002,20,91000031,295000
10,100,10,16,660,99,264000,91000031,90000,91000002,20,91000031,375000
10,0,11,16,740,99,296000,91000031,100000,91000002,20,91000031,465000
10,0,12,16,820,99,328000,91000031,110000,91000002,20,91000031,565000
10,0,13,16,900,99,360000,91000031,120000,91000002,20,91000031,675000
10,0,14,16,990,99,396000,91000031,140000,91000002,20,91000031,795000
10,150,15,16,1070,99,428000,91000031,160000,91000002,20,91000031,935000
10,0,16,16,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
10,0,17,16,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
10,0,18,16,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
10,0,19,16,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
10,200,20,16,1500,99,600000,91000031,0,91000002,20,91000031,2195000
11,0,1,34,50,99,20000,91000031,10000,91000002,0,91000031,0
11,0,2,34,100,99,40000,91000031,15000,91000002,20,91000031,10000
11,0,3,34,160,99,64000,91000031,20000,91000002,20,91000031,25000
11,0,4,34,220,99,88000,91000031,30000,91000002,20,91000031,45000
11,50,5,34,290,99,116000,91000031,40000,91000002,20,91000031,75000
11,0,6,34,360,99,144000,91000031,50000,91000002,20,91000031,115000
11,0,7,34,430,99,172000,91000031,60000,91000002,20,91000031,165000
11,0,8,34,510,99,204000,91000031,70000,91000002,20,91000031,225000
11,0,9,34,590,99,236000,91000031,80000,91000002,20,91000031,295000
11,100,10,34,660,99,264000,91000031,90000,91000002,20,91000031,375000
11,0,11,34,740,99,296000,91000031,100000,91000002,20,91000031,465000
11,0,12,34,820,99,328000,91000031,110000,91000002,20,91000031,565000
11,0,13,34,900,99,360000,91000031,120000,91000002,20,91000031,675000
11,0,14,34,990,99,396000,91000031,140000,91000002,20,91000031,795000
11,150,15,34,1070,99,428000,91000031,160000,91000002,20,91000031,935000
11,0,16,34,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
11,0,17,34,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
11,0,18,34,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
11,0,19,34,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
11,200,20,34,1500,99,600000,91000031,0,91000002,20,91000031,2195000
12,0,1,17,50,99,20000,91000031,10000,91000002,0,91000031,0
12,0,2,17,100,99,40000,91000031,15000,91000002,20,91000031,10000
12,0,3,17,160,99,64000,91000031,20000,91000002,20,91000031,25000
12,0,4,17,220,99,88000,91000031,30000,91000002,20,91000031,45000
12,50,5,17,290,99,116000,91000031,40000,91000002,20,91000031,75000
12,0,6,17,360,99,144000,91000031,50000,91000002,20,91000031,115000
12,0,7,17,430,99,172000,91000031,60000,91000002,20,91000031,165000
12,0,8,17,510,99,204000,91000031,70000,91000002,20,91000031,225000
12,0,9,17,590,99,236000,91000031,80000,91000002,20,91000031,295000
12,100,10,17,660,99,264000,91000031,90000,91000002,20,91000031,375000
12,0,11,17,740,99,296000,91000031,100000,91000002,20,91000031,465000
12,0,12,17,820,99,328000,91000031,110000,91000002,20,91000031,565000
12,0,13,17,900,99,360000,91000031,120000,91000002,20,91000031,675000
12,0,14,17,990,99,396000,91000031,140000,91000002,20,91000031,795000
12,150,15,17,1070,99,428000,91000031,160000,91000002,20,91000031,935000
12,0,16,17,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
12,0,17,17,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
12,0,18,17,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
12,0,19,17,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
12,200,20,17,1500,99,600000,91000031,0,91000002,20,91000031,2195000
13,0,1,35,50,99,20000,91000031,10000,91000002,0,91000031,0
13,0,2,35,100,99,40000,91000031,15000,91000002,20,91000031,10000
13,0,3,35,160,99,64000,91000031,20000,91000002,20,91000031,25000
13,0,4,35,220,99,88000,91000031,30000,91000002,20,91000031,45000
13,50,5,35,290,99,116000,91000031,40000,91000002,20,91000031,75000
13,0,6,35,360,99,144000,91000031,50000,91000002,20,91000031,115000
13,0,7,35,430,99,172000,91000031,60000,91000002,20,91000031,165000
13,0,8,35,510,99,204000,91000031,70000,91000002,20,91000031,225000
13,0,9,35,590,99,236000,91000031,80000,91000002,20,91000031,295000
13,100,10,35,660,99,264000,91000031,90000,91000002,20,91000031,375000
13,0,11,35,740,99,296000,91000031,100000,91000002,20,91000031,465000
13,0,12,35,820,99,328000,91000031,110000,91000002,20,91000031,565000
13,0,13,35,900,99,360000,91000031,120000,91000002,20,91000031,675000
13,0,14,35,990,99,396000,91000031,140000,91000002,20,91000031,795000
13,150,15,35,1070,99,428000,91000031,160000,91000002,20,91000031,935000
13,0,16,35,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
13,0,17,35,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
13,0,18,35,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
13,0,19,35,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
13,200,20,35,1500,99,600000,91000031,0,91000002,20,91000031,2195000
14,0,1,15,50,99,20000,91000031,10000,91000002,0,91000031,0
14,0,2,15,100,99,40000,91000031,15000,91000002,20,91000031,10000
14,0,3,15,160,99,64000,91000031,20000,91000002,20,91000031,25000
14,0,4,15,220,99,88000,91000031,30000,91000002,20,91000031,45000
14,50,5,15,290,99,116000,91000031,40000,91000002,20,91000031,75000
14,0,6,15,360,99,144000,91000031,50000,91000002,20,91000031,115000
14,0,7,15,430,99,172000,91000031,60000,91000002,20,91000031,165000
14,0,8,15,510,99,204000,91000031,70000,91000002,20,91000031,225000
14,0,9,15,590,99,236000,91000031,80000,91000002,20,91000031,295000
14,100,10,15,660,99,264000,91000031,90000,91000002,20,91000031,375000
14,0,11,15,740,99,296000,91000031,100000,91000002,20,91000031,465000
14,0,12,15,820,99,328000,91000031,110000,91000002,20,91000031,565000
14,0,13,15,900,99,360000,91000031,120000,91000002,20,91000031,675000
14,0,14,15,990,99,396000,91000031,140000,91000002,20,91000031,795000
14,150,15,15,1070,99,428000,91000031,160000,91000002,20,91000031,935000
14,0,16,15,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
14,0,17,15,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
14,0,18,15,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
14,0,19,15,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
14,200,20,15,1500,99,600000,91000031,0,91000002,20,91000031,2195000
15,0,1,36,50,99,20000,91000031,10000,91000002,0,91000031,0
15,0,2,36,100,99,40000,91000031,15000,91000002,20,91000031,10000
15,0,3,36,160,99,64000,91000031,20000,91000002,20,91000031,25000
15,0,4,36,220,99,88000,91000031,30000,91000002,20,91000031,45000
15,50,5,36,290,99,116000,91000031,40000,91000002,20,91000031,75000
15,0,6,36,360,99,144000,91000031,50000,91000002,20,91000031,115000
15,0,7,36,430,99,172000,91000031,60000,91000002,20,91000031,165000
15,0,8,36,510,99,204000,91000031,70000,91000002,20,91000031,225000
15,0,9,36,590,99,236000,91000031,80000,91000002,20,91000031,295000
15,100,10,36,660,99,264000,91000031,90000,91000002,20,91000031,375000
15,0,11,36,740,99,296000,91000031,100000,91000002,20,91000031,465000
15,0,12,36,820,99,328000,91000031,110000,91000002,20,91000031,565000
15,0,13,36,900,99,360000,91000031,120000,91000002,20,91000031,675000
15,0,14,36,990,99,396000,91000031,140000,91000002,20,91000031,795000
15,150,15,36,1070,99,428000,91000031,160000,91000002,20,91000031,935000
15,0,16,36,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
15,0,17,36,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
15,0,18,36,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
15,0,19,36,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
15,200,20,36,1500,99,600000,91000031,0,91000002,20,91000031,2195000
