id,upgrade_model_group,level,cost_item,cost_num,decompose_item,decompose_num,value,attribute_type1,attribute_value1
14016,1062,16,91000027,14000,91000027,62800,264,99,2214000
14017,1062,17,91000027,16000,91000027,76800,288,99,2693500
14018,1062,18,91000027,18000,91000027,92800,312,99,3255500
14019,1062,19,91000027,20000,91000027,110800,360,99,3911500
14020,1062,20,0,0,91000027,130800,432,99,4675500
15001,1063,1,91000027,100,91000027,100,60,99,21000
15002,1063,2,91000027,200,91000027,200,90,99,42000
15003,1063,3,91000027,400,91000027,400,120,99,63000
15004,1063,4,91000027,800,91000027,800,150,99,84000
15005,1063,5,91000027,1600,91000027,1600,180,99,132500
15006,1063,6,91000027,3200,91000027,3200,210,99,212000
15007,1063,7,91000027,4800,91000027,6400,240,99,317000
15008,1063,8,91000027,6400,91000027,11200,270,99,451000
15009,1063,9,91000027,8000,91000027,17600,300,99,619500
15010,1063,10,91000027,10400,91000027,25600,330,99,827000
15011,1063,11,91000027,12800,91000027,36000,360,99,1080000
15012,1063,12,91000027,15200,91000027,48800,420,99,1386500
15013,1063,13,91000027,17600,91000027,64000,480,99,1753500
15014,1063,14,91000027,20000,91000027,81600,540,99,2191000
15015,1063,15,91000027,24000,91000027,101600,600,99,2709500
15016,1063,16,91000027,28000,91000027,125600,660,99,3321000
15017,1063,17,91000027,32000,91000027,153600,720,99,4040500
15018,1063,18,91000027,36000,91000027,185600,780,99,4883000
15019,1063,19,91000027,40000,91000027,221600,900,99,5867000
15020,1063,20,0,0,91000027,261600,1080,99,7013500
16001,1064,1,91000027,200,91000027,200,100,99,35000
16002,1064,2,91000027,400,91000027,400,150,99,70000
16003,1064,3,91000027,800,91000027,800,200,99,105000
16004,1064,4,91000027,1600,91000027,1600,250,99,140500
16005,1064,5,91000027,3200,91000027,3200,300,99,220500
16006,1064,6,91000027,6400,91000027,6400,350,99,353500
16007,1064,7,91000027,9600,91000027,12800,400,99,528000
16008,1064,8,91000027,12800,91000027,22400,450,99,751500
16009,1064,9,91000027,16000,91000027,35200,500,99,1032000
16010,1064,10,91000027,20800,91000027,51200,550,99,1378000
16011,1064,11,91000027,25600,91000027,72000,600,99,1800500
16012,1064,12,91000027,30400,91000027,97600,700,99,2310500
16013,1064,13,91000027,35200,91000027,128000,800,99,2922000
16014,1064,14,91000027,40000,91000027,163200,900,99,3651500
16015,1064,15,91000027,48000,91000027,203200,1000,99,4515500
16016,1064,16,91000027,56000,91000027,251200,1100,99,5535500
16017,1064,17,91000027,64000,91000027,307200,1200,99,6734000
16018,1064,18,91000027,72000,91000027,371200,1300,99,8138500
16019,1064,19,91000027,80000,91000027,443200,1500,99,9778500
16020,1064,20,0,0,91000027,523200,1800,99,11689000
