base_id,beauty_id,name,quality,stage_lv_show,stage_lv,treasurea1_stage_lv,treasurea1,treasurea2,treasurea3,treasurea4,treasurea5,treasurea6,item1,item_cost1,item2,item_cost2,skill_id,extra_attributes_type1,extra_attribute_addvalue1,extra_attributes_type2,extra_attribute_addvalue2,fight,announcement,beauty_picture,beauty_icon,describe,rank,nickname_picture,scene_picture,text,maxlevel
22,5002,光之道标,5,0,0,1,500201,500202,500203,500204,500205,500206,0,0,0,0,0,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
23,5002,光之道标,5,1,1,2,500201,500202,500203,500204,500205,500206,80500201,4,80000011,2,900201,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
24,5002,光之道标,5,2,2,3,500201,500202,500203,500204,500205,500206,80500201,5,80000011,3,900202,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
25,5002,光之道标,5,3,3,4,500201,500202,500203,500204,500205,500206,80500201,6,80000011,4,900203,7,500,99,50000,0,0,130001,130001,近战防守型,2,130001,130001,0,20
26,5002,光之道标,5,4,4,5,500201,500202,500203,500204,500205,500206,80500201,8,80000011,5,900204,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
27,5002,光之道标,5,5,5,6,500201,500202,500203,500204,500205,500206,80500201,11,80000011,6,900205,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
28,5002,光之道标,5,6,6,7,500201,500202,500203,500204,500205,500206,80500201,14,80000011,8,900206,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
29,5002,光之道标,5,7,7,8,500201,500202,500203,500204,500205,500206,80500201,18,80000011,10,900207,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
30,5002,光之道标,5,8,8,9,500201,500202,500203,500204,500205,500206,80500201,23,80000011,13,900208,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
31,5002,光之道标,5,9,9,10,500201,500202,500203,500204,500205,500206,80500201,30,80000011,17,900209,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
32,5002,光之道标,5,10,10,11,500201,500202,500203,500204,500205,500206,80500201,39,80000011,22,900210,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
33,5002,光之道标,5,11,11,12,500201,500202,500203,500204,500205,500206,80500201,51,80000011,28,900211,7,2300,99,230000,0,0,130001,130001,近战防守型,2,130001,130001,0,20
34,5002,光之道标,5,12,12,13,500201,500202,500203,500204,500205,500206,80500201,67,80000011,37,900212,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
35,5002,光之道标,5,13,13,14,500201,500202,500203,500204,500205,500206,80500201,87,80000011,48,900213,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
36,5002,光之道标,5,14,14,15,500201,500202,500203,500204,500205,500206,80500201,113,80000011,63,900214,0,0,99,0,0,0,130001,130001,近战防守型,2,130001,130001,0,20
37,5002,光之道标,5,15,15,16,500201,500202,500203,500204,500205,500206,80500201,146,80000011,81,900215,0,0,99,0,0,1,130001,130001,近战防守型,2,130001,130001,0,20
38,5002,光之道标,5,16,16,17,500201,500202,500203,500204,500205,500206,80500201,190,80000011,106,900216,0,0,99,0,0,1,130001,130001,近战防守型,2,130001,130001,0,20
39,5002,光之道标,5,17,17,18,500201,500202,500203,500204,500205,500206,80500201,247,80000011,137,900217,0,0,99,0,0,1,130001,130001,近战防守型,2,130001,130001,0,20
40,5002,光之道标,5,18,18,19,500201,500202,500203,500204,500205,500206,80500201,322,80000011,179,900218,0,0,99,0,0,1,130001,130001,近战防守型,2,130001,130001,0,20
41,5002,光之道标,5,19,19,20,500201,500202,500203,500204,500205,500206,80500201,456,80000011,232,900219,0,0,99,0,0,1,130001,130001,近战防守型,2,130001,130001,0,20
42,5002,光之道标,5,20,20,21,500201,500202,500203,500204,500205,500206,0,0,0,0,900220,7,57200,99,5720000,0,1,130001,130001,近战防守型,2,130001,130001,0,20
43,5003,寒冬之戒,5,0,0,1,500301,500302,500303,500304,500305,500306,0,0,0,0,0,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
44,5003,寒冬之戒,5,1,1,2,500301,500302,500303,500304,500305,500306,80500301,4,80000011,2,900301,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
45,5003,寒冬之戒,5,2,2,3,500301,500302,500303,500304,500305,500306,80500301,5,80000011,3,900302,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
46,5003,寒冬之戒,5,3,3,4,500301,500302,500303,500304,500305,500306,80500301,6,80000011,4,900303,8,500,99,50000,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
47,5003,寒冬之戒,5,4,4,5,500301,500302,500303,500304,500305,500306,80500301,8,80000011,5,900304,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
48,5003,寒冬之戒,5,5,5,6,500301,500302,500303,500304,500305,500306,80500301,11,80000011,6,900305,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
49,5003,寒冬之戒,5,6,6,7,500301,500302,500303,500304,500305,500306,80500301,14,80000011,8,900306,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
50,5003,寒冬之戒,5,7,7,8,500301,500302,500303,500304,500305,500306,80500301,18,80000011,10,900307,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
51,5003,寒冬之戒,5,8,8,9,500301,500302,500303,500304,500305,500306,80500301,23,80000011,13,900308,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
52,5003,寒冬之戒,5,9,9,10,500301,500302,500303,500304,500305,500306,80500301,30,80000011,17,900309,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
53,5003,寒冬之戒,5,10,10,11,500301,500302,500303,500304,500305,500306,80500301,39,80000011,22,900310,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
54,5003,寒冬之戒,5,11,11,12,500301,500302,500303,500304,500305,500306,80500301,51,80000011,28,900311,8,2300,99,230000,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
55,5003,寒冬之戒,5,12,12,13,500301,500302,500303,500304,500305,500306,80500301,67,80000011,37,900312,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
56,5003,寒冬之戒,5,13,13,14,500301,500302,500303,500304,500305,500306,80500301,87,80000011,48,900313,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
57,5003,寒冬之戒,5,14,14,15,500301,500302,500303,500304,500305,500306,80500301,113,80000011,63,900314,0,0,99,0,0,0,130008,130008,远程攻击型,3,130008,130008,0,20
58,5003,寒冬之戒,5,15,15,16,500301,500302,500303,500304,500305,500306,80500301,146,80000011,81,900315,0,0,99,0,0,1,130008,130008,远程攻击型,3,130008,130008,0,20
59,5003,寒冬之戒,5,16,16,17,500301,500302,500303,500304,500305,500306,80500301,190,80000011,106,900316,0,0,99,0,0,1,130008,130008,远程攻击型,3,130008,130008,0,20
60,5003,寒冬之戒,5,17,17,18,500301,500302,500303,500304,500305,500306,80500301,247,80000011,137,900317,0,0,99,0,0,1,130008,130008,远程攻击型,3,130008,130008,0,20
61,5003,寒冬之戒,5,18,18,19,500301,500302,500303,500304,500305,500306,80500301,322,80000011,179,900318,0,0,99,0,0,1,130008,130008,远程攻击型,3,130008,130008,0,20
62,5003,寒冬之戒,5,19,19,20,500301,500302,500303,500304,500305,500306,80500301,456,80000011,232,900319,0,0,99,0,0,1,130008,130008,远程攻击型,3,130008,130008,0,20
63,5003,寒冬之戒,5,20,20,21,500301,500302,500303,500304,500305,500306,0,0,0,0,900320,8,57200,99,5720000,0,1,130008,130008,远程攻击型,3,130008,130008,0,20
64,5004,死月法珠,5,0,0,1,500401,500402,500403,500404,500405,500406,0,0,0,0,0,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
65,5004,死月法珠,5,1,1,2,500401,500402,500403,500404,500405,500406,80500401,4,80000011,2,900401,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
66,5004,死月法珠,5,2,2,3,500401,500402,500403,500404,500405,500406,80500401,5,80000011,3,900402,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
67,5004,死月法珠,5,3,3,4,500401,500402,500403,500404,500405,500406,80500401,6,80000011,4,900403,9,1000,99,50000,0,0,130006,130006,远程防御型,4,130006,130006,0,20
68,5004,死月法珠,5,4,4,5,500401,500402,500403,500404,500405,500406,80500401,8,80000011,5,900404,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
69,5004,死月法珠,5,5,5,6,500401,500402,500403,500404,500405,500406,80500401,11,80000011,6,900405,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
70,5004,死月法珠,5,6,6,7,500401,500402,500403,500404,500405,500406,80500401,14,80000011,8,900406,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
71,5004,死月法珠,5,7,7,8,500401,500402,500403,500404,500405,500406,80500401,18,80000011,10,900407,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
72,5004,死月法珠,5,8,8,9,500401,500402,500403,500404,500405,500406,80500401,23,80000011,13,900408,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
73,5004,死月法珠,5,9,9,10,500401,500402,500403,500404,500405,500406,80500401,30,80000011,17,900409,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
74,5004,死月法珠,5,10,10,11,500401,500402,500403,500404,500405,500406,80500401,39,80000011,22,900410,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
75,5004,死月法珠,5,11,11,12,500401,500402,500403,500404,500405,500406,80500401,51,80000011,28,900411,9,4600,99,230000,0,0,130006,130006,远程防御型,4,130006,130006,0,20
76,5004,死月法珠,5,12,12,13,500401,500402,500403,500404,500405,500406,80500401,67,80000011,37,900412,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
77,5004,死月法珠,5,13,13,14,500401,500402,500403,500404,500405,500406,80500401,87,80000011,48,900413,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
78,5004,死月法珠,5,14,14,15,500401,500402,500403,500404,500405,500406,80500401,113,80000011,63,900414,0,0,99,0,0,0,130006,130006,远程防御型,4,130006,130006,0,20
79,5004,死月法珠,5,15,15,16,500401,500402,500403,500404,500405,500406,80500401,146,80000011,81,900415,0,0,99,0,0,1,130006,130006,远程防御型,4,130006,130006,0,20
80,5004,死月法珠,5,16,16,17,500401,500402,500403,500404,500405,500406,80500401,190,80000011,106,900416,0,0,99,0,0,1,130006,130006,远程防御型,4,130006,130006,0,20
81,5004,死月法珠,5,17,17,18,500401,500402,500403,500404,500405,500406,80500401,247,80000011,137,900417,0,0,99,0,0,1,130006,130006,远程防御型,4,130006,130006,0,20
82,5004,死月法珠,5,18,18,19,500401,500402,500403,500404,500405,500406,80500401,322,80000011,179,900418,0,0,99,0,0,1,130006,130006,远程防御型,4,130006,130006,0,20
83,5004,死月法珠,5,19,19,20,500401,500402,500403,500404,500405,500406,80500401,456,80000011,232,900419,0,0,99,0,0,1,130006,130006,远程防御型,4,130006,130006,0,20
84,5004,死月法珠,5,20,20,21,500401,500402,500403,500404,500405,500406,0,0,0,0,900420,9,114400,99,5720000,0,1,130006,130006,远程防御型,4,130006,130006,0,20
85,5005,位面法典,5,0,0,1,500501,500502,500503,500504,500505,500506,0,0,0,0,0,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
86,5005,位面法典,5,1,1,2,500501,500502,500503,500504,500505,500506,80500501,4,80000011,2,900501,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
87,5005,位面法典,5,2,2,3,500501,500502,500503,500504,500505,500506,80500501,5,80000011,3,900502,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
88,5005,位面法典,5,3,3,4,500501,500502,500503,500504,500505,500506,80500501,6,80000011,4,900503,10,1000,99,50000,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
89,5005,位面法典,5,4,4,5,500501,500502,500503,500504,500505,500506,80500501,8,80000011,5,900504,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
90,5005,位面法典,5,5,5,6,500501,500502,500503,500504,500505,500506,80500501,11,80000011,6,900505,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
91,5005,位面法典,5,6,6,7,500501,500502,500503,500504,500505,500506,80500501,14,80000011,8,900506,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
92,5005,位面法典,5,7,7,8,500501,500502,500503,500504,500505,500506,80500501,18,80000011,10,900507,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
93,5005,位面法典,5,8,8,9,500501,500502,500503,500504,500505,500506,80500501,23,80000011,13,900508,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
94,5005,位面法典,5,9,9,10,500501,500502,500503,500504,500505,500506,80500501,30,80000011,17,900509,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
95,5005,位面法典,5,10,10,11,500501,500502,500503,500504,500505,500506,80500501,39,80000011,22,900510,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
96,5005,位面法典,5,11,11,12,500501,500502,500503,500504,500505,500506,80500501,51,80000011,28,900511,10,4600,99,230000,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
97,5005,位面法典,5,12,12,13,500501,500502,500503,500504,500505,500506,80500501,67,80000011,37,900512,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
98,5005,位面法典,5,13,13,14,500501,500502,500503,500504,500505,500506,80500501,87,80000011,48,900513,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
99,5005,位面法典,5,14,14,15,500501,500502,500503,500504,500505,500506,80500501,113,80000011,63,900514,0,0,99,0,0,0,130002,130002,近战暴击型,5,130002,130002,0,20
100,5005,位面法典,5,15,15,16,500501,500502,500503,500504,500505,500506,80500501,146,80000011,81,900515,0,0,99,0,0,1,130002,130002,近战暴击型,5,130002,130002,0,20
101,5005,位面法典,5,16,16,17,500501,500502,500503,500504,500505,500506,80500501,190,80000011,106,900516,0,0,99,0,0,1,130002,130002,近战暴击型,5,130002,130002,0,20
102,5005,位面法典,5,17,17,18,500501,500502,500503,500504,500505,500506,80500501,247,80000011,137,900517,0,0,99,0,0,1,130002,130002,近战暴击型,5,130002,130002,0,20
103,5005,位面法典,5,18,18,19,500501,500502,500503,500504,500505,500506,80500501,322,80000011,179,900518,0,0,99,0,0,1,130002,130002,近战暴击型,5,130002,130002,0,20
104,5005,位面法典,5,19,19,20,500501,500502,500503,500504,500505,500506,80500501,456,80000011,232,900519,0,0,99,0,0,1,130002,130002,近战暴击型,5,130002,130002,0,20
105,5005,位面法典,5,20,20,21,500501,500502,500503,500504,500505,500506,0,0,0,0,900520,10,114400,99,5720000,0,1,130002,130002,近战暴击型,5,130002,130002,0,20
106,5006,萨菲斯权杖,5,0,0,1,500601,500602,500603,500604,500605,500606,0,0,0,0,0,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
107,5006,萨菲斯权杖,5,1,1,2,500601,500602,500603,500604,500605,500606,80500601,4,80000011,2,900601,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
108,5006,萨菲斯权杖,5,2,2,3,500601,500602,500603,500604,500605,500606,80500601,5,80000011,3,900602,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
109,5006,萨菲斯权杖,5,3,3,4,500601,500602,500603,500604,500605,500606,80500601,6,80000011,4,900603,29,500,99,50000,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
110,5006,萨菲斯权杖,5,4,4,5,500601,500602,500603,500604,500605,500606,80500601,8,80000011,5,900604,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
111,5006,萨菲斯权杖,5,5,5,6,500601,500602,500603,500604,500605,500606,80500601,11,80000011,6,900605,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
112,5006,萨菲斯权杖,5,6,6,7,500601,500602,500603,500604,500605,500606,80500601,14,80000011,8,900606,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
113,5006,萨菲斯权杖,5,7,7,8,500601,500602,500603,500604,500605,500606,80500601,18,80000011,10,900607,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
114,5006,萨菲斯权杖,5,8,8,9,500601,500602,500603,500604,500605,500606,80500601,23,80000011,13,900608,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
115,5006,萨菲斯权杖,5,9,9,10,500601,500602,500603,500604,500605,500606,80500601,30,80000011,17,900609,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
116,5006,萨菲斯权杖,5,10,10,11,500601,500602,500603,500604,500605,500606,80500601,39,80000011,22,900610,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
117,5006,萨菲斯权杖,5,11,11,12,500601,500602,500603,500604,500605,500606,80500601,51,80000011,28,900611,29,2300,99,230000,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
118,5006,萨菲斯权杖,5,12,12,13,500601,500602,500603,500604,500605,500606,80500601,67,80000011,37,900612,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
119,5006,萨菲斯权杖,5,13,13,14,500601,500602,500603,500604,500605,500606,80500601,87,80000011,48,900613,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
120,5006,萨菲斯权杖,5,14,14,15,500601,500602,500603,500604,500605,500606,80500601,113,80000011,63,900614,0,0,99,0,0,0,130007,130007,近战穿透型,6,130007,130007,0,20
121,5006,萨菲斯权杖,5,15,15,16,500601,500602,500603,500604,500605,500606,80500601,146,80000011,81,900615,0,0,99,0,0,1,130007,130007,近战穿透型,6,130007,130007,0,20
122,5006,萨菲斯权杖,5,16,16,17,500601,500602,500603,500604,500605,500606,80500601,190,80000011,106,900616,0,0,99,0,0,1,130007,130007,近战穿透型,6,130007,130007,0,20
123,5006,萨菲斯权杖,5,17,17,18,500601,500602,500603,500604,500605,500606,80500601,247,80000011,137,900617,0,0,99,0,0,1,130007,130007,近战穿透型,6,130007,130007,0,20
124,5006,萨菲斯权杖,5,18,18,19,500601,500602,500603,500604,500605,500606,80500601,322,80000011,179,900618,0,0,99,0,0,1,130007,130007,近战穿透型,6,130007,130007,0,20
125,5006,萨菲斯权杖,5,19,19,20,500601,500602,500603,500604,500605,500606,80500601,456,80000011,232,900619,0,0,99,0,0,1,130007,130007,近战穿透型,6,130007,130007,0,20
126,5006,萨菲斯权杖,5,20,20,21,500601,500602,500603,500604,500605,500606,0,0,0,0,900620,29,57200,99,5720000,0,1,130007,130007,近战穿透型,6,130007,130007,0,20
127,5007,耐瑟卷轴,5,0,0,1,500701,500702,500703,500704,500705,500706,0,0,0,0,0,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
128,5007,耐瑟卷轴,5,1,1,2,500701,500702,500703,500704,500705,500706,80500701,4,80000011,2,900701,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
129,5007,耐瑟卷轴,5,2,2,3,500701,500702,500703,500704,500705,500706,80500701,5,80000011,3,900702,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
130,5007,耐瑟卷轴,5,3,3,4,500701,500702,500703,500704,500705,500706,80500701,6,80000011,4,900703,30,500,99,50000,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
131,5007,耐瑟卷轴,5,4,4,5,500701,500702,500703,500704,500705,500706,80500701,8,80000011,5,900704,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
132,5007,耐瑟卷轴,5,5,5,6,500701,500702,500703,500704,500705,500706,80500701,11,80000011,6,900705,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
133,5007,耐瑟卷轴,5,6,6,7,500701,500702,500703,500704,500705,500706,80500701,14,80000011,8,900706,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
134,5007,耐瑟卷轴,5,7,7,8,500701,500702,500703,500704,500705,500706,80500701,18,80000011,10,900707,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
135,5007,耐瑟卷轴,5,8,8,9,500701,500702,500703,500704,500705,500706,80500701,23,80000011,13,900708,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
136,5007,耐瑟卷轴,5,9,9,10,500701,500702,500703,500704,500705,500706,80500701,30,80000011,17,900709,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
137,5007,耐瑟卷轴,5,10,10,11,500701,500702,500703,500704,500705,500706,80500701,39,80000011,22,900710,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
138,5007,耐瑟卷轴,5,11,11,12,500701,500702,500703,500704,500705,500706,80500701,51,80000011,28,900711,30,2300,99,230000,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
139,5007,耐瑟卷轴,5,12,12,13,500701,500702,500703,500704,500705,500706,80500701,67,80000011,37,900712,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
140,5007,耐瑟卷轴,5,13,13,14,500701,500702,500703,500704,500705,500706,80500701,87,80000011,48,900713,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
141,5007,耐瑟卷轴,5,14,14,15,500701,500702,500703,500704,500705,500706,80500701,113,80000011,63,900714,0,0,99,0,0,0,130004,130004,远程暴击型,7,130004,130004,0,20
142,5007,耐瑟卷轴,5,15,15,16,500701,500702,500703,500704,500705,500706,80500701,146,80000011,81,900715,0,0,99,0,0,1,130004,130004,远程暴击型,7,130004,130004,0,20
143,5007,耐瑟卷轴,5,16,16,17,500701,500702,500703,500704,500705,500706,80500701,190,80000011,106,900716,0,0,99,0,0,1,130004,130004,远程暴击型,7,130004,130004,0,20
144,5007,耐瑟卷轴,5,17,17,18,500701,500702,500703,500704,500705,500706,80500701,247,80000011,137,900717,0,0,99,0,0,1,130004,130004,远程暴击型,7,130004,130004,0,20
145,5007,耐瑟卷轴,5,18,18,19,500701,500702,500703,500704,500705,500706,80500701,322,80000011,179,900718,0,0,99,0,0,1,130004,130004,远程暴击型,7,130004,130004,0,20
146,5007,耐瑟卷轴,5,19,19,20,500701,500702,500703,500704,500705,500706,80500701,456,80000011,232,900719,0,0,99,0,0,1,130004,130004,远程暴击型,7,130004,130004,0,20
147,5007,耐瑟卷轴,5,20,20,21,500701,500702,500703,500704,500705,500706,0,0,0,0,900720,30,57200,99,5720000,0,1,130004,130004,远程暴击型,7,130004,130004,0,20
