monsterid,name,level,camp,type,heroattackcycle,soldier,soldierattackcycle,cablerange,ragevalue,heromodel,soldiermodel,herobuff,awakenlevel,killanger,heromodelsize,soldiermodelsize,soldiersnumber,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10
1030802,幽魂,12,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,12000,7,200,8,0,9,200,10,0,29,128,30,0,0,0
1030901,堡垒战士,12,3,1,310110,52030102,3101,15000,0,3101,52030102,0,0,200,100,60,70,11,20000,12,90,6,16000,7,136,8,0,9,140,10,0,29,124.8,30,0,0,0
1030902,火枪手,12,3,1,310210,52030101,3102,15000,0,3102,52030101,0,0,200,100,60,70,11,20000,12,90,6,10000,7,104,8,0,9,200,10,0,29,124.8,30,0,0,0
1030903,魅魔女王,12,6,1,3003,52010103,3003,15000,800,3003,52010103,0,0,200,130,60,70,11,20000,12,90,6,20000,7,160,8,0,9,140,10,0,29,124.8,30,0,0,0
1031001,雷霆之王,13,3,1,4002,52010101,4002,15000,800,4002,52010101,0,0,200,130,60,70,11,20000,12,90,6,48000,7,204.8,8,0,9,286.71999999999997,10,0,29,341.6,30,0,0,0
1031002,堡垒战士,13,3,1,310110,52030102,3101,15000,0,3101,52030102,0,0,200,100,60,70,11,20000,12,90,6,48000,7,153.60000000000002,8,0,9,215.04,10,0,29,129.6,30,0,0,0
1031003,火枪手,13,3,1,310210,52030101,3102,15000,0,3102,52030101,0,0,200,100,60,70,11,20000,12,90,6,24000,7,204.8,8,0,9,286.71999999999997,10,0,29,129.6,30,0,0,0
1040101,幽魂,14,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,25000,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1040301,攻击塔,14,1,4,0,0,0,0,0,0,0,0,0,0,100,0,0,11,0,12,0,6,2000,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1040302,风暴之眼,14,1,1,2008,52010103,2008,15000,800,2008,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,150,8,0,9,150,10,0,29,200,30,0,0,0
1040401,原力法师,14,1,1,2009,52010103,2009,15000,800,2009,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,150,8,0,9,150,10,0,29,200,30,0,0,0
1040402,混沌法师,14,1,1,4006,52010103,4006,15000,800,4006,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,150,8,0,9,150,10,0,29,200,30,0,0,0
1040403,冰晶之心,14,1,1,4011,52010103,4011,15000,800,4011,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,150,8,0,9,150,10,0,29,200,30,0,0,0
1040404,昏迷塔,14,1,4,0,0,0,0,0,0,0,0,0,0,100,0,0,11,0,12,0,6,500,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1040405,能量塔,14,1,4,0,0,0,0,0,0,0,0,0,0,100,0,0,11,0,12,0,6,500,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1040501,狂暴利刃,14,5,1,4005,52010101,4005,15000,800,4005,52010101,0,0,200,130,60,70,11,20000,12,90,6,50000,7,240,8,0,9,280,10,0,29,588,30,0,0,0
1040502,爆裂队长,14,3,1,1005,52010102,1005,15000,800,1005,52010102,0,0,200,130,60,70,11,20000,12,90,6,30000,7,240,8,0,9,350,10,0,29,881.6,30,0,0,0
1040503,火枪手,14,3,1,310210,52030101,3102,15000,0,3102,52030101,0,0,200,100,60,70,11,20000,12,90,6,20000,7,160,8,0,9,140,10,0,29,293.6,30,0,0,0
1040601,格里芬,15,1,2,5002,52010102,5002,25000,800,5002,52010102,0,0,200,200,60,0,11,20000,12,90,6,100000,7,670.72,8,0,9,866.88,10,0,29,1176,30,0,0,0
1040801,幽魂,15,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,30000,7,160,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1040802,夺灵者,15,1,1,3009,52010103,3009,15000,800,3009,52010103,0,0,200,130,60,70,11,20000,12,90,6,50000,7,160,8,0,9,280,10,0,29,293.6,30,0,0,0
1040803,唤魂妖姬,15,6,1,1008,52010103,1008,15000,600,1008,52010103,0,0,200,130,60,70,11,20000,12,90,6,50000,7,160,8,0,9,210,10,0,29,881.6,30,0,0,0
1040901,部族贤者,15,5,1,3006,52010103,3006,15000,800,3006,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,160,8,0,9,210,10,0,29,300,30,0,0,0
1040902,通灵师,15,6,1,2003,52010103,2003,15000,800,2003,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,160,8,0,9,210,10,0,29,300,30,0,0,0
1040903,风暴之眼,15,1,1,2008,52010103,2008,15000,800,2008,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,160,8,0,9,210,10,0,29,300,30,0,0,0
1040904,原力法师,15,1,1,2009,52010103,2009,15000,800,2009,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,160,8,0,9,210,10,0,29,300,30,0,0,0
1040905,混沌法师,15,1,1,4006,52010103,4006,15000,800,4006,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,160,8,0,9,210,10,0,29,300,30,0,0,0
1040906,冰晶之心,15,1,1,4011,52010103,4011,15000,800,4011,52010103,0,0,200,130,60,70,11,20000,12,90,6,30000,7,160,8,0,9,210,10,0,29,300,30,0,0,0
1041001,部族贤者,15,5,1,3006,52010103,3006,15000,800,3006,52010103,0,0,200,130,60,70,11,20000,12,90,6,50000,7,335.36,8,0,9,280,10,0,29,400,30,0,0,0
1041002,幽魂,15,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,20000,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1041003,骷髅战士,15,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,25000,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1050101,战熊,16,3,1,310310,52030103,3103,15000,0,3103,52030103,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1050102,精灵妖狐,16,4,1,2004,52010102,2004,15000,800,2004,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050301,骸骨弓手,16,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1050302,黑羽之箭,16,4,1,3002,52010102,3002,15000,800,3002,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050401,黑羽之箭,16,4,1,3002,52010102,3002,15000,800,3002,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050402,精灵妖狐,16,4,1,2004,52010102,2004,15000,800,2004,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050501,战熊,16,3,1,310310,52030103,3103,15000,0,3103,52030103,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1050502,仙林女神,16,4,1,4008,52010103,4008,15000,800,4008,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050503,爆裂队长,16,3,1,1005,52010102,1005,15000,800,1005,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050601,弩车,17,2,1,490001,52010102,91,25000,0,91,52010102,0,0,200,100,0,0,11,40000,12,60,6,31140,7,503.03999999999996,8,0,9,650.16,10,0,29,881.6,30,0,0,0
1050602,骸骨弓手,17,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1050603,北岭之弓,17,1,1,3012,52010102,3012,15000,800,3012,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050801,弩手,17,1,1,110210,52010102,1102,15000,0,1102,52010102,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1050802,精灵妖狐,17,4,1,2004,52010102,2004,15000,800,2004,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050901,仙林女神,17,4,1,4008,52010103,4008,15000,800,4008,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050902,仙林女神,17,4,1,4008,52010103,4008,15000,800,4008,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1050903,仙林女神,17,4,1,4008,52010103,4008,15000,800,4008,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1051001,弩车,17,2,1,490001,52010102,91,25000,0,91,52010102,0,0,200,100,0,0,11,40000,12,60,6,31140,7,503.03999999999996,8,0,9,650.16,10,0,29,881.6,30,0,0,0
1051002,骸骨弓手,17,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1051003,黑羽之箭,17,4,1,3002,52010102,3002,15000,800,3002,52010102,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1060101,地神像,18,3,1,310410,52030104,3104,15000,0,3104,52030104,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060102,灾祸使者,18,6,1,1007,52010103,1007,15000,800,1007,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1060301,骷髅战士,18,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060302,地神像,18,3,1,310410,52030104,3104,15000,0,3104,52030104,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060303,灾祸使者,18,6,1,1007,52010103,1007,15000,800,1007,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1060401,幽魂,18,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060402,灾祸使者,18,6,1,1007,52010103,1007,15000,800,1007,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1060501,骷髅战士,18,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060502,骸骨弓手,18,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060503,熔岩斗士,18,1,1,2010,52010101,2010,15000,800,2010,52010101,0,0,200,130,60,70,11,20000,12,90,6,62280,7,335.36,8,0,9,433.44,10,0,29,588,30,0,0,0
1060601,海德拉,18,1,2,5006,52010102,5006,25000,800,5006,52010102,0,0,200,200,60,0,11,20000,12,90,6,186840,7,670.72,8,0,9,866.88,10,0,29,1176,30,0,0,0
1060801,地神像,18,3,1,310410,52030104,3104,15000,0,3104,52030104,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1060802,熔岩斗士,18,1,1,2010,52010101,2010,15000,800,2010,52010101,0,0,200,130,60,70,11,20000,12,90,6,62280,7,335.36,8,0,9,433.44,10,0,29,588,30,0,0,0
1060901,灾祸使者,19,6,1,1007,52010103,1007,15000,800,1007,52010103,0,0,200,130,60,70,11,20000,12,90,6,46710,7,335.36,8,0,9,541.52,10,0,29,881.6,30,0,0,0
1060902,熔岩斗士,19,1,1,2010,52010101,2010,15000,800,2010,52010101,0,0,200,130,60,70,11,20000,12,90,6,62280,7,335.36,8,0,9,433.44,10,0,29,588,30,0,0,0
1060903,火焰领主,19,1,1,3001,52010101,3001,15000,800,3001,52010101,0,0,200,130,60,70,11,20000,12,90,6,62280,7,335.36,8,0,9,433.44,10,0,29,588,30,0,0,0
1061001,骷髅战士,19,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1061002,幽魂,19,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1061003,骸骨弓手,19,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,31140,7,167.68,8,0,9,216.72,10,0,29,293.6,30,0,0,0
1061004,火焰领主,19,1,1,3001,52010101,3001,15000,800,3001,52010101,0,0,200,130,60,70,11,20000,12,90,6,62280,7,335.36,8,0,9,433.44,10,0,29,588,30,0,0,0
1070101,刀魂,19,1,1,3005,52010101,3005,15000,800,3005,52010101,0,0,200,130,60,70,11,20000,12,90,6,113022,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070102,弩手,19,1,1,110210,52010102,1102,15000,0,1102,52010102,0,0,200,100,60,70,11,20000,12,90,6,94185,7,396.8,8,0,9,932,10,0,29,655,30,0,0,0
1070301,海洋之狼,19,1,1,1001,52010101,1001,15000,800,1001,52010101,0,0,200,130,60,70,11,20000,12,90,6,113022,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070302,大法师,19,1,1,110310,52010203,1103,15000,0,1103,52010203,0,0,200,100,60,70,11,20000,12,90,6,141277,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070401,步兵,19,1,1,110110,52010101,1101,15000,0,1101,52010101,0,0,200,100,60,70,11,20000,12,90,6,94185,7,396.8,8,0,9,932,10,0,29,655,30,0,0,0
1070402,大法师,19,1,1,110310,52010203,1103,15000,0,1103,52010203,0,0,200,100,60,70,11,20000,12,90,6,141277,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070501,十字军,19,1,1,110410,52010104,1104,15000,0,1104,52010104,0,0,200,100,60,70,11,20000,12,90,6,94185,7,396.8,8,0,9,932,10,0,29,655,30,0,0,0
1070502,刀魂,19,1,1,3005,52010101,3005,15000,800,3005,52010101,0,0,200,130,60,70,11,20000,12,90,6,113022,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070601,步兵,19,1,1,110110,52010101,1101,15000,0,1101,52010101,0,0,200,100,60,70,11,20000,12,90,6,94185,7,396.8,8,0,9,932,10,0,29,655,30,0,0,0
1070602,弩手,19,1,1,110210,52010102,1102,15000,0,1102,52010102,0,0,200,100,60,70,11,20000,12,90,6,94185,7,396.8,8,0,9,932,10,0,29,655,30,0,0,0
1070603,大法师,19,1,1,110310,52010203,1103,15000,0,1103,52010203,0,0,200,100,60,70,11,20000,12,90,6,141277,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070801,狂暴利刃,19,5,1,4005,52010101,4005,15000,800,4005,52010101,0,0,200,130,60,70,11,20000,12,90,6,113022,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070802,大法师,19,1,1,110310,52010203,1103,15000,0,1103,52010203,0,0,200,100,60,70,11,20000,12,90,6,141277,7,400.8,8,0,9,936,10,0,29,660,30,0,0,0
1070901,十字军,20,1,1,110410,52010104,1104,15000,0,1104,52010104,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1070902,弩手,20,1,1,110210,52010102,1102,15000,0,1102,52010102,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1070903,大法师,20,1,1,110310,52010203,1103,15000,0,1103,52010203,0,0,200,100,60,70,11,20000,12,90,6,145275,7,414.40000000000003,8,0,9,976.8000000000001,10,0,29,661,30,0,0,0
1071001,荒漠可汗,20,5,1,2005,52010101,2005,15000,800,2005,52010101,0,0,200,130,60,70,11,20000,12,90,6,116220,7,414.40000000000003,8,0,9,976.8000000000001,10,0,29,661,30,0,0,0
1071002,十字军,20,1,1,110410,52010104,1104,15000,0,1104,52010104,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1071003,大法师,20,1,1,110310,52010203,1103,15000,0,1103,52010203,0,0,200,100,60,70,11,20000,12,90,6,145275,7,414.40000000000003,8,0,9,976.8000000000001,10,0,29,661,30,0,0,0
1080101,骷髅战士,20,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080102,收割者,20,2,1,1006,52010103,1006,15000,800,1006,52010103,0,0,200,130,60,70,11,20000,12,90,6,145275,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080301,骸骨弓手,20,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080302,夺灵者,20,1,1,3009,52010103,3009,15000,800,3009,52010103,0,0,200,130,60,70,11,20000,12,90,6,145275,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080401,骷髅战士,20,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080402,幽魂,20,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080501,灵界大帝,20,6,1,3007,52010101,3007,15000,400,3007,52010101,0,0,200,130,60,70,11,20000,12,90,6,145275,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080502,吸血鬼,20,2,1,210410,52020104,2104,15000,0,2104,52020104,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080601,客迈拉,20,1,2,5004,52010102,5004,25000,800,5004,52010102,0,0,200,200,60,0,11,20000,12,90,6,387400,7,431.20000000000005,8,0,9,993.6,10,0,29,685,30,0,0,0
1080801,骷髅战士,20,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,96850,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080802,收割者,20,2,1,1006,52010103,1006,15000,800,1006,52010103,0,0,200,130,60,70,11,20000,12,90,6,145275,7,410.40000000000003,8,0,9,972.8000000000001,10,0,29,656,30,0,0,0
1080901,骷髅战士,21,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,99580,7,424.8,8,0,9,1013.6,10,0,29,656,30,0,0,0
1080902,骸骨弓手,21,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,99580,7,424.8,8,0,9,1013.6,10,0,29,656,30,0,0,0
1080903,幽魂,21,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,99580,7,424.8,8,0,9,1013.6,10,0,29,656,30,0,0,0
