id,type,rank1,rank2,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,costitem5,costnum5,des
85,22,3,3,91000001,1000,40000001,1,40000002,3,0,0,0,0,3个锁佣兵洗练
86,22,4,4,91000001,1000,40000001,1,40000002,4,0,0,0,0,4个锁佣兵洗练
87,22,5,5,91000001,1000,40000001,1,40000002,5,0,0,0,0,5个锁佣兵洗练
88,23,0,0,91000002,50,0,0,0,0,0,0,0,0,领体力补领
89,24,0,0,81400601,8,0,0,0,0,0,0,0,0,每日首次基础召唤十连
90,25,0,0,81400602,8,0,0,0,0,0,0,0,0,每日首次高级召唤十连
91,26,0,0,91000002,2400,0,0,0,0,0,0,0,0,每日首次钻石十连
92,27,0,0,91000002,20,0,0,0,0,0,0,0,0,钻石挑战佣兵
93,28,1,10,91000002,30,0,0,0,0,0,0,0,0,购买挑战佣兵次数
94,28,11,20,91000002,60,0,0,0,0,0,0,0,0,购买挑战佣兵次数
95,28,21,30,91000002,90,0,0,0,0,0,0,0,0,购买挑战佣兵次数
96,28,31,40,91000002,120,0,0,0,0,0,0,0,0,购买挑战佣兵次数
97,28,41,50,91000002,150,0,0,0,0,0,0,0,0,购买挑战佣兵次数
98,28,51,60,91000002,180,0,0,0,0,0,0,0,0,购买挑战佣兵次数
99,28,61,80,91000002,240,0,0,0,0,0,0,0,0,购买挑战佣兵次数
100,28,81,100,91000002,300,0,0,0,0,0,0,0,0,购买挑战佣兵次数
101,28,101,1000,91000002,500,0,0,0,0,0,0,0,0,购买挑战佣兵次数
102,29,1,2,91000002,150,0,0,0,0,0,0,0,0,地下城关卡重置
103,29,3,4,91000002,300,0,0,0,0,0,0,0,0,地下城关卡重置
104,29,5,10,91000002,500,0,0,0,0,0,0,0,0,地下城关卡重置
105,29,11,20,91000002,700,0,0,0,0,0,0,0,0,地下城关卡重置
106,29,20,999999,91000002,1000,0,0,0,0,0,0,0,0,地下城关卡重置
107,30,1,2,91000002,200,0,0,0,0,0,0,0,0,英雄重生
108,30,3,999999,91000002,200,0,0,0,0,0,0,0,0,英雄重生
109,31,0,0,91000002,200,0,0,0,0,0,0,0,0,神性重置
110,32,1,5,91000002,5,0,0,0,0,0,0,0,0,神性探索-金币刷新
111,32,6,10,91000002,10,0,0,0,0,0,0,0,0,神性探索-金币刷新
112,32,11,20,91000002,15,0,0,0,0,0,0,0,0,神性探索-金币刷新
113,32,21,50,91000002,20,0,0,0,0,0,0,0,0,神性探索-金币刷新
114,32,51,100,91000002,30,0,0,0,0,0,0,0,0,神性探索-金币刷新
115,32,100,999999,91000002,50,0,0,0,0,0,0,0,0,神性探索-金币刷新
116,33,1,5,91000002,5,0,0,0,0,0,0,0,0,神性探索-钻石刷新
117,33,6,10,91000002,10,0,0,0,0,0,0,0,0,神性探索-钻石刷新
118,33,11,20,91000002,15,0,0,0,0,0,0,0,0,神性探索-钻石刷新
119,33,21,50,91000002,20,0,0,0,0,0,0,0,0,神性探索-钻石刷新
120,33,51,100,91000002,30,0,0,0,0,0,0,0,0,神性探索-钻石刷新
121,33,100,999999,91000002,50,0,0,0,0,0,0,0,0,神性探索-钻石刷新
122,34,1,1,91000001,10000,0,0,0,0,0,0,0,0,神性探索-金币抽取
123,34,2,2,91000001,20000,0,0,0,0,0,0,0,0,神性探索-金币抽取
124,34,3,3,91000001,40000,0,0,0,0,0,0,0,0,神性探索-金币抽取
125,34,4,4,91000001,80000,0,0,0,0,0,0,0,0,神性探索-金币抽取
126,34,5,6,91000001,160000,0,0,0,0,0,0,0,0,神性探索-金币抽取
127,34,7,8,91000001,320000,0,0,0,0,0,0,0,0,神性探索-金币抽取
128,34,9,10,91000001,640000,0,0,0,0,0,0,0,0,神性探索-金币抽取
129,34,11,12,91000001,1280000,0,0,0,0,0,0,0,0,神性探索-金币抽取
130,34,13,14,91000001,2560000,0,0,0,0,0,0,0,0,神性探索-金币抽取
131,34,15,16,91000001,5120000,0,0,0,0,0,0,0,0,神性探索-金币抽取
132,34,17,18,91000001,10240000,0,0,0,0,0,0,0,0,神性探索-金币抽取
133,34,19,20,91000001,20480000,0,0,0,0,0,0,0,0,神性探索-金币抽取
134,34,21,25,91000001,40960000,0,0,0,0,0,0,0,0,神性探索-金币抽取
135,34,26,30,91000001,81920000,0,0,0,0,0,0,0,0,神性探索-金币抽取
136,34,31,35,91000001,163840000,0,0,0,0,0,0,0,0,神性探索-金币抽取
137,34,36,40,91000001,327680000,0,0,0,0,0,0,0,0,神性探索-金币抽取
138,34,41,50,91000001,655360000,0,0,0,0,0,0,0,0,神性探索-金币抽取
139,34,51,60,91000001,1310720000,0,0,0,0,0,0,0,0,神性探索-金币抽取
140,34,61,70,91000001,2621440000,0,0,0,0,0,0,0,0,神性探索-金币抽取
141,34,71,80,91000001,5242880000,0,0,0,0,0,0,0,0,神性探索-金币抽取
142,34,81,90,91000001,10485760000,0,0,0,0,0,0,0,0,神性探索-金币抽取
143,34,91,100,91000001,20971520000,0,0,0,0,0,0,0,0,神性探索-金币抽取
144,34,101,999999,91000001,41943040000,0,0,0,0,0,0,0,0,神性探索-金币抽取
145,35,0,0,91000002,400,0,0,0,0,0,0,0,0,神性探索-钻石单抽
146,36,0,0,91000002,3500,0,0,0,0,0,0,0,0,神性探索-钻石十连抽
