storyid,heroid,heroname,say,next,skip,position,camp,storytype,passid,passpos,endani,jump,soundtime,sound,Line_speed,back_picture,pre_sound_sound,pre_sound_time,gameid,isdoani
1050115,3004,埃西尔,可恶，好强大的力量，还好我发挥稳定，不然咱们就危险了。,1050116,0,1,1,9,110105,10200,1,0,120,VO_Story/1050115_aixier,0,0,0,0,0,0
1050116,2006,塔里克,他的武器上散发着强烈的邪气，难怪我的圣盾差点被击破。,1050201,0,2,1,9,110105,10200,1,0,120,VO_Story/1050116_talike,0,0,0,0,0,0
1050201,1000,####,趁敌人的追兵还没赶来，大伙赶紧上船。,1050202,0,1,1,9,110105,10200,1,0,120,VO_Story/C1_g5_2_1,1,0,0,0,0,0
1050202,1010,塞拉,是[1]猩红之王[0]！,1050203,0,2,1,9,110105,10200,1,0,120,VO_Story/C1_g5_2_2_saila,1,0,0,0,0,0
1050203,1000,####,别紧张，只是一个影像。,1050204,0,1,1,9,110105,10200,1,0,120,VO_Story/C1_g5_2_3,1,0,0,0,0,0
1050204,4007,德古拉,呵呵呵，何必像老鼠一样逃窜。,1050205,0,2,2,9,110105,10200,1,0,120,VO_Story/C1_g5_2_4_degula,1,0,0,0,0,0
1050205,4007,德古拉,为什么不乖乖交出神器，我可以放你一马。,1050206,0,2,2,9,110105,10200,1,0,120,VO_Story/C1_g5_2_5_degula,1,0,0,0,0,0
1050206,1000,####,神器是[1]龙神泰拉[0]留下遗产。,1050207,0,1,1,9,110105,10200,1,0,120,VO_Story/C1_g5_2_6,1,0,0,0,0,0
1050207,1000,####,我们海拉尔家族绝不会让神器落入邪恶之手。,1050208,0,1,1,9,110105,10200,1,0,120,VO_Story/C1_g5_2_7,1,0,0,0,0,0
1050208,4007,德古拉,真有骨气，我的死亡骑士会不眠不休的追击你。,1050209,0,2,2,9,110105,10200,1,0,120,VO_Story/C1_g5_2_8_degula,1,0,0,0,0,0
1050209,4007,德古拉,到时候，你就会知道什么是绝望，哈哈哈……,1050210,0,2,2,9,110105,10200,1,0,120,VO_Story/C1_g5_2_9_degula,1,0,0,0,0,0
1050210,1000,####,我们走！,-1,0,1,1,9,110105,10200,1,0,120,VO_Story/C1_g5_2_10,1,0,0,0,0,0
2010001,1010,塞拉,报告领主大人，[1]希伦[0]海湾已经被奥克斯坦的舰队封锁了。,2010002,0,2,1,10,0,0,0,0,120,VO_Story/C2_start_1_1_saila,1,20028,0,0,0,0
2010002,1000,####,只能硬冲了吗？,2010003,0,1,1,10,0,0,0,0,120,VO_Story/C2_start_1_2,1,20028,0,0,0,0
2010003,3004,埃西尔,不用，我可以使用传送术将我们的船送出海湾。,2010004,0,2,1,10,0,0,0,0,120,VO_Story/C2_start_1_3_aixier,1,20028,0,0,0,0
2010004,2006,塔里克,别！我们上次就是被你送进兽人的陷阱……,2010005,0,2,1,10,0,0,0,0,120,VO_Story/C2_start_1_4_talike,1,20028,0,0,0,0
2010005,3004,埃西尔,让我再试一次，这次绝对可以成功！目标是……[1]丰饶之海[0]！,-1,0,2,1,10,0,0,0,0,120,VO_Story/C2_start_1_5_aixier,1,20028,0,0,0,0
2010101,1000,####,额……头有点晕。这里是？,2010102,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_1_1,1,20028,0,0,0,0
2010102,1010,塞拉,从海岸线来看，这里应该不是[1]希伦[0]。,2010103,0,2,1,10,0,0,0,0,120,VO_Story/C2_g1_1_2_saila,1,20028,0,0,0,0
2010103,2006,塔里克,也不是[1]丰饶之海[0]，更不是[1]赫利海姆[0]。,2010104,0,2,1,10,0,0,0,0,120,VO_Story/C2_g1_1_3_talike,1,20028,0,0,0,0
2010104,3004,埃西尔,似乎出了点小差错。,2010105,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_1_4_aixier,1,20028,0,0,0,0
2010105,3004,埃西尔,不过至少我们摆脱那些臭哄哄的兽人了。,2010106,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_1_5_aixier,1,20028,0,0,0,0
2010106,2004,妮妮,看！前面有一座城堡！,2010107,0,2,1,10,0,0,0,0,120,VO_Story/C2_g1_1_6_nini,1,20028,0,0,0,0
2010107,1000,####,有人在那边，我们去问问路。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_1_7,1,20028,0,0,0,0
2010201,1001,辛达,这座城是我先发现的！,2010202,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_2_1_xinda,1,20026,0,0,0,0
2010202,1001,辛达,给我消灭这群入侵者！ ,2010203,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_2_2_xinda,1,20026,0,0,0,0
2010203,1000,####,是海盗，准备战斗！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_2_3,1,20026,0,0,0,0
2010210,1001,辛达,本大爷平常不喜欢打打杀杀。,2010211,0,2,2,9,110201,100,0,0,120,VO_Story/2010210_xinda,1,0,0,0,0,0
2010211,1001,辛达,但是你们居然敢擅闯本大爷的城堡，那就别怪本大爷不客气了。,2010212,0,2,2,9,110201,100,0,0,120,VO_Story/2010211_xinda,1,0,0,0,0,0
2010212,3004,埃西尔,臭海盗，你凭什么说这是你的城堡。,2010213,0,1,1,9,110201,100,0,0,120,VO_Story/2010212_aixier,1,0,0,0,0,0
2010213,1001,辛达,本大爷是[1]海洋之狼[0]，整个[1]丰饶之海[0]都是本大爷的。,-1,0,2,2,9,110201,100,0,0,120,VO_Story/2010213_xinda,1,0,0,0,0,0
2010221,1001,辛达,糟糕，阴沟里翻船。,2010222,0,2,2,9,110201,10200,1,0,120,VO_Story/2010221_xinda,1,0,0,0,0,0
2010222,1001,辛达,看！有海怪！~~~~我脚底抹油，走为上！,2010223,0,2,2,9,110201,10200,1,0,120,VO_Story/2010222_xinda,1,0,0,0,0,0
2010223,3004,埃西尔,站住，你哪都别想去!,-1,0,1,1,9,110201,10200,1,0,120,VO_Story/2010223_aixier,1,0,0,0,0,0
2010301,1001,辛达,好啦好啦，算你们厉害，这座城就让给你们吧。,2010302,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_3_1_xinda,1,0,0,20,0,0
2010302,3004,埃西尔,无耻之徒！,2010303,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_3_2_aixier,1,0,0,0,0,0
2010303,1001,辛达,看你们的样子是迷路了吧。,2010304,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_3_3_xinda,1,0,0,0,0,0
2010304,1001,辛达,只要你们放了我，我就把这附近的地图给你，如何？,2010305,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_3_4_xinda,1,0,0,0,0,0
2010305,1000,####,让他走吧。,2010306,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_3_5,1,0,0,0,0,0
2010306,1001,辛达,哈哈，您的胸襟简直比[1]丰饶之海[0]还要宽广。,2010307,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_3_6_xinda,1,0,0,0,0,0
2010307,1001,辛达,地图拿去，再会！,-1,0,2,2,10,0,0,0,0,120,VO_Story/C2_g1_3_7_xinda,1,0,0,0,0,0
2010401,1010,塞拉,从地图上看这里应该是北岭东部的遗忘海湾。,2010402,0,2,1,10,0,0,0,0,120,VO_Story/C2_g1_4_1_saila,1,0,0,0,0,0
2010402,1010,塞拉,虽然以前也有人来过这里，但却从没听说过这里还有座城堡。,2010403,0,2,1,10,0,0,0,0,120,VO_Story/C2_g1_4_2_saila,1,0,0,0,0,0
2010403,3004,埃西尔,应该也是因为受到魔法保护，才无法用肉眼辨认。,2010404,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_4_3_aixier,1,0,0,0,0,0
2010404,3004,埃西尔,这种建筑风格相当罕见……,2010405,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_4_4_aixier,1,0,0,0,0,0
2010405,3004,埃西尔,难道…这就是传说中天使修建的要塞？,2010406,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_4_5_aixier,1,0,0,0,0,0
2010406,1000,####,也就是说，它修建于[1]万世之战[0]时期？,2010407,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_4_6,1,0,0,0,0,0
2010407,1000,####,真不可思议，过了这么久，还能保存如此完好。,2010408,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_4_7,1,0,0,0,0,0
2010408,1010,塞拉,城里布满魔法封印，很多设施都无法启用。,2010409,0,2,1,10,0,0,0,0,120,VO_Story/C2_g1_4_8_saila,1,0,0,0,0,0
2010409,3004,埃西尔,就交给我吧！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_4_9_aixier,1,0,0,0,0,0
2010501,3004,埃西尔,领主大人，我已经解除了[1]召唤台[0]的封印。,2010502,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_5_1_aixier,1,0,0,0,0,0
2010502,3004,埃西尔,我们可以用它来[1]召唤[0]世界各地签订了召唤契约的英雄。,2010503,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_5_2_aixier,1,0,0,0,0,0
2010503,3004,埃西尔,看看有谁会响应[1]召唤[0]吧。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_5_3_aixier,1,0,0,0,0,0
2010601,1002,艾伦,我是橡叶骑士团的团长[1]艾伦[0]。,2010602,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_6_1_ailun,1,0,0,0,0,0
2010602,1002,艾伦,看来你需要帮助。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_6_2_ailun,1,0,0,0,0,0
2010701,4010,魔丽莎,我是[1]星环城[0]的高阶法师[1]魔丽莎[0]。,2010702,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_7_1_molisha,1,0,0,0,0,0
2010702,4010,魔丽莎,希望我们合作愉快。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_7_2_molisha,1,0,0,0,0,0
2010801,3004,埃西尔,我们得到了两名强大的新英雄。,2010802,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_8_1_aixier,1,0,0,0,0,0
2010802,3004,埃西尔,请先将他们上阵。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_8_2_aixier,1,0,0,0,0,0
2010901,4010,魔丽莎,我的魔法可以对敌人造成毁灭性打击。,2010902,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_9_1_molisha,1,0,0,0,0,0
2010902,4010,魔丽莎,不过你们得好好保护我的安全才行。,2010903,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_9_2_molisha,1,0,0,0,0,0
2010903,1002,艾伦,请把我安排在队伍的最前方。,2010904,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_9_3_ailun,1,0,0,0,0,0
2010904,1002,艾伦,保护队友是骑士的天职。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g1_9_4_ailun,1,0,0,0,0,0
2020101,1010,塞拉,报告领主，发现[1]丧钟军团[0]的行踪。,2020102,0,2,1,10,0,0,0,0,120,VO_Story/C2_g2_1_1_saila,1,0,0,0,0,0
2020102,1010,塞拉,他们在南边的峡湾登陆，有一支先头部队已经接近城堡。,2020103,0,2,1,10,0,0,0,0,120,VO_Story/C2_g2_1_2_saila,1,0,0,0,0,0
2020103,1000,####,现在我们有足够的实力和他们一战。,2020104,0,1,1,10,0,0,0,0,120,VO_Story/C2_g2_1_3,1,0,0,0,0,0
2020104,1000,####,准备出击！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C2_g2_1_4,1,0,0,0,0,0
2020110,1002,艾伦,呵呵，这些暗灵还懂得排兵布阵了。,2020111,0,1,1,9,110203,100,0,0,120,VO_Story/2020110_ailun,1,0,0,0,0,0
2020111,1002,艾伦,可惜遇上了我，他们的阵型马上就会不复存在。,2020112,0,1,1,9,110203,100,0,0,120,VO_Story/2020111_ailun,1,0,0,0,0,0
2020112,4010,魔丽莎,你先别急着冲锋。,2020113,0,2,1,9,110203,100,0,0,120,VO_Story/2020112_molisha,1,0,0,0,0,0
2020113,4010,魔丽莎,他们站得这么整齐，我的法术正好可以一波带走。,-1,0,2,1,9,110203,100,0,0,120,VO_Story/2020113_molisha,1,0,0,0,0,0
2020116,4010,魔丽莎,简直不费吹灰之力呢。,2020117,0,1,1,9,110203,10200,1,0,120,VO_Story/2020116_molisha,1,0,0,0,0,0
2020117,1002,艾伦,哈哈哈，不疼不痒，他们还是滚回灵界玩沙子吧。,2020118,0,2,1,9,110203,10200,1,0,120,VO_Story/2020117_ailun,1,0,0,0,0,0
2020118,1000,####,两位的实力果然超群，以后有你们在我就放心了。,2020119,0,1,1,9,110203,10200,1,0,120,VO_Story/2020118,1,0,0,0,0,0
2020119,3004,埃西尔,领主大人，你可不能喜新厌旧啊。,2020120,0,2,1,9,110203,10200,1,0,120,VO_Story/2020119_aixier,1,0,0,0,0,0
