levelid,judgelevel,icon,picture,coldtime,force_limit,win,lose,maxchance,minchance,reduce,levelindex,refresh1,refresh2,refresh3,refresh4,servernum,chaptername,descriptiont,physicalstrength,teamexp,rareloot1,rareloot2,rareloot3,loot1,loot2,loot3,loot4,npcteam,npclv,npcicon1,npcname1,npcicon2,npcname2,npcicon3,npcname3,npcicon4,npcname4,npcicon5,npcname5,drop
300013,201304,0,0,20,50000,100,80,90,60,200,13,110000,150000,200000,0,30,忏悔之堂,,10,10,20001001,0,0,91000001,21001001,0,0,忏悔之堂的守军,70,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10013
300014,201404,0,0,20,50000,100,80,90,60,200,14,110000,150000,200000,0,30,埋骨地,,10,10,20001002,0,0,91000001,21001002,0,0,埋骨地的守军,75,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10014
300015,201504,0,0,20,50000,100,80,90,60,200,15,110000,150000,200000,0,30,冥王大殿,,10,10,20001003,0,0,91000001,21001003,0,0,冥王大殿的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10015
300016,201604,0,0,20,50000,100,80,90,60,200,16,110000,150000,200000,0,30,泰拉之核,,10,10,20001004,0,0,91000001,21001004,0,0,泰拉之核的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10016
300017,201704,0,0,20,50000,100,80,90,60,200,17,110000,150000,200000,0,30,扭曲神殿,,10,10,20001005,0,0,91000001,21001005,0,0,扭曲神殿的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10017
300018,201804,0,0,20,50000,100,80,90,60,200,18,110000,150000,200000,0,30,星界之门,,10,10,20001006,0,0,91000001,21001006,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10018
300019,201904,0,0,20,100000,100,80,90,60,200,19,110000,150000,200000,0,30,星界之门,,10,10,20010001,0,0,91000001,21010001,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10019
300020,202004,0,0,20,100000,100,80,90,60,200,20,110000,150000,200000,0,30,星界之门,,10,10,20010002,0,0,91000001,21010002,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10020
300021,202104,0,0,20,100000,100,80,90,60,200,21,110000,150000,200000,0,30,星界之门,,10,10,20010003,0,0,91000001,21010003,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10021
300022,202204,0,0,20,100000,100,80,90,60,200,22,110000,150000,200000,0,30,星界之门,,10,10,20010004,0,0,91000001,21010004,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10022
300023,202304,0,0,20,100000,100,80,90,60,200,23,110000,150000,200000,0,30,星界之门,,10,10,20010005,0,0,91000001,21010005,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10023
300024,202404,0,0,20,100000,100,80,90,60,200,24,110000,150000,200000,0,30,星界之门,,10,10,20010006,0,0,91000001,21010006,0,0,星界之门的守军,80,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10024
