lazyid,id ,name,lv,needitem,neednum,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6
1002005,52010102,弩手,5,52010102,40,7,1050,6,10780,8,1100,10,2070,30,1140,99,648100
1002006,52010102,弩手,6,52010102,64,7,1660,6,17150,8,1750,10,3290,30,1820,99,1030500
1002007,52010102,弩手,7,52010102,90,7,2480,6,25580,8,2610,10,4910,30,2710,99,1537100
1002008,52010102,弩手,8,52010102,120,7,3520,6,36300,8,3700,10,6970,30,3850,99,2181500
1002009,52010102,弩手,9,52010102,150,7,4800,6,49520,8,5050,10,9500,30,5250,99,2975400
1002010,52010102,弩手,10,52010102,180,7,6350,6,65450,8,6680,10,12560,30,6940,99,3934000
1002011,52010102,弩手,11,52010102,220,7,8170,6,84300,8,8600,10,16180,30,8940,99,5066000
1002012,52010102,弩手,12,52010102,260,7,10300,6,106270,8,10840,10,20390,30,11270,99,6385900
1002013,52010102,弩手,13,52010102,310,7,12750,6,131530,8,13420,10,25240,30,13950,99,7904600
1002014,52010102,弩手,14,52010102,350,7,15540,6,160280,8,16350,10,30760,30,17000,99,9632600
1002015,52010102,弩手,15,52010102,400,7,18690,6,192690,8,19660,10,36980,30,20440,99,11581800
1002016,52010102,弩手,16,52010102,460,7,22200,6,228950,8,23360,10,43940,30,24280,99,13760000
1002017,52010102,弩手,17,52010102,520,7,26110,6,269220,8,27470,10,51670,30,28550,99,16180900
1002018,52010102,弩手,18,52010102,580,7,30420,6,313680,8,32000,10,60200,30,33270,99,18852600
1002019,52010102,弩手,19,52010102,640,7,35150,6,362480,8,36980,10,69570,30,38450,99,21786100
1002020,52010102,弩手,20,0,0,7,40320,6,415800,8,42420,10,79800,30,44100,99,24990000
2002001,52010202,神射手,1,52010202,3,7,160,6,1670,8,170,10,340,30,160,99,99400
2002002,52010202,神射手,2,52010202,6,7,300,6,3180,8,320,10,660,30,300,99,188600
2002003,52010202,神射手,3,52010202,12,7,630,6,6690,8,660,10,1380,30,630,99,394800
2002004,52010202,神射手,4,52010202,24,7,1210,6,12850,8,1270,10,2650,30,1210,99,758500
2002005,52010202,神射手,5,52010202,40,7,2090,6,22220,8,2200,10,4580,30,2090,99,1311400
2002006,52010202,神射手,6,52010202,64,7,3330,6,35350,8,3500,10,7280,30,3330,99,2087000
2002007,52010202,神射手,7,52010202,90,7,4960,6,52710,8,5220,10,10850,30,4960,99,3110700
2002008,52010202,神射手,8,52010202,120,7,7040,6,74790,8,7410,10,15400,30,7040,99,4414800
2002009,52010202,神射手,9,52010202,150,7,9600,6,102040,8,10100,10,21010,30,9600,99,6021300
2002010,52010202,神射手,10,52010202,180,7,12690,6,134870,8,13360,10,27770,30,12690,99,7959900
2002011,52010202,神射手,11,52010202,220,7,16350,6,173720,8,17200,10,35770,30,16350,99,10252900
2002012,52010202,神射手,12,52010202,260,7,20610,6,218970,8,21680,10,45080,30,20610,99,12923400
2002013,52010202,神射手,13,52010202,310,7,25510,6,271030,8,26840,10,55800,30,25510,99,15996600
2002014,52010202,神射手,14,52010202,350,7,31080,6,330270,8,32700,10,68000,30,31080,99,19491400
2002015,52010202,神射手,15,52010202,400,7,37370,6,397070,8,39320,10,81750,30,37370,99,23434900
2002016,52010202,神射手,16,52010202,460,7,44400,6,471780,8,46720,10,97130,30,44400,99,27844100
2002017,52010202,神射手,17,52010202,520,7,52210,6,554760,8,54930,10,114220,30,52210,99,32741200
2002018,52010202,神射手,18,52010202,580,7,60830,6,646370,8,64000,10,133080,30,60830,99,38147400
2002019,52010202,神射手,19,52010202,640,7,70300,6,746940,8,73960,10,153780,30,70300,99,44083800
2002020,52010202,神射手,20,0,0,7,80640,6,856800,8,84840,10,176400,30,80640,99,50568000
1003001,52010103,法师,1,52010103,3,9,160,6,810,8,90,10,160,30,80,99,49200
1003002,52010103,法师,2,52010103,6,9,310,6,1540,8,160,10,310,30,150,99,92800
1003003,52010103,法师,3,52010103,12,9,660,6,3250,8,340,10,640,30,320,99,196000
1003004,52010103,法师,4,52010103,24,9,1260,6,6230,8,660,10,1230,30,620,99,377100
1003005,52010103,法师,5,52010103,40,9,2180,6,10780,8,1140,10,2140,30,1070,99,652600
1003006,52010103,法师,6,52010103,64,9,3470,6,17150,8,1820,10,3400,30,1700,99,1038500
1003007,52010103,法师,7,52010103,90,9,5170,6,25580,8,2710,10,5060,30,2530,99,1547100
1003008,52010103,法师,8,52010103,120,9,7330,6,36300,8,3850,10,7190,30,3590,99,2196000
1003009,52010103,法师,9,52010103,150,9,10000,6,49520,8,5250,10,9800,30,4900,99,2995400
1003010,52010103,法师,10,52010103,180,9,13220,6,65450,8,6940,10,12960,30,6480,99,3960000
1003011,52010103,法师,11,52010103,220,9,17030,6,84300,8,8940,10,16690,30,8350,99,5101000
1003012,52010103,法师,12,52010103,260,9,21470,6,106270,8,11270,10,21040,30,10520,99,6429900
1003013,52010103,法师,13,52010103,310,9,26570,6,131530,8,13950,10,26040,30,13020,99,7958100
1003014,52010103,法师,14,52010103,350,9,32380,6,160280,8,17000,10,31730,30,15870,99,9698100
1003015,52010103,法师,15,52010103,400,9,38930,6,192690,8,20440,10,38150,30,19070,99,11658800
1003016,52010103,法师,16,52010103,460,9,46250,6,228950,8,24280,10,45330,30,22660,99,13852000
1003017,52010103,法师,17,52010103,520,9,54390,6,269220,8,28550,10,53300,30,26650,99,16288900
1003018,52010103,法师,18,52010103,580,9,63370,6,313680,8,33270,10,62100,30,31050,99,18979100
1003019,52010103,法师,19,52010103,640,9,73230,6,362480,8,38450,10,71760,30,35880,99,21932100
1003020,52010103,法师,20,0,0,9,84000,6,415800,8,44100,10,82320,30,41160,99,25158000
2003001,52010203,大法师,1,52010203,3,9,310,6,1660,8,170,10,340,30,160,99,98700
2003002,52010203,大法师,2,52010203,6,9,600,6,3150,8,330,10,640,30,310,99,189000
2003003,52010203,大法师,3,52010203,12,9,1260,6,6630,8,690,10,1350,30,650,99,397100
2003004,52010203,大法师,4,52010203,24,9,2420,6,12720,8,1320,10,2590,30,1250,99,761900
2003005,52010203,大法师,5,52010203,40,9,4180,6,22000,8,2290,10,4490,30,2160,99,1318500
2003006,52010203,大法师,6,52010203,64,9,6650,6,35000,8,3640,10,7140,30,3430,99,2096500
2003007,52010203,大法师,7,52010203,90,9,9920,6,52200,8,5430,10,10650,30,5120,99,3127500
2003008,52010203,大法师,8,52010203,120,9,14080,6,74060,8,7700,10,15110,30,7260,99,4436700
2003009,52010203,大法师,9,52010203,150,9,19210,6,101040,8,10500,10,20610,30,9900,99,6051800
2003010,52010203,大法师,10,52010203,180,9,25390,6,133550,8,13880,10,27240,30,13090,99,7999500
2003011,52010203,大法师,11,52010203,220,9,32700,6,172010,8,17880,10,35080,30,16860,99,10303200
2003012,52010203,大法师,12,52010203,260,9,41220,6,216830,8,22540,10,44220,30,21250,99,12987600
2003013,52010203,大法师,13,52010203,310,9,51020,6,268370,8,27900,10,54740,30,26310,99,16076400
2003014,52010203,大法师,14,52010203,350,9,62170,6,327030,8,34000,10,66700,30,32060,99,19590100
2003015,52010203,大法师,15,52010203,400,9,74740,6,393170,8,40870,10,80190,30,38540,99,23550900
2003016,52010203,大法师,16,52010203,460,9,88810,6,467150,8,48570,10,95280,30,45790,99,27983500
2003017,52010203,大法师,17,52010203,520,9,104430,6,549320,8,57110,10,112040,30,53840,99,32904900
2003018,52010203,大法师,18,52010203,580,9,121670,6,640030,8,66540,10,130540,30,62740,99,38339100
2003019,52010203,大法师,19,52010203,640,9,140600,6,739610,8,76890,10,150850,30,72500,99,44303700
2003020,52010203,大法师,20,0,0,9,161280,6,848400,8,88200,10,173040,30,83160,99,50820000
1004001,52010104,十字军,1,52010104,3,7,80,6,860,8,80,10,170,30,80,99,49700
1004002,52010104,十字军,2,52010104,6,7,150,6,1640,8,150,10,320,30,150,99,93800
1004003,52010104,十字军,3,52010104,12,7,320,6,3440,8,320,10,680,30,320,99,198800
1004004,52010104,十字军,4,52010104,24,7,620,6,6610,8,610,10,1310,30,610,99,381700
1004005,52010104,十字军,5,52010104,40,7,1070,6,11440,8,1060,10,2270,30,1060,99,661300
1004006,52010104,十字军,6,52010104,64,7,1700,6,18190,8,1680,10,3600,30,1680,99,1049800
1004007,52010104,十字军,7,52010104,90,7,2530,6,27130,8,2510,10,5370,30,2510,99,1566100
1004008,52010104,十字军,8,52010104,120,7,3590,6,38500,8,3560,10,7630,30,3560,99,2222500
1004009,52010104,十字军,9,52010104,150,7,4900,6,52520,8,4850,10,10400,30,4850,99,3030400
1004010,52010104,十字军,10,52010104,180,7,6480,6,69420,8,6410,10,13750,30,6410,99,4005900
1004011,52010104,十字军,11,52010104,220,7,8350,6,89410,8,8260,10,17710,30,8260,99,5160700
1004012,52010104,十字军,12,52010104,260,7,10520,6,112710,8,10410,10,22330,30,10410,99,6504700
1004013,52010104,十字军,13,52010104,310,7,13020,6,139500,8,12890,10,27630,30,12890,99,8051500
1004014,52010104,十字军,14,52010104,350,7,15870,6,169990,8,15700,10,33670,30,15700,99,9810300
1004015,52010104,十字军,15,52010104,400,7,19070,6,204370,8,18880,10,40490,30,18880,99,11794900
1004016,52010104,十字军,16,52010104,460,7,22660,6,242830,8,22430,10,48100,30,22430,99,14013600
1004017,52010104,十字军,17,52010104,520,7,26650,6,285540,8,26380,10,56560,30,26380,99,16479800
1004018,52010104,十字军,18,52010104,580,7,31050,6,332690,8,30730,10,65900,30,30730,99,19199800
1004019,52010104,十字军,19,52010104,640,7,35880,6,384450,8,35520,10,76160,30,35520,99,22189000
1004020,52010104,十字军,20,0,0,7,41160,6,441000,8,40740,10,87360,30,40740,99,25452000
2004001,52010204,圣堂武士,1,52010204,3,7,160,6,1710,8,170,10,340,30,160,99,100200
2004002,52010204,圣堂武士,2,52010204,6,7,300,6,3240,8,320,10,640,30,300,99,188800
2004003,52010204,圣堂武士,3,52010204,12,7,640,6,6820,8,680,10,1350,30,640,99,399900
2004004,52010204,圣堂武士,4,52010204,24,7,1220,6,13100,8,1310,10,2590,30,1220,99,766500
2004005,52010204,圣堂武士,5,52010204,40,7,2110,6,22660,8,2270,10,4490,30,2110,99,1326700
2004006,52010204,圣堂武士,6,52010204,64,7,3360,6,36040,8,3600,10,7140,30,3360,99,2109800
2004007,52010204,圣堂武士,7,52010204,90,7,5010,6,53750,8,5370,10,10650,30,5010,99,3146500
2004008,52010204,圣堂武士,8,52010204,120,7,7110,6,76260,8,7630,10,15110,30,7110,99,4465700
2004009,52010204,圣堂武士,9,52010204,150,7,9700,6,104040,8,10400,10,20610,30,9700,99,6091300
2004010,52010204,圣堂武士,10,52010204,180,7,12830,6,137520,8,13750,10,27240,30,12830,99,8053400
2004011,52010204,圣堂武士,11,52010204,220,7,16520,6,177120,8,17710,10,35080,30,16520,99,10371400
2004012,52010204,圣堂武士,12,52010204,260,7,20820,6,223270,8,22330,10,44220,30,20820,99,13073400
2004013,52010204,圣堂武士,13,52010204,310,7,25770,6,276350,8,27630,10,54740,30,25770,99,16181000
2004014,52010204,圣堂武士,14,52010204,350,7,31410,6,336750,8,33670,10,66700,30,31410,99,19719000
2004015,52010204,圣堂武士,15,52010204,400,7,37760,6,404850,8,40490,10,80190,30,37760,99,23707500
2004016,52010204,圣堂武士,16,52010204,460,7,44870,6,481030,8,48100,10,95280,30,44870,99,28168600
2004017,52010204,圣堂武士,17,52010204,520,7,52760,6,565640,8,56560,10,112040,30,52760,99,33122800
2004018,52010204,圣堂武士,18,52010204,580,7,61470,6,659040,8,65900,10,130540,30,61470,99,38591800
2004019,52010204,圣堂武士,19,52010204,640,7,71030,6,761580,8,76160,10,150850,30,71030,99,44596100
2004020,52010204,圣堂武士,20,0,0,7,81480,6,873600,8,87360,10,173040,30,81480,99,51156000
1005001,52010105,祭祀,1,52010105,3,7,90,6,820,8,80,10,160,30,90,99,50400
1005002,52010105,祭祀,2,52010105,6,7,160,6,1560,8,160,10,310,30,160,99,94700
1005003,52010105,祭祀,3,52010105,12,7,340,6,3280,8,330,10,650,30,340,99,199100
1005004,52010105,祭祀,4,52010105,24,7,660,6,6300,8,630,10,1250,30,660,99,383500
1005005,52010105,祭祀,5,52010105,40,7,1140,6,10890,8,1090,10,2160,30,1140,99,662800
1005006,52010105,祭祀,6,52010105,64,7,1820,6,17330,8,1730,10,3430,30,1820,99,1055100
1005007,52010105,祭祀,7,52010105,90,7,2710,6,25840,8,2580,10,5120,30,2710,99,1572800
1005008,52010105,祭祀,8,52010105,120,7,3850,6,36660,8,3670,10,7260,30,3850,99,2233200
1005009,52010105,祭祀,9,52010105,150,7,5250,6,50020,8,5000,10,9900,30,5250,99,3045400
1005010,52010105,祭祀,10,52010105,180,7,6940,6,66110,8,6610,10,13090,30,6940,99,4025700
1005011,52010105,祭祀,11,52010105,220,7,8940,6,85160,8,8520,10,16860,30,8940,99,5186200
1005012,52010105,祭祀,12,52010105,260,7,11270,6,107340,8,10730,10,21250,30,11270,99,6536300
1005013,52010105,祭祀,13,52010105,310,7,13950,6,132860,8,13290,10,26310,30,13950,99,8091700
1005014,52010105,祭祀,14,52010105,350,7,17000,6,161900,8,16190,10,32060,30,17000,99,9860000
1005015,52010105,祭祀,15,52010105,400,7,20440,6,194640,8,19460,10,38540,30,20440,99,11853800
1005016,52010105,祭祀,16,52010105,460,7,24280,6,231260,8,23130,10,45790,30,24280,99,14083700
1005017,52010105,祭祀,17,52010105,520,7,28550,6,271940,8,27190,10,53840,30,28550,99,16559800
1005018,52010105,祭祀,18,52010105,580,7,33270,6,316850,8,31680,10,62740,30,33270,99,19296000
1005019,52010105,祭祀,19,52010105,640,7,38450,6,366140,8,36610,10,72500,30,38450,99,22298800
1005020,52010105,祭祀,20,0,0,7,44100,6,420000,8,42000,10,83160,30,44100,99,25578000
2005001,52010205,圣裁官,1,52010205,3,7,170,6,1640,8,170,10,330,30,160,99,99300
2005002,52010205,圣裁官,2,52010205,6,7,330,6,3120,8,330,10,630,30,310,99,190900
2005003,52010205,圣裁官,3,52010205,12,7,690,6,6560,8,690,10,1330,30,650,99,400700
2005004,52010205,圣裁官,4,52010205,24,7,1320,6,12600,8,1320,10,2540,30,1250,99,768000
2005005,52010205,圣裁官,5,52010205,40,7,2290,6,21790,8,2290,10,4400,30,2160,99,1329800
2005006,52010205,圣裁官,6,52010205,64,7,3640,6,34650,8,3640,10,7000,30,3430,99,2114000
2005007,52010205,圣裁官,7,52010205,90,7,5430,6,51680,8,5430,10,10440,30,5120,99,3153600
2005008,52010205,圣裁官,8,52010205,120,7,7700,6,73330,8,7700,10,14810,30,7260,99,4473100
2005009,52010205,圣裁官,9,52010205,150,7,10500,6,100040,8,10500,10,20210,30,9900,99,6101300
2005010,52010205,圣裁官,10,52010205,180,7,13880,6,132230,8,13880,10,26710,30,13090,99,8065100
2005011,52010205,圣裁官,11,52010205,220,7,17880,6,170310,8,17880,10,34400,30,16860,99,10388200
2005012,52010205,圣裁官,12,52010205,260,7,22540,6,214680,8,22540,10,43370,30,21250,99,13095100
2005013,52010205,圣裁官,13,52010205,310,7,27900,6,265720,8,27900,10,53670,30,26310,99,16208900
2005014,52010205,圣裁官,14,52010205,350,7,34000,6,323800,8,34000,10,65410,30,32060,99,19752500
2005015,52010205,圣裁官,15,52010205,400,7,40870,6,389280,8,40870,10,78630,30,38540,99,23745100
2005016,52010205,圣裁官,16,52010205,460,7,48570,6,462530,8,48570,10,93430,30,45790,99,28215100
2005017,52010205,圣裁官,17,52010205,520,7,57110,6,543890,8,57110,10,109860,30,53840,99,33176800
2005018,52010205,圣裁官,18,52010205,580,7,66540,6,633690,8,66540,10,128010,30,62740,99,38656300
2005019,52010205,圣裁官,19,52010205,640,7,76890,6,732290,8,76890,10,147920,30,72500,99,44669800
2005020,52010205,圣裁官,20,0,0,7,88200,6,840000,8,88200,10,169680,30,83160,99,51240000
1006001,52010106,骑士,1,52010106,3,29,80,6,800,8,80,10,170,30,90,99,49500
1006002,52010106,骑士,2,52010106,6,29,150,6,1530,8,150,10,320,30,160,99,92600
1006003,52010106,骑士,3,52010106,12,29,310,6,3210,8,310,10,660,30,340,99,193200
1006004,52010106,骑士,4,52010106,24,29,600,6,6170,8,600,10,1270,30,650,99,371900
1006005,52010106,骑士,5,52010106,40,29,1030,6,10680,8,1030,10,2200,30,1130,99,642600
1006006,52010106,骑士,6,52010106,64,29,1650,6,16980,8,1650,10,3500,30,1800,99,1024600
1006007,52010106,骑士,7,52010106,90,29,2450,6,25320,8,2450,10,5220,30,2690,99,1526400
1006008,52010106,骑士,8,52010106,120,29,3480,6,35930,8,3480,10,7410,30,3810,99,2166100
1006009,52010106,骑士,9,52010106,150,29,4750,6,49020,8,4750,10,10100,30,5200,99,2955400
1006010,52010106,骑士,10,52010106,180,29,6280,6,64790,8,6280,10,13360,30,6880,99,3907800
1006011,52010106,骑士,11,52010106,220,29,8090,6,83450,8,8090,10,17200,30,8860,99,5033000
1006012,52010106,骑士,12,52010106,260,29,10200,6,105190,8,10200,10,21680,30,11160,99,6343800
1006013,52010106,骑士,13,52010106,310,29,12620,6,130200,8,12620,10,26840,30,13820,99,7852000
1006014,52010106,骑士,14,52010106,350,29,15380,6,158660,8,15380,10,32700,30,16840,99,9568200
1006015,52010106,骑士,15,52010106,400,29,18490,6,190750,8,18490,10,39320,30,20240,99,11503000
1006016,52010106,骑士,16,52010106,460,29,21970,6,226640,8,21970,10,46720,30,24050,99,13667800
1006017,52010106,骑士,17,52010106,520,29,25830,6,266500,8,25830,10,54930,30,28280,99,16070500
1006018,52010106,骑士,18,52010106,580,29,30100,6,310510,8,30100,10,64000,30,32950,99,18725200
1006019,52010106,骑士,19,52010106,640,29,34780,6,358820,8,34780,10,73960,30,38080,99,21638400
1006020,52010106,骑士,20,0,0,29,39900,6,411600,8,39900,10,84840,30,43680,99,24822000
2006001,52010206,圣骑士,1,52010206,3,29,170,6,1620,8,160,10,320,30,160,99,97400
2006002,52010206,圣骑士,2,52010206,6,29,320,6,3090,8,310,10,620,30,300,99,185800
2006003,52010206,圣骑士,3,52010206,12,29,670,6,6500,8,660,10,1300,30,640,99,392000
2006004,52010206,圣骑士,4,52010206,24,29,1280,6,12470,8,1260,10,2490,30,1220,99,749900
2006005,52010206,圣骑士,5,52010206,40,29,2220,6,21570,8,2180,10,4310,30,2110,99,1297900
2006006,52010206,圣骑士,6,52010206,64,29,3530,6,34310,8,3470,10,6860,30,3360,99,2065200
2006007,52010206,圣骑士,7,52010206,90,29,5270,6,51160,8,5170,10,10230,30,5010,99,3079700
2006008,52010206,圣骑士,8,52010206,120,29,7480,6,72590,8,7330,10,14520,30,7110,99,4369800
2006009,52010206,圣骑士,9,52010206,150,29,10200,6,99040,8,10000,10,19810,30,9700,99,5961300
2006010,52010206,圣骑士,10,52010206,180,29,13490,6,130910,8,13220,10,26180,30,12830,99,7881200
2006011,52010206,圣骑士,11,52010206,220,29,17370,6,168610,8,17030,10,33720,30,16520,99,10150200
2006012,52010206,圣骑士,12,52010206,260,29,21900,6,212530,8,21470,10,42510,30,20820,99,12795100
2006013,52010206,圣骑士,13,52010206,310,29,27100,6,263060,8,26570,10,52610,30,25770,99,15835700
2006014,52010206,圣骑士,14,52010206,350,29,33030,6,320560,8,32380,10,64110,30,31410,99,19298700
2006015,52010206,圣骑士,15,52010206,400,29,39710,6,385390,8,38930,10,77080,30,37760,99,23201800
2006016,52010206,圣骑士,16,52010206,460,29,47180,6,457900,8,46250,10,91580,30,44870,99,27567000
2006017,52010206,圣骑士,17,52010206,520,29,55480,6,538450,8,54390,10,107690,30,52760,99,32416500
2006018,52010206,圣骑士,18,52010206,580,29,64640,6,627360,8,63370,10,125470,30,61470,99,37768700
2006019,52010206,圣骑士,19,52010206,640,29,74690,6,724970,8,73230,10,144990,30,71030,99,43643900
2006020,52010206,圣骑士,20,0,0,29,85680,6,831600,8,84000,10,166320,30,81480,99,50064000
1007001,52010107,天使,1,52010107,3,7,90,6,790,8,80,10,170,30,80,99,49300
1007002,52010107,天使,2,52010107,6,7,160,6,1500,8,160,10,320,30,150,99,93000
1007003,52010107,天使,3,52010107,12,7,340,6,3150,8,340,10,680,30,320,99,197000
1007004,52010107,天使,4,52010107,24,7,650,6,6050,8,650,10,1310,30,610,99,377500
1007005,52010107,天使,5,52010107,40,7,1130,6,10460,8,1120,10,2270,30,1060,99,653700
1007006,52010107,天使,6,52010107,64,7,1800,6,16630,8,1780,10,3600,30,1680,99,1038600
1007007,52010107,天使,7,52010107,90,7,2690,6,24810,8,2660,10,5370,30,2510,99,1550700
1007008,52010107,天使,8,52010107,120,7,3810,6,35200,8,3780,10,7630,30,3560,99,2200500
1007009,52010107,天使,9,52010107,150,7,5200,6,48020,8,5150,10,10400,30,4850,99,3000400
1007010,52010107,天使,10,52010107,180,7,6880,6,63470,8,6810,10,13750,30,6410,99,3966900
1007011,52010107,天使,11,52010107,220,7,8860,6,81750,8,8770,10,17710,30,8260,99,5109500
1007012,52010107,天使,12,52010107,260,7,11160,6,103050,8,11060,10,22330,30,10410,99,6440500
1007013,52010107,天使,13,52010107,310,7,13820,6,127540,8,13680,10,27630,30,12890,99,7971300
1007014,52010107,天使,14,52010107,350,7,16840,6,155420,8,16680,10,33670,30,15700,99,9713900
1007015,52010107,天使,15,52010107,400,7,20240,6,186860,8,20050,10,40490,30,18880,99,11678700
1007016,52010107,天使,16,52010107,460,7,24050,6,222010,8,23820,10,48100,30,22430,99,13875200
1007017,52010107,天使,17,52010107,520,7,28280,6,261070,8,28010,10,56560,30,26380,99,16316400
1007018,52010107,天使,18,52010107,580,7,32950,6,304170,8,32640,10,65900,30,30730,99,19010400
1007019,52010107,天使,19,52010107,640,7,38080,6,351500,8,37710,10,76160,30,35520,99,21969000
1007020,52010107,天使,20,0,0,7,43680,6,403200,8,43260,10,87360,30,40740,99,25200000
2007001,52010207,大天使,1,52010207,3,7,170,6,1670,8,170,10,330,30,170,99,100900
2007002,52010207,大天使,2,52010207,6,7,320,6,3180,8,320,10,620,30,320,99,190600
2007003,52010207,大天使,3,52010207,12,7,670,6,6690,8,680,10,1310,30,670,99,401300
2007004,52010207,大天使,4,52010207,24,7,1280,6,12850,8,1310,10,2520,30,1280,99,770000
2007005,52010207,大天使,5,52010207,40,7,2220,6,22220,8,2270,10,4360,30,2220,99,1333400
2007006,52010207,大天使,6,52010207,64,7,3530,6,35350,8,3600,10,6930,30,3530,99,2119500
2007007,52010207,大天使,7,52010207,90,7,5270,6,52710,8,5370,10,10340,30,5270,99,3162200
2007008,52010207,大天使,8,52010207,120,7,7480,6,74790,8,7630,10,14670,30,7480,99,4488300
2007009,52010207,大天使,9,52010207,150,7,10200,6,102040,8,10400,10,20010,30,10200,99,6121300
2007010,52010207,大天使,10,52010207,180,7,13490,6,134870,8,13750,10,26450,30,13490,99,8092900
2007011,52010207,大天使,11,52010207,220,7,17370,6,173720,8,17710,10,34060,30,17370,99,10422400
2007012,52010207,大天使,12,52010207,260,7,21900,6,218970,8,22330,10,42940,30,21900,99,13139400
2007013,52010207,大天使,13,52010207,310,7,27100,6,271030,8,27630,10,53140,30,27100,99,16260600
2007014,52010207,大天使,14,52010207,350,7,33030,6,330270,8,33670,10,64760,30,33030,99,19816400
