id,chaptr_group,level_index,level,cost_id1,cost_num1,first_item1,num1,first_item2,num2,first_item3,num3,first_item4,num4,itembag_group1,itembag_group2,itembag_group3,item_show1,show_num1,item_show2,show_num2,item_show3,show_num3,item_show4,show_num4,picture,model_picture,boss_name,boss_zdl,boss_level,difficulty_name,difficulty_colour
20,4,2,410402,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5004,客迈拉,330000,47,普通,2
21,4,3,410403,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20301,60000002,1,60000003,1,60000003,1,0,0,0,5004,客迈拉,380000,48,困难,3
22,4,4,410404,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20301,60000002,1,60000003,1,60000003,1,0,0,0,5004,客迈拉,460000,49,专家,4
23,4,5,410405,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20401,60000002,1,60000003,1,60000004,1,0,0,0,5004,客迈拉,910000,54,大师,5
24,4,6,410406,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20401,60000002,1,60000003,1,60000004,1,0,0,0,5004,客迈拉,1110000,55,王者,6
25,5,1,410501,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20301,60000002,1,60000003,1,60000003,1,0,0,0,5005,阿特拉斯,1310000,56,简单,1
26,5,2,410502,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20301,60000002,1,60000003,1,60000003,1,0,0,0,5005,阿特拉斯,1510000,57,普通,2
27,5,3,410503,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20301,60000002,1,60000003,1,60000003,1,0,0,0,5005,阿特拉斯,1510000,58,困难,3
28,5,4,410504,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20401,60000002,1,60000003,1,60000004,1,0,0,0,5005,阿特拉斯,1610000,59,专家,4
29,5,5,410505,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20401,60000002,1,60000003,1,60000004,1,0,0,0,5005,阿特拉斯,2510000,64,大师,5
30,5,6,410506,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20401,60000003,1,60000003,1,60000004,1,0,0,0,5005,阿特拉斯,2610000,65,王者,6
31,6,1,410601,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20301,60000003,1,60000003,1,60000003,1,0,0,0,5006,海德拉,2610000,66,简单,1
32,6,2,410602,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20301,60000003,1,60000003,1,60000003,1,0,0,0,5006,海德拉,3310000,67,普通,2
33,6,3,410603,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20401,60000003,1,60000003,1,60000004,1,0,0,0,5006,海德拉,3310000,68,困难,3
34,6,4,410604,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20401,60000003,1,60000003,1,60000004,1,0,0,0,5006,海德拉,3410000,69,专家,4
35,6,5,410605,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20401,60000003,1,60000003,1,60000004,1,0,0,0,5006,海德拉,5810000,74,大师,5
36,6,6,410606,91000003,5,91000002,100,0,0,0,0,0,0,20301,20301,20401,60000003,1,60000003,1,60000004,1,0,0,0,5006,海德拉,6010000,75,王者,6
