id,name,condition1,describe1,n11,n21,n31,n41,aindex1,bindex1,function1,methods1,condition2,describe2,n12,n22,n32,n42,aindex2,bindex2,function2,methods2,condition3,describe3,n13,n23,n33,n43,aindex3,bindex3,function3,methods3,n1,y1,n2,y2,n3,y3,n4,y4,n5,y5,n6,y6,n7,y7,z1
13,一夫当关,2,通关剧情第三十章,1,1229100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个6星武将,5,0,0,6,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有1个8阶美人,1,8,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,26715,7,4007,8,1335,9,4007,10,1335,0,0,0,0,0
14,震慑四方,2,通关剧情第三十三章,1,1232100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有30个武将,30,0,0,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,141,任意1个武将神器总星级达到10星,1,10,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(129),0,6,28929,7,4339,8,1446,9,4339,10,1446,0,0,0,0,0
15,力拔山河,2,通关剧情第三十六章,1,1235100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个红色品质的武将,5,0,20,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有1个11阶美人,1,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,31143,7,4671,8,1557,9,4671,10,1557,0,0,0,0,0
16,天下英豪,2,通关剧情第三十九章,1,1238100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有10个6星武将,10,0,0,6,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,141,任意1个武将神器总星级达到13星,1,13,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(129),0,6,33357,7,5003,8,1667,9,5003,10,1667,0,0,0,0,0
17,举世无双,2,通关剧情第四十二章,1,1241100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有35个武将,35,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有2个11阶美人,2,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,35571,7,5335,8,1778,9,5335,10,1778,0,0,0,0,0
18,盖世英雄,2,通关剧情第四十五章,1,1244100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个红+2品质的武将,5,0,22,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,141,任意1个武将神器总星级达到15星,1,15,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(129),0,6,37785,7,5667,8,1889,9,5667,10,1889,0,0,0,0,0
19,一统天下,2,通关剧情第四十八章,1,1247100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有20个7星武将,20,0,0,7,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有3个11阶美人,3,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,40000,7,6000,8,2000,9,6000,10,2000,0,0,0,0,0
20,王者霸业,2,通关剧情第五十四章,1,1253100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有40个武将,40,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有4个11阶美人,4,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,42214,7,6332,8,2110,9,6332,10,2110,0,0,0,0,0
21,雄主,2,通关剧情第六十章,1,1259100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个红+5品质的武将,5,0,25,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,140,拥有5个11阶美人,5,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,44428,7,6664,8,2221,9,6664,10,2221,0,0,0,0,0
22,霸主,2,通关剧情第六十六章,1,1265100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有30个7星武将,30,0,0,7,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有6个11阶美人,6,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,46642,7,6996,8,2332,9,6996,10,2332,0,0,0,0,0
23,贤王,2,通关剧情第七十二章,1,1271100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有45个武将,45,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有8个11阶美人,8,11,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,48856,7,7328,8,2442,9,7328,10,2442,0,0,0,0,0
24,霸王,2,通关剧情第七十八章,1,1277100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个金+1品质的武将,5,0,28,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,140,拥有8个13阶美人,8,13,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,51070,7,7660,8,2553,9,7660,10,2553,0,0,0,0,0
25,帝君,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53284,7,7992,8,2664,9,7992,10,2664,0,0,0,0,0
