id,lv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
5001,30,6,26580,7,1772,8,886,9,3544,10,1772,29,1772,30,886,11,20000,12,90,43,0,99,1329000,13290
5001,31,6,28680,7,1912,8,956,9,3824,10,1912,29,1912,30,956,11,20000,12,90,43,0,99,1434000,14340
5001,32,6,30960,7,2064,8,1032,9,4128,10,2064,29,2064,30,1032,11,20000,12,90,43,0,99,1548000,15480
5001,33,6,33420,7,2228,8,1114,9,4456,10,2228,29,2228,30,1114,11,20000,12,90,43,0,99,1671000,16710
5001,34,6,36090,7,2406,8,1203,9,4812,10,2406,29,2406,30,1203,11,20000,12,90,43,0,99,1804500,18045
5001,35,6,38970,7,2598,8,1299,9,5196,10,2598,29,2598,30,1299,11,20000,12,90,43,0,99,1948500,19485
5001,36,6,42060,7,2804,8,1402,9,5608,10,2804,29,2804,30,1402,11,20000,12,90,43,0,99,2103000,21030
5001,37,6,45420,7,3028,8,1514,9,6056,10,3028,29,3028,30,1514,11,20000,12,90,43,0,99,2271000,22710
5001,38,6,49050,7,3270,8,1635,9,6540,10,3270,29,3270,30,1635,11,20000,12,90,43,0,99,2452500,24525
5001,39,6,52950,7,3530,8,1765,9,7060,10,3530,29,3530,30,1765,11,20000,12,90,43,0,99,2647500,26475
5001,40,6,57180,7,3812,8,1906,9,7624,10,3812,29,3812,30,1906,11,20000,12,90,43,0,99,2859000,28590
5001,41,6,61740,7,4116,8,2058,9,8232,10,4116,29,4116,30,2058,11,20000,12,90,43,0,99,3087000,30870
5001,42,6,66660,7,4444,8,2222,9,8888,10,4444,29,4444,30,2222,11,20000,12,90,43,0,99,3333000,33330
5001,43,6,71970,7,4798,8,2399,9,9596,10,4798,29,4798,30,2399,11,20000,12,90,43,0,99,3598500,35985
5001,44,6,77700,7,5180,8,2590,9,10360,10,5180,29,5180,30,2590,11,20000,12,90,43,0,99,3885000,38850
5001,45,6,83910,7,5594,8,2797,9,11188,10,5594,29,5594,30,2797,11,20000,12,90,43,0,99,4195500,41955
5001,46,6,90600,7,6040,8,3020,9,12080,10,6040,29,6040,30,3020,11,20000,12,90,43,0,99,4530000,45300
5001,47,6,97830,7,6522,8,3261,9,13044,10,6522,29,6522,30,3261,11,20000,12,90,43,0,99,4891500,48915
5001,48,6,105630,7,7042,8,3521,9,14084,10,7042,29,7042,30,3521,11,20000,12,90,43,0,99,5281500,52815
5001,49,6,114060,7,7604,8,3802,9,15208,10,7604,29,7604,30,3802,11,20000,12,90,43,0,99,5703000,57030
5001,50,6,123180,7,8212,8,4106,9,16424,10,8212,29,8212,30,4106,11,20000,12,90,43,0,99,6159000,61590
5001,51,6,133020,7,8868,8,4434,9,17736,10,8868,29,8868,30,4434,11,20000,12,90,43,0,99,6651000,66510
5001,52,6,143640,7,9576,8,4788,9,19152,10,9576,29,9576,30,4788,11,20000,12,90,43,0,99,7182000,71820
5001,53,6,155130,7,10342,8,5171,9,20684,10,10342,29,10342,30,5171,11,20000,12,90,43,0,99,7756500,77565
5001,54,6,167520,7,11168,8,5584,9,22336,10,11168,29,11168,30,5584,11,20000,12,90,43,0,99,8376000,83760
5001,55,6,180900,7,12060,8,6030,9,24120,10,12060,29,12060,30,6030,11,20000,12,90,43,0,99,9045000,90450
5001,56,6,195360,7,13024,8,6512,9,26048,10,13024,29,13024,30,6512,11,20000,12,90,43,0,99,9768000,97680
5001,57,6,210960,7,14064,8,7032,9,28128,10,14064,29,14064,30,7032,11,20000,12,90,43,0,99,10548000,105480
5001,58,6,227820,7,15188,8,7594,9,30376,10,15188,29,15188,30,7594,11,20000,12,90,43,0,99,11391000,113910
5001,59,6,246030,7,16402,8,8201,9,32804,10,16402,29,16402,30,8201,11,20000,12,90,43,0,99,12301500,123015
5001,60,6,265710,7,17714,8,8857,9,35428,10,17714,29,17714,30,8857,11,20000,12,90,43,0,99,13285500,132855
5001,61,6,286950,7,19130,8,9565,9,38260,10,19130,29,19130,30,9565,11,20000,12,90,43,0,99,14347500,143475
5001,62,6,309900,7,20660,8,10330,9,41320,10,20660,29,20660,30,10330,11,20000,12,90,43,0,99,15495000,154950
5001,63,6,334680,7,22312,8,11156,9,44624,10,22312,29,22312,30,11156,11,20000,12,90,43,0,99,16734000,167340
5001,64,6,361440,7,24096,8,12048,9,48192,10,24096,29,24096,30,12048,11,20000,12,90,43,0,99,18072000,180720
5001,65,6,390330,7,26022,8,13011,9,52044,10,26022,29,26022,30,13011,11,20000,12,90,43,0,99,19516500,195165
5001,66,6,421530,7,28102,8,14051,9,56204,10,28102,29,28102,30,14051,11,20000,12,90,43,0,99,21076500,210765
5001,67,6,455250,7,30350,8,15175,9,60700,10,30350,29,30350,30,15175,11,20000,12,90,43,0,99,22762500,227625
5001,68,6,491670,7,32778,8,16389,9,65556,10,32778,29,32778,30,16389,11,20000,12,90,43,0,99,24583500,245835
5001,69,6,531000,7,35400,8,17700,9,70800,10,35400,29,35400,30,17700,11,20000,12,90,43,0,99,26550000,265500
5001,70,6,573480,7,38232,8,19116,9,76464,10,38232,29,38232,30,19116,11,20000,12,90,43,0,99,28674000,286740
5001,71,6,619350,7,41290,8,20645,9,82580,10,41290,29,41290,30,20645,11,20000,12,90,43,0,99,30967500,309675
5001,72,6,645360,7,43024,8,21512,9,86048,10,43024,29,43024,30,21512,11,20000,12,90,43,0,99,32268000,322680
5001,73,6,672450,7,44830,8,22415,9,89660,10,44830,29,44830,30,22415,11,20000,12,90,43,0,99,33622500,336225
5001,74,6,700680,7,46712,8,23356,9,93424,10,46712,29,46712,30,23356,11,20000,12,90,43,0,99,35034000,350340
5001,75,6,730080,7,48672,8,24336,9,97344,10,48672,29,48672,30,24336,11,20000,12,90,43,0,99,36504000,365040
5001,76,6,760740,7,50716,8,25358,9,101432,10,50716,29,50716,30,25358,11,20000,12,90,43,0,99,38037000,380370
5001,77,6,792690,7,52846,8,26423,9,105692,10,52846,29,52846,30,26423,11,20000,12,90,43,0,99,39634500,396345
5001,78,6,825960,7,55064,8,27532,9,110128,10,55064,29,55064,30,27532,11,20000,12,90,43,0,99,41298000,412980
5001,79,6,860640,7,57376,8,28688,9,114752,10,57376,29,57376,30,28688,11,20000,12,90,43,0,99,43032000,430320
5001,80,6,896760,7,59784,8,29892,9,119568,10,59784,29,59784,30,29892,11,20000,12,90,43,0,99,44838000,448380
5001,81,6,934410,7,62294,8,31147,9,124588,10,62294,29,62294,30,31147,11,20000,12,90,43,0,99,46720500,467205
5001,82,6,973650,7,64910,8,32455,9,129820,10,64910,29,64910,30,32455,11,20000,12,90,43,0,99,48682500,486825
5001,83,6,1014540,7,67636,8,33818,9,135272,10,67636,29,67636,30,33818,11,20000,12,90,43,0,99,50727000,507270
5001,84,6,1057140,7,70476,8,35238,9,140952,10,70476,29,70476,30,35238,11,20000,12,90,43,0,99,52857000,528570
5001,85,6,1101510,7,73434,8,36717,9,146868,10,73434,29,73434,30,36717,11,20000,12,90,43,0,99,55075500,550755
5001,86,6,1147770,7,76518,8,38259,9,153036,10,76518,29,76518,30,38259,11,20000,12,90,43,0,99,57388500,573885
5001,87,6,1195950,7,79730,8,39865,9,159460,10,79730,29,79730,30,39865,11,20000,12,90,43,0,99,59797500,597975
5001,88,6,1246170,7,83078,8,41539,9,166156,10,83078,29,83078,30,41539,11,20000,12,90,43,0,99,62308500,623085
5001,89,6,1298490,7,86566,8,43283,9,173132,10,86566,29,86566,30,43283,11,20000,12,90,43,0,99,64924500,649245
5001,90,6,1353000,7,90200,8,45100,9,180400,10,90200,29,90200,30,45100,11,20000,12,90,43,0,99,67650000,676500
5001,91,6,1409820,7,93988,8,46994,9,187976,10,93988,29,93988,30,46994,11,20000,12,90,43,0,99,70491000,704910
5001,92,6,1469010,7,97934,8,48967,9,195868,10,97934,29,97934,30,48967,11,20000,12,90,43,0,99,73450500,734505
5001,93,6,1530690,7,102046,8,51023,9,204092,10,102046,29,102046,30,51023,11,20000,12,90,43,0,99,76534500,765345
5001,94,6,1594950,7,106330,8,53165,9,212660,10,106330,29,106330,30,53165,11,20000,12,90,43,0,99,79747500,797475
5001,95,6,1661910,7,110794,8,55397,9,221588,10,110794,29,110794,30,55397,11,20000,12,90,43,0,99,83095500,830955
5001,96,6,1731690,7,115446,8,57723,9,230892,10,115446,29,115446,30,57723,11,20000,12,90,43,0,99,86584500,865845
5001,97,6,1804410,7,120294,8,60147,9,240588,10,120294,29,120294,30,60147,11,20000,12,90,43,0,99,90220500,902205
5001,98,6,1880190,7,125346,8,62673,9,250692,10,125346,29,125346,30,62673,11,20000,12,90,43,0,99,94009500,940095
5001,99,6,1959150,7,130610,8,65305,9,261220,10,130610,29,130610,30,65305,11,20000,12,90,43,0,99,97957500,979575
5001,100,6,2041410,7,136094,8,68047,9,272188,10,136094,29,136094,30,68047,11,20000,12,90,43,0,99,102070500,1020705
5002,1,6,3300,7,220,8,100,9,440,10,200,29,220,30,100,11,20000,12,90,43,0,99,162000,1620
5002,2,6,3600,7,240,8,108,9,480,10,216,29,240,30,108,11,20000,12,90,43,0,99,176400,1764
5002,3,6,3800,7,260,8,116,9,510,10,232,29,260,30,116,11,20000,12,90,43,0,99,188300,1883
5002,4,6,4100,7,280,8,125,9,550,10,250,29,280,30,125,11,20000,12,90,43,0,99,203000,2030
5002,5,6,4500,7,300,8,135,9,590,10,270,29,300,30,135,11,20000,12,90,43,0,99,220000,2200
5002,6,6,4800,7,320,8,145,9,640,10,290,29,320,30,145,11,20000,12,90,43,0,99,235500,2355
5002,7,6,5100,7,340,8,156,9,690,10,312,29,340,30,156,11,20000,12,90,43,0,99,251300,2513
5002,8,6,5500,7,370,8,168,9,740,10,336,29,370,30,168,11,20000,12,90,43,0,99,271400,2714
5002,9,6,6000,7,400,8,181,9,800,10,362,29,400,30,181,11,20000,12,90,43,0,99,294300,2943
5002,10,6,6400,7,430,8,195,9,860,10,390,29,430,30,195,11,20000,12,90,43,0,99,315500,3155
5002,11,6,6900,7,460,8,210,9,920,10,420,29,460,30,210,11,20000,12,90,43,0,99,339000,3390
5002,12,6,7500,7,500,8,226,9,990,10,452,29,500,30,226,11,20000,12,90,43,0,99,367300,3673
5002,13,6,8100,7,540,8,244,9,1070,10,488,29,540,30,244,11,20000,12,90,43,0,99,396700,3967
5002,14,6,8700,7,580,8,263,9,1160,10,526,29,580,30,263,11,20000,12,90,43,0,99,426900,4269
5002,15,6,9400,7,620,8,284,9,1250,10,568,29,620,30,284,11,20000,12,90,43,0,99,459700,4597
5002,16,6,10100,7,670,8,306,9,1350,10,612,29,670,30,306,11,20000,12,90,43,0,99,495300,4953
5002,17,6,10900,7,730,8,330,9,1450,10,660,29,730,30,330,11,20000,12,90,43,0,99,535500,5355
5002,18,6,11700,7,780,8,356,9,1570,10,712,29,780,30,356,11,20000,12,90,43,0,99,575300,5753
5002,19,6,12700,7,840,8,384,9,1690,10,768,29,840,30,384,11,20000,12,90,43,0,99,621700,6217
5002,20,6,13700,7,910,8,414,9,1820,10,828,29,910,30,414,11,20000,12,90,43,0,99,671200,6712
5002,21,6,14800,7,980,8,447,9,1970,10,894,29,980,30,447,11,20000,12,90,43,0,99,724600,7246
5002,22,6,15900,7,1060,8,482,9,2120,10,964,29,1060,30,482,11,20000,12,90,43,0,99,780600,7806
5002,23,6,17200,7,1140,8,520,9,2290,10,1040,29,1140,30,520,11,20000,12,90,43,0,99,842500,8425
5002,24,6,18500,7,1230,8,561,9,2470,10,1122,29,1230,30,561,11,20000,12,90,43,0,99,907800,9078
5002,25,6,20000,7,1330,8,605,9,2660,10,1210,29,1330,30,605,11,20000,12,90,43,0,99,980500,9805
5002,26,6,21500,7,1440,8,653,9,2870,10,1306,29,1440,30,653,11,20000,12,90,43,0,99,1057400,10574
5002,27,6,23300,7,1550,8,705,9,3100,10,1410,29,1550,30,705,11,20000,12,90,43,0,99,1142500,11425
5002,28,6,25100,7,1670,8,761,9,3350,10,1522,29,1670,30,761,11,20000,12,90,43,0,99,1231800,12318
5002,29,6,27100,7,1810,8,821,9,3610,10,1642,29,1810,30,821,11,20000,12,90,43,0,99,1330800,13308
5002,30,6,29200,7,1950,8,886,9,3900,10,1772,29,1950,30,886,11,20000,12,90,43,0,99,1434800,14348
5002,31,6,31500,7,2100,8,956,9,4210,10,1912,29,2100,30,956,11,20000,12,90,43,0,99,1547300,15473
5002,32,6,34100,7,2270,8,1032,9,4540,10,2064,29,2270,30,1032,11,20000,12,90,43,0,99,1672600,16726
5002,33,6,36800,7,2450,8,1114,9,4900,10,2228,29,2450,30,1114,11,20000,12,90,43,0,99,1805200,18052
5002,34,6,39700,7,2650,8,1203,9,5290,10,2406,29,2650,30,1203,11,20000,12,90,43,0,99,1949400,19494
5002,35,6,42900,7,2860,8,1299,9,5720,10,2598,29,2860,30,1299,11,20000,12,90,43,0,99,2105700,21057
5002,36,6,46300,7,3080,8,1402,9,6170,10,2804,29,3080,30,1402,11,20000,12,90,43,0,99,2271100,22711
5002,37,6,50000,7,3330,8,1514,9,6660,10,3028,29,3330,30,1514,11,20000,12,90,43,0,99,2453200,24532
5002,38,6,54000,7,3600,8,1635,9,7190,10,3270,29,3600,30,1635,11,20000,12,90,43,0,99,2650000,26500
5002,39,6,58200,7,3880,8,1765,9,7770,10,3530,29,3880,30,1765,11,20000,12,90,43,0,99,2858000,28580
5002,40,6,62900,7,4190,8,1906,9,8390,10,3812,29,4190,30,1906,11,20000,12,90,43,0,99,3087300,30873
5002,41,6,67900,7,4530,8,2058,9,9060,10,4116,29,4530,30,2058,11,20000,12,90,43,0,99,3334400,33344
5002,42,6,73300,7,4890,8,2222,9,9780,10,4444,29,4890,30,2222,11,20000,12,90,43,0,99,3599600,35996
5002,43,6,79200,7,5280,8,2399,9,10560,10,4798,29,5280,30,2399,11,20000,12,90,43,0,99,3887700,38877
5002,44,6,85500,7,5700,8,2590,9,11400,10,5180,29,5700,30,2590,11,20000,12,90,43,0,99,4197000,41970
5002,45,6,92300,7,6150,8,2797,9,12310,10,5594,29,6150,30,2797,11,20000,12,90,43,0,99,4530600,45306
5002,46,6,99700,7,6640,8,3020,9,13290,10,6040,29,6640,30,3020,11,20000,12,90,43,0,99,4892500,48925
5002,47,6,107600,7,7170,8,3261,9,14350,10,6522,29,7170,30,3261,11,20000,12,90,43,0,99,5281800,52818
5002,48,6,116200,7,7750,8,3521,9,15490,10,7042,29,7750,30,3521,11,20000,12,90,43,0,99,5704800,57048
5002,49,6,125500,7,8360,8,3802,9,16730,10,7604,29,8360,30,3802,11,20000,12,90,43,0,99,6159100,61591
5002,50,6,135500,7,9030,8,4106,9,18070,10,8212,29,9030,30,4106,11,20000,12,90,43,0,99,6651300,66513
5002,51,6,146300,7,9750,8,4434,9,19510,10,8868,29,9750,30,4434,11,20000,12,90,43,0,99,7181700,71817
5002,52,6,158000,7,10530,8,4788,9,21070,10,9576,29,10530,30,4788,11,20000,12,90,43,0,99,7755900,77559
5002,53,6,170600,7,11380,8,5171,9,22750,10,10342,29,11380,30,5171,11,20000,12,90,43,0,99,8376800,83768
5002,54,6,184300,7,12280,8,5584,9,24570,10,11168,29,12280,30,5584,11,20000,12,90,43,0,99,9045700,90457
5002,55,6,199000,7,13270,8,6030,9,26530,10,12060,29,13270,30,6030,11,20000,12,90,43,0,99,9769500,97695
5002,56,6,214900,7,14330,8,6512,9,28650,10,13024,29,14330,30,6512,11,20000,12,90,43,0,99,10550100,105501
5002,57,6,232100,7,15470,8,7032,9,30940,10,14064,29,15470,30,7032,11,20000,12,90,43,0,99,11392600,113926
5002,58,6,250600,7,16710,8,7594,9,33410,10,15188,29,16710,30,7594,11,20000,12,90,43,0,99,12302700,123027
5002,59,6,270600,7,18040,8,8201,9,36080,10,16402,29,18040,30,8201,11,20000,12,90,43,0,99,13284300,132843
5002,60,6,292300,7,19490,8,8857,9,38970,10,17714,29,19490,30,8857,11,20000,12,90,43,0,99,14349600,143496
5002,61,6,315600,7,21040,8,9565,9,42090,10,19130,29,21040,30,9565,11,20000,12,90,43,0,99,15494000,154940
5002,62,6,340900,7,22730,8,10330,9,45450,10,20660,29,22730,30,10330,11,20000,12,90,43,0,99,16735500,167355
5002,63,6,368100,7,24540,8,11156,9,49090,10,22312,29,24540,30,11156,11,20000,12,90,43,0,99,18071300,180713
5002,64,6,397600,7,26510,8,12048,9,53010,10,24096,29,26510,30,12048,11,20000,12,90,43,0,99,19518900,195189
5002,65,6,429400,7,28620,8,13011,9,57250,10,26022,29,28620,30,13011,11,20000,12,90,43,0,99,21077800,210778
5002,66,6,463700,7,30910,8,14051,9,61820,10,28102,29,30910,30,14051,11,20000,12,90,43,0,99,22762300,227623
5002,67,6,500800,7,33390,8,15175,9,66770,10,30350,29,33390,30,15175,11,20000,12,90,43,0,99,24585000,245850
5002,68,6,540800,7,36060,8,16389,9,72110,10,32778,29,36060,30,16389,11,20000,12,90,43,0,99,26550200,265502
5002,69,6,584100,7,38940,8,17700,9,77880,10,35400,29,38940,30,17700,11,20000,12,90,43,0,99,28674000,286740
5002,70,6,630800,7,42060,8,19116,9,84110,10,38232,29,42060,30,19116,11,20000,12,90,43,0,99,30968300,309683
5002,71,6,681300,7,45420,8,20645,9,90840,10,41290,29,45420,30,20645,11,20000,12,90,43,0,99,33445500,334455
5002,72,6,709900,7,47330,8,21512,9,94650,10,43024,29,47330,30,21512,11,20000,12,90,43,0,99,34850100,348501
5002,73,6,739700,7,49310,8,22415,9,98630,10,44830,29,49310,30,22415,11,20000,12,90,43,0,99,36312000,363120
5002,74,6,770700,7,51380,8,23356,9,102770,10,46712,29,51380,30,23356,11,20000,12,90,43,0,99,37835300,378353
5002,75,6,803100,7,53540,8,24336,9,107080,10,48672,29,53540,30,24336,11,20000,12,90,43,0,99,39424800,394248
5002,76,6,836800,7,55790,8,25358,9,111580,10,50716,29,55790,30,25358,11,20000,12,90,43,0,99,41080400,410804
5002,77,6,872000,7,58130,8,26423,9,116260,10,52846,29,58130,30,26423,11,20000,12,90,43,0,99,42805900,428059
5002,78,6,908600,7,60570,8,27532,9,121140,10,55064,29,60570,30,27532,11,20000,12,90,43,0,99,44602600,446026
5002,79,6,946700,7,63110,8,28688,9,126230,10,57376,29,63110,30,28688,11,20000,12,90,43,0,99,46473900,464739
5002,80,6,986400,7,65760,8,29892,9,131520,10,59784,29,65760,30,29892,11,20000,12,90,43,0,99,48423600,484236
5002,81,6,1027900,7,68520,8,31147,9,137050,10,62294,29,68520,30,31147,11,20000,12,90,43,0,99,50458600,504586
5002,82,6,1071000,7,71400,8,32455,9,142800,10,64910,29,71400,30,32455,11,20000,12,90,43,0,99,52576500,525765
5002,83,6,1116000,7,74400,8,33818,9,148800,10,67636,29,74400,30,33818,11,20000,12,90,43,0,99,54785400,547854
5002,84,6,1162900,7,77520,8,35238,9,155050,10,70476,29,77520,30,35238,11,20000,12,90,43,0,99,57085900,570859
5002,85,6,1211700,7,80780,8,36717,9,161550,10,73434,29,80780,30,36717,11,20000,12,90,43,0,99,59482600,594826
5002,86,6,1262500,7,84170,8,38259,9,168340,10,76518,29,84170,30,38259,11,20000,12,90,43,0,99,61978700,619787
5002,87,6,1315500,7,87700,8,39865,9,175410,10,79730,29,87700,30,39865,11,20000,12,90,43,0,99,64580000,645800
5002,88,6,1370800,7,91390,8,41539,9,182770,10,83078,29,91390,30,41539,11,20000,12,90,43,0,99,67294200,672942
5002,89,6,1428300,7,95220,8,43283,9,190450,10,86566,29,95220,30,43283,11,20000,12,90,43,0,99,70117400,701174
5002,90,6,1488300,7,99220,8,45100,9,198440,10,90200,29,99220,30,45100,11,20000,12,90,43,0,99,73062000,730620
5002,91,6,1550800,7,103390,8,46994,9,206770,10,93988,29,103390,30,46994,11,20000,12,90,43,0,99,76130700,761307
5002,92,6,1615900,7,107730,8,48967,9,215450,10,97934,29,107730,30,48967,11,20000,12,90,43,0,99,79326600,793266
5002,93,6,1683800,7,112250,8,51023,9,224500,10,102046,29,112250,30,51023,11,20000,12,90,43,0,99,82657900,826579
5002,94,6,1754400,7,116960,8,53165,9,233930,10,106330,29,116960,30,53165,11,20000,12,90,43,0,99,86126000,861260
5002,95,6,1828100,7,121870,8,55397,9,243750,10,110794,29,121870,30,55397,11,20000,12,90,43,0,99,89742600,897426
5002,96,6,1904900,7,126990,8,57723,9,253980,10,115446,29,126990,30,57723,11,20000,12,90,43,0,99,93511900,935119
5002,97,6,1984900,7,132320,8,60147,9,264650,10,120294,29,132320,30,60147,11,20000,12,90,43,0,99,97438600,974386
5002,98,6,2068200,7,137880,8,62673,9,275760,10,125346,29,137880,30,62673,11,20000,12,90,43,0,99,101529900,1015299
5002,99,6,2155100,7,143670,8,65305,9,287340,10,130610,29,143670,30,65305,11,20000,12,90,43,0,99,105794500,1057945
5002,100,6,2245600,7,149700,8,68047,9,299410,10,136094,29,149700,30,68047,11,20000,12,90,43,0,99,110236600,1102366
5003,1,6,3600,7,240,8,100,9,480,10,200,29,240,30,100,11,20000,12,90,43,0,99,174000,1740
5003,2,6,4000,7,260,8,108,9,530,10,216,29,260,30,108,11,20000,12,90,43,0,99,190900,1909
5003,3,6,4200,7,290,8,116,9,560,10,232,29,290,30,116,11,20000,12,90,43,0,99,204800,2048
5003,4,6,4500,7,310,8,125,9,610,10,250,29,310,30,125,11,20000,12,90,43,0,99,220000,2200
5003,5,6,5000,7,330,8,135,9,650,10,270,29,330,30,135,11,20000,12,90,43,0,99,239000,2390
5003,6,6,5300,7,350,8,145,9,700,10,290,29,350,30,145,11,20000,12,90,43,0,99,254500,2545
5003,7,6,5600,7,370,8,156,9,760,10,312,29,370,30,156,11,20000,12,90,43,0,99,270800,2708
5003,8,6,6100,7,410,8,168,9,810,10,336,29,410,30,168,11,20000,12,90,43,0,99,294900,2949
5003,9,6,6600,7,440,8,181,9,880,10,362,29,440,30,181,11,20000,12,90,43,0,99,318300,3183
5003,10,6,7000,7,470,8,195,9,950,10,390,29,470,30,195,11,20000,12,90,43,0,99,340000,3400
5003,11,6,7600,7,510,8,210,9,1010,10,420,29,510,30,210,11,20000,12,90,43,0,99,367500,3675
5003,12,6,8300,7,550,8,226,9,1090,10,452,29,550,30,226,11,20000,12,90,43,0,99,398300,3983
5003,13,6,8900,7,590,8,244,9,1180,10,488,29,590,30,244,11,20000,12,90,43,0,99,428200,4282
5003,14,6,9600,7,640,8,263,9,1280,10,526,29,640,30,263,11,20000,12,90,43,0,99,462900,4629
5003,15,6,10300,7,680,8,284,9,1380,10,568,29,680,30,284,11,20000,12,90,43,0,99,496200,4962
5003,16,6,11100,7,740,8,306,9,1490,10,612,29,740,30,306,11,20000,12,90,43,0,99,536300,5363
5003,17,6,12000,7,800,8,330,9,1600,10,660,29,800,30,330,11,20000,12,90,43,0,99,579000,5790
5003,18,6,12900,7,860,8,356,9,1730,10,712,29,860,30,356,11,20000,12,90,43,0,99,623300,6233
5003,19,6,14000,7,920,8,384,9,1860,10,768,29,920,30,384,11,20000,12,90,43,0,99,672200,6722
5003,20,6,15100,7,1000,8,414,9,2000,10,828,29,1000,30,414,11,20000,12,90,43,0,99,726200,7262
5003,21,6,16300,7,1080,8,447,9,2170,10,894,29,1080,30,447,11,20000,12,90,43,0,99,784600,7846
5003,22,6,17500,7,1170,8,482,9,2330,10,964,29,1170,30,482,11,20000,12,90,43,0,99,845100,8451
5003,23,6,18900,7,1250,8,520,9,2520,10,1040,29,1250,30,520,11,20000,12,90,43,0,99,910000,9100
5003,24,6,20400,7,1350,8,561,9,2720,10,1122,29,1350,30,561,11,20000,12,90,43,0,99,982300,9823
5003,25,6,22000,7,1460,8,605,9,2930,10,1210,29,1460,30,605,11,20000,12,90,43,0,99,1060000,10600
5003,26,6,23700,7,1580,8,653,9,3160,10,1306,29,1580,30,653,11,20000,12,90,43,0,99,1143900,11439
5003,27,6,25600,7,1710,8,705,9,3410,10,1410,29,1710,30,705,11,20000,12,90,43,0,99,1236000,12360
5003,28,6,27600,7,1840,8,761,9,3690,10,1522,29,1840,30,761,11,20000,12,90,43,0,99,1332800,13328
5003,29,6,29800,7,1990,8,821,9,3970,10,1642,29,1990,30,821,11,20000,12,90,43,0,99,1438800,14388
