ordernumber,taskid,taskname,level,checkpoint,pretask,uicontent,content,tasktypes,n1,n2,n3,n4,tasktypes2,itemid,numberofcycles,reward1,number1,reward2,number2,reward3,number3,iconid,taskindexes,taskindexes2
100029,122008,剧情章节,1,0,122007,默认开启,通关剧情第8章,186,1,110810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100030,122009,剧情章节,1,0,122008,默认开启,通关剧情第9章,186,1,110910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100031,122010,剧情章节,1,0,122009,默认开启,通关剧情第10章,186,1,111010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100032,122011,剧情章节,1,0,122010,默认开启,通关剧情第11章,186,1,111110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100033,122012,剧情章节,1,0,122011,默认开启,通关剧情第12章,186,1,111210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100034,122013,剧情章节,1,0,122012,默认开启,通关剧情第13章,186,1,111310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100035,122014,剧情章节,1,0,122013,默认开启,通关剧情第14章,186,1,111410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100036,122015,剧情章节,1,0,122014,默认开启,通关剧情第15章,186,1,111510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100037,122016,剧情章节,1,0,122015,默认开启,通关剧情第16章,186,1,111610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100038,122017,剧情章节,1,0,122016,默认开启,通关剧情第17章,186,1,111710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100039,122018,剧情章节,1,0,122017,默认开启,通关剧情第18章,186,1,111810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100040,122019,剧情章节,1,0,122018,默认开启,通关剧情第19章,186,1,111910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100041,122020,剧情章节,1,0,122019,默认开启,通关剧情第20章,186,1,112010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100042,122021,剧情章节,1,0,122020,默认开启,通关剧情第21章,186,1,112110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100043,122022,剧情章节,1,0,122021,默认开启,通关剧情第22章,186,1,112210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100044,122023,剧情章节,1,0,122022,默认开启,通关剧情第23章,186,1,112310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100045,122024,剧情章节,1,0,122023,默认开启,通关剧情第24章,186,1,112410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100046,122025,剧情章节,1,0,122024,默认开启,通关剧情第25章,186,1,112510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100047,122026,剧情章节,1,0,122025,默认开启,通关剧情第26章,186,1,112610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100048,122027,剧情章节,1,0,122026,默认开启,通关剧情第27章,186,1,112710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100049,122028,剧情章节,1,0,122027,默认开启,通关剧情第28章,186,1,112810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100050,122029,剧情章节,1,0,122028,默认开启,通关剧情第29章,186,1,112910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100051,122030,剧情章节,1,0,122029,默认开启,通关剧情第30章,186,1,113010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100052,122031,剧情章节,1,0,122030,默认开启,通关剧情第31章,186,1,113110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100053,122032,剧情章节,1,0,122031,默认开启,通关剧情第32章,186,1,113210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100054,122033,剧情章节,1,0,122032,默认开启,通关剧情第33章,186,1,113310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100055,122034,剧情章节,1,0,122033,默认开启,通关剧情第34章,186,1,113410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100056,122035,剧情章节,1,0,122034,默认开启,通关剧情第35章,186,1,113510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100057,122036,剧情章节,1,0,122035,默认开启,通关剧情第36章,186,1,113610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100058,122037,剧情章节,1,0,122036,默认开启,通关剧情第37章,186,1,113710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100059,122038,剧情章节,1,0,122037,默认开启,通关剧情第38章,186,1,113810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100060,122039,剧情章节,1,0,122038,默认开启,通关剧情第39章,186,1,113910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100061,122040,剧情章节,1,0,122039,默认开启,通关剧情第40章,186,1,114010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100062,122041,剧情章节,1,0,122040,默认开启,通关剧情第41章,186,1,114110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100063,122042,剧情章节,1,0,122041,默认开启,通关剧情第42章,186,1,114210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100064,122043,剧情章节,1,0,122042,默认开启,通关剧情第43章,186,1,114310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100065,122044,剧情章节,1,0,122043,默认开启,通关剧情第44章,186,1,114410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100066,122045,剧情章节,1,0,122044,默认开启,通关剧情第45章,186,1,114510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100067,122046,剧情章节,1,0,122045,默认开启,通关剧情第46章,186,1,114610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100068,122047,剧情章节,1,0,122046,默认开启,通关剧情第47章,186,1,114710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100069,122048,剧情章节,1,0,122047,默认开启,通关剧情第48章,186,1,114810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100070,122049,剧情章节,1,0,122048,默认开启,通关剧情第49章,186,1,114910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100071,122050,剧情章节,1,0,122049,默认开启,通关剧情第50章,186,1,115010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100072,122051,剧情章节,1,0,122050,默认开启,通关剧情第51章,186,1,115110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100073,122052,剧情章节,1,0,122051,默认开启,通关剧情第52章,186,1,115210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100074,122053,剧情章节,1,0,122052,默认开启,通关剧情第53章,186,1,115310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100075,122054,剧情章节,1,0,122053,默认开启,通关剧情第54章,186,1,115410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100076,122055,剧情章节,1,0,122054,默认开启,通关剧情第55章,186,1,115510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100077,122056,剧情章节,1,0,122055,默认开启,通关剧情第56章,186,1,115610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100078,122057,剧情章节,1,0,122056,默认开启,通关剧情第57章,186,1,115710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100079,122058,剧情章节,1,0,122057,默认开启,通关剧情第58章,186,1,115810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100080,122059,剧情章节,1,0,122058,默认开启,通关剧情第59章,186,1,115910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100081,122060,剧情章节,1,0,122059,默认开启,通关剧情第60章,186,1,116010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100082,122061,剧情章节,1,0,122060,默认开启,通关剧情第61章,186,1,116110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100083,122062,剧情章节,1,0,122061,默认开启,通关剧情第62章,186,1,116210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100084,122063,剧情章节,1,0,122062,默认开启,通关剧情第63章,186,1,116310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100085,122064,剧情章节,1,0,122063,默认开启,通关剧情第64章,186,1,116410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100086,122065,剧情章节,1,0,122064,默认开启,通关剧情第65章,186,1,116510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100087,122066,剧情章节,1,0,122065,默认开启,通关剧情第66章,186,1,116610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100088,122067,剧情章节,1,0,122066,默认开启,通关剧情第67章,186,1,116710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100089,122068,剧情章节,1,0,122067,默认开启,通关剧情第68章,186,1,116810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100090,122069,剧情章节,1,0,122068,默认开启,通关剧情第69章,186,1,116910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100091,122070,剧情章节,1,0,122069,默认开启,通关剧情第70章,186,1,117010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100092,122071,剧情章节,1,0,122070,默认开启,通关剧情第71章,186,1,117110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100093,122072,剧情章节,1,0,122071,默认开启,通关剧情第72章,186,1,117210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100094,122073,剧情章节,1,0,122072,默认开启,通关剧情第73章,186,1,117310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100095,122074,剧情章节,1,0,122073,默认开启,通关剧情第74章,186,1,117410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100096,122075,剧情章节,1,0,122074,默认开启,通关剧情第75章,186,1,117510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100097,122076,剧情章节,1,0,122075,默认开启,通关剧情第76章,186,1,117610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100098,122077,剧情章节,1,0,122076,默认开启,通关剧情第77章,186,1,117710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100099,122078,剧情章节,1,0,122077,默认开启,通关剧情第78章,186,1,117810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100100,122079,剧情章节,1,0,122078,默认开启,通关剧情第79章,186,1,117910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100101,122080,剧情章节,1,0,122079,默认开启,通关剧情第80章,186,1,118010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100102,122081,剧情章节,1,0,122080,默认开启,通关剧情第81章,186,1,118110,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100103,122082,剧情章节,1,0,122081,默认开启,通关剧情第82章,186,1,118210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100104,122083,剧情章节,1,0,122082,默认开启,通关剧情第83章,186,1,118310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100105,122084,剧情章节,1,0,122083,默认开启,通关剧情第84章,186,1,118410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100106,122085,剧情章节,1,0,122084,默认开启,通关剧情第85章,186,1,118510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100107,122086,剧情章节,1,0,122085,默认开启,通关剧情第86章,186,1,118610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100108,122087,剧情章节,1,0,122086,默认开启,通关剧情第87章,186,1,118710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100109,122088,剧情章节,1,0,122087,默认开启,通关剧情第88章,186,1,118810,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100110,122089,剧情章节,1,0,122088,默认开启,通关剧情第89章,186,1,118910,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100111,122090,剧情章节,1,0,122089,默认开启,通关剧情第90章,186,1,119010,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100112,136001,拥有巨兽,0,110305,0,巨兽,拥有1个荒野巨兽,224,1,1,0,0,0,0,0,91000002,50,91000001,10000,0,0,0,"ui_mgr.openUI( ""big_beastUI"" )",0
100113,136002,拥有巨兽,0,110305,0,巨兽,拥有1个精英巨兽,224,1,2,0,0,0,0,0,91000002,100,91000001,20000,0,0,0,"ui_mgr.openUI( ""big_beastUI"", enOpenUIType.EUIT_ListType, { index = 2 }  )",0
100114,136003,拥有巨兽,0,110305,0,巨兽,拥有1个稀有巨兽,224,1,3,0,0,0,0,0,91000002,150,91000001,30000,0,0,0,"ui_mgr.openUI( ""big_beastUI"", enOpenUIType.EUIT_ListType, { index = 3 }  )",0
100115,136004,拥有巨兽,0,110305,0,巨兽,拥有1个史诗巨兽,224,1,4,0,0,0,0,0,91000002,200,91000001,40000,0,0,0,"ui_mgr.openUI( ""big_beastUI"", enOpenUIType.EUIT_ListType, { index = 4 }  )",0
100116,136005,拥有巨兽,0,110305,0,巨兽,拥有1个传说巨兽,224,1,5,0,0,0,0,0,91000002,300,91000001,50000,0,0,0,"ui_mgr.openUI( ""big_beastUI"", enOpenUIType.EUIT_ListType, { index = 5 }  )",0
100117,136006,拥有巨兽,0,110305,0,巨兽,拥有1个神使巨兽,224,1,6,0,0,0,0,0,91000002,400,91000001,60000,0,0,0,"ui_mgr.openUI( ""big_beastUI"", enOpenUIType.EUIT_ListType, { index = 6 }  )",0
100118,136007,拥有巨兽,0,110305,0,巨兽,拥有1个半神巨兽,224,1,7,0,0,0,0,0,91000002,500,91000001,70000,0,0,0,"ui_mgr.openUI( ""big_beastUI"", enOpenUIType.EUIT_ListType, { index = 7 }  )",0
100119,123001,地下城,0,110405,0,地下城,通关地下城第1章,187,1,200104,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100120,123002,地下城,0,110405,123001,地下城,通关地下城第2章,187,1,200204,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100121,123003,地下城,0,110405,123002,地下城,通关地下城第3章,187,1,200304,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100122,123004,地下城,0,110405,123003,地下城,通关地下城第4章,187,1,200404,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100123,123005,地下城,0,110405,123004,地下城,通关地下城第5章,187,1,200504,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100124,123006,地下城,0,110405,123005,地下城,通关地下城第6章,187,1,200604,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100125,123007,地下城,0,110405,123006,地下城,通关地下城第7章,187,1,200704,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100126,123008,地下城,0,110405,123007,地下城,通关地下城第8章,187,1,200804,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100127,123009,地下城,0,110405,123008,地下城,通关地下城第9章,187,1,200904,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100128,123010,地下城,0,110405,123009,地下城,通关地下城第10章,187,1,201004,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100129,123011,地下城,0,110405,123010,地下城,通关地下城第11章,187,1,201104,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100130,123012,地下城,0,110405,123011,地下城,通关地下城第12章,187,1,201204,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100131,123013,地下城,0,110405,123012,地下城,通关地下城第13章,187,1,201304,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100132,123014,地下城,0,110405,123013,地下城,通关地下城第14章,187,1,201404,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100133,123015,地下城,0,110405,123014,地下城,通关地下城第15章,187,1,201504,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_dungeons.openDungeonsView()  ,0
100134,125001,魔龙洞窟,0,110508,0,魔龙洞窟,通关魔龙洞窟第1章,189,1,6,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_gemInstance.gemStoneInfo(),0
100135,125002,魔龙洞窟,0,110508,125001,魔龙洞窟,通关魔龙洞窟第2章,189,1,12,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_gemInstance.gemStoneInfo(),0
100136,125003,魔龙洞窟,0,110508,125002,魔龙洞窟,通关魔龙洞窟第3章,189,1,18,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_gemInstance.gemStoneInfo(),0
100137,125004,魔龙洞窟,0,110508,125003,魔龙洞窟,通关魔龙洞窟第4章,189,1,24,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_gemInstance.gemStoneInfo(),0
100138,125005,魔龙洞窟,0,110508,125004,魔龙洞窟,通关魔龙洞窟第5章,189,1,30,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_gemInstance.gemStoneInfo(),0
100139,125006,魔龙洞窟,0,110508,125005,魔龙洞窟,通关魔龙洞窟第6章,189,1,36,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,mod_gemInstance.gemStoneInfo(),0
100140,118001,深渊矿井,0,110605,0,每日试炼,通关深渊矿井普通难度,155,1,1,2,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
100141,118002,深渊矿井,0,110605,118001,每日试炼,通关深渊矿井困难难度,155,1,1,3,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
100142,118003,深渊矿井,0,110605,118002,每日试炼,通关深渊矿井专家难度,155,1,1,4,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
100143,118004,深渊矿井,0,110605,118003,每日试炼,通关深渊矿井大师难度,155,1,1,5,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
100144,118005,深渊矿井,0,110605,118004,每日试炼,通关深渊矿井王者难度,155,1,1,6,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
100145,118006,深渊矿井,0,110605,118005,每日试炼,通关深渊矿井地狱难度,155,1,1,7,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
100146,118007,深渊矿井,0,110605,118006,每日试炼,通关深渊矿井噩梦难度,155,1,1,8,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""trialUI"")",0
