level,wave,id,name,type,arms,introduce,dps,tips,picture,icon,itemcheek
2000000,1,1205,横江射手,2,1,每次攻击降低目标5%攻速(可叠加),0,降低攻速,1205,icon_archer_5,5
2000000,1,2104,宿卫虎骑,2,2,"强化皮肤,周期性的生成一个吸收伤害的护盾.",0,吸收护盾,2104,icon_knight_4,5
2000000,1,2204,飞熊军,2,2,"撕裂目标伤口,使其受到的伤害提高.(可叠加)",0,伤害叠加,2204,icon_knight_10,5
2000000,5,3006,孙权,1,1,必杀强化全体友军的各项属性.,群体强化,孙权,3006,icon_knight_7,14
2000000,3,1008,黄月英,1,2,"必杀技禁锢并伤害目标,同时恢复自己的兵力.",单体吸血,黄月英,1008,icon_archer_6,14
2000000,1,3103,藤甲兵,2,3,"鼓舞军心,周期性的大幅提高附近友军生命上限.",0,兵力提升,3103,icon_footman_9,5
2000000,3,1004,赵云,1,2,各方面能力都很均衡不论打一个还是打一群都能造成稳定的伤害.,全屏爆发,赵云,1004,icon_knight_7,14
2000000,1,3206,大戟士,2,3,"使用特质的武器,受到伤害的目标会损失怒气.",0,群体减怒,3206,icon_footman_6,5
2000000,3,1007,庞统,1,1,"有较高的远程暴击生存能力高,阵亡后可涅槃重生.",范围爆发,庞统,1007,icon_archer_1,14
2000000,5,1010,孙尚香,1,2,"投掷出武器,对面前扇形范围内所有目标造成伤害.",范围伤害,孙尚香,1010,icon_knight_2,14
2000000,1,2006,曹仁,1,3,"大招给予所有友军护盾,抵御大量伤害.",辅助型肉盾,曹仁,2006,icon_footman_6,14
2000000,1,92,冲车,2,0,"攻城单位,移动缓慢,可对目标造成巨额伤害.",0,输出器械,5005,icon_archer_1,9
2000000,1,93,据马,2,0,"防御设施,当其受到伤害时,可对攻击者造成伤害.",0,防御器械,5005,icon_footman_6,9
2000000,1,1106,无当飞军,2,1,"使用复合弩,强大的张力使得,箭矢可以穿透目标.",0,远程贯穿,1106,icon_archer_12,5
2000000,1,2205,并州狼骑,2,2,"鼓舞军心,周期性的大幅提高附近友军攻击强度.(可叠加)",0,群体强化,2205,icon_knight_11,5
2000000,1,3200,象兵,2,2,"高大的象兵,仿佛可以用身躯碾压一切.",0,近战输出,3200,icon_footman_1,2
2000000,1,5004,城门,2,1,"坚硬的城墙,周期性随意攻击一名敌人",0,城门,5004,icon_archer_1,20
2000000,1,3101,南蛮步兵,2,3,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,前排肉盾,3101,icon_footman_7,1
2000000,1,1201,南蛮射手,2,1,"初级的远程单位,攻击间隔短,伤害高.",0,远程输出,1201,icon_archer_1,1
2000000,3,1009,刘备,1,2,"必杀使友军平摊伤害,并减少受到的伤害.",群体减伤,刘备,1009,icon_knight_7,14
2000000,1,2004,蔡文姬,1,2,"各项属性均衡,必杀能给予全体队友护盾.",群体护盾,蔡文姬,2004,icon_knight_7,14
2000000,3,2009,曹操,1,3,"远程类武将的领袖,拥有强大的持续攻击能力.",范围沉默,曹操,2009,icon_knight_7,14
2000000,1,3001,高顺,1,3,"强化自身,短时间内自身格挡提高100%.",纯肉盾,高顺,3001,icon_footman_6,14
2000000,1,4006,贾诩,1,1,必杀能强化一名近战伤害最高的友军.,单体强化,贾诩,4006,icon_archer_1,14
2000000,1,3201,南蛮步兵,2,1,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,法术输出,3201,icon_footman_7,2
2000000,1,3301,南蛮步兵,2,1,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,远程输出,3301,icon_footman_7,2
2000000,1,1101,南蛮步兵,2,3,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,前排肉盾,1101,icon_footman_7,2
2000000,1,1301,南蛮步兵,2,1,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,远程输出,1301,icon_footman_7,2
2000000,1,2101,南蛮步兵,2,3,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,前排肉盾,2101,icon_footman_7,2
2000000,1,2201,南蛮步兵,2,1,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,法术输出,2201,icon_footman_7,2
2000000,1,2301,南蛮步兵,2,1,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,远程输出,2301,icon_footman_7,2
