id,worldlv,npclv,ragerate,cablerange,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
30,39,39,3000,1000,11,20000,12,400,6,45207,7,6462,8,300,9,12924,10,600,29,6462,30,300,0,0,99,2933000
31,40,40,3000,1000,11,20000,12,400,6,46606,7,6629,8,310,9,13258,10,620,29,6629,30,310,0,0,99,3014000
32,41,41,3000,1000,11,20000,12,400,6,48005,7,6795,8,320,9,13590,10,640,29,6795,30,320,0,0,99,3095000
33,42,42,3000,1000,11,20000,12,400,6,49402,7,6963,8,330,9,13926,10,660,29,6963,30,330,0,0,99,3176000
34,43,43,3000,1000,11,20000,12,400,6,53901,7,7621,8,340,9,15242,10,680,29,7621,30,340,0,0,99,3466000
35,44,44,3000,1000,11,20000,12,400,6,55969,7,7855,8,350,9,15710,10,700,29,7855,30,350,0,0,99,3581000
36,45,45,3000,1000,11,20000,12,400,6,58036,7,8089,8,360,9,16178,10,720,29,8089,30,360,0,0,99,3695000
37,46,46,3000,1000,11,20000,12,400,6,61598,7,8547,8,370,9,17094,10,740,29,8547,30,370,0,0,99,3907000
38,47,47,3000,1000,11,20000,12,400,6,63666,7,8780,8,380,9,17560,10,760,29,8780,30,380,0,0,99,4021000
39,48,48,3000,1000,11,20000,12,400,6,68569,7,9864,8,390,9,19728,10,780,29,9864,30,390,0,0,99,4448000
40,49,49,3000,1000,11,20000,12,400,6,70772,7,10118,8,400,9,20236,10,800,29,10118,30,400,0,0,99,4571000
41,50,50,3000,1000,11,20000,12,400,6,72974,7,10372,8,410,9,20744,10,820,29,10372,30,410,0,0,99,4694000
42,51,51,3000,1000,11,20000,12,400,6,75177,7,10626,8,420,9,21252,10,840,29,10626,30,420,0,0,99,4817000
43,52,52,3000,1000,11,20000,12,400,6,77380,7,10879,8,430,9,21758,10,860,29,10879,30,430,0,0,99,4940000
44,53,53,3000,1000,11,20000,12,400,6,82013,7,11557,8,440,9,23114,10,880,29,11557,30,440,0,0,99,5239000
45,54,54,3000,1000,11,20000,12,400,6,84216,7,11811,8,450,9,23622,10,900,29,11811,30,450,0,0,99,5363000
46,55,55,3000,1000,11,20000,12,400,6,86418,7,12065,8,460,9,24130,10,920,29,12065,30,460,0,0,99,5486000
47,56,56,3000,1000,11,20000,12,400,6,90117,7,12542,8,470,9,25084,10,940,29,12542,30,470,0,0,99,5706000
48,57,57,3000,1000,11,20000,12,400,6,92319,7,12796,8,480,9,25592,10,960,29,12796,30,480,0,0,99,5829000
49,58,58,3000,1000,11,20000,12,400,6,96952,7,13475,8,490,9,26950,10,980,29,13475,30,490,0,0,99,6129000
50,59,59,3000,1000,11,20000,12,400,6,99290,7,13750,8,500,9,27500,10,1000,29,13750,30,500,0,0,99,6261000
51,60,60,3000,1000,11,20000,12,400,6,101628,7,14023,8,510,9,28046,10,1020,29,14023,30,510,0,0,99,6392000
52,61,61,3000,1000,11,20000,12,400,6,103966,7,14298,8,520,9,28596,10,1040,29,14298,30,520,0,0,99,6525000
53,62,62,3000,1000,11,20000,12,400,6,106303,7,14572,8,530,9,29144,10,1060,29,14572,30,530,0,0,99,6657000
54,63,63,3000,1000,11,20000,12,400,6,117288,7,12771,8,540,9,25542,10,1080,29,12771,30,540,0,0,99,6339000
55,64,64,3000,1000,11,20000,12,400,6,119671,7,12930,8,550,9,25860,10,1100,29,12930,30,550,0,0,99,6437000
56,65,65,3000,1000,11,20000,12,400,6,125042,7,13538,8,560,9,27076,10,1120,29,13538,30,560,0,0,99,6730000
57,66,66,3000,1000,11,20000,12,400,6,127425,7,13698,8,570,9,27396,10,1140,29,13698,30,570,0,0,99,6829000
58,67,67,3000,1000,11,20000,12,400,6,129807,7,13857,8,580,9,27714,10,1160,29,13857,30,580,0,0,99,6927000
59,68,68,3000,1000,11,20000,12,400,6,135171,7,14519,8,590,9,29038,10,1180,29,14519,30,590,0,0,99,7236000
60,69,69,3000,1000,11,20000,12,400,6,137555,7,14679,8,600,9,29358,10,1200,29,14679,30,600,0,0,99,7335000
61,70,70,3000,1000,11,20000,12,400,6,140072,7,14861,8,610,9,29722,10,1220,29,14861,30,610,0,0,99,7443000
62,71,71,3000,1000,11,20000,12,400,6,142590,7,15044,8,620,9,30088,10,1240,29,15044,30,620,0,0,99,7551000
63,72,72,3000,1000,11,20000,12,400,6,144439,7,15227,8,630,9,30454,10,1260,29,15227,30,630,0,0,99,7646000
64,73,73,3000,1000,11,20000,12,400,6,149267,7,15912,8,640,9,31824,10,1280,29,15912,30,640,0,0,99,7951000
65,74,74,3000,1000,11,20000,12,400,6,154105,7,16542,8,650,9,33084,10,1300,29,16542,30,650,0,0,99,8240000
66,75,75,3000,1000,11,20000,12,400,6,155953,7,16725,8,660,9,33450,10,1320,29,16725,30,660,0,0,99,8335000
67,76,76,3000,1000,11,20000,12,400,6,157802,7,16908,8,670,9,33816,10,1340,29,16908,30,670,0,0,99,8429000
68,77,77,3000,1000,11,20000,12,400,6,159651,7,17091,8,680,9,34182,10,1360,29,17091,30,680,0,0,99,8524000
69,78,78,3000,1000,11,20000,12,400,6,164479,7,17776,8,690,9,35552,10,1380,29,17776,30,690,0,0,99,8829000
70,79,79,3000,1000,11,20000,12,400,6,166328,7,17959,8,700,9,35918,10,1400,29,17959,30,700,0,0,99,8924000
71,80,80,3000,1000,11,20000,12,400,6,168176,7,18142,8,710,9,36284,10,1420,29,18142,30,710,0,0,99,9019000
72,81,81,3000,1000,11,20000,12,400,6,170162,7,18348,8,720,9,36696,10,1440,29,18348,30,720,0,0,99,9124000
73,82,82,3000,1000,11,20000,12,400,6,172147,7,18554,8,730,9,37108,10,1460,29,18554,30,730,0,0,99,9228000
74,83,83,3000,1000,11,20000,12,400,6,182681,7,19863,8,740,9,39726,10,1480,29,19863,30,740,0,0,99,9835000
75,84,84,3000,1000,11,20000,12,400,6,186185,7,20295,8,750,9,40590,10,1500,29,20295,30,750,0,0,99,10037000
76,85,85,3000,1000,11,20000,12,400,6,188196,7,20504,8,760,9,41008,10,1520,29,20504,30,760,0,0,99,10143000
77,86,86,3000,1000,11,20000,12,400,6,190206,7,20713,8,770,9,41426,10,1540,29,20713,30,770,0,0,99,10249000
78,87,87,3000,1000,11,20000,12,400,6,192217,7,20922,8,780,9,41844,10,1560,29,20922,30,780,0,0,99,10355000
79,88,88,3000,1000,11,20000,12,400,6,197704,7,21717,8,790,9,43434,10,1580,29,21717,30,790,0,0,99,10706000
80,89,89,3000,1000,11,20000,12,400,6,199715,7,21926,8,800,9,43852,10,1600,29,21926,30,800,0,0,99,10812000
81,90,90,3000,1000,11,20000,12,400,6,201726,7,22135,8,810,9,44270,10,1620,29,22135,30,810,0,0,99,10918000
