id,group,points,award1,num1,award2,num2,award3,num3,award4,num4,describe
25,10003,2000,12100401,20,60000200,30,80000011,30,30101000,500,破誓者积分奖励
26,10003,3000,12100401,20,60000200,35,80000011,35,30101000,600,破誓者积分奖励
27,10003,4000,12100401,30,60000200,40,80000011,40,30101000,800,破誓者积分奖励
28,10003,5000,12100401,40,60000200,50,80000011,50,30101000,1000,破誓者积分奖励
29,10004,200,12100901,10,60000200,10,80000011,10,30101000,200,黑暗先知积分奖励
30,10004,600,12100901,10,60000200,15,80000011,15,30101000,300,黑暗先知积分奖励
31,10004,1000,12100901,10,60000200,20,80000011,20,30101000,400,黑暗先知积分奖励
32,10004,2000,12100901,20,60000200,30,80000011,30,30101000,500,黑暗先知积分奖励
33,10004,3000,12100901,20,60000200,35,80000011,35,30101000,600,黑暗先知积分奖励
34,10004,4000,12100901,30,60000200,40,80000011,40,30101000,800,黑暗先知积分奖励
35,10004,5000,12100901,40,60000200,50,80000011,50,30101000,1000,黑暗先知积分奖励
36,10005,200,12201101,10,60000200,10,80000011,10,30101000,200,教廷圣女积分奖励
37,10005,600,12201101,10,60000200,15,80000011,15,30101000,300,教廷圣女积分奖励
38,10005,1000,12201101,10,60000200,20,80000011,20,30101000,400,教廷圣女积分奖励
39,10005,2000,12201101,20,60000200,30,80000011,30,30101000,500,教廷圣女积分奖励
40,10005,3000,12201101,20,60000200,35,80000011,35,30101000,600,教廷圣女积分奖励
41,10005,4000,12201101,30,60000200,40,80000011,40,30101000,800,教廷圣女积分奖励
42,10005,5000,12201101,40,60000200,50,80000011,50,30101000,1000,教廷圣女积分奖励
43,10006,200,12301001,10,60000200,10,80000011,10,30101000,200,恶魔之拥积分奖励
44,10006,600,12301001,10,60000200,15,80000011,15,30101000,300,恶魔之拥积分奖励
45,10006,1000,12301001,10,60000200,20,80000011,20,30101000,400,恶魔之拥积分奖励
46,10006,2000,12301001,20,60000200,30,80000011,30,30101000,500,恶魔之拥积分奖励
47,10006,3000,12301001,20,60000200,35,80000011,35,30101000,600,恶魔之拥积分奖励
48,10006,4000,12301001,30,60000200,40,80000011,40,30101000,800,恶魔之拥积分奖励
49,10006,5000,12301001,40,60000200,50,80000011,50,30101000,1000,恶魔之拥积分奖励
50,10007,200,12400301,10,60000200,10,80000011,10,30101000,200,圣光祭司积分奖励
51,10007,600,12400301,10,60000200,15,80000011,15,30101000,300,圣光祭司积分奖励
52,10007,1000,12400301,10,60000200,20,80000011,20,30101000,400,圣光祭司积分奖励
53,10007,2000,12400301,20,60000200,30,80000011,30,30101000,500,圣光祭司积分奖励
54,10007,3000,12400301,20,60000200,35,80000011,35,30101000,600,圣光祭司积分奖励
55,10007,4000,12400301,30,60000200,40,80000011,40,30101000,800,圣光祭司积分奖励
56,10007,5000,12400301,40,60000200,50,80000011,50,30101000,1000,圣光祭司积分奖励
57,10008,200,12400701,10,60000200,10,80000011,10,30101000,200,猩红之王积分奖励
58,10008,600,12400701,10,60000200,15,80000011,15,30101000,300,猩红之王积分奖励
59,10008,1000,12400701,10,60000200,20,80000011,20,30101000,400,猩红之王积分奖励
60,10008,2000,12400701,20,60000200,30,80000011,30,30101000,500,猩红之王积分奖励
61,10008,3000,12400701,20,60000200,35,80000011,35,30101000,600,猩红之王积分奖励
62,10008,4000,12400701,30,60000200,40,80000011,40,30101000,800,猩红之王积分奖励
63,10008,5000,12400701,40,60000200,50,80000011,50,30101000,1000,猩红之王积分奖励
64,10009,200,12401101,10,60000200,10,80000011,10,30101000,200,冰晶之心积分奖励
65,10009,600,12401101,10,60000200,15,80000011,15,30101000,300,冰晶之心积分奖励
66,10009,1000,12401101,10,60000200,20,80000011,20,30101000,400,冰晶之心积分奖励
67,10009,2000,12401101,20,60000200,30,80000011,30,30101000,500,冰晶之心积分奖励
68,10009,3000,12401101,20,60000200,35,80000011,35,30101000,600,冰晶之心积分奖励
69,10009,4000,12401101,30,60000200,40,80000011,40,30101000,800,冰晶之心积分奖励
70,10009,5000,12401101,40,60000200,50,80000011,50,30101000,1000,冰晶之心积分奖励
