skillid,heroname,staropen,learnlv,maxlv,skillname,type,skilldescription,skillvaluetype1,skillcount1,skilladdvalue1,skillvaluetype2,skillcount2,skilladdvalue2,skillvaluetype3,skillcount3,skilladdvalue3,skillvaluetype4,skillcount4,skilladdvalue4,skilltype,attackbefore,attackafter,skillrange,skillscope,skillscope2,skillobject,skillenergy,bufftype1,buffpro1,buffproadd1,bufftype2,buffpro2,buffproadd2,bufftype3,buffpro3,buffproadd3,luaname,skillicon,cd,blacktime,lighteffect,storageeffect,storageturn,tipsdescription,lvupword,tips1,lvup1,tips2,lvup2,fightingnum,awaken1,awakennum1,awaken2,awakennum2,arenaeffect,qualityopen,skillformation,skillimmune,skilltarget,targetnum,skillmode,skillenergy1,skillmax,skillapplication,skillatkpattern,sound,showpanel
100204,张飞,1,1,0,狮子吼,近战技能,"连续怒吼3次,对周围目标造成近战伤害,有几率造成晕眩，并提高自身防御和移动速度",1001,-8500,300,0,0,0,0,0,0,0,0,0,3,1000,350,500,1200,0,1,0,21024,10000,0,10002,3000,0,0,0,0,a100204,100204,0,0,0,3333,0,"怒吼3次,对周围目标造成%.0f％的近战伤害,每次怒吼有30％几率晕眩目标1秒,并增加%.0f点近战和远程防御,50％移速,持续8秒",伤害提高%.2f％\n额外伤害+%.2f,15,3,2500,2500,6,0,0,0,0,0,1,1,1,0,0,1,100,80,0,1,Skills_Hero/zhangfei_skill,6
100205,张飞,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100206,张飞,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100207,张飞,1,1,0,狂兽咆哮,近战技能,无,0,0,0,0,0,0,0,0,0,0,0,0,3,1000,350,500,1200,0,1,0,0,0,0,0,0,0,0,0,0,a100204,100204,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,80,3,150,14,6,0,0,0,0,0,1,1,1,0,0,1,100,80,0,1,0,0
100300,马超,9,0,0,普通攻击,骑兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,200,0,0,1,100,0,0,0,0,0,0,0,0,0,a100300,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100301,马超,9,1,0,铁骑,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100301,100301,0,0,0,0,0,无,命中+%.2f,10,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100302,马超,9,1,0,陷阵,被动天赋加成,无,108,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100302,100302,0,0,0,0,0,无,近战暴击+%.2f,20,5,0,0,6,42100304,3,81400201,40,0,1,0,1,0,0,0,100,80,0,1,0,0
100303,马超,2,1,0,冲锋,近战技能,勇武有几率突刺5次,0,2000,2000,0,0,0,0,0,0,0,0,0,3,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a100303,100303,0,0,0,0,0,铁骑冲锋有%.0f％的几率突刺5次,防御降低%.0f％,20,20,0,0,6,42100304,2,81400201,20,0,1,0,1,0,0,1,100,80,0,1,0,0
100304,马超,1,1,0,铁骑冲锋,近战技能,"向敌人冲锋,用力突刺敌人3次,每次突刺有几率造成2倍近战伤害,同时提高自身伤害加成",1001,-5500,800,0,4000,1500,0,0,0,0,0,0,3,1000,350,1500,0,0,0,0,21034,10000,0,0,0,0,0,0,0,a100304,100304,0,0,0,3333,0,"用力突刺敌人3次,每次造成%.0f％近战伤害,50％几率伤害翻倍,同时提高自身30％近战伤害,持续10秒",伤害提高%.0f％\n额外伤害+%.2f,45,8,0,0,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,Skills_Hero/machao_skill,6
100305,马超,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100306,马超,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100307,马超,1,1,0,乱世冲锋,近战技能,无,0,0,0,0,0,0,0,0,0,0,0,0,3,1000,350,500,0,0,0,0,10070,10000,0,0,0,0,0,0,0,a100304,100304,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,200,8,180,18,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,0,0
100400,赵云,9,0,0,普通攻击,骑兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,1600,0,0,1,100,0,0,0,0,0,0,0,0,0,a100400,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100401,赵云,9,1,0,无双,被动触发技能,无,0,0,0,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p100401,100401,0,0,0,0,0,无,攻击力增加%.0f％,30,10,0,0,0,42100404,4,81400201,80,0,1,0,1,0,0,0,100,80,0,1,0,0
100402,赵云,9,1,0,龙胆,被动触发技能,无,0,0,0,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p100402,100402,0,0,0,0,0,无,攻击速度+%.2f％,10,-1,0,0,6,42100404,3,81400201,40,0,1,0,1,0,0,0,100,80,0,1,0,0
100403,赵云,2,1,0,龙骨,被动触发技能,"赵云每损失一部分生命值则伤害提高，同时释放蛟龙出海时,暴击,攻速,移动大幅提高",2,500,200,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p100403,100403,0,0,0,0,0,"赵云每损失10％最大生命值,造成的伤害提高%.0f％，同时释放蛟龙出海时候额外增加30％攻速，移速，暴击，持续12秒",伤害提高(%.0f％近战攻击+%.0f)点,5,2,25,5,6,42100404,2,81400201,20,0,1,0,1,0,0,2,100,80,0,1,0,0
100404,赵云,1,1,0,蛟龙出海,远程技能,"用长枪刺杀周围敌人,对全屏目标刺杀4次,并增加自身伤害,免伤",1001,-8000,400,0,0,0,0,0,0,0,0,0,4,1000,350,1500,2000,0,1,0,21044,10000,0,21043,10000,0,0,0,0,a100404,100404,0,0,0,3333,0,"对全屏目标刺杀4次,每次造成%.0f％远程伤害,并提高伤害加成和减伤30％,持续12秒",额外伤害+%.2f,20,4,0,0,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,Skills_Hero/zhaoyun_skill,6
100405,赵云,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100406,赵云,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100407,赵云,1,1,0,将神龙刺,远程技能,无,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,350,1700,2000,0,1,0,20020,10000,0,21043,10000,0,0,0,0,a100404,100404,0,0,0,3333,0,无,额外伤害+%.2f,400,40,0,0,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,0,0
100500,黄忠,9,0,0,普通攻击,弓兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,2000,0,0,1,100,0,0,0,0,0,0,0,0,0,a100500,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100501,黄忠,9,1,0,洞察秋毫,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100501,100501,0,0,0,0,0,无,武力+%.2f,12,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100502,黄忠,9,1,0,鹰眼,远程技能,无,0,0,0,0,0,0,0,0,0,0,0,0,4,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a100502,100502,0,0,0,0,0,无,伤害提高%.2f％\n额外伤害+%.2f,10,10,0,0,6,42100504,3,81400201,40,0,1,0,1,0,0,0,100,80,0,1,0,0
100503,黄忠,2,1,0,神箭,远程技能,黄忠对兵力≤80％的目标暴击几率增加,0,1000,1000,0,0,0,0,0,0,0,0,0,4,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a100503,100503,0,0,0,0,0,黄忠对兵力小于等于80％的目标暴击几率增加%.0f％,伤害提高%.2f％\n额外伤害+%.2f,10,10,0,0,6,42100504,2,81400201,20,0,1,0,1,0,0,0,100,80,1,1,0,0
100504,黄忠,1,1,0,凤凰飞羽,远程技能,"拉弓蓄力,对前方矩形范围内造成远程伤害,并且提高自身30％远程攻击",1001,-3500,1300,0,0,0,0,0,0,0,0,0,4,1000,350,1500,3000,300,1,0,21054,10000,0,0,0,0,0,0,0,a100504,100504,0,0,0,3333,0,"对前方矩形范围内造成%.0f％远程伤害,并且提高自身30％远程伤害,持续8秒",伤害提高%.2f％\n额外伤害+%.2f,65,13,0,0,6,0,0,0,0,0,1,1,1,0,0,2,100,80,1,1,Skills_Hero/huangzhong_skill,6
100505,黄忠,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100506,黄忠,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100507,黄忠,1,1,0,百步穿杨,远程技能,无,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,350,2100,3000,300,1,0,21054,10000,0,0,0,0,0,0,0,a100504,100504,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,65,13,0,0,6,0,0,0,0,0,1,1,1,0,0,2,100,80,1,1,0,0
100600,诸葛亮,9,0,0,普通攻击,骑兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,1000,0,0,1,100,0,0,0,0,0,0,0,0,0,a100600,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100601,诸葛亮,9,1,0,观星,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100601,100601,0,0,0,0,0,无,智力+%.2f,20,5,0,0,0,42100604,4,81400201,80,0,1,0,1,0,0,0,100,80,0,1,0,0
100602,诸葛亮,9,1,0,卧龙,己方光环,无,0,0,0,0,0,0,0,0,0,0,0,0,5,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100602,100602,0,0,0,0,0,无,怒气恢复+%.2f,20,2,0,0,6,42100604,3,81400201,40,0,1,0,1,0,0,0,100,80,0,1,0,0
100603,诸葛亮,2,1,0,降龙阵,被动触发技能,"诸葛亮每次受到普通攻击都有几率放出一道闪电对伤害来源造成远程伤害,同时释放奇门遁甲时，增加己方伤害和免伤。",2,6000,1500,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,1,0,10055,10000,0,0,0,0,0,0,0,p100603,100603,0,0,0,0,0,"受伤时有5％几率释放闪电对伤害来源造成%.0f％远程伤害,同时释放奇门遁甲时提升己方30％伤害和免伤，持续8秒",伤害提高%.2f％\n额外伤害+%.2f,150,30,15,5,6,42100604,2,81400201,20,0,1,0,1,0,0,1,100,80,0,1,0,0
100604,死灵法师,1,1,0,枯萎,远程技能,对对方全体造成大量魔法伤害,1001,-5000,700,0,1200,300,0,0,0,0,0,0,4,1000,350,3000,3500,0,1,0,12094,10000,0,0,0,0,0,0,0,a401004,200904,0,0,0,3333,0,对对方全体造成大量魔法伤害,伤害提高%.2f％\n额外伤害+%.2f,26,5,15,3,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,Skills_Hero/zhugeliang_skill,6
100605,死灵法师,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100606,死灵法师,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100607,死灵法师,1,1,0,混沌八卦阵,远程技能,无,0,0,0,0,0,0,109,3500,10,0,0,0,4,1000,350,1100,4000,0,1,0,10071,10000,0,21064,10000,0,0,0,0,a401004,200904,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,135,5,200,20,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,0,0
100700,庞统,9,0,0,普通攻击,骑兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,2000,0,0,1,100,0,0,0,0,0,0,0,0,0,a100700,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100701,庞统,9,1,0,轻视,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100701,100701,0,0,0,0,0,无,远程暴击+%.2f,10,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100702,庞统,9,1,0,涅槃,被动触发技能,无,0,0,0,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p100702,100702,0,0,0,0,0,无,回复兵力+%.2f,30,10,0,0,6,42100704,3,81400201,40,0,1,0,1,0,0,0,100,80,0,1,0,0
100703,庞统,2,1,0,连环,被动触发技能,"死亡后原地复活,回复兵力,并增加自身远程暴击",5,2000,2000,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p100703,100703,0,0,0,0,0,"死亡后原地复活,回复%.0f％最大兵力,并增加自身远程暴击几率20％,持续到战斗结束",伤害提高%.2f％,20,20,0,0,6,42100704,2,81400201,20,0,1,0,1,0,0,1,100,80,0,1,0,0
100704,庞统,1,1,0,破甲锁链,远程技能,"庞统释放铁索攻击当前敌人,依次链接其附近的敌人2次,并降低目标远程防御",1001,-5000,600,0,0,0,0,0,0,0,0,0,4,1000,350,3000,3000,0,1,0,11074,10000,0,0,0,0,0,0,0,a100704,100704,0,0,0,3333,0,"施放铁索攻击目标并链接周围单位,造成%.0f％远程伤害,并减少目标20％远程防御,持续10秒",伤害提高%.2f％\n额外伤害+%.2f,50,6,0,0,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,Skills_Hero/pangtong_skill,6
100705,庞统,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100706,庞统,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100707,庞统,1,1,0,铁锁链环,远程技能,无,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,350,2100,3000,0,1,0,11074,10000,0,0,0,0,0,0,0,a100704,100704,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,50,6,0,0,6,0,0,0,0,0,1,1,1,0,0,1,100,80,1,1,0,0
100800,黄月英,9,0,0,普通攻击,弓兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,1000,0,0,1,100,0,0,0,0,0,0,0,0,0,a100800,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,0,1,0,0
100801,黄月英,9,1,0,暗部,被动触发技能,无,0,0,0,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p100801,100801,0,0,0,0,0,无,减少怒气+%.2f,5,0.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,0,1,0,0
100802,黄月英,9,1,0,遁甲,敌方光环,无,0,0,0,0,0,0,0,0,0,0,0,0,6,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100802,100802,0,0,0,0,0,无,减少近战攻击+%.2f,50,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,0,0,1,0,0
100803,黄月英,2,1,0,奇门,被动天赋加成,增加5%攻击力,107,500,100,109,500,100,0,0,0,0,0,0,1,300,500,1100,1200,0,1,0,10026,10000,0,0,0,0,0,0,0,a100803,100803,0,0,0,0,0,攻击力+%.2f％,伤害提高%.2f％\n额外伤害+%.2f,5,1,0,0,6,42100804,1,81400201,10,0,1,0,1,0,0,0,100,0,1,1,0,0
100804,黄月英,1,1,0,阴阳调和,远程技能,"使用奇怪的远程禁锢住目标,并治疗自己,对弓兵额外造成伤害",1001,-7000,400,0,0,0,0,0,0,0,0,0,4,1000,350,1500,800,0,1,0,11084,10000,0,0,0,0,0,0,0,a100804,100804,0,0,0,3333,0,"禁锢目标,每次造成%.0f％远程伤害,同时治疗自己,对弓兵造成双倍伤害",伤害提高%.2f％\n额外伤害+%.2f,30,4,0,0,6,0,0,0,0,0,1,1,1,0,0,2,100,80,0,1,Skills_Hero/huangyueying_skill,6
100805,黄月英,9,1,0,伤害增加,被动天赋加成,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100806,黄月英,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100807,黄月英,1,1,0,不战而胜,远程技能,无,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,350,1100,800,0,1,0,0,0,0,0,0,0,0,0,0,a100804,100804,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,30,4,0,0,6,0,0,0,0,0,1,1,1,0,0,2,100,80,0,1,0,0
100900,刘备,9,0,0,普通攻击,弓兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,1600,0,0,1,100,0,0,0,0,0,0,0,0,0,a100900,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,0,1,0,0
100901,刘备,9,1,0,草鞋,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100901,100901,0,0,0,0,0,无,兵力+%.2f,50,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,0,1,0,0
100902,刘备,9,1,0,天下,己方光环,无,0,0,0,0,0,0,0,0,0,0,0,0,5,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100902,100902,0,0,0,0,0,无,近战攻击+%.2f,10,5,0,0,6,42100904,3,81400201,40,0,1,0,1,0,0,0,100,80,0,1,0,0
100903,刘备,2,1,0,雄主,被动天赋加成,刘备自身减免远程伤害,24,800,800,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100903,0,0,0,0,0,刘备自身减免%.0f％远程伤害,增加怒气+%.2f,8,8,0,0,6,42100904,2,81400201,20,0,1,0,1,0,0,0,100,0,1,1,0,0
100904,刘备,1,1,0,同心同德,远程技能,"灵魂链接周围5个队友,受到的伤害共同分摊,并增加近战伤害减免",3004,800,200,0,0,0,0,0,0,0,0,0,4,1000,350,1500,0,0,1,0,30072,10000,0,30073,10000,0,0,0,0,a100904,100904,0,0,0,3333,0,"灵魂链接周围队友,受到的伤害共同分摊,并提高%.0f％近战伤害减免,持续10秒",减伤提高%.0f％,8,2,0,0,6,0,0,0,0,0,1,1,1,0,0,0,100,0,0,1,Skills_Hero/liubei_skill,3
