id,level,passid,name,islock,icon,storyid,index,arisetype,fly_x,fly_y,move_button_id,inclination,text,story_id,introduction_storyid
56,0,110808,孤山夺宝,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
57,0,111108,纹章系统,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
58,0,111208,佣兵,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
59,0,110201,回城,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
60,1,0,关卡总览,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
61,32,110203,大地图,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
62,0,110201,暂停,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
63,0,110201,自动,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
64,0,110201,加速,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
65,0,111108,神殿,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
66,45,0,魔宠升星,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
67,50,0,魔宠洗练,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
68,55,0,魔宠进化,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
69,0,110608,赏金,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
70,0,110301,购买金币,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
71,0,110301,购买体力,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
72,0,111004,镇魂商店,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
73,15,0,排行榜,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
74,20,0,商会,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
75,1,0,领主,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
76,1,110808,战役,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
77,32,110808,开疆扩土,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
78,1,110808,军团领地,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
79,60,0,装备推荐,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
80,20,0,英雄重生,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
81,20,0,系统玩法,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
82,20,0,神格,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
83,20,0,神格探索,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
84,20,0,神格商店,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
85,20,0,神格分解,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
86,30,0,重生收费条件,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
