id,hero_name,fullname,hero_type,fight_index,hero_camp,hero_gender,positioning,deblock_type1,deblock_value1,debris_type1,debris_value1,attacktype,hero_arms,hero_sort,hidden,hero_main_skill,hero_attack,ragerate,cablerange,first_arm,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,getsound,posesound,attacksound,gethitsound,deadsound,png,spine,size,core_equip_type1,core_equip_type2,core_equip_type3,initialanger,divinity_mode,divinity_awaken,point1,point2,point3,point4,point5
1011,影之牙,尼尔,1,5,1,2,近战|魔法|输出,12101101,60,12101101,60,1,1,11,0,101104,1011,3000,5000,50100002,6,1937,7,226,8,42,9,621,10,118,29,0,30,43,11,20000,12,90,0,0,99,120000,Hero/1011_get,Hero/1011_pose,0,0,Hero/1011_die,bg_wujiangjiemian_02,Artbeijing_08,100,3,0,0,0,1,2,101011,200001,200002,200003,200004
2001,暮光骑士,索灵,1,5,5,1,近战|物理|输出,12200101,60,12200101,60,0,1,12,0,200104,2001,3000,5000,50100001,6,4891,7,236,8,162,9,0,10,192,29,0,30,97,11,20000,12,90,0,0,99,170000,Hero/2001_get,Hero/2001_pose,0,0,Hero/2001_die,bg_wujiangjiemian_02,Artbeijing_06,100,1,0,0,0,2,2,102001,200001,200002,200003,200004
2002,众神之剑,米迦勒,1,6,6,2,近战|神术|输出,12200201,100,12200201,100,2,1,13,0,200204,2002,3000,5000,50100001,6,21492,7,1186,8,486,9,0,10,950,29,1191,30,786,11,20000,12,90,0,0,99,850000,Hero/2002_get,Hero/2002_pose,0,0,Hero/2002_die,bg_wujiangjiemian_01,Artbeijing_03,100,5,0,0,500,1,3,102002,200011,200012,200013,200014
2003,通灵师,布莱尔,1,5,1,2,远程|神术|辅助,12200301,60,12200301,60,2,2,14,0,200304,2003,3000,5000,50100003,6,3026,7,426,8,58,9,0,10,116,29,487,30,71,11,20000,12,90,0,0,99,170000,Hero/2003_get,Hero/2003_pose,0,0,Hero/2003_die,bg_wujiangjiemian_01,Artbeijing_10,100,5,6,0,500,2,2,102003,200001,200002,200003,200004
2004,精灵妖狐,妮妮,1,3,2,2,远程|神术|辅助,12200401,20,12200401,20,2,2,15,0,200404,2004,3000,5000,50100003,6,923,7,122,8,17,9,0,10,36,29,144,30,22,11,20000,12,90,0,0,99,50000,Hero/2004_get,Hero/2004_pose,0,0,Hero/2004_die,bg_wujiangjiemian_02,Artbeijing_07,100,5,6,0,500,1,1,102004,200001,200002,200003,200004
2005,荒漠可汗,艾克斯,1,5,3,1,近战|物理|输出,12200501,60,12200501,60,0,1,16,0,200504,2005,3000,5000,50100001,6,4932,7,227,8,162,9,0,10,215,29,0,30,97,11,20000,12,90,0,0,99,170000,Hero/2005_get,Hero/2005_pose,0,0,Hero/2005_die,bg_wujiangjiemian_01,Artbeijing_01,100,1,0,0,0,2,2,102005,200001,200002,200003,200004
2006,圣殿先锋,塔里克,1,3,4,1,近战|物理|肉盾,12200601,20,12200601,20,0,1,17,0,200604,2006,3000,5000,50100001,6,1462,7,69,8,47,9,0,10,59,29,0,30,27,11,20000,12,90,0,0,99,50000,Hero/2006_get,Hero/2006_pose,0,0,Hero/2006_die,bg_wujiangjiemian_01,Artbeijing_02,100,2,6,0,0,1,1,102006,200001,200002,200003,200004
2007,恶魔猎人,阿鲁卡,1,5,5,1,近战|魔法|输出,12200701,60,12200701,60,1,1,18,0,200704,2007,3000,5000,50100001,6,4044,7,235,8,96,9,471,10,338,29,0,30,96,11,20000,12,90,0,0,99,170000,Hero/2007_get,Hero/2007_pose,0,0,Hero/2007_die,bg_wujiangjiemian_01,Artbeijing_01,100,3,0,0,0,2,2,102007,200001,200002,200003,200004
2008,风暴之眼,奥萝尔,1,5,6,2,远程|魔法|输出,12200801,60,12200801,60,1,2,19,0,200804,2008,3000,5000,50100003,6,2788,7,376,8,53,9,1001,10,137,29,0,30,54,11,20000,12,90,0,0,99,170000,Hero/2008_get,Hero/2008_pose,0,0,Hero/2008_die,bg_wujiangjiemian_01,Artbeijing_08,100,3,0,0,0,1,2,102008,200001,200002,200003,200004
2009,原力法师,潘多拉,1,5,1,2,远程|魔法|输出,12200901,60,12200901,60,1,2,20,0,200904,2009,3000,5000,50100003,6,2804,7,359,8,60,9,976,10,150,29,0,30,61,11,20000,12,90,0,0,99,170000,Hero/2009_get,Hero/2009_pose,0,0,Hero/2009_die,bg_wujiangjiemian_01,Artbeijing_04,100,3,0,0,0,2,2,102009,200001,200002,200003,200004
2010,熔岩斗士,埃利恩,1,4,2,1,近战|物理|肉盾,12201001,40,12201001,40,0,1,21,0,201004,2010,3000,5000,50100001,6,2197,7,100,8,85,9,0,10,86,29,0,30,43,11,20000,12,90,0,0,99,76000,Hero/2010_get,Hero/2010_pose,0,0,Hero/2010_die,bg_wujiangjiemian_01,Artbeijing_10,100,1,6,0,0,1,1,102010,200001,200002,200003,200004
2011,圣女,安琪,1,6,3,2,远程|神术|辅助,12201101,100,12201101,100,2,2,22,0,201104,2011,3000,5000,50100001,6,21417,7,1229,8,428,9,0,10,880,29,1227,30,734,11,20000,12,90,0,0,99,850000,Hero/2011_get,Hero/2011_pose,0,0,Hero/2011_die,bg_wujiangjiemian_02,Artbeijing_01,100,5,6,0,500,2,3,102011,200011,200012,200013,200014
3001,火焰领主,凯隆,1,5,3,1,近战|物理|输出,12300101,60,12300101,60,0,1,23,0,300104,3001,3000,5000,50100001,6,3233,7,153,8,106,9,0,10,145,29,0,30,65,11,20000,12,90,0,0,99,120000,Hero/3001_get,Hero/3001_pose,0,0,Hero/3001_die,bg_wujiangjiemian_01,Artbeijing_01,100,1,0,0,0,1,2,103001,200001,200002,200003,200004
3002,黑羽之箭,维尔娜,1,5,4,2,远程|物理|输出,12300201,60,12300201,60,0,2,24,0,300204,3002,3000,5000,50100002,6,2051,7,338,8,45,9,0,10,71,29,0,30,36,11,20000,12,90,0,0,99,120000,Hero/3002_get,Hero/3002_pose,0,0,Hero/3002_die,bg_wujiangjiemian_02,Artbeijing_03,100,1,0,0,0,2,2,103002,200001,200002,200003,200004
3003,魅魔女王,修美尔,1,5,5,2,远程|魔法|输出,12300301,60,12300301,60,1,2,25,0,300304,3003,3000,5000,50100003,6,1912,7,244,8,40,9,649,10,101,29,0,30,40,11,20000,12,90,0,0,99,120000,Hero/3003_get,Hero/3003_pose,0,0,Hero/3003_die,bg_wujiangjiemian_01,Artbeijing_04,100,3,0,0,0,1,2,103003,200001,200002,200003,200004
3004,凤凰之心,埃西尔,1,3,6,2,远程|魔法|输出,12300401,20,12300401,20,1,2,26,0,300404,3004,3000,5000,50100003,6,869,7,97,8,18,9,263,10,48,29,0,30,22,11,20000,12,90,0,0,99,50000,Hero/3004_get,Hero/3004_pose,0,0,Hero/3004_die,bg_wujiangjiemian_01,Artbeijing_05,100,3,0,0,0,2,1,103004,200001,200002,200003,200004
3005,刀魂,罗琅,1,5,1,1,近战|物理|输出,12300501,60,12300501,60,0,1,27,0,300504,3005,3000,5000,50100001,6,3272,7,160,8,110,9,0,10,127,29,0,30,64,11,20000,12,90,0,0,99,120000,Hero/3005_get,Hero/3005_pose,0,0,Hero/3005_die,bg_wujiangjiemian_01,Artbeijing_05,100,1,0,0,0,1,2,103005,200001,200002,200003,200004
3006,部族贤者,格里塔,1,4,2,2,远程|神术|辅助,12300601,40,12300601,40,2,2,28,0,300604,3006,3000,5000,50100003,6,1347,7,184,8,25,9,0,10,51,29,221,30,31,11,20000,12,90,0,0,99,76000,Hero/3006_get,Hero/3006_pose,0,0,Hero/3006_die,bg_wujiangjiemian_01,Artbeijing_04,100,5,6,0,500,2,1,103006,200001,200002,200003,200004
3007,灵界大帝,莱茵王,1,5,3,1,近战|物理|肉盾,12300701,60,12300701,60,0,1,29,0,300704,3007,3000,5000,50100001,6,4907,7,239,8,157,9,0,10,200,29,0,30,94,11,20000,12,90,0,0,99,170000,Hero/3007_get,Hero/3007_pose,0,0,Hero/3007_die,bg_wujiangjiemian_01,Artbeijing_09,100,2,6,0,0,1,2,103007,200001,200002,200003,200004
3008,觅血屠夫,塔隆,1,4,4,1,近战|物理|输出,12300801,40,12300801,40,0,1,30,0,300804,3008,3000,5000,50100001,6,2187,7,105,8,74,9,0,10,85,29,0,30,42,11,20000,12,90,0,0,99,76000,Hero/3008_get,Hero/3008_pose,0,0,Hero/3008_die,bg_wujiangjiemian_01,Artbeijing_02,100,1,0,0,0,2,1,103008,200001,200002,200003,200004
3009,夺灵者,卡密拉,1,5,5,2,远程|魔法|输出,12300901,60,12300901,60,1,2,31,0,300904,3009,3000,5000,50100003,6,1882,7,250,8,36,9,670,10,92,29,0,30,36,11,20000,12,90,0,0,99,120000,Hero/3009_get,Hero/3009_pose,0,0,Hero/3009_die,bg_wujiangjiemian_02,Artbeijing_03,100,3,0,0,0,1,2,103009,200001,200002,200003,200004
3010,撒旦之力,贝利亚,1,6,6,2,远程|神术|输出,12301001,100,12301001,100,2,2,32,0,301004,3010,3000,5000,50100002,6,14980,7,2184,8,273,9,0,10,550,29,2566,30,342,11,20000,12,90,0,0,99,850000,Hero/3010_get,Hero/3010_pose,0,0,Hero/3010_die,bg_wujiangjiemian_01,Artbeijing_02,100,5,0,0,500,2,3,103010,200011,200012,200013,200014
3011,烈火精灵,艾拉,1,5,6,2,远程|魔法|输出,12301101,60,12301101,60,1,2,33,0,301104,3011,3000,5000,50100003,6,2832,7,355,8,63,9,977,10,161,29,0,30,63,11,20000,12,90,0,0,99,170000,Hero/3011_get,Hero/3011_pose,0,0,Hero/3011_die,bg_wujiangjiemian_01,Artbeijing_01,100,3,0,0,0,1,2,103011,200001,200002,200003,200004
3012,北岭之弓,温蒂,1,4,4,2,远程|物理|输出,12301201,40,12301201,40,0,2,34,0,301204,3012,3000,5000,50100002,6,1350,7,221,8,31,9,0,10,50,29,0,30,25,11,20000,12,90,0,0,99,76000,Hero/3012_get,Hero/3012_pose,0,0,Hero/3012_die,bg_wujiangjiemian_01,Artbeijing_04,100,1,0,0,0,2,1,103012,200001,200002,200003,200004
4001,星界猎人,拉莱耶,1,4,1,2,近战|物理|控制,12400101,40,12400101,40,0,1,35,0,400104,4001,3000,5000,50100001,6,2204,7,102,8,70,9,0,10,95,29,0,30,42,11,20000,12,90,0,0,99,76000,Hero/4001_get,Hero/4001_pose,0,0,Hero/4001_die,bg_wujiangjiemian_01,Artbeijing_01,100,1,0,0,0,1,1,104001,200001,200002,200003,200004
4002,雷霆之王,莫瑞亚,1,5,2,1,近战|魔法|输出,12400201,60,12400201,60,1,1,36,0,400204,4002,3000,5000,50100001,6,4262,7,225,8,94,9,457,10,314,29,0,30,115,11,20000,12,90,0,0,99,170000,Hero/4002_get,Hero/4002_pose,0,0,Hero/4002_die,bg_wujiangjiemian_02,Artbeijing_04,100,3,0,0,0,2,2,104002,200001,200002,200003,200004
4003,月神祭司,露娜,1,6,3,2,近战|神术|辅助,12400301,100,12400301,100,2,1,37,0,400304,4003,3000,5000,50100001,6,22432,7,1151,8,479,9,0,10,1057,29,1153,30,784,11,20000,12,90,0,0,99,850000,Hero/4003_get,Hero/4003_pose,0,0,Hero/4003_die,bg_wujiangjiemian_02,Artbeijing_10,100,5,0,0,500,1,3,104003,200011,200012,200013,200014
4004,碎颅者,奥尔加,1,5,4,1,近战|物理|输出,12400401,60,12400401,60,0,1,38,0,400404,4004,3000,5000,50100001,6,4863,7,230,8,157,9,0,10,215,29,0,30,97,11,20000,12,90,0,0,99,170000,Hero/4004_get,Hero/4004_pose,0,0,Hero/4004_die,bg_wujiangjiemian_01,Artbeijing_09,100,1,0,0,0,2,2,104004,200001,200002,200003,200004
4005,狂暴利刃,萨尔法,1,5,5,1,近战|物理|输出,12400501,60,12400501,60,0,1,39,0,400504,4005,3000,5000,50100001,6,4831,7,233,8,161,9,0,10,189,29,0,30,103,11,20000,12,90,0,0,99,170000,Hero/4005_get,Hero/4005_pose,0,0,Hero/4005_die,bg_wujiangjiemian_01,Artbeijing_11,100,1,0,0,0,1,2,104005,200001,200002,200003,200004
4006,混沌法师,天启,1,5,6,1,远程|神术|辅助,12400601,60,12400601,60,2,2,40,0,400604,4006,3000,5000,50100003,6,3053,7,406,8,59,9,0,10,121,29,486,30,77,11,20000,12,90,0,0,99,170000,Hero/4006_get,Hero/4006_pose,0,0,Hero/4006_die,bg_wujiangjiemian_01,Artbeijing_04,100,5,6,0,500,2,2,104006,200001,200002,200003,200004
4007,猩红之王,德古拉,1,6,1,1,近战|神术|输出,12400701,100,12400701,100,2,1,41,0,400704,4007,3000,5000,50100001,6,22226,7,1164,8,488,9,0,10,1026,29,1177,30,789,11,20000,12,90,0,0,99,850000,Hero/4007_get,Hero/4007_pose,0,0,Hero/4007_die,bg_wujiangjiemian_01,Artbeijing_02,100,5,0,0,500,1,3,104007,200011,200012,200013,200014
4008,仙林女神,艾薇,1,4,2,2,远程|神术|治疗,12400801,40,12400801,40,2,2,42,0,400804,4008,3000,5000,50100003,6,1383,7,180,8,28,9,0,10,57,29,211,30,35,11,20000,12,90,0,0,99,76000,Hero/4008_get,Hero/4008_pose,0,0,Hero/4008_die,bg_wujiangjiemian_01,Artbeijing_08,100,5,0,0,500,2,1,104008,200001,200002,200003,200004
4009,女伯爵,克里斯,1,4,3,2,近战|魔法|输出,12400901,40,12400901,40,1,1,43,0,400904,4009,3000,5000,50100001,6,1823,7,103,8,42,9,208,10,141,29,0,30,45,11,20000,12,90,0,0,99,76000,Hero/4009_get,Hero/4009_pose,0,0,Hero/4009_die,bg_wujiangjiemian_01,Artbeijing_06,100,3,2,6,0,1,1,104009,200001,200002,200003,200004
4010,元素之女,魔丽莎,1,5,4,1,远程|魔法|输出,12401001,60,12401001,60,1,2,44,0,401004,4010,3000,5000,50100003,6,1876,7,255,8,36,9,670,10,92,29,0,30,36,11,20000,12,90,0,0,99,120000,Hero/4010_get,Hero/4010_pose,0,0,Hero/4010_die,bg_wujiangjiemian_01,Artbeijing_04,100,3,0,0,0,2,2,104010,200001,200002,200003,200004
4011,奥术之主,拉斐尔,1,6,6,2,远程|神术|输出,12401101,100,12401101,100,2,2,45,0,401104,4011,3000,5000,50100001,6,20817,7,1278,8,409,9,0,10,801,29,1276,30,687,11,20000,12,90,0,0,99,850000,Hero/4011_get,Hero/4011_pose,0,0,Hero/4011_die,bg_wujiangjiemian_01,Artbeijing_01,100,5,0,0,500,1,3,104011,200011,200012,200013,200014
5001,阿克曼尼,荒野,2,5,4,1,魔法|范围|爆发,12500101,30,12500101,10,1,2,46,1,500104,5001,3000,5000,50100002,6,12000,7,1200,8,400,9,1200,10,400,29,1200,30,400,11,20000,12,90,0,0,99,37500,0,Hero/5001_pose,0,0,Hero/5001_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,2,2,105001,200001,200002,200003,200004
5002,格里芬,精英,2,5,4,1,魔法|范围|爆发,12500201,30,12500201,10,1,2,47,1,500204,5002,3000,5000,50100002,6,24000,7,2400,8,800,9,2400,10,800,29,2400,30,800,11,20000,12,90,0,0,99,37500,0,Hero/5002_pose,0,0,Hero/5002_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,1,2,105002,200001,200002,200003,200004
5003,曼提柯尔,稀有,2,5,4,1,魔法|范围|爆发,12500301,30,12500301,10,1,2,48,1,500304,5003,3000,5000,50100002,6,48000,7,4800,8,1600,9,4800,10,1600,29,4800,30,1600,11,20000,12,90,0,0,99,37500,0,Hero/5003_pose,0,0,Hero/5003_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,2,2,105003,200001,200002,200003,200004
5004,客迈拉,史诗,2,5,4,1,魔法|范围|爆发,12500401,30,12500401,10,1,2,49,1,500404,5004,3000,5000,50100002,6,96000,7,9600,8,3200,9,9600,10,3200,29,9600,30,3200,11,20000,12,90,0,0,99,37500,0,Hero/5004_pose,0,0,Hero/5004_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,1,2,105004,200001,200002,200003,200004
5005,阿特拉斯,传说,2,5,4,1,魔法|范围|爆发,12500501,30,12500501,10,1,2,50,1,500504,5005,3000,5000,50100002,6,192000,7,19200,8,6400,9,19200,10,6400,29,19200,30,6400,11,20000,12,90,0,0,99,37500,0,Hero/5005_pose,0,0,Hero/5005_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,2,2,105005,200001,200002,200003,200004
5006,海德拉,神使,2,5,4,1,魔法|范围|爆发,12500601,30,12500601,10,1,2,51,1,500604,5006,3000,5000,50100002,6,384000,7,38400,8,12800,9,38400,10,12800,29,38400,30,12800,11,20000,12,90,0,0,99,37500,0,Hero/5006_pose,0,0,Hero/5006_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,1,2,105006,200001,200002,200003,200004
5007,斯卡尔,半神,2,5,4,1,魔法|范围|爆发,12500701,30,12500701,10,1,2,52,1,500704,5007,3000,5000,50100002,6,768000,7,76800,8,25600,9,76800,10,25600,29,76800,30,25600,11,20000,12,90,0,0,99,37500,0,Hero/5007_pose,0,0,Hero/5007_die,bg_wujiangjiemian_01,Artbeijing_01,150,3,0,0,0,2,2,105007,200001,200002,200003,200004
